WKT,id,buurtcode,straatnaam,type,soort,e_type,aantal
"POLYGON ((119974.12 490162.09,119975.92 490156.78,119973.62 490156.0,119971.83 490161.3,119974.12 490162.09))","119974490159",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119969.48 489969.66,119971.68 489971.57,119982.44 489959.44,119980.16 489957.54,119969.48 489969.66))","119976489965",B10a,Rigakade,Langs,MULDER,E7,1
"POLYGON ((119973.1 490039.83,119974.69 490040.9,119977.54 490042.83,119978.88 490040.7,119974.4 490037.59,119973.55 490037.14,119973.1 490039.83))","119976490040",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((119975.92 490156.78,119976.0 490156.54,119977.71 490151.48,119975.42 490150.69,119973.62 490156.0,119975.92 490156.78))","119976490154",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119977.71 490151.48,119979.5 490146.17,119977.21 490145.39,119975.42 490150.69,119977.71 490151.48))","119977490148",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119979.5 490146.17,119981.29 490140.87,119979.0 490140.08,119977.21 490145.39,119979.5 490146.17))","119979490143",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119984.21 490044.28,119978.88 490040.7,119977.54 490042.83,119982.81 490046.33,119984.21 490044.28))","119981490044",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((119981.29 490140.87,119983.08 490135.56,119980.79 490134.77,119979.0 490140.08,119981.29 490140.87))","119981490138",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119983.08 490135.56,119984.87 490130.25,119982.58 490129.47,119980.79 490134.77,119983.08 490135.56))","119983490133",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119984.87 490130.25,119986.66 490124.95,119984.37 490124.16,119982.58 490129.47,119984.87 490130.25))","119985490127",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119989.29 490047.7,119984.21 490044.28,119982.81 490046.33,119988.04 490049.7,119989.29 490047.7))","119986490047",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((119986.66 490124.95,119988.45 490119.64,119986.16 490118.86,119984.37 490124.16,119986.66 490124.95))","119986490122",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119988.45 490119.64,119990.24 490114.33,119987.95 490113.55,119986.16 490118.86,119988.45 490119.64))","119988490117",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119990.24 490114.33,119992.03 490109.03,119989.75 490108.24,119987.95 490113.55,119990.24 490114.33))","119990490111",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119995.54 490051.45,119989.6 490047.92,119989.29 490047.7,119988.04 490049.7,119989.77 490050.79,119994.2 490053.54,119995.54 490051.45))","119992490051",B10a,Koivistokade,Langs,FISCAAL,,1
"POLYGON ((119992.03 490109.03,119993.82 490103.72,119991.54 490102.94,119989.75 490108.24,119992.03 490109.03))","119992490106",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119993.82 490103.72,119995.61 490098.41,119993.33 490097.63,119991.54 490102.94,119993.82 490103.72))","119994490101",B10a,Moermanskkade,Langs,FISCAAL,,1
"POLYGON ((119990.89 489945.44,119993.04 489947.4,119998.46 489941.38,119996.24 489939.46,119990.89 489945.44))","119995489943",B10a,Rigakade,Langs,MULDER,E7,1
