FID,vrt_code,vrtnaam,haven_vaar,meetpunt,breedte,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
zwaaiplaats.95,212,Vaarweg van het Afgesloten-IJ naar de Oude Rijn,,35.756,100,,39847,,,POINT (52.15410000100002 4.644000000999995)
zwaaiplaats.96,013,"Winschoterdiep, Rensel en havens te Winschoten",,27.26,100,,40099,,,POINT (53.174199998000006 6.959800001000019)
zwaaiplaats.97,043,Kuinder of Tjonger,,24.479,,,40373,,,POINT (52.958500001999994 6.133200000999977)
zwaaiplaats.98,094f,Leemvaart,,1.043,30,,41441,,,POINT (52.66519999899998 5.8992000000000075)
zwaaiplaats.99,060,Lemmer - Delfzijl,,28.1,60,,42852,,,POINT (53.23319999900002 6.584800001000019)
zwaaiplaats.100,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,30.7,,,42920,,,POINT (51.11529999999999 5.6682999989999985)
zwaaiplaats.101,103b,Rijnhaven van Wageningen,,1.12,100,,43888,,,POINT (51.961300000999984 5.657699997999998)
zwaaiplaats.102,854,"Oosterhout, haven te",,0.7,100,,44463,,,POINT (51.645399999000006 4.844999998999981)
zwaaiplaats.103,043,Kuinder of Tjonger,,32.581,,,44978,,,POINT (52.995600000000024 6.232000001000017)
zwaaiplaats.104,206,Oude Rijn,,44.697,,,45093,,,POINT (52.128300000000024 4.5753999990000125)
zwaaiplaats.105,206,Oude Rijn,,40.878,95,,45459,,,POINT (52.13580000000002 4.624499999000022)
zwaaiplaats.106,232,Hoge Vaart,,46.604,80,,45670,,,POINT (52.46429999899999 5.702300001000026)
zwaaiplaats.107,933,Industriehaven te Haarlem,,0.398,120,,46285,,,POINT (52.386199999999974 4.658500000999993)
zwaaiplaats.108,232,Hoge Vaart,,56.647,70,,46566,,,POINT (52.536400001000004 5.774400000000014)
zwaaiplaats.109,080,Kanaal Almelo-De Haandrik (Overijsselsch Kanaal) en Coevorden-Vechtkanaal,,25.451,40,,46671,,,POINT (52.574400000000026 6.649300002000018)
zwaaiplaats.110,082,Zijkanaal naar Almelo van de Twenthekanalen,,17.128,60,,46845,,,POINT (52.35990000100003 6.653599999999983)
zwaaiplaats.111,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,8.737,120,,47229,,,POINT (52.166000000999986 6.312600002000011)
zwaaiplaats.112,043,Kuinder of Tjonger,,21.879,,,47513,,,POINT (52.9461 6.102299999000024)
zwaaiplaats.113,225f,Gemeentehaven van Tiel,,0.574,110,,47537,,,POINT (51.912300001999995 5.436199999999985)
zwaaiplaats.114,231b,Larservaart,,6.616,70,,48829,,,POINT (52.440400001 5.563700002000019)
zwaaiplaats.115,212,Vaarweg van het Afgesloten-IJ naar de Oude Rijn,,21.712,50,,49024,,,POINT (52.253899999 4.7117000000000075)
