FID,aanlegjaar,type,soortnaam_lat,soortnaam_ned,categorie,geometrie
O10002_Bomenkaart_OD.131,2006,Boomgroep boom,Prunus 'Umineko',Sierkers,Boom,MULTIPOINT ((176104.719 505548.827))
O10002_Bomenkaart_OD.132,1980,Solitaire boom,Betula pendula,Berk,Boom,MULTIPOINT ((178253.012 503386.526))
O10002_Bomenkaart_OD.133,1983,Straat- / laanboom,Platanus acerifolia,Plataan,Boom,MULTIPOINT ((177036.959 503850.18))
O10002_Bomenkaart_OD.134,1995,Straat- / laanboom,Juglans regia,Walnoot,Boom,MULTIPOINT ((176375.309 504014.25))
O10002_Bomenkaart_OD.135,1994,Knotboom,Salix alba,Wilg,Boom,MULTIPOINT ((176345.079 503407.58))
O10002_Bomenkaart_OD.136,2013,Straat- / laanboom,Alnus spaethii,Els,Boom,MULTIPOINT ((175292.991 505695.292))
O10002_Bomenkaart_OD.137,1980,Straat- / laanboom,Quercus robur,Zomereik,Boom,MULTIPOINT ((172048.779 509130.357))
O10002_Bomenkaart_OD.138,1997,Solitaire boom,Metasequoia glyptostroboides,Moerascypres,Boom,MULTIPOINT ((172205.988 508692.443))
O10002_Bomenkaart_OD.139,2003,Boomgroep boom,Acer platanoides 'Faassen's Black',Esdoorn,Boom,MULTIPOINT ((172349.44 507995.382))
O10002_Bomenkaart_OD.140,2003,Boomgroep boom,Acer campestre 'Elsrijk',Veldesdoorn,Boom,MULTIPOINT ((172303.94 507939.332))
O10002_Bomenkaart_OD.141,1980,Straat- / laanboom,Populus nigra,Zwarte populier,Boom,MULTIPOINT ((172116.359 509719.41))
O10002_Bomenkaart_OD.142,2006,Straat- / laanboom,Liriodendron tulipifera,Tulpenboom,Boom,MULTIPOINT ((172013.92 508719.721))
O10002_Bomenkaart_OD.143,2016,Lei- / vormboom,Robinia pseudoacacia 'Umbraculifera,Bolacacia,Boom,MULTIPOINT ((172167.296 508179.546))
O10002_Bomenkaart_OD.144,2016,Straat- / laanboom,Fraxinus americana 'Skyline',Amerikaanse es,Boom,MULTIPOINT ((172208.689 508003.356))
O10002_Bomenkaart_OD.145,2000,Straat- / laanboom,Alnus glutinosa 'Laciniata',Els,Boom,MULTIPOINT ((172267.845 507965.044))
O10002_Bomenkaart_OD.146,2007,Solitaire boom,Prunus 'Umineko',Sierkers,Boom,MULTIPOINT ((172535.543 508783.203))
O10002_Bomenkaart_OD.147,2008,Solitaire boom,Quercus robur 'Fastig. Koster',Zuileik,Boom,MULTIPOINT ((172990.541 509299.466))
O10002_Bomenkaart_OD.148,2003,Boomgroep boom,Fraxinus excelsior 'Geessink',Es,Boom,MULTIPOINT ((172511.907 507818.16))
O10002_Bomenkaart_OD.149,1990,Solitaire boom,Carpinus betulus 'Frans Fontaine',Haagbeuk,Boom,MULTIPOINT ((172311.729 509684.51))
O10002_Bomenkaart_OD.150,2002,Straat- / laanboom,Acer campestre 'Elsrijk',Veldesdoorn,Boom,MULTIPOINT ((172824.312 508777.324))
O10002_Bomenkaart_OD.151,1965,Straat- / laanboom,Populus canescens,Grauwe abeel,Boom,MULTIPOINT ((178721.651 510343.835))
O10002_Bomenkaart_OD.152,2000,Solitaire boom,Quercus robur 'Fastig. Koster',Zuileik,Boom,MULTIPOINT ((172007.115 508894.882))
O10002_Bomenkaart_OD.153,1997,Solitaire boom,Carpinus betulus 'Frans Fontaine',Haagbeuk,Boom,MULTIPOINT ((172189.209 508409.077))
O10002_Bomenkaart_OD.154,2012,Straat- / laanboom,Prunus 'Accolade',Sierkers,Boom,MULTIPOINT ((172488.472 508087.272))
O10002_Bomenkaart_OD.155,1998,Straat- / laanboom,Alnus glutinosa 'Imperialis',Els,Boom,MULTIPOINT ((172398.016 508949.701))
O10002_Bomenkaart_OD.156,1994,Solitaire boom,Acer campestre 'Red Shine',Veldesdoorn,Boom,MULTIPOINT ((172111.459 509564.11))
O10002_Bomenkaart_OD.157,2003,Boomgroep boom,Acer platanoides 'Princeton Gold',Esdoorn,Boom,MULTIPOINT ((172541.308 508140.797))
O10002_Bomenkaart_OD.158,1965,Solitaire boom,Populus tremula 'Tapiau',Ratelpopulier,Boom,MULTIPOINT ((172350.954 508825.234))
O10002_Bomenkaart_OD.159,2003,Boomgroep boom,Acer campestre 'Elsrijk',Veldesdoorn,Boom,MULTIPOINT ((172372.659 507891.219))
O10002_Bomenkaart_OD.160,1980,Solitaire boom,Betula utilis 'Doorenbos',Berk,Boom,MULTIPOINT ((172607.165 508732.12))
O10002_Bomenkaart_OD.161,1965,Straat- / laanboom,Quercus robur,Zomereik,Boom,MULTIPOINT ((172263.899 509279.08))
O10002_Bomenkaart_OD.162,2007,Straat- / laanboom,Betula pendula 'Zwitsers Glorie',Berk,Boom,MULTIPOINT ((172708.641 508797.514))
O10002_Bomenkaart_OD.163,1997,Solitaire boom,Liquidambar styraciflua,Amberboom,Boom,MULTIPOINT ((172046.573 508550.685))
O10002_Bomenkaart_OD.164,1998,Straat- / laanboom,Salix alba 'Tristes',Treur wilg,Boom,MULTIPOINT ((172432.473 508989.776))
O10002_Bomenkaart_OD.165,1990,Straat- / laanboom,Fraxinus excelsior 'Eureka',Es,Boom,MULTIPOINT ((175622.523 496271.063))
