Rijlabels;9301 - Laboratoriumonderzoek;9520 - BZK specifiek;9530 - DEF specifiek;Eindtotaal
Bouwbedrijf Gebroeders in den Eng B.V.;;;7;7
Bouwbedrijf Kreeft B.V.;;;7;7
Bsol B.V.;;7;;7
Burns & McDonnell Global Inc.;;;7;7
Dura Vermeer Infra Milieu B.V.;;;7;7
Eindhoven Airport N.V.;;;7;7
GXS B.V.;;7;;7
Habenu-van de Kreeke Bouw B.V.;;;7;7
Heerkens van Bavel Bouw B.V.;;;7;7
K_Dekker bouw & infra B.V.;;;7;7
Koopmans Bouwgroep B.V.;;;7;7
NMM Company B.V.;;;7;7
Oosterhof Holman Beton- en Waterbouw B.V.;;;7;7
Pels Rijcken & Droogleever Fortuijn N.V.;;6;7;7
Rasenberg Infra, regio Zuid-West;;;7;7
Schiphol Real Estate B.V.;;;7;7
TES Installatietechniek Tilburg B.V.;;;7;7
TOTAL Nederland N.V.;;7;;7
Unica Datacenters B.V.;;;7;7
V.O.F. Thales Unica;;;7;7
Vink Aannemingsmaatschappij B.V.;;1;7;7
WAM & Van Duren Bouw B.V.;;;7;7
Wijnen Bouw Schijndel;;;7;7
Wijnen Bouwgroep;;;7;7
Wolter & Dros Groningen;;;7;7
anoniem 555;;;8;8
Averesch;;;8;8
Borrenbergs Bouwbedrijf B.V.;;;8;8
Bouwonderneming Stout B.V.;;;8;8
Breda Bouw B.V.;;;8;8
Breijer Contractonderhoud B.V.;;;8;8
Fewiro Wijchen B.V.;;2;8;8
LAUDY Bouw & Ontwikkeling B.V.;;;8;8
NRGValue International B.V.;;8;;8
SHELL Nederland B.V.;;8;;8
Steegman Elektrotechniek B.V.;;;8;8
Aannemingsmaatschappij Friso B.V.;;;9;9
Bouwcombinatie NCIA V.O.F.;;;9;9
Gerco-Willems VGO;;;9;9
Heijmans Utiliteit;;2;9;9
Unica Installatietechniek;;;9;9
BAM Bouw en Techniek B.V.;;;10;10
PHB Facility;;;10;10
IDEMIA The Netherlands B.V.;;11;;11
Komfort B.V.;;;11;11
Eindtotaal;2;11;13;13
