AreaManagerId,AreaId,StartDateSpecifications,Capacity,EndDateSpecifications,ChargingPointCapacity,DisabledAccess,MaximumVehicleHeight,LimitedAccess
928,928_CARBPL,20201102162731,100,,0,,0,N
2199,1709_PRZEV,20191018141550,147,,0,0,0,N
928,928_KLOO,20200702103335,84,,0,0,260,N
2199,1908_PRDEI,20191003144630,12,,0,0,0,N
2199,56_PRZUI,20191008111607,19,,0,0,0,N
534,534_PRPAR,20191119140331,40,,0,,0,N
2199,1895_PRSCH,20191001080447,64,,0,0,0,N
556,556_PRMAA,20191119144418,65,,0,,0,N
928,928_THEAPL,20201102162600,55,,0,,0,N
2199,1740_PRNE3,20191018140614,16,,0,0,0,N
2199,274_PRWOL,20191001080156,32,,0,0,0,N
5,5_PRBED,20150601000000,28,20991231235959,0,0,0,
2199,2199_PRZEV,20191114112612,147,,0,0,0,N
2199,637_PRZOE2,20191003153835,30,,0,0,0,N
2587,2587_GAR01,20201130103941,199,,0,1,195,N
534,534_PRHIL,20191119140206,100,,0,,0,N
715,715_OKLK,20201102131349,289,,0,0,200,N
2199,236_PRGELM,20190923145614,250,,0,0,0,N
585,585_CPOBO,20191119150037,125,,0,,0,N
2199,2199_VOER,20200228140816,40,,0,0,0,N
1930,1930_BOEK,20161004141904,375,,0,0,210,N
556,556_PRMWE,20191119145406,60,,0,,0,N
2001,1842_SCHIP,20171121163149,30,,0,0,0,N
2449,518_LEID,20191119161710,207,,0,0,210,N
715,715_SCHU,20201102131210,220,,0,0,200,N
2199,986_PRVOE,20191003125203,54,,0,0,0,N
2199,18_PRSAP,20191009135556,5,,0,0,0,N
715,715_CPBHVN,20200612131527,94,,0,0,0,N
575,575_CPNOO,20191119145712,10,,0,,0,N
2199,377_PROVE,20191009145256,72,,0,0,0,N
523,523_PRHAR,20191119135709,42,,0,,0,N
90,90_RAAD,20191112090710,225,,0,,210,N
2199,1509_PRVAR,20191018153544,142,,0,0,0,N
2199,622_PRVLA,20191029074543,30,,0,0,0,N
2199,2199_BUND1,20200228110341,37,,0,0,0,N
2199,2199_BKELS,20200225074037,121,,0,0,0,N
2199,637_PRZOE4,20191008085055,24,,0,0,0,N
2199,274_PROOS,20191003142932,5,,0,0,0,N
2199,626_PRVOO,20191009142636,123,,0,0,0,N
2461,518_NOHA,20191119164148,302,,0,0,0,N
5,5_CPBED,20150601000000,20,20991231235959,0,0,210,
2199,2199_BUND2,20200228110431,90,,0,0,0,N
2449,106_TORL,20191219141055,246,,0,0,195,N
1680,1680_CPGAS,20191219111819,14,,0,,0,N
2199,2199_KERKE,20200228115926,48,,0,0,0,N
2199,737_PRHUR,20191001082759,13,,0,0,0,N
1680,1680_CPROL,20191219115011,10,,0,,0,N
90,90_KNOBEL,20191112090752,285,,0,,210,N
2199,285_PRTWE,20191008084439,80,,0,0,0,N
2533,356_CITPL,20201102134827,770,,0,0,200,N
2199,1740_PRNED,20190926120301,34,,0,0,0,N
611,611_CPNOO,20150601000000,44,20991231235959,0,0,0,
2199,2199_KLIRA,20200228131638,10,,0,0,0,N
2199,1904_BRENO,20190926115657,230,,0,0,0,N
2199,18_PRKRO,20191018142316,19,,0,0,0,N
2199,1734_PROVE,20190923153202,23,,0,0,0,N
888,888_CPGEL,20191029082520,16,,0,0,200,N
2533,307_OLIE,20200826125827,38,,0,0,0,N
2199,275_PRDIE,20191008114413,170,,0,0,0,N
2199,622_PRVLCE,20191001135104,119,,0,0,0,N
2448,796_MAGI,20160715164446,163,,0,0,0,J
2448,402_SILVER,20160613162121,320,,0,0,205,J
2448,200_ORAN,20160520160741,517,,2,0,195,J
2448,917_TELEP,20160701115645,455,,0,0,200,J
2448,758_CENT,20160627162541,300,,0,0,190,J
2448,200_MUSE,20160520160838,700,,2,0,195,J
2533,402_GOLD,20200828110252,364,,0,0,190,N
2533,402_GOBR,20200828110515,400,,0,0,190,N
2533,356_STHS,20201102134106,538,,0,0,210,N
34,ALMKZDVLD,20210111094609,262,,0,1,0,N
2449,202_ZHRS,20191121152508,1592,,0,0,210,N
381,381_PRBUZ,20150601000000,311,20991231235959,0,0,0,
2199,2199_ECHT1,20200228135037,54,,0,0,0,N
2199,1740_PRNE2,20191009142847,16,,0,0,0,N
2199,296_PRWIJC,20191003112139,40,,0,0,0,N
2199,622_PRVLWE,20191029073156,86,,0,0,0,N
2199,1908_PRDRO,20191009140102,20,,0,0,0,N
928,928_EINDST,20201102162658,65,,0,,0,N
2199,2199_SUST2,20200228140514,62,,0,0,0,N
2199,2199_SUST1,20200228140258,27,,0,0,0,N
2199,1700_PRVRI,20191008080104,16,,0,0,0,N
2199,24_PRLOP,20190926162552,42,,0,0,0,N
2199,363_PRABCO,20190926123208,50,,0,0,0,N
2199,1895_PRNIS,20191003105935,10,,0,0,0,N
2199,457_PRWEE,20191018141720,374,,0,0,0,N
2199,2199_ECHT2,20200228135605,98,,0,0,0,N
