FID,vrt_code,vrtnaam,haven_vaar,meetpunt,doorv_hoog,ref_vlak,hoogte_t_n,opmerking,bhr_naam,bhr_afdeli,bhr_type,bhr_be_adr,bhr_b_plts,bhr_postad,bhr_pos_pc,bhr_p_plts,bhr_tel_nr,bhr_fax_nr,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
hoogspanningsleiding.223,037,Vaarweg van Het Deel langs Akkrum en Gorredijk naar de Drentsche Hoofdvaart,,40.713,,KP,17.5,,,,,,,,,,,,,46439,,,POINT (53.01319999999998 6.238400001000002)
hoogspanningsleiding.224,130,Kanaal van Gent naar Terneuzen met de Zijkanalen en havens,,4.115,,KP,56,,Electrabel (B),,ET,,,,,,,,,46876,,,POINT (51.1096 3.742699999000024)
hoogspanningsleiding.225,086,"Zwolle-IJsselkanaal, Zwarte Water, Zwolsche Diep, Ramsdiep en Schokkerhaven",,32.65,,MP,31.4,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,47024,,,POINT (52.61899999899998 5.868999998999982)
hoogspanningsleiding.226,094e,Enservaart,,4.8,,KP,7.4,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,47141,,,POINT (52.66899999999998 5.818700001000025)
hoogspanningsleiding.227,126d,Mark-Vlietkanaal en havens van Roosendaal,,2.3,,KP,26.4,,,,,,,,,,,,,47239,,,POINT (51.55720000000002 4.447900000999994)
hoogspanningsleiding.228,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,104.5,20,KP,20,,,,,,,,,,,,,47244,,,POINT (51.05600000200002 5.6965000000000146)
hoogspanningsleiding.229,083,Oude IJssel,,12.097,,NAP,28.8,"Hoogte: SP+28,80m=NAP+38,80m /  lijn tussen mastnrs. 2 en 3.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,47312,,,POINT (51.96750000100002 6.272199999999998)
hoogspanningsleiding.230,227,Vecht,,41.595,,KP,29.4,,,,,,,,,,,,,47439,,,POINT (52.32510000100001 5.063900000999979)
hoogspanningsleiding.231,034,Vaarweg van het Prinses Margrietkanaal (Kruiswaters) naar Drachten,,13.786,,KP,33,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,47556,,,POINT (53.10909999900002 6.069699999000022)
hoogspanningsleiding.232,229,Vaarweg vanaf het IJmeer via de Randmeren naar het Ketelmeer,,64,27.8,NAP,27.8,"Hoogte: MP (winterpeil)+28,10m=NAP+27,80m / lijn tussen mastnrs. 50 en 51.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,47810,,,POINT (52.48600000099998 5.842199999999991)
hoogspanningsleiding.233,006,"Vaarwegen in de stad Groningen, Reitdiep en Lauwersmeer",,16.064,,KP,30,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,48073,,,POINT (53.313200000999984 6.486400000999993)
hoogspanningsleiding.234,229,Vaarweg vanaf het IJmeer via de Randmeren naar het Ketelmeer,,20.517,,NAP,28.4,"Hoogte: MP (winterpeil)+28,85m=NAP+28,45m / lijn tussen mastnrs. 101 en 102.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,48239,,,POINT (52.253199998000014 5.398300000000006)
hoogspanningsleiding.235,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,106.4,21,KP,21,,,,,,,,,,,,,48263,,,POINT (51.03909999899997 5.70010000100001)
hoogspanningsleiding.236,242,Vaarweg Alkmaar-Huigendijk-Ursum-Avenhorn,,6.464,,KP,9.2,,,,,,,,,,,,,48612,,,POINT (52.632300000999976 4.836800002000018)
hoogspanningsleiding.237,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,13.921,,NAP,35,"Hoogte: KP+25,05m=NAP+35,05m / lijn tussen mastnrs. 1 en 2.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,48628,,,POINT (52.16670000200003 6.388300001999994)
hoogspanningsleiding.238,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,3.097,29.7,KP,29.7,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,48952,,,POINT (51.71310000099999 5.276000001)
hoogspanningsleiding.239,119,Maas-Waalkanaal,,10.372,,NAP,36.3,"Hoogte: SP+28,70m=NAP+36,30m / lijn tussen mastnrs. 10 en 11.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,49528,,,POINT (51.84099999799997 5.812100000999976)
hoogspanningsleiding.240,225,Amsterdam-Rijnkanaal,,72.344,38,NAP,38,150 KV lijn tussen mastnrs. 48 en 49.,nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,50165,,,POINT (51.89689999799998 5.456900001000008)
hoogspanningsleiding.241,030,Vaarweg vanuit het Bergumermeer naar Dokkumer Nieuwe Zijlen,,2.394,,KP,24.1,,,,,,,,,,,,,50179,,,POINT (53.217300002 6.033900000000017)
hoogspanningsleiding.242,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,12.807,,NAP,30,"Hoogte: KP+20,00m=NAP+30,00m. ",,,,,,,,,,,,50247,,,POINT (52.16660000000002 6.3720000010000035)
hoogspanningsleiding.243,009,Boterdiep,,9.081,,KP,18,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,50292,,,POINT (53.31199999900002 6.599399999000013)
hoogspanningsleiding.244,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,128.069,,MP,30.4,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,50345,,,POINT (52.60880000100002 5.650899998999989)
hoogspanningsleiding.245,060,Lemmer - Delfzijl,,31.1,23,KP,23,,,,,,,,,,,,,50388,,,POINT (53.24630000100001 6.544799997999974)
hoogspanningsleiding.246,082,Zijkanaal naar Almelo van de Twenthekanalen,,10.016,,KP,20,,,,,,,,,,,,,50493,,,POINT (52.327500000999976 6.627400000000023)
hoogspanningsleiding.247,202,Vaarweg Noordzeekanaal-Spaarne-Kagerplassen,,27.1,35,KP,35,,,,,,,,,,,,,50723,,,POINT (52.24089999900002 4.565200000999994)
hoogspanningsleiding.248,060,Lemmer - Delfzijl,,8.4,47,KP,47,-,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,50925,,,POINT (53.30249999799997 6.832699998999999)
hoogspanningsleiding.249,043,Kuinder of Tjonger,,7.196,,KP,20,,,,,,,,,,,,,50932,,,POINT (52.90690000000001 5.9305999989999805)
hoogspanningsleiding.250,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,69.684,,NAP,36.3,150 kV lijn tussen mastnrs. 46 en 47.,nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,51105,,,POINT (51.81060000100001 5.333099999000012)
hoogspanningsleiding.251,234,Noordhollandsch Kanaal,,19.755,,KP,40,,,,,,,,,,,,,51232,,,POINT (52.517600000000016 4.897700000999976)
hoogspanningsleiding.252,029,"Ouddeel, Groote Wielen, Rijperkerkstervaart",,2.293,,KP,13.3,,,,,,,,,,,,,51378,,,POINT (53.201400001000025 5.857500001999995)
hoogspanningsleiding.253,065,Bolswardertrekvaart,,20.337,,KP,19.8,,,,,,,,,,,,,51454,,,POINT (53.07549999999998 5.532000002000018)
hoogspanningsleiding.254,084,"Geldersche IJssel, Keteldiep en Ketelmeer",,43.077,,NAP,50.4,Lijn tussen mastnrs. 35 en 36.,nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,51559,,,POINT (52.162099997999974 6.185099999999977)
hoogspanningsleiding.255,013,"Winschoterdiep, Rensel en havens te Winschoten",,24.962,,KP,24.5,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,51654,,,POINT (53.173 6.925700000999996)
hoogspanningsleiding.256,030,Vaarweg vanuit het Bergumermeer naar Dokkumer Nieuwe Zijlen,,2.593,,KP,24.1,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,51841,,,POINT (53.21909999799999 6.033599998999989)
hoogspanningsleiding.257,012,"Slochterdiep, Afwateringskanaal van Duurswold, Schildmeer en Groeve (zuidelijk gedeelte)",,17.309,,KP,16.1,220 kV lijn tussen mastnrs. 152 en 153.,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,52337,,,POINT (53.295600001000025 6.844500002000018)
hoogspanningsleiding.258,126,Mark en Dintel,,2.575,,KP,28.5,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,52552,,,POINT (51.61329999899999 4.76049999899999)
hoogspanningsleiding.259,022,Van Harinxmakanaal,,6.9,,KP,30.1,,,,,,,,,,,,,52609,,,POINT (53.18090000000001 5.512299999999982)
hoogspanningsleiding.260,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,28.298,41.3,NAP,41.3,150 kV lijn tussen mastnrs. 1 en 2.,nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,52685,,,POINT (51.859399999999994 5.838599998999996)
hoogspanningsleiding.261,022a,Nauwe Greuns,,1.404,,KP,30.1,,,,,,,,,,,,,52746,,,POINT (53.17020000100001 5.8419999999999845)
hoogspanningsleiding.262,016,"Westerwoldsche Aa, Pekel-Aa en Pekelerhoofddiep",,19.456,,KP,14.3,"380 kV lijn, tussen mastnrs. 17 en 18.",nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,52987,,,POINT (53.122099999 7.039600000000007)
hoogspanningsleiding.263,128,Haven van Bergen op Zoom of Theodorushaven,,1.245,,MP,47,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,53529,,,POINT (51.49969999899997 4.236900002000027)
hoogspanningsleiding.264,086,"Zwolle-IJsselkanaal, Zwarte Water, Zwolsche Diep, Ramsdiep en Schokkerhaven",,9.164,,MP,30.3,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,53534,,,POINT (52.573800000999995 6.103399998999976)
hoogspanningsleiding.265,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,44.857,25.5,KP,25.5,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,53645,,,POINT (51.46649999900001 5.693700001000025)
hoogspanningsleiding.266,117,Vaarweg van het Hollandsch Diep via de Goereesesluis naar de Noordzee,,3.254,,NAP,38,,,,,,,,,,,,,53952,,,POINT (51.71970000099998 4.400100000000009)
hoogspanningsleiding.267,221,Weespertrekvaart,,8.37,,KP,15.2,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,54201,,,POINT (52.309300001999986 5.008600000000001)
hoogspanningsleiding.268,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,217.239,,NAP,35,,,,,,,,,,,,,54288,,,POINT (51.71249999899999 4.834800001000019)
hoogspanningsleiding.269,232,Hoge Vaart,,39.514,,NAP,19.6,"Hoogte: KP+24,80m=NAP+19,60m / lijn tussen mastnrs. 33 en 34.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,54352,,,POINT (52.42179999899997 5.625700000999984)
hoogspanningsleiding.270,013b,Oude Winschoterdiep te Groningen,,0.24,,KP,33.3,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,54493,,,POINT (53.19799999899999 6.6167000010000265)
hoogspanningsleiding.271,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,119.9,20,KP,20,,,,,,,,,,,,,54705,,,POINT (50.922699998999974 5.704999998000005)
hoogspanningsleiding.272,222,"Bullewijk, Waver, Winkel, Vinkeveensche Plassen, Geuzensloot, Angstel en Nieuwe Wetering",,16.609,,KP,18.9,,,,,,,,,,,,,54918,,,POINT (52.20169999799998 4.996500000000026)
hoogspanningsleiding.273,618,Industriehaven-West te Heerenveen,,0.784,,KP,30.1,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,55200,,,POINT (52.97439999900001 5.894799999999975)
hoogspanningsleiding.274,232,Hoge Vaart,,23.91,,NAP,19.6,"Hoogte: KP+24,80m=NAP+19,60m / lijn tussen mastnrs. 130 en 131.",nv Nuon Transport,Gelderland en Flevoland,ET,,,Postbus 8008,6920 CA,Duiven,,,,55836,,,POINT (52.34349999900002 5.459800001000019)
hoogspanningsleiding.275,075,Drentsche Hoofdvaart,,0.824,,KP,20.4,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,56003,,,POINT (52.99659999800002 6.519400001000008)
hoogspanningsleiding.276,037,Vaarweg van Het Deel langs Akkrum en Gorredijk naar de Drentsche Hoofdvaart,,44.063,,KP,21.8,,,,,,,,,,,,,56194,,,POINT (52.9923 6.270699999999977)
hoogspanningsleiding.277,029,"Ouddeel, Groote Wielen, Rijperkerkstervaart",,2.253,,KP,13.3,,,,,,,,,,,,,56644,,,POINT (53.20109999900001 5.857700001000012)
hoogspanningsleiding.278,215,Wijde Aa en Does,,5.654,,KP,17.6,,,,,,,,,,,,,57035,,,POINT (52.159400000999995 4.55970000100001)
hoogspanningsleiding.279,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,35.316,,NAP,39.6,"SP+33,67m=NAP+39,67m / lijn tussen mastnrs. 16 en 17.",nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,57130,,,POINT (51.95269999999999 5.659899998000014)
hoogspanningsleiding.280,110a2,Dode Kikvorskil en Zoetemelkskil,,1.716,,NAP,20,,,,,,,,,,,,,57555,,,POINT (51.80720000000002 4.805199999000024)
hoogspanningsleiding.281,019,Vaarweg Veendam-Stadskanaal-Ter Apel,,18.495,,KP,20.5,110 kV lijn,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,57944,,,POINT (52.97630000100003 6.969200000000001)
hoogspanningsleiding.282,060,Lemmer - Delfzijl,,88.5,30,KP,30,,nv Nuon,,ET,Groningensingel 81,Arnhem,Postbus 40021,6803 HA,Arnhem,0900-0808,,,57978,,,POINT (53.075800001999994 5.819099999999992)
hoogspanningsleiding.283,087,Stadsgrachten en havens te Zwolle,,4.856,,MP,17.4,,,,,,,,,,,,,58036,,,POINT (52.50110000000001 6.126499998999975)
hoogspanningsleiding.284,018,A.G. Wildervanckkanaal,,3.085,,KP,24.4,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,58098,,,POINT (53.13639999899999 6.897700000999976)
hoogspanningsleiding.285,126,Mark en Dintel,,25.888,,KP,28,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,58370,,,POINT (51.60949999799999 4.5009000000000015)
hoogspanningsleiding.286,124,Amertak en Wilhelminakanaal,,63.645,,KP,28.3,,Essent (voorheen Edon en PNEM-Mega Groep),,ET,Marsweg 5,Zwolle,Postbus 544,8000 AM,Zwolle,038-8527978,,,58522,,,POINT (51.509199998999975 5.5359999980000225)
hoogspanningsleiding.287,103,"Pannerdensch Kanaal, Neder-Rijn en Lek",,20.657,,NAP,40.6,Lijn tussen mastnrs. 48 en 49.,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,58566,,,POINT (51.97010000099999 5.853599998999982)
hoogspanningsleiding.288,236,"Zaan, Tap- of Tochtsloot, Markervaart en Alkmaardermeer",,14.674,,KP,30,,,,,,,,,,,,,58568,,,POINT (52.526099998999996 4.779399997999974)
hoogspanningsleiding.289,,,,0,,UNSPECIFIED,,,,,,,,,,,,,,1321672,,,POINT (51.007100001000026 5.713799998000013)
hoogspanningsleiding.290,,,,0,,UNSPECIFIED,,,,,,,,,,,,,,1321791,,,POINT (50.98180000100001 5.706500000999995)
hoogspanningsleiding.291,02400,Kanaal Bocholt-Herentals,,0,,UNSPECIFIED,,,,,,,,,,,,,,1355494,,,POINT (51.230399999999975 5.143500000000017)
hoogspanningsleiding.292,02400,Kanaal Bocholt-Herentals,,0,,UNSPECIFIED,,,,,,,,,,,,,,1355551,,,POINT (51.23710000099999 5.395699999999977)
hoogspanningsleiding.293,02400,Kanaal Bocholt-Herentals,,0,,UNSPECIFIED,,,,,,,,,,,,,,1355756,,,POINT (51.224699999999984 5.107299997999974)
hoogspanningsleiding.294,02400,Kanaal Bocholt-Herentals,,0,,UNSPECIFIED,,,,,,,,,,,,,,1355828,,,POINT (51.22349999800002 5.094200000000001)
hoogspanningsleiding.295,02400,Kanaal Bocholt-Herentals,,0,,UNSPECIFIED,,,,,,,,,,,,,,1355864,,,POINT (51.16950000100002 4.831200000000024)
hoogspanningsleiding.296,02400,Kanaal Bocholt-Herentals,,0,,UNSPECIFIED,,,,,,,,,,,,,,1355896,,,POINT (51.24810000100001 5.260600001)
hoogspanningsleiding.297,02000,Albertkanaal (BE),,0,,UNSPECIFIED,,,,,,,,,,,,,,1361628,,,POINT (51.237599999 4.451200001000018)
hoogspanningsleiding.298,02500,Kanaal Dessel-Kwaadmechelen,,0,,UNSPECIFIED,,,,,,,,,,,,,,1370291,,,POINT (51.22340000000003 5.162599999000008)
hoogspanningsleiding.299,226b,Gekanaliseerde Hollandsche IJssel (beoosten Gouda),,31.031,,KP,18.5,,nv SEP / Tennet bv,,ET,Utrechtseweg 310,Arnhem,Postbus 718,6800 AS,Arnhem,026-3731111,,,7070284,,,POINT (52.00230000200003 4.752099998000006)
hoogspanningsleiding.300,066,Harlingen-Bolsward,,18.8,,KP,,"Doorvaarthoogte 19,9",,,,,,,,,,,,19802582,,,POINT (53.07569999999998 5.5242000000000075)
hoogspanningsleiding.301,063,Sneekertrekvaart of Zwette,,17.9,,UNSPECIFIED,,,,,,,,,,,,,,19962116,,,POINT (53.051899999 5.6766000019999865)
hoogspanningsleiding.302,063,Sneekertrekvaart of Zwette,,18.7,,UNSPECIFIED,,,,,,,,,,,,,,19984378,,,POINT (53.04659999900002 5.680100001000028)
