FID,DATUM,VAN_KNPNR,NAAR_KNPNR,STRENGNR,STRENGTYPE,AFVOERTYPE,JAAR,JAAR_RECON,MATERIAAL,VORM,VANBOBPEIL,NARBOBPEIL,BREEDTE,HOOGTE,BODEMBRDT,LENGTE,INSPECTIE,JAARVERV_INDICATIE,DD_BIJGEWERKT,GEOMETRIE
BOR_RIO_LEIDINGEN.1562,2022-11-09,11266,Z11396,1,duiker,water opperv,1967,1967,beton,rond,5.7,5.7,600,600,140,10.92,,0,2023-02-01,"LINESTRING (183387.016 424570.219, 183396.688 424575.281)"
BOR_RIO_LEIDINGEN.1563,2022-11-09,11266,Z11397,1,duiker,water opperv,1967,1967,beton,rond,5.7,5.7,600,600,140,15.77,,0,2023-02-01,"LINESTRING (183387.016 424570.219, 183372.813 424563.375)"
BOR_RIO_LEIDINGEN.1564,2022-11-09,11267,11268,1,regen,gescheiden,1967,1967,beton,rond,6.45,6.49,300,300,130,39.99,2013-10-14,2083,2023-02-01,"LINESTRING (183188.22 424567.854, 183225.645 424581.949)"
BOR_RIO_LEIDINGEN.1565,2022-11-09,11267,11281,1,regen,gescheiden,1967,1967,beton,rond,6.45,6.4,300,300,130,40.18,2013-10-14,2083,2023-02-01,"LINESTRING (183188.22 424567.854, 183202.315 424530.22)"
BOR_RIO_LEIDINGEN.1566,2022-11-09,11268,11269,1,regen,gescheiden,1967,1967,beton,rond,6.49,6.55,300,300,130,58.12,2013-11-22,2083,2023-02-01,"LINESTRING (183225.645 424581.949, 183246.098 424527.535)"
BOR_RIO_LEIDINGEN.1567,2022-11-09,1127,1128,1,regen,gescheiden v,1956,1956,beton,rond,9.26,9.17,250,250,130,39.5,2021-05-18,2046,2023-02-01,"LINESTRING (185639.269 429562.154, 185678.656 429565.063)"
BOR_RIO_LEIDINGEN.1568,2022-11-09,11270,11271,1,vuil,gescheiden,1967,1967,beton,rond,6.5,6.32,300,300,130,60.11,2015-10-07,2085,2023-02-01,"LINESTRING (183245.688 424524.735, 183224.009 424580.82)"
BOR_RIO_LEIDINGEN.1569,2022-11-09,11271,11272,1,vuil,gescheiden,1967,1967,beton,rond,6.07,5.85,300,300,130,40,2015-05-13,2040,2023-02-01,"LINESTRING (183224.009 424580.82, 183186.884 424565.856)"
BOR_RIO_LEIDINGEN.1570,2022-11-09,11272,11273,1,vuil,gescheiden,1967,1967,beton,rond,5.85,5.96,300,300,130,37.21,2015-05-13,2085,2023-02-01,"LINESTRING (183186.884 424565.856, 183200.406 424531.138)"
BOR_RIO_LEIDINGEN.1571,2022-11-09,11273,11274,1,vuil,gescheiden,1967,1967,beton,rond,5.96,6.08,300,300,130,40.86,2015-05-13,2025,2023-02-01,"LINESTRING (183200.406 424531.138, 183162.177 424516.714)"
