X,Y,OBJECTID,IDENTIFICATIE,HOOGTE,LOCATIE,X_GEVEL,Y_GEVEL,BRONHOUDER
4.76219185652181,51.5420537821098,209,50B0091,5.86,ijbs bet.poer in bos a/d z-z onverh.wg(oude postbaan) 0.80 m,,,Rijkswaterstaat
4.76589160189111,51.5476915435836,210,50B0092,5.617,West-zijde kruispad lange Dreef/Frederiksdreef,,,Rijkswaterstaat
4.78556132419299,51.550589982416,211,50B0093,4.279,boerderij Reeptiend 50,+0092,+0053,Rijkswaterstaat
4.79599685168918,51.5497173827878,212,50B0094,5.125,huis Hooidonkstraat 12,+0044,+0054,Rijkswaterstaat
4.8064568561119,51.5480259901181,213,50B0095,5.132,huis Annevillelaan 106,+0017,+0022,Rijkswaterstaat
4.81594501239106,51.550185118296,214,50B0096,6.454,huis Huisdreef 1,-0055,+0062,Rijkswaterstaat
4.74556504296648,51.5567773215382,215,50B0103,6.235,IJzeren buis in bos zuid-zijde van Bospad,,,Rijkswaterstaat
4.76858814960174,51.5593014547236,216,50B0106,5.033,huis Bouvignedreef 1 ,-0420,+0058,Rijkswaterstaat
4.79223997750605,51.5580579294325,217,50B0108,3.4,huis Ulvenhoutselaan 127,-0068,+0050,Rijkswaterstaat
4.83887648870542,51.5579533783623,218,50B0112,7.499,Trafo Woestenbergseweg 1,+0017,+0034,Rijkswaterstaat
4.86481891806915,51.5604272024133,219,50B0115,8.849,bdr lage aard 3,-0112,+0027,Rijkswaterstaat
4.74130465987793,51.5673786834775,220,50B0117,4.176,boerderij Roskam 36,+0027,+0038,Rijkswaterstaat
4.7460493458064,51.5663980502709,221,50B0118,4.137,schuur boerderij Dr. Batenburglaan 81,+0286,+0032,Rijkswaterstaat
4.74931528027711,51.5628653217493,222,50B0119,4.399,huis Dr. Batenburglaan 186,+0293,+0068,Rijkswaterstaat
4.77599741836425,51.5670258801435,223,50B0123,3.646,huis Baronielaan 330,+0102,+0060,Rijkswaterstaat
4.79682225717013,51.5649755836047,224,50B0125,4.357,Trafo tussen Bavelselaan 145 en 147,-0346,+0032,Rijkswaterstaat
4.80497599410254,51.5657086123541,225,50B0126,5.53,huis Bavelselaan 261,+0027,+0031,Rijkswaterstaat
