GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,PUIC,RELATIEVEHOOGTELIGGING,STATUS,TIJDSTIP_REGISTRATIE,ID,Shape__Area,Shape__Length
,,,,,,,,,,,113130.69717,549684.116,52.9325970927429,4.76450538434134,Prorail,L0004,bestaand,28.117782,283,1521647cd11841728c831ed71f3867ca,1,gerealiseerd,2015/05/19 12:53:52+00,5933156,0,0
,,,,,,,,,,,113068.702001,549748.865,52.9331741117074,4.76357509577421,Prorail,L0004,bestaand,13.653,283,8b2d98bb061b41e3a8fc4d2e3701af09,1,gerealiseerd,2015/05/19 12:53:52+00,5933159,0,0
,,,,,,,,,,,115715.784,533321.013502,52.7857502360326,4.80491190402208,Prorail,L0004,bestaand,49.853328,283,cdcd934181954b7785ecebbf8e8cf790,1,gerealiseerd,2015/05/19 12:53:52+00,5933160,0,0
,,,,,,,,,,,116219.132,542350.594,52.8669283044294,4.81130560557043,Prorail,L0004,bestaand,39.041412,283,ef98dfe3be9b44bdad68cb4c6fd89a97,1,gerealiseerd,2015/05/19 12:53:52+00,5933163,0,0
,,,,,,,,,,,143352.706895,487481.3085,52.3750808083726,5.21616373325383,Prorail,L0004,bestaand,66.069902,283,af418b4751e00188e0530b29a8c080eb,1,gerealiseerd,2020/09/18 16:18:11+00,5933450,0,0
206,,206,206__,Zwolle - Wierden,Zl-Wdn,Zwolle - Wierden ,12.57161,"12,571610",Noord-Oost,NO,211829.2075,493542.330466,52.4267301694505,6.2227277569184,Prorail,L0004,bestaand,120.833889,283,0fd94fc592134f7d91f6f0d1795b297f,1,gerealiseerd,2015/11/25 15:34:39+00,5934005,0,0
,,,,,,,,,,,186429.129,319970.792918,50.8686865348588,5.83364856610587,Prorail,L0004,bestaand,50.505901,283,b3d4cab3014640d7a6801d3bf1778229,1,gerealiseerd,2020/07/24 15:01:39+00,5935598,0,0
,,,,,,,,,,,141084.682,522555.296403,52.6902450291181,5.18139437562756,Prorail,L0004,bestaand,41.88511,283,a8e9b91dbc24476fe05332a1e90ae2e6,1,gerealiseerd,2020/10/02 13:30:16+00,5936344,0,0
,,,,,,,,,,,141068.898,522550.5865,52.6902022981114,5.18116112604013,Prorail,L0004,bestaand,41.427116,283,a8e9b91dbcb8476fe05332a1e90ae2e6,1,gerealiseerd,2020/10/02 13:30:18+00,5936348,0,0
,,,,,,,,,,,141780.852,452819.004399,52.0635080900275,5.19443297244763,Prorail,L0004,bestaand,65.56242,283,ebc3325f4917217ae0530b29a8c00ca4,1,gerealiseerd,2022/10/26 15:29:22+00,5936732,0,0
,,,,,,,,,,,164894.64426,448820.1295,52.0276348396669,5.53137754366221,Prorail,L0004,bestaand,81.736727,283,ebc3325f490b217ae0530b29a8c00ca4,1,gerealiseerd,2022/10/26 15:29:29+00,5936733,0,0
,,,,,,,,,,,164898.028825,448823.4885,52.0276649701798,5.53142695720369,Prorail,L0004,bestaand,36.999705,283,ebc3325f490f217ae0530b29a8c00ca4,1,gerealiseerd,2022/10/26 15:29:51+00,5936734,0,0
,,,,,,,,,,,167708.884,377349.7975,51.3851722548912,5.56976878442904,Prorail,L0004,bestaand,27.03203,283,ca2ac782f2ca430ca4ddba97a59f7381,1,gerealiseerd,2022/02/17 14:32:15+00,5936834,0,0
,,,,,,,,,,,196842.4765,496476.401418,52.4544480296468,6.00276866951398,Prorail,L0004,bestaand,54.789734,283,df4aab3d0d4e220ce0530b29a8c0e61e,1,gerealiseerd,2022/05/19 18:30:04+00,5937160,0,0
,,,,,,,,,,,169744.5205,460054.025697,52.128497126509,5.60253042366025,Prorail,L0004,bestaand,68.414798,283,ab16f8c74bd06508e05332a1e90aa656,1,gerealiseerd,2020/07/24 13:13:20+00,5938479,0,0
,,,,,,,,,,,232179.482,480968.946,52.3112558763403,6.51898807622209,Prorail,L0004,bestaand,68.545192,283,ac1dff28a58e26f9e0530b29a8c095d2,1,gerealiseerd,2020/08/10 10:08:38+00,5939558,0,0
,,,,,,,,,,,225640.0255,477860.093,52.284197162272,6.42245598945316,Prorail,L0004,bestaand,117.006026,283,ac1dff28a58b26f9e0530b29a8c095d2,1,gerealiseerd,2020/08/10 10:08:36+00,5939571,0,0
,,,,,,,,,,,167812.501,450825.711,52.0456013224484,5.5739685674381,Prorail,L0004,bestaand,27.300774,283,d009aae0e7ef12cee0531529a8c0e6c7,1,gerealiseerd,2021/11/29 13:29:54+00,5939746,0,0
,,,,,,,,,,,168183.478424,441132.345,51.9584676271798,5.5790027546182,Prorail,L0004,bestaand,54.524128,283,cfe318e566c764bbe0531529a8c00005,1,gerealiseerd,2021/11/29 13:29:56+00,5939756,0,0
,,,,,,,,,,,167826.33,450821.585,52.045563917593,5.57416999418804,Prorail,L0004,bestaand,27.300774,283,d009aae0e7f112cee0531529a8c0e6c7,1,gerealiseerd,2021/11/29 13:30:03+00,5939759,0,0
,,,,,,,,,,,195202.226,583335.117,53.2350936793349,5.98929551081429,Prorail,L0004,bestaand,54.751104,283,e4d8c5e9be210b95e0530b29a8c0a891,1,gerealiseerd,2022/08/09 16:08:03+00,5940495,0,0
,,,,,,,,,,,225655.545609,477860.0975,52.2841952102293,6.42268340691343,Prorail,L0004,bestaand,67.620533,283,ac1dff28a59726f9e0530b29a8c095d2,1,gerealiseerd,2020/08/10 10:08:05+00,5940506,0,0
,,,,,,,,,,,113149.275,549643.207683,52.9322309344215,4.76478691256016,Prorail,L0004,bestaand,92.429126,283,1726b3c693e14c9ca38798e8ee00e871,1,gerealiseerd,2015/05/19 12:53:52+00,5940735,0,0
,,,,,,,,,,,222967.6905,585170.428,53.24877665838,6.40546262306859,Prorail,L0004,bestaand,54.700695,283,e4d8c5e9be080b95e0530b29a8c0a891,1,gerealiseerd,2022/08/09 16:07:58+00,5940944,0,0
,,,,,,,,,,,113068.100851,549750.878,52.9331921536474,4.76356589694293,Prorail,L0004,bestaand,13.650214,283,f583f3e7130444e0a504ab6bb7c87513,1,gerealiseerd,2015/05/19 12:53:52+00,5941144,0,0
