Kenteken,As nummer,Aantal assen,Aangedreven as,Hefas,Plaatscode as,Spoorbreedte,Weggedrag code,Wettelijk toegestane maximum aslast,Technisch toegestane maximum aslast,Geremde as indicator,Afstand tot volgende as voertuig,Afstand tot volgende as voertuig minimum,Afstand tot volgende as voertuig maximum,Maximum last as technisch maximum,Maximum last as technisch minimum
0013ZZ,1,6,,N,A,,,9000,10000,,,,,,
0013ZZ,2,6,,N,A,,,9000,10000,,,,,,
0013ZZ,3,6,,N,A,,,9000,10000,,,,,,
0013ZZ,4,6,,N,A,,,9000,10000,,,,,,
0013ZZ,5,6,,N,A,,,9000,10000,,,,,,
0013ZZ,6,6,,N,A,,,9000,10000,,,,,,
0014EE,1,2,,,V,,,,,,,,,,
0014EE,2,2,,,A,,,,,,,,,,
0014UB,1,2,,,V,,,480,480,,,,,,
0014UB,2,2,,,A,,,510,510,,,,,,
0014VL,1,2,,,V,,,,,,,,,,
0014VL,2,2,,,A,,,,,,,,,,
0014WJ,1,1,,N,A,,,1140,1140,,,,,,
0014WK,1,1,,N,A,,,900,900,,,,,,
0014WR,1,2,,N,V,,,4300,4300,,,,,,
0014WR,2,2,,N,A,,,4300,4300,,,,,,
0014WU,1,1,,N,A,,,1300,1300,,,,,,
0014WV,1,1,,N,A,,,1300,1300,,,,,,
0014ZZ,1,9,,N,A,,,6960,6960,,,,,,
0014ZZ,2,9,,N,A,,,6960,6960,,,,,,
0014ZZ,3,9,,N,A,,,6960,6960,,,,,,
0014ZZ,4,9,,N,A,,,6960,6960,,,,,,
0014ZZ,5,9,,N,A,,,6960,6960,,,,,,
0014ZZ,6,9,,N,A,,,6960,6960,,,,,,
0014ZZ,7,9,,N,A,,,6960,6960,,,,,,
0014ZZ,8,9,,N,A,,,6960,6960,,,,,,
0014ZZ,9,9,,N,A,,,6960,6960,,,,,,
0015DG,1,2,,,V,,,,,,,,,,
0015DG,2,2,,,A,,,,,,,,,,
0015EP,1,2,,,V,,,,,,,,,,
0015EP,2,2,,,A,,,,,,,,,,
0015NZ,1,2,,,V,,,,,,,,,,
0015NZ,2,2,,,A,,,,,,,,,,
0015PS,1,2,,,V,,,,,,,,,,
0015PS,2,2,,,A,,,,,,,,,,
0015PT,1,2,,,V,152,,,,,,,,,
0015PT,2,2,,,A,132,,,,,,,,,
0015WF,1,1,,N,A,,,800,800,,,,,,
0015WU,1,2,,N,A,,,1000,1000,,,,,,
0015WU,2,2,,N,A,,,1000,1000,,,,,,
0015WX,1,1,,N,A,,,1150,1150,,,,,,
0015XT,1,2,,,V,,,,,,,,,,
0015XT,2,2,,,A,,,,,,,,,,
0015ZX,1,2,,,V,,,,,,,,,,
0015ZX,2,2,,,A,,,,,,,,,,
0015ZZ,1,8,N,N,V,,,12000,12000,,,,,,
0015ZZ,2,8,N,N,V,,,12000,12000,,,,,,
0015ZZ,3,8,J,N,V,,A,12000,12000,,,,,,
0015ZZ,4,8,J,N,V,,A,12000,12000,,,,,,
0015ZZ,5,8,N,N,V,,,12000,12000,,,,,,
0015ZZ,6,8,J,N,A,,A,12000,12000,,,,,,
0015ZZ,7,8,J,N,A,,A,12000,12000,,,,,,
0015ZZ,8,8,N,N,A,,,12000,12000,,,,,,
0016EU,1,2,,,V,,,,,,,,,,
0016EU,2,2,,,A,,,,,,,,,,
0016FF,1,2,,,V,,,,,,,,,,
0016FF,2,2,,,A,,,,,,,,,,
0016HK,1,2,,,V,,,,,,,,,,
0016HK,2,2,,,A,,,,,,,,,,
0016NF,1,1,,N,A,,,,,,,,,,
0016PF,1,2,,,V,,,,,,,,,,
0016PF,2,2,,,A,,,,,,,,,,
0016PU,1,2,,,V,,,,,,,,,,
0016PU,2,2,,,A,,,,,,,,,,
0016WF,1,1,,N,A,,,800,800,,,,,,
0016WP,1,1,,N,A,,,800,800,,,,,,
0016WR,1,1,,N,A,,,1300,1300,,,,,,
0016WT,1,2,,N,A,,,1000,1000,,,,,,
0016WT,2,2,,N,A,,,1000,1000,,,,,,
0016WV,1,1,,N,A,,,1300,1300,,,,,,
0016ZD,1,2,,,V,,,,,,,,,,
0016ZD,2,2,,,A,,,,,,,,,,
0017EE,1,2,,,V,,,,,,,,,,
0017EE,2,2,,,A,,,,,,,,,,
0017JU,1,2,,,V,,,,,,,,,,
0017JU,2,2,,,A,,,,,,,,,,
0017UP,1,2,,,V,,,,,,,,,,
0017UP,2,2,,,A,,,,,,,,,,
0017VN,1,2,,,V,,,,,,,,,,
0017VN,2,2,,,A,,,,,,,,,,
0017WE,1,1,,N,A,,,800,800,,,,,,
0017WG,1,2,,N,A,,,800,800,,,,,,
0017WG,2,2,,N,A,,,800,800,,,,,,
0017WK,1,1,,N,A,,,1200,1200,,,,,,
0017WR,1,1,,N,A,,,1000,1000,,,,,,
0017WU,1,1,,N,A,,,850,850,,,,,,
0017WX,1,1,,N,A,,,2000,2000,,,,,,
0017ZZ,1,2,,N,V,,,9000,9000,,,,,,
0017ZZ,2,2,,N,A,,,9000,9000,,,,,,
0018UA,1,2,,,V,,,,,,,,,,
0018UA,2,2,,,A,,,,,,,,,,
0018WP,1,1,,N,A,,,2000,2000,,,,,,
0018XM,1,2,,,V,,,,,,,,,,
0018XM,2,2,,,A,,,,,,,,,,
0018ZZ,1,9,,N,A,,,6000,6000,,,,,,
0018ZZ,2,9,,N,A,,,6000,6000,,,,,,
0018ZZ,3,9,,N,A,,,6000,6000,,,,,,
0018ZZ,4,9,,N,A,,,6000,6000,,,,,,
0018ZZ,5,9,,N,A,,,6000,6000,,,,,,
0018ZZ,6,9,,N,A,,,6000,6000,,,,,,
0018ZZ,7,9,,N,A,,,6000,6000,,,,,,
0018ZZ,8,9,,N,A,,,6000,6000,,,,,,
0018ZZ,9,9,,N,A,,,6000,6000,,,,,,
0019SL,1,2,,,V,145,,885,,,,,,,
0019SL,2,2,,,A,144,,980,,,,,,,
0019WH,1,1,,N,A,,,890,890,,,,,,
0019WL,1,1,,N,A,,,2000,2000,,,,,,
0019WP,1,1,,N,A,,,2000,2000,,,,,,
0019WR,1,2,,,V,,,1000,1000,,,,,,
0019WR,2,2,,,A,,,1000,1000,,,,,,
0019WT,1,1,,N,A,,,1400,1400,,,,,,
0020PD,1,2,,,V,,,,,,,,,,
0020PD,2,2,,,A,,,,,,,,,,
0020TR,1,2,,,V,,,,,,,,,,
0020TR,2,2,,,A,,,,,,,,,,
0020WE,1,1,,N,A,,,800,800,,,,,,
0020WG,1,1,,,A,,,1600,1600,,,,,,
0020WK,1,1,,N,A,,,900,900,,,,,,
0020WP,1,1,,N,A,,,2000,2000,,,,,,
0020WR,1,1,,N,A,,,1000,1000,,,,,,
0020WZ,1,1,,N,A,,,1000,1000,,,,,,
0020XF,1,2,,,V,,,,,,,,,,
0020XF,2,2,,,A,,,,,,,,,,
0021JK,1,2,,,V,,,,,,,,,,
0021JK,2,2,,,A,,,,,,,,,,
0021WG,1,1,,N,A,,,2000,2000,,,,,,
0021WU,1,1,,N,A,,,1000,1000,,,,,,
0021WX,1,1,,N,A,,,1100,1100,,,,,,
0021XZ,1,2,,,V,119,,,,,,,,,
0021XZ,2,2,,,A,119,,,,,,,,,
0021ZT,1,2,,,V,,,,,,,,,,
0021ZT,2,2,,,A,,,,,,,,,,
0022HZ,1,2,,,V,,,,,,,,,,
0022HZ,2,2,,,A,,,,,,,,,,
0022JK,1,2,,,V,,,,,,,,,,
0022JK,2,2,,,A,,,,,,,,,,
0022MK,1,2,,,V,,,,,,,,,,
0022MK,2,2,,,A,,,,,,,,,,
0022NF,1,2,,,V,,,,,,,,,,
0022NF,2,2,,,A,,,,,,,,,,
0022TU,1,2,,,V,,,,,,,,,,
0022TU,2,2,,,A,,,,,,,,,,
0022WG,1,2,,N,A,,,800,,,,,,,
0022WG,2,2,,N,A,,,800,,,,,,,
0022WP,1,1,,N,A,,,990,990,,,,,,
0022WS,1,1,,N,A,,,1200,1200,,,,,,
0022WX,1,1,,N,A,,,900,900,,,,,,
0022XD,1,2,,,V,,,,,,,,,,
