FID,length,br_links,br_rechts,vliegdatum,filenaam,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_kust_2008.161,10559.005,433.6000061,-451.5,18-6-2008,zeeland_02,,,"LINESTRING (65681.6559999995 433144.7190000005, 60053.69099999964 442078.8440000005)"
vlieglijnen_kust_2008.162,9444.224,429.70001221,-421.3999939,18-6-2008,zeeland_03,,,"LINESTRING (65211.8590000011 432884.625, 60160.28099999949 440864.2809999995)"
vlieglijnen_kust_2008.163,9807.507,440.5,-378.5,18-6-2008,zeeland_04,,,"LINESTRING (65139.58999999985 431914, 59920.98000000045 440217.811999999)"
vlieglijnen_kust_2008.164,9533.649,468.8999939,-440.1000061,18-6-2008,zeeland_05,,,"LINESTRING (64650.199000000954 431679.8440000005, 59627.51999999955 439783.125)"
vlieglijnen_kust_2008.165,9342.562,442.3999939,-425.6000061,18-6-2008,zeeland_06,,,"LINESTRING (64211.66000000015 431336.75, 59137.289000000805 439181.125)"
vlieglijnen_kust_2008.166,13149.291,399.70001221,-429.70001221,18-6-2008,zeeland_07,,,"LINESTRING (65838.47700000182 427657.188000001, 58808.0700000003 438769.2190000005)"
vlieglijnen_kust_2008.167,12353.217,570.70001221,-257.70001221,18-6-2008,zeeland_08,,,"LINESTRING (65239.85200000182 427854.311999999, 58592.03099999949 438266.25)"
vlieglijnen_kust_2008.168,10539.379,317.29998779,-218.69999695,17-6-2008,zeeland_09,,,"LINESTRING (49841.3200000003 426732.5309999995, 59782.4299999997 430232.936999999)"
vlieglijnen_kust_2008.169,12086.505,435.70001221,-408,17-6-2008,zeeland_10,,,"LINESTRING (49223.710999999195 426231.7190000005, 60657.1409999989 430150.938000001)"
vlieglijnen_kust_2008.170,9513.055,403.70001221,-421.1000061,17-6-2008,zeeland_11,,,"LINESTRING (51920.66000000015 426495.375, 60892.67199999839 429657.8440000005)"
vlieglijnen_kust_2008.171,3935.742,443.29998779,-485.79998779,17-6-2008,zeeland_12,,,"LINESTRING (61228.8590000011 429131.0309999995, 57490.120999999344 427901.436999999)"
vlieglijnen_kust_2008.172,3244.926,412,-450.70001221,17-6-2008,zeeland_13,,,"LINESTRING (58358.76999999955 427533.75, 61401.6409999989 428660.9059999995)"
vlieglijnen_kust_2008.173,6501.629,394.3999939,-417.8999939,17-6-2008,zeeland_14,,,"LINESTRING (65558.97700000182 429488.7190000005, 59414.28099999949 427364.125)"
vlieglijnen_kust_2008.174,5911.975,411,-398.29998779,17-6-2008,zeeland_15,,,"LINESTRING (60224.17199999839 426981.7809999995, 65773.07800000161 429021.6559999995)"
vlieglijnen_kust_2008.175,10565.001,393.29998779,-451.79998779,17-6-2008,zeeland_16,,,"LINESTRING (50082.80900000036 426975.125, 46539.21900000051 417022.125)"
vlieglijnen_kust_2008.176,11029.008,393.1000061,-442.8999939,17-6-2008,zeeland_17,,,"LINESTRING (50585.5700000003 427288.125, 47115.26999999955 416819.313000001)"
vlieglijnen_kust_2008.177,12510.699,407.1000061,-465.3999939,17-6-2008,zeeland_18,,,"LINESTRING (51315.48000000045 427738.0940000005, 47409.94099999964 415852.625)"
vlieglijnen_kust_2008.178,8741.918,489,-438.6000061,17-6-2008,zeeland_19,,,"LINESTRING (51999.82800000161 427862.2809999995, 49070.98800000176 419625.5940000005)"
vlieglijnen_kust_2008.179,11026.106,574.20001221,-387.1000061,18-6-2008,zeeland_20,,,"LINESTRING (39108.9299999997 417606.1559999995, 49740.33999999985 420529.875)"
vlieglijnen_kust_2008.180,12879.53,453.6000061,-418,18-6-2008,zeeland_21,,,"LINESTRING (37949.73800000176 416867.2190000005, 50429.300999999046 420052)"
vlieglijnen_kust_2008.181,13461.178,409.70001221,-442.6000061,18-6-2008,zeeland_22,,,"LINESTRING (50513.51999999955 419573.4059999995, 37470.67199999839 416243.625)"
vlieglijnen_kust_2008.182,13393.834,421.3999939,-398.1000061,18-6-2008,zeeland_23,,,"LINESTRING (37008.6799999997 415514.436999999, 50001.42199999839 418767.6559999995)"
vlieglijnen_kust_2008.183,7673.747,417.1000061,-401.20001221,18-6-2008,zeeland_24,,,"LINESTRING (39724.64799999818 408572.0309999995, 37234.28099999949 415830.436999999)"
vlieglijnen_kust_2008.184,7021.376,421.8999939,-378.3999939,18-6-2008,zeeland_25,,,"LINESTRING (39131.26199999824 408513.4690000005, 36826.449000000954 415145.7809999995)"
vlieglijnen_kust_2008.185,8970.232,344.29998779,-463.8999939,18-6-2008,zeeland_26,,,"LINESTRING (39343.89799999818 405950.3440000005, 36671.60200000182 414513.2809999995)"
vlieglijnen_kust_2008.186,13620.405,609.29998779,-426.5,18-6-2008,zeeland_27,,,"LINESTRING (30946.460999999195 399212.9059999995, 40279.21900000051 409133.3440000005)"
vlieglijnen_kust_2008.187,13136.996,406.6000061,-416.5,18-6-2008,zeeland_28,,,"LINESTRING (31437.33999999985 398946.0940000005, 40257.120999999344 408682.2190000005)"
vlieglijnen_kust_2008.188,10259.71,245.8999939,-384.1000061,17-6-2008,zeeland_29,,,"LINESTRING (38069.449000000954 402526.625, 27825.48999999836 401958.3440000005)"
vlieglijnen_kust_2008.189,11242.203,378.6000061,-465.5,17-6-2008,zeeland_30,,,"LINESTRING (38073.10200000182 402113, 26849.109000001103 401473.375)"
vlieglijnen_kust_2008.190,6651.707,394.3999939,-430.5,17-6-2008,zeeland_31,,,"LINESTRING (30690.778999999166 401172.311999999, 37330.46900000051 401571.9690000005)"
vlieglijnen_kust_2008.191,10573.479,255.30000305,-142.1000061,17-6-2008,zeeland_32,,,"LINESTRING (19587.64999999851 396472.7809999995, 28539.699000000954 402099.436999999)"
vlieglijnen_kust_2008.192,12693.198,418.1000061,-401.8999939,17-6-2008,zeeland_33,,,"LINESTRING (19275.23999999836 395938.7190000005, 30017.730000000447 402700.0940000005)"
vlieglijnen_kust_2008.193,15300.455,422.3999939,-428.5,18-6-2008,zeeland_34,,,"LINESTRING (29447.26000000164 384740.063000001, 19455.89999999851 396327.8440000005)"
vlieglijnen_kust_2008.194,14605.204,476.8999939,-373,18-6-2008,zeeland_35,,,"LINESTRING (28884.730000000447 384623.936999999, 19254.039000000805 395604)"
vlieglijnen_kust_2008.195,11937.971,210.80000305,-161.30000305,18-6-2008,zeeland_36,,,"LINESTRING (27102.050999999046 386126.686999999, 19284.640999998897 395149.063000001)"
vlieglijnen_kust_2008.196,3974.059,481.5,-273.20001221,18-6-2008,zeeland_37,,,"LINESTRING (32489.920000001788 385299.4059999995, 28521.820000000298 385081.8440000005)"
vlieglijnen_kust_2008.197,10220.482,289.8999939,-434.79998779,17-6-2008,zeeland_38,,,"LINESTRING (26176.070000000298 381664.563000001, 16273 379137.2190000005)"
vlieglijnen_kust_2008.198,13244.332,435.20001221,-468.6000061,17-6-2008,zeeland_39,,,"LINESTRING (27360.66000000015 381480.5309999995, 14483.129999998957 378385.125)"
vlieglijnen_kust_2008.199,15886.212,402,-420.6000061,17-6-2008,zeeland_40,,,"LINESTRING (28936.579999998212 381248.5, 13477.48999999836 377589.5)"
vlieglijnen_kust_2008.200,16365.348,421.20001221,-402.8999939,17-6-2008,zeeland_41,,,"LINESTRING (13510.320000000298 377033.063000001, 29445.980000000447 380758.561999999)"
