Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd doordebezoekers(in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)na het hier in te voeren,Bounces,Vertrekken,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
Loket/prodcat/process/checkPreconditionsAction.do?name=Tijdelijke kenteken registratie&processName=Aanvraag met DigiD,955,1079,79354,2,696,0.004,11.393,27,318,26663,3,71,934,25,71,83,11%,7%,0.393,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Tijdelijke+kenteken+registratie&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DTijdelijke+kenteken+registratie%26processName%3DAanvraag+met+DigiD,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=selecteerVergunning,945,1282,44032,1,972,0.003,11.776,6,25,1737,1,78,930,5,77,47,17%,8%,0.331,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=selecteerVergunning,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3DselecteerVergunning,
Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=uwgegevens_personen,935,1450,51196,4,1136,0.001,33.266,10,136,7831,1,99,902,10,92,55,10%,11%,0.952,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bewonersvergunning%26state%3Duwgegevens_personen,
parkeren/parkeren-bezoeker/parkeergarages/parkeergarage-de-grifthoek/index,935,1275,97750,11,826,0.001,7.41,594,2095,166084,186,341,893,563,323,105,31%,36%,0.55,http://www.utrecht.nl/parkeren/parkeren-bezoeker/parkeergarages/parkeergarage-de-grifthoek/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2Fparkeergarages%2Fparkeergarage-de-grifthoek%2F,
bestemmingsplannen/index,931,1515,81366,82,1125,0.001,131.646,436,2987,202395,72,192,898,422,190,87,17%,21%,0.703,http://www.utrecht.nl/bestemmingsplannen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbestemmingsplannen%2F,
werken-en-leren-bij-utrecht/traineeprogramma/index,917,1330,77353,7,1131,0.001,18.605,489,1695,97829,173,422,904,482,419,84,35%,46%,0.566,http://www.utrecht.nl/werken-en-leren-bij-utrecht/traineeprogramma/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2Ftraineeprogramma%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=433,913,1250,132532,8,764,0.003,16.721,452,1958,194627,150,312,863,411,292,145,33%,34%,0.792,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=433,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D433,
index.php?id=51102,911,1179,66031,5,987,0.001,4,36,143,10178,19,94,898,34,91,72,53%,10%,0.549,http://www.utrecht.nl/index.php?id=51102,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Findex.php%3Fid%3D51102,
Loket/prodcat/products/getProductDetailsAction.do?id=744,901,1275,142075,17,919,0.001,13.859,391,2292,199254,125,280,870,369,263,158,32%,31%,0.766,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=744,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D744,
melding-wens-klacht-bezwaar/index,899,1134,51965,68,840,0.001,133.007,286,2519,185669,55,141,883,275,139,58,19%,16%,0.713,http://www.utrecht.nl/melding-wens-klacht-bezwaar/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fmelding-wens-klacht-bezwaar%2F,
Formulieren/process/add/report/locationAction.do,894,1918,162967,4,1539,0.018,137.754,17,32,1970,14,53,855,17,53,182,82%,6%,1.866,https://pki.utrecht.nl/Formulieren/process/add/report/locationAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FlocationAction.do,
wonen-in-veemarkt/woningaanbod/woningen-te-koop/index,877,1181,119048,10,682,0.001,5.51,97,267,31913,44,217,847,94,213,136,45%,25%,0.665,http://www.utrecht.nl/wonen-in-veemarkt/woningaanbod/woningen-te-koop/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fwoningaanbod%2Fwoningen-te-koop%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/zwemles/index,873,1297,36982,8,834,0.001,25.981,213,1630,117158,11,54,850,209,53,42,5%,6%,0.602,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fzwemles%2F,
afval/het-nieuwe-inzamelen/index,861,1136,80230,33,851,0.001,69.253,280,1313,94434,94,229,846,276,224,93,34%,27%,0.629,http://www.utrecht.nl/afval/het-nieuwe-inzamelen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fafval%2Fhet-nieuwe-inzamelen%2F,
sport-in-utrecht/zwembaden/zwembad-de-krommerijn/index,859,1177,65956,5,819,0.001,27.155,170,726,36600,56,221,840,165,214,77,33%,26%,0.638,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-krommerijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-krommerijn%2F,
Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=huidigAdres,826,1128,31014,,929,0.012,31.261,7,24,1900,4,67,810,7,66,38,57%,8%,0.372,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=huidigAdres,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bewonersvergunning%26state%3DhuidigAdres,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=uwgegevens_personen,818,1174,30036,,911,0.003,21.428,3,19,4166,1,28,777,3,28,37,33%,3%,0.97,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3Duwgegevens_personen,
Formulieren/process/add/report/attachmentAction.do,818,1174,41196,,937,0.006,12.616,7,46,4439,2,12,783,7,12,50,29%,1%,0.351,https://pki.utrecht.nl/Formulieren/process/add/report/attachmentAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FattachmentAction.do,
wijk-leidsche-rijn/nieuws/index,817,1023,96215,7,726,0.001,21.652,466,1662,176095,207,320,779,443,306,118,44%,39%,0.751,http://www.utrecht.nl/wijk-leidsche-rijn/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-leidsche-rijn%2Fnieuws%2F,
bouwen-en-verbouwen/afspraak-maken/index,814,1104,203252,26,832,0.001,19.108,79,313,27064,41,188,791,73,179,250,52%,23%,1.006,http://www.utrecht.nl/bouwen-en-verbouwen/afspraak-maken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fafspraak-maken%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=564,811,1120,94025,6,937,0.001,9.012,148,1332,70402,36,169,796,143,165,116,24%,21%,0.494,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=564,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D564,
Loket/prodcat/products/getProductDetailsAction.do?id=424,808,1097,100127,30,834,0.006,79.545,399,2872,185425,120,222,784,385,219,124,30%,27%,0.823,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=424,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D424,
Formulieren/process/add/report/startOverviewAction.do,798,1027,51959,,829,0.005,7.065,1,3,1648,0,20,766,1,20,65,0%,3%,0.623,https://pki.utrecht.nl/Formulieren/process/add/report/startOverviewAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FstartOverviewAction.do,
zoeken/index,795,991,36822,478,701,0.001,6.781,45,181,12554,23,88,788,42,86,46,51%,11%,0.47,http://www.utrecht.nl/zoeken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fzoeken%2F,
Loket/persondetails/displayPersonDetailsAction.do,789,1052,46860,3,937,0.005,137.185,13,40,2868,8,72,773,12,71,59,62%,9%,0.667,https://pki.utrecht.nl/Loket/persondetails/displayPersonDetailsAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fpersondetails%2FdisplayPersonDetailsAction.do,
utrechtse-energie/stadsgesprek-energie/index,787,1108,103065,17,867,0.001,12.542,500,2845,242785,168,291,742,465,273,131,34%,37%,0.669,http://www.utrecht.nl/utrechtse-energie/stadsgesprek-energie/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechtse-energie%2Fstadsgesprek-energie%2F,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=selecteerVergunning,786,986,27485,,782,0.003,15.773,3,13,4969,2,49,750,3,43,35,67%,6%,0.354,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=selecteerVergunning,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3DselecteerVergunning,
gemeenteraad/raadsvergadering/index,778,1059,56146,19,789,0.001,264.087,170,739,44469,52,224,733,155,213,72,31%,29%,0.829,http://www.utrecht.nl/gemeenteraad/raadsvergadering/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadsvergadering%2F,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=formulier,776,965,219683,1,821,0.004,4.987,11,63,9388,4,33,772,10,32,283,36%,4%,0.293,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=formulier,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Dformulier,
Loket/prodcat/process/checkPreconditionsAction.do?name=Wijzigen kenteken&processName=Aanvraag met DigiD,776,885,79095,,621,0.001,15.931,37,322,14804,14,85,744,34,81,102,38%,11%,0.384,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Wijzigen+kenteken&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DWijzigen+kenteken%26processName%3DAanvraag+met+DigiD,
Formulieren/process/add/report/ - Andere,775,782,111872,2,629,0.067,153.89,,,,,443,775,,443,144,0%,57%,1.551,,,
wonen/woning-zoeken/index,770,975,60988,14,734,0.001,17.191,290,1030,85875,106,193,755,286,190,79,37%,25%,0.716,http://www.utrecht.nl/wonen/woning-zoeken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen%2Fwoning-zoeken%2F,
castellum-hoge-woerd/volg-de-bouw/index,757,974,47735,1,761,0.001,190.049,163,527,40031,54,190,723,153,184,63,33%,25%,0.834,http://www.utrecht.nl/castellum-hoge-woerd/volg-de-bouw/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcastellum-hoge-woerd%2Fvolg-de-bouw%2F,
werk-en-inkomen/regels-bijstand/index,745,935,84112,26,747,0.001,17.136,315,1851,147427,110,221,732,308,217,113,35%,30%,0.657,http://www.utrecht.nl/werk-en-inkomen/regels-bijstand/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fregels-bijstand%2F,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=bevestiging,742,767,103051,2,564,0.002,18.647,21,106,13432,9,479,732,20,475,139,43%,65%,0.897,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=bevestiging,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3Dbevestiging,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=overzicht,741,968,34315,1,733,0.028,180.387,2,15,198,1,17,735,2,17,46,50%,2%,1.19,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3Doverzicht,
sport-in-utrecht/zwembaden/zwembad-fletiomare/zwemles/index,737,1038,38084,12,608,0.001,14.95,143,1057,101021,23,72,715,134,64,52,16%,10%,0.628,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fzwemles%2F,
nieuws/?osadcampaign=Persberichten,734,1022,98141,4,763,0.001,38.049,70,333,41624,31,230,584,66,172,134,44%,31%,0.673,http://www.utrecht.nl/nieuws/?osadcampaign=Persberichten,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fnieuws%2F%3Fosadcampaign%3DPersberichten,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=kenteken,726,1037,46204,1,795,0.001,26.007,7,62,2287,0,41,702,7,41,64,0%,6%,0.495,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=kenteken,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3Dkenteken,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=bijlagen,714,885,25151,1,757,0.002,4.932,5,11,238,2,6,713,4,5,35,40%,1%,0.351,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=bijlagen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Dbijlagen,
Loket/prodcat/process/checkPreconditionsAction.do?name=Uittreksel GBA aanvragen&processName=Aanvraag met DigiD,714,869,78222,,635,0.001,33.517,29,114,10391,17,96,690,28,90,110,59%,13%,0.398,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Uittreksel+GBA+aanvragen&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DUittreksel+GBA+aanvragen%26processName%3DAanvraag+met+DigiD,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=overzicht,710,792,25377,,674,0.003,181.568,3,7,53,1,22,710,3,22,36,33%,3%,2.481,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Doverzicht,
?id=53376,707,823,85490,,550,0.001,131.693,410,686,55918,308,502,681,398,485,121,75%,71%,0.77,http://www.utrecht.nl/?id=53376,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2F%3Fid%3D53376,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=vergunningNieuw,707,1462,76476,1,1088,0.002,46.601,11,54,1089,6,21,706,11,21,108,55%,3%,0.5,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=vergunningNieuw,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3DvergunningNieuw,
Loket/prodcat/process/checkPreconditionsAction.do?name=Ldtnieuw aanvragen&processName=Aanvraag met DigiD,703,918,90015,2,683,0.006,8.939,23,286,21182,5,87,672,22,84,128,22%,12%,0.399,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Ldtnieuw+aanvragen&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DLdtnieuw+aanvragen%26processName%3DAanvraag+met+DigiD,
verkeersbeleid/oproep-verkeerslichten/index,703,844,62280,14,654,0.001,21.142,392,1105,100273,121,201,685,380,195,89,31%,29%,0.551,http://www.utrecht.nl/verkeersbeleid/oproep-verkeerslichten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Foproep-verkeerslichten%2F,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=bevestiging,702,722,86014,2,617,0.004,33.578,16,30,471,10,432,701,16,431,123,63%,62%,0.446,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=bevestiging,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Dbevestiging,
sport-in-utrecht/zwembaden/zwembad-fletiomare/vrij-zwemmen/index,702,930,33251,10,620,0.001,93.549,59,365,27239,6,65,694,58,63,47,10%,9%,0.81,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/vrij-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fvrij-zwemmen%2F,
wmo-in-utrecht/vragen/index,698,928,103217,57,658,0.001,20.284,245,1083,87955,112,269,681,238,264,148,46%,39%,0.781,http://www.utrecht.nl/wmo-in-utrecht/vragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fvragen%2F,
Formulieren/start.do,696,1206,53625,2,895,0.001,4.609,25,230,10215,8,96,677,24,94,77,32%,14%,0.173,https://pki.utrecht.nl/Formulieren/start.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fstart.do,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=BewijsstukInleveren,689,1053,123676,,957,0.005,84.194,5,17,3054,1,16,678,5,16,180,20%,2%,0.708,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=BewijsstukInleveren,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3DBewijsstukInleveren,
Loket/prodcat/products/getProductDetailsAction.do?name=Trouwen,688,903,100999,103,668,0.001,10.884,255,1243,115184,89,219,670,247,212,147,35%,32%,0.755,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Trouwen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DTrouwen,
bouwen-en-verbouwen/vergunningen-op-een-rij/index,686,1011,47929,52,777,0.001,83.16,129,963,55656,20,83,674,127,81,70,16%,12%,0.694,http://www.utrecht.nl/bouwen-en-verbouwen/vergunningen-op-een-rij/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fvergunningen-op-een-rij%2F,
wonen-in-veemarkt/woningaanbod/bouwveld-e/index,681,977,53618,4,648,0.001,13.069,303,2093,158472,73,133,643,285,129,79,24%,20%,0.621,http://www.utrecht.nl/wonen-in-veemarkt/woningaanbod/bouwveld-e/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fwoningaanbod%2Fbouwveld-e%2F,
Loket/knowledgebase/faqs/getFaqContentAction.do?id=697,674,784,37767,15,648,0.008,44.493,36,202,15492,11,97,669,35,95,56,31%,14%,0.695,https://pki.utrecht.nl/Loket/knowledgebase/faqs/getFaqContentAction.do?id=697,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fknowledgebase%2Ffaqs%2FgetFaqContentAction.do%3Fid%3D697,
Formulieren/flow/stateAction.do?flow=process_add_vog&state=uwgegevens_personen,669,947,43648,1,836,0.002,36.478,3,8,235,1,33,651,3,32,65,33%,5%,1.016,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vog&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vog%26state%3Duwgegevens_personen,
startpagina/zorg-welzijn-onderwijs/index,666,928,20336,9,733,0.001,3.133,13,96,3707,3,41,656,13,40,31,23%,6%,0.488,http://www.utrecht.nl/startpagina/zorg-welzijn-onderwijs/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fzorg-welzijn-onderwijs%2F,
zoeken/?id=32655&L=0&tx_solr[q]=,665,852,26001,534,681,0.001,10.048,11,75,2593,4,67,662,11,67,39,36%,10%,0.382,http://www.utrecht.nl/zoeken/?id=32655&L=0&tx_solr[q]=,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fzoeken%2F%3Fid%3D32655%26L%3D0%26tx_solr%5Bq%5D%3D,
startpagina/zorg-en-welzijn/index,663,955,21239,19,741,0.001,4.077,32,276,19326,6,29,654,32,29,32,19%,4%,0.531,http://www.utrecht.nl/startpagina/zorg-en-welzijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fzorg-en-welzijn%2F,
volksgezondheid/index,659,840,59711,15,664,0.001,80.251,285,1071,66185,84,179,646,276,177,91,29%,27%,0.775,http://www.utrecht.nl/volksgezondheid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvolksgezondheid%2F,
Loket/prodcat/process/checkPreconditionsAction.do?processId=1748,658,758,68513,1,685,0.001,4.096,,,,,68,644,,68,104,0%,10%,0.231,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?processId=1748,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3FprocessId%3D1748,
Loket/prodcat/products/getProductDetailsAction.do?id=715,652,777,35717,17,599,0.029,12.901,35,171,9660,14,61,647,32,60,55,40%,9%,0.627,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=715,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D715,
sport-in-utrecht/zwembaden/intensieve-zwemles-kinderen/index,648,914,129884,16,525,0.001,15.336,243,980,90282,138,280,615,228,261,200,57%,43%,0.644,http://www.utrecht.nl/sport-in-utrecht/zwembaden/intensieve-zwemles-kinderen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fintensieve-zwemles-kinderen%2F,
wijk-vleuten-de-meern/wijkservicecentrum/index,647,871,62175,25,591,0.001,6.235,155,1013,85232,39,125,633,149,122,96,25%,19%,0.574,http://www.utrecht.nl/wijk-vleuten-de-meern/wijkservicecentrum/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-vleuten-de-meern%2Fwijkservicecentrum%2F,
stadsparken-en-landgoederen/julianapark/index,645,819,91384,6,578,0.001,26.798,462,1395,136271,275,396,623,442,381,142,60%,61%,0.775,http://www.utrecht.nl/stadsparken-en-landgoederen/julianapark/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadsparken-en-landgoederen%2Fjulianapark%2F,
Formulieren/flow/stateAction.do?flow=process_add_vog&state=bijlagen,642,918,142736,1,806,0.003,180.058,15,98,5791,8,102,619,14,96,222,53%,16%,0.556,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vog&state=bijlagen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vog%26state%3Dbijlagen,
Loket/prodcat/products/getProductsAction.do,636,801,31175,213,673,0.001,15.281,8,49,1685,2,32,630,8,32,49,25%,5%,1.068,https://pki.utrecht.nl/Loket/prodcat/products/getProductsAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductsAction.do,
welzijn/welzijnsaccommodaties/index,635,1070,112911,51,915,0.001,7.806,191,768,75742,76,271,616,186,266,178,40%,43%,0.637,http://www.utrecht.nl/welzijn/welzijnsaccommodaties/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwelzijn%2Fwelzijnsaccommodaties%2F,
gevonden-voorwerpen/zoeken-en-ophalen/index,631,749,35614,17,525,0.001,79.949,122,482,42081,38,115,602,111,110,56,31%,18%,0.86,http://www.utrecht.nl/gevonden-voorwerpen/zoeken-en-ophalen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgevonden-voorwerpen%2Fzoeken-en-ophalen%2F,
stadsparken-en-landgoederen/maximapark/ridderhofstad-den-engh/index,625,794,109001,8,480,0.001,21.11,439,1145,106762,263,372,614,429,364,174,60%,60%,0.689,http://www.utrecht.nl/stadsparken-en-landgoederen/maximapark/ridderhofstad-den-engh/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadsparken-en-landgoederen%2Fmaximapark%2Fridderhofstad-den-engh%2F,
verkiezingen/locaties-verkiezingsborden/index,623,739,59384,7,587,0.001,7.937,25,101,10740,12,108,616,25,106,95,48%,17%,0.549,http://www.utrecht.nl/verkiezingen/locaties-verkiezingsborden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkiezingen%2Flocaties-verkiezingsborden%2F,
parkeren/veelgestelde-vragen/index,619,759,63496,101,573,0.001,20.407,246,1159,80342,105,199,607,237,192,103,43%,32%,0.854,http://www.utrecht.nl/parkeren/veelgestelde-vragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fveelgestelde-vragen%2F,
