Leveranciersnaam;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Paagman Den Haag B.V.;;;;;;;;;1;;1
PALLETCENTRALE;;;;;;1;;;;;1
PANDA STOMERIJ;;;;;;;;;1;;1
Papyrus Groep Nederland B.V.;;;;;;;;;5;;5
PAPYRUS OFFICE;;;;;;;;;1;;1
PARK PLAZA UTRECHT;;1;;;;;;;;;1
Parkcafe Buiten B.V.;;;;;;;;;1;;1
Pathe Theatres BV;;1;;;;;;;;;1
Paviljoen te Werve;;1;;;;;;;;;1
PBLQ B.V.;;1;;;;;;;;;1
PBT Consult B.V.;;;1;;;;;;;;1
PCS Europe;;;;2;;;;;;;2
Pels Rijcken & Droogleever Fortuijn;;;1;;;;;;;;1
PeP Restaurants B.V.;;1;;;;;;;;;1
Pigeaud Cleanroomservice;;;;4;;;;;;;4
Pistache Café;;1;;;;;;;;;1
Platforum 'Economie&Ruimte';;;;;;1;;;;;1
Plaza BW Den Haag B.V.;;1;;;;;;;;;1
Pleidooi Het;;1;;;;;;;;;1
PLEIN 10A;;1;;;;;;;;;1
Plein 9 A B.V.;;1;;;;;;;;;1
Plompetorengracht De Ruimte;;1;;;;;;;;;1
Polvo B.V.;;;2;;;;;;;;2
Postcode.NL B.V.;;;;;;1;;;;;1
POSTILLION ARNHEM B.V.;;1;;;;;;;;;1
PostNL Marketing en Sales;;;;;1;;;;;;1
PostNL Pakketten Benelux B.V.;;;;;3;;;;;;3
Pricewaterhousecoopers Advisory N.V.;;;;;;;;;4;;4
Prins27 Stichting;;;;;;;;;1;;1
Proeflokaal Hoop Doet Eten B.V.;;1;;;;;;;;;1
PromTeg B.V.;;;2;;;;;;;;2
Propertynl B.V.;;;;;;1;;;;;1
Protinus IT B.V.;;;;;;;;1;2;;2
Publieke Werken B.V.;;1;;;;;;;;;1
Puur Utrecht;;1;;;;;;;;;1
Questionmarkgroup B.V.;;1;;;;;;;;;1
