Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd doordebezoekers (in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)nahethierintevoeren,Bounces,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Vertrekken,Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=uwgegevens_personen,846,1252,25413,1,952,0.001,20.074,1,2,7,0,830,1,23,23,30,0%,3%,0.719,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3Duwgegevens_personen,
Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=uwgegevens_personen,832,1234,40288,2,1046,0.023,19.891,8,46,3181,6,804,8,83,74,48,75%,10%,0.761,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bewonersvergunning%26state%3Duwgegevens_personen,
nieuws/artikel/ - Andere,825,956,99238,115,754,0.001,11.007,447,1768,151506,253,1,,391,,120,57%,47%,0.85,,,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bijlagen,822,1223,101980,2,1122,0.004,13.766,10,33,3378,4,810,10,22,21,124,40%,3%,0.31,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bijlagen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Dbijlagen,
Loket/prodcat/process/checkPreconditionsAction.do?name=Verklaring Omtrent Gedrag Natuurlijke Personen&processName=Aanvraag met DigiD,822,1011,99208,6,799,0.002,82.353,45,281,30772,12,793,42,143,138,121,27%,17%,0.727,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Verklaring+Omtrent+Gedrag+Natuurlijke+Personen&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DVerklaring+Omtrent+Gedrag+Natuurlijke+Personen%26processName%3DAanvraag+met+DigiD,
Loket/prodcat/process/checkPreconditionsAction.do?name=Uittreksel GBA aanvragen&processName=Aanvraag met DigiD,818,1098,69959,2,806,0.003,79.007,36,259,19788,10,788,31,98,94,86,28%,12%,0.796,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Uittreksel+GBA+aanvragen&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DUittreksel+GBA+aanvragen%26processName%3DAanvraag+met+DigiD,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=selecteerVergunning,814,1154,39099,3,869,0.005,17.046,,,,,798,,70,70,48,0%,9%,0.281,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=selecteerVergunning,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3DselecteerVergunning,
Loket/prodcat/products/getProductDetailsAction.do?name=Gemeentebelasting,811,1075,80592,171,892,0.006,62.633,343,1378,111144,129,802,340,228,226,99,38%,28%,0.819,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Gemeentebelasting,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DGemeentebelasting,
sport-in-utrecht/zwembaden/reguliere-zwemles-kinderen/index,804,1083,119238,12,622,0.001,29.532,167,827,88637,65,768,153,217,202,148,39%,27%,0.638,http://www.utrecht.nl/sport-in-utrecht/zwembaden/reguliere-zwemles-kinderen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Freguliere-zwemles-kinderen%2F,
wonen/woning-zoeken/index,803,1045,73975,21,804,0.001,19.984,339,1590,129842,128,783,331,230,226,92,38%,29%,0.639,http://www.utrecht.nl/wonen/woning-zoeken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen%2Fwoning-zoeken%2F,
wonen-in-veemarkt/nieuws/index,799,1136,171633,14,666,0.001,40.779,344,1377,153950,164,776,327,336,323,215,48%,42%,0.944,http://www.utrecht.nl/wonen-in-veemarkt/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fnieuws%2F,
contact/openingstijden-feestdagen/index,791,922,108866,22,575,0.001,36.71,174,674,84097,105,777,173,335,325,138,60%,42%,0.663,http://www.utrecht.nl/contact/openingstijden-feestdagen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcontact%2Fopeningstijden-feestdagen%2F,
Formulieren/process/add/report/locationAction.do,791,1595,134864,1,1270,0.009,47.157,9,100,2749,3,771,9,25,25,170,33%,3%,1.615,https://pki.utrecht.nl/Formulieren/process/add/report/locationAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FlocationAction.do,
index.php?id=24071,791,1350,193842,47,923,0.001,103.196,361,1587,164444,165,747,333,419,392,245,46%,53%,1.024,http://www.utrecht.nl/index.php?id=24071,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Findex.php%3Fid%3D24071,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=overzicht,785,951,33544,1,878,0.002,181.609,3,7,49,1,776,3,7,7,43,33%,1%,1.741,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Doverzicht,
index.php?id=51102,777,1042,46436,6,881,0.001,8.153,32,176,21316,16,761,30,69,65,60,50%,9%,0.556,http://www.utrecht.nl/index.php?id=51102,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Findex.php%3Fid%3D51102,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bevestiging,776,871,88640,,799,0.005,14.269,5,67,6856,1,766,4,276,274,114,20%,36%,0.333,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=bevestiging,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3Dbevestiging,
sport-in-utrecht/zwembaden/zwembad-den-hommel/zwemles/index,765,1077,38309,5,677,0.001,170.145,152,1054,89253,15,755,152,56,56,50,10%,7%,0.882,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fzwemles%2F,
melding-wens-klacht-bezwaar/index,760,963,49889,31,734,0.001,10.793,214,1945,133684,39,748,207,91,88,66,18%,12%,0.511,http://www.utrecht.nl/melding-wens-klacht-bezwaar/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fmelding-wens-klacht-bezwaar%2F,
Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=huidigAdres,740,1034,28165,1,906,0.005,8.553,2,5,879,1,726,2,51,51,38,50%,7%,0.238,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=huidigAdres,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bewonersvergunning%26state%3DhuidigAdres,
bestemmingsplannen/index,739,1273,72620,75,987,0.001,102.427,347,2281,177534,57,723,338,153,149,98,16%,21%,0.586,http://www.utrecht.nl/bestemmingsplannen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbestemmingsplannen%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Wijzigen kenteken&processName=Aanvraag met DigiD,738,879,96934,1,584,0.002,6.558,24,274,14022,2,703,23,65,61,131,8%,9%,0.494,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Wijzigen+kenteken&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DWijzigen+kenteken%26processName%3DAanvraag+met+DigiD,
nieuws/?osadcampaign=Persberichten,737,973,51390,5,589,0.001,13.21,82,263,23527,27,594,79,223,184,70,33%,30%,0.57,http://www.utrecht.nl/nieuws/?osadcampaign=Persberichten,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fnieuws%2F%3Fosadcampaign%3DPersberichten,
Formulieren/process/add/report/attachmentAction.do,733,1048,33210,,838,0.011,26.643,1,1,0,1,714,1,5,5,45,100%,1%,0.297,https://pki.utrecht.nl/Formulieren/process/add/report/attachmentAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FattachmentAction.do,
groenonderhoud/aanpak-japanse-duizendknoop/index,731,873,65450,1,562,0.001,26.66,655,1421,121126,470,710,634,596,578,90,72%,82%,0.702,http://www.utrecht.nl/groenonderhoud/aanpak-japanse-duizendknoop/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgroenonderhoud%2Faanpak-japanse-duizendknoop%2F,
Formulieren/process/add/report/startOverviewAction.do,726,919,42919,,741,0.04,18.562,1,3,9,0,708,1,8,8,59,0%,1%,0.389,https://pki.utrecht.nl/Formulieren/process/add/report/startOverviewAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fprocess%2Fadd%2Freport%2FstartOverviewAction.do,
bomen-in-utrecht/gemeentelijke-vellijst/index,723,1030,72706,29,756,0.001,9.892,461,2412,234997,93,697,442,148,137,101,20%,20%,0.555,http://www.utrecht.nl/bomen-in-utrecht/gemeentelijke-vellijst/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbomen-in-utrecht%2Fgemeentelijke-vellijst%2F,
college-van-b-en-w/burgemeester-en-wethouders/index,716,941,84258,22,731,0.001,30.003,172,714,67841,67,697,166,212,202,118,39%,30%,0.563,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2F,
bouwen-en-verbouwen/afspraak-maken/index,715,925,149326,25,682,0.001,15.496,43,391,39589,19,694,41,150,143,209,44%,21%,0.977,http://www.utrecht.nl/bouwen-en-verbouwen/afspraak-maken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fafspraak-maken%2F,
nieuws/index,705,936,75446,22,747,0.001,5.897,180,807,81239,64,636,138,187,175,107,36%,27%,0.564,http://www.utrecht.nl/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fnieuws%2F,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=formulier,703,859,181000,1,731,0.002,15.175,5,82,6246,1,701,5,39,39,257,20%,6%,0.318,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=formulier,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Dformulier,
Loket/prodcat/products/getProductDetailsAction.do?id=564,702,1012,83883,10,866,0.001,95.443,149,1362,87674,42,685,141,134,130,119,28%,19%,0.924,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=564,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D564,
gemeenteraad/index,701,899,31378,24,713,0.001,14.049,180,1514,94889,17,638,175,52,52,45,9%,7%,0.52,http://www.utrecht.nl/gemeenteraad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=637,701,960,126415,12,756,0.001,30.523,310,3207,292083,70,660,283,170,162,180,23%,24%,1.039,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=637,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D637,
gevonden-voorwerpen/zoeken-en-ophalen/index,697,809,45693,24,581,0.001,24.15,119,373,29767,28,671,116,91,89,66,24%,13%,0.695,http://www.utrecht.nl/gevonden-voorwerpen/zoeken-en-ophalen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgevonden-voorwerpen%2Fzoeken-en-ophalen%2F,
leidsche-rijn/woningaanbod/index,696,956,41861,8,675,0.001,10.394,133,934,72185,22,679,131,80,78,60,17%,11%,0.58,http://www.utrecht.nl/leidsche-rijn/woningaanbod/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fwoningaanbod%2F,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=uwgegevens_personen,692,972,22346,2,764,0.018,34.038,3,10,128,0,664,3,19,19,32,0%,3%,0.756,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3Duwgegevens_personen,
leidsche-rijn/vrije-kavels-leidsche-rijn/index,685,980,48650,16,625,0.001,4.301,323,3671,227878,30,652,310,85,85,71,9%,12%,0.573,http://www.utrecht.nl/leidsche-rijn/vrije-kavels-leidsche-rijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fvrije-kavels-leidsche-rijn%2F,
Loket/prodcat/topics/getTopicsAction.do?id=214,683,969,31497,9,791,0.01,23.203,11,51,3327,5,663,10,20,19,46,45%,3%,0.715,https://pki.utrecht.nl/Loket/prodcat/topics/getTopicsAction.do?id=214,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Ftopics%2FgetTopicsAction.do%3Fid%3D214,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=selecteerVergunning,653,810,17054,1,661,0.003,17.31,,,,,626,,31,31,26,0%,5%,0.252,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=selecteerVergunning,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3DselecteerVergunning,
werk-en-inkomen/hulp-bij-schulden/index,651,992,75407,23,793,0.001,18.344,211,1544,121450,56,640,207,132,130,116,27%,20%,0.504,http://www.utrecht.nl/werk-en-inkomen/hulp-bij-schulden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fhulp-bij-schulden%2F,
sport-in-utrecht/zwembaden/intensieve-zwemles-kinderen/index,646,905,149281,9,511,0.001,4.294,227,1097,86012,130,618,218,287,275,231,57%,44%,0.616,http://www.utrecht.nl/sport-in-utrecht/zwembaden/intensieve-zwemles-kinderen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fintensieve-zwemles-kinderen%2F,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=overzicht,645,864,31135,1,618,0.001,181.077,1,5,127,0,638,1,12,12,48,0%,2%,1.899,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3Doverzicht,
zoeken/index,645,785,34134,407,551,0.001,3.104,25,49,3584,17,640,25,80,79,53,68%,12%,0.431,http://www.utrecht.nl/zoeken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fzoeken%2F,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=bevestiging,635,655,96387,,492,0.001,101.86,9,44,8263,4,628,9,395,393,152,44%,62%,1.223,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=bevestiging,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3Dbevestiging,
leidsche-rijn/woningaanbod/koop-en-huurwoningen/index,625,897,64811,7,614,0.001,26.6,133,865,75947,58,601,132,153,150,104,44%,24%,0.616,http://www.utrecht.nl/leidsche-rijn/woningaanbod/koop-en-huurwoningen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fwoningaanbod%2Fkoop-en-huurwoningen%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/banenzwemmen/index,625,745,48305,9,448,0.001,9.807,149,833,86846,43,599,137,97,88,77,29%,16%,0.782,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/banenzwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fvrij-zwemmen%2Fbanenzwemmen%2F,
werk-en-inkomen/u-hebt-een-uitkering/index,624,845,79286,54,661,0.001,7.58,231,1016,87271,106,606,218,219,209,127,46%,35%,0.667,http://www.utrecht.nl/werk-en-inkomen/u-hebt-een-uitkering/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fu-hebt-een-uitkering%2F,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=bijlagen,622,761,24914,,650,0.003,155.517,4,29,372,0,622,4,6,6,40,0%,1%,0.594,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=bijlagen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Dbijlagen,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=overzicht,618,689,22028,,589,0.007,105.316,4,14,467,2,617,4,17,16,36,50%,3%,0.984,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Doverzicht,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=kenteken,614,839,42176,,658,0.002,19.191,,,,,589,,26,26,69,0%,4%,0.309,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=kenteken,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3Dkenteken,
evenementen/index,611,769,43367,17,587,0.001,102.749,227,1474,89555,97,607,226,192,189,71,43%,31%,0.852,http://www.utrecht.nl/evenementen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fevenementen%2F,
gemeenteraad/raadsvergadering/index,611,805,76690,12,617,0.001,17.078,81,363,17673,19,578,77,156,151,126,23%,26%,0.539,http://www.utrecht.nl/gemeenteraad/raadsvergadering/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadsvergadering%2F,
Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=vergunningNieuw,610,1303,68973,1,977,0.005,14.057,8,54,1582,6,604,8,20,20,113,75%,3%,0.36,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_tijdelijkekentekenregistratie&state=vergunningNieuw,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_tijdelijkekentekenregistratie%26state%3DvergunningNieuw,
auto/index,606,693,10138,5,512,0.001,3.995,12,40,3085,3,603,12,16,16,17,25%,3%,0.549,http://www.utrecht.nl/auto/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fauto%2F,
sport-in-utrecht/zwembaden/zwembad-fletiomare/zwemles/index,606,873,31941,7,505,0.001,16.849,115,719,75545,17,596,113,48,47,53,15%,8%,0.651,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fzwemles%2F,
Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=bevestiging,601,620,85378,,533,0.003,53.07,9,34,1804,4,600,9,376,375,142,44%,63%,0.544,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_reactieformulier&state=bevestiging,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_reactieformulier%26state%3Dbevestiging,
sport-in-utrecht/zwembaden/zwembad-huren/index,601,712,66837,4,502,0.001,10.113,115,258,24719,67,589,111,222,214,111,58%,37%,0.729,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-huren/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-huren%2F,
evenementen/omwonende-evenement/evenementenkalender/index,599,716,33938,16,505,0.001,17.362,386,1089,88961,101,582,372,170,164,57,26%,28%,0.835,http://www.utrecht.nl/evenementen/omwonende-evenement/evenementenkalender/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fevenementen%2Fomwonende-evenement%2Fevenementenkalender%2F,
subsidiehulp/subsidies-milieuzone/index,598,830,48177,30,629,0.001,6.661,221,1594,166811,21,586,216,91,89,81,10%,15%,0.521,http://www.utrecht.nl/subsidiehulp/subsidies-milieuzone/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsubsidiehulp%2Fsubsidies-milieuzone%2F,
wijk-vleuten-de-meern/wijkservicecentrum/index,592,782,50218,28,572,0.001,53.837,141,1060,106128,28,579,139,112,111,85,20%,19%,0.7,http://www.utrecht.nl/wijk-vleuten-de-meern/wijkservicecentrum/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-vleuten-de-meern%2Fwijkservicecentrum%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Bijzondere bijstand,590,744,68492,39,601,0.001,270.798,227,3883,219050,66,579,221,119,118,116,29%,20%,1.456,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Bijzondere+bijstand,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DBijzondere+bijstand,
wijk-binnenstad/de-wijk/plattegrond-binnenstad/index,590,761,46808,24,550,0.001,10.492,381,1257,86094,93,582,375,169,169,79,24%,29%,0.591,http://www.utrecht.nl/wijk-binnenstad/de-wijk/plattegrond-binnenstad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-binnenstad%2Fde-wijk%2Fplattegrond-binnenstad%2F,
Formulieren/process/add/report/ - Andere,588,594,86498,1,485,0.004,87.925,,,,,588,,342,342,147,0%,58%,1.475,,,
english/visiting/index,586,737,31139,4,588,0.001,34.577,89,237,15866,41,574,87,195,191,53,46%,33%,0.788,http://www.utrecht.nl/english/visiting/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fenglish%2Fvisiting%2F,
leidsche-rijn/informatiecentrum/index,581,730,82371,7,468,0.001,24.927,368,1893,196407,166,545,342,232,221,142,45%,40%,0.75,http://www.utrecht.nl/leidsche-rijn/informatiecentrum/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Finformatiecentrum%2F,
sport-in-utrecht/zwembaden/zwembad-fletiomare/zwemles/informatie-zwemles/index,578,757,135923,8,394,0.001,13.267,158,1120,156689,91,556,149,218,207,235,58%,38%,0.702,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/zwemles/informatie-zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fzwemles%2Finformatie-zwemles%2F,
Loket/persondetails/displayPersonDetailsAction.do,576,735,25685,5,659,0.004,25.515,9,14,1739,6,568,9,48,47,45,67%,8%,0.643,https://pki.utrecht.nl/Loket/persondetails/displayPersonDetailsAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fpersondetails%2FdisplayPersonDetailsAction.do,
verkeersbeleid/oproep-verkeerslichten/index,576,784,46775,9,557,0.001,5.755,457,1097,70506,172,569,452,290,284,81,38%,50%,0.571,http://www.utrecht.nl/verkeersbeleid/oproep-verkeerslichten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeersbeleid%2Foproep-verkeerslichten%2F,
stadsparken-en-landgoederen/griftpark/agenda/index,574,695,58763,2,437,0.001,12.766,182,534,49688,111,563,173,267,258,102,61%,47%,0.632,http://www.utrecht.nl/stadsparken-en-landgoederen/griftpark/agenda/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadsparken-en-landgoederen%2Fgriftpark%2Fagenda%2F,
Loket/decisiontree/renderAction.do?tree_type=formuliertoegang&tree_name=BijzondereBijstand,564,4762,107538,3,4066,0.001,49.771,33,311,24511,10,548,31,69,67,191,30%,12%,0.4,https://pki.utrecht.nl/Loket/decisiontree/renderAction.do?tree_type=formuliertoegang&tree_name=BijzondereBijstand,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fdecisiontree%2FrenderAction.do%3Ftree_type%3Dformuliertoegang%26tree_name%3DBijzondereBijstand,
Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=kenteken,562,869,34975,,755,0.007,37.497,4,31,2279,1,552,4,20,20,62,25%,4%,0.39,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=kenteken,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bewonersvergunning%26state%3Dkenteken,
