Kenteken,Bijzonderheid volgnummer,Bijzonderheid code,Bijzonderheid code omschrijving,Bijzonderheid variabele tekst,Bijzonderheid eenheid
00ZHP4,3,149,Dit motorvoertuig is voorzien van een vastzetsysteem t.b.v.    ligplaats(en),01,
00ZKS1,1,55,Kentekenplaat model 18.2. toegestaan.,,
00ZS10,2,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
00ZSK6,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",4,
00ZSR1,1,108,Kentekenplaat model 27.10. toegestaan,,
00ZSR9,1,160,Af-fabriek roetfilter verwijderd,,
00ZST2,1,55,Kentekenplaat model 18.2. toegestaan.,,
00ZSZ6,1,108,Kentekenplaat model 27.10. toegestaan,,
00ZTH2,1,108,Kentekenplaat model 27.10. toegestaan,,
00ZTJ3,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",4,
00ZVK5,1,141,Het remsysteem van dit voertuig is gewijzigd en goedgekeurd.,,
00ZVX8,1,61,"Taxi, ingericht voor het vervoer van ten hoogste   personen buiten de be- stuurder.",4,
00ZXR2,1,108,Kentekenplaat model 27.10. toegestaan,,
0100TD,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
0101ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0101ZZ,4,132,Dit voertuig behoeft niet te zijn voorzien van een bescherminrichting tegen klemrijden aan de voorzijde.,,
0102ZZ,1,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0102ZZ,2,982,Wielbasis:,1683-2008,cm
0102ZZ,3,983,Lengte (L):,1874-2199,cm
0102ZZ,4,985,afstand hart koppeling tot achterzijde voertuig (b):,1759-2084,cm
0102ZZ,5,998,Technisch toegestane maximummassa voertuig:,109600,kg
0102ZZ,6,989,Maximum massa voertuig:,109600,kg
0102ZZ,7,103,Max-last-as .. t/m .. : ..... per as,10 10 06960,kg
0102ZZ,8,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0103ZZ,1,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0103ZZ,2,982,Wielbasis:,1475-2470,cm
0103ZZ,3,983,Lengte (L):,1710-2705,cm
0103ZZ,4,985,afstand hart koppeling tot achterzijde voertuig (b):,1595-2590,cm
0103ZZ,5,998,Technisch toegestane maximummassa voertuig:,114000,kg
0103ZZ,6,989,Maximum massa voertuig:,114000,kg
0103ZZ,7,103,Max-last-as .. t/m .. : ..... per as,10 14 06000,kg
0104ZZ,1,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0104ZZ,4,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0104ZZ,7,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
0105ZZ,1,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0105ZZ,7,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
0106ZZ,1,103,Max-last-as .. t/m .. : ..... per as,10 12 06000,kg
0107ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0107ZZ,2,989,Maximum massa voertuig:,100000,kg
0107ZZ,3,998,Technisch toegestane maximummassa voertuig:,108000,kg
0108VA,3,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
0108ZZ,1,104,Het rijden met dit voertuig is alleen toegestaan indien een ontheffing aanwezig is.,,
0108ZZ,2,121,Dit voertuig is een kermis- en circus- voertuig.,,
0109ZZ,1,982,Wielbasis:,1371-1871,cm
0109ZZ,2,983,Lengte (L):,1578-2078,cm
0109ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1437-1937,cm
0109ZZ,4,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0109ZZ,5,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0109ZZ,8,104,Het rijden met dit voertuig is alleen toegestaan indien een ontheffing aanwezig is.,,
0110ZZ,1,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0110ZZ,2,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0111ZZ,1,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0111ZZ,2,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0112SP,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
0112ZZ,1,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0112ZZ,2,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0113ZZ,1,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0113ZZ,2,103,Max-last-as .. t/m .. : ..... per as,10 10 06000,kg
0113ZZ,3,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0114ZZ,1,982,Wielbasis:,1696-2221,cm
0114ZZ,2,983,Lengte (L):,1897-2422,cm
0114ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1762-2287,cm
0114ZZ,4,103,Max-last-as .. t/m .. : ..... per as,10 10 06000,kg
0116XK,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
0116ZZ,1,982,Wielbasis:,1067-1527,cm
0116ZZ,2,983,Lengte (L):,1428-1888,cm
0116ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1491-1751,cm
0117ZZ,1,982,Wielbasis:,1425-1975,cm
0117ZZ,2,983,Lengte (L):,1650-2200,cm
0117ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1525-2075,cm
0118ZZ,1,121,Dit voertuig is een kermis- en circus- voertuig.,,
0119ZZ,1,121,Dit voertuig is een kermis- en circus- voertuig.,,
0122ZZ,5,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0122ZZ,6,103,Max-last-as .. t/m .. : ..... per as,10 10 06000,kg
0122ZZ,7,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0123ZZ,5,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0123ZZ,6,103,Max-last-as .. t/m .. : ..... per as,10 12 06000,kg
0123ZZ,7,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0124ZZ,1,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0124ZZ,2,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0127ZZ,1,993,Dit voertuig is samengesteld uit afneembare voertuigdelen met de volgende identificatienummers:,,
0127ZZ,4,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0127ZZ,5,998,Technisch toegestane maximummassa voertuig:,109030,kg
0127ZZ,6,989,Maximum massa voertuig:,109030,kg
0127ZZ,7,103,Max-last-as .. t/m .. : ..... per as,10 10 06960,kg
0127ZZ,8,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0128RD,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
0128RL,1,44,"Bevestigingspunten autogordels voor zitplaatsen die niet aan de voorste portieren grenzen, ex art.66.sub.r.ii WVR niet verplicht.",,
0131ZZ,1,982,Wielbasis:,0939-1169,cm
0131ZZ,2,983,Lengte (L):,1357-1587,cm
0131ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1175-1405,cm
0132ZZ,1,982,Wielbasis:,1028-1398,cm
0132ZZ,2,983,Lengte (L):,1298-1668,cm
0132ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1160-1530,cm
0132ZZ,4,104,Het rijden met dit voertuig is alleen toegestaan indien een ontheffing aanwezig is.,,
0133ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0134ZZ,1,982,Wielbasis:,1073-1428,cm
0134ZZ,2,983,Lengte (L):,1333-1688,cm
0134ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1198-1553,cm
0134ZZ,4,103,Max-last-as .. t/m .. : ..... per as,10 10 06000,kg
0135ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0137ZZ,1,982,Wielbasis:,1073-1423,cm
0137ZZ,2,983,Lengte (L):,1333-1683,cm
0137ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1198-1548,cm
0139ZZ,1,993,Dit voertuig is samengesteld uit afneembare voertuigdelen met de volgende identificatienummers:,,
0139ZZ,4,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0139ZZ,5,982,Wielbasis:,1431-1941,cm
0139ZZ,6,983,Lengte (L):,1610-2120,cm
0139ZZ,7,985,afstand hart koppeling tot achterzijde voertuig (b):,1507-2017,cm
0140WR,1,974,Dit voertuig mag alleen in het kermis- of circusbedrijf worden gebezigd.,,
0141VV,3,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
0141XP,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
0141ZZ,1,982,Wielbasis:,1070-1420,cm
0141ZZ,2,983,Lengte (L):,1315-1665,cm
0141ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1200-1550,cm
0142RD,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
0144RL,1,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
0145XK,2,2,Bevestigingspunten autogordels ex art. 66 sub r onder ii WVR niet verplicht.,,
0146ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0146ZZ,2,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,voorste stempelpoten,
0146ZZ,8,104,Het rijden met dit voertuig is alleen toegestaan indien een ontheffing aanwezig is.,,
0148ZZ,1,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0148ZZ,4,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0148ZZ,7,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
0149ZZ,1,982,Wielbasis:,1492-1842,cm
0149ZZ,2,983,Lengte (L):,1673-2023,cm
0149ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1558-1908,cm
0149ZZ,6,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0149ZZ,7,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0150ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0151ZZ,1,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0151ZZ,2,982,Wielbasis:,1180-1573,cm
0151ZZ,3,983,Lengte (L):,1401-1794,cm
0151ZZ,4,985,afstand hart koppeling tot achterzijde voertuig (b):,1256-1649,cm
0152ZZ,1,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0152ZZ,2,103,Max-last-as .. t/m .. : ..... per as,10 10 06700,kg
0152ZZ,3,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0153ZZ,1,121,Dit voertuig is een kermis- en circus- voertuig.,,
0154ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0155VM,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
0155ZZ,1,982,Wielbasis:,1109-2359,cm
0155ZZ,2,983,Lengte (L):,1380-2630,cm
0155ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1236-2486,cm
0155ZZ,8,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0156UZ,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
0156ZZ,1,982,Wielbasis:,1436-2801,cm
0156ZZ,2,983,Lengte (L):,1707-3072,cm
0156ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1563-2928,cm
0156ZZ,4,998,Technisch toegestane maximummassa voertuig:,114000,kg
0156ZZ,5,993,Dit voertuig is samengesteld uit afneembare voertuigdelen met de volgende identificatienummers:,,
0156ZZ,8,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0158ZZ,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,198,
0159ZZ,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,198,
0160VX,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
0160ZZ,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,198,
0161ZZ,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,198,
0162TG,3,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
0162ZZ,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,198,
0163ZZ,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,198,
0164ZZ,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,198,
0165ZZ,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,198,
0165ZZ,2,104,Het rijden met dit voertuig is alleen toegestaan indien een ontheffing aanwezig is.,,
0166ZZ,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,Zwanenhals,
0166ZZ,2,993,Dit voertuig is samengesteld uit afneembare voertuigdelen met de volgende identificatienummers:,,
0168ZZ,1,104,Het rijden met dit voertuig is alleen toegestaan indien een ontheffing aanwezig is.,,
0168ZZ,2,982,Wielbasis:,1223-1748,cm
0168ZZ,3,983,Lengte (L):,1405-1930,cm
0168ZZ,4,985,afstand hart koppeling tot achterzijde voertuig (b):,1290-1815,cm
0169ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0171ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0172ZZ,1,982,Wielbasis:,1592-2092,cm
0172ZZ,2,983,Lengte (L):,1777-2277,cm
0172ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1662-2162,cm
0172ZZ,4,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0172ZZ,5,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0173ZZ,1,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0173ZZ,4,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
0173ZZ,7,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
0174ZZ,1,982,Wielbasis:,1539-2364,cm
0174ZZ,2,983,Lengte (L):,1676-2501,cm
0174ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1601-2426,cm
0174ZZ,4,103,Max-last-as .. t/m .. : ..... per as,10 10 06000,kg
0174ZZ,9,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0175ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0175ZZ,2,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
0176ZZ,1,998,Technisch toegestane maximummassa voertuig:,102000,kg
0177VX,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
0177ZZ,1,982,Wielbasis:,1935-2760,cm
0177ZZ,2,983,Lengte (L):,2072-2897,cm
0177ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1997-2822,cm
0177ZZ,4,998,Technisch toegestane maximummassa voertuig:,130000,kg
0177ZZ,5,989,Maximum massa voertuig:,130000,kg
0177ZZ,6,103,Max-last-as .. t/m .. : ..... per as,10 16 06000,kg
0177ZZ,7,993,Dit voertuig is samengesteld uit afneembare voertuigdelen met de volgende identificatienummers:,,
0177ZZ,10,130,Het asstel kan deel uitmaken van een modulair samengestelde aanhangwagen zoals vastgelegd in een geldig SERT document,,
0180MB,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,093,
0180ZZ,1,982,Wielbasis:,1372-2502,cm
0180ZZ,2,983,Lengte (L):,1544-2674,cm
0180ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1434-2564,cm
0180ZZ,4,158,Breedte:,275-320,cm
0181ZZ,1,982,Wielbasis:,1415-1925,cm
0181ZZ,2,983,Lengte (L):,1692-2202,cm
0181ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1542-2052,cm
0183ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0183ZZ,4,132,Dit voertuig behoeft niet te zijn voorzien van een bescherminrichting tegen klemrijden aan de voorzijde.,,
0184ZZ,1,104,Het rijden met dit voertuig is alleen toegestaan indien een ontheffing aanwezig is.,,
0185ZZ,1,104,Het rijden met dit voertuig is alleen toegestaan indien een ontheffing aanwezig is.,,
0186ZZ,1,982,Wielbasis:,1054-1179,cm
0186ZZ,2,983,Lengte (L):,1357-1482,cm
0186ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1195-1320,cm
0186ZZ,6,104,Het rijden met dit voertuig is alleen toegestaan indien een ontheffing aanwezig is.,,
0187ZZ,1,982,Wielbasis:,1014-1684,cm
0187ZZ,2,983,Lengte (L):,1378-2048,cm
0187ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1193-1863,cm
0189ZZ,1,982,Wielbasis:,1053-1686,cm
0189ZZ,2,983,Lengte (L):,1288-1921,cm
0189ZZ,3,985,afstand hart koppeling tot achterzijde voertuig (b):,1173-1806,cm
0190ZZ,1,103,Max-last-as .. t/m .. : ..... per as,10 12 06000,kg
0193ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0193ZZ,2,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
0195ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0195ZZ,2,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
0195ZZ,7,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,voorste stempelpoten,
0196ZZ,1,907,Dit voertuig is een rijdend werktuig.,,
0196ZZ,2,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
0199ZZ,1,998,Technisch toegestane maximummassa voertuig:,124500,kg
0199ZZ,2,989,Maximum massa voertuig:,124500,kg
0199ZZ,3,103,Max-last-as .. t/m .. : ..... per as,10 16 06000,kg
0199ZZ,4,982,Wielbasis:,1620-2320,cm
0199ZZ,5,983,Lengte (L):,1835-2535,cm
0199ZZ,6,985,afstand hart koppeling tot achterzijde voertuig (b):,1710-2410,cm
0199ZZ,7,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de zwanenhals,
01AJ44,1,949,Dit voertuig behoeft niet te zijn voorzien van bevestigingspunten voor gordels.,,
01BBB4,1,143,De bevestigingspunten van de zitplaat- sen van dit voertuig zijn gewijzigd en goedgekeurd.,,
01BBB4,2,144,De bevestigingspunten van de gordels van dit voertuig zijn gewijzigd en goedgekeurd.,,
01BBH7,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,074,
01BBJ1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
01BBJ2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,074,
01BBJ8,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
01BBK6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
01BBL6,1,134,In lange en zware voertuigcombinaties,,
01BBL6,2,136,- max. massa samenstel:,060000,kg
01BBL6,3,138,- max. massa autonoom geremd:,48080,kg
01BBL6,4,139,- max. massa middenas geremd:,25159,kg
01BBN4,1,134,In lange en zware voertuigcombinaties,,
01BBN4,2,136,- max. massa samenstel:,057500,kg
01BBN4,3,137,- max. massa oplegger geremd:,49031,kg
01BBP4,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
01BBS1,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0443-0508,cm
01BBZS,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BDDL,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BDDL,2,965,Afwijkende koplamp(en) toegestaan op basis van art. 30 van de invoeringswet WVW 1994.,,
01BDG9,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
01BDH1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,151,
01BDH7,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
01BDJ9,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,025,
01BDK5,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0420-0475,cm
01BDK6,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de opstap linker en rechterzijde,
01BDK8,1,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,de laadinstallatie,
01BDNL,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BDNL,2,965,Afwijkende koplamp(en) toegestaan op basis van art. 30 van de invoeringswet WVW 1994.,,
01BDP7,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0406-0472,cm
01BDP9,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,146,
01BDS5,1,134,In lange en zware voertuigcombinaties,,
01BDS5,2,136,- max. massa samenstel:,060000,kg
01BDS5,3,138,- max. massa autonoom geremd:,46740,kg
01BDS5,4,139,- max. massa middenas geremd:,24000,kg
01BDS6,1,910,Dit voertuig behoeft niet te zijn voorzien van een stootbalk.,,
01BDV2,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0460-0600,cm
01BFH3,1,134,In lange en zware voertuigcombinaties,,
01BFH3,2,136,- max. massa samenstel:,057500,kg
01BFH3,3,137,- max. massa oplegger geremd:,49804,kg
01BFH5,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,090,
01BFK1,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,048,
01BFK5,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,092,
01BFN7,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0434-0502,cm
01BFNS,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BFT4,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0580-0735,cm
01BFT4,2,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BFT4,3,976,- afstand voorzijde voertuig tot hart   koppeling (a),0850,cm
01BFT4,4,978,- max. massa ongeremd:,00750,kg
01BFT4,5,980,- max. massa autonoom geremd:,20922,kg
01BFT4,6,981,- max. massa middenas geremd:,12074,kg
01BFT6,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0494-0554,cm
01BFT9,1,975,Tevens voorzien van een koppeling met de volgende gegevens:,,
01BFT9,2,976,- afstand voorzijde voertuig tot hart   koppeling (a),0953,cm
01BFT9,3,978,- max. massa ongeremd:,00750,kg
01BFT9,4,980,- max. massa autonoom geremd:,03191,kg
01BFT9,5,981,- max. massa middenas geremd:,03191,kg
01BFV1,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0447-0496,cm
01BFV5,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,050,
01BFZ5,1,134,In lange en zware voertuigcombinaties,,
01BFZ5,2,136,- max. massa samenstel:,057500,kg
01BFZ5,3,137,- max. massa oplegger geremd:,50000,kg
01BGD6,1,134,In lange en zware voertuigcombinaties,,
01BGD6,2,136,- max. massa samenstel:,060000,kg
01BGD6,3,138,- max. massa autonoom geremd:,44095,kg
01BGHN,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BGL3,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0443-0492,cm
01BGL6,1,134,In lange en zware voertuigcombinaties,,
01BGL6,2,136,- max. massa samenstel:,050000,kg
01BGL6,3,137,- max. massa oplegger geremd:,42129,kg
01BGN6,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,080,
01BGNN,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BGNN,2,965,Afwijkende koplamp(en) toegestaan op basis van art. 30 van de invoeringswet WVW 1994.,,
01BGP6,1,134,In lange en zware voertuigcombinaties,,
01BGP6,2,136,- max. massa samenstel:,050000,kg
01BGP6,3,138,- max. massa autonoom geremd:,28500,kg
01BGP6,4,139,- max. massa middenas geremd:,24000,kg
01BGR7,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,089,
01BGT8,1,134,In lange en zware voertuigcombinaties,,
01BGT8,2,136,- max. massa samenstel:,050000,kg
01BGT8,3,138,- max. massa autonoom geremd:,28500,kg
01BGT8,4,139,- max. massa middenas geremd:,24000,kg
01BGV4,1,134,In lange en zware voertuigcombinaties,,
01BGV4,2,136,- max. massa samenstel:,060000,kg
01BGV4,3,137,- max. massa oplegger geremd:,51563,kg
01BGX8,1,134,In lange en zware voertuigcombinaties,,
01BGX8,2,136,- max. massa samenstel:,050000,kg
01BGX8,3,138,- max. massa autonoom geremd:,37345,kg
01BGX8,4,139,- max. massa middenas geremd:,24000,kg
01BGXL,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BHB2,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,063,
01BHB7,1,134,In lange en zware voertuigcombinaties,,
01BHB7,2,136,- max. massa samenstel:,057500,kg
01BHB7,3,137,- max. massa oplegger geremd:,49623,kg
01BHD5,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,029,
01BHD8,1,63,Ingericht voor het vervoer van ten hoogste     personen buiten de be- stuurder.,018,
01BHF8,1,907,Dit voertuig is een rijdend werktuig.,,
01BHF8,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
01BHFV,1,55,Kentekenplaat model 18.2. toegestaan.,,
01BHG2,1,134,In lange en zware voertuigcombinaties,,
01BHG2,2,136,- max. massa samenstel:,060000,kg
01BHG2,3,138,- max. massa autonoom geremd:,47380,kg
01BHG2,4,139,- max. massa middenas geremd:,24000,kg
01BHG9,1,907,Dit voertuig is een rijdend werktuig.,,
01BHG9,2,954,Dit voertuig is ingevolge artikel 73 van de wegenverkeerswet 1994 uitgezon- derd van de periodieke keuringsplicht.,,
01BHG9,3,133,Dit voertuig is niet voorzien van een zijdelingse afscherming ter plaatse van,voorste stempelpoten,
01BHJ3,1,984,afstand voorzijde voertuig tot hart koppeling (a):,0500-0580,cm
01BHK9,1,134,In lange en zware voertuigcombinaties,,
01BHK9,2,136,- max. massa samenstel:,050000,kg
01BHK9,3,137,- max. massa oplegger geremd:,44800,kg
