Kenteken,Carrosserie volgnummer,Carrosserietype,Type Carrosserie Europese omschrijving
00BSH2,1,BC,Opleggertrekker
00BSH3,1,BA,Vrachtwagen
00BSH4,1,BC,Opleggertrekker
00BSH5,1,BA,Vrachtwagen
00BSH6,1,BA,Vrachtwagen
00BSH7,1,BA,Vrachtwagen
00BSH8,1,BA,Vrachtwagen
00BSH9,1,BA,Vrachtwagen
00BSJ1,1,BC,Opleggertrekker
00BSJ2,1,BC,Opleggertrekker
00BSJ3,1,BC,Opleggertrekker
00BSJ4,1,BC,Opleggertrekker
00BSJ5,1,BA,Vrachtwagen
00BSJ6,1,BC,Opleggertrekker
00BSJ7,1,BC,Opleggertrekker
00BSJ8,1,BA,Vrachtwagen
00BSJ9,1,BA,Vrachtwagen
00BSK1,1,BA,Vrachtwagen
00BSK3,1,BA,Vrachtwagen
00BSK4,1,BA,Vrachtwagen
00BSK5,1,BC,Opleggertrekker
00BSK6,1,BC,Opleggertrekker
00BSK7,1,BC,Opleggertrekker
00BSK8,1,BC,Opleggertrekker
00BSL2,1,BC,Opleggertrekker
00BSL3,1,BC,Opleggertrekker
00BSL4,1,BC,Opleggertrekker
00BSL5,1,BC,Opleggertrekker
00BSL6,1,BC,Opleggertrekker
00BSL7,1,BA,Vrachtwagen
00BSL8,1,BC,Opleggertrekker
00BSL9,1,BC,Opleggertrekker
00BSN1,1,BC,Opleggertrekker
00BSN2,1,BC,Opleggertrekker
00BSN3,1,BC,Opleggertrekker
00BSN4,1,BC,Opleggertrekker
00BSN5,1,BC,Opleggertrekker
00BSN6,1,BA,Vrachtwagen
00BSN7,1,BC,Opleggertrekker
00BSN8,1,BC,Opleggertrekker
00BSN9,1,BC,Opleggertrekker
00BSP4,1,BC,Opleggertrekker
00BSP5,1,BC,Opleggertrekker
00BSP6,1,BC,Opleggertrekker
00BSP9,1,BC,Opleggertrekker
00BSR1,1,BA,Vrachtwagen
00BSR2,1,BC,Opleggertrekker
00BSR4,1,BC,Opleggertrekker
00BSR5,1,CA,Enkeldeksvoertuig
00BSR6,1,BC,Opleggertrekker
00BSR7,1,BC,Opleggertrekker
00BSR8,1,BA,Vrachtwagen
00BSR9,1,BA,Vrachtwagen
00BST1,1,BA,Vrachtwagen
00BST2,1,BC,Opleggertrekker
00BST3,1,BC,Opleggertrekker
00BST5,1,BA,Vrachtwagen
00BST6,1,BA,Vrachtwagen
00BST7,1,BA,Vrachtwagen
00BST8,1,BC,Opleggertrekker
00BST9,1,BC,Opleggertrekker
00BSV1,1,BC,Opleggertrekker
00BSV2,1,BC,Opleggertrekker
00BSV3,1,BC,Opleggertrekker
00BSV4,1,BA,Vrachtwagen
00BSV6,1,BC,Opleggertrekker
00BSV8,1,BC,Opleggertrekker
00BSX1,1,BA,Vrachtwagen
00BSX2,1,BC,Opleggertrekker
00BSX3,1,BA,Vrachtwagen
00BSX4,1,BC,Opleggertrekker
00BSX5,1,BC,Opleggertrekker
00BSX6,1,BC,Opleggertrekker
00BSX7,1,BC,Opleggertrekker
00BSX9,1,BA,Vrachtwagen
00BSZ1,1,BA,Vrachtwagen
00BSZ3,1,BC,Opleggertrekker
00BSZ4,1,BC,Opleggertrekker
00BSZ5,1,BC,Opleggertrekker
00BSZ7,1,BC,Opleggertrekker
00BSZ8,1,BC,Opleggertrekker
00BSZ9,1,BC,Opleggertrekker
00BTB1,1,BA,Vrachtwagen
00BTB2,1,BA,Vrachtwagen
00BTB4,1,BC,Opleggertrekker
00BTB7,1,BA,Vrachtwagen
00BTB8,1,BC,Opleggertrekker
00BTD1,1,BC,Opleggertrekker
00BTD2,1,BC,Opleggertrekker
00BTD3,1,BA,Vrachtwagen
00BTD5,1,BC,Opleggertrekker
00BTD6,1,BC,Opleggertrekker
00BTD7,1,BC,Opleggertrekker
00BTD8,1,BC,Opleggertrekker
00BTD8,2,BA,Vrachtwagen
00BTD9,1,BA,Vrachtwagen
00BTF3,1,BC,Opleggertrekker
00BTF4,1,BA,Vrachtwagen
00BTF5,1,BA,Vrachtwagen
00BTF7,1,BC,Opleggertrekker
00BTF8,1,BC,Opleggertrekker
00BTF9,1,BC,Opleggertrekker
00BTG1,1,BC,Opleggertrekker
00BTG2,1,BC,Opleggertrekker
00BTG3,1,BA,Vrachtwagen
00BTG4,1,BA,Vrachtwagen
00BTG5,1,BC,Opleggertrekker
00BTG6,1,BA,Vrachtwagen
00BTG7,1,BC,Opleggertrekker
00BTG8,1,CA,Enkeldeksvoertuig
00BTG9,1,BC,Opleggertrekker
00BTH2,1,BC,Opleggertrekker
00BTH3,1,BA,Vrachtwagen
00BTH5,1,BC,Opleggertrekker
00BTH6,1,BC,Opleggertrekker
00BTH7,1,BA,Vrachtwagen
00BTH8,1,BA,Vrachtwagen
00BTH9,1,BC,Opleggertrekker
00BTJ1,1,BC,Opleggertrekker
00BTJ2,1,BA,Vrachtwagen
00BTJ3,1,BC,Opleggertrekker
00BTJ4,1,BC,Opleggertrekker
00BTJ5,1,BC,Opleggertrekker
00BTJ7,1,BC,Opleggertrekker
00BTJ8,1,BA,Vrachtwagen
00BTJ9,1,BA,Vrachtwagen
00BTK1,1,BC,Opleggertrekker
00BTK2,1,BA,Vrachtwagen
00BTK3,1,BC,Opleggertrekker
00BTK4,1,BC,Opleggertrekker
00BTK5,1,BC,Opleggertrekker
00BTK6,1,BC,Opleggertrekker
00BTK7,1,BC,Opleggertrekker
00BTK8,1,BC,Opleggertrekker
00BTK9,1,BC,Opleggertrekker
00BTL1,1,BA,Vrachtwagen
00BTL2,1,BA,Vrachtwagen
00BTL3,1,BC,Opleggertrekker
00BTL4,1,BC,Opleggertrekker
00BTL5,1,BA,Vrachtwagen
00BTL6,1,BC,Opleggertrekker
00BTL7,1,BA,Vrachtwagen
00BTL8,1,BC,Opleggertrekker
00BTL9,1,BC,Opleggertrekker
00BTN1,1,BC,Opleggertrekker
00BTN2,1,BA,Vrachtwagen
00BTN3,1,BC,Opleggertrekker
00BTN4,1,BC,Opleggertrekker
00BTN5,1,BC,Opleggertrekker
00BTN6,1,BC,Opleggertrekker
00BTN7,1,BC,Opleggertrekker
00BTN8,1,BC,Opleggertrekker
00BTN9,1,BC,Opleggertrekker
00BTP2,1,BC,Opleggertrekker
00BTP3,1,BA,Vrachtwagen
00BTP4,1,BA,Vrachtwagen
00BTP5,1,BC,Opleggertrekker
00BTP6,1,BC,Opleggertrekker
00BTP7,1,BC,Opleggertrekker
00BTP8,1,BC,Opleggertrekker
00BTR1,1,BC,Opleggertrekker
00BTR2,1,BC,Opleggertrekker
00BTR3,1,BC,Opleggertrekker
00BTR4,1,BA,Vrachtwagen
00BTR5,1,BC,Opleggertrekker
00BTR5,2,BA,Vrachtwagen
00BTR6,1,BC,Opleggertrekker
00BTR7,1,BC,Opleggertrekker
00BTR8,1,BC,Opleggertrekker
00BTR9,1,BA,Vrachtwagen
00BTS3,1,BC,Opleggertrekker
00BTS4,1,BC,Opleggertrekker
00BTS5,1,BC,Opleggertrekker
00BTS6,1,BA,Vrachtwagen
00BTS8,1,BC,Opleggertrekker
00BTS9,1,BA,Vrachtwagen
00BTT3,1,BC,Opleggertrekker
00BTT4,1,BC,Opleggertrekker
00BTT5,1,BA,Vrachtwagen
00BTT8,1,BC,Opleggertrekker
00BTT9,1,BC,Opleggertrekker
00BTV2,1,BA,Vrachtwagen
00BTV3,1,BC,Opleggertrekker
00BTV4,1,BC,Opleggertrekker
00BTV5,1,BC,Opleggertrekker
00BTV6,1,BA,Vrachtwagen
00BTV7,1,BC,Opleggertrekker
00BTV8,1,BB,Bestelwagen
00BTX2,1,BC,Opleggertrekker
00BTX3,1,BA,Vrachtwagen
00BTX4,1,BC,Opleggertrekker
00BTX5,1,BA,Vrachtwagen
00DA26,1,AE,Cabriolet
00DB01,1,BA,Vrachtwagen
00DB24,1,BA,Vrachtwagen
00DG38,1,AA,Sedan
00EB19,1,BA,Vrachtwagen
00EB32,1,BA,Vrachtwagen
00EB43,1,BB,Bestelwagen
00EB76,1,BA,Vrachtwagen
00EJ68,1,AA,Sedan
00EV37,1,AD,Coupe
00FB97,1,BA,Vrachtwagen
00FZ30,1,AA,Sedan
00GBB3,1,AC,Stationwagen
00GBB4,1,AB,Hatchback
00GBB5,1,AB,Hatchback
00GBB6,1,AB,Hatchback
00GBB7,1,AE,Cabriolet
00GBB8,1,AB,Hatchback
00GBB9,1,AF,MPV
00GBD1,1,AB,Hatchback
00GBD2,1,AB,Hatchback
00GBD3,1,AF,MPV
00GBD4,1,AF,MPV
00GBD5,1,AF,MPV
00GBD6,1,AB,Hatchback
00GBD7,1,AC,Stationwagen
00GBD8,1,AE,Cabriolet
00GBD9,1,AD,Coupe
00GBF1,1,AC,Stationwagen
00GBF2,1,AC,Stationwagen
00GBF4,1,AC,Stationwagen
00GBF5,1,AF,MPV
00GBF6,1,AE,Cabriolet
00GBF7,1,AF,MPV
00GBF8,1,AA,Sedan
00GBF9,1,AC,Stationwagen
00GBG2,1,AF,MPV
00GBG3,1,AA,Sedan
00GBG4,1,AC,Stationwagen
00GBG5,1,AD,Coupe
00GBG7,1,AF,MPV
00GBG8,1,AC,Stationwagen
00GBH1,1,AF,MPV
00GBH2,1,AB,Hatchback
00GBH4,1,AB,Hatchback
00GBH6,1,AB,Hatchback
00GBH7,1,AB,Hatchback
00GBJ8,1,AE,Cabriolet
00GBJ9,1,AF,MPV
00GBK1,1,AF,MPV
00GBK5,1,AF,MPV
00GBK6,1,AF,MPV
00GBL4,1,AB,Hatchback
00GBL6,1,AB,Hatchback
00GBL7,1,AC,Stationwagen
00GBL8,1,AB,Hatchback
00GBL9,1,AB,Hatchback
00GBN1,1,AE,Cabriolet
00GBN3,1,AC,Stationwagen
00GBN4,1,AB,Hatchback
00GBN5,1,AC,Stationwagen
00GBN8,1,AF,MPV
00GBP1,1,AF,MPV
00GBP2,1,AB,Hatchback
00GBP4,1,AB,Hatchback
00GBP5,1,AF,MPV
00GBP7,1,AB,Hatchback
00GBP9,1,AB,Hatchback
00GBR2,1,AA,Sedan
00GBR3,1,AB,Hatchback
00GBR4,1,AF,MPV
00GBR6,1,AF,MPV
00GBR7,1,AF,MPV
00GBR8,1,AB,Hatchback
00GBS4,1,AB,Hatchback
00GBS5,1,AB,Hatchback
00GBS6,1,AB,Hatchback
00GBS7,1,AF,MPV
00GBS8,1,AC,Stationwagen
00GBT1,1,AB,Hatchback
00GBT2,1,AA,Sedan
00GBT5,1,AB,Hatchback
00GBT8,1,AC,Stationwagen
00GBT9,1,AB,Hatchback
00GBV2,1,AC,Stationwagen
00GBV3,1,AC,Stationwagen
00GBV5,1,AB,Hatchback
00GBV6,1,AB,Hatchback
00GBV7,1,AC,Stationwagen
00GBV9,1,AE,Cabriolet
00GBX1,1,AF,MPV
00GBX2,1,AF,MPV
00GBX4,1,AB,Hatchback
00GBX5,1,AF,MPV
00GBX6,1,AB,Hatchback
00GBX7,1,AC,Stationwagen
00GBX8,1,AB,Hatchback
00GBX9,1,AB,Hatchback
00GBZ2,1,AD,Coupe
00GBZ3,1,AA,Sedan
00GBZ4,1,AF,MPV
00GBZ5,1,AB,Hatchback
00GBZ8,1,AC,Stationwagen
00GBZ9,1,AF,MPV
00GDB1,1,AB,Hatchback
00GDB4,1,AB,Hatchback
00GDB6,1,AB,Hatchback
00GDD1,1,AF,MPV
00GDD7,1,AF,MPV
00GDD8,1,AD,Coupe
00GDD9,1,AF,MPV
00GDF1,1,AF,MPV
00GDF3,1,AB,Hatchback
00GDF4,1,AB,Hatchback
00GDF5,1,AA,Sedan
00GDF7,1,AB,Hatchback
00GDF8,1,AB,Hatchback
00GDF9,1,AF,MPV
00GDG3,1,AA,Sedan
00GDG4,1,AF,MPV
00GDG5,1,AB,Hatchback
00GDG6,1,AB,Hatchback
00GDG7,1,AC,Stationwagen
00GDG8,1,AC,Stationwagen
00GDG9,1,AA,Sedan
00GDH1,1,AB,Hatchback
00GDH2,1,AB,Hatchback
00GDH3,1,AF,MPV
00GDH5,1,AB,Hatchback
00GDH7,1,AF,MPV
00GDH9,1,AB,Hatchback
00GDJ1,1,AD,Coupe
00GDJ3,1,AC,Stationwagen
00GDJ6,1,AC,Stationwagen
00GDJ7,1,AC,Stationwagen
00GDJ8,1,AA,Sedan
00GDJ9,1,AB,Hatchback
00GDK1,1,AF,MPV
00GDK2,1,AF,MPV
00GDK4,1,AB,Hatchback
00GDK6,1,AF,MPV
00GDK8,1,AF,MPV
00GDK9,1,AF,MPV
00GDL2,1,AF,MPV
00GDL3,1,AF,MPV
00GDL4,1,AB,Hatchback
00GDL6,1,AB,Hatchback
00GDL7,1,AF,MPV
00GDN1,1,AB,Hatchback
00GDN2,1,AB,Hatchback
00GDN8,1,AB,Hatchback
00GDN9,1,AF,MPV
00GDP1,1,AC,Stationwagen
00GDP3,1,AF,MPV
00GDP4,1,AC,Stationwagen
00GDP5,1,AC,Stationwagen
00GDP6,1,AB,Hatchback
00GDP8,1,AB,Hatchback
00GDP9,1,AB,Hatchback
00GDR3,1,AF,MPV
00GDR5,1,AC,Stationwagen
00GDR6,1,AF,MPV
00GDR8,1,AB,Hatchback
00GDR9,1,AF,MPV
00GDS1,1,AB,Hatchback
00GDS2,1,AB,Hatchback
00GDS3,1,AF,MPV
00GDS5,1,AB,Hatchback
00GDS6,1,AB,Hatchback
00GDS7,1,AF,MPV
00GDS8,1,AF,MPV
00GDT3,1,AC,Stationwagen
00GDT6,1,AF,MPV
00GDT7,1,AC,Stationwagen
00GDT8,1,AC,Stationwagen
00GDT9,1,AB,Hatchback
00GDV3,1,AF,MPV
00GDV5,1,AC,Stationwagen
00GDV7,1,AF,MPV
00GDV9,1,AB,Hatchback
00GDX1,1,AC,Stationwagen
00GDX2,1,AB,Hatchback
00GDX7,1,AB,Hatchback
00GDX8,1,AB,Hatchback
00GDZ1,1,AF,MPV
00GDZ3,1,AC,Stationwagen
00GDZ6,1,AB,Hatchback
00GDZ8,1,AB,Hatchback
00GE72,1,AE,Cabriolet
00GFB1,1,AE,Cabriolet
00GFB2,1,AB,Hatchback
00GFB3,1,AB,Hatchback
00GFB4,1,AB,Hatchback
00GFB7,1,AC,Stationwagen
00GFB8,1,AF,MPV
00GFD2,1,AA,Sedan
00GFD3,1,AF,MPV
00GFD5,1,AC,Stationwagen
00GFD6,1,AF,MPV
00GFD7,1,AF,MPV
00GFF4,1,AB,Hatchback
00GFF5,1,AE,Cabriolet
00GFF6,1,AB,Hatchback
00GFF8,1,AC,Stationwagen
00GFF9,1,AC,Stationwagen
00GFG1,1,AF,MPV
00GFG2,1,AE,Cabriolet
00GFG3,1,AB,Hatchback
00GFG4,1,AC,Stationwagen
00GFG5,1,AF,MPV
00GFG6,1,AB,Hatchback
00GFG7,1,AC,Stationwagen
00GFH1,1,AB,Hatchback
00GFH2,1,AC,Stationwagen
00GFH3,1,AC,Stationwagen
00GFH4,1,AC,Stationwagen
00GFH6,1,AF,MPV
00GFH7,1,AB,Hatchback
00GFH8,1,AB,Hatchback
00GFJ1,1,AA,Sedan
00GFJ3,1,AC,Stationwagen
00GFJ5,1,AB,Hatchback
00GFJ7,1,AF,MPV
00GFJ9,1,AB,Hatchback
00GFK3,1,AB,Hatchback
00GFK6,1,AE,Cabriolet
00GFK7,1,AC,Stationwagen
00GFK8,1,AC,Stationwagen
00GFL1,1,AB,Hatchback
00GFL2,1,AB,Hatchback
00GFL3,1,AE,Cabriolet
00GFL6,1,AC,Stationwagen
00GFL7,1,AB,Hatchback
00GFL8,1,AF,MPV
00GFL9,1,AA,Sedan
00GFN1,1,AE,Cabriolet
00GFN3,1,AB,Hatchback
00GFN4,1,AC,Stationwagen
00GFN6,1,AB,Hatchback
00GFN7,1,AF,MPV
00GFN8,1,AC,Stationwagen
00GFN9,1,AC,Stationwagen
00GFP2,1,AB,Hatchback
00GFP3,1,AF,MPV
00GFP4,1,AB,Hatchback
00GFP5,1,AE,Cabriolet
00GFP6,1,AB,Hatchback
00GFP7,1,AF,MPV
00GFP9,1,AB,Hatchback
00GFR1,1,AF,MPV
00GFR3,1,AC,Stationwagen
00GFR4,1,AC,Stationwagen
00GFR9,1,AF,MPV
00GFS1,1,AC,Stationwagen
00GFS2,1,AF,MPV
00GFS4,1,AB,Hatchback
00GFS5,1,AF,MPV
00GFS7,1,AB,Hatchback
00GFT1,1,AB,Hatchback
00GFT3,1,AF,MPV
00GFT4,1,AD,Coupe
00GFT5,1,AB,Hatchback
00GFT8,1,AF,MPV
00GFT9,1,AA,Sedan
00GFV1,1,AC,Stationwagen
00GFV3,1,AC,Stationwagen
00GFV4,1,AF,MPV
00GFV5,1,AF,MPV
00GFV6,1,AB,Hatchback
00GFV7,1,AB,Hatchback
00GFV8,1,AA,Sedan
00GFV9,1,AB,Hatchback
00GFX1,1,AF,MPV
00GFX3,1,AB,Hatchback
00GFX4,1,AF,MPV
00GFX6,1,AC,Stationwagen
00GFX9,1,AF,MPV
00GFZ1,1,AB,Hatchback
00GFZ2,1,AC,Stationwagen
00GFZ3,1,AC,Stationwagen
00GFZ4,1,AF,MPV
00GFZ5,1,AB,Hatchback
00GFZ9,1,AC,Stationwagen
00GGB2,1,AB,Hatchback
00GGB3,1,AB,Hatchback
00GGB4,1,AE,Cabriolet
00GGB6,1,AF,MPV
00GGD1,1,AB,Hatchback
00GGD3,1,AA,Sedan
00GGD4,1,AC,Stationwagen
00GGD5,1,AF,MPV
00GGD6,1,AF,MPV
00GGD7,1,AB,Hatchback
00GGD8,1,AB,Hatchback
00GGF1,1,AF,MPV
00GGF3,1,AC,Stationwagen
00GGF5,1,AB,Hatchback
00GGF7,1,AF,MPV
00GGF8,1,AB,Hatchback
00GGG1,1,AB,Hatchback
00GGG3,1,AB,Hatchback
00GGG5,1,AF,MPV
00GGG6,1,AC,Stationwagen
00GGG7,1,AB,Hatchback
00GGG8,1,AC,Stationwagen
00GGH2,1,AB,Hatchback
00GGH6,1,AC,Stationwagen
00GGH7,1,AC,Stationwagen
00GGH9,1,AB,Hatchback
00GGJ2,1,AF,MPV
00GGJ4,1,AB,Hatchback
00GGJ7,1,AF,MPV
00GGJ8,1,AB,Hatchback
00GGK1,1,AB,Hatchback
00GGK3,1,AF,MPV
00GGK4,1,AC,Stationwagen
00GGK7,1,AC,Stationwagen
00GGK9,1,AB,Hatchback
00GGL2,1,AB,Hatchback
00GGL3,1,AF,MPV
00GGL5,1,AB,Hatchback
00GGL8,1,AB,Hatchback
00GGN1,1,AD,Coupe
00GGN3,1,AB,Hatchback
00GGN5,1,AB,Hatchback
00GGN6,1,AE,Cabriolet
00GGN9,1,AB,Hatchback
00GGP1,1,AF,MPV
00GGP2,1,AC,Stationwagen
00GGP4,1,AF,MPV
00GGP5,1,AF,MPV
00GGP7,1,AB,Hatchback
00GGP8,1,AB,Hatchback
00GGP9,1,AE,Cabriolet
00GGR2,1,AB,Hatchback
00GGR3,1,AB,Hatchback
00GGR4,1,AB,Hatchback
00GGR5,1,AD,Coupe
00GGR6,1,AB,Hatchback
00GGR7,1,AB,Hatchback
00GGR9,1,AB,Hatchback
00GGS1,1,AC,Stationwagen
00GGS4,1,AB,Hatchback
00GGS5,1,AB,Hatchback
00GGT1,1,AF,MPV
00GGT2,1,AF,MPV
00GGT4,1,AB,Hatchback
00GGT5,1,AF,MPV
00GGT7,1,AB,Hatchback
00GGT8,1,AF,MPV
00GGV1,1,AB,Hatchback
00GGV4,1,AC,Stationwagen
00GGV6,1,AF,MPV
00GGV7,1,AB,Hatchback
00GGV8,1,AF,MPV
00GGV9,1,AE,Cabriolet
00GGX1,1,AB,Hatchback
00GGX3,1,AB,Hatchback
00GGX6,1,AC,Stationwagen
00GGX8,1,AB,Hatchback
00GGZ1,1,AF,MPV
00GGZ3,1,AB,Hatchback
00GGZ4,1,AD,Coupe
00GGZ5,1,AB,Hatchback
00GGZ6,1,AE,Cabriolet
00GGZ8,1,AC,Stationwagen
00GHB1,1,AB,Hatchback
00GHB2,1,AB,Hatchback
00GHB4,1,AB,Hatchback
00GHB6,1,AA,Sedan
00GHB7,1,AB,Hatchback
00GHB8,1,AF,MPV
00GHB9,1,AA,Sedan
00GHD1,1,AB,Hatchback
00GHD3,1,AA,Sedan
00GHD6,1,AC,Stationwagen
00GHD8,1,AB,Hatchback
00GHD9,1,AA,Sedan
00GHF2,1,AB,Hatchback
00GHF3,1,AF,MPV
00GHF5,1,AF,MPV
00GHF6,1,AA,Sedan
00GHG1,1,AB,Hatchback
00GHG2,1,AB,Hatchback
00GHG3,1,AB,Hatchback
00GHG6,1,AF,MPV
00GHH1,1,AF,MPV
00GHH2,1,AB,Hatchback
00GHH6,1,AD,Coupe
00GHH7,1,AF,MPV
00GHH8,1,AF,MPV
00GHJ1,1,AC,Stationwagen
00GHJ2,1,AB,Hatchback
00GHJ3,1,AB,Hatchback
00GHJ4,1,AC,Stationwagen
00GHJ7,1,AF,MPV
00GHJ8,1,AB,Hatchback
00GHJ9,1,AA,Sedan
00GHK1,1,AB,Hatchback
00GHK2,1,AB,Hatchback
00GHK4,1,AF,MPV
00GHK5,1,AE,Cabriolet
00GHK6,1,AF,MPV
00GHK7,1,AD,Coupe
00GHL1,1,AB,Hatchback
00GHL3,1,AB,Hatchback
00GHL5,1,AE,Cabriolet
00GHL8,1,AB,Hatchback
00GHL9,1,AF,MPV
00GHN2,1,AC,Stationwagen
00GHN3,1,AB,Hatchback
00GHN4,1,AF,MPV
00GHN8,1,AF,MPV
00GHN9,1,AB,Hatchback
00GHP1,1,AB,Hatchback
00GHP2,1,AA,Sedan
00GHP5,1,AE,Cabriolet
00GHP7,1,AB,Hatchback
00GHP8,1,AC,Stationwagen
00GHP9,1,AC,Stationwagen
00GHR1,1,AF,MPV
00GHR2,1,AC,Stationwagen
00GHR3,1,AE,Cabriolet
00GHR5,1,AE,Cabriolet
00GHR6,1,AC,Stationwagen
00GHR7,1,AC,Stationwagen
00GHS4,1,AC,Stationwagen
00GHS6,1,AC,Stationwagen
00GHS9,1,AF,MPV
00GHT1,1,AB,Hatchback
00GHT2,1,AF,MPV
00GHT3,1,AB,Hatchback
00GHT4,1,AB,Hatchback
00GHT5,1,AB,Hatchback
00GHT6,1,AB,Hatchback
00GHT7,1,AF,MPV
00GHT8,1,AF,MPV
00GHV2,1,AB,Hatchback
00GHV3,1,AB,Hatchback
00GHV4,1,AB,Hatchback
00GHV5,1,AB,Hatchback
00GHV6,1,AB,Hatchback
00GHV7,1,AC,Stationwagen
00GHV8,1,AA,Sedan
00GHV9,1,AB,Hatchback
00GHX6,1,AB,Hatchback
00GHX7,1,AB,Hatchback
00GHX9,1,AF,MPV
00GHZ2,1,AC,Stationwagen
00GHZ3,1,AF,MPV
00GHZ4,1,AC,Stationwagen
00GHZ5,1,AC,Stationwagen
