"number","fraction","prefix","name","suffix","month","day","year","res_non","type","sf_mf","dwelling_units_gained_or_lost","permit_value","how_far_east","how_far_north","permit_number","location_1"
"100",,"W","3","ST","1","1","1973","Non-Residential","New Construction","NA","0","173000","2764684","1071639","80469","100 W 3 ST
,  "
"5605",,"E","27","TE","4","1","1971","Residential","Additions, Alterations, Repairs","NA","0","150","2783688","1059018","41564","5605 E 27 TE
,  "
"21",,"W","10","ST","7","1","1971","Non-Residential","Additions, Alterations, Repairs","NA","0","3500","2764862","1068851","45878","21 W 10 ST
,  "
"2816",,"E","7","ST","1","1","1970","Residential","Additions, Alterations, Repairs","NA","0","2360","2775130","1069741","18443","2816 E 7 ST
,  "
"1508",,"E","12","ST","5","1","1970","Residential","Demolition","Multifamily","2","200","2770698","1067860","23678","1508 E 12 ST
,  "
"6201",,"E","8","ST","11","1","1970","Non-Residential","New Construction","NA","0","500","2786065","1068898","33366","6201 E 8 ST
,  "
"2509",,"E","13","ST","1","1","1970","Residential","Demolition","Single Family","1","595","2773814","1067138","18467","2509 E 13 ST
,  "
"5431",,"E","28","TE","10","1","1970","Residential","Additions, Alterations, Repairs","NA","0","189","2783360","1058233","32369","5431 E 28 TE
,  "
"3018",,"E","12","ST","7","1","1970","Non-Residential","Demolition","NA","0","475","2775403","1067657","26455","3018 E 12 ST
,  "
"12011",,"E","57","TE","2","1","1971","Residential","New Construction","Single Family","1","13000","2806015","1038129","36184","12011 E 57 TE
,  "
"5812",,"E","19","TE","2","1","1970","Residential","New Construction","Multifamily","10","79200","2784576","1063548","19035","5812 E 19 TE
,  "
"127",,"W","10","ST","6","1","1971","Non-Residential","Additions, Alterations, Repairs","NA","0","3000","2764552","1068859","45117","127 W 10 ST
,  "
"1616",,"E","14","ST","4","1","1971","Residential","Demolition","Multifamily","6","1000","2770864","1066868","41063","1616 E 14 ST
,  "
"922",,"W","48","ST","8","1","1971","Non-Residential","Additions, Alterations, Repairs","NA","0","300","2760754","1046555","48725","922 W 48 ST
,  "
"532",,"NE","43","TE","8","1","1971","Residential","Additions, Alterations, Repairs","NA","0","3000","2767663","1094646","48008","532 NE 43 TE
,  "
"3912",,"E","19","ST","4","1","1971","Residential","Demolition","Single Family","1","200","2778513","1064068","40537","3912 E 19 ST
,  "
"6422",,"E","15","TE","4","1","1972","Residential","Additions, Alterations, Repairs","NA","0","1480","2786789","1065523","63640","6422 E 15 TE
,  "
"1616",,"E","24","ST","10","1","1971","Residential","Demolition","Single Family","1","620","2770801","1062099","53117","1616 E 24 ST
,  "
"1218",,"E","28","ST","10","1","1970","Residential","Additions, Alterations, Repairs","NA","0","100","2768987","1059412","31846","1218 E 28 ST
,  "
"2612",,"E","8","ST","3","1","1970","Residential","Demolition","Multifamily","2","724","2774377","1069404","20854","2612 E 8 ST
,  "
"1807",,"E","41","ST","4","1","1970","Residential","Additions, Alterations, Repairs","NA","0","200","2770857","1050607","21941","1807 E 41 ST
,  "
"2416",,"E","10","ST","8","1","1971","Residential","New Construction","Single Family","1","11000","2773762","1068725","48271","2416 E 10 ST
,  "
"2605",,"E","38","ST","3","1","1970","Residential","Additions, Alterations, Repairs","NA","0","150","2773637","1052446","21312","2605 E 38 ST
,  "
"12004",,"E","57","ST","4","1","1971","Residential","New Construction","Single Family","1","13000","2805872","1038535","41308","12004 E 57 ST
,  "
"2726",,"E","36","ST","11","1","1970","Residential","Additions, Alterations, Repairs","NA","0","543","2774265","1053667","33206","2726 E 36 ST
,  "
"1629",,"E","22","TE","5","10","1973","Residential","Additions, Alterations, Repairs","NA","0","400","2771031","1062532","85471","1629 E 22 TE
,  "
"3812",,"E","56","TE","8","1","1970","Residential","Demolition","Single Family","1","200","2777015","1040193","28136","3812 E 56 TE
,  "
"4010",,"E","24","ST","5","1","1970","Residential","Additions, Alterations, Repairs","NA","0","4000","2778659","1061638","24470","4010 E 24 ST
,  "
"10505",,"E","42","ST","4","1","1971","Residential","New Construction","Multifamily","10","67970","2801207","1048540","41880","10505 E 42 ST
,  "
"1510",,"E","12","ST","5","1","1970","Non-Residential","Demolition","NA","0","100","2767249","992710","23679","1510 E 12 ST
,  "
"500",,"NW","55","TE","9","1","1971","Residential","New Construction","Multifamily","23","18968","2763996","1102610","51081","500 NW 55 TE
,  "
"5216",,"NE","44","TE","5","1","1971","Residential","New Construction","Single Family","1","13104","2783731","1095285","42700","5216 NE 44 TE
,  "
"4527",,"E","53","ST","12","1","1971","Residential","Additions, Alterations, Repairs","NA","0","1000","2779310","1042310","55172","4527 E 53 ST
,  "
"11106",,"E","48","TE","10","1","1971","Residential","New Construction","Single Family","1","20000","2803232","1044006","51479","11106 E 48 TE
,  "
"12005",,"E","56","ST","5","1","1971","Residential","New Construction","Single Family","1","13500","2805880","1039008","43105","12005 E 56 ST
,  "
"8313",,"E","49","TE","6","1","1971","Residential","New Construction","Single Family","1","18000","2792226","1043950","44889","8313 E 49 TE
,  "
"2639",,"E","10","ST","8","1","1970","Residential","Demolition","Multifamily","2","500","2774284","1068589","29315","2639 E 10 ST
,  "
"414",,"E","12","ST","8","1","1971","Non-Residential","Additions, Alterations, Repairs","NA","0","15663","2766495","1068344","48863","414 E 12 ST
,  "
"5201",,"E","41","ST","8","1","1970","Non-Residential","Additions, Alterations, Repairs","NA","0","325","2781967","1050285","29314","5201 E 41 ST
,  "
"6408",,"E","14","ST","7","1","1970","Residential","Additions, Alterations, Repairs","NA","0","300","2786648","1066211","26968","6408 E 14 ST
,  "
"4301",,"NW","57","TE","4","1","1971","Residential","New Construction","Multifamily","2","22392","2751667","1104111","40213","4301 NW 57 TE
,  "
"6618",,"E","58","TE","8","1","1972","Residential","Additions, Alterations, Repairs","NA","0","2000","2786550","1038456","70372","6618 E 58 TE
,  "
"1309",,"E","59","ST","7","1","1971","Residential","Additions, Alterations, Repairs","NA","0","258","2768404","1038821","46764","1309 E 59 ST
,  "
"3018",,"E","8","ST","5","8","1973","Residential","Additions, Alterations, Repairs","NA","0","2370","2775903","1069339","85313","3018 E 8 ST
,  "
"8505",,"E","56","ST","2","1","1971","Residential","New Construction","Single Family","1","15000","2792561","1039660","38157","8505 E 56 ST
,  "
"1915",,"E","33","ST","8","1","1970","Residential","Demolition","Single Family","1","800","2771415","1055834","28817","1915 E 33 ST
,  "
"1147",,"E","49","ST","4","1","1971","Residential","Additions, Alterations, Repairs","NA","0","1925","2768533","1045439","41360","1147 E 49 ST
,  "
"5113",,"NE","49","ST","9","1","1972","Residential","New Construction","Single Family","1","14420","2783186","1098078","72963","5113 NE 49 ST
,  "
"1629",,"E","21","ST","4","1","1970","Residential","New Construction","Multifamily","8","52000","2770773","1063341","23061","1629 E 21 ST
,  "
