"licenseename","doingbusinessas","licensetype","licensenum","expiration","address","city","state","zip"
"LEFT HAND BREWING COMPANY","LEFT HAND BREWING CO / TABERNASH BREWING CO","Sales Room Malt","02-85547-0001","2020-12-12T00:00:00.000","1265 BOSTON AVENUE","Longmont","CO","80503"
"PALISADE SALES ROOM","COLORADO WINE ROOM","Sales Room Wine","41-97969-0001","2021-02-08T00:00:00.000","785 ELBERTA AVE","Palisade","CO","81526"
"PARADOX BEER COMPANY INC","PARADOX BEER COMPANY INC","Sales Room Malt","12-94602-0002","2021-03-31T00:00:00.000","10 BUFFALO COURT","Divide","CO","80814"
"BRUZ BEERS","BRUZ BEERS","Sales Room Malt","03-05798","2021-01-12T00:00:00.000","1675 WEST 67TH AVENUE  UNIT 100","Denver","CO","80221"
"MILE HIGH SPIRITS","MILE HIGH SPIRITS LLC","Sales Room Spirits","42-86579-0002","2021-08-30T00:00:00.000","2201 LAWRENCE STREET","Denver","CO","80205"
"TRES LITROS BEER COMPANY","TRES LITROS BEER COMPANY LLC","Sales Room Malt","03-11506","2021-09-26T00:00:00.000","118 NORTH E STREET","Salida","CO","81201"
"AVANT VINEYARDS INC","AVANT VINEYARDS INC","Sales Room Wine","15-64836-0000","2021-02-05T00:00:00.000","3480 E ROAD","Palisade","CO","81526"
"CROOKED STAVE ARTISAN BEER PROJECT","CROOKED STAVE","Sales Room Malt","42-87822-0000","2020-12-09T00:00:00.000","1441 WEST 46TH AVE UNIT 19","Denver","CO","80211"
"CARLSON VINEYARDS","CARLSON VINEYARDS INC","Sales Room Wine","04-84123-0001","2021-08-15T00:00:00.000","461  35  ROAD","Palisade","CO","815269518"
"FIRST CORKED LLC","SILVER VINES WINERY","Sales Room Wine","03-09526","2021-05-02T00:00:00.000","6340 WEST 56TH AVENUE #5","Arvada","CO","80002"
"SOUL SQUARED BREWING COMPANY INC","SOUL SQUARED BREWING COMPANY","Sales Room Malt","03-03271","2021-03-15T00:00:00.000","6421 WEST COUNTY ROAD 15","Fort Collins","CO","80524"
"5507 DISTILLING LLC","TOWER 56 DISTILLING","Sales Room Spirits","03-09549","2021-04-11T00:00:00.000","825 9TH STREET UNIT B","Greeley","CO","80631"
"DEEP ROOTS WINERY","DEEP ROOTS WINERY","Sales Room Wine","03-07739","2021-09-27T00:00:00.000","1516 WAZEE STREET","Denver","CO","80202"
"STEM CIDERS","STEM CIDERS LLC","Sales Room Wine","03-01843","2020-11-05T00:00:00.000","2811 WALNUT STREET  SUITE 150","Denver","CO","80205"
"WOOD'S HIGH MOUNTAIN DISTILLERY","WOOD'S HIGH MOUNTAIN DISTILLERY","Sales Room Spirits","03-00270","2020-11-01T00:00:00.000","2845 WALNUT","Denver","CO","80205"
"CLIMB HARD CIDER COMPANY","CLIMB HARD CIDER COMPANY","Sales Room Wine","03-00761","2021-02-04T00:00:00.000","914 SOUTH COLLEGE AVENUE","Fort Collins","CO","80521"
"WONDERLAND BREWING CO","WONDERLAND BREWING COMPANY LLC","Sales Room Malt","03-02460","2021-03-27T00:00:00.000","5450 WEST 120TH AVENUE","Broomfield","CO","80020"
"ZWEI BREWING CO","ZWEI  BREWING CO","Sales Room Malt","03-02354","2021-01-22T00:00:00.000","4612 SOUTH MASON ST STE 120","Fort Collins","CO","80525"
"DEVIL'S HEAD DISTILLERY","DEVIL'S HEAD DISTILLERY","Sales Room Spirits","03-03525","2021-10-07T00:00:00.000","3296 SOUTH ACOMA STREET","Englewood","CO","80110"
"ADAMANT BREWING COMPANY","ADAMANT BREWING COMPANY","Sales Room Malt","03-10960","2021-03-13T00:00:00.000","1001 LEE HILL DRIVE UNIT 10","Boulder","CO","80302"
"GARFIELD ESTATES VINEYARD","GARFIELD ESTATES VINEYARD","Sales Room Wine","40-77166-0001","2021-08-15T00:00:00.000","3572 G ROAD","Palisade","CO","815269789"
"COLORADO CELLARS WINERY","COLORADO CELLARS","Sales Room Wine","04-84161-0005","2021-08-22T00:00:00.000","3553 E ROAD","Palisade","CO","81526"
"INDUSTRIAL REVOLUTION BREWING","INDUSTRIAL REVOLUTION BREWING COMPANY LLC THE","Sales Room Malt","03-01611","2021-08-14T00:00:00.000","285 CHEESMAN STREET","Erie","CO","805161344"
"LITTLE MACHINE BREW HOUSE","LITTLE MACHINE BEER","Sales Room Malt","03-04351","2021-03-12T00:00:00.000","2924 WEST 20TH AVE","Denver","CO","80211"
"VINNIE FERA","VINNIE FERA","Sales Room Wine","03-01153","2021-04-14T00:00:00.000","3012 STERLING CIRCLE SUITE 110","Boulder","CO","80301"
"MOUNTAIN SPIRIT WINERY","MOUNTAIN SPIRIT WINERY","Sales Room Wine","03-68365-0001","2021-07-12T00:00:00.000","15750 COUNTY ROAD 220","Salida","CO","81201"
"LAWS WHISKEY HOUSE","LAWS WHISKEY HOUSE","Sales Room Spirits","13-81457-0000","2021-05-26T00:00:00.000","1420 SOUTH ACOMA STREET","Denver","CO","80223"
"LONG TABLE BREWING COMPANY","LONG TABLE BREWING COMPANY","Sales Room Malt","03-09257","2021-02-19T00:00:00.000","2895 FAIRFAX STREET","Denver","CO","80207"
"APPLE VALLEY ORCHARDS LLC","JENKINS FARMS","Sales Room Wine","03-11676","2021-05-23T00:00:00.000","1112 4TH STREET PENTROSE","Penrose","CO","81240"
"D/B/A BANDED OAK BREWING","BANDED OAK BREWING COMPANY","Sales Room Malt","03-05179","2021-10-04T00:00:00.000","470 BROADWAY","Denver","CO","80203"
"HONNIBROOK","HONNIBROOK","Sales Room Wine","03-09661","2021-11-05T00:00:00.000","2276 MANATT, UNIT B9","Castle Rock","CO","80104"
"RALLY KING BREWING","RALLY KING BREWING","Sales Room Malt","03-04634","2021-06-19T00:00:00.000","1624 SOUTH LEMAY AVENUE UNIT 4","Fort Collins","CO","80525"
"GREEN EARTH BREWING CO","GREEN EARTH BREWING CO","Sales Room Malt","03-08371","2020-10-10T00:00:00.000","725 10TH STREET","GREELEY","CO","80631"
"WEASEL TAP ROOM","OSKAR BLUES BREWERY","Sales Room Malt","28-54198-0002","2020-12-23T00:00:00.000","1800 PIKE ROAD","Longmont","CO","80501"
"WHAT WE LOVE - THE WINERY","DECADENT SAINT","Sales Room Wine","03-01285","2021-05-20T00:00:00.000","1849 CHERRY STREET UNIT 3 & 4","Louisville","CO","80027"
"BURNS FAMILY ARTISAN ALES","BURNS FAMILY ARTISAN ALES","Sales Room Malt","03-09866","2021-07-09T00:00:00.000","2505 WEST 2ND AVENUE, UNITS 12 & 13","Denver","CO","80219"
"MIGHTY RIVER BREWING COMPANY","MIGHTY RIVER BREWING COMPANY","Sales Room Malt","03-09851","2021-08-29T00:00:00.000","6383 FAIRGROUNDS AVENUE BUILDING 1 UNIT B","Windsor","CO","80550"
"PECULIER ALES LLC","PECULIER ALES","Sales Room Malt","03-13268","2021-06-25T00:00:00.000","301 MAIN STREET","Windsor","CO","80550"
"THE INFINITE MONKEY","THE INFINITE MONKEY THEOREM","Sales Room Wine","15-67098-0001","2021-07-29T00:00:00.000","3200 LARIMER STREET","Denver","CO","80205"
"LOVELAND ALEWORKS","LOVELAND ALEWORKS","Sales Room Malt","03-00508","2020-12-05T00:00:00.000","118 WEST 4TH STREET","Loveland","CO","80537"
"WILD WOODS BREWING INC","WILD WOODS BREWERY INC","Sales Room Malt","28-73934-0001","2021-03-31T00:00:00.000","5460 CONESTOGA COURT","Boulder","CO","80301"
"METRIC BREWING","METRIC BREWING","Sales Room Malt","03-09959","2021-06-26T00:00:00.000","1213 NORTH CIRCLE DRIVE","Colorado Springs","CO","80909"
"NOVEL STRAND BREWING COMPANY","NOVEL STRAND BREWING COMPANY","Sales Room Malt","03-09598","2021-06-25T00:00:00.000","305 WEST 1ST AVENUE","Denver","CO","80223"
"SAINT VRAIN VINEYARD AND WINERY","SAINT VRAIN VINEYARDS","Sales Room Wine","26-47142-0000","2021-01-14T00:00:00.000","1633 SOUTH HWY 287","Berthoud","CO","80513"
"BOOKCLIFF VINEYARDS","BOOKCLIFF VINEYARDS","Sales Room Wine","24-95651-0001","2021-12-06T00:00:00.000","1501 LEE HILL ROAD #17","Boulder","CO","803040583"
"GRIMM BROTHERS BREWHOUSE","GRIMM BROTHERS BREWHOUSE LLC","Sales Room Malt","42-80838-0001","2021-04-25T00:00:00.000","623 NORTH DENVER AVENUE","Loveland","CO","80537"
"DE STEEG BREWING","DE STEEG BREWING","Sales Room Malt","03-01612","2021-06-19T00:00:00.000","4342 TENNYSON STREET","Denver","CO","80212"
"REVOLUTION BREWING","PAONIA UNITED BREWING CO.","Sales Room Malt","12-75388-0001","2021-03-09T00:00:00.000","325 GRAND AVE","Paonia","CO","81428"
"COLTERRIS","COLTERRIS WINERY/COLTERRIS WINES","Sales Room Wine","42-80284-0001","2021-05-02T00:00:00.000","3548 EAST 1/2 ROAD STE C","Palisade","CO","81526"
"WOOD'S HIGH MOUNTIAN DISTILLERY","WOOD'S HIGH MOUNTAIN DISTILLERY","Sales Room Spirits","03-00270","2020-11-01T00:00:00.000","144 WEST 1ST STREET","Salida","CO","81201"
"3 HUNDRED DAYS DISTILLING","3 HUNDRED DAYS DISTILLING","Sales Room Spirits","03-03188","2021-07-13T00:00:00.000","2845 WALNUT","Denver","CO","80205"
"ALPINE DOG BREWING CO","ALPINE DOG BREWING COMPANY","Sales Room Malt","03-02550","2021-04-28T00:00:00.000","1505 OGDEN STREET","Denver","CO","80218"
"DOS LUCES BREWERY","DOS LUCES BREWERY","Sales Room Malt","03-08559","2021-07-02T00:00:00.000","1236 SOUTH BROADWAY","Denver","CO","80210"
"MAD RABBIT DISTILLERY","HIGH PROOF DISTILLERY","Sales Room Spirits","03-05348","2020-12-13T00:00:00.000","10860 DOVER STREET SUITE 2000","Westminster","CO","80021"
"AMALGAM BREWING","AMALGAM BREWING LLC","Sales Room Malt","03-08302","2021-08-21T00:00:00.000","6381 BEACH STREET  UNIT A","Denver","CO","80221"
"10TH MOUNTAIN WHISKEY AND SPIRITS COMPANY LLC","10TH MOUNTAIN WHISKEY AND SPIRIT COMPANY LLC","Sales Room Spirits","03-03016","2021-06-13T00:00:00.000","227 BRIDGE STREET UNIT F","Vail","CO","81657"
"VINO COLORADO WINERY","VINO COLORADO WINERY","Sales Room Wine","03-03480","2021-09-17T00:00:00.000","2502 WEST COLORADO AVENUE","Colorado Springs","CO","80904"
"FENCELINE CIDFER","FENCELINE CIDER","Sales Room Wine","03-08674","2021-01-16T00:00:00.000","141 SOUTH MAIN STREET UNIT C","Mancos","CO","81328"
"DEAN & CO.","GOLD BUCKLE BREWERY","Sales Room Malt","03-05936","2021-03-03T00:00:00.000","201 GRANT AVENUE","La Junta","CO","81050"
"SPERO WINERY","SPERO WINERY AKA VINO E BUONO","Sales Room Wine","03-04476","2021-07-23T00:00:00.000","3316 WEST 64TH AVENUE","Denver","CO","80221"
"LOCAL DISTILLING","LOCAL DISTILLING","Sales Room Spirits","14-72741-0000","2021-03-04T00:00:00.000","417 VIOLET STREET","Golden","CO","804016713"
"LOHI DISTILLED LLC","MYTHOLOGY DISTILLERY","Sales Room Spirits","03-12363","2021-03-11T00:00:00.000","3622 TEJON STREET","Denver","CO","80211"
"THE ELIZABETH BREWING COMPANY","THE ELIZABETH BREWING COMPANY","Sales Room Malt","03-10389","2021-10-28T00:00:00.000","239 SOUTH MAIN STREET","Elizabeth","CO","80107"
"HAYKIN FAMILY CIDER","HAYKIN FAMILY CIDER","Sales Room Wine","03-08089","2021-08-24T00:00:00.000","12001 EAST 33RD AVENUE","Aurora","CO","80010"
"CHILL SWITCH WINES","CHILL SWITCH WINES","Sales Room Wine","03-02311","2021-04-09T00:00:00.000","24621 TANNIN ROAD","Cedaredge","CO","81413"
"LUMPY RIDGE BREWING COMPANY","LUMPY RIDGE BREWING COMPANY LLC","Sales Room Malt","03-04284","2021-03-03T00:00:00.000","531 SOUTH SAINT VRAIN AVENUE","Estes Park","CO","80517"
"VISION QUEST BREWING COMPANY","VISION QUEST BREWING COMPANY","Sales Room Malt","03-04275","2021-04-29T00:00:00.000","2510 47TH STREET UNIT A2","Boulder","CO","80301"
"STEM CIDERS","STEM CIDERS","Sales Room Wine","03-09098","2021-01-25T00:00:00.000","1380 HORIZON AVENUE UNIT A & C","Lafayette","CO","80026"
"ELKINS DISTILLING COMPANY , LLC D/B/A/ ELKINS WHISKEY","ELKINS WHISKEY","Sales Room Spirits","03-05084","2021-09-20T00:00:00.000","1825 NORTH LAKE AVENUE","Estes Park","CO","80517"
"LIVING THE DREAM BREWING","LIVING THE DREAM BREWING COMPANY LLC","Sales Room Malt","03-02703","2021-04-09T00:00:00.000","12305 DUMONT WAY  UNIT A","Littleton","CO","80125"
"BUCKEL FAMILY WINE","BUCKEL FAMILY WINE","Sales Room Wine","03-07474","2021-08-30T00:00:00.000","1018 HIGHWAY 135 Unit B & D","Gunnison","CO","81230"
"BLUE MOUNTAIN VINEYARDS","BLUE MOUNTAIN VINEYARDS","Sales Room Wine","42-54818-0001","2021-11-14T00:00:00.000","4480 HOOT OWL DRIVE","Berthoud","CO","80513"
"GOLDEN MOON DISTILLERY","GOLDEN MOON DISTILLERY","Sales Room Spirits","03-00265","2020-10-17T00:00:00.000","412 VIOLET STREET","Golden","CO","80401"
"SQUARE PEG BREWERKS LLC","SQUARE PEG BREWERKS","Sales Room Malt","03-13041","2021-05-31T00:00:00.000","123 MAIN STREET","Creede","CO","81130"
"SNOW CAPPED CIDER","SNOW CAPPED CIDER","Sales Room Wine","03-06167","2021-03-16T00:00:00.000","250 SOUTH GRAND MESA DRIVE","Cedaredge","CO","81413"
"RICKOLI'S","RICKOLI'S","Sales Room Malt","03-00587","2021-10-25T00:00:00.000","4335 WADSWORTH BLVD","Wheat Ridge","CO","80033"
"YAMPA VALLEY BREWING COMPANY LLC","YAMPA VALLEY BREWING COMPANY","Sales Room Malt","03-12344","2021-01-27T00:00:00.000","200 NORTH WALNUT STREET","Hayden","CO","81639"
"WOODS BOSS BREWING COMPANY","WOODS BOSS BREWING COMPANY","Sales Room Malt","03-07139","2020-11-06T00:00:00.000","2210 CALIFORNIA STREET","Denver","CO","80205"
"THE HEART DISTILLERY","THE HEART DISTILLERY","Sales Room Spirits","03-08678","2021-02-27T00:00:00.000","6461 HIGHWAY 392","Windsor","CO","80550"
"CELLAR WEST ARTISAN ALES LLC","CELLAR WEST ARTISAN ALES","Sales Room Malt","03-06747","2021-07-28T00:00:00.000","1001 LEE HILL DRIVE #10","Boulder","CO","80302"
"WATER 2 WINE","WATER 2 WINE","Sales Room Wine","42-45898-0000","2021-02-01T00:00:00.000","8130 SOUTH UNIVERSITY BLVD #110","Littleton","CO","801225106"
"SPARGE BREWING, LLC","SPARGE BREWING, LLC","Sales Room Malt","03-10734","2021-03-03T00:00:00.000","3999 GW BUSCH AVENUE, UNIT A","Wellington","CO","80549"
"MAISON DE SAISON LLC","CHRYSALIS BARREL AGED BEER","Sales Room Malt","03-12499","2020-11-12T00:00:00.000","201 A FIRST STREET","Paonia","CO","81428"
"ELKINS WHISKEY","ELKINS WHISKEY","Sales Room Spirits","03-05084","2021-09-20T00:00:00.000","137 EAST ELKHORN AVENUE","Estes Park","CO","80517"
"MONTE CERVINO BEVERAGE COMPANY","MONTE CERVINO BEVERAGE COMPANY","Sales Room Wine","03-03105","2021-07-18T00:00:00.000","4655 TOWN CENTER DRIVE STE 130","Colorado Springs","CO","80916"
"UPSLOPE BREWING COMPANY","UPSLOPE BREWING COMPANY","Sales Room Malt","03-01321","2021-04-14T00:00:00.000","1898 SOUTH FLATIRON COURT SUITE 120","Boulder","CO","80301"
"CLIMB HARD CIDER COMPANY","CLIMB HARD CIDER COMPANY","Sales Room Wine","03-00761","2021-02-04T00:00:00.000","2707 WEST EISENHOWER BLVD UNIT 3","Loveland","CO","80537"
"SPOONS BISTRO & BAKERY","TWO RIVERS WINERY","Sales Room Wine","14-39419-0001","2021-08-18T00:00:00.000","3090 NORTH 12TH ST. UNIT B","Grand Junction","CO","81506"
"12 POINT DISTILLERY","ON POINT DISTILLERY","Sales Room Spirits","03-08981","2021-01-23T00:00:00.000","802 SOUTH PUBLIC ROAD UNIT E","Lafayette","CO","80026"
"HUBBUB BREWING","SOULCRAFT BREWING","Sales Room Malt","03-06522","2021-06-21T00:00:00.000","248 WEST US HIGHWAY 50","Salida","CO","81201"
"CANNONBALL CREEK BREWING CO","CANNONBALL CREEK BREWING COMPANY","Sales Room Malt","03-00086","2021-07-19T00:00:00.000","393 NORTH WASHINGTON AVENUE UNIT A","Golden","CO","80403"
"SANGRE DISTILLERS LLC WET MOUNTIAN","WET MOUNTAIN","Sales Room Spirits","03-02438","2021-05-14T00:00:00.000","108 MAIN STREET","Westcliffe","CO","81252"
"3 FREAKS BREWERY","3 FREAKS BREWERY","Sales Room Malt","03-09162","2020-12-06T00:00:00.000","7140 EAST COUNTY LINE ROAD","Highlands Ranch","CO","80130"
"BLUE PINE BREWERY","PEAKS N PINES BREWING COMPANY","Sales Room Malt","03-05085","2021-09-30T00:00:00.000","212 WEST ILLINOIS AVENUE","Fountain","CO","80817"
"COLTERRIS WINERY/COLTERRIS WINES","COLTERRIS WINERY/COLTERRIS WINES","Sales Room Wine","42-80284-0001","2021-05-02T00:00:00.000","3907 NORTH RIVER ROAD","Palisade","CO","81526"
"GRAYSTONE HOUSE","SUMMIT CELLARS LLC","Sales Room Wine","03-02574","2021-01-22T00:00:00.000","3352 F ROAD","Clifton","CO","81520"
"10TH MOUNTAIN WHISKEY AND SPIRIT COMPANY","10TH MOUNTAIN WHISKEY AND SPIRIT COMPANY LLC","Sales Room Spirits","03-03016","2021-06-13T00:00:00.000","500 TRAIL GULCH ROAD","Gypsum","CO","81637"
"STONEY MESA WINERY","STONEY MESA WINERY LTD / PTARMIGAN VINEYARD","Sales Room Wine","23-30749-0001","2021-07-11T00:00:00.000","16199 HAPPY HOLLOW ROAD","Cedaredge","CO","81413"
"MOUNTAIN SPIRIT WINERY","MOUNTAIN SPIRIT WINERY","Sales Room Wine","03-68365-0001","2021-07-12T00:00:00.000","8046 WEST HIGHWAY 50","Salida","CO","81201"
"DEVIATION DISTILLING","DEVIATION DISTILLING","Sales Room Spirits","03-08521","2020-10-16T00:00:00.000","900 WEST 1ST AVENUE #150","Denver","CO","80223"
"ATOST","ATOST","Sales Room Wine","03-13425","2021-08-11T00:00:00.000","15810 WEST 6TH AVENUE","Golden","CO","80401"
"ROARING FORK BEER COMPANY","ROARING FORK BEER COMPANY","Sales Room Malt","03-02162","2021-03-09T00:00:00.000","358 MAIN STREET","Carbondale","CO","81623"
"EXTANT BREWING COMPANY LLC","RIVER NORTH BREWERY","Sales Room Malt","03-09136","2021-03-18T00:00:00.000","6021 WASHINGTON STREET UNIT A","Denver","CO","80216"
"VERSO CELLARS","VERSO CELLARS","Sales Room Wine","18-26226-0009","2021-02-18T00:00:00.000","1 SOUTH BROADWAY","Denver","CO","80204"
"MOUNTAIN TOAD BREWING","MOUNTAIN TOAD BREWING","Sales Room Malt","03-00840","2021-02-04T00:00:00.000","900 WASHINGTON AVE","Golden","CO","80401"
"IRON HIPPIE INC","DEAD HIPPIE BREWING","Sales Room Malt","03-04327","2021-03-04T00:00:00.000","3701 SOUTH SANTA FEE DRIVE UNIT 7","Sheridan","CO","80110"
"VERBOTEN BREWING","VERBOTEN BREWING","Sales Room Malt","03-00706","2021-11-19T00:00:00.000","127 EAST 5TH STREET","Loveland","CO","80537"
"LEGATUM CELLARS","LEGATUM CELLARS","Sales Room Wine","03-06173","2021-06-29T00:00:00.000","1704 WILLOW STREET","Canon City","CO","81212"
"RESOLUTE BREWING COMPANY LLC","RESOLUTE BREWING COMPANY LLC","Sales Room Malt","03-06116","2021-03-17T00:00:00.000","7286 SOUTH YOSEMITE STREET STE 110","Centennial","CO","80211"
"ST VRAIN CIDERY","ST VRAIN CIDERY","Sales Room Wine","03-05945","2021-02-25T00:00:00.000","350 TERRY STREET SUITE 130","Longmont","CO","80501"
"STODGY BREWING COMPANY LLC","STODGY BREWING COMPANY","Sales Room Malt","03-13429","2021-06-24T00:00:00.000","1802 LAPORTE AVENUE","Fort Collins","CO","80521"
"SOUTH PARK DISTILLING LLC","SOUTH PARK DISTILLING LLC","Sales Room Spirits","03-09079","2021-02-20T00:00:00.000","415 FRONT STREET FAIRPLAY","Fairplay","CO","80440"
"SAND CREEK DISTILLERY","SAND CREEK DISTILLERY","Sales Room Spirits","03-06191","2021-03-30T00:00:00.000","324 5TH STREET SUITE A","Hugo","CO","80821"
"SANITAS BREWING CO","SANITAS BREWING CO","Sales Room Malt","03-01712","2021-07-25T00:00:00.000","3550 FRONTIER AVE UNIT A","Boulder","CO","80301"
"SHIRAS WINERY","SHIRAS WINERY LLC","Sales Room Wine","03-09286","2021-06-06T00:00:00.000","449 COLORADO AVENUE","Grand Junction","CO","81501"
"MOCKERY BREWING","MOCKERY BREWING LLC","Sales Room Malt","03-02250","2020-12-08T00:00:00.000","3501 DELGANY STREET","Denver","CO","80216"
"FICTION BEER COMPANY","FICTION BEER COMPANY","Sales Room Malt","03-02482","2021-02-20T00:00:00.000","7101 EAST COLFAX AVENUE","Denver","CO","80220"
"ALFRED EAMES CELLARS","ALFRED EAMES CELLARS","Sales Room Wine","15-37661-0001","2021-02-04T00:00:00.000","11931 4050 ROAD","Paonia","CO","81428"
"LUKI BREWERY, LLC","LUKI BREWERY","Sales Room Malt","03-12647","2021-04-28T00:00:00.000","14715 WEST 64TH AVENUE UNITS A & B","Arvada","CO","80004"
"BOOKCLIFF VINEYARDS","BOOKCLIFF VINEYARDS","Sales Room Wine","24-95651-0001","2021-12-06T00:00:00.000","670  39  ROAD","Palisade","CO","81526"
"CITY STAR BREWING","CITY STAR BREWING","Sales Room Malt","03-00044","2021-08-28T00:00:00.000","321 MOUNTAIN AVE UNIT A","Berthoud","CO","80513"
"INDIAN PEAKS BREWING COMPANY","LEFT HAND CURTIS PARK BREWHOUSE & EATERY","Sales Room Malt","03-13311","2021-06-16T00:00:00.000","2403 CHAMPA STREET","Denver","CO","80204"
"RESTORATION VINEYARDS","RESTORATION VINEYARDS","Sales Room Wine","03-07910","2021-06-25T00:00:00.000","3594 E ½ ROAD","Palisade","CO","81526"
"COLORADO VINTNER'S COLLECTIVE LLC","COLORADO VINTNER'S COLLECTIVE LLC","Sales Room Wine","03-12946","2021-04-02T00:00:00.000","3674  G  ROAD","Palisade","CO","81526"
"CRYSTAL SPRINGS BREWING COMPANY","CRYSTAL SPRINGS BREWING COMPANY","Sales Room Malt","03-00576","2021-07-21T00:00:00.000","876 SUNSHINE CANYON DR","Boulder","CO","80302"
"Rock Cut Brewing Company","ROCK CUT BREWING COMPANY","Sales Room Malt","03-04574","2021-06-21T00:00:00.000","390 WEST RIVERSIDE DRIVE","Estes Park","CO","80517"
"AUGUSTINA'S WINERY","AUGUSTINA'S WINERY","Sales Room Wine","09-84455-0000","2021-04-17T00:00:00.000","4715 NORTH BROADWAY B-3","Boulder","CO","80304"
"Mountain View Winery","MVW-MOUNTAIN VIEW WINERY INC.","Sales Room Wine","03-11326","2021-04-28T00:00:00.000","5859 5825 ROAD","Olathe","CO","81425"
"JADE MOUNTAIN BREWING COMPANY","JADE MOUNTAIN BREWING COMPANY","Sales Room Malt","03-12809","2021-02-09T00:00:00.000","1925 SOUTH ROSEMARY STREET UNIT A","Denver","CO","80231"
"TELLURIDE DISTILLING COMPANY","TELLURIDE DISTILLING COMPANY","Sales Room Spirits","03-03224","2021-07-14T00:00:00.000","152B SOCIETY DRVE","Telluride","CO","81435"
"UPSLOPE BREWING CO","UPSLOPE BREWING CO","Sales Room Malt","28-58686-0001","2021-08-12T00:00:00.000","1501 LEE HILL RD #20","Boulder","CO","80302"
"SNOWY PEAKS WINERY","SNOWY PEAKS WINERY","Sales Room Wine","26-56522-0001","2021-04-24T00:00:00.000","513 BIG THOMPSON AVENUE UNIT 120-150","Estes Park","CO","80517"
"VAIL BREWING CO","VAIL BREWING CO","Sales Room Malt","03-03833","2020-11-06T00:00:00.000","41290 US HIGHWAY 6  UNIT B2/B3","Avon","CO","81620"
"SUMMIT CIDER & BEVERAGES CORPORATION","WILD CIDER","Sales Room Wine","03-12373","2021-01-06T00:00:00.000","11455 COUNTY ROAD 17","Firestone","CO","80504"
"1933 BREWING COMPANY","PURPOSE BREWING LLC","Sales Room Malt","03-02078","2021-10-24T00:00:00.000","4025 SOUTH MASON STREET UNIT C","Fort Collins","CO","80525"
"THE STORM CELLAR","THE STORM CELLAR","Sales Room Wine","03-10348","2021-09-25T00:00:00.000","14139 RUNZEL GULCH ROAD","Hotchkiss","CO","81419"
"STILL CELLARS LLC","STILL CELLARS","Sales Room Spirits","15-80627-0002","2020-11-29T00:00:00.000","1115 COLORADO AVE STE C","Longmont","CO","805016178"
"TALBOTT'S CIDER COMPANY","TALBOTT'S CIDER CO.","Sales Room Wine","03-04901","2021-08-25T00:00:00.000","3805 F 1/4 ROAD","Palisade","CO","81526"
"FINKEL & GARF BREWING CO","FINKEL & GARF BREWING CO.","Sales Room Malt","03-02562","2021-03-27T00:00:00.000","5455 SPINE ROAD UNIT A","Boulder","CO","80301"
"TEN BEARS WINERY","TEN BEARS WINERY","Sales Room Wine","26-77347-0001","2021-09-06T00:00:00.000","5215 TEN BEARS COURT","Laporte","CO","80535"
"MONUMENTAL BEER WORKS LLC","MONUMENTAL BEER WORKS LLC","Sales Room Malt","03-12727","2021-01-15T00:00:00.000","2575 HIGHWAY 6 & 50 UNIT C","Grand Junction","CO","81501"
,"BALLMER PEAK DISTILLERY","Sales Room Spirits","03-11912","2021-08-12T00:00:00.000","12347 WEST ALAMEDA PKWY","Denver","CO","80228"
"PROXIMO DISTILLERS","PROXIMO DISTILLERS","Sales Room Spirits","25-57788-0000","2020-10-28T00:00:00.000","200 SOUTH KALAMATH STREET","Denver","CO","802231813"
"VINELANDS 79 LLC","VINES 79 WINE BARN","Sales Room Wine","03-10594","2021-01-24T00:00:00.000","3839 G ROAD","Palisade","CO","81526"
"FRASER VALLEY DISTILLING","FRASER VALLEY DISTILLING","Sales Room Spirits","03-10054","2021-09-10T00:00:00.000","410 NORTH ZEREX STREET","Fraser","CO","80442"
"DESERT SUN VINEYARDS","DESERT SUN VINEYARDS & WINERY LLC","Sales Room Wine","42-79166-0000","2021-03-23T00:00:00.000","3230 B 1/2 ROAD","Grand Junction","CO","81503"
"BRUZ BEERS","BRUZ BEERS","Sales Room Malt","03-11824","2021-06-05T00:00:00.000","1495 YORK STREET UNIT 102","Denver","CO","80206"
"DUECES WILD BREWERY","DUECES WILD BREWERY","Sales Room Malt","03-12207","2021-08-25T00:00:00.000","3352 TEMPLETON GAP ROAD","Colorado Springs","CO","80907"
"COMRADE BREWING COMPANY","COMRADE BREWING COMPANY","Sales Room Malt","03-01942","2021-11-19T00:00:00.000","7667 EAST ILIFF AVENUE #F","Denver","CO","80231"
"DOUBLE DIAMOND DISTILLERY","BRECKENRIDGE DISTILLERY","Sales Room Spirits","12-87527-0001","2021-04-15T00:00:00.000","137 SOUTH MAIN - UNIT G","Breckenridge","CO","80424"
"DEAN & CO, GOLD BUCKLE BREWERY, DURANGO BREWING CO","DEAN & CO, GOLD BUCKLE BREWERY, DURANGO BREWING CO","Sales Room Malt","03-12501","2021-11-12T00:00:00.000","8500 ZUNI STREET","Federal Heights","CO","80260"
"GOLDSPOT BREWING COMPANY, LLC","GOLDSPOT BREWING COMPANY","Sales Room Malt","03-11001","2020-12-25T00:00:00.000","4970 LOWELL BOULEVARD","Denver","CO","80221"
"BOGGY DRAW BREWERY","BOGGY DRAW BREWERY","Sales Room Malt","03-04249","2021-03-24T00:00:00.000","3535 S PLATTE RIVER DRIVE UNIT L","Englewood","CO","80110"
