"county","year","totalpopulation"
"Boulder","2020","3728"
"Boulder","2020","5756"
"Boulder","2020","7965"
"Boulder","2020","4499"
"Boulder","2020","3890"
"Boulder","2020","3995"
"Boulder","2020","628"
"Boulder","2020","3948"
"Boulder","2020","4166"
"Boulder","2020","4004"
"Boulder","2020","4463"
"Boulder","2020","4185"
"Boulder","2020","4297"
"Boulder","2020","7662"
"Boulder","2020","4004"
"Boulder","2020","3137"
"Boulder","2020","4128"
"Boulder","2020","3213"
"Boulder","2020","4450"
"Boulder","2020","4362"
"Boulder","2020","61"
"Boulder","2020","2060"
"Boulder","2020","2878"
"Boulder","2020","3978"
"Boulder","2020","2534"
"Boulder","2020","4153"
"Broomfield","2020","680"
"Broomfield","2020","923"
"Broomfield","2020","826"
"Broomfield","2020","986"
"Broomfield","2020","302"
"Broomfield","2020","738"
"Broomfield","2020","399"
"Broomfield","2020","23"
"Broomfield","2020","32"
"Broomfield","2020","607"
"Broomfield","2020","590"
"Broomfield","2020","1076"
"Broomfield","2020","151"
"Broomfield","2020","642"
"Broomfield","2020","679"
"Broomfield","2020","1031"
"Broomfield","2020","1035"
"Broomfield","2020","114"
"Broomfield","2020","1045"
"Broomfield","2020","881"
"Broomfield","2020","982"
"Broomfield","2020","1311"
"Broomfield","2020","862"
"Broomfield","2020","858"
"Broomfield","2020","350"
"Broomfield","2020","840"
"Broomfield","2020","319"
"Broomfield","2020","729"
"Broomfield","2020","1066"
"Broomfield","2020","999"
"Broomfield","2020","909"
"Broomfield","2020","849"
"Broomfield","2020","660"
"Broomfield","2020","839"
"Broomfield","2020","1282"
"Broomfield","2020","1052"
"Broomfield","2020","79"
"Broomfield","2020","1045"
"Broomfield","2020","709"
"Broomfield","2020","18"
"Broomfield","2020","873"
"Broomfield","2020","844"
"Broomfield","2020","1215"
"Broomfield","2020","1170"
"Broomfield","2020","133"
"Broomfield","2020","868"
"Broomfield","2020","141"
"Broomfield","2020","1066"
"Broomfield","2020","990"
"Broomfield","2020","282"
"Broomfield","2020","1026"
"Broomfield","2020","714"
"Broomfield","2020","794"
"Broomfield","2020","1179"
"Broomfield","2020","12"
"Broomfield","2020","914"
"Broomfield","2020","1310"
"Broomfield","2020","1045"
"Broomfield","2020","1138"
"Broomfield","2020","431"
"Broomfield","2020","914"
"Broomfield","2020","1235"
"Broomfield","2020","61"
"Broomfield","2020","1284"
"Broomfield","2020","407"
"Broomfield","2020","972"
"Broomfield","2020","826"
"Broomfield","2020","448"
"Broomfield","2020","1034"
"Broomfield","2020","817"
"Broomfield","2020","230"
"Broomfield","2020","577"
"Broomfield","2020","1091"
"Broomfield","2020","15"
"Broomfield","2020","834"
"Broomfield","2020","1305"
"Broomfield","2020","984"
"Broomfield","2020","819"
"Broomfield","2020","332"
"Broomfield","2020","811"
"Broomfield","2020","750"
"Broomfield","2020","1032"
"Broomfield","2020","1006"
"Broomfield","2020","773"
"Broomfield","2020","994"
"Broomfield","2020","585"
"Broomfield","2020","643"
"Broomfield","2020","917"
"Broomfield","2020","88"
"Broomfield","2020","450"
"Broomfield","2020","875"
"Broomfield","2020","1220"
"Broomfield","2020","600"
"Broomfield","2020","869"
"Broomfield","2020","1001"
"Broomfield","2020","181"
"Broomfield","2020","1050"
"Broomfield","2020","53"
"Broomfield","2020","46"
"Broomfield","2020","408"
"Broomfield","2020","1269"
"Chaffee","2020","147"
"Chaffee","2020","303"
"Chaffee","2020","139"
"Chaffee","2020","243"
"Chaffee","2020","34"
"Chaffee","2020","286"
"Chaffee","2020","224"
"Chaffee","2020","228"
"Chaffee","2020","205"
"Chaffee","2020","184"
"Chaffee","2020","265"
"Chaffee","2020","241"
"Chaffee","2020","11"
"Chaffee","2020","6"
"Chaffee","2020","188"
"Chaffee","2020","127"
"Chaffee","2020","204"
"Chaffee","2020","220"
"Chaffee","2020","218"
"Chaffee","2020","97"
"Chaffee","2020","313"
"Chaffee","2020","202"
"Chaffee","2020","312"
"Chaffee","2020","224"
"Chaffee","2020","233"
"Chaffee","2020","154"
"Chaffee","2020","186"
"Chaffee","2020","284"
"Chaffee","2020","19"
"Chaffee","2020","183"
"Chaffee","2020","271"
"Chaffee","2020","51"
"Chaffee","2020","292"
"Chaffee","2020","226"
"Chaffee","2020","269"
"Chaffee","2020","117"
"Chaffee","2020","276"
"Chaffee","2020","54"
"Chaffee","2020","159"
"Chaffee","2020","17"
"Chaffee","2020","219"
"Chaffee","2020","48"
"Chaffee","2020","85"
"Chaffee","2020","301"
"Chaffee","2020","176"
"Chaffee","2020","198"
"Chaffee","2020","269"
"Chaffee","2020","197"
"Chaffee","2020","209"
"Chaffee","2020","200"
"Chaffee","2020","314"
"Chaffee","2020","198"
"Chaffee","2020","236"
"Chaffee","2020","162"
"Chaffee","2020","207"
"Chaffee","2020","215"
"Chaffee","2020","156"
"Chaffee","2020","278"
"Chaffee","2020","212"
"Chaffee","2020","136"
"Chaffee","2020","203"
"Chaffee","2020","167"
"Chaffee","2020","254"
"Chaffee","2020","186"
"Chaffee","2020","266"
"Chaffee","2020","290"
"Chaffee","2020","273"
"Chaffee","2020","8"
"Chaffee","2020","5"
"Chaffee","2020","171"
"Chaffee","2020","230"
"Chaffee","2020","211"
"Chaffee","2020","286"
"Chaffee","2020","175"
"Chaffee","2020","271"
"Chaffee","2020","300"
"Chaffee","2020","211"
"Chaffee","2020","189"
"Chaffee","2020","179"
"Chaffee","2020","222"
"Chaffee","2020","189"
"Chaffee","2020","310"
"Chaffee","2020","14"
"Chaffee","2020","106"
"Chaffee","2020","173"
"Chaffee","2020","266"
"Chaffee","2020","182"
"Chaffee","2020","247"
"Chaffee","2020","108"
"Chaffee","2020","26"
"Chaffee","2020","305"
"Chaffee","2020","199"
"Chaffee","2020","275"
"Chaffee","2020","193"
"Chaffee","2020","265"
"Chaffee","2020","244"
"Chaffee","2020","68"
"Chaffee","2020","243"
"Chaffee","2020","306"
"Chaffee","2020","199"
"Chaffee","2020","71"
"Cheyenne","2020","19"
"Cheyenne","2020","19"
"Cheyenne","2020","21"
"Cheyenne","2020","25"
"Cheyenne","2020","25"
"Cheyenne","2020","22"
"Cheyenne","2020","21"
"Cheyenne","2020","23"
"Cheyenne","2020","17"
"Cheyenne","2020","29"
"Cheyenne","2020","30"
"Cheyenne","2020","29"
"Cheyenne","2020","10"
"Cheyenne","2020","15"
"Cheyenne","2020","12"
"Cheyenne","2020","13"
"Cheyenne","2020","5"
"Cheyenne","2020","20"
"Cheyenne","2020","12"
"Cheyenne","2020","11"
"Cheyenne","2020","21"
"Cheyenne","2020","14"
"Cheyenne","2020","11"
"Cheyenne","2020","10"
"Cheyenne","2020","8"
"Cheyenne","2020","5"
"Cheyenne","2020","7"
"Cheyenne","2020","6"
"Cheyenne","2020","7"
"Cheyenne","2020","2"
"Cheyenne","2020","3"
"Cheyenne","2020","2"
"Cheyenne","2020","1"
"Cheyenne","2020","1"
"Cheyenne","2020","1"
"Cheyenne","2020","1"
"Cheyenne","2020","28"
"Cheyenne","2020","10"
"Cheyenne","2020","21"
"Cheyenne","2020","12"
"Cheyenne","2020","25"
"Cheyenne","2020","17"
"Cheyenne","2020","30"
"Cheyenne","2020","30"
"Cheyenne","2020","14"
"Cheyenne","2020","24"
