"businessname","dbas","city","statecode","zipcode","countyname","originaleffectivedate","expiredate","operationtypes"
"Wal-Mart Stores, Inc.","Walmart - 1001","Pueblo","CO","81005","Pueblo","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"B M K, INCORPORATED","BEAU MONDE KENNELS,RIMA, MICHAEL","Castle Rock","CO","80108","Douglas","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"The Four Legged Inn, Inc.",,"Benett","CO","80102","Adams","2016-10-24T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Handler"
"Denver Dachshunds Rescue and Transport","DDRT,Susan Jamie Roberson","Denver","CO","80237","Denver","2017-04-14T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"GRATEFUL PET GROOMING LLC",",Somal, Teresa","Laporte","CO","80535","Larimer","2017-01-24T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"KAMP-4-PAWS",",HALLER, KATHLEEN","Pueblo","CO","81006","Pueblo","2012-03-12T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"DENVER DOG DYNAMICS","DOG DYNAMIX","Arvada","CO","80003","Jefferson","2016-01-19T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Handler,Pet Transporter"
"HAPPY TAILS PET LODGE",",Cathy Palmer","Cedaredge","CO","81413","Delta","2012-03-28T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Halee's Puppy Love LLC",,"Denver","CO","80222","Denver","2012-03-13T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"A PAMPERED PET SALON",",Hood, David","Castle Rock","CO","80109","Douglas","2015-04-29T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"ANNIE'S ORPHANS",,"Durango","CO","81303","La Plata","2012-04-02T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"HAPPY PAWS PET SPA, LLC",",Stephanie Heskin","Durango","CO","81301","La Plata","2012-06-08T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Pet Care by Knight",,"Colorado Springs","CO","80923","El Paso","2014-10-16T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"KATMANDU PAONIA",,"Paonia","CO","81428","Delta","2015-01-16T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"JESSICA'S PET GROOMING",,"Salida","CO","81201","Chaffee","2016-04-11T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Animal Rescue of Southern Colorado","ARSC,Thomas, Jennifer","Antonito","CO","81120","Conejos","2016-07-20T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Rolida Kennels, LLC",",Dahlberg, Barbara","Golden","CO","80403","Jefferson","2016-05-23T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"GROOMINGDALES SALON AND BOUTIQUE LLC",",Alire, James","Lamar","CO","81052","Prowers","2016-10-20T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"BEAST TO BEAUTY PET GROOMING, LLC",",Grigson, Coniah","Greeley","CO","80634","Weld","2016-10-20T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Ferret Dreams Rescue & Adoption",",Wise, Drew","Denver","CO","80210","Denver","2017-10-13T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"Two Paws Up",,"Arvada","CO","80004","Jefferson","2012-03-26T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Foothills Mobile Dog Grooming LLC",,"Lakewood","CO","80228","Jefferson","2014-01-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"J & J's Pomeranian Ranch",",Otto, Jennifer","Meeker","CO","81641","Rio Blanco","2018-05-12T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"ROCKY MOUNTAIN PAW SPA",,"Greeley","CO","80631","Weld","2012-09-07T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"LANDON KELLY LLC","DIRTY DAWGYS GROOMING & BOUTIQUE","Castle Rock","CO","80109","Douglas","2015-04-02T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"The Dog Ranch",",Dinger, Ashley","Berthoud","CO","80513","Larimer","2016-09-14T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"DOGGISHLY DAPPER GROOMING LLP",,"Gypsum","CO","81637","Eagle","2016-06-16T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"PET CARE SPECIALTIES LLC","Brown, Jennifer,THE POOCH MOBILE LITTLETON SOUTHWEST","Lakewood","CO","80123","Jefferson","2017-01-31T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Rampart Kennels, LLC",",DeTurk, Pamela","Colorado Springs","CO","80923","El Paso","2012-04-05T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"THE BOARDING HOUSE","MONTROSE VET CLINIC","MONTROSE","CO","81401","Montrose","2012-04-02T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"VCA Animal Hospitals, Inc.","Emily P Wilen,VCA ASPENWOOD ANIMAL HOSPITAL","Denver","CO","80246","Denver","2007-02-21T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Zen Den Pet Spa",,"Denver","CO","80207","Denver","2015-04-13T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"POWELL VETERINARY SERVICE, INC",,"Kersey","CO","80644","Weld","2012-02-10T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"1 CLEAN PUP",",Powell, Brittany","Loveland","CO","80538","Larimer","2014-08-04T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"SEASCAPE AQUATICS, INC",,"COLORADO SPRINGS","CO","80918","El Paso","2012-03-07T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"JESSICA WALTON LLC","LITTLE HOUSE OF PAWS GROOMING","Lakewood","CO","80232","Jefferson","2014-03-26T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Very Important Pet LLC","Titus, Kobie,V.I.P.","Aurora","CO","80016","Arapahoe","2013-07-01T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Massive Hedgehog Patch",",Mass, Jamelyn D","Cripple Creek","CO","80813","Teller","2018-03-15T00:00:00.000","2019-03-01T00:00:00.000","Breeder Small Animal"
"Bernese Mountain Dog Club of the Rockies","BMDCR,Rutherford, Hester Ann","Castle Rock","CO","80108","Douglas","2017-09-29T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"SACHSON, INC","ASPEN/ PITKIN COUNTY ANIMAL SHELTER","ASPEN","CO","81611","Pitkin","2012-03-20T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers,Boarding/Training,Pet Grooming Facility - Owner"
"Paws and People","Paws and People Rescue","Denver","CO","80206","Denver","2012-03-14T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Little Bear Pet Care, LLC",",Dreitzler, Mary","Aurora","CO","80012","Arapahoe","2017-08-15T00:00:00.000","2019-03-01T00:00:00.000","Pet Handler"
"FAWN'S GROOMING SALON",",Fawn Mackie","Greeley","CO","80634","Weld","2016-05-04T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"DD Mini & Toy Aussies",",Young, Janae","Delta","CO","81416","Delta","2017-01-11T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"Doggie Stylin Salon, LLC by Ashley Espino",",Espino, Ashley A","Commerce City","CO","80022","Adams","2018-02-23T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Wal-Mart Stores, Inc.","Walmart - 1200","Colorado Springs","CO","80909","El Paso","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"Reiber Inc","Gary Reiber,Pet Supplies Plus","Englewood","CO","80110","Arapahoe","2016-10-27T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"CANINE HEALTH RESORT, LLC",,"Fort Collins","CO","80524","Larimer","2012-05-22T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"PAMPERED PETS",,"Fountain","CO","80817","El Paso","2014-03-31T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Murphy, Tiffany J",",Tiffany Murphy","Denver","CO","80229","Adams","2017-04-26T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Uncle Dan's Pet Grooming, LLC",",Goracke, Daniel","Lakewood","CO","80214","Jefferson","2012-02-24T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Colorado Exotic Pet Expo",",Ingalls, Aaron","Thornton","CO","80233","Adams","2018-04-03T00:00:00.000","2019-03-01T00:00:00.000","Retail/Wholesale"
"DELTA COUNTY HUMANE SOCIETY",,"Delta","CO","81416","Delta","2012-03-12T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"JEN CARMAN GROOMING, LLC",",Carman, Jennifer","Parker","CO","80134","Douglas","2012-04-30T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Got Dogs? Boarding",,"Eagle","CO","81631","Eagle","2012-03-26T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Kristy Freeman",",Freeman, Kristy R","Salida","CO","81201","Chaffee","2018-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"PETSFLY MIDWEST","PETSFLY.COM","Littleton","CO","80123","Arapahoe","2017-03-01T00:00:00.000","2019-03-01T00:00:00.000","Pet Handler"
"Aspen Meadows Pet Resort","Courtney Stricklan,Lather and Leash","Colorado Springs","CO","80915","El Paso","2017-06-21T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"HAPPY TAILS",",HAPPY TAILS,Wolford, Elaine","Montrose","CO","81401","Montrose","2016-06-29T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Taylor, Christine J",",CHRISTINE TAYLOR,Taylor, Christine","Colorado Springs","CO","80906","El Paso","2016-10-05T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Sunrise Kennels & Dog Training Center, Inc.","Douglas Johnson,Woodmen Kennels / Sunrise Dog Training Center","Colorado Springs","CO","80918","El Paso","2012-04-16T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Breeder Dog Small Scale,Pet Grooming Facility - Owner,Pet Handler"
"DOGPATCH GROOMING, INC.",,"Lakewood","CO","80232","Jefferson","2015-03-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Holly's Home Pet Care, LLC",",Wiepking, Holly","Colorado Springs","CO","80904","El Paso","2015-11-23T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"ALL GODS CREATURES",",GIANNATALA, VICKI","Colorado Springs","CO","80905","El Paso","2012-03-22T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Critter Clips",",Matheny, Kimberly","Colorado Springs","CO","80918","El Paso","2013-01-03T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"HAPPY BUTTS DOG GROOMING",,"Fort Morgan","CO","80701","Morgan","2014-10-01T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"POLARIS Alaskan Malamute Rescue",",Nichols, Sharon","Golden","CO","80403","Jefferson","2017-02-27T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Rocky Mountain Training Kennel, Ltd",",Erica Christensen","Berthoud","CO","80513","Weld","2012-03-02T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"SNOWCAP'S SLED DOGS - GOOD TIMES ADVENTURES",,"BRECKENRIDGE","CO","80424","Summit","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"""PAWSITIVE REACTION: PROPONENTS OF ANIMAL WELFARE","Lewis, Joy A,PAWsitive Reaction","Silver Cliff","CO","81252","Custer","2018-02-20T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Canine Candor, Inc.","Canine Candor Dog Rescue,Kathryn Zaggle Richte","Eaton","CO","80615","Weld","2012-04-02T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"DeCesaro, Calista J",",CALISTA DE CESARO,De Cesaro, Calista","Peyton","CO","80831","El Paso","2016-10-07T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"COTTONWOOD KENNELS, INC.",,"BOULDER","CO","80301","Boulder","2012-02-29T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"ASPEN PET PALS LLC",,"Aspen","CO","81611","Pitkin","2015-09-23T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Larimer Humane Society",",Calhoun, Judith","Loveland","CO","80538","Larimer","2017-07-26T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter > 3000 transfers,Pet Transporter"
"Janelle B Smith","Janelle B Smith,Piney Paws","Pine","CO","80470","Park","2017-08-29T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Bandit's Hideout",,"Fort Collins","CO","80524-2384","Larimer","2014-08-04T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Bailey & Doherty, Inc","Bailey, Nikita,Creature Comforts Pet Retreat","Loveland","CO","80537","Larimer","2017-06-16T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"PAVLOV Dog Training",",Cardwell, Tanya","Denver","CO","80223","Denver","2016-09-22T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"All Paws Matter","Amanda Snepenger,The Forgotten Bull Terriers","Englewood","CO","80110","Arapahoe","2017-09-21T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"The Sniff Shack, Inc.",",Wolfe, Jessica","Denver","CO","80212","Jefferson","2015-09-28T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Colorado House Rabbit Society",",Nancy Laroche","Broomfield","CO","80020","Broomfield","2012-03-02T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"SELECT AQUATICS OF ERIE CO",,"Erie","CO","80516","Weld","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Retail/Wholesale"
"Rocky Mountain Kennels, Inc.",",Childs, Jeff","Longmont","CO","80504","Weld","2014-11-13T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Petco Animal Supplies Store, Inc #0938","Petco - 938","Littleton","CO","80123","Denver","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"DAVINA'S PUPPY LOVE SALON & DAY SPA",,"CENTENNIAL","CO","80112","Arapahoe","2012-12-07T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"VONDERLUST, INC.","4 - PAWS PET GROOMING","Castle Rock","CO","80109","Douglas","2012-03-26T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Colorado Pet Service LLC","Canines Canyon,Hernandez, Patricia","Golden","CO","80401","Jefferson","2016-12-30T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Your Pet, Our Pet LLC","The Dog Pawlour","Fort Collins","CO","80525","Larimer","2014-05-06T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Jones, Wendy K",,"Aurora","CO","80013","Arapahoe","2014-05-01T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Snow Mountain Ranch Dog Sledding",",Peterson, Steven","Grand Lake","CO","80447","Grand","2017-06-08T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"ROCKY MOUNTAIN GREAT DANE RESCUE",,"LAKEWOOD","CO","80228","Jefferson","2012-02-29T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Aspen Grove Animal Clinic, PC","Aspen Grove Veterinary Care,CAWTHRON, ROBERT","Fort Collins","CO","80525","Larimer","2012-03-23T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"VINTAGE DOG RESCUE, INC",",Susan Lummanick","Littleton","CO","80127","Jefferson","2012-03-22T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"MOUNTAIN SHADOWS ANIMAL HOSPITAL, INC",,"Salida","CO","81201","Chaffee","2012-09-12T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"EWES MY PET SCHNAUZER, LLC",,"PUEBLO","CO","81004","Pueblo","2012-03-07T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale"
"ASPEN GOLD INC.","THE CAT SPA KENNEL","Wheat Ridge","CO","80033","Jefferson","2012-02-06T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Saving Pets at Risk, Inc.","Roberson, Joann,Saving Pets at Risk (SPAR),SPAR","Shawnee","OK","74804","Pottawatomie","2016-11-07T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"MOUNTAIN MUTTS",",Annesty, Shanell","Buena Vista","CO","81211","Chaffee","2015-04-29T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Walmart Inc.","Walmart - 3533","Denver","CO","80207","Denver","2017-02-24T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"PETSMART, INC.","PetSmart - 1124","Colorado Springs","CO","80922","El Paso","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"B & G KENNELS",",Freel, Beverly","Moffat","CO","81143","Saguache","2012-03-07T00:00:00.000","2019-03-01T00:00:00.000","Breeder Dog Small Scale,Retail/Wholesale"
"FISHER'S PEAK VETERINARY CLINIC",,"Trinidad","CO","81082","Las Animas","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"The Animal Rescue: Colorado",",Cutrell, Clarissa","Boulder","CO","80304","Boulder","2018-07-31T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Damiano Benally",",Benally, Damiano","Greeley","CO","80631","Weld","2017-08-02T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Izzy's Place",",Sanville, Nicole M","Loveland","CO","80538","Larimer","2018-04-05T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"CAT CRADLE CATTERY",,"Wheat Ridge","CO","80033","Jefferson","2012-03-14T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Bubbles-N-Bows Pet Grooming, LLC",",Maestas, Susan","Fort Lupton","CO","80621","Weld","2018-02-03T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Michel'le Dorsey",",Dorsey, Michel'le","Evans","CO","80620","Weld","2018-05-05T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"RosesRags",",Trounce, Rose","Commerce City","CO","80022","Adams","2018-07-06T00:00:00.000","2019-03-01T00:00:00.000","Breeder Cat"
"PET EXPRESS SALON & MOBILE GROOMING",,"Carr","CO","80612","Weld","2012-05-04T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Noble Beast Canine Companion Services, LLC","Jarvis, Melinda,Noble Beast Dog Training at City Bark","Denver","CO","80204","Denver","2017-09-21T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Paquin, Cynthia D",",PAQUIN, CYNTHIA","Indian Hills","CO","80454","Jefferson","2013-05-13T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"LAND OF AHS KENNEL, INC",",Eileen Maser","Fountain","CO","80817","El Paso","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers,Boarding/Training,Pet Grooming Facility - Owner"
"Anderson, Kalyn R",,"Aurora","CO","80017","Arapahoe","2015-09-09T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"CLEAR WATER REPTILES LLC","Do, Linh,SCALES 'N TAILS","Northglenn","CO","80234","Adams","2016-01-14T00:00:00.000","2019-03-01T00:00:00.000","Retail/Wholesale"
"Wal-Mart Stores, Inc.","Wal-Mart Supercenter - 3805","Woodland Park","CO","80863","Teller","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Retail Aquarium Only"
"THE BRICK DOG HOUSE",,"ROLLINSVILLE","CO","80474","Gilpin","2012-03-07T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"THE HAPPY BEAST, LLC",,"Lafayette","CO","80026","Boulder","2014-09-05T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Pet Stuff Colorado, LLC","Bentley's Pet Stuff,Senafe, Lisa","Arvada","CO","80004","Jefferson","2018-02-07T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Self Wash Only"
"Sandra's Fuzzy Pets, LLC",",BLANKENBECKLER, SANDRA,SANDRA'S FUZZY PETS","Elizabeth","CO","80117","Douglas","2016-10-03T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Progressive School for Dogs, LLC",",Elizabeth Blasio","Greeley","CO","80634","Weld","2012-04-06T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Crittersville Enterprises LLC",",Warren, Brian","Culbertson","NE","69024","Hitchcock","2017-12-26T00:00:00.000","2019-03-01T00:00:00.000","Pet Transporter"
"Like a Dog, LLC",,"Colorado Springs","CO","80921","El Paso","2016-01-13T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Breeder Dog Small Scale,Pet Grooming Facility - Owner,Retail/Wholesale"
"Doggie Do's",,"Westminster","CO","80021","Jefferson","2007-02-21T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Suds ""n"" Snips",",Darnell, Wendy","Firestone","CO","80504","Weld","2017-03-17T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Pet Handler"
"Christine Walling",",Walling, Christine","Greeley","CO","80631","Weld","2017-11-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"A & H GROOMING",",Henningsen, Anne","Monte Vista","CO","81144","Rio Grande","2014-05-21T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Gunnison Valley Animal Welfare League, Inc.","Erika L Sublett,Sue MacAllister Animal Shelter and Adoption Center","Gunnison","CO","81230","Gunnison","2014-06-12T00:00:00.000","2019-03-01T00:00:00.000","Animal Shelter <= 3000 Transfers"
"High Drive Ventures LLC",",Shivers, Carly E","Longmont","CO","80501","Boulder","2018-03-19T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"Angels Furtastic Pet Grooming LLC",",McWilliams, Angel D.","Dacono","CO","80514","Weld","2018-01-11T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Pups-n-Suds Dog Grooming",",Iverson, Becky","Cheyenne","WY","82009","Laramie","2017-10-17T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Mobile"
"Ark’s Pet Grooming",",Kryvenchenko, Arkadiy","Englewood","CO","80113","Arapahoe","2017-03-17T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Horsetooth Retriever Kennel",,"Wellington","CO","80549","Larimer","2012-04-02T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"DoggEdayz",",Davis, Donald","Westminster","CO","80030","Adams","2017-06-21T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"New Hope Rescue, Inc.",",Roof, Joann B","Colorado Springs","CO","80907","El Paso","2018-03-21T00:00:00.000","2019-03-01T00:00:00.000","Retail/Wholesale"
"Diamonds in the Ruff LLC",",Winters, Eileen","Colorado Springs","CO","80919","El Paso","2017-11-10T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"Perfect Unions Animal Rescue Foundation, Inc",",Fry, Lynne","New Castle","CO","81647","Garfield","2012-03-26T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
"Martin, Kerry J",",Martin, Kerry","Lakewood","CO","80214","Jefferson","2017-03-27T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Petco Animal Supplies Store, Inc #1419",,"Boulder","CO","80302","Boulder","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner,Retail/Wholesale"
"E & J VETERINARY SERVICES, PC","GREEN VALLEY RANCH PET CENTER","DENVER","CO","80249","Denver","2013-08-22T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Perros Y Gatos Pet Grooming",",Philbrick, Maybelline","Westminster","CO","80030","Adams","2012-04-04T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"PETSMART, INC.","PetSmart - 1915","Boulder","CO","80301","Boulder","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner,Retail/Wholesale"
"Nick's Garden Center, Inc.",,"Aurora","CO","80014","Arapahoe","2012-03-06T00:00:00.000","2019-03-01T00:00:00.000","Retail/Wholesale"
"Martinez, Kristen M",",Martinez, Kristen,SENSIBLE GROOMING","Lafayette","CO","80026","Boulder","2016-06-01T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"INTERMOUNTAIN FARMERS ASSOCIATION","IFA COUNTRY STORE","Cortez","CO","81321","Montezuma","2015-07-22T00:00:00.000","2019-03-01T00:00:00.000","Retail/Wholesale"
"DOWN RANGE DOGS, LLC","DOWN RANGE DOGS","LAKEWOOD","CO","80215","Jefferson","2016-04-14T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming Facility - Owner"
"Dwyer, Charlene I",",Charlene Dwyer","Littleton","CO","80120","Arapahoe","2015-04-02T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"Shay, Robin R",,"Pueblo West","CO","81007","Pueblo","2012-03-08T00:00:00.000","2019-03-01T00:00:00.000","Pet Grooming - Independent Contractor - Multiple Facilities"
"The Scratchin' Post",",Creager, Janis","Fort Collins","CO","80524","Larimer","2017-10-06T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training"
"PAWS Pet Resort","Brooklyn Veterinary Clinic, Inc.,Patterson, Deborah","Castle Rock","CO","80109","Douglas","2016-11-30T00:00:00.000","2019-03-01T00:00:00.000","Boarding/Training,Pet Grooming Facility - Owner"
"BRIGHTER DAYS DOG RESCUE","BDDR,Orin, Rebecca","Boulder","CO","80305","Boulder","2016-10-04T00:00:00.000","2019-03-01T00:00:00.000","Animal Rescue"
