"row_id","timestamp","vendor","battery_pct","instance_id","is_reserved_flag","is_disabled_flag","latitude","longitude","point"
"Neuron-0826634a-e1f4-4bc8-87d1-0c609e03712d","2022-09-13T12:32:02.000","Neuron",,"0826634a-e1f4-4bc8-87d1-0c609e03712d","1","1","51.06671333333334","-114.09014716666667","POINT (-114.090147166667 51.066713333333)"
"Bird-32f4705a-14ff-48db-81f3-48cd45c9e0c8","2022-09-13T12:32:02.000","Bird",,"32f4705a-14ff-48db-81f3-48cd45c9e0c8","0","0","51.04645116666667","-114.06313966666667","POINT (-114.063139666667 51.046451166667)"
"Bird-3237447e-5c13-44b6-bf31-d15be377ebd7","2022-09-13T12:32:02.000","Bird",,"3237447e-5c13-44b6-bf31-d15be377ebd7","0","0","51.037940666666664","-114.05887416666668","POINT (-114.058874166667 51.037940666667)"
"Bird-1466caed-fbda-4dbf-a8e4-d8669125de83","2022-09-13T12:32:02.000","Bird",,"1466caed-fbda-4dbf-a8e4-d8669125de83","0","0","51.048441999999994","-114.06258116666667","POINT (-114.062581166667 51.048442)"
"Neuron-74730e24-9fb8-4acd-afca-90c0fb4155d7","2022-09-13T12:32:02.000","Neuron",,"74730e24-9fb8-4acd-afca-90c0fb4155d7","1","1","51.048709","-114.069935","POINT (-114.069935 51.048709)"
"Bird-6699e0b7-511e-4eb1-9bad-b61b24fdb68b","2022-09-13T12:32:02.000","Bird",,"6699e0b7-511e-4eb1-9bad-b61b24fdb68b","0","0","51.047696333333334","-114.06797766666665","POINT (-114.067977666667 51.047696333333)"
"Neuron-b955f8bc-e7d9-4fbc-8e1e-d993ed725195","2022-09-13T12:32:02.000","Neuron",,"b955f8bc-e7d9-4fbc-8e1e-d993ed725195","1","1","51.03079986666667","-114.0715332","POINT (-114.0715332 51.030799866667)"
"Bird-95890b1f-4580-408d-8d01-535c86028cfc","2022-09-13T12:32:02.000","Bird",,"95890b1f-4580-408d-8d01-535c86028cfc","0","0","51.03355799999999","-114.03199266666667","POINT (-114.031992666667 51.033558)"
"Neuron-ac269f16-0d21-4492-9643-0dec2407af7e","2022-09-13T12:32:02.000","Neuron",,"ac269f16-0d21-4492-9643-0dec2407af7e","1","1","51.03767316666667","-114.06101533333334","POINT (-114.061015333333 51.037673166667)"
"Neuron-130cdba0-0d87-43a4-bb00-1877b9704e49","2022-09-13T12:32:02.000","Neuron",,"130cdba0-0d87-43a4-bb00-1877b9704e49","1","1","51.049748666666666","-114.07491300000001","POINT (-114.074913 51.049748666667)"
"Bird-09dbda76-3553-40bf-b15c-0ea20241be6b","2022-09-13T12:32:02.000","Bird",,"09dbda76-3553-40bf-b15c-0ea20241be6b","0","0","51.036745","-114.049174","POINT (-114.049174 51.036745)"
"Neuron-850b2521-ce88-4d9d-aef2-d929694e7794","2022-09-13T12:32:02.000","Neuron",,"850b2521-ce88-4d9d-aef2-d929694e7794","1","1","51.03800016666667","-114.07949533333334","POINT (-114.079495333333 51.038000166667)"
"Neuron-ceb7d1ab-a416-4535-ae9c-9fba2557b483","2022-09-13T12:32:02.000","Neuron",,"ceb7d1ab-a416-4535-ae9c-9fba2557b483","1","1","51.045661933333335","-114.06344605000001","POINT (-114.06344605 51.045661933333)"
"Neuron-d7d19661-c32b-475c-bf9b-f247267c3f72","2022-09-13T12:32:02.000","Neuron",,"d7d19661-c32b-475c-bf9b-f247267c3f72","1","1","51.04908866666666","-114.07892716666666","POINT (-114.078927166667 51.049088666667)"
"Bird-d3623ae8-33d7-4c8c-9965-17f30b7ac5e3","2022-09-13T12:32:02.000","Bird",,"d3623ae8-33d7-4c8c-9965-17f30b7ac5e3","0","0","51.05187066666667","-114.0851635","POINT (-114.0851635 51.051870666667)"
"Bird-982ba79d-b1a2-4fbf-b1dc-ca31a330a6b8","2022-09-13T12:32:02.000","Bird",,"982ba79d-b1a2-4fbf-b1dc-ca31a330a6b8","0","0","51.034166","-114.036498","POINT (-114.036498 51.034166)"
"Neuron-e9a0bfa4-bd79-4185-ab66-ba3e9e071ea0","2022-09-13T12:32:02.000","Neuron",,"e9a0bfa4-bd79-4185-ab66-ba3e9e071ea0","1","1","51.046890266666665","-114.07029723333332","POINT (-114.070297233333 51.046890266667)"
"Bird-e70ac4a8-6957-4642-a66d-1de88c7ba6ad","2022-09-13T12:32:02.000","Bird",,"e70ac4a8-6957-4642-a66d-1de88c7ba6ad","0","0","51.03153333333333","-114.07271549999999","POINT (-114.0727155 51.031533333333)"
"Bird-713de193-4d60-4b4e-9bed-433b6b776018","2022-09-13T12:32:02.000","Bird",,"713de193-4d60-4b4e-9bed-433b6b776018","0","0","51.050760833333335","-114.06617483333333","POINT (-114.066174833333 51.050760833333)"
"Bird-c94cf095-9472-42dc-aea0-46ee8cc9590b","2022-09-13T12:32:02.000","Bird",,"c94cf095-9472-42dc-aea0-46ee8cc9590b","0","0","51.05676416666667","-114.07805583333332","POINT (-114.078055833333 51.056764166667)"
"Bird-05ab3d6c-9c3d-4415-b44d-87c8142f99cc","2022-09-13T12:32:02.000","Bird",,"05ab3d6c-9c3d-4415-b44d-87c8142f99cc","0","0","51.055782316666665","-114.08419036666668","POINT (-114.084190366667 51.055782316667)"
"Bird-61adbee1-91eb-4d0e-840c-80e4b543a2a9","2022-09-13T12:32:02.000","Bird",,"61adbee1-91eb-4d0e-840c-80e4b543a2a9","0","0","51.05325116666666","-114.07582233333332","POINT (-114.075822333333 51.053251166667)"
"Bird-59d935a8-f753-4ab3-a5d4-1f6d78433bdd","2022-09-13T12:32:02.000","Bird",,"59d935a8-f753-4ab3-a5d4-1f6d78433bdd","0","0","51.051877166666664","-114.08511866666667","POINT (-114.085118666667 51.051877166667)"
"Bird-08c5b4a5-1864-46e5-949f-c9438dc45835","2022-09-13T12:32:02.000","Bird",,"08c5b4a5-1864-46e5-949f-c9438dc45835","0","0","51.047322666666666","-114.05621316666665","POINT (-114.056213166667 51.047322666667)"
"Bird-bcd9116e-c94d-427f-bebd-36141b5cce17","2022-09-13T12:32:02.000","Bird",,"bcd9116e-c94d-427f-bebd-36141b5cce17","0","0","51.04626846666667","-114.06309510000001","POINT (-114.0630951 51.046268466667)"
"Neuron-612064d7-f50d-4cbf-8484-70e510c0940c","2022-09-13T12:32:02.000","Neuron",,"612064d7-f50d-4cbf-8484-70e510c0940c","1","1","51.05043533333334","-114.07255333333333","POINT (-114.072553333333 51.050435333333)"
"Neuron-2f8989f2-60b8-4c5c-ab44-1aaa395ee90d","2022-09-13T12:32:02.000","Neuron",,"2f8989f2-60b8-4c5c-ab44-1aaa395ee90d","1","1","51.057809666666664","-114.04258766666665","POINT (-114.042587666667 51.057809666667)"
"Neuron-f3302ba4-8702-43c1-ad3f-8eba2e29cdf6","2022-09-13T12:32:02.000","Neuron",,"f3302ba4-8702-43c1-ad3f-8eba2e29cdf6","1","1","51.0505104","-114.04029846666666","POINT (-114.040298466667 51.0505104)"
"Neuron-6217f279-927b-456e-af87-ea806d65221d","2022-09-13T12:32:02.000","Neuron",,"6217f279-927b-456e-af87-ea806d65221d","1","1","51.041667933333336","-114.06824493333333","POINT (-114.068244933333 51.041667933333)"
"Neuron-05676570-1da9-4eaf-ade2-363fe54e4f42","2022-09-13T12:32:02.000","Neuron",,"05676570-1da9-4eaf-ade2-363fe54e4f42","1","1","51.048114333333324","-114.0627895","POINT (-114.0627895 51.048114333333)"
"Neuron-3c4ba15c-7f51-4f1c-922d-020227c2a94b","2022-09-13T12:32:02.000","Neuron",,"3c4ba15c-7f51-4f1c-922d-020227c2a94b","1","1","51.05185933333334","-114.08511566666667","POINT (-114.085115666667 51.051859333333)"
"Bird-6d03f862-48a0-4389-b06b-843416d65937","2022-09-13T12:32:02.000","Bird",,"6d03f862-48a0-4389-b06b-843416d65937","0","0","51.028042166666665","-114.07161166666668","POINT (-114.071611666667 51.028042166667)"
"Bird-f8f6f52b-e0bf-4b90-ba2b-1026ac24d4c9","2022-09-13T12:32:02.000","Bird",,"f8f6f52b-e0bf-4b90-ba2b-1026ac24d4c9","0","0","51.04948016666667","-114.06787183333333","POINT (-114.067871833333 51.049480166667)"
"Neuron-cf66ef63-9440-4e64-afdc-b7cab15f3213","2022-09-13T12:32:02.000","Neuron",,"cf66ef63-9440-4e64-afdc-b7cab15f3213","1","1","51.04955816666667","-114.05563216666665","POINT (-114.055632166667 51.049558166667)"
"Bird-77b90d37-b47e-4508-87a1-61b1ef49d4a2","2022-09-13T12:32:02.000","Bird",,"77b90d37-b47e-4508-87a1-61b1ef49d4a2","0","0","51.04939233333333","-114.04004233333332","POINT (-114.040042333333 51.049392333333)"
