"street","x_street","direction","st_facing","dist","cnn","concatenat","mtab_date","mtab_reso_text","mtab_motion","status","workorder","install_date","shape",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"22ND ST","BARTLETT","NE","WB",,"24112000.0","22ND ST & BARTLETT ST",,,,"I",,,"POINT (-122.419846 37.75536)","53","53","3","2","20"
"SCOTT","PACIFIC","SE","NB","0","26857000.0","SCOTT & PACIFIC",,,,,,,"POINT (-122.43965 37.792717)","102","102","4","6","30"
"ST GEORGE","BUSH","NW","SB","0","24728000.0","ST GEORGE & BUSH",,,,,,,"POINT (-122.40432 37.790718)","19","19","6","3","8"
"MANCHESTER","STONEMAN",,"SB",,"21162000.0",,,,,,,,"POINT (-122.41416 37.74509)","83","83","9","2","2"
"ULLOA","14TH AVE","NE","WB",,"22954000.0","ULLOA ST & 14TH AVE",,,,,,,"POINT (-122.47009 37.74142)","46","46","10","8","41"
"LOWER","SATURN","NW","SB","0","26171000.0","LOWER TER & SATURN ST",,,,"I",,,"POINT (-122.442215 37.762695)","113","113","7","5","5"
"VALDEZ","MONTEREY","NW","SB","00","22645000.0","VALDEZ & MONTEREY",,,,,,,"POINT (-122.45575 37.731342)","71","71","9","8","41"
"17TH ST","RHODE ISLAND","SW","EB",,"23771000.0","17TH ST & RHODE ISLAND ST",,,,"I",,,"POINT (-122.40255 37.764774)","54","54","1","9","26"
"LEE AVE","HOLLOWAY","SE","NB","0","22220000.0","LEE AVE & HOLLOWAY",,,,,,,"POINT (-122.454094 37.721848)","64","64","10","1","24"
"BAKER","JACKSON","NE","WB",,"26863000.0","BAKER ST & JACKSON ST",,,,,,,"POINT (-122.444466 37.791203)","102","102","8","6","30"
"BRODERICK","NORTH POINT","SE","NB","0","27011000.0","BRODERICK ST & NORTH POINT ST",,,,,,,"POINT (-122.44507 37.802555)","17","17","4","6","13"
"TEDDY","DELTA",,"EB",,"20360000.0",,,,,,,,"POINT (-122.40859 37.71515)","75","75","9","9","40"
"LAKE ST","30TH AVE","SW","EB","0","28026000.0","LAKE ST & 30TH AVE",,,,,,,"POINT (-122.49046 37.785114)","1","1","8","6","33"
"47TH AVE","LAWTON","NW","SB","0","27937000.0","47TH AVE & LAWTON",,,,,,,"POINT (-122.50672 37.75664)","39","39","10","7","35"
"30TH AVE","JUDAH","NW","SB","0","27711000.0","30TH AVE & JUDAH ST",,,,"I",,,"POINT (-122.48877 37.761177)","39","39","10","7","35"
"SENECA","DELANO","NE","WB",,"22099000.0","SENECA AVE & DELANO AVE",,,,,,,"POINT (-122.44449 37.721092)","80","80","9","1","28"
"ELLSWORTH","CORTLAND","NW","SB","0","21084000.0","ELLSWORTH & CORTLAND",,,,,,,"POINT (-122.41454 37.738876)","83","83","9","2","2"
"20TH ST","ARKANSAS","NE","WB",,"23733000.0","20TH ST & ARKANSAS ST",,,,"I",,,"POINT (-122.3982 37.759903)","54","54","2","9","26"
"GRAFTON","PLYMOUTH","NE","WB","0","22576000.0","GRAFTON AVE & PLYMOUTH AVE",,,,,,,"POINT (-122.45612 37.720028)","64","64","10","1","24"
"20TH AVE","QUINTARA","NW","SB","0","23206000.0","20TH AVE & QUINTARA",,,,,,,"POINT (-122.47714 37.748592)","40","40","10","7","35"
"10TH AVE","KIRKHAM","NW","SB","0","27146000.0","10TH AVE & KIRKHAM",,,,,,,"POINT (-122.46711 37.760258)","109","109","10","8","14"
"CATALINA","MIDDLE POINT","SW","EB",,"20172000.0","CATALINA ST & MIDDLE POINT RD",,,,"I",,,"POINT (-122.379395 37.73627)","76","76","2","9","1"
"NATOMA","MARY","SW","EB","0","24283000.0","NATOMA & MARY",,,,,,,"POINT (-122.406235 37.7813)","32","32","1","10","34"
"KENSINGTON WY","ULLOA","NW","SB","0","22847000.0","KENSINGTON WY & ULLOA",,,,,,,"POINT (-122.45982 37.741055)","49","49","10","8","41"
"DIAMOND","JERSEY",,"NB",,"25759000.0","DIAMOND ST & JERSEY ST",,,,,,,"POINT (-122.43621 37.750355)","84","84","3","5","22"
"BRODERICK","BAY","SE","NB",,"27006000.0","BRODERICK ST & BAY ST","20180206000000",,"180206-017","I","18-5194",,"POINT (-122.44488 37.80162)","17","17","4","6","13"
"MARTIN L KING","TRANSVERSE","SW","EB",,"27460000.0","MARTIN L KING & TRANSVERSE",,,,,,,"POINT (-122.47825 37.76591)","9","9","8","4","12"
"CENTRAL","GOLDEN GATE","NW","SB","0","26384000.0","CENTRAL & GOLDEN GATE",,,,,,,"POINT (-122.445145 37.77788)","97","97","7","11","18"
"PIERCE","CAPRA","NW","SB",,"26982000.0","PIERCE ST & CAPRA WY",,,,,,,"POINT (-122.43993 37.80272)","17","17","4","6","13"
"RUSSIA","LISBON","SW","EB","0","21721000.0","RUSSIA & LISBON",,,,,,,"POINT (-122.43477 37.72044)","90","90","9","1","7"
"BEAUMONT","TURK","NW","SB","0","26484000.0","BEAUMONT AVE & TURK ST","20200221000000",,"6218","I","20-00332","20210114000000","POINT (-122.454315 37.777706)","12","12","7","4","18"
"IRVING","22ND AVE","SW","EB","0","27417000.0","IRVING ST & 22ND AVE",,,,,,,"POINT (-122.48032 37.763416)","39","39","10","7","35"
"FRANCIS","MISSION","SW","EB","0","21774000.0","FRANCIS & MISSION",,,,,,,"POINT (-122.43334 37.72658)","90","90","9","1","7"
"JENNINGS ST","SHAFTER","SE","NB","0","20155000.0","JENNINGS ST & SHAFTER",,,,,,,"POINT (-122.38697 37.728912)","86","86","2","9","1"
"GREEN","FRONT","SW","EB",,"24811000.0","GREEN & FRONT",,,,,,,"POINT (-122.40024 37.800602)","77","77","6","3","8"
"20TH ST","FLORIDA","NE","WB",,"24029000.0","20TH ST & FLORIDA ST","20180821000000",,"180821-110","I","18-6458",,"POINT (-122.41074 37.75913)","53","53","3","2","20"
"SUTTER","BAKER","NE","WB","0","26815000.0","SUTTER & BAKER",,,,,,,"POINT (-122.44317 37.78482)","103","103","8","11","15"
"FOREST SIDE","VICENTE","NW","SB",,"22947000.0","FOREST SIDE AVE & VICENTE ST",,,,,,,"POINT (-122.46918 37.73985)","46","46","10","8","41"
"CUMBERLAND","DOLORES","NE","WB","0","25682000.0","CUMBERLAND & DOLORES",,,,,,,"POINT (-122.42583 37.759026)","37","37","3","5","20"
"COLE","CARMEL","SE","SB",,"26264000.0","COLE ST & CARMEL ST",,,,,,,"POINT (-122.448944 37.760845)","114","114","7","11","14"
"WOOD","GEARY","SE","NB","0","26907000.0","WOOD & GEARY",,,,,,,"POINT (-122.449066 37.78231)","11","11","8","4","18"
"MARINA","DIVISADERO","SW","EB",,"27015000.0","MARINA BLVD & DIVISADERO",,,,,,,"POINT (-122.44397 37.805576)","17","17","4","6","13"
"OPHIR","POST","NW","SB","0","24964000.0","OPHIR & POST",,,,,,,"POINT (-122.41272 37.787735)","50","50","6","3","36"
"VERMONT","19TH ST","NW","SB","0","23764000.0","VERMONT & 19TH ST",,,,,,,"POINT (-122.40412 37.76083)","54","54","2","9","26"
"MENDELL","HUDSON","SE","NB","0","20215000.0","MENDELL ST & HUDSON AVE",,,,,,,"POINT (-122.38638 37.73898)","86","86","2","9","1"
"NORIEGA","18TH AVE","NE","WB","0","27320000.0","NORIEGA & 18TH AVE",,,,,,,"POINT (-122.475395 37.75428)","44","44","10","8","14"
"JACKSON ST","SCOTT","SW","EB","0","26853000.0","JACKSON ST & SCOTT",,,,,,,"POINT (-122.439476 37.79184)","102","102","4","6","30"
"BADEN","MONTEREY","NW","SB","0","22134000.0","BADEN ST & MONTEREY BLVD",,,,,,,"POINT (-122.43973 37.73158)","95","95","9","8","41"
"23RD AVE","ULLOA","NW","SB",,"23232000.0","23RD AVE & ULLOA",,,,,,,"POINT (-122.479836 37.74099)","40","40","10","7","35"
"NAPLES","PERU","SE","NB",,"21660000.0","NAPLES & PERU",,,,,,,"POINT (-122.42649 37.72707)","90","90","9","1","7"
"11TH AVE","MORAGA","SE","NB","0","27126000.0","11TH AVE & MORAGA ST",,,,,,,"POINT (-122.46792 37.75648)","44","44","10","8","14"
"WEBSTER","NORTH POINT","SE","NB",,"26778000.0","WEBSTER & NORTH POINT",,,,,,,"POINT (-122.43516 37.803818)","17","17","4","6","13"
"MOSCOW","ITALY","NW","SB","0","21400000.0","MOSCOW & ITALY",,,,,,,"POINT (-122.43231 37.715034)","90","90","9","1","7"
"19TH ST","MISSISSIPPI",,"WB",,"2366300.0","19TH ST & MISSISSIPPI ST",,,,,,,"POINT (-122.39446 37.76141)","54","54","2","9","26"
"14TH AVE","SANTIAGO","NW","SB","0","32888000.0","14TH AVE & SANTIAGO",,,,,,,"POINT (-122.47035 37.745155)","44","44","10","8","41"
"ORTEGA","09TH AVE","NE","WB","0","27097000.0","ORTEGA ST & 09TH AVE",,,,,,,"POINT (-122.46552 37.752846)","45","45","10","8","14"
"TARAVAL","15TH AVE","SW","EB","0","22992000.0","TARAVAL & 15TH AVE",,,,,,,"POINT (-122.471344 37.743237)","46","46","10","8","41"
"SHRADER","HAYES","SE","NB","0","26438000.0","SHRADER & HAYES",,,,,,,"POINT (-122.452614 37.7731)","24","24","7","11","18"
"GOLD MINE","DIAMOND HEIGHTS","NE","WB","0","22036000.0","GOLD MINE DR & DIAMOND HEIGHTS BLVD",,,,,,,"POINT (-122.43767 37.743603)","57","57","9","5","10"
"24TH AVE","CALIFORNIA","NW","SB","0","27648000.0","24TH AVE & CALIFORNIA",,,,,,,"POINT (-122.483925 37.783924)","8","8","8","4","29"
"VICENTE","33RD AVE","NE","WB","0","23349000.0","VICENTE & 33RD AVE",,,,,,,"POINT (-122.49042 37.73866)","40","40","10","7","35"
"MONTEREY","PLYMOUTH","NE","WB","0","22648000.0","MONTEREY & PLYMOUTH",,,,,,,"POINT (-122.45746 37.73099)","71","71","9","8","41"
"GOLDEN GATE","BAKER","NE","WB",,"26359000.0","GOLDEN GATE & BAKER",,,,,,,"POINT (-122.44185 37.778294)","97","97","7","11","39"
"45TH AVE","NORIEGA ST","SE","NB",,"27923000.0","45TH AVE & NORIEGA ST",,,,,,,"POINT (-122.50432 37.753006)","39","39","10","7","35"
"SELBY","OAKDALE","NW","SB","0","20758000.0","SELBY & OAKDALE",,,,,,,"POINT (-122.39967 37.7399)","85","85","2","9","1"
"MERCED","GARCIA","SE","NB","0","22880000.0","MERCED & GARCIA",,,,,,,"POINT (-122.46125 37.744633)","49","49","10","8","41"
"UPLAND","WEST GATE","NE","WB","0","22760000.0","UPLAND & WEST GATE",,,,,,,"POINT (-122.46462 37.72997)","68","68","10","8","41"
"19TH ST","EUREKA","SW","EB","0","25817000.0","19TH ST & EUREKA ST",,,,,,,"POINT (-122.4381 37.759087)","115","115","3","5","5"
"FAXON","ELMWOOD","NW","SB",,"22656000.0","FAXON AVE & ELMWOOD WY",,,,,,,"POINT (-122.4598 37.72581)","71","71","9","8","41"
"GREEN","MASON","NE","WB","0","25417000.0","GREEN & MASON",,,,,,,"POINT (-122.41227 37.79909)","107","107","6","3","6"
"GROVE","OCTAVIA","SW","EB","0","25928000.0","GROVE & OCTAVIA",,,,,,,"POINT (-122.4248 37.777596)","22","22","4","11","9"
"LISBON ST","AVALON","SE","NB","6S","21691000.0","LISBON ST & AVALON",,,,,,,"POINT (-122.43015 37.72654)","90","90","9","1","7"
"03RD AVE","CALIFORNIA","NW","SB","0","27583000.0","03RD AVE & CALIFORNIA",,,,,,,"POINT (-122.46136 37.785397)","5","5","8","4","11"
"MARTIN LUTHER KING","BERNICE RODGERS","NE","WB",,"27870000.0","MARTIN LUTHER KING JR DR & BERNICE RODGERS WY",,,,,,,"POINT (-122.504105 37.765522)","9","9","8","4","12"
"37TH AVE","IRVING","SE","NB","0","27743000.0","37TH AVE & IRVING",,,,,,,"POINT (-122.4964 37.762707)","39","39","10","7","35"
"ANZA","27TH AVE","NE","WB","0","27551000.0","ANZA ST & 27TH AVE",,,,,,,"POINT (-122.486725 37.778065)","8","8","8","4","29"
"NIAGARA","DELANO","NE","WB",,"22098000.0","NIAGARA & DELANO",,,,,,,"POINT (-122.44589 37.718822)","80","80","9","1","28"
"BROTHERHOOD","JUNIPERO SERRA","NW","SB","0","22545000.0","BROTHERHOOD & JUNIPERO SERRA",,,,,,,"POINT (-122.470566 37.7127)","65","65","10","8","24"
"BAKER","JACKSON","SE","NB","0","26863000.0","BAKER ST & JACKSON ST",,,,,,,"POINT (-122.444466 37.791203)","102","102","8","6","30"
"UTAH","25TH ST","NW","SB",,"23722000.0","UTAH ST & 25TH ST",,,,"I",,,"POINT (-122.4052 37.75178)","54","54","3","9","20"
"30TH AVE","EL CAMINO DEL MAR","SE","NB","0","28027000.0","30TH AVE & EL CAMINO DEL MAR",,,,"I",,,"POINT (-122.49055 37.786278)","1","1","8","6","33"
"CABRILLO","06TH AVE","NE","WB","0","27270000.0","CABRILLO ST & 06TH AVE",,,,"I",,,"POINT (-122.46386 37.775364)","5","5","8","4","11"
"CLEMENT","15TH AVE",,"SB",,"27489000.0","CLEMENT ST & 15TH AVE",,,,,,,"POINT (-122.4741 37.782505)","5","5","8","4","29"
"46TH AVE","SANTIAGO","NW","SB",,"23507000.0","46TH AVE & SANTIAGO ST",,,,"I","19-7535","20191009000000","POINT (-122.50474 37.743637)","39","39","10","7","35"
"WASHINGTON","FILLMORE","SW","EB","00","26649000.0","WASHINGTON ST & FILLMORE",,,,,,,"POINT (-122.434364 37.791588)","102","102","4","6","30"
"FILBERT","GRANT","NE","WB","0","25349000.0","FILBERT ST & GRANT",,,,,,,"POINT (-122.40775 37.801567)","18","18","6","3","23"
"CAROLINA","15TH ST","SE","NB","0","23848000.0","15TH ST & CAROLINA",,,,,,,"POINT (-122.40086 37.767483)","33","33","1","9","4"
"SACRAMENTO","LEAVENWORTH","SE","WB","0","25248000.0","SACRAMENTO ST & LEAVENWORTH ST",,,,,,,"POINT (-122.415924 37.79213)","16","16","6","3","21"
"RICHLAND AVE","ANDOVER ST","SW","EB","0","21200000.0","RICHLAND AVE & ANDOVER ST",,,,,,,"POINT (-122.41675 37.7356)","83","83","9","2","2"
"ANZA","02ND AVE","SW","EB",,"27226000.0","ANZA ST & 02ND AVE","20150303000000",,"15-022","I",,,"POINT (-122.45985 37.779278)","5","5","8","4","11"
"24TH ST","NOE","SW","EB","0","25738000.0","24TH ST & NOE",,,,,,,"POINT (-122.43186 37.75143)","84","84","3","5","22"
"CAPITOL","DE MONTFORT","SE","NB","0","22592000.0","CAPITOL & DE MONTFORT",,,,,,,"POINT (-122.4592 37.723648)","64","64","10","8","24"
"GILMAN","INGALLS","NE","WB","0","20443000.0","GILMAN & INGALLS",,,,,,,"POINT (-122.39185 37.720345)","88","88","2","9","1"
"47TH AVE","QUINTARA","NW","SB","0","23516000.0","47TH AVE & QUINTARA",,,,,,,"POINT (-122.50607 37.747314)","39","39","10","7","35"
"LYON","PAGE","SE","NB","0","26325000.0","LYON ST & PAGE ST",,,,"I",,,"POINT (-122.44218 37.771564)","112","112","7","11","3"
"CABRILLO","15TH AVE","SW","EB","0","27450000.0","CABRILLO ST & 15TH AVE",,,,"I",,,"POINT (-122.47355 37.77492)","5","5","8","4","29"
"WATCHMAN","MISSOURI","NE","WB",,"23635000.0","WATCHMAN ST & MISSOURI ST",,,"16-136","I","18-6901",,"POINT (-122.39575 37.755615)","54","54","2","9","26"
"FLORIDA","21ST ST","NW","SB","0","23995000.0","FLORIDA ST & 21ST ST",,,,,,,"POINT (-122.410515 37.757534)","53","53","3","2","20"
"35TH AVE","SANTIAGO","NW","SB","0","23404000.0","35TH AVE & SANTIAGO ST",,,,"I",,,"POINT (-122.49296 37.744156)","40","40","10","7","35"
"ALPINE","WALLER","SE","NB",,"2601900.0","ALPINE TER & WALLER ST",,,,"I",,,"POINT (-122.43779 37.77021)","112","112","7","5","3"
"GOLDEN GATE","BRODERICK","SW","EB","0","26073000.0","GOLDEN GATE & BRODERICK",,,,,,,"POINT (-122.4402 37.778507)","97","97","7","11","39"
"40TH AVE","ANZA","NW","SB",,"27905000.0","40TH AVE & ANZA",,,,,,,"POINT (-122.50065 37.77743)","8","8","8","4","29"
"WILLARD","PARNASSUS","NW","SB","0","26308000.0","WILLARD & PARNASSUS",,,,,,,"POINT (-122.4542 37.764305)","110","110","7","11","14"
"SHIELDS","VICTORIA","SW","EB","0","22697000.0","SHIELDS & VICTORIA",,,,,,,"POINT (-122.46533 37.717915)","65","65","10","1","24"
"BAKER","FRANCISCO","SE","NB","0","27005000.0","BAKER ST & FRANCISCO ST",,,,,,,"POINT (-122.446335 37.80048)","17","17","4","6","13"
"PACHECO","MAGELLAN","NW","WB",,"22894000.0","PACHECO ST & MAGELLAN AVE",,,,"I",,,"POINT (-122.4617 37.746357)","45","45","10","8","41"
"05TH ST","BERRY","NW","SB",,"23818000.0","05TH ST & BERRY",,,,,,,"POINT (-122.39556 37.774025)","34","34","1","10","4"
"GARDENSIDE","BURNETT",,"EB",,"26124000.0","GARDENSIDE AND BURNETT",,,,,,,"POINT (-122.44421 37.755577)","47","47","7","5","38"
"RIVERA","17TH AVE","NE","WB",,"23191000.0","RIVERA & 17TH AVE",,,,,,,"POINT (-122.4738 37.74687)","44","44","10","8","41"
"PENINSULA","BLANKEN","NE","WB",,"20282000.0","PENINSULA & BLANKEN",,,,,,,"POINT (-122.39905 37.711605)","89","89","2","9","1"
"JUANITA WY","EVELYN","NE","WB","0","22423000.0","JUANITA WY & EVELYN",,,,,,,"POINT (-122.45343 37.743404)","72","72","9","8","41"
"37TH AVE","QUINTARA","SE","NB","0","23419000.0","37TH AVE & QUINTARA",,,,,,,"POINT (-122.49535 37.747787)","39","39","10","7","35"
"BUCHANAN","UNION",,"EB",,"26659000.0","BUCHANAN & UNION",,,,,,,"POINT (-122.43219 37.7975)","15","15","4","6","13"
"48TH AVE","ORTEGA","SE","NB","0","27925000.0","48TH AVE & ORTEGA",,,,,,,"POINT (-122.5074 37.751)","39","39","10","7","35"
"27TH ST","CHURCH","SW","EB","0","21915000.0","27TH ST & CHURCH",,,,,,,"POINT (-122.426956 37.74689)","84","84","9","5","22"
"TOPEKA","NEWHALL","NW","SB","0","20532000.0","TOPEKA & NEWHALL",,,,,,,"POINT (-122.39571 37.731907)","87","87","2","9","1"
"32ND AVE","SANTIAGO","SE","NB","0","23390000.0","32ND AVE & SANTIAGO",,,,,,,"POINT (-122.48974 37.7443)","40","40","10","7","35"
"43RD AVE","CABRILLO","NW","SB","0","27882000.0","43RD AVE & CABRILLO",,,,,,,"POINT (-122.50359 37.77355)","8","8","8","4","29"
"PARIS","ITALY","SE","NB","0","21731000.0","PARIS & ITALY",,,,,,,"POINT (-122.437935 37.71772)","90","90","9","1","7"
"GRAFTON","LEE","NE","WB","0","22209000.0","GRAFTON AVE & LEE AVE",,,,,,,"POINT (-122.45409 37.72003)","64","64","10","1","24"
"LYON","GROVE","SE","NB","00","26355000.0","LYON ST & GROVE ST",,,,"I",,,"POINT (-122.44293 37.77529)","24","24","7","11","18"
"CONNECTICUT","20TH ST","SE","NB","0","23666000.0","CONNECTICUT & 20TH ST",,,,,,,"POINT (-122.39723 37.759964)","54","54","2","9","26"
"WINDING","DRAKE","NE","WB",,"21414000.0","WINDING & DRAKE",,,,,,,"POINT (-122.43595 37.709293)","58","58","9","1","7"
"INGALLS","KISKA","NW","SB","N LINE","20077000.0","INGALLS ST & KISKA RD",,,,,,,"POINT (-122.37954 37.731106)","78","78","2","9","1"
"24TH ST","DIAMOND","NE","WB","300E","25760000.0","24TH ST & DIAMOND",,,,,,,"POINT (-122.43629 37.75115)","84","84","3","5","22"
"06TH AVE","JUDAH","NW","SB","0","27078000.0","06TH AVE & JUDAH",,,,,,,"POINT (-122.46296 37.76231)","109","109","7","11","14"
"SANTA ANA","PORTOLA","SE","NB","0","22943000.0","SANTA ANA & PORTOLA",,,,,,,"POINT (-122.4683 37.73741)","116","116","10","8","41"
"RUTLAND","TEDDY","NW","SB",,"20361000.0","RUTLAND ST & TEDDY AVE","20180821000000",,"180821-110","I","18-6468",,"POINT (-122.40646 37.71457)","75","75","9","9","40"
"HERMANN","FILLMORE","SW","EB","0","25894000.0","HERMANN & FILLMORE",,,,,,,"POINT (-122.43006 37.770237)","28","28","7","5","9"
"19TH ST","CAPP","NE","WB",,"24131000.0","19TH ST & CAPP ST",,,,,,,"POINT (-122.418106 37.760296)","53","53","3","2","20"
"VICENTE","14TH AVE","NE","WB","00","22949000.0","VICENTE & 14TH AVE",,,,,,,"POINT (-122.46996 37.73956)","46","46","10","8","41"
"44TH AVE","FULTON","NW","SB","0","27969000.0","44TH AVE & FULTON",,,,,,,"POINT (-122.50453 37.771637)","9","9","8","4","12"
"GARLINGTON","LA SALLE","SE","WB","0","20137000.0","GARLINGTON & LA SALLE",,,,,,,"POINT (-122.38427 37.732647)","86","86","2","9","1"
"PACIFIC","BAKER","SW","EB",,"26881000.0","PACIFIC & BAKER",,,,,,,"POINT (-122.44464 37.792084)","102","102","8","6","30"
"GRAFTON","HAROLD","SW","EB","0","22208000.0","GRAFTON AVE & HAROLD AVE",,,,,,,"POINT (-122.45308 37.720036)","64","64","10","1","24"
"FILLMORE","CLAY","SE","NB",,"26648000.0","FILLMORE ST & CLAY ST",,,,,,,"POINT (-122.43419 37.790707)","102","102","4","6","30"
"VALDEZ","MONTECITO","SE","NB","0","22251000.0","VALDEZ & MONTECITO",,,,,,,"POINT (-122.45495 37.730106)","71","71","9","8","41"
"34TH AVE","WAWONA","SE","NB","0","23342000.0","34TH AVE & WAWONA",,,,,,,"POINT (-122.491325 37.73729)","40","40","10","7","35"
"IRVING","16TH AVE","NE","WB","0","27359000.0","IRVING ST & 16TH AVE",,,,"I",,,"POINT (-122.4739 37.7637)","109","109","10","11","14"
"RALSTON","SARGENT","NW","SB","00","22716000.0","RALSTON & SARGENT",,,,,,,"POINT (-122.4689 37.716095)","65","65","10","1","24"
"17TH AVE","NORIEGA","SE","NB",,"27319000.0","17TH AVE & NORIEGA",,,,,,,"POINT (-122.47432 37.75433)","44","44","10","8","14"
"27TH AVE","ANZA","NW","SB",,"27551000.0","27TH AVE & ANZA",,,,,,,"POINT (-122.486725 37.778065)","8","8","8","4","29"
"PACIFIC","LEAVENWORTH","NE","WB","0","25274000.0","PACIFIC & LEAVENWORTH",,,,,,,"POINT (-122.41664 37.795666)","16","16","6","3","21"
"ELLIS","ST JOSEPHS","NE","WB","0","26368000.0","ELLIS ST & ST JOSEPHS AVE",,,,,,,"POINT (-122.44133 37.78123)","13","13","7","6","39"
"DIVISADERO","FILBERT","NW","SB","0","26875000.0","DIVISADERO ST & FILBERT ST",,,,,,,"POINT (-122.44227 37.797176)","14","14","4","6","13"
"RINCON","BRYANT","NW","SB","0","24481000.0","RINCON & BRYANT",,,,,,,"POINT (-122.392105 37.7842)","31","31","1","10","8"
"ALAMEDA","VERMONT","SW","EB","00","23865000.0","ALAMEDA ST & VERMONT ST",,,,,,,"POINT (-122.40486 37.768524)","33","33","1","9","4"
"CARROLL","PHELPS","SW","EB","0","20618000.0","CARROLL AVE & PHELPS ST",,,,,,,"POINT (-122.40082 37.729206)","86","86","2","9","1"
"GARRISON","SCHWERIN","SW","EB","0","20369000.0","GARRISON & SCHWERIN",,,,,,,"POINT (-122.41196 37.709206)","75","75","9","9","40"
"BEACH","SCOTT","SW","EB","0","26995000.0","BEACH ST & SCOTT ST",,,,,,,"POINT (-122.441925 37.803913)","17","17","4","6","13"
"05TH AVE","HUGO","NW","SB",,"27085000.0","05TH AVE & HUGO",,,,,,,"POINT (-122.46208 37.765156)","109","109","7","11","14"
"ST ELMO","YERBA BUENA","SE","NB","0","22804000.0","ST ELMO & YERBA BUENA",,,,,,,"POINT (-122.4586 37.73254)","70","70","9","8","41"
"LAWRENCE AVE","HURON","SW","EB","0","21553000.0","LAWRENCE AVE & HURON",,,,,,,"POINT (-122.45189 37.710224)","66","66","9","1","28"
"VICTORIA","SARGENT","NW","SB","0","22693000.0","VICTORIA & SARGENT",,,,,,,"POINT (-122.46531 37.716114)","65","65","10","1","24"
"EUGENIA","BANKS","NE","WB","0","21071000.0","EUGENIA AVE & BANKS ST",,,,,,,"POINT (-122.41267 37.740253)","83","83","9","2","2"
"MARSILY","ST MARYS","SE","NB",,"21825000.0","MARSILY ST & ST MARYS AVE",,,,"I",,,"POINT (-122.42739 37.7345)","93","93","9","5","28"
"MIRAMAR","LAKEVIEW","NW","SB",,"22580000.0","MIRAMAR AVE & LAKEVIEW AVE",,,,,,,"POINT (-122.45815 37.718227)","81","81","10","1","24"
"CONCORD","HANOVER","NW","SB","0","21460000.0","CONCORD & HANOVER",,,,,,,"POINT (-122.44161 37.709656)","58","58","9","1","7"
"PRECITA","ALABAMA","SW","EB","0","21165000.0","PRECITA & ALABAMA",,,,,,,"POINT (-122.41061 37.746937)","60","60","9","2","2"
"JOSIAH AVE","LAKEVIEW","SE","NB","0","22195000.0","JOSIAH AVE & LAKEVIEW",,,,,,,"POINT (-122.45336 37.717762)","81","81","10","1","24"
"JACKSON ST","DAVIS","SW","EB",,"24577000.0","JACKSON ST & DAVIS",,,,,,,"POINT (-122.39832 37.79709)","77","77","6","3","8"
"LAUREL ST","SACRAMENTO","SE","NB","0","26918000.0","LAUREL ST & SACRAMENTO",,,,,,,"POINT (-122.45029 37.78776)","10","10","8","6","31"
"GRAFTON","BRIGHTON","SW","EB",,"22211000.0","GRAFTON AVE & BRIGHTON AVE",,,,,,,"POINT (-122.45511 37.72003)","64","64","10","1","24"
"MISSOURI","MARIPOSA","NW","SB","0","23680000.0","MISSOURI ST & MARIPOSA ST",,,,,,,"POINT (-122.39663 37.763847)","54","54","2","9","26"
"GREENWOOD","PLYMOUTH","NE","WB",,"22626000.0","GREENWOOD AVE & PLYMOUTH AVE",,,,,,,"POINT (-122.45641 37.728703)","71","71","9","8","41"
"PALM","CALIFORNIA","SE","NB","0","27563000.0","PALM & CALIFORNIA",,,,,,,"POINT (-122.458046 37.78582)","11","11","8","6","31"
"26TH ST","SHOTWELL","SW","EB",,"21293000.0","26TH ST & SHOTWELL ST",,,,,,,"POINT (-122.41485 37.749233)","53","53","3","2","20"
"BALBOA","12TH AVE","SW","EB",,"27297000.0","BALBOA ST & 12TH AVE",,,,,,,"POINT (-122.47042 37.776936)","5","5","8","4","11"
"37TH AVE","TARAVAL","SE","NB","0","23385000.0","37TH AVE & TARAVAL",,,,,,,"POINT (-122.494965 37.742195)","39","39","10","7","35"
"20TH AVE","ANZA",,"SB",,"27499000.0","20TH AVE & ANZA",,,,,,,"POINT (-122.479225 37.778404)","8","8","8","4","29"
"WILDWOOD","MIRAMAR","NE","WB","0","32969000.0","WILDWOOD & MIRAMAR",,,,,,,"POINT (-122.45819 37.72758)","71","71","9","8","41"
"15TH AVE","JUDAH","NW","SB","0","27352000.0","15TH AVE & JUDAH",,,,,,,"POINT (-122.47265 37.761887)","109","109","10","8","14"
"02ND AVE","FULTON","NW","SB","0","27210000.0","02ND AVE & FULTON",,,,,,,"POINT (-122.45947 37.774162)","9","9","8","4","12"
"VAN DYKE","JENNINGS","NE","WB","00","20151000.0","VAN DYKE & JENNINGS",,,,,,,"POINT (-122.38866 37.72704)","86","86","2","9","1"
"SAN JOSE","DUNCAN","SE","NB","0","21350000.0","SAN JOSE & DUNCAN",,,,,,,"POINT (-122.42169 37.746407)","83","83","9","5","2"
"LONDON","AMAZON","NW","SB","0","21732000.0","LONDON ST & AMAZON AVE",,,,"I",,,"POINT (-122.43963 37.716953)","90","90","9","1","7"
"45TH AVE","VICENTE","SE","NB",,"23454000.0","45TH AVE & VICENTE",,,,,,,"POINT (-122.50327 37.738094)","40","40","10","7","35"
