"id","sex","age","member_created_m_d_yyyy","start_of_first_full_membership"
"335","male","53","2017-10-15T00:00:00.000","2017-10-16T00:00:00.000"
"336",,,"2019-07-13T00:00:00.000",
"337","male","87","2017-12-09T00:00:00.000","2017-12-11T00:00:00.000"
"338",,"38","2016-08-17T00:00:00.000","2016-08-16T00:00:00.000"
"339","female","52","2017-10-25T00:00:00.000","2017-10-27T00:00:00.000"
"340","male","72","2018-03-30T00:00:00.000","2018-06-22T00:00:00.000"
"341","male","70","2017-09-15T00:00:00.000","2017-09-15T00:00:00.000"
"342",,"46","2018-07-18T00:00:00.000","2018-07-18T00:00:00.000"
"343","male","40","2018-09-19T00:00:00.000","2018-09-19T00:00:00.000"
"344",,,"2020-06-28T00:00:00.000",
"345",,"41","2018-08-08T00:00:00.000","2018-08-08T00:00:00.000"
"346","female","29","2017-05-03T00:00:00.000","2017-05-03T00:00:00.000"
"347",,"47","2018-03-30T00:00:00.000","2018-03-30T00:00:00.000"
"348","male","33","2017-07-14T00:00:00.000","2017-08-25T00:00:00.000"
"349",,"68","2019-10-12T00:00:00.000",
"350",,,"2016-09-19T00:00:00.000",
"351",,"47","2018-04-20T00:00:00.000","2018-04-20T00:00:00.000"
"352","would rather not say","34","2019-11-25T00:00:00.000","2019-11-27T00:00:00.000"
"353",,"30","2017-03-08T00:00:00.000","2017-03-08T00:00:00.000"
"354","female","55","2017-04-27T00:00:00.000","2017-04-27T00:00:00.000"
"355",,,"2017-12-08T00:00:00.000","2019-10-07T00:00:00.000"
"356",,,"2019-08-15T00:00:00.000",
"357",,,"2020-02-08T00:00:00.000",
"358","female","64","2020-07-19T00:00:00.000",
"359","male","37","2019-10-04T00:00:00.000","2019-10-04T00:00:00.000"
"360","male","80","2018-05-11T00:00:00.000","2018-05-14T00:00:00.000"
"361","female","43","2017-05-15T00:00:00.000","2017-05-17T00:00:00.000"
"362","female","34","2018-09-07T00:00:00.000","2018-09-07T00:00:00.000"
"363",,,"2018-03-29T00:00:00.000","2018-03-28T00:00:00.000"
"364",,,"2019-05-22T00:00:00.000",
"365","male","64","2016-09-15T00:00:00.000","2016-09-16T00:00:00.000"
"366","female","81","2019-06-05T00:00:00.000",
"367",,"35","2020-11-23T00:00:00.000",
"368","male","34","2019-07-15T00:00:00.000",
"369",,,"2019-03-11T00:00:00.000","2019-03-11T00:00:00.000"
"370","male","36","2018-10-01T00:00:00.000","2018-10-19T00:00:00.000"
"371","female",,"2018-04-20T00:00:00.000",
"372","female",,"2018-03-26T00:00:00.000","2018-03-26T00:00:00.000"
"373",,"49","2019-09-13T00:00:00.000","2019-09-13T00:00:00.000"
"374",,,"2018-01-02T00:00:00.000","2018-01-12T00:00:00.000"
"375","male","43","2019-04-29T00:00:00.000","2019-04-29T00:00:00.000"
"376","female",,"2019-07-26T00:00:00.000",
"377","male","61","2019-04-25T00:00:00.000","2019-04-26T00:00:00.000"
"378","female","43","2017-11-27T00:00:00.000","2017-11-27T00:00:00.000"
"379","male","57","2017-07-21T00:00:00.000","2017-07-21T00:00:00.000"
"380","female","37","2019-06-17T00:00:00.000",
"381",,,"2017-07-12T00:00:00.000",
"382","male","53","2017-06-02T00:00:00.000","2017-06-02T00:00:00.000"
"383",,,"2017-05-05T00:00:00.000","2017-05-05T00:00:00.000"
"384","would rather not say",,"2016-12-02T00:00:00.000","2017-06-28T00:00:00.000"
"385",,,"2018-06-22T00:00:00.000",
"386",,,"2017-08-16T00:00:00.000",
"387","would rather not say","41","2018-05-04T00:00:00.000","2019-06-17T00:00:00.000"
"388","male",,"2017-04-21T00:00:00.000","2017-04-21T00:00:00.000"
"389",,,"2017-05-17T00:00:00.000","2017-05-17T00:00:00.000"
"390","female","78","2016-08-08T00:00:00.000","2016-08-08T00:00:00.000"
"391","male","31","2018-03-23T00:00:00.000",
"392","female","40","2018-08-10T00:00:00.000","2018-08-10T00:00:00.000"
"393","female","37","2016-09-08T00:00:00.000","2016-09-08T00:00:00.000"
"394","male","40","2018-06-10T00:00:00.000",
"395","male","43","2017-05-26T00:00:00.000","2017-05-26T00:00:00.000"
"396","female","32","2019-03-06T00:00:00.000","2019-03-06T00:00:00.000"
"397","female","57","2017-04-07T00:00:00.000","2017-04-07T00:00:00.000"
"398","female","72","2017-03-03T00:00:00.000","2017-03-03T00:00:00.000"
"399",,,"2016-08-23T00:00:00.000","2016-08-23T00:00:00.000"
"400","female","71","2018-08-09T00:00:00.000",
"401","male","59","2018-10-05T00:00:00.000","2018-10-05T00:00:00.000"
"402",,,"2020-02-07T00:00:00.000","2020-02-07T00:00:00.000"
"403",,,"2019-08-22T00:00:00.000","2019-08-30T00:00:00.000"
"404",,,"2020-01-09T00:00:00.000","2020-01-08T00:00:00.000"
