"recordid","year","month","gender","missing","_2","_7","_2_1","_6","_3","_5","_2_2","_4","_1_1_1"
"52007-MISSING","2007","5","MISSING","1",,"3","8","9","11","2","1",,
"42007-FEMALE","2007","4","FEMALE","79",,"157","911","965","1249","1111","308","46","9"
"42007-MALE","2007","4","MALE","94","1","189","1404","1475","1458","1120","334","40","5"
"42007-MISSING","2007","4","MISSING","2",,,"8","5","6","7","1",,
"32007-FEMALE","2007","3","FEMALE","58",,"162","909","984","1197","1064","319","39","5"
"32007-MALE","2007","3","MALE","79",,"203","1428","1460","1578","1082","355","43","7"
"32007-MISSING","2007","3","MISSING",,,,"6","13","5","9","2",,
"22007-FEMALE","2007","2","FEMALE","59","2","104","858","961","1204","1088","352","51","6"
"22007-MALE","2007","2","MALE","77",,"174","1280","1350","1504","1164","379","49","10"
"22007-MISSING","2007","2","MISSING","1",,,"8","10","6","8","3","1",
"12007-FEMALE","2007","1","FEMALE","50","1","135","973","1021","1242","1078","340","50","8"
"12007-MALE","2007","1","MALE","89","1","158","1333","1554","1496","1210","426","51","6"
"12007-MISSING","2007","1","MISSING","2",,,"8","8","6","4","1",,
"122006-FEMALE","2006","12","FEMALE","50","1","106","921","920","1133","980","288","51","10"
"122006-MALE","2006","12","MALE","95",,"163","1247","1316","1428","1025","328","38","8"
"122006-MISSING","2006","12","MISSING",,,,"10","7","9","5",,,
"112006-FEMALE","2006","11","FEMALE","49",,"147","935","927","1100","939","273","36","4"
"112006-MALE","2006","11","MALE","50","2","209","1292","1252","1344","945","282","35","4"
"112006-MISSING","2006","11","MISSING",,,,"5","3","5","1","1",,
"102006-FEMALE","2006","10","FEMALE","68","2","169","1090","950","1235","990","307","42","7"
"102006-MALE","2006","10","MALE","76","1","211","1611","1522","1598","1141","320","52","3"
"102006-MISSING","2006","10","MISSING","1",,"1","6","9","5","4","1",,"1"
"92006-FEMALE","2006","9","FEMALE","41",,"161","963","929","1153","930","313","33","8"
"92006-MALE","2006","9","MALE","71",,"231","1484","1536","1570","1058","333","26","4"
"92006-MISSING","2006","9","MISSING",,,"2","8","16","13","9","2","1",
"82006-FEMALE","2006","8","FEMALE","56",,"203","1144","1061","1325","1069","329","49","9"
"82006-MALE","2006","8","MALE","103","4","320","1954","1773","1828","1376","378","42","14"
"82006-MISSING","2006","8","MISSING","1",,"3","7","9","5","4","1",,
"72006-FEMALE","2006","7","FEMALE","45","4","177","965","825","992","804","253","26","7"
"72006-MALE","2006","7","MALE","82","6","322","1605","1443","1385","985","243","39","6"
"72006-MISSING","2006","7","MISSING",,,,"9","4","10",,"1","1",
"62006-FEMALE","2006","6","FEMALE","46","1","196","1021","976","1124","880","269","36","8"
"62006-MALE","2006","6","MALE","76","3","316","1657","1457","1527","1104","323","43","9"
"62006-MISSING","2006","6","MISSING","2",,"1","7","9","4","5","4",,
"52006-FEMALE","2006","5","FEMALE","41",,"161","950","1020","1181","981","300","61","5"
"52006-MALE","2006","5","MALE","64","2","234","1481","1448","1542","1137","312","47","5"
"52006-MISSING","2006","5","MISSING",,,"1","7","5","12","1","2",,
"42006-FEMALE","2006","4","FEMALE","48","1","121","957","920","1162","896","245","37","6"
"42006-MALE","2006","4","MALE","68",,"184","1471","1343","1368","1040","300","36","7"
"42006-MISSING","2006","4","MISSING",,,"2","4","3","9","9",,,
"32006-FEMALE","2006","3","FEMALE","48",,"153","1069","1025","1398","1192","327","43","10"
"32006-MALE","2006","3","MALE","89","1","212","1531","1723","1725","1248","337","40","6"
"32006-MISSING","2006","3","MISSING","1",,,"9","13","8","5","1",,
"22006-FEMALE","2006","2","FEMALE","41",,"111","841","857","1105","926","263","40","5"
"22006-MALE","2006","2","MALE","63",,"172","1307","1423","1456","1067","319","34","1"
"22006-MISSING","2006","2","MISSING",,,,"4","8","5","10","2","1",
"12006-FEMALE","2006","1","FEMALE","54",,"156","884","927","1163","927","311","35","8"
"12006-MALE","2006","1","MALE","94","2","217","1396","1528","1563","1096","302","35","8"
"12006-MISSING","2006","1","MISSING","1",,"1","6","6","8","3",,,
"122005-FEMALE","2005","12","FEMALE","50",,"151","942","909","1189","925","295","37","13"
"122005-MALE","2005","12","MALE","83","2","171","1388","1377","1397","1019","295","40","8"
"122005-MISSING","2005","12","MISSING","1",,"1","7","5","8","5","1",,
"112005-FEMALE","2005","11","FEMALE","47","3","163","945","971","1113","921","266","41","6"
"112005-MALE","2005","11","MALE","66","3","199","1407","1462","1570","1018","277","34","3"
"112005-MISSING","2005","11","MISSING","1",,"3","6","5","3","7",,"1",
"102005-FEMALE","2005","10","FEMALE","48",,"152","1028","1073","1329","1039","270","39","2"
"102005-MALE","2005","10","MALE","65","1","226","1564","1751","1831","1151","321","38","7"
"102005-MISSING","2005","10","MISSING",,,"2","14","12","11","4","4","1",
"92005-FEMALE","2005","9","FEMALE","50","2","161","1085","1110","1424","1143","281","44","4"
"92005-MALE","2005","9","MALE","76","2","277","1833","1810","1848","1246","341","50","5"
"92005-MISSING","2005","9","MISSING","1",,,"7","9","13","4","2","1",
"82005-FEMALE","2005","8","FEMALE","52","5","232","1141","1066","1395","1127","281","37","7"
"82005-MALE","2005","8","MALE","100","3","393","2006","1974","2048","1435","381","41","3"
"82005-MISSING","2005","8","MISSING","1",,"1","5","14","7","3","1","1",
"72005-FEMALE","2005","7","FEMALE","47","3","210","1057","968","1172","902","255","35","1"
"72005-MALE","2005","7","MALE","70","5","313","1901","1680","1703","1125","304","42","7"
"72005-MISSING","2005","7","MISSING",,,"3","6","13","8","7","5","1",
"62005-FEMALE","2005","6","FEMALE","70","5","200","1148","1093","1437","1137","309","41","2"
"62005-MALE","2005","6","MALE","85","4","299","1919","1722","1825","1207","332","47","5"
"62005-MISSING","2005","6","MISSING","2",,"1","16","14","19","12","5",,
"52005-FEMALE","2005","5","FEMALE","46",,"147","971","989","1253","946","312","47","3"
"52005-MALE","2005","5","MALE","68",,"218","1588","1581","1616","1034","291","38","2"
"52005-MISSING","2005","5","MISSING",,,,"9","5","10","4","2",,
"42005-FEMALE","2005","4","FEMALE","55",,"132","885","870","1167","955","234","34","4"
"42005-MALE","2005","4","MALE","66","1","200","1443","1432","1554","1085","311","35","5"
"42005-MISSING","2005","4","MISSING",,,,"9","11","12","6",,,
"32005-FEMALE","2005","3","FEMALE","57","2","169","1047","1097","1430","1052","301","55","6"
