"the_geom","address","suffix","street","onstr","fromstr","tostr","side","site","spp","dbh","wires","pittype","ward"
"POINT (-71.4235650359372 41.82468608550813)","68","Y","CEDAR ST","CEDAR ST","BRAYTON AVE","BOND ST","Front","4","Acer rubrum","9.0","Yes","Sidewalk Pit","13.0"
"POINT (-71.39883773849098 41.836134419819594)","310",,"OLNEY ST","BOYLSTON AVE","OLNEY ST","MONTAGUE ST","Side","2","Pyrus calleryana","4.0","No","Lawn Strip","3.0"
"POINT (-71.4515758507347 41.847912099151934)","46",,"LYNDE ST","LYNDE ST","LONGWOOD AVE","DEAD END","Front","1","Gleditsia triacanthos","17.0","No","Lawn - No Sidewalk","5.0"
"POINT (-71.41478998540808 41.85606347942955)","91",,"DEPINEDO ST","DEPINEDO ST","ARGOL ST","JOB ST","Front","1","Prunus sargentii","2.0","No","Sidewalk Pit","4.0"
"POINT (-71.40032550785502 41.85066641554338)","54","No","3RD ST","HIGHLAND AVE","3RD ST","4TH ST","Side","1","Tilia cordata","13.0","No","Lawn Strip","3.0"
"POINT (-71.44513239127832 41.83957629474636)","1",,"ELMCROFT AVE","ELMCROFT AVE","ACADEMY AVE","WHITFORD AVE","Front","1","Liquidambar syraciflua","25.0","No","Lawn Strip","5.0"
"POINT (-71.42439846279508 41.812818354303744)","71",,"BRIDGHAM ST","BRIDGHAM ST","ELMWOOD AVE","WESTMINSTER ST","Front","2","Acer rubrum","8.0","No","Lawn Strip","11.0"
"POINT (-71.39933535780466 41.83576674113751)","281",,"OLNEY ST","OLNEY ST","HOPE ST","MORRIS AVE","Front","1","Zelkova serrata","12.0","Yes","Lawn Strip","2.0"
"POINT (-71.42315896117876 41.837079616941395)","62",,"CANDACE ST","CANDACE ST","PEKIN ST","CANDACE ST","Side","1","Pyrus calleryana","15.8","Yes","Sidewalk Pit","12.0"
"POINT (-71.42962280495738 41.82819128681472)","350",,"KINSLEY AVE","KINSLEY AVE","SIMS AVE","ACORN ST","Front","4","Pyrus calleryana","11.0","Yes","Sidewalk Pit","15.0"
"POINT (-71.39594834142267 41.838068815492505)","55",,"HAZARD AVE","HAZARD AVE","ABBOTTSFORD CT","TABER AVE","Front","3","Picea spp.","5.0","Yes","Lawn Strip","3.0"
"POINT (-71.39242726488062 41.84844808545177)","57",,"LORIMER AVE","LORIMER AVE","LAURISTON ST","4TH ST","Front","1","Prunus serrulata 'Kwanzan'","24.0","No","Lawn Strip","3.0"
"POINT (-71.40059661780764 41.85425298983613)","1253",,"N MAIN ST","N MAIN ST","7TH ST","8TH ST","Median","2","Ulmus parvifolia","7.5","No","Lawn Strip","3.0"
"POINT (-71.44705896639539 41.80833442428212)","114",,"DORA ST","DORA ST","PRISCILLA AVE","WEBSTER AVE","Front","1","Prunus serrulata 'Kwanzan'","6.0","No","Sidewalk Pit","15.0"
"POINT (-71.43807746308866 41.8299861675722)","111",,"REGENT AVE","REGENT AVE","RIVER AVE","HAROLD ST","Front","2","Fraxinus pennsylvanica","7.0","No","Sidewalk Pit","6.0"
"POINT (-71.41099345270416 41.788659903361065)","162",,"VERNDALE AVE","VERNDALE AVE","BABCOCK ST","OGANDO ST","Front","1","Fraxinus pennsylvanica","17.0","No","Lawn Strip","9.0"
"POINT (-71.40598413789846 41.83548741531196)","77",,"OLNEY ST","OLNEY ST","PROSPECT ST","BROWN ST","Front","1","Malus spp","14.4","Yes","Sidewalk Pit","2.0"
"POINT (-71.39371498918815 41.82010136911224)","455",,"WICKENDEN ST","WICKENDEN ST","EAST ST","GOVERNOR ST","Front","7","Tilia americana","3.5","No","Sidewalk Pit","1.0"
"POINT (-71.42152961158331 41.804195470498016)","46",,"DABOLL ST","DABOLL ST","UPDIKE ST","BROAD ST","Front","1","Pyrus calleryana","10.0","Yes","Sidewalk Pit","11.0"
"POINT (-71.38917879836092 41.83399915531697)","336",,"WAYLAND AVE","WAYLAND AVE","LLOYD AVE","UNIVERSITY AVE","Front","1","Tilia americana","8.0","Yes","Lawn Strip","2.0"
"POINT (-71.40770516116567 41.791111362496686)","31",,"VERNDALE AVE","VERNDALE AVE","BROAD ST","BERNARD ST","Front","1","Sophora spp.","11.0","Yes","Lawn Strip","9.0"
"POINT (-71.44866514789639 41.828589015432065)","31",,"CHAUCER ST","CHAUCER ST","CARLETON ST","MT PLEASANT AVE","Front","1","Pyrus calleryana","10.0","Yes","Sidewalk Pit","6.0"
"POINT (-71.45002579402863 41.848562334543786)","26",,"LOTUS PL","ARDMORE AVE","LOTUS PL","FORBES ST","Side","1","Acer platanoides","14.0","None","Lawn Strip","5.0"
"POINT (-71.42812277962818 41.81430271241659)","54",,"HAMMOND ST","HAMMOND ST","DURFEE ST","WESTMINSTER ST","Front","1","Gleditsia triacanthos","6.5","No","Lawn Strip","13.0"
"POINT (-71.45058239676786 41.848369893524996)","86",,"GENTIAN AVE","GENTIAN AVE","ISABELLA AVE","SMITH ST","Front","1","Acer platanoides","23.0","No","Lawn Strip","5.0"
"POINT (-71.45104426729308 41.82882335438869)","132",,"FAIRVIEW ST","FAIRVIEW ST","MT PLEASANT AVE","LEAH ST","Front","1","Prunus serrulata 'Kwanzan'","11.0","Yes","Sidewalk Pit","6.0"
"POINT (-71.43897460034938 41.835587084392735)","281",,"RIVER AVE","PLEASANT VALLEY PKWY","WYNDHAM AVE","RIVER AVE","Side","2","Ulmus x","10.0","No","Lawn - No Sidewalk","5.0"
"POINT (-71.38852676021816 41.850909082503065)","760",,"ELMGROVE AVE","ELMGROVE AVE","BLACKSTONE BLVD","WESTFORD RD","Front","6","Fraxinus pennsylvanica","18.8","No","Lawn Strip","3.0"
"POINT (-71.43016125845995 41.81654463704034)","6",,"HARRISON ST","HARRISON ST","DURFEE ST","WESTMINSTER ST","Front","3","Zelkova serrata","5.5","Yes","Sidewalk Pit","13.0"
"POINT (-71.39980467744478 41.84662710453208)","142","No","ROCHAMBEAU AVE","ROCHAMBEAU AVE","SUMMIT AVE","ROCHAMBEAU AVE","Front","2","Fraxinus pennsylvanica","12.0","No","Lawn Strip","3.0"
"POINT (-71.45032007085902 41.82895926059585)","117",,"FAIRVIEW ST","FAIRVIEW ST","MT PLEASANT AVE","LEAH ST","Front","1","Fraxinus pennsylvanica","11.0","No","Lawn Strip","6.0"
"POINT (-71.39396342719735 41.83890008635893)","303",,"TABER AVE","DOYLE AVE","TABER AVE","ELMGROVE AVE","Side","1","Acer platanoides","18.1","No","Lawn Strip","3.0"
"POINT (-71.44867167438817 41.83468697593869)","84",,"GLOVER ST","GLOVER ST","LINDY AVE","KIMBALL ST","Front","2","Fraxinus pennsylvanica","5.0","Yes","Lawn Strip","5.0"
"POINT (-71.39432116842515 41.82335298917027)","183",,"POWER ST","GOVERNOR ST","POWER ST","WILLIAMS ST","Side","2","Ostrya virginiana","3.2","No","Lawn Strip","1.0"
"POINT (-71.40436578381097 41.831428506235795)","62",,"LLOYD AVE","LLOYD AVE","BROWN ST","PROSPECT ST","Front","1","Quercus rubra","7.5","No","Lawn Strip","2.0"
"POINT (-71.39391785937214 41.82653972989201)","73",,"MANNING ST","GOVERNOR ST","MANNING ST","GEORGE ST","Side","2","Malus spp","1.6","No","Sidewalk Pit","1.0"
"POINT (-71.39435646767829 41.78715503538359)","138",,"ALABAMA AVE","ALABAMA AVE","NARRAGANSETT BLVD","MICHIGAN AVE","Front","1","Gleditsia triacanthos","5.5","Yes","Lawn Strip","10.0"
"POINT (-71.42419592618795 41.814842922003)","120",,"DODGE ST","A ST","LESTER ST","BOOTH ST","Side","1","Acer platanoides","22.0","No","Sidewalk Pit","11.0"
"POINT (-71.44784699458765 41.8329508463358)","1183",,"CHALKSTONE AVE","CHALKSTONE AVE","CLEMATIS ST","ROWAN ST","Front","2","Fraxinus pennsylvanica","12.5","No","Sidewalk Pit","5.0"
"POINT (-71.4089461280067 41.82718123615963)","20",,"WASHINGTON PL","N MAIN ST","STEEPLE ST","WASHINGTON PL","Side","5","Zelkova serrata","2.0","No","Lawn Strip","1.0"
"POINT (-71.443784225633 41.843487999651245)","445",,"EATON ST","EATON ST","JASTRAM ST","NELSON ST","Front","1","Quercus palustris","25.0","No","Sidewalk Pit","14.0"
"POINT (-71.3991041052171 41.78627398112217)","254",,"ALABAMA AVE","ALABAMA AVE","MONTGOMERY AVE","VIRGINIA AVE","Front","1","Acer platanoides","25.0","Yes","Lawn Strip","10.0"
"POINT (-71.43541034149851 41.81083622066772)","161",,"MESSER ST","MESSER ST","WENDELL ST","ROSEDALE ST","Front","2","Gleditsia triacanthos","6.0","No","Sidewalk Pit","13.0"
"POINT (-71.39837076942173 41.84494920970144)","19",,"HART ST","HART ST","IVY ST","FIRGLADE AVE","Front","1","Acer platanoides","12.0","No","Lawn Strip","3.0"
"POINT (-71.39262039053834 41.84545123520849)","63",,"WOODBURY ST","WOODBURY ST","MORRIS AVE","ELMGROVE AVE","Front","2","Pyrus calleryana","9.0","Yes","Lawn Strip","3.0"
"POINT (-71.41752294694162 41.80744261459624)","314",,"WILLARD AVE","WILLARD AVE","PRAIRIE AVE","TAYLOR ST","Front","2","Acer rubrum","26.0","No","Sidewalk Pit","11.0"
"POINT (-71.42214788545104 41.801971203026554)","414",,"POTTERS AVE","POTTERS AVE","HAMILTON ST","NIAGARA ST","Front","1","Amelanchier canadensis","1.3","Yes","Sidewalk Pit","9.0"
"POINT (-71.43447425055292 41.813078266614404)","66",,"HUDSON ST","SYCAMORE ST","CHAPIN AVE","WESTMINSTER ST","Side","2","Platanus x acerifolia","13.0","No","Lawn Strip","13.0"
"POINT (-71.44450923210883 41.83667164889949)","430","Y","ACADEMY AVE","ACADEMY AVE","PLEASANT VALLEY PKWY","MOORLAND AVE","Median","1","Acer rubrum","16.0","Yes","Lawn - No Sidewalk","5.0"
"POINT (-71.4038963972346 41.821143685246064)","17",,"JAMES ST","S MAIN ST","WICKENDEN ST","POWER ST","Side","2","Ulmus spp.","1.25","No","Sidewalk Pit","1.0"
"POINT (-71.4192909358747 41.79838109150868)","86",,"ATLANTIC AVE","ATLANTIC AVE","HAMILTON ST","NIAGARA ST","Front","1","Zelkova serrata","9.0","Yes","Sidewalk Pit","9.0"
"POINT (-71.40751612574539 41.82743205337012)","30",,"WATERMAN ST","BENEFIT ST","WATERMAN ST","ANGELL ST","Side","2","Gleditsia triacanthos","23.1","No","Sidewalk Pit","2.0"
"POINT (-71.3928836176118 41.82436016236819)","34",,"PRESTON ST","PRESTON ST","IVES ST","GOVERNOR ST","Front","1","Malus spp","4.0","No","Sidewalk Pit","1.0"
"POINT (-71.42234185602919 41.78659654825166)","238",,"NARRAGANSETT AVE","BURROWS ST","NARRAGANSETT AVE","NONE","Side","3","Quercus palustris","26.0","No","Lawn - No Sidewalk","8.0"
"POINT (-71.42386812555733 41.83341702413343)","348",,"ORMS ST","ORMS ST","BATH ST","SMITH ST","Front","1","Prunus serrulata 'Kwanzan'","8.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.42535138714413 41.85919471353954)","260",,"LANGDON ST","UDELL ST","DEAD END","LANGDON ST","Side","1","Platanus x acerifolia","15.0","No","Lawn - No Sidewalk","4.0"
"POINT (-71.40990473499055 41.78944425397103)","118",,"VERNDALE AVE","VERNDALE AVE","OGANDO ST","CACTUS ST","Front","1","Fraxinus pennsylvanica","11.0","No","Lawn Strip","9.0"
"POINT (-71.43317539083927 41.82100376471375)","102",,"PENN ST","PENN ST","ALMY ST","COURTLAND ST","Front","1","Pyrus calleryana","14.5","Yes","Sidewalk Pit","13.0"
"POINT (-71.40731410371562 41.81792287892661)","365",,"EDDY ST","EDDY ST","ELM ST","SOUTH ST","Front","4","Zelkova serrata","1.0","No","Sidewalk Pit","1.0"
"POINT (-71.39113645840193 41.84379553517308)","80",,"FAUNCE DR","MAXCY DR","FAUNCE DR","BARBOUR DR","Side","1","Prunus spp.","23.0","No","Lawn - No Sidewalk","2.0"
"POINT (-71.4342455921908 41.81752164380649)","24",,"HARKNESS ST","HARKNESS ST","MEADER ST","WESTMINSTER ST","Front","1","Syringa reticulata","1.0","Yes","Sidewalk Pit","13.0"
"POINT (-71.38863731015229 41.84484125763195)","14",,"RAY ST","RAY ST","SLATER AVE","COLE AVE","Front","1","Cornus florida","24.5","Yes","Lawn Strip","2.0"
"POINT (-71.43248271036099 41.81899037433678)","438",,"BROADWAY","BROADWAY","ALMY ST","MARSHALL ST","Front","1","Amelanchier canadensis","11.0","No","Sidewalk Pit","13.0"
"POINT (-71.4210799692989 41.821027948069975)","75",,"CARPENTER ST","CARPENTER ST","SERVICE RD","DEAN ST","Front","1","Quercus palustris","3.0","No","Sidewalk Pit","13.0"
"POINT (-71.43800747791795 41.80636772198483)","188",,"WADSWORTH ST","WADSWORTH ST","SORRENTO ST","CRANSTON ST","Front","1","Pyrus calleryana","6.5","No","Sidewalk Pit","8.0"
"POINT (-71.39271024454268 41.85021293856575)","222",,"6TH ST","6TH ST","LORIMER AVE","HOPE ST","Front","1","Pyrus calleryana","4.0","No","Sidewalk Pit","3.0"
"POINT (-71.43588106918237 41.81405782514079)","91",,"WILLOW ST","WILLOW ST","PARADE ST","MESSER ST","Front","1","Celtis spp.","6.0","No","Lawn Strip","13.0"
"POINT (-71.40680609111371 41.81666969969356)","82",,"POINT ST","POINT ST","RICHMOND ST","EDDY ST","Front","3","Acer rubrum","2.5","No","Sidewalk Pit","1.0"
"POINT (-71.43702972519132 41.81041189239828)","46",,"ROSEDALE ST","ROSEDALE ST","ELLERY ST","MESSER ST","Front","1","Pyrus calleryana","9.0","No","Sidewalk Pit","13.0"
"POINT (-71.38060007084127 41.83290491173535)","75",,"E ORCHARD ST","PARKSIDE RD","E ORCHARD ST","ORIOLE AVE","Side","1","Acer platanoides","16.2","Yes","Lawn Strip","2.0"
"POINT (-71.43390845350001 41.8081982708359)","554",,"CRANSTON ST","CRANSTON ST","DEXTER ST","CRANSTON ST","Side","2","Pyrus calleryana","5.0","Yes","Lawn Strip","8.0"
"POINT (-71.3901661371616 41.83603652062139)","400",,"WAYLAND AVE","EVERETT AVE","ELMGROVE AVE","WAYLAND AVE","Side","1","Zelkova serrata","20.0","No","Lawn Strip","2.0"
"POINT (-71.41307353561714 41.79682288995525)","1021",,"BROAD ST","BROAD ST","GALLATIN ST","WARRINGTON ST","Front","4","Gleditsia triacanthos inermis","6.0","No","Sidewalk Pit","9.0"
"POINT (-71.4491474142493 41.8456259246947)","49",,"RAVENSWOOD AVE","RAVENSWOOD AVE","FORBES ST","RAVENSWOOD AVE","Side","1","Fraxinus pennsylvanica","10.0","None","Lawn Strip","5.0"
"POINT (-71.40255289281835 41.78733189776015)","1474",,"BROAD ST","BROAD ST","WASHINGTON AVE","VERMONT AVE","Median","8","Quercus palustris","10.0","No","Lawn Strip","10.0"
"POINT (-71.3986085784236 41.84746851677195)","11","No","COLONIAL RD","COLONIAL RD","SUMMIT AVE","CAMP ST","Front","2","Quercus palustris","17.0","Yes","Lawn Strip","3.0"
"POINT (-71.40121651137298 41.83346448803319)","307",,"HOPE ST","HOPE ST","LLOYD AVE","ALUMNI AVE","Front","3","Acer rubrum","1.7","No","Sidewalk Pit","2.0"
"POINT (-71.40014729124567 41.78731969039603)","270",,"WASHINGTON AVE","WASHINGTON AVE","BROAD ST","VIRGINIA AVE","Front","1","Acer platanoides","24.5","Yes","Lawn Strip","10.0"
"POINT (-71.45062811171486 41.841974040043375)","42",,"TRINITY PKWY","TRINITY PKWY","CATHEDRAL AVE","MISSION PL","Median","2","Quercus palustris","18.0","No","Lawn - No Sidewalk","5.0"
"POINT (-71.39323799961815 41.85539899693439)","63",,"12TH ST","12TH ST","TOP ST","HOPE ST","Front","1","Zelkova serrata","18.0","No","Lawn Strip","3.0"
"POINT (-71.40887323606512 41.80757196934986)","252",,"RHODES ST","RHODES ST","PLAIN ST","EDDY ST","Front","1","Malus spp","3.0","Yes","Sidewalk Pit","11.0"
"POINT (-71.42676222915368 41.789813448439666)","54",,"DELMAR ST","LOUIS AVE","DELMAR ST","WILDWOOD AVE","Side","1","Acer platanoides","14.0","Yes","Lawn Strip","8.0"
"POINT (-71.43464591188138 41.81406882014841)","62",,"WILLOW ST","WILLOW ST","CHAPIN AVE","WESTMINSTER ST","Side","2","Fraxinus pennsylvanica","6.0","No","Lawn Strip","13.0"
"POINT (-71.42158089801391 41.80139386822531)","76",,"LAURA ST","LAURA ST","HAMILTON ST","NIAGARA ST","Front","1","Acer rubrum","8.0","Yes","Sidewalk Pit","9.0"
"POINT (-71.39325613831976 41.82556531194853)","15",,"E GEORGE ST","E GEORGE ST","GOVERNOR ST","IVES ST","Front","1","Celtis spp.","5.0","Yes","Sidewalk Pit","1.0"
"POINT (-71.39536898422716 41.8451969760178)","453",,"MORRIS AVE","MORRIS AVE","SARGENT AVE","VASSAR AVE","Front","2","Malus spp","5.0","Yes","Lawn Strip","3.0"
"POINT (-71.44292522060958 41.8477639983438)","435",,"SHARON ST","SHARON ST","APRIL CT","ADMIRAL ST","Front","1","Acer negundo","3.5","Yes","Sidewalk Pit","14.0"
"POINT (-71.42980266615096 41.80772171721954)","126",,"BELLEVUE AVE","BELLEVUE AVE","CRANSTON ST","DEXTER ST","Front","2","Acer saccharinum","10.0","Yes","Lawn Strip","8.0"
"POINT (-71.43293600368327 41.81122955897064)","40",,"WENDELL ST","WENDELL ST","SUPERIOR ST","CRANSTON ST","Front","1","Acer platanoides","36.0","Yes","Sidewalk Pit","11.0"
"POINT (-71.44975493170777 41.832198112869726)","1246",,"CHALKSTONE AVE","MT PLEASANT AVE","LEAH ST","MT PLEASANT AVE","Side","5","Pyrus calleryana","7.0","Yes","Lawn Strip","5.0"
"POINT (-71.39265866416297 41.849363676321545)","239",,"5TH ST","5TH ST","HOPE ST","LORIMER AVE","Front","1","Prunus spp.","2.0","No","Lawn Strip","3.0"
"POINT (-71.41994161800694 41.83363781319234)","17","Y","WINSOR ST","WINSOR ST","COMMON ST","ORMS ST","Front","2","Gleditsia triacanthos","9.0","Yes","Sidewalk Pit","12.0"
"POINT (-71.42595890748484 41.84472142369463)","38",,"COGGESHALL ST","COGGESHALL ST","NEWCOMB ST","MOWRY ST","Front","2","Acer rubrum","19.0","No","Sidewalk Pit","4.0"
"POINT (-71.42240213526973 41.80049918520533)","101",,"MITCHELL ST","MITCHELL ST","HAMILTON ST","MELROSE ST","Front","1","Gleditsia triacanthos","1.0","No","Sidewalk Pit","9.0"
"POINT (-71.43639007102415 41.791042458874266)","23",,"TOGANSETT RD","TOGANSETT RD","NIANTIC AVE","LAKEVIEW DR","Front","1","Fraxinus pennsylvanica","12.0","No","Lawn - No Sidewalk","8.0"
"POINT (-71.45088560375446 41.84107383915953)","20",,"MISSION PL","MISSION PL","TRINITY PKWY","DEAD END","Front","2","Hibiscus syriacus","4.0","Yes","Lawn - No Sidewalk","5.0"
"POINT (-71.39586880633959 41.82755870199979)","151",,"WATERMAN ST","WATERMAN ST","COOKE ST","HOPE ST","Front","1","Acer platanoides","3.0","No","Sidewalk Pit","1.0"
"POINT (-71.44400528076582 41.82227553384615)","57",,"PUTNAM ST","PUTNAM ST","KOSSUTH ST","AMHERST ST","Front","2","Platanus x acerifolia","2.0","Yes","Sidewalk Pit","15.0"
"POINT (-71.3980827483126 41.82413507008997)","75",,"CHARLESFIELD ST","CHARLESFIELD ST","HOPE ST","CHARLESFIELD ST","Front","1","Tilia cordata","10.0","No","Lawn Strip","1.0"
"POINT (-71.3926847635542 41.845455231415315)","63",,"WOODBURY ST","WOODBURY ST","MORRIS AVE","ELMGROVE AVE","Front","1","Pyrus calleryana","9.0","Yes","Lawn Strip","3.0"
"POINT (-71.41030285346763 41.80657531744605)","290",,"PUBLIC ST","PUBLIC ST","OCEAN ST","PLAIN ST","Front","1","Pyrus calleryana","4.1","Yes","Sidewalk Pit","10.0"
"POINT (-71.42428251687174 41.80482088872657)","121",,"MOORE ST","MOORE ST","UPDIKE ST","ELMWOOD AVE","Front","1","Tilia cordata","7.0","No","Lawn Strip","11.0"
"POINT (-71.41916554256007 41.81079373799232)","171",,"WEST CLIFFORD ST","WEST CLIFFORD ST","SOMERSET ST","DUDLEY ST","Front","2","Koelrenteria paniculata","2.0","No","Sidewalk Pit","11.0"
"POINT (-71.39143615550682 41.82651838609447)","50",,"PITMAN ST","PITMAN ST","IVES ST","GANO ST","Front","1","Quercus phellos","25.0","Yes","Sidewalk Pit","1.0"
"POINT (-71.40305735893855 41.83219216731756)","68",,"KEENE ST","KEENE ST","THAYER ST","BROWN ST","Front","3","Acer saccharinum","2.6","Yes","Sidewalk Pit","2.0"
"POINT (-71.44821489244983 41.8499970361191)","149",,"ISABELLA AVE","FUNSTON AVE","CLOVE ST","GENTIAN AVE","Rear","1","Quercus palustris","33.0","No","Lawn - No Sidewalk","14.0"
"POINT (-71.45400809827245 41.810488482794824)","170",,"POCASSET AVE","LAUREL HILL AVE","BARROWS ST","LAUREL HILL AVE","Side","1","Fraxinus pennsylvanica","16.0","No","Sidewalk Pit","7.0"
"POINT (-71.44276026475312 41.84688385946072)","405",,"SHARON ST","STONELAW AVE","SHARON ST","RIVER AVE","Side","2","Quercus palustris","32.0","None","Lawn Strip","14.0"
"POINT (-71.4405072091793 41.840065482907725)","448",,"RIVER AVE","RIVER AVE","WHITFORD AVE","WABUN AVE","Front","1","Betula nigra","4.0","No","Lawn Strip","5.0"
"POINT (-71.41695473182116 41.82211987231263)","217",,"WASHINGTON ST","EMPIRE ST","EMPIRE ST","GREENE ST","Side","3","Tilia americana","6.0","No","Sidewalk Pit","1.0"
"POINT (-71.39803098646306 41.843102028389914)","606",,"HOPE ST","HOPE ST","ELGIN ST","FOREST ST","Front","1","Gleditsia triacanthos","12.0","Yes","Lawn Strip","3.0"
"POINT (-71.42067798025404 41.78424344447303)","39",,"ALGER AVE","ALGER AVE","CARLISLE ST","DEPEW ST","Front","1","Platanus x acerifolia","3.0","None","Lawn Strip","8.0"
"POINT (-71.42363920874357 41.80842405941068)","206",,"ELMWOOD AVE","DARTMOUTH AVE","ELMWOOD AVE","BROAD ST","Side","13","Acer platanoides","9.0","Yes","Lawn Strip","11.0"
"POINT (-71.38910458574688 41.84509706059302)","381",,"COLE AVE","COLE AVE","SESSIONS ST","ROCHAMBEAU AVE","Front","1","Fraxinus spp.","13.0","Yes","Lawn Strip","2.0"
"POINT (-71.39924543943347 41.84322371907173)","62",,"FOREST ST","FOREST ST","IVY ST","HOPE ST","Front","1","Acer platanoides","21.6","No","Lawn Strip","3.0"
"POINT (-71.39908250260491 41.82245792390006)","101",,"POWER ST","WILLIAMS ST","BROOK ST","THAYER ST","Side","3","Koelrenteria paniculata","2.5","Yes","Sidewalk Pit","1.0"
"POINT (-71.38541383343481 41.843555336279)","18",,"BROOKWAY RD","BROOKWAY RD","BLACKSTONE BLVD","GROTTO AVE","Front","1","Juglans nigra","3.0","Yes","Lawn Strip","2.0"
"POINT (-71.42560064367643 41.81197817143566)","42",,"ARCH ST","ARCH ST","GILMORE ST","ELMWOOD AVE","Front","1","Prunus spp.","18.0","No","Lawn Strip","11.0"
"POINT (-71.39848638165157 41.791270215603895)","150",,"CAROLINA AVE","CAROLINA AVE","VIRGINIA AVE","ALLENS AVE","Front","4","Platanus x acerifolia","2.0","No","Sidewalk Pit","10.0"
"POINT (-71.40853527772693 41.816122845360056)","131",,"POINT ST","POINT ST","CHESTNUT ST","PARSONAGE ST","Front","2","Ulmus spp.","17.0","No","Sidewalk Pit","1.0"
"POINT (-71.39124639684402 41.83569679212524)","179",,"ELMGROVE AVE","ELMGROVE AVE","PRESIDENT AVE","EVERETT AVE","Front","1","Zelkova serrata","17.0","Yes","Lawn Strip","2.0"
"POINT (-71.40980580550844 41.8366248937869)","520",,"N MAIN ST","N MAIN ST","HEWES ST","OLNEY ST","Median","2","Pyrus calleryana","24.0","No","Unassigned","3.0"
"POINT (-71.41413371849245 41.85191876969379)","2",,"HORTON ST","NORTHUP AVE","NORTHUP AVE","DEAD END","Side","3","Ulmus spp.","3.0","No","Sidewalk Pit","4.0"
"POINT (-71.42877455639574 41.81697342242063)","1205",,"WESTMINSTER ST","WESTMINSTER ST","BRIDGHAM ST","COURTLAND ST","Front","1","Acer rubrum","9.0","Yes","Lawn Strip","13.0"
"POINT (-71.43173303294081 41.81194275961858)","9",,"CHAPIN AVE","CHAPIN AVE","PARADE ST","MESSER ST","Front","1","Acer platanoides","6.5","Yes","Sidewalk Pit","13.0"
"POINT (-71.42092369088371 41.80669776013695)","21",,"PEACE ST","PEACE ST","BROAD ST","UPDIKE ST","Front","5","Malus spp","12.0","Yes","Sidewalk Pit","11.0"
"POINT (-71.40816162702089 41.78763360679172)","65",,"CACTUS ST","CACTUS ST","CARR ST","HOMER ST","Front","1","Gleditsia triacanthos","6.0","Yes","Sidewalk Pit","9.0"
"POINT (-71.41789275555671 41.7966828189766)","101",,"SUMTER ST","SUMTER ST","HAMILTON ST","NIAGARA ST","Front","1","Zelkova serrata","10.0","No","Lawn Strip","9.0"
"POINT (-71.42113488114924 41.782940902124636)","91",,"ALGER AVE","ALGER AVE","DEPEW ST","WHITNEY ST","Front","2","Quercus bicolor","6.0","None","Lawn Strip","8.0"
"POINT (-71.39887597251317 41.8193726685162)","217",,"WICKENDEN ST","WICKENDEN ST","BENEFIT ST","BROOK ST","Front","1","Ulmus parvifolia","9.5","No","Sidewalk Pit","1.0"
"POINT (-71.40861562471437 41.79048074559885)","67",,"VERNDALE AVE","VERNDALE AVE","BERNARD ST","CACTUS ST","Front","1","Malus domestica","4.0","Yes","Lawn Strip","9.0"
"POINT (-71.43144603657562 41.81762509073963)","359",,"CARPENTER ST","CARPENTER ST","MARSHALL ST","COURTLAND ST","Front","7","Pyrus calleryana","20.0","Yes","Lawn Strip","13.0"
"POINT (-71.41948070216161 41.804498492977025)","5",,"DABOLL ST","DABOLL ST","PUBLIC ST","ELMWOOD AVE","Side","1","Gleditsia triacanthos","17.0","No","Sidewalk Pit","11.0"
"POINT (-71.45002628939984 41.83414693379652)","283",,"MT PLEASANT AVE","MT PLEASANT AVE","CHALKSTONE AVE","GLOVER ST","Front","1","Gleditsia triacanthos","26.0","No","Lawn Strip","5.0"
"POINT (-71.40409931957673 41.8398018338292)","94",,"CAMP ST","CAMP ST","JENKINS ST","PLEASANT ST","Front","1","Fraxinus spp.","5.0","Yes","Sidewalk Pit","3.0"
"POINT (-71.45016447289821 41.81519753108218)","50",,"HEATH ST","LABAN ST","EASTWOOD AVE","LABAN ST","Side","1","Liquidambar styraciflua","18.0","No","Sidewalk Pit","15.0"
"POINT (-71.43581200229727 41.816110351530504)","1577",,"WESTMINSTER ST","WESTMINSTER ST","BAINBRIDGE AVE","BARTON ST","Front","1","Crataegus crus-gali var. inermis","3.0","No","Sidewalk Pit","13.0"
"POINT (-71.3989275625161 41.8302319238064)","172",,"CUSHING ST","CUSHING ST","HOPE ST","BROOK ST","Front","1","Acer rubrum","5.4","No","Lawn Strip","2.0"
"POINT (-71.39276254761522 41.822219563987055)","19",,"FREMONT ST","FREMONT ST","GOVERNOR ST","IVES ST","Front","1","Pyrus calleryana","13.4","Yes","Sidewalk Pit","1.0"
"POINT (-71.42881007345535 41.790803588957125)","231",,"RESERVOIR AVE","RESERVOIR AVE","CRESCENT ST","NIANTIC AVE","Front","1","Zelkova serrata","2.0","Yes","Lawn Strip","8.0"
"POINT (-71.38986892622847 41.835417797667326)","99",,"PRESIDENT AVE","PRESIDENT AVE","HOBART AVE","WAYLAND AVE","Front","4","Prunus serrulata 'Kwanzan'","34.0","Yes","Lawn Strip","2.0"
"POINT (-71.41846780200551 41.77964351754541)","44",,"STAMFORD AVE","DIXON ST","STAMFORD AVE","DEAD END","Side","2","Tilia spp.","6.1","No","Lawn - No Sidewalk","8.0"
