"plate_no","year_make","vin_number","days_registered","original_value","tax_exemption_on_original_value","adjusted_net_value","original_tax","value_less_5","new_2017_tax","savings"
"83307","98 ESC","405117CA4WT000025","228","327.37","311.00","16.37","0.98","311.00",,"0.98"
"MC 701","06 HOND","1HGCM56456A177852","111","2002.11","607.00","1395.11","83.71","1902.00","77.72","5.99"
"389615","03 JAGU","SAJEA51C43WD40900","58","629.47","317.00","312.47","18.75","598.00","16.88","1.87"
"956757","04 ACUR","2HNYD18214H552587","54","1121.05","295.00","826.05","49.56","1065.00","46.20","3.36"
"74245","03 CHEV","1GCFG15T031188192","20","275.79","109.00","166.79","10.01","262.00","9.20","0.81"
"56440","07 CHEV","1GCHG39U471148906","348","8818.95","1902.00","6916.95","415.02","8378.00","388.56","26.46"
"59791","00 TOYT","5TBBT4410YS067581","182","262.11","249.00","13.11","0.79","249.00",,"0.79"
"506633","07 NISS","1N4BL21E57C126181","223","4249.47","1219.00","3030.47","181.83","4037.00","169.08","12.75"
"908489","06 CHRY","2C3KA53G46H220925","270","5218.95","1475.00","3743.95","224.64","4958.00","209.00","15.64"
"KA 470","03 CHEV","1GNET16S336109251","170","2346.32","929.00","1417.32","85.04","2229.00","78.00","7.04"
"951702","14 FORD","3FA6P0K96ER358587","263","12503.16","1437.00","11066.16","663.97","11878.00","626.48","37.49"
"KP 741","13 JEEP","1C4NJPBA1DD139084","206","6472.63","1126.00","5346.63","320.80","6149.00","301.40","19.40"
"58642","09 GMC","1GTDT19E798151493","96","2557.89","525.00","2032.89","121.97","2430.00","114.32","7.65"
"58642","09 GMC","1GTDT19E798151493","271","7220.00","1481.00","5739.00","344.34","6859.00","322.68","21.66"
"738612","13 TOYT","4T1BD1FK8DU088804","33","1260.00","180.00","1080.00","64.80","1197.00","61.04","3.76"
"729751","17 TOYT","4T1BF1FK5HU305967","65","4096.84","355.00","3741.84","224.51","3892.00","212.24","12.27"
"KT 542","11 TOYT","5TDBK3EH0BS052635","149","7032.63","814.00","6218.63","373.12","6681.00","352.04","21.08"
"TC 229","05 TOYT","5TDBA23C25S047963","184","3104.21","1005.00","2099.21","125.95","2949.00","116.64","9.31"
"MU 710","00 FORD","1FAFP3831YW166225","76","109.47","104.00","5.47","0.33","104.00",,"0.33"
"LJ 923","02 FORD","1FMZU75W02UB26819","143","1885.26","781.00","1104.26","66.26","1791.00","60.60","5.66"
"431963","05 TOYT","4T1BK36B55U006580","206","4348.42","1126.00","3222.42","193.35","4131.00","180.32","13.03"
"54865","96 CHEV","1GCGG35K2TF104397","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"59921","85 CHEV","1GCGP32MXF3314306","366","510.53","485.00","25.53","1.53","485.00",,"1.53"
"40946","01 CHEV","1GCHK29U41E283442","91","130.53","124.00","6.53","0.39","124.00",,"0.39"
"36104","15 CHEV","1GCHSAEA6F1181600","366","17274.74","2000.00","15274.74","916.48","16411.00","864.68","51.80"
"60246","16 CHEV","1GCHSBE30G1133597","366","18925.26","2000.00","16925.26","1015.52","17979.00","958.76","56.76"
"148","11 CHEV","1GCRKSE3XBZ292528","366","20750.53","2000.00","18750.53","1125.03","19713.00","1062.80","62.23"
"62843","14 CHEV","1GCSGAFX1E1179844","366","18125.26","2000.00","16125.26","967.52","17219.00","913.16","54.36"
"111942","11 CHEV","1GCSHAF48B1125858","366","16400.00","2000.00","14400.00","864.00","15580.00","814.80","49.20"
"48294","15 CHEV","1GCVKREH7FZ190015","91","7465.26","497.00","6968.26","418.10","7092.00","395.72","22.38"
"52818","15 CHEV","1GCVKSEC3FZ164684","366","32550.53","2000.00","30550.53","1833.03","30923.00","1735.40","97.63"
"103679","12 CHEV","1GCWGFCA8C1184552","366","16325.26","2000.00","14325.26","859.52","15509.00","810.56","48.96"
"7210","15 CHEV","1GCWGFCF7F1199589","366","22600.00","2000.00","20600.00","1236.00","21470.00","1168.20","67.80"
"57421","15 CHEV","1GCWGFCF7F1261153","366","22600.00","2000.00","20600.00","1236.00","21470.00","1168.20","67.80"
"105789","15 CHEV","1GCWGFCFXF1282627","366","22600.00","2000.00","20600.00","1236.00","21470.00","1168.20","67.80"
"31302","15 CHEV","1GCWGGCF7F1237375","366","23500.00","2000.00","21500.00","1290.00","22325.00","1219.52","70.48"
"64436","15 GMC","1GD311CG1FF576092","366","34074.74","2000.00","32074.74","1924.48","32371.00","1822.28","102.20"
"22062","05 GMC","1GDJC34GX5E149722","366","9274.74","2000.00","7274.74","436.48","8811.00","408.68","27.80"
"51146","06 GMC","1GDJC34U86E249700","366","10774.74","2000.00","8774.74","526.48","10236.00","494.16","32.32"
"28792","09 GMC","1GDJG31K191901432","366","12350.53","2000.00","10350.53","621.03","11733.00","584.00","37.03"
"49387","02 GMC","1GDJG31R521187615","91","1268.42","497.00","771.42","46.29","1205.00","42.48","3.81"
"48964","04 GMC","1GDJG31U341154037","91","1510.53","497.00","1013.53","60.81","1435.00","56.28","4.53"
"34932","96 GMC","1GDKC34F8TJ514964","91","130.53","124.00","6.53","0.39","124.00",,"0.39"
"1100","99 GMC","1GDL7T1JXWJ510517","213","306.32","291.00","15.32","0.92","291.00",,"0.92"
"7697","10 CADI","1GEGK0CY8AU500497","366","12149.47","2000.00","10149.47","608.97","11542.00","572.52","36.45"
"413158","16 GMC","1GKKVRKD4GJ156033","366","35650.53","2000.00","33650.53","2019.03","33868.00","1912.08","106.95"
"GA 491","12 GMC","1GKS2EEF3CR139881","31","2809.47","169.00","2640.47","158.43","2669.00","150.00","8.43"
"BZ 190","04 CHEV","1GNDX03E04D243107","152","1464.21","831.00","633.21","37.99","1391.00","33.60","4.39"
"633","11 CHEV","1GNKVGED6BJ368010","366","14974.74","2000.00","12974.74","778.48","14226.00","733.56","44.92"
"DT 571","11 CHEV","1GNSKCE05BR129838","366","28800.00","2000.00","26800.00","1608.00","27360.00","1521.60","86.40"
"EO 592","15 CHEV","1GNSKJKC3FR161650","366","43225.26","2000.00","41225.26","2473.52","41064.00","2343.84","129.68"
"59763","87 GREA","1GRDM9029HJ007018","91","127.37","121.00","6.37","0.38","121.00",,"0.38"
"74697","88 GDAN","1GRDM9620JJ007101","366","510.53","485.00","25.53","1.53","485.00",,"1.53"
"64471","15 GMC","1GT120E87FF661754","366","46500.00","2000.00","44500.00","2670.00","44175.00","2530.52","139.48"
"62851","15 GMC","1GT421CG3FF641837","366","31750.53","2000.00","29750.53","1785.03","30163.00","1689.80","95.23"
"57466","01 GMC","1GTDL19W51B503888","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"10404","91 VOLK","3VWRA21GXMM008361","39","55.79","53.00","2.79","0.17","53.00",,"0.17"
"59843","97 FORD","1FDKF38F6VEA43717","126","181.05","172.00","9.05","0.54","172.00",,"0.54"
"119514","02 FORD","1FTNX21L82ED20212","290","6358.95","1585.00","4773.95","286.44","6041.00","267.36","19.08"
"338732","16 CHEV","1G1YR2D6XG5612618","152","32289.47","831.00","31458.47","1887.51","30675.00","1790.64","96.87"
"653543","13 BMW","WBAFU7C57DDU66938","66","5044.21","361.00","4683.21","280.99","4792.00","265.88","15.11"
"124483","13 TOYT","5TFUY5F15DX288599","219","15751.58","1197.00","14554.58","873.27","14964.00","826.04","47.23"
"LN 990","11 TOYT","4T4BF3EK0BR108179","366","10100.00","2000.00","8100.00","486.00","9595.00","455.72","30.28"
"R  564","08 LEXU","JTHCK262585017739","366","11174.74","2000.00","9174.74","550.48","10616.00","516.96","33.52"
"316130","97 HOND","JHLRD1840VC030911","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"497752","04 HOND","JHLRD68454C017292","305","4354.74","1667.00","2687.74","161.26","4137.00","148.20","13.06"
"489891","04 BUIC","1G4HP52K444173296","366","4050.53","2000.00","2050.53","123.03","3848.00","110.88","12.15"
"501248","02 TOYT","2T1CF22P12C542931","366","3950.53","2000.00","1950.53","117.03","3753.00","105.20","11.83"
"WG 936","14 SUBA","4S4BRBNC1E3233187","366","21400.00","2000.00","19400.00","1164.00","20330.00","1099.80","64.20"
"593737","03 DODG","2D4GP54L93R200190","366","4150.53","2000.00","2150.53","129.03","3943.00","116.60","12.43"
"25392","09 CHEV","1GCEK39J89Z155482","91","5047.37","497.00","4550.37","273.02","4795.00","257.88","15.14"
"446793","97 HOND","2HGEJ6623VH530479","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"448347","10 HOND","JHMGE8H2XAS027165","366","7450.53","2000.00","5450.53","327.03","7078.00","304.68","22.35"
"453826","08 LEXU","JTHCK262485026576","366","11174.74","2000.00","9174.74","550.48","10616.00","516.96","33.52"
"PP 910","97 TOYT","4T1BG22K4VU149568","59","85.26","81.00","4.26","0.26","81.00",,"0.26"
"498821","00 FORD","1FMZU72X3YZC34179","126","181.05","172.00","9.05","0.54","172.00",,"0.54"
"28588","06 FRHT","1FUJF0CV66LX21997","50","3503.16","3328.00","175.16","10.51","3328.00",,"10.51"
"FL 850","02 MERC","1MEFM50U92G644913","312","2237.89","1705.00","532.89","31.97","2126.00","25.28","6.69"
"72462","11 TOYT","2T1BU4EE3BC543599","366","8250.53","2000.00","6250.53","375.03","7838.00","350.28","24.75"
"568263","13 HYUN","KMHCT5AE6DU128653","285","6735.79","1557.00","5178.79","310.73","6399.00","290.52","20.21"
"302292","14 NISS","5N1AT2MV7EC752499","366","17500.00","2000.00","15500.00","930.00","16625.00","877.52","52.48"
"25094","01 DODG","1B7FL26X81S342755","299","429.47","408.00","21.47","1.29","408.00",,"1.29"
"499868","13 HYUN","5NPDH4AE7DH432962","366","10300.00","2000.00","8300.00","498.00","9785.00","467.12","30.88"
"71565","07 NISS","1N4AL21E37C169977","366","6174.74","2000.00","4174.74","250.48","5866.00","231.96","18.52"
"16062","09 CHEV","3GNCA53V49S557411","366","6600.00","3000.00","3600.00","216.00","6270.00","196.20","19.80"
"476313","98 NISS","JN1CA21A7WT401777","215","309.47","294.00","15.47","0.93","294.00",,"0.93"
"300370","01 TOYT","5TDBT48A31S037773","344","494.74","470.00","24.74","1.48","470.00",,"1.48"
"453156","13 CHEV","1G1PA5SH4D7218217","366","9350.53","2000.00","7350.53","441.03","8883.00","413.00","28.03"
"OC 221","95 TOYT","4T1GK12E0SU097506","124","177.89","169.00","8.89","0.53","169.00",,"0.53"
"WS 928","05 TOYO","4T1BE32K15U991795","366","5700.00","2000.00","3700.00","222.00","5415.00","204.92","17.08"
"OH 525","00 DODG","1B3ES46C5YD625928","213","306.32","291.00","15.32","0.92","291.00",,"0.92"
"EE 555","08 TOYT","JTDKB20U883361732","366","7025.26","2000.00","5025.26","301.52","6674.00","280.44","21.08"
"540555","00 BUIC","2G4WS52J1Y1208746","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"255792","13 CHEV","1GC2KVCG0DZ368480","67","4498.95","366.00","4132.95","247.98","4274.00","234.48","13.50"
"RZ 667","12 JEEP","1C4PJMAK5CW105783","366","14125.26","2000.00","12125.26","727.52","13419.00","685.16","42.36"
"456894","10 CHEV","1GNLRFED8AS116285","366","12125.26","2000.00","10125.26","607.52","11519.00","571.16","36.36"
"2224","03 HOND","5J6YH27563L050570","49","780.00","268.00","512.00","30.72","741.00","28.40","2.32"
"NL   2","02 TOYT","JTDBE30K820116806","366","4425.26","2000.00","2425.26","145.52","4204.00","132.24","13.28"
"HD 362","00 TOYT","JTDBT1234Y0072781","230","330.53","314.00","16.53","0.99","314.00",,"0.99"
"897956","13 HOND","5J6RM4H70DL037617","109","5747.37","596.00","5151.37","309.08","5460.00","291.84","17.24"
"836944","03 ACUR","19UUA566X3A036060","366","4650.53","2000.00","2650.53","159.03","4418.00","145.08","13.95"
"93915","03 CADI","3GYEK63N23G158845","366","10150.53","2000.00","8150.53","489.03","9643.00","458.60","30.43"
"KP  45","11 KIA","5XYKTDA14BG046989","366","11874.74","2000.00","9874.74","592.48","11281.00","556.88","35.60"
"HWM","06 VOLV","YV4CZ592861224685","366","7925.26","2000.00","5925.26","355.52","7529.00","331.76","23.76"
"400328","01 FORD","2FMZA51401BA33644","40","57.89","55.00","2.89","0.17","55.00",,"0.17"
"439600","05 DODG","2D4GP44L85R210707","366","4200.00","2000.00","2200.00","132.00","3990.00","119.40","12.60"
"431916","07 FORD","1FAFP34N17W140021","305","3395.79","1667.00","1728.79","103.73","3226.00","93.56","10.17"
"38195","01 FORD","1FDAF56FX1EB11327","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"485088","93 PORS","WP0BB2962PS440127","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"447850","04 NISS","1N4BA41EX4C856942","291","3677.89","1590.00","2087.89","125.27","3494.00","114.24","11.03"
"456072","02 VOLK","3VWSE69M92M040741","253","2350.53","1383.00","967.53","58.05","2233.00","51.00","7.05"
"56541","01 CHEV","1GCHG35R511106995","264","380.00","361.00","19.00","1.14","361.00",,"1.14"
"302882","94 HOND","1HGCE1892RA010903","213","306.32","291.00","15.32","0.92","291.00",,"0.92"
"432604","04 NISS","3N1AB51D74L733946","59","584.21","322.00","262.21","15.73","555.00","14.00","1.73"
"432661","04 HOND","JHMCM56304C027170","366","5500.00","2000.00","3500.00","210.00","5225.00","193.52","16.48"
"512290","00 TOYT","JT2BF22K6Y0242815","56","81.05","77.00","4.05","0.24","77.00",,"0.24"
"316312","03 FORD","1FMYU93193KD47024","366","3725.26","2000.00","1725.26","103.52","3539.00","92.36","11.16"
"AB  49","04 HOND","1HGCM72614A021162","366","5250.53","2000.00","3250.53","195.03","4988.00","179.28","15.75"
"84286","11 TOYO","JTDKN3DU8B0257273","366","10450.53","2000.00","8450.53","507.03","9928.00","475.68","31.35"
"465187","00 HOND","1HGEJ8240YL023999","60","86.32","82.00","4.32","0.26","82.00",,"0.26"
"38671","98 NISS","JNAMA20H6WGE65405","91","130.53","124.00","6.53","0.39","124.00",,"0.39"
"465322","05 CHEV","2CNDL73F956028195","305","4125.26","1667.00","2458.26","147.50","3919.00","135.12","12.38"
"422859","94 PLY","1P4GH44R6RX114141","49","70.53","67.00","3.53","0.21","67.00",,"0.21"
"448718","98 NISS","1N4DL01D1WC144986","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"UA 991","06 SUB","JF1SG65696H753255","366","6525.26","2000.00","4525.26","271.52","6199.00","251.96","19.56"
"86823","13 TOY","5TFUY5F14DX312357","366","26325.26","2000.00","24325.26","1459.52","25009.00","1380.56","78.96"
"487251","94 TOYO","JT2SK12E1R0217774","270","388.42","369.00","19.42","1.17","369.00",,"1.17"
"VH 813","03 HOND","1HGCM56383A061967","366","5025.26","2000.00","3025.26","181.52","4774.00","166.44","15.08"
"669123","03 HOND","JHMCM56723C052234","366","6025.26","2000.00","4025.26","241.52","5724.00","223.44","18.08"
"447045","06 HOND","5FNRL388X6B100272","274","6083.16","1497.00","4586.16","275.17","5779.00","256.92","18.25"
"432736","03 SATU","5GZCZ53B83S823828","152","1246.32","831.00","415.32","24.92","1184.00","21.20","3.72"
"26098","07 DAEL","KMYSA4BL67C009005","253","869.47","826.00","43.47","2.61","826.00",,"2.61"
"766640","07 HOND","1HGCM56877A131590","274","5783.16","1497.00","4286.16","257.17","5494.00","239.84","17.33"
"925186","01 MITS","4A3AA36G31E127270","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"432904","99 TOYO","JT3HP10V6X0215896","213","306.32","291.00","15.32","0.92","291.00",,"0.92"
"745119","04 CHEV","1GCFG15X141132475","194","2783.16","1060.00","1723.16","103.39","2644.00","95.04","8.35"
"485167","99 VW","3VWSC29M4XM042290","137","196.84","187.00","9.84","0.59","187.00",,"0.59"
"418821","03 MAZD","JM1BJ245331172562","274","2675.79","1497.00","1178.79","70.73","2542.00","62.72","8.01"
"873522","09 HOND","1HGCP26799A079475","366","9950.53","2000.00","7950.53","477.03","9453.00","447.20","29.83"
"EU 846","01 MAZD","JM1BJ226510419398","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"466028","00 FORD","1FTZX1723YNA00346","274","393.68","374.00","19.68","1.18","374.00",,"1.18"
"486498","05 TOYT","4T1BE30K15U568301","244","3800.00","1333.00","2467.00","148.02","3610.00","136.64","11.38"
"478261","11 NISS","3N1BC1AP6BL392301","366","6474.74","2000.00","4474.74","268.48","6151.00","249.08","19.40"
"614347","04 CHRY","2C8GF68474R567338","244","3167.37","1333.00","1834.37","110.06","3009.00","100.56","9.50"
"511860","95 TOYT","4T1SK12EXSU591205","193","277.89","264.00","13.89","0.83","264.00",,"0.83"
"483251","01 CHEV","1GNEK13T11R177334","242","348.42","331.00","17.42","1.05","331.00",,"1.05"
"436488","03 BMW","WBAGN634X3DR15949","152","2803.16","831.00","1972.16","118.33","2663.00","109.92","8.41"
"LG 759","08 KIA","KNAGE123085236415","90","1173.68","492.00","681.68","40.90","1115.00","37.40","3.50"
"HT 414","08 HYUN","5NPET46F98H334008","353","5208.42","1929.00","3279.42","196.77","4948.00","181.16","15.61"
"986961","12 SUBA","JF2SHADC9CH445680","341","14744.21","1863.00","12881.21","772.87","14007.00","728.64","44.23"
"EF 802","99 HOND","JHLRD186XXC025851","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"426427","07 TOYO","4T1BK36BX7U222587","231","5995.79","1262.00","4733.79","284.03","5696.00","266.04","17.99"
"66620","09 CHAN","LN2UT08119J046498","366","466.32","443.00","23.32","1.40","443.00",,"1.40"
"26435","85 BMW","WB1051407F0052992","182","262.11","249.00","13.11","0.79","249.00",,"0.79"
"WW 851","96 TOYT","JT3HP10V6T0079487","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"473374","02 LINC","1LNHM87A52Y675136","366","3350.53","2000.00","1350.53","81.03","3183.00","71.00","10.03"
"316160","98 NISS","1N4DL01D0WC169930","235","337.89","321.00","16.89","1.01","321.00",,"1.01"
"751459","13 TOYT","4T1BD1EB9DU002515","366","20550.53","2000.00","18550.53","1113.03","19523.00","1051.40","61.63"
"815749","10 FORD","3FAHP0HA1AR426086","366","7500.00","2000.00","5500.00","330.00","7125.00","307.52","22.48"
"447619","10 LEXS","JTHCF5C21A5036482","366","14550.53","2000.00","12550.53","753.03","13823.00","709.40","43.63"
"37228","92 FORD","2FTJW35G1NCB07732","91","115.79","110.00","5.79","0.35","110.00",,"0.35"
"422817","01 HOND","1HGCG16551A026057","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"737335","04 JEEP","1J4GW48SX4C352690","184","2903.16","1005.00","1898.16","113.89","2758.00","105.20","8.69"
"AY 839","05 TOYT","2T1BR30E35C398510","179","2506.32","978.00","1528.32","91.70","2381.00","84.20","7.50"
"584705","98 FORD","1FMRU17L0WLC48107","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"HK 719","09 ACUR","JH4CU26609C011888","366","10974.74","2000.00","8974.74","538.48","10426.00","505.56","32.92"
"DN 428","94 JEEP","1J4GZ68S1RC301749","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"515494","03 NISS","JN8DR09YX3W830457","305","4125.26","1667.00","2458.26","147.50","3919.00","135.12","12.38"
"73199","04 SUZK","KL5JD52Z84K972950","366","2374.74","2000.00","374.74","22.48","2256.00","15.36","7.12"
"460194","96 TOYT","2T1BB02E5TC143774","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"439009","03 HOND","1HGCM82643A018969","307","4445.26","1678.00","2767.26","166.04","4223.00","152.72","13.32"
"499903","00 DAEW","KLATA5269YB490647","190","273.68","260.00","13.68","0.82","260.00",,"0.82"
"HARDY7","13 HYUN","KMHEC4A40DA075685","366","12225.26","2000.00","10225.26","613.52","11614.00","576.84","36.68"
"449698","14 MAZD","JM3KE2BE1E0319081","305","12562.11","1667.00","10895.11","653.71","11934.00","616.04","37.67"
"ZF 189","03 HOND","5FNRL18913B060723","366","3800.00","2000.00","1800.00","108.00","3610.00","96.60","11.40"
"544993","13 CHRY","1C3CCBBB7DN539758","300","8340.00","1639.00","6701.00","402.06","7923.00","377.04","25.02"
"439855","02 GMC","1GKEK13Z52J239402","366","6600.00","2000.00","4600.00","276.00","6270.00","256.20","19.80"
"438470","06 NISS","1N4BA41E66C861722","6","90.53","33.00","57.53","3.45","86.00","3.20","0.25"
"424220","06 ACUR","JH4CL96946C024225","366","8700.00","2000.00","6700.00","402.00","8265.00","375.92","26.08"
"89907","07 DODG","1D7HU18207S121599","78","2904.21","426.00","2478.21","148.69","2759.00","140.00","8.69"
"62495","12 MITS","JL6CRH1A2CK004396","288","23154.74","1574.00","21580.74","1294.84","21997.00","1225.40","69.44"
"46875","07 MITS","JL6DGP1E47K016871","299","14112.63","1634.00","12478.63","748.72","13407.00","706.40","42.32"
"DH 251","03 MAZD","JM1BJ225131199388","366","3025.26","2000.00","1025.26","61.52","2874.00","52.44","9.08"
"GA 772","99 NISS","JN1CA21D0XT800588","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"DG 625","00 NISS","JN1CA31D2YT710799","335","482.11","458.00","24.11","1.45","458.00",,"1.45"
"AZ 179","13 INFI","JN1CV6AR2DM755716","366","19274.74","2000.00","17274.74","1036.48","18311.00","978.68","57.80"
"BU 765","15 NISS","JN8AS5MV7FW253084","366","16374.74","2000.00","14374.74","862.48","15556.00","813.36","49.12"
"49817","99 NISS","JNAMA33H7XGH50066","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"33936","92 TOYT","JT5VN94T4N0026474","366","510.53","485.00","25.53","1.53","485.00",,"1.53"
"557941","02 MERZ","WDBNG70J62A296916","366","6474.74","2000.00","4474.74","268.48","6151.00","249.08","19.40"
"FO 101","02 STRN","1G8ZK52762Z305391","366","2425.26","2000.00","425.26","25.52","2304.00","18.24","7.28"
"89454","03 CHEV","1GNDS13S832330919","366","4774.74","2000.00","2774.74","166.48","4536.00","152.16","14.32"
"20712","12 HD","1HD1CZ317CC410722","366","6794.74","2000.00","4794.74","287.68","6455.00","267.32","20.36"
"777357","13 NISS","1N4AL3AP7DC103676","366","11350.53","2000.00","9350.53","561.03","10783.00","527.00","34.03"
"473729","01 SUBA","JF1SF65611H739121","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"448931","07 DODG","1D8GU28K57W692026","366","7674.74","2000.00","5674.74","340.48","7291.00","317.48","23.00"
"596656","01 TOY","4T1BG22K51U845169","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"VG 610","96 TOYT","4T1BF12B3TU091804","244","350.53","333.00","17.53","1.05","333.00",,"1.05"
"471074","10 MAZD","JM3TB2MA1A0205969","366","12000.00","2000.00","10000.00","600.00","11400.00","564.00","36.00"
"E  643","99 MAZD","JM1NB353XX0102856","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"445695","10 HOND","1HGCP2F46AA129632","366","9825.26","2000.00","7825.26","469.52","9334.00","440.04","29.48"
"JC 131","13 VOLK","3VWDP7AJ7DM212276","366","10474.74","2000.00","8474.74","508.48","9951.00","477.08","31.40"
"474456","07 FORD","1FAFP24167G107386","366","4800.00","2000.00","2800.00","168.00","4560.00","153.60","14.40"
"SB 390","14 TOYO","2T1BURHE6EC030845","366","11950.53","2000.00","9950.53","597.03","11353.00","561.20","35.83"
"32566","12 KIA","KNDPBCA29C7321346","366","13100.00","2000.00","11100.00","666.00","12445.00","626.72","39.28"
"489040","03 CADI","1G6KD54Y13U231919","244","2449.47","1333.00","1116.47","66.99","2327.00","59.64","7.35"
"450905","00 TOYT","JT2BG22K0Y0421221","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"KQ 481","03 TOYT","2T1CE22P63C020669","366","3974.74","2000.00","1974.74","118.48","3776.00","106.56","11.92"
"441571","05 ACUR","JH4KB16525C004339","366","7900.00","2000.00","5900.00","354.00","7505.00","330.32","23.68"
"466428","96 CADI","1G6KD52Y4TU256526","200","287.37","273.00","14.37","0.86","273.00",,"0.86"
"IX 517","02 TOYT","4T3ZF13C92U467790","366","4200.00","2000.00","2200.00","132.00","3990.00","119.40","12.60"
"316293","02 HOND","2HGES15662H599876","366","3725.26","2000.00","1725.26","103.52","3539.00","92.36","11.16"
"437337","09 MINI","WMWMF33519TU71396","366","5974.74","2000.00","3974.74","238.48","5676.00","220.56","17.92"
"YF 310","03 ACUR","19UUA56853A088116","366","4850.53","2000.00","2850.53","171.03","4608.00","156.48","14.55"
"526734","04 NISS","1N4BA41E34C894142","366","4625.26","2000.00","2625.26","157.52","4394.00","143.64","13.88"
"842462","02 TOYT","4T1BE32K32U043457","199","2406.32","1087.00","1319.32","79.16","2286.00","71.96","7.20"
"LL 873","13 TOYT","JTDKN3DU8D5651295","366","13900.00","2000.00","11900.00","714.00","13205.00","672.32","41.68"
"473602","85 BMW","WBAAB5408F9514251","306","440.00","418.00","22.00","1.32","418.00",,"1.32"
"BC 480","07 CHRY","1A8HW58247F554419","366","11425.26","2000.00","9425.26","565.52","10854.00","531.24","34.28"
"428271","97 TOYT","2T1BA02E7VC181903","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"BL 506","13 FORD","3FA6P0LU3DR196676","366","15350.53","2000.00","13350.53","801.03","14583.00","755.00","46.03"
"72818","55 DAND","1.09208102000284E+16","366","490.53","466.00","24.53","1.47","466.00",,"1.47"
"85676","00 FORD","1FTRX18L5YNA50902","100","144.21","137.00","7.21","0.43","137.00",,"0.43"
"CX 568","13 FORD","1ZVBP8EM3D5229289","366","13700.00","2000.00","11700.00","702.00","13015.00","660.92","41.08"
"777330","00 BUIC","1G4CW52K3Y4124318","182","262.11","249.00","13.11","0.79","249.00",,"0.79"
"22067","99 FORD","1FDWF36L2XED86473","91","130.53","124.00","6.53","0.39","124.00",,"0.39"
"485537","03 NISS","5N1ED28Y33C651797","366","5174.74","2000.00","3174.74","190.48","4916.00","174.96","15.52"
"QD 530","95 MAZD","JM1TA2210S1107316","160","230.53","219.00","11.53","0.69","219.00",,"0.69"
"VM 548","08 TOYT","2T1BR32E88C906407","366","6374.74","2000.00","4374.74","262.48","6056.00","243.36","19.12"
"631055","12 HYUN","KMHCT4AE4CU170456","366","7700.00","2000.00","5700.00","342.00","7315.00","318.92","23.08"
"473681","00 MERZ","WDBNG70J7YA088021","26","37.89","36.00","1.89","0.11","36.00",,"0.11"
"53574","15 GMC","1GTG6BE37F1137824","366","29450.53","2000.00","27450.53","1647.03","27978.00","1558.68","88.35"
"438947","99 TOYT","4T1BG22K2XU490356","274","393.68","374.00","19.68","1.18","374.00",,"1.18"
"FS 121","11 BMW","WBAPK5C57BA654517","366","13900.00","2000.00","11900.00","714.00","13205.00","672.32","41.68"
"495079","99 HOND","JHLRD1863XC008552","366","526.32","500.00","26.32","1.58","500.00",,"1.58"
"9972","12 TOYT","JTDZN3EU6C3018544","366","13974.74","2000.00","11974.74","718.48","13276.00","676.56","41.92"
"BL 617","98 TOYT","2T1BR12E8WC088386","31","44.21","42.00","2.21","0.13","42.00",,"0.13"
"DA 387","13 CHEV","1G11J5SX0DF183758","366","15874.74","2000.00","13874.74","832.48","15081.00","784.88","47.60"
"488605","05 VOLK","3VWBK31C45M407821","207","2064.21","1131.00","933.21","55.99","1961.00","49.80","6.19"
"427809","13 NISS","1N4AL3AP5DC186251","366","11350.53","2000.00","9350.53","561.03","10783.00","527.00","34.03"
"DW 355","12 NISS","1N4AL2AP7CC226869","260","7014.74","1421.00","5593.74","335.62","6664.00","314.60","21.02"
"DW  96","13 MINI","WMWZC3C59DWP24521","277","12487.37","1514.00","10973.37","658.40","11863.00","620.96","37.44"
"YD 424","13 NISS","JN8AZ1MW0DW308906","366","17074.74","2000.00","15074.74","904.48","16221.00","853.28","51.20"
"593392","11 HOND","1HGCP2F32BA091650","223","6458.95","1219.00","5239.95","314.40","6136.00","295.04","19.36"
"EH 187","12 TOYO","JTDKN3DU8C5482040","366","11974.74","2000.00","9974.74","598.48","11376.00","562.56","35.92"
