"id","tipo_asset","nombre_del_asset","nombre_del_programa","tipo","temporada","capitulo","canal","url"
"4934","Video","Diferentes corazones","Guillermina y Candelario - Karaokes","Conoce tu planeta","Sin definir","4","Señal Colombia","https://www.rtvcplay.co/ninos/guillermina-y-candelario-karaokes/diferentes-corazones"
"4933","Video","Mi nuevo turbante","Guillermina y Candelario - Karaokes","Conoce tu planeta","Sin definir","3","Señal Colombia","https://www.rtvcplay.co/ninos/guillermina-y-candelario-karaokes/mi-nuevo-turbante"
"4932","Video","Aventura de princesas","Guillermina y Candelario - Karaokes","Conoce tu planeta","Sin definir","2","Señal Colombia","https://www.rtvcplay.co/ninos/guillermina-y-candelario-karaokes/aventura-princesas"
"4931","Video","Protesta pacífica","Guillermina y Candelario - Karaokes","Conoce tu planeta","Sin definir","1","Señal Colombia","https://www.rtvcplay.co/ninos/guillermina-y-candelario-karaokes/protesta-pacifica"
"4930","Video","Clase 103 - Profe en tu casa","Profe en tu casa","Competencias básicas, ciudadanas y socioemocionales","Sin definir","103","Señal Colombia","https://www.rtvcplay.co/competencias-basicas-ciudadanas-y-socioemocionales/profe-en-tu-casa/clase-103-profe-tu-casa"
"4929","Video","Clase 102 - Profe en tu casa","Profe en tu casa","Competencias básicas, ciudadanas y socioemocionales","Sin definir","102","Señal Colombia","https://www.rtvcplay.co/competencias-basicas-ciudadanas-y-socioemocionales/profe-en-tu-casa/clase-102-profe-tu-casa"
"4923","Video","El corazón del jaguar","Guillermina y Candelario","Conoce tu planeta","Temporada 5","16","Señal Colombia","https://www.rtvcplay.co/ninos/guillermina-y-candelario/corazon-del-jaguar"
"4920","Video","Comedia pacífica","Guillermina y Candelario","Conoce tu planeta","Temporada 5","12","Señal Colombia","https://www.rtvcplay.co/ninos/guillermina-y-candelario/comedia-pacifica"
"4919","Video","Recaditos por la paz","Guillermina y Candelario","Conoce tu planeta","Temporada 5","10","Señal Colombia","https://www.rtvcplay.co/ninos/guillermina-y-candelario/recaditos-paz"
"4916","Video","La garza estudiosa","Guillermina y Candelario","Conoce tu planeta","Temporada 5","6","Señal Colombia","https://www.rtvcplay.co/ninos/guillermina-y-candelario/garza-estudiosa"
"4915","Video","El mejor hermano del mundo","Guillermina y Candelario","Conoce tu planeta","Temporada 5","4","Señal Colombia","https://www.rtvcplay.co/ninos/guillermina-y-candelario/mejor-hermano-del-mundo"
"4914","Video","Protesta pacífica","Guillermina y Candelario","Conoce tu planeta","Temporada 5","1","Señal Colombia","https://www.rtvcplay.co/ninos/guillermina-y-candelario/protesta-pacifica"
"4907","Video","Clase 101 - Profe en tu casa","Profe en tu casa","Competencias básicas, ciudadanas y socioemocionales","Sin definir","101","Señal Colombia","https://www.rtvcplay.co/competencias-basicas-ciudadanas-y-socioemocionales/profe-en-tu-casa/clase-101-profe-tu-casa"
"4905","Video","Anomalía - Cap. 3 Activación","Con la lavadora al fondo","Inventos","Delirando en casa","96","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/anomalia-cap-3-activacion"
"4904","Video","Anomalía - Cap. 2 Incubación","Con la lavadora al fondo","Inventos","Delirando en casa","95","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/anomalia-cap-2-incubacion"
"4903","Video","Anomalía - Cap. 1 Afección","Con la lavadora al fondo","Inventos","Delirando en casa","94","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/anomalia-cap-1-afeccion"
"4899","Video","Recetas sonoras para la cuarentena - Cap. 3 Pescado a la guadua","Con la lavadora al fondo","Inventos","La cuchara de palo","90","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/recetas-sonoras-para-cuarentena-cap-3-pescado-guadua"
"4898","Video","Recetas sonoras para la cuarentena - Cap. 2 Dulce de ahuyama","Con la lavadora al fondo","Inventos","La cuchara de palo","89","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/recetas-sonoras-para-cuarentena-cap-2-dulce-ahuyama"
"4897","Video","Recetas sonoras para la cuarentena - Cap. 1 Café especial","Con la lavadora al fondo","Inventos","La cuchara de palo","88","Original RTVCPlay","https://www.rtvcplay.co/inventos/con-la-lavadora-al-fondo/recetas-sonoras-para-cuarentena-cap-1-cafe-especial"
"4895","Video","En pie - Luis Fernando Hermida","Con la lavadora al fondo","Inventos","El juglar de mi encierro","86","Original RTVCPlay","https://www.rtvcplay.co/cortometrajes-ficcion/con-la-lavadora-al-fondo/pie-luis-fernando-hermida"
"4894","Video","Electrodomestizos - Cap. 3 Pan tostado para toda la cuerentena","Con la lavadora al fondo","Inventos","Lo que nunca me había atrevido a decir","85","Original RTVCPlay","https://www.rtvcplay.co/cortometrajes-ficcion/con-la-lavadora-al-fondo/electrodomestizos-cap-3-pan-tostado-para-toda"
"4893","Video","Electrodomestizos - Cap. 2 La cafetera del amor","Con la lavadora al fondo","Inventos","Lo que nunca me había atrevido a decir","84","Original RTVCPlay","https://www.rtvcplay.co/cortometrajes-ficcion/con-la-lavadora-al-fondo/electrodomestizos-cap-2-cafetera-del-amor"
"4892","Video","Electrodomestizos - Cap. 1 La radio me salvo la hijuepuerca vida","Con la lavadora al fondo","Inventos","Lo que nunca me había atrevido a decir","83","Original RTVCPlay","https://www.rtvcplay.co/cortometrajes-ficcion/con-la-lavadora-al-fondo/electrodomestizos-cap-1-radio-me-salvo-hijuepuerca"
"4891","Video","Huellas - Cap. 3 La vacuna","Con la lavadora al fondo","Inventos","Amor en tiempos de coronavirus","82","Original RTVCPlay","https://www.rtvcplay.co/cortometrajes-ficcion/con-la-lavadora-al-fondo/huellas-cap-3-vacuna"
