"f","departamento","municipio","n_convocatoria","estado","g_nero_benef","cant_estudiantes_en_el_hogar","zona","zona_geografica","barrio","estrato_socieconomico","velocidad","medio_de_tramisi_n"
"416","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"417","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"418","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"419","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"420","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"421","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"422","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"423","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"424","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"425","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"426","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"427","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"428","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"429","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"430","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"431","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"432","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"433","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"434","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"435","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"436","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"437","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"438","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"439","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"440","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"441","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"442","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"443","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"444","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"445","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"446","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"447","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"448","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"449","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"450","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"451","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"452","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"453","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"454","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"455","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"456","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"457","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"458","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"459","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"460","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"461","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"462","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"463","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"464","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"465","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"466","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"467","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"468","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"469","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"470","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"471","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"472","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"473","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"474","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"475","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"476","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"477","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"478","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"479","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"480","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"481","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"482","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"483","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"484","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"485","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"486","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"487","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"488","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"489","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"490","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"491","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"492","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"493","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"494","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"495","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"496","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"497","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llanitos","1","10 Mb","Fibra Optica"
"498","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"499","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"500","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"501","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"502","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"503","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"504","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"505","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"506","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"507","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"508","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"509","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"510","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"511","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Llano Grande","2","10 Mb","Fibra Optica"
"512","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"513","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"514","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"515","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"516","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"517","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"518","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"519","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Los Naranjos","2","10 Mb","Fibra Optica"
"520","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"521","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"522","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"523","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"524","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"525","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"526","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"527","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"528","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"529","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"530","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"531","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"532","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"533","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"534","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"535","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"536","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"537","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"538","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"539","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"540","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"541","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"542","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"543","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"544","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"545","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"546","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"547","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"548","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"549","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"550","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"551","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"552","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"553","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"554","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"555","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"556","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"557","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"558","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"559","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"560","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"561","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"562","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"563","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"564","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"565","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"566","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"567","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"568","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"569","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"570","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"571","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"572","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"573","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Montebello 1","2","10 Mb","Fibra Optica"
"574","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Nazareth","1","10 Mb","Fibra Optica"
"575","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Nazareth","1","10 Mb","Fibra Optica"
"576","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Nazareth","1","10 Mb","Fibra Optica"
"577","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Nazareth","1","10 Mb","Fibra Optica"
"578","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Nazareth","1","10 Mb","Fibra Optica"
"579","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Nazareth","1","10 Mb","Fibra Optica"
"580","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Nazareth","1","10 Mb","Fibra Optica"
"581","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Nazareth","1","10 Mb","Fibra Optica"
"582","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Nazareth","1","10 Mb","Fibra Optica"
"583","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Nazareth","1","10 Mb","Fibra Optica"
"584","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Nazareth","1","10 Mb","Fibra Optica"
"585","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Nazareth","1","10 Mb","Fibra Optica"
"586","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Nazareth","1","10 Mb","Fibra Optica"
"587","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"588","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"589","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"590","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"591","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"592","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"593","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"594","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"595","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"596","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"597","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"598","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"599","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"600","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"601","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"602","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"603","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"604","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"605","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"606","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"607","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"608","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"609","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"610","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"611","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"612","Norte de Santander","Los Patios","1","Beneficiario","Masculino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"613","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"614","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"615","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"616","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"617","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"618","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"619","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"620","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"621","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"622","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"623","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"624","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"625","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"626","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
"627","Norte de Santander","Los Patios","1","Beneficiario","Femenino","0","Urbana","Sur","Pisarreal","1","10 Mb","Fibra Optica"
