"predio","direccion","estrato"
"25-290-01-00-0011-0195-903","TV 8 A BIS No. 1 D NORTE -14","3.0"
"25-290-01-00-0011-0196-903","TV 8 A BIS No. 1 D NORTE -10","3.0"
"25-290-01-00-0011-0197-903","TV  8 A BIS N° 1 D NORTE - 06 CA 7 E","3.0"
"25-290-01-00-0011-0198-903","TRANSV  8 A BIS NO. 1 D NORTE - 02","3.0"
"25-290-01-00-0011-0199-903","TRANSV  8 A BIS NO. 1 D NORTE - 19","3.0"
"25-290-01-00-0011-0201-903","TRANSV  8 A BIS NO. 1 D NORTE - 11","3.0"
"25-290-01-00-0011-0202-903","TV 8 A BIS No. 1 D NORTE -  07 CA 4","3.0"
"25-290-01-00-0011-0203-903","TRANSV  8 A   BIS NO. 1 D NORTE - 03  CS 5 F","3.0"
"25-290-01-00-0012-0001-000","K 9 1 03","2.0"
"25-290-01-00-0012-0002-000","C 1 9 21 27","2.0"
"25-290-01-00-0012-0004-000","C 1 9 35","2.0"
"25-290-01-00-0012-0005-000","C 1 9 43 49 K 10 1 02 06","2.0"
"25-290-01-00-0012-0006-000","C 2 9 02 10","2.0"
"25-290-01-00-0012-0007-000","K 9 1 31","2.0"
"25-290-01-00-0012-0008-000","K 9 1 17","2.0"
"25-290-01-00-0012-0009-000","K 9 1 39","2.0"
"25-290-01-00-0013-0026-000","C 1 8 121","2.0"
"25-290-01-00-0013-0027-000","C 1 N 8 A 45","2.0"
"25-290-01-00-0013-0028-000","C 1 8A 49 51","2.0"
"25-290-01-00-0013-0029-000","CRA 9 No 1 NORTE 30","2.0"
"25-290-01-00-0013-0030-000","K 9 1 24","2.0"
"25-290-01-00-0013-0037-000","C 1 8A 26","2.0"
"25-290-01-00-0013-0040-000","C 1 8 60","2.0"
"25-290-01-00-0013-0041-000","C 1 8 52","2.0"
"25-290-01-00-0013-0042-000","C 1 8 46","2.0"
"25-290-01-00-0013-0043-000","C 1 8 40","2.0"
"25-290-01-00-0013-0044-000","C 1 8 36","2.0"
"25-290-01-00-0013-0045-000","C 1 8 28","2.0"
"25-290-01-00-0013-0048-000","C 1 8 26 Cs 4D In 8","2.0"
"25-290-01-00-0013-0049-000","C 1 8 26 Cs 4C In 7","2.0"
"25-290-01-00-0013-0050-000","C 1 8 26 Cs 4B In 6","2.0"
"25-290-01-00-0013-0051-000","C 1 8 26 Cs 4A In 5","2.0"
"25-290-01-00-0013-0052-000","C 1 8 22 Cs 3B","3.0"
"25-290-01-00-0013-0053-000","C 1 8 24","2.0"
"25-290-01-00-0013-0054-000","C 1 8 26 Cs 2D In 1","2.0"
"25-290-01-00-0013-0055-000","C 1 8 26 In 2 Cs 2C","2.0"
"25-290-01-00-0013-0056-000","C 1 8 26 In 3 Cs 2B","2.0"
"25-290-01-00-0013-0057-000","C 1 8 26 In 4 Cs 2A","2.0"
"25-290-01-00-0013-0058-000","C 1N 8A 37 Cs 1D In 6","2.0"
"25-290-01-00-0013-0059-000","C 1N 8A 37 Cs 1C In 5","2.0"
"25-290-01-00-0013-0060-000","C 1N 8A 37 Cs 1B In 4","2.0"
"25-290-01-00-0013-0061-000","C 1N 8A 37 Cs 1A In 3","2.0"
"25-290-01-00-0013-0063-000","C 1 N 8 A 37 Ap 101 B In 1","2.0"
"25-290-01-00-0013-0064-000","C 1N 8A 37 Ap 102 C In 1","2.0"
"25-290-01-00-0013-0065-000","C 1N 8A 37 Ap 102 A In 2","2.0"
"25-290-01-00-0013-0079-000","C 1 8A 11","2.0"
"25-290-01-00-0013-0080-000","C 1 8 02","2.0"
"25-290-01-00-0013-0081-000","K 8 A 1 15 N","3.0"
"25-290-01-00-0013-0082-000","K 8A 1 21 N","3.0"
