"ward","age","female","male"
"Ward 9","36","670","671"
"Ward 9","37","670","642"
"Ward 9","38","705","666"
"Ward 9","39","609","620"
"Ward 9","40","664","645"
"Ward 9","41","648","630"
"Ward 9","42","653","659"
"Ward 9","43","617","649"
"Ward 9","44","656","627"
"Ward 9","45","664","638"
"Ward 9","46","586","560"
"Ward 9","47","578","570"
"Ward 9","48","553","573"
"Ward 9","49","580","559"
"Ward 9","50","570","598"
"Ward 9","51","566","581"
"Ward 9","52","564","498"
"Ward 9","53","571","541"
"Ward 9","54","502","484"
"Ward 9","55","537","476"
"Ward 9","56","509","485"
"Ward 9","57","535","498"
"Ward 9","58","492","532"
"Ward 9","59","484","480"
"Ward 9","60","481","442"
"Ward 9","61","444","376"
"Ward 9","62","391","405"
"Ward 9","63","425","400"
"Ward 9","64","363","373"
"Ward 9","65","375","325"
"Ward 9","66","349","319"
"Ward 9","67","299","340"
"Ward 9","68","289","239"
"Ward 9","69","290","228"
"Ward 9","70","233","224"
"Ward 9","71","234","198"
"Ward 9","72","226","198"
"Ward 9","73","193","192"
"Ward 9","74","162","179"
"Ward 9","75","181","163"
"Ward 9","76","166","160"
"Ward 9","77","150","146"
"Ward 9","78","150","120"
"Ward 9","79","137","111"
"Ward 9","80","123","104"
"Ward 9","81","121","100"
"Ward 9","82","119","114"
"Ward 9","83","103","91"
"Ward 9","84","81","82"
"Ward 9","85+","541","323"
"Ward 9","No Response","6519","6507"
"Ward 10","0","270","280"
"Ward 10","1","263","259"
"Ward 10","2","255","307"
"Ward 10","3","275","278"
"Ward 10","4","289","256"
"Ward 10","5","264","269"
"Ward 10","6","241","259"
"Ward 10","7","255","242"
"Ward 10","8","248","231"
"Ward 10","9","233","265"
"Ward 10","10","200","282"
"Ward 10","11","248","240"
"Ward 10","12","226","266"
"Ward 10","13","240","256"
"Ward 10","14","288","282"
"Ward 10","15","255","274"
"Ward 10","16","245","264"
"Ward 10","17","253","313"
"Ward 10","18","260","317"
"Ward 10","19","333","336"
"Ward 10","20","353","357"
"Ward 10","21","343","390"
"Ward 10","22","396","404"
"Ward 10","23","394","423"
"Ward 10","24","400","453"
"Ward 10","25","370","440"
"Ward 10","26","390","426"
"Ward 10","27","392","395"
"Ward 10","28","365","436"
"Ward 10","29","374","376"
"Ward 10","30","374","394"
"Ward 10","31","342","372"
"Ward 10","32","342","394"
"Ward 10","33","390","354"
"Ward 10","34","343","385"
"Ward 10","35","370","331"
"Ward 10","36","310","324"
"Ward 10","37","328","354"
"Ward 10","38","311","298"
"Ward 10","39","295","281"
"Ward 10","40","288","278"
"Ward 10","41","300","312"
"Ward 10","42","296","308"
"Ward 10","43","331","326"
"Ward 10","44","311","302"
"Ward 10","45","327","338"
"Ward 10","46","343","279"
"Ward 10","47","298","288"
"Ward 10","48","339","336"
"Ward 10","49","361","353"
"Ward 10","50","350","323"
"Ward 10","51","350","331"
"Ward 10","52","325","297"
"Ward 10","53","336","317"
"Ward 10","54","337","325"
"Ward 10","55","345","292"
"Ward 10","56","331","325"
"Ward 10","57","367","312"
"Ward 10","58","308","314"
"Ward 10","59","351","311"
"Ward 10","60","325","268"
"Ward 10","61","320","271"
"Ward 10","62","249","241"
"Ward 10","63","300","260"
"Ward 10","64","246","232"
"Ward 10","65","244","219"
"Ward 10","66","274","225"
"Ward 10","67","279","223"
"Ward 10","68","235","185"
"Ward 10","69","254","190"
"Ward 10","70","220","192"
"Ward 10","71","225","161"
"Ward 10","72","210","189"
"Ward 10","73","223","158"
"Ward 10","74","219","170"
"Ward 10","75","181","175"
"Ward 10","76","180","146"
"Ward 10","77","173","160"
"Ward 10","78","183","152"
"Ward 10","79","168","135"
"Ward 10","80","149","116"
"Ward 10","81","144","121"
"Ward 10","82","144","109"
"Ward 10","83","120","119"
"Ward 10","84","133","85"
"Ward 10","85+","709","427"
"Ward 10","No Response","5887","6548"
"Ward 11","0","285","303"
"Ward 11","1","304","325"
"Ward 11","2","327","343"
"Ward 11","3","340","343"
"Ward 11","4","347","362"
"Ward 11","5","373","353"
"Ward 11","6","323","327"
"Ward 11","7","328","348"
"Ward 11","8","301","355"
"Ward 11","9","336","333"
"Ward 11","10","322","318"
"Ward 11","11","327","346"
"Ward 11","12","324","323"
"Ward 11","13","330","337"
"Ward 11","14","319","356"
"Ward 11","15","350","372"
"Ward 11","16","315","291"
"Ward 11","17","313","324"
"Ward 11","18","347","335"
"Ward 11","19","325","327"
"Ward 11","20","319","364"
"Ward 11","21","340","379"
"Ward 11","22","397","372"
"Ward 11","23","420","406"
"Ward 11","24","424","489"
"Ward 11","25","387","439"
"Ward 11","26","408","453"
"Ward 11","27","485","480"
"Ward 11","28","437","504"
"Ward 11","29","472","471"
"Ward 11","30","430","452"
"Ward 11","31","462","442"
"Ward 11","32","470","441"
"Ward 11","33","479","476"
"Ward 11","34","429","458"
"Ward 11","35","448","448"
"Ward 11","36","393","466"
"Ward 11","37","401","390"
"Ward 11","38","373","436"
"Ward 11","39","389","415"
"Ward 11","40","354","375"
"Ward 11","41","355","358"
"Ward 11","42","335","415"
"Ward 11","43","343","374"
"Ward 11","44","337","430"
"Ward 11","45","345","317"
"Ward 11","46","347","324"
"Ward 11","47","334","331"
"Ward 11","48","356","315"
"Ward 11","49","384","385"
"Ward 11","50","399","403"
"Ward 11","51","419","377"
"Ward 11","52","371","404"
"Ward 11","53","465","408"
"Ward 11","54","460","373"
"Ward 11","55","434","415"
"Ward 11","56","426","394"
"Ward 11","57","387","378"
"Ward 11","58","416","382"
"Ward 11","59","409","388"
"Ward 11","60","394","362"
"Ward 11","61","394","347"
"Ward 11","62","378","328"
"Ward 11","63","340","333"
"Ward 11","64","346","312"
"Ward 11","65","305","291"
"Ward 11","66","301","291"
"Ward 11","67","266","252"
"Ward 11","68","212","193"
"Ward 11","69","204","193"
"Ward 11","70","193","172"
"Ward 11","71","179","186"
"Ward 11","72","183","129"
"Ward 11","73","133","150"
"Ward 11","74","138","123"
"Ward 11","75","146","111"
"Ward 11","76","124","115"
"Ward 11","77","115","107"
"Ward 11","78","110","93"
"Ward 11","79","112","83"
"Ward 11","80","115","72"
"Ward 11","81","142","66"
"Ward 11","82","102","74"
"Ward 11","83","114","70"
"Ward 11","84","125","72"
"Ward 11","85+","551","319"
"Ward 11","No Response","3414","4144"
"Ward 12","0","569","634"
"Ward 12","1","569","617"
"Ward 12","2","619","632"
"Ward 12","3","602","665"
"Ward 12","4","620","691"
"Ward 12","5","577","589"
"Ward 12","6","621","661"
"Ward 12","7","573","623"
"Ward 12","8","519","558"
"Ward 12","9","551","523"
"Ward 12","10","500","531"
"Ward 12","11","490","515"
"Ward 12","12","513","502"
"Ward 12","13","510","491"
"Ward 12","14","510","491"
"Ward 12","15","459","494"
"Ward 12","16","472","480"
"Ward 12","17","431","488"
"Ward 12","18","515","503"
"Ward 12","19","441","542"
"Ward 12","20","454","525"
"Ward 12","21","472","506"
"Ward 12","22","466","524"
"Ward 12","23","587","578"
"Ward 12","24","577","680"
"Ward 12","25","666","653"
"Ward 12","26","707","692"
"Ward 12","27","739","731"
"Ward 12","28","777","823"
"Ward 12","29","824","765"
"Ward 12","30","807","849"
"Ward 12","31","827","789"
"Ward 12","32","787","785"
"Ward 12","33","798","770"
"Ward 12","34","806","767"
