"row_id","site_id","location_description","direction","speed_limit","speed_unit_of_measure","minimum_speed_detection_setting","maximum_speed_detection_setting","log_timestamp","vehicle_count_for_log_interval","speed_range_for_bin","bin_number","minimum_speed_for_bin_number","maximum_speed_for_bin_number","bin_over_speed_limit_flag","vehicle_count_at_slowest_speed_detected","vehicle_count_at_highest_speed_detected"
"DFS068-2016091416:28:29-02","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:28:00.000","89","6","2","21","26","0","2","0"
"DFS068-2016091416:28:29-03","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:28:00.000","89","6","3","27","32","0","14","0"
"DFS068-2016091416:28:29-04","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:28:00.000","89","6","4","33","38","0","12","0"
"DFS068-2016091416:28:29-05","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:28:00.000","89","6","5","39","44","0","32","5"
"DFS068-2016091416:28:29-06","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:28:00.000","89","6","6","45","50","1","20","26"
"DFS068-2016091416:28:29-07","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:28:00.000","89","6","7","51","56","2","2","42"
"DFS068-2016091416:28:29-08","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:28:00.000","89","6","8","57","62","2","0","11"
"DFS068-2016091416:28:29-09","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:28:00.000","89","6","9","63","68","2","0","3"
"DFS068-2016091416:28:29-10","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:28:00.000","89","157","10","69","225","2","0","1"
"DFS068-2016091416:43:29-01","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:43:00.000","89","15","1","6","20","0","11","0"
"DFS068-2016091416:43:29-02","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:43:00.000","89","6","2","21","26","0","3","1"
"DFS068-2016091416:43:29-03","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:43:00.000","89","6","3","27","32","0","8","0"
"DFS068-2016091416:43:29-04","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:43:00.000","89","6","4","33","38","0","22","0"
"DFS068-2016091416:43:29-05","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:43:00.000","89","6","5","39","44","0","29","4"
"DFS068-2016091416:43:29-06","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:43:00.000","89","6","6","45","50","1","7","25"
"DFS068-2016091416:43:29-07","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:43:00.000","89","6","7","51","56","2","7","33"
"DFS068-2016091416:43:29-08","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:43:00.000","89","6","8","57","62","2","1","18"
"DFS068-2016091416:43:29-09","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:43:00.000","89","6","9","63","68","2","1","7"
"DFS068-2016091416:43:29-10","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:43:00.000","89","157","10","69","225","2","0","1"
"DFS068-2016091416:58:29-01","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:58:00.000","87","15","1","6","20","0","9","0"
"DFS068-2016091416:58:29-02","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:58:00.000","87","6","2","21","26","0","7","1"
"DFS068-2016091416:58:29-03","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:58:00.000","87","6","3","27","32","0","11","0"
"DFS068-2016091416:58:29-04","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:58:00.000","87","6","4","33","38","0","19","0"
"DFS068-2016091416:58:29-05","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:58:00.000","87","6","5","39","44","0","27","1"
"DFS068-2016091416:58:29-06","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:58:00.000","87","6","6","45","50","1","12","19"
"DFS068-2016091416:58:29-07","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:58:00.000","87","6","7","51","56","2","1","51"
"DFS068-2016091416:58:29-08","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:58:00.000","87","6","8","57","62","2","0","10"
"DFS068-2016091416:58:29-09","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:58:00.000","87","6","9","63","68","2","0","4"
"DFS068-2016091416:58:29-10","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T16:58:00.000","87","157","10","69","225","2","1","1"
"DFS068-2016091417:13:29-01","DFS068","127 St & 134 Av NB","NB","50","KPH","15","75","2016-09-14T17:13:00.000","89","15","1","6","20","0","7","0"
