"category","year","neighbourhood","address","quadrant","ward","latitude","longitude","location","geometry_point"
"General","2018","Rosslyn","13532 - 113 STREET NW","NW","2","53.59796583573511","-113.51565851194782","
,  
(53.59796583573511, -113.51565851194782)","POINT (-113.51565851194782 53.59796583573511)"
"General","2017","Malmo Plains","11535 - 51 AVENUE","SW","10.0","53.487939308391454","-113.53097145714946","
,  
(53.487939308391454, -113.53097145714946)","POINT (-113.53097145714946 53.487939308391454)"
"General","2018","Rosslyn","10215 - 135 AVENUE NW","NW","2","53.596601064753266","-113.49633848628918","
,  
(53.596601064753266, -113.49633848628918)","POINT (-113.49633848628918 53.596601064753266)"
"General","2014","Strathcona","10446 - 86 AVENUE","NW","8","53.521844","-113.50002","
,  
(53.521844, -113.50002)","POINT (-113.50002 53.521844)"
"General","2016","Glenora","13112 - CHURCHILL CRESCENT","W","6","53.54494452468731","-113.54904848750543","
,  
(53.54494452468731, -113.54904848750543)","POINT (-113.54904848750543 53.54494452468731)"
"General","2015","Queen Alexandra","10710  -  74 AVENUE","SW","8","53.5106393121041","-113.506752321776","
,  
(53.5106393121041, -113.506752321776)","POINT (-113.506752321776 53.5106393121041)"
"General","2017","Hairsine","13828 - 35 STREET","NE","4.0","53.60093380614595","-113.39588349429674","
,  
(53.60093380614595, -113.39588349429674)","POINT (-113.39588349429674 53.60093380614595)"
"General","2016","Rio Terrace","15208 - 78 AVENUE","W","5","53.51178696631564","-113.58387876001088","
,  
(53.51178696631564, -113.58387876001088)","POINT (-113.58387876001088 53.51178696631564)"
"General","2018","Hazeldean","9511 - 72 AVENUE NW","SE","11","53.508217082685235","-113.47416349540735","
,  
(53.508217082685235, -113.47416349540735)","POINT (-113.47416349540735 53.508217082685235)"
"General","2015","Caernarvon","14516  -  114A STREET","NW","2","53.6077393667262","-113.519392441527","
,  
(53.6077393667262, -113.519392441527)","POINT (-113.519392441527 53.6077393667262)"
"General","2014","Caernarvon","15236 - 121 STREET","NW","2","53.616128","-113.530748","
,  
(53.616128, -113.530748)","POINT (-113.530748 53.616128)"
"General","2017","Strathcona","10624 - 84 AVENUE","SW","8.0","53.5201919513971","-113.50477025162081","
,  
(53.5201919513971, -113.50477025162081)","POINT (-113.50477025162081 53.5201919513971)"
"General","2016","Griesbach","988 - VALOUR WAY","NW","2","53.603254169708975","-113.4950860415648","
,  
(53.603254169708975, -113.4950860415648)","POINT (-113.4950860415648 53.603254169708975)"
"General","2017","Avonmore","7719 - 76 AVENUE","SE","11.0","53.51201311934896","-113.4470980775682","
,  
(53.51201311934896, -113.4470980775682)","POINT (-113.4470980775682 53.51201311934896)"
"General","2018","Bearspaw","10420 - 10 AVENUE NW","SW","10","53.44071547619726","-113.49535632650942","
,  
(53.44071547619726, -113.49535632650942)","POINT (-113.49535632650942 53.44071547619726)"
"General","2015","Summerside","337  -  SUMMERSIDE COVE","SE","12","53.4190276774178","-113.471851970524","
,  
(53.4190276774178, -113.471851970524)","POINT (-113.471851970524 53.4190276774178)"
"General","2015","Woodcroft","13908  -  115A AVENUE","W","2","53.5663283581257","-113.562543429308","
,  
(53.5663283581257, -113.562543429308)","POINT (-113.562543429308 53.5663283581257)"
"General","2014","McLeod","6012 - 152 AVENUE","NW","4","53.613042","-113.435744","
,  
(53.613042, -113.435744)","POINT (-113.435744 53.613042)"
"General","2018","Bonnie Doon","8802 - 88 AVENUE NW","SE","8","53.52379192586342","-113.46242973286705","
,  
(53.52379192586342, -113.46242973286705)","POINT (-113.46242973286705 53.52379192586342)"
"General","2017","Kensington","12204 - 134 AVENUE","NW","2.0","53.59499510577294","-113.53236837044285","
,  
(53.59499510577294, -113.53236837044285)","POINT (-113.53236837044285 53.59499510577294)"
"General","2016","Bannerman","2015 - 139 AVENUE","NE","4","53.60224605322275","-113.37494093566538","
,  
(53.60224605322275, -113.37494093566538)","POINT (-113.37494093566538 53.60224605322275)"
"General","2014","Westmount","10972 - 123 STREET","NW","6","53.556298","-113.534418","
,  
(53.556298, -113.534418)","POINT (-113.534418 53.556298)"
"General","2018","Sifton Park","13112 - 42 STREET NW","NE","4","53.592632702130686","-113.40701340277371","
,  
(53.592632702130686, -113.40701340277371)","POINT (-113.40701340277371 53.592632702130686)"
"General","2018","Westmount","10819 - 126 STREET NW","NW","6","53.55309225463166","-113.53898728858485","
,  
(53.55309225463166, -113.53898728858485)","POINT (-113.53898728858485 53.55309225463166)"
"General","2018","Hazeldean","9523 - 69 AVENUE NW","SE","11","53.505458361508325","-113.47476328878342","
,  
(53.505458361508325, -113.47476328878342)","POINT (-113.47476328878342 53.505458361508325)"
"General","2015","Westmount","10831  -  127 STREET","NW","6","53.5535473571334","-113.540708374482","
,  
(53.5535473571334, -113.540708374482)","POINT (-113.540708374482 53.5535473571334)"
