"row_id","site_id","location_description","direction","speed_limit","speed_unit_of_measure","minimum_speed_detection_setting","maximum_speed_detection_setting","log_timestamp","vehicle_count_for_log_interval","speed_range_for_bin","bin_number","minimum_speed_for_bin_number","maximum_speed_for_bin_number","bin_over_speed_limit_flag","vehicle_count_at_slowest_speed_detected","vehicle_count_at_highest_speed_detected"
"DFS135-2017071211:25:30-03","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:25:00.000","58","5","3","35","39","0","8","3"
"DFS135-2017071211:25:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:25:00.000","58","5","4","40","44","0","13","13"
"DFS135-2017071211:25:30-05","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:25:00.000","58","5","5","45","49","0","8","17"
"DFS135-2017071211:25:30-06","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:25:00.000","58","5","6","50","54","1","2","13"
"DFS135-2017071211:25:30-07","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:25:00.000","58","5","7","55","59","2","0","4"
"DFS135-2017071211:25:30-08","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:25:00.000","58","5","8","60","64","2","0","0"
"DFS135-2017071211:25:30-09","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:25:00.000","58","5","9","65","69","2","0","1"
"DFS135-2017071211:25:30-10","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:25:00.000","58","156","10","70","225","2","0","0"
"DFS135-2017071211:40:30-01","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:40:00.000","44","24","1","6","29","0","16","5"
"DFS135-2017071211:40:30-02","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:40:00.000","44","5","2","30","34","0","3","4"
"DFS135-2017071211:40:30-03","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:40:00.000","44","5","3","35","39","0","7","6"
"DFS135-2017071211:40:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:40:00.000","44","5","4","40","44","0","8","5"
"DFS135-2017071211:40:30-05","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:40:00.000","44","5","5","45","49","0","8","12"
"DFS135-2017071211:40:30-06","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:40:00.000","44","5","6","50","54","1","1","8"
"DFS135-2017071211:40:30-07","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:40:00.000","44","5","7","55","59","2","0","2"
"DFS135-2017071211:40:30-08","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:40:00.000","44","5","8","60","64","2","1","2"
"DFS135-2017071211:40:30-09","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:40:00.000","44","5","9","65","69","2","0","0"
"DFS135-2017071211:40:30-10","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:40:00.000","44","156","10","70","225","2","0","0"
"DFS135-2017071211:55:30-01","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:55:00.000","53","24","1","6","29","0","16","3"
"DFS135-2017071211:55:30-02","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:55:00.000","53","5","2","30","34","0","8","3"
"DFS135-2017071211:55:30-03","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:55:00.000","53","5","3","35","39","0","9","7"
"DFS135-2017071211:55:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:55:00.000","53","5","4","40","44","0","10","9"
"DFS135-2017071211:55:30-05","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:55:00.000","53","5","5","45","49","0","4","11"
"DFS135-2017071211:55:30-06","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:55:00.000","53","5","6","50","54","1","6","11"
"DFS135-2017071211:55:30-07","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:55:00.000","53","5","7","55","59","2","0","7"
"DFS135-2017071211:55:30-08","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:55:00.000","53","5","8","60","64","2","0","0"
"DFS135-2017071211:55:30-09","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:55:00.000","53","5","9","65","69","2","0","0"
"DFS135-2017071211:55:30-10","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T11:55:00.000","53","156","10","70","225","2","0","2"
"DFS135-2017071212:10:30-01","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:10:00.000","64","24","1","6","29","0","17","5"
"DFS135-2017071212:10:30-02","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:10:00.000","64","5","2","30","34","0","10","3"
"DFS135-2017071212:10:30-03","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:10:00.000","64","5","3","35","39","0","14","8"
"DFS135-2017071212:10:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:10:00.000","64","5","4","40","44","0","13","8"
"DFS135-2017071212:10:30-05","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:10:00.000","64","5","5","45","49","0","7","16"
"DFS135-2017071212:10:30-06","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:10:00.000","64","5","6","50","54","1","2","10"
"DFS135-2017071212:10:30-07","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:10:00.000","64","5","7","55","59","2","1","11"
"DFS135-2017071212:10:30-08","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:10:00.000","64","5","8","60","64","2","0","3"
"DFS135-2017071212:10:30-09","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:10:00.000","64","5","9","65","69","2","0","0"
"DFS135-2017071212:10:30-10","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:10:00.000","64","156","10","70","225","2","0","0"
"DFS135-2017071212:25:30-01","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:25:00.000","63","24","1","6","29","0","25","4"
"DFS135-2017071212:25:30-02","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:25:00.000","63","5","2","30","34","0","14","5"
"DFS135-2017071212:25:30-03","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:25:00.000","63","5","3","35","39","0","9","9"
"DFS135-2017071212:25:30-04","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:25:00.000","63","5","4","40","44","0","6","14"
"DFS135-2017071212:25:30-05","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:25:00.000","63","5","5","45","49","0","6","11"
"DFS135-2017071212:25:30-06","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:25:00.000","63","5","6","50","54","1","3","13"
"DFS135-2017071212:25:30-07","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:25:00.000","63","5","7","55","59","2","0","6"
"DFS135-2017071212:25:30-08","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:25:00.000","63","5","8","60","64","2","0","1"
"DFS135-2017071212:25:30-09","DFS135","106 St SO 38 Av","SB","50","KPH","25","75","2017-07-12T12:25:00.000","63","5","9","65","69","2","0","0"
