"agency","invoice_date","client_reference","program_year","city","county","zip","unit_ownership","housing_unit_type","elderly","children","disabled_occupants","native_american_occupants","other_occupants","total_occupants","primary_heating_fuel","utility","unit_year_built","unit_size","unit_stories","auditor","wx_contractor","hvac_contractor","final_inspector","pre_wx_test_cfm","post_wx_test_cfm","total_cfm_difference","funding_assignment","furnace_replacement","total_invoice_cost","po_amount_wap_base","po_amount_rggi_wap","po_amount_wap_utility","po_amount_liheap","hs_amount_wap_base","hs_amount_rggi_wap","hs_amount_wap_utility","hs_amount_liheap"
"ECA NCC","2021-04-29T00:00:00.000","NC-1543048613","2020","Wilmington","New Castle","19808","Own","Mobile Home","0","0","0","0","2","2","Oil","Delmarva","1980","1232","2","Mariano T.","Efficient Home",,"Michael W.","3214","2002","1212","WAP Base/WAP Utility","N","10517.65","31.50",,"8929.35",,"1356.80",,"200.00",
"ECA NCC","2020-07-08T00:00:00.000","NC-1625599346","2020","Wilmington","New Castle","19801","Own","Single-Family Attached","0","3","0","0","2","5","Gas","Delmarva","1928","1786","2","George B.","ECA",,"Michael W.","3822","3236","586","WAP Base/WAP Utility","N","5047.05","3432.00",,,,"1215.05",,"400.00",
"ECA NCC","2020-12-21T00:00:00.000","NC-1649183271","2020","Newark","New Castle","19702","Own","Single-Family Attached","2","0","0","0","0","2","Gas","Delmarva","1999","2239","2","Alexis P.","ECA/Energy Services Group",,"Michael W.","3260","2349","911","WAP Base","N","0.00",,,,,,,,
"Catholic Charities","2016-09-22T00:00:00.000","S15-1070840235","2016","Milton","Sussex","19968","Own","Mobile Home","0","0","1","0","0","1","Oil","DEC/Wilson Baker","1989","1302","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2852","2000","852","RGGI WAP","N","6479.65",,"5854.65",,,,"625.00",,
"ECA NCC","2021-01-27T00:00:00.000","NC-1656777902","2020","Newark","New Castle","19702","Own","Single-Family Attached","1","0","0","0","0","1","Oil","Delmarva/Cochran","1978","1930","2","George B.","Efficient Home",,"Michael W.","3722","3525","197","WAP Utility","N","5684.48",,,"3817.44",,,,"1867.04",
"ECA NCC","2021-01-27T00:00:00.000","NC-1712215028","2020","New Castle","New Castle","19720","Own","Single-Family Detached","0","0","1","0","0","1","Gas","Delmarva","1954","790","1","Mariano T.","Energy Services Group",,"Michael W.","4808","2086","2722","WAP Base/WAP Utility","N","6789.50","3414.50",,"100.00",,,,"3275.00",
"ECA NCC","2020-06-27T00:00:00.000","NC-1722007103","2020","Wilmington","New Castle","19802","Own","Single-Family Attached","0","1","2","0","0","3","Gas","Delmarva","1925","1149","2","Krist M.","ECA",,"Veronica I.","5308","2196","3112","WAP Base","N","6863.13","4602.15",,,,"2260.98",,,
"ECA NCC","2020-09-03T00:00:00.000","NC-1758177316","2020","Newark","New Castle","19702","Own","Mobile Home","0","0","1","0","0","1","Propane","Delmarva","2006","931","1","George B.","Efficient Home",,"Michael W.","1102","789","313","WAP Base/WAP Utility","N","6007.71","2668.65",,"1979.36",,"1159.70",,"200.00",
"Catholic Charities","2016-09-27T00:00:00.000","K15-350096492","2016","Dover","Kent","19901","Rent","Mobile Home","1","0","0","0","0","1","Oil","Delmarva/Carl King","1970","540","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2136","1400","736","RGGI WAP","Y","7768.30",,"3922.30",,,,"3846.00",,
"Catholic Charities","2016-09-27T00:00:00.000","K15-458720036","2016","Dover","Kent","19901","Own","Single-Family Detached",,,,,,,"Oil","City of Dover/Kent Oil","1971","2236","2","Gary H.","RS Bauer",,,,,"0","RGGI WAP","N","345.28",,"85.28",,,,"260.00",,
"ECA NCC","2020-09-30T00:00:00.000","NC-1829623139","2020","Newark","New Castle","19713","Own","Single-Family Detached","1","0","0","0","0","1","Electric","Delmarva","1987","928","1","George B.","Efficient Home",,"Michael W.","1282","1055","227","WAP Base/WAP Utility","N","4406.75","1956.75",,"747.00",,"1503.00",,"200.00",
"Catholic Charities","2016-09-29T00:00:00.000","N15-1248647850","2016","New Castle","New Castle","19720","Own","Single-Family Detached","0","1","0","0","0","4","Gas","Delmarva","1952","1260","1","Steve C.","Efficient Home",,"Steve C.","3210","2576","634","WAP BASE","N","2964.50","2164.50",,,,"800.00",,,
"ECA NCC","2020-09-30T00:00:00.000","NC-1836855090","2020","Wilmington","New Castle","19808","Own","Single-Family Detached","0","0","0","0","1","1","Gas","Delmarva","1964","1660","2","Steve C.","ECA",,"Michael W.","2807","2309","498","WAP Utility","N","2426.30",,,"2060.30",,,,"366.00",
"ECA NCC","2020-12-22T00:00:00.000","NC-191216325","2020","Bear","New Castle","19701","Own","Mobile Home","1","0","0","0","0","1","Propane","Delmarva/Schagrin","1997","1680","1","George B.","Efficient Home",,"Michael W.","2642","1877","765","WAP Base/WAP Utility","N","11406.73","3560.67",,"6302.66",,"888.40",,"655.00",
"Catholic Charities","2016-09-30T00:00:00.000","N15-1488384438","2016","New Castle","New Castle","19720","Own","Single-Family Detached","0","2","0","0","0","3","Electric","Delmarva","1947","1008","1","Ed W.","Efficient Home",,"Steve C.","2743","1617","1126","WAP BASE","N","3378.46","2276.96",,,,"1101.50",,,
"ECA NCC","2020-07-28T00:00:00.000","NC-1913841462","2020","Wilmington","New Castle","19802","Own","Single-Family Attached","1","1","1","0","1","4","Oil","Delmarva/American Energy","1926","2480","2","Krist M.","ECA",,"Michael W.","6150","4831","1319","WAP Base/WAP Utility","N","4377.90","2800.00",,"331.80",,"746.10",,"500.00",
"ECA NCC","2020-07-13T00:00:00.000","NC-2045236887","2020","Claymont","New Castle","19703","Own","Single-Family Attached","1","0","0","0","0","1","Gas","Delmarva","1950","713","1","George B.","Efficient Home",,"Michael W.","1721","1030","691","WAP Base/WAP Utility","N","10507.38","3937.49",,"3822.64",,"2747.25",,,
"Catholic Charities","2016-10-12T00:00:00.000","K15-1346607467","2016","Houston","Kent","19954","Own","Single-Family Detached","0","0","0","0","0","1","Oil/Electric","Delmarva/Houston Oil","1950","1229","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1683","1102","581","RGGI WAP","N","4734.48",,"4004.48",,,,"730.00",,
"ECA NCC","2020-06-18T00:00:00.000","NC-211025337","2020","Wilmington","New Castle","19801","Own","Single-Family Attached","0","2","0","0","1","3","Gas","Delmarva","2005","2208","3","Krist M.","ECA",,"Michael W.","2176","1822","354","WAP Base","N","1892.70","1113.80",,,,"778.90",,,
"ECA NCC","2020-12-11T00:00:00.000","NC-22335929","2020","Newark","New Castle","19702","Own","Single-Family Detached","0","4","3","0","0","7","Gas","Delmarva","1999","1800","3","Mariano T.","Efficient Home",,"Michael W.","2170","1713","457","WAP Utility","N","4610.50",,,"2693.00",,,,"1917.50",
"ECA NCC","2020-12-29T00:00:00.000","NC-349867615","2020","Wilmington","New Castle","19809","Rent","Mobile Home","0","2","1","0","0","3","Oil","Delmarva/Hillside","1984","4664","1","George B.","Efficient Home",,"Michael W.","1912","1393","519","WAP Base/WAP Utility","N","4449.08","2468.28",,"553.00",,,,"1427.80",
"Catholic Charities","2016-10-13T00:00:00.000","S15-1940215062","2016","Georgetown","Sussex","19947","Own","Single-Family Detached","1","2","0","0","0","4","Electric","Delmarva","1972","1056","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1157","970","187","RGGI WAP","N","5671.49",,"4630.49",,,,"1041.00",,
"Catholic Charities","2016-10-13T00:00:00.000","K15-1773144565","2016","Magnolia","Kent","19962","Own","Mobile Home","0","0","1","0","0","1","Propane","DEC/Paradee Gas","1989","924","1","Gary H.","Total Home Performance","RS Bauer","Gary H.","2410","1648","762","WAP BASE","Y","6043.25","5193.25",,,,"850.00",,,
"Catholic Charities","2016-10-13T00:00:00.000","K15-1773144565","2016","Magnolia","Kent","19962","Own","Mobile Home",,,,,,,"Propane","DEC/Paradee Gas","1989","924","1","Gary H.","RS Bauer","Total Home Performance","Gary H.","2410","1648","762","RGGI WAP","Y","3020.00",,"2975.00",,,,"45.00",,
"ECA NCC","2021-03-22T00:00:00.000","NC-423153052","2020","Wilmington","New Castle","19808","Own","Mobile Home","2","0","0","0","0","2","Oil","Delmarva/Hillside","1988","748","1","George B.","Efficient Home",,"Michael W.","1774","1236","538","WAP Base/WAP Utility","N","6994.12","4539.62",,"1033.50",,,,"1421.00",
"Catholic Charities","2016-10-13T00:00:00.000","K15-564559249","2016","Harrington","Kent","19952","Own","Single-Family Detached","1","0","0","0","0","1","Oil","Delmarva/Houston Oil","1948","1260","2","Gary H.","RS Bauer","RS Bauer","Gary H.","3804","2848","956","RGGI WAP","N","4439.40",,"3299.90",,,,"1139.50",,
"ECA NCC","2020-07-14T00:00:00.000","NC-498691472","2020","New Castle","New Castle","19720","Own","Single-Family Attached","0","0","1","0","0","1","Gas","Delmarva","1970","1718","2","George B.","ECA",,"Michael W.","5916","4422","1494","WAP Base/RGGI WAP","Y","9774.50","3119.90","4975.00",,,"1679.60",,,
"ECA NCC","2020-08-11T00:00:00.000","NC-565971238","2020","Wilmington","New Castle","19802","Own","Single-Family Attached","2","0","0","0","0","2","Gas","Delmarva","1920","1997","2","George B.","ECA",,"Michael W.","5000","4602","398","WAP Base/WAP Utility","N","4755.91","329.00",,"3347.71",,"579.20",,"500.00",
"ECA NCC","2020-08-19T00:00:00.000","NC-567686159","2020","Claymont","New Castle","19703","Own","Single-Family Attached","2","0","0","0","0","2","Electric","Delmarva","1984","1280","1","George B.","ECA",,"Michael W.","1904","1655","249","WAP Utility","N","1085.00",,,"786.80",,,,"298.20",
"ECA NCC","2021-01-30T00:00:00.000","NC-616930477","2020","Newark","New Castle","19702","Own","Mobile Home","0","0","1","0","0","1","Electric","Delmarva","1980","825","1","Mariano T.","Efficient Home",,"Michael W.","1793","1459","334","WAP Utility","N","4549.79",,,"2889.39",,,,"1660.40",
"Catholic Charities","2016-10-17T00:00:00.000","K15-1503985738","2016","Hartly","Kent","19953","Own","Mobile Home","0","0","1","0","0","1","Propane","DEC/Carl King","1997","1216","1","Gary H.","RS Bauer","RS Bauer","Gary H.","1062","890","172","RGGI WAP","N","5106.40",,"4646.40",,,,"460.00",,
"ECA NCC","2021-01-29T00:00:00.000","NC-668709062","2020","Newark","New Castle","19713","Own","Single-Family Detached","2","3","0","0","0","5","Oil","Delmarva/Harley Service","1954","2054","2","Mariano T.","Energy Services Group",,"Michael W.","3719","2800","919","WAP Base/WAP Utility","N","9860.10","4079.50",,"3354.50",,,,"2426.10",
"Catholic Charities","2016-10-20T00:00:00.000","K15-553868505","2016","Camden","Kent","19934","Rent","Mobile Home","0","0","1","0","0","1","Oil","Delmarva/Midstate Fuel","1984","840","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2352","1320","1032","RGGI WAP","Y","9650.50",,"5365.50",,,,"4285.00",,
"Catholic Charities","2016-10-23T00:00:00.000","S15-1241725132","2016","Seaford","Sussex","19973","Rent","Mobile Home","0","1","0","0","2","3","Electric","DEC","1993","1064","1","Gary H.","Free Lighting Corp",,"Gary H.","1680","951","729","RGGI WAP","N","4233.91",,"3535.91",,,,"698.00",,
"Catholic Charities","2016-10-24T00:00:00.000","S15-984843378","2016","Lincoln","Sussex","19960","Own","Single-Family Detached","0","0","0","0","0","1","Electric","DEC","1999","1008","1","Gary H.","RS Bauer","RS Bauer","Gary H.","735","700","35","WAP BASE","N","2148.02","1569.02",,,,"579.00",,,
"ECA NCC","2020-09-30T00:00:00.000","NC-705407180","2020","New Castle","New Castle","19720","Own","Single-Family Detached","1","0","0","0","0","1","Electric","Delmarva","1990","1809","2","George B.","Efficient Home",,"Michael W.","1368","1054","314","WAP Base/WAP Utility","N","6965.12","1585.52",,"3720.30",,"1401.80",,"257.50",
"Catholic Charities","2016-10-25T00:00:00.000","N14-986929684","2016","Newark","New Castle","19702","Own","Single-Family Attached","0","2","0","0","0","4","Gas","Delmarva","2001","2070","2","Ed W.","Efficient Home","Efficient Home","Ed W.","2017","1521","496","WAP UTILITY","N","299.37",,,"89.37",,,,"210.00",
"ECA NCC","2021-01-29T00:00:00.000","NC-711420330","2020","Wilmington","New Castle","19804","Own","Single-Family Detached","0","0","1","0","0","1","Oil","Delmarva/Shellhorn & Hill","1950","1340","1","Mariano T.","Energy Services Group",,"Michael W.","3940","2979","961","WAP Base/WAP Utility","N","6045.10","3690.60",,"212.00",,,,"2142.50",
"Catholic Charities","2016-10-25T00:00:00.000","N15-1155484099","2016","Hockessin","New Castle","19707","Own","Single-Family Detached","1","0","1","0","0","1","Gas","Delmarva Power","1960","3223","2","Steve C.","Efficient Home",,"Steve C.","5399","4104","1295","WAP UTILITY","N","5336.33",,,"4414.33",,,,"922.00",
"ECA NCC","2020-11-17T00:00:00.000","NC-72059325","2020","Middletown","New Castle","19709","Rent","Single-Family Detached","1","0","0","0","0","1","Gas","Town of Middletown/Chesapeake","1999","1240","2","Mariano T.","Efficient Home",,"Michael W.","1739","1563","176","WAP Base/RGGI WAP","N","3969.90","1723.60","592.70",,,"1453.60","200.00",,
"ECA NCC","2020-08-24T00:00:00.000","NC-754835196","2020","Newark","New Castle","19702","Own","Single-Family Detached","1","0","0","0","0","1","Gas","Delmarva","1991","2606","2","George B.","RS Bauer",,"Michael W.","3059","2068","991","WAP Base/WAP Utility","N","5365.45","2736.65",,"1061.00",,"1142.80",,"425.00",
"ECA NCC","2021-04-01T00:00:00.000","NC-773653752","2020","Elsmere","New Castle","19805","Own","Single-Family Detached","1","0","0","0","0","1","Gas","Delmarva","1940","2228","2","George B.","Energy Services Group",,"Michael W.","2765","3222","-457","WAP Base/WAP Utility","N","6709.06","2518.12",,"2009.94",,,,"1656.00",
"ECA NCC","2020-07-31T00:00:00.000","NC-781220664","2020","Wilmington","New Castle","19802","Own","Single-Family Attached","1","1","0","0","1","3","Gas","Delmarva","1928","2079","2","George B.","ECA",,"Michael W.","3580","3573","7","WAP Base/WAP Utility","N","3549.81","1650.31",,"1053.00",,"846.50",,,
"Catholic Charities","2016-10-28T00:00:00.000","K15-441801350","2016","Dover","Kent","19901","Own","Single-Family Detached","0","0","1","0","0","3","Oil","City of Dover/Kent Oil","1950","1301","1","Gary H.","RS Bauer","RS Bauer","Gary H.","3141","1815","1326","RGGI WAP","N","6340.21",,"5485.21",,,,"855.00",,
"ECA NCC","2020-09-14T00:00:00.000","NC-783845404","2020","New Castle","New Castle","19801","Own","Single-Family Attached","0","1","0","0","0","1","Gas","Delmarva","1900","2260","3","George B.","ECA",,"Michael W.","7106","5483","1623","WAP Utility","N","524.00",,,,,,,"524.00",
"Catholic Charities","2016-10-31T00:00:00.000","K16-126315281","2016","Magnolia","Kent","19962","Own","Mobile Home","0","0","1","0","0","1","Propane","DEC/Carl King","1979","924","1","Steve C.","RS Bauer","RS Bauer","Gary H.","3027","1642","1385","RGGI WAP","Y","8811.50",,"4824.75",,,,"3986.75",,
"ECA NCC","2020-07-29T00:00:00.000","NC-807097019","2020","Wilmington","New Castle","19805","Own","Single-Family Attached","0","0","1","0","1","2","Gas","Delmarva","1973","1928","2","George B.","ECA",,"Michael W.","4159","2901","1258","WAP Base/WAP Utility","Y","10742.55","7222.55",,"1304.00",,"1111.50",,"1104.50",
"ECA NCC","2020-07-20T00:00:00.000","NC-828355260","2020","Newark","New Castle","19702","Own","Single-Family Attached","2","0","0","0","0","2","Electric","Delmarva","1987","3436","2","George B.","RS Bauer",,"Michael W.","3130","2451","679","WAP Base/WAP Utility","N","9257.25","4992.47",,"427.80",,"2349.48",,"1487.50",
"ECA NCC","2020-07-08T00:00:00.000","NC-861478430","2020","Wilmington","New Castle","19808","Own","Mobile Home","1","0","0","0","0","1","Oil","Delmarva/Hillside","1998","910","1","Alexis P.","Efficient Home",,"Michael W.","3179","1959","1220","WAP Base/WAP Utility","N","8268.41","5596.58",,,,"1871.83",,"800.00",
"ECA NCC","2021-01-26T00:00:00.000","NC-903456091","2020","Wilmington","New Castle","19801","Own","Single-Family Attached","0","0","1","0","0","1","Electric","Delmarva","1983","1528","2","George B.","Energy Services Group",,"Michael W.","3369","3590","-221","WAP Utility","N","4454.51",,,"2316.11",,,,"2138.40",
"ECA NCC","2021-01-27T00:00:00.000","NC-914852171","2020","Wilmington","New Castle","19808","Own","Single-Family Detached","1","0","0","0","1","2","Oil","Delmarva/Ace Oil","1956","1334","1","George B.","Efficient Home",,"Michael W.","2164","1222","942","WAP Base/WAP Utility","N","11955.10","3936.95",,"1718.80",,"3424.35",,"2875.00",
"Catholic Charities","2016-11-04T00:00:00.000","K15-147371215","2016","Dover","Kent","19901","Own","Mobile Home","0","0","0","0","1","1","Propane","City of Dover/Staats Gas","1964","580","1","Gary H.","Free Lighting Corp","RS Bauer","Gary H.","1390","900","490","RGGI WAP","Y","7768.00",,"978.00",,,,"6790.00",,
"ECA NCC","2021-01-29T00:00:00.000","NC-926209554","2020","New Castle","New Castle","19720","Own","Single-Family Attached","0","2","0","0","1","3","Oil","Delmarva/Roman Oil","1981","1415","2","Mariano T.","Energy Services Group",,"Michael W.","3185","2276","909","WAP Base/WAP Utility","N","5373.90","2636.90",,,,,,"2737.00",
"ECA K&S","2021-04-23T00:00:00.000","S-28371647","2020","Millsboro","Sussex","19966","Own","Mobile Home","0","0","2","0","0","2","Electric","DEC","1980","2620","1","Mariano T.","FLC",,"Michael W.","3930","2634","1296","WAP Base/RGGI WAP","N","10271.56","111.60","8700.81",,,"1259.15","200.00",,
"Catholic Charities","2016-11-08T00:00:00.000","S15-184641374","2016","Laurel","Sussex","19956","Rent","Single-Family Detached","1","0","0","0","0","1","Propane","Delmarva/Poore's Propane","1929","686","2","Gary H.","RS Bauer","RS Bauer","Gary H.","2015","1795","220","WAP UTILITY","Y","6443.60",,,"2503.60",,,,"3940.00",
"Catholic Charities","2016-11-10T00:00:00.000","S15-1201200845","2016","Georgetown","Sussex","19947","Own","Mobile Home","1","0","0","0","0","1","Electric","DEC","1993","1268","1","Gary H.","Free Lighting Corp",,"Gary H.","1268","820","448","RGGI WAP","N","5565.75",,"4753.75",,,,"812.00",,
"ECA K&S","2021-05-05T00:00:00.000","S-863698364","2020","Laurel","Sussex","19956","Own","Mobile Home","1","0","0","0","0","1","Propane","Delmarva/Peninsula","1996","908","1","Shane Fair",,,,,,"0","WAP Utility","N","550.00",,,"550.00",,,,,
"Catholic Charities","2016-11-14T00:00:00.000","S15-2142197201","2016","Selbyville","Sussex","19975","Own","Mobile Home","1","0","0","0","0","1","Propane","Delmarva/Southern States","1984","924","1","Gary H.","Free Lighting Corp",,"Gary H.","2482","1705","777","WAP BASE","N","6286.80","5488.80",,,,"798.00",,,
"Catholic Charities","2016-11-16T00:00:00.000","S15-1729498869","2016","Lewes","Sussex","19958","Own","Mobile Home","1","0","1","0","0","1","Propane","Delmarva/Suburban Pro","1992","1204","1","Gary H.","First Class Hvac",,"Gary H.","2436","1480","956","WAP UTILITY","N","5008.55",,,"4628.55",,,,"380.00",
"Catholic Charities","2016-11-21T00:00:00.000","N16-689986145","2016","Bear","New Castle","19701","Own","Mobile Home","2","0","0","0","0","2","Electric","Delmarva","1992","1680","1","Steve C.","Efficient Home",,"Steve C.","2273","1883","390","WAP UTILITY","N","8792.90",,,"8136.90",,,,"656.00",
"Catholic Charities","2016-11-21T00:00:00.000","N14-1360402029","2016","Wilmington","New Castle","19802","Own","Single-Family Attached","0","0","1","0","0","1","Gas","Delmarva","1956","1150","2","Steve C.","Efficient Home",,"Steve C.","4841","4003","838","WAP UTILITY","N","4124.85",,,"2293.85",,,,"1831.00",
"Catholic Charities","2016-11-22T00:00:00.000","K15-151360053","2016","Dover","Kent","19904","Own","Single-Family Detached","0","2","0","0","0","4","Gas","DEC/Chesapeake","1991","2029","2","Gary H.","RS Bauer",,"Gary H.","1655","1362","293","WAP BASE","N","2393.60","2003.60",,,,"390.00",,,
"Catholic Charities","2016-11-22T00:00:00.000","K15-532256231","2016","Camden","Kent","19934","Own","Single-Family Detached","0","0","2","0","0","4","Electric","Delmarva","1950","2286","2","Steve C.","Free Lighting Corp",,"Gary H.","6875","6150","725","WAP UTILITY","N","9418.06",,,"8733.06",,,,"685.00",
"Catholic Charities","2016-11-23T00:00:00.000","N14-798382886","2016","Newark","New Castle","19713","Own","Single-Family Detached","0","2","0","0","1","3","Gas","Delmarva Power","1963","1591","2","Steve C.","First Class Hvac",,"Ed W.","2300","1635","665","WAP BASE","N","4697.55","4175.55",,,,"522.00",,,
"Catholic Charities","2016-11-28T00:00:00.000","K15-1380709994","2016","Harrington","Kent","19952","Own","Mobile Home","1","0","0","0","0","1","Propane","DEC/Peninsula","1987","1484","1","Gary H.","RS Bauer",,"Gary H.","2815","1936","879","RGGI WAP","N","5563.85",,"5043.85",,,,"520.00",,
"Catholic Charities","2016-11-28T00:00:00.000","K15-359534261","2016","Felton","Kent","19943","Own","Mobile Home","1","0","1","0","0","1","Propane","DEC/Suburban Propane","1998","1296","1","Gary H.","RS Bauer",,"Gary H.","1558","1130","428","RGGI WAP","N","6127.35",,"5517.35",,,,"610.00",,
"Catholic Charities","2016-11-29T00:00:00.000","S15-1762926207","2016","Seaford","Sussex","19973","Own","Mobile Home","0","0","0","0","0","1","Oil","DEC/Peninsula","1995","1404","1","Gary H.","RS Bauer",,"Gary H.","2567","1950","617","WAP BASE","N","6631.20","6141.20",,,,"490.00",,,
"Catholic Charities","2016-12-02T00:00:00.000","K16-311691197","2016","Milford","Kent","19963","Own","Single-Family Detached","1","0","1","0","0","1","Propane","City of Milford/Suburban Propane","1989","1560","2","Gary H.","RS Bauer",,"Gary H.","2163","1458","705","WAP BASE","N","3547.60","3011.60",,,,"536.00",,,
"Catholic Charities","2016-12-02T00:00:00.000","K16-464406852","2016","Dover","Kent","19904","Own","Single-Family Detached","0","4","0","0","0","2","Gas","City of Dover/Chesapeake","1971","2214","2","Gary H.","RS Bauer",,"Gary H.","3354","2250","1104","RGGI WAP","N","4051.15",,"2817.15",,,,"1234.00",,
"Catholic Charities","2016-12-02T00:00:00.000","K16-9393188995","2016","Dover","Kent","19904","Own","Single-Family Detached","0","2","0","0","0","3","Gas","City of Dover/Chesapeake","1966","1816","2","Gary H.","RS Bauer",,"Gary H.","2904","2610","294","RGGI WAP","N","5817.59",,"2595.39",,,,"3222.20",,
"Catholic Charities","2016-12-06T00:00:00.000","N16-113243013","2016","New Castle","New Castle","19720","Own","Single-Family Detached","0","1","0","0","0","4","Oil","Delmarva/Hillside","1950","1200","1","Ed W.","Efficient Home",,"Steve C.",,,"0","WAP UTILITY","N","400.00",,,"400.00",,,,,
"Catholic Charities","2016-12-07T00:00:00.000","S15-100321682","2016","Georgetown","Sussex","19947","Own","Single-Family Detached","0","0","1","0","0","1","Electric","DEC","1980","2195","1","Gary H.","First Class Hvac",,"Gary H.","3251","2969","282","RGGI WAP","N","7726.30",,"7178.30",,,,"548.00",,
"Catholic Charities","2015-05-05T00:00:00.000","K14-1633166882","2015","Milford","Kent","19963","Own","Single-Family Detached","2","0","0","0","0","2","Oil",,"1965","1736","1","Gary H.","RS Bauer",,"Gary H.","3995","2941","1054","RGGI WAP","N","2789.5",,"1927",,,,"862.5",,
"Catholic Charities","2016-12-07T00:00:00.000","K15-702786229","2016","Smyrna","Kent","19977","Own","Single-Family Detached","0","0","0","0","0","3","Oil","Town of Smyrna/Kent Oil","1963","3100","1","Steve C.","Free Lighting Corp",,"Gary H.","3680","2520","1160","RGGI WAP","N","4397.30",,"3071.80",,,,"1325.50",,
"Catholic Charities","2016-12-07T00:00:00.000","K15-765897914","2016","Felton","Kent","19943","Own","Mobile Home","0","0","0","0","0","1","Oil","DEC/Kent Oil","1972","944","1","Gary H.","RS Bauer",,"Gary H.","4846","3248","1598","RGGI WAP","N","6311.20",,"5686.20",,,,"625.00",,
"Catholic Charities","2016-12-12T00:00:00.000","K16-302195339","2016","Dover","Kent","19901","Own","Single-Family Detached","1","0","0","0","0","2","Gas","City of Dover/Chesapeake","1965","1852","2","Gary H.","RS Bauer",,"Gary H.","4817","2806","2011","RGGI WAP","N","6799.08",,"4677.08",,,,"2122.00",,
"Catholic Charities","2016-12-15T00:00:00.000","N15-995224218","2016","Newark","New Castle","19713","Own","Single-Family Detached",,,,,,,"Oil","Delmarva/Cochran Oil","1953","1024","1","Steve C.","Efficient Home",,"Steve C.","3135","1755","1380","WAP UTILITY","N","6153.30",,,"5108.30",,,,"1045.00",
"Catholic Charities","2016-12-21T00:00:00.000","S15-16935970156","2016","Dagsboro","Sussex","19939","Own","Single-Family Detached","1","0","0","0","0","1","Electric","DEC","1977","1654","2","Gary H.","RS Bauer",,"Gary H.","2245","1671","574","RGGI WAP","N","2715.16",,"1992.16",,,,"723.00",,
"Catholic Charities","2016-12-22T00:00:00.000","K16-1742200476","2016","Dover","Kent","19901","Own","Single-Family Detached","0","0","1","0","0","1","Gas","City of Dover/Chesapeake","1967","1880","2","Gary H.","RS Bauer",,"Gary H.","4188","3047","1141","RGGI WAP","N","5332.05",,"4600.05",,,,"732.00",,
"Catholic Charities","2017-01-05T00:00:00.000","S16-1641667325","2016","Milton","Sussex","19968","Own","Mobile Home","1","0","1","0","0","1","Propane","Delmarva/Sharp Energy","1985","924","1","Gary H.","Free Lighting Corp",,"Gary H.","1558","1402","156","WAP UTILITY","N","3475.80",,,"2770.80",,,,"705.00",
"Catholic Charities","2017-01-05T00:00:00.000","S16-267548555","2016","Lewes","Sussex","19958","Own","Mobile Home","1","0","1","0","0","1","Electric","DEC","1997","1404","1","Gary H.","Free Lighting Corp",,"Gary H.","1893","1050","843","RGGI WAP","N","7175.55",,"6329.55",,,,"846.00",,
"Catholic Charities","2017-02-15T00:00:00.000","S16-989555357","2016","Ellendale","Sussex","19941","Own","Single-Family Detached",,,,,,,"Electric","DEC",,,"1","Gary H.","Free Lighting Corp",,"Gary H.",,,,"RGGI WAP","N","876.98",,"101.00",,,,"775.98",,
"Catholic Charities","2017-01-06T00:00:00.000","S16-8000795","2016","Millsboro","Sussex","19966","Own","Single-Family Detached","1","0","0","0","0","1","Electric","DEC","1948","624","1","Gary H.","RS Bauer",,"Gary H.","1646","1233","413","RGGI WAP","N","5354.85",,"4516.85",,,,"838.00",,
"Catholic Charities","2017-01-10T00:00:00.000","N15-1100987020","2016","Wilmington","New Castle","19801","Own","Single-Family Detached","1","0","0","0","0","1","Gas","Delmarva","1948","768","1","Steve C.","Military Construction",,"Steve C.","2986","2023","963","WAP UTILITY","N","3030.70",,,"2358.70",,,,"672.00",
"Catholic Charities","2017-01-10T00:00:00.000","N15-1790858281","2016","New Castle","New Castle","19720","Own","Single-Family Detached","0","0","1","0","0","2","Gas","Delmarva","2003","2100","2","Steve C.","Military Construction",,"Steve C.","2165","1958","207","WAP UTILITY","N","5007.20",,,"4082.20",,,,"925.00",
"Catholic Charities","2017-01-11T00:00:00.000","N16-1398233570","2016","Newark","New Castle","19702","Own","Single-Family Attached","0","0","1","0","0","1","Electric","Delmarva","1975","1320","2","Steve C.","Military Construction",,"Steve C.","2436","2615","-179","WAP UTILITY","N","2620.40",,,"1632.40",,,,"988.00",
"Catholic Charities","2017-01-12T00:00:00.000","N15-691522447","2016","Wilmington","New Castle","19804","Own","Single-Family Detached",,,,,,,"Electric","Delmarva","1975","1975","1","Steve C.",,"First Class HVAC","Steve C.","3700","2967","733","RGGI WAP","N","320.00",,"110.00",,,,"210.00",,
"Catholic Charities","2017-01-12T00:00:00.000","S15-238586352","2016","Seaford","Sussex","19973","Own","Single-Family Detached","0","0","1","0","0","2","Propane","Delmarva/Sherman Propane","1976","1848","2","Gary H.","RS Bauer",,"Gary H.","1864","1571","293","WAP UTILITY","N","4168.58",,,"3200.58",,,,"968.00",
