"month","calendar_year","fiscal_year","withholding","income_tax_estimates_finals","sales_and_use","business_use","room_occupancy","electric_generation","business_entity","corporation_business","pass_through_entity","unrelated_business_income","cable_satellite_and_video","peg_account","electric_power","gas_electric","railroads","estate_gift","insurance_premiums_domestic","insurance_premiums_foreign","health_care_centers","nonadmitted_unauthorized","alcoholic_beverages","cigarette_tax","electronic_cigarette_products","tobacco_products","controlling_interest_transfer","real_estate_conveyance","petroleum_gross_earnings","admissions_dues","admissions_dues_and_tnc_fee","dry_cleaners","occupational_tax","rental_surcharge","solid_waste","tourism_surcharge","controlled_substances","prepaid_wireless_e_9_1_1","paid_preparer_fee","repealed_taxes","nursing_home_user_fee","hospitals","intermediate_care_facility","ambulatory_surgical_centers","gasoline","special_fuel","motor_carrier","licenses","beverage_container_deposits","total_revenue"
"March","2020","FY 2019-20","728968894.00","63769238.00","410362006.40","1421833.50","7951920.78",,"81768.60","175489702.91","273508593.39","508323.51","0.00","220.83","0.00","4243.15","71.80","8030217.87","7134909.30","40421140.93","1126541.00","4564123.36","7822225.24","31018136.84","417207.48","1484285.88","1429397.00","8482908.51","361925.34",,"4231864.84","10280.10","220421.11","0.00","0.00","369235.00","15557.68","199073.09","7400.00","120.00","285313.79","0.00","231945.00","0.00","28777841.69","8622299.02","2428531.40","169275.27","127325.37","1820056318.98"
"April","2020","FY 2019-20","550350397.13","118791681.24","327389305.81","6833814.41","3949067.85",,"240095.61","38896107.19","62471304.57","89264.04","12404303.00","1073745.83","32024919.00","22035898.00","151.20","2359540.09","0.00","812408.86","0.00","162462.79","5720419.19","21836459.81","245323.28","1831787.59","417597.71","38245.20","42571481.05",,"3594702.40","43853.59","88162.31","0.00","427688.00","348866.20","1007.00","267591.83","1000.00","103348.33","16195806.96","96986352.00","893436.00","3285229.00","25564380.23","9339562.04","62675.51","119533.04","7622021.32","1417490996.21"
"May","2020","FY 2019-20","493712367.12","53513382.40","231735048.08","5546922.93","2273053.95",,"-65932.26","15150213.96","12762942.42","81944.79","1869212.00","100673.83","732506.00","995800.56","0.00","3947143.59","277087.98","1276854.58","0.00","526961.76","2073490.65","23318912.02","302870.06","1915973.52","129782.25","4622205.39","6277963.33",,"2505925.37","39742.59","35403.25","0.00","274239.00","163088.23","2253.12","148536.41","500.00","170.00","3298491.55","0.00","517801.00","445285.00","16653280.46","9183506.99","62439.17","138967.88","1626525.06","898173535.99"
"June Final","2020","FY 2019-20","1221655693.85","1319174157.38","922199016.18","7992339.18","8164326.10",,"226114.19","313700648.33","257745120.27","132597.52","14573594.00","0.00","31274088.00","12902218.10","0.00","3665657.16","10189518.65","35673615.79","208369.00","5129.88","18837868.11","46823503.90","987004.91","1966358.88","521650.00","38705276.03","29346294.90",,"2817191.37","16133.27","38215.71","0.00","0.00","192675.57","805.00","212341.77","800.00","6236.05","24997119.74","320717204.44","1431057.00","2965641.07","49410718.54","20522364.19","4020511.77","207503.66","14775641.86","4739002321.32"
"July","2020","FY 2020-21",,,,,,,,,,"241527.26",,"1130026.44",,,"647551.00","22357918.58","-1392999.57","1334404.67","848171.00","11368.00",,"12556890.22",,"2123110.33","543939.70",,,,"3453955.72","50228.42","41070.53","0.00","663224.00","291205.65","489.14","246489.29","700.00","186659.13",,,,,,,,"215948.59",,"45551878.10"
"August","2020","FY 2020-21","358927004.83","33233595.25","369819357.02",,"5337735.25",,,"16273075.10","22434267.77","46663.42","-5540.00","17687.83","0.00","1776.00","0.00","21829767.58","926857.00","2325766.63","0.00","471980.23","7318348.65","28623204.64","323688.26","2117519.67","50287.55","46623261.02","188065.03",,"2450788.20","15062.47","22685.68","0.00","96005.00","321565.21","245.00","213046.69","500.00","95517.10","345933.21","7400.00","248618.00","586177.33","29008549.53","10469316.03","89440.09","306077.00","3773.86","961165069.13"
"September","2020","FY 2020-21","507676714.53","313404766.18","400474193.75",,"8120629.47",,,"142120439.12","233867099.47","370945.98","389805.00","0.00","0.00","16470.53","5476.78","11928163.39","5024080.30","25623190.61","255580.00","18798.39","6021984.07","31569078.88","398806.06","1982421.87","166064.36","34517062.12","1289403.04",,"1640176.47","4502.85","40700.40","0.00","0.00","328940.00","285.00","157156.55","600.00","-216911.99","791733.19","-965.97","252256.00","69907.44","31535493.35","10880691.93","2593278.45","611021.22","23921.94","1773953960.73"
"October","2020","FY 2020-21","516756133.40","106449264.28","391235586.58",,"6412891.15",,,"30012112.40","28469621.85","99348.50","14779971.00","-767512.00","49770617.00","9509348.08","13436.41","28310221.39","75128.00","208580.15","0.00","139085.51","3020087.73","23455011.61","380986.00","1870483.03","1995574.58","28559696.03","28998077.52",,"3367614.49","39287.28","43734.89","0.00","732016.79","355219.64","160.00","358704.43","13900.00","1475480.30","18585040.25","228998163.00","811187.00","1658158.26","28410824.39","10310651.12","213936.70","284953.89","8812493.26","1574225275.89"
"November","2020","FY 2020-21","540991759.73","36229855.14","481108060.53",,"6722042.89",,,"33501620.62","16656588.76","181915.65","1426351.80","72592.00","491284.00","144729.00","0.00","16716289.31","359621.00","1240010.08","0.00","861508.24","10944538.26","27369031.87","481462.66","2110606.80","41111.86","30416084.77","21756767.81",,"2646484.42","36606.31","45934.84","202.97","989.89","344729.86","245.00","222191.08","20027.39","142589.86","7511010.37","25696419.00","629493.30","301563.00","29321566.09","10622408.69","128182.29","314287.90","2190175.49","1309998940.53"
"December","2020","FY 2020-21","717641454.95","82449899.31","435769875.94",,"5193894.34",,,"167939197.09","212671624.42","573367.55","-19039.02","0.00","0.00","941166.99","0.00","28438872.52","4383013.00","24738380.81","255766.00","2701.29","6485525.74","32565956.18","416654.55","1791150.73","2039565.00","27064329.52","184859.00",,"2645153.29","5035.21","552153.62","200.00","0.00","286682.98","245.00","206301.81","24926.31","-642436.02","5039204.39","0.00","239088.32","379364.35","26657759.64","9714409.20","2064857.27","243655.38","672073.30","1799616889.96"
"January","2021","FY 2020-21","643178838.36","524074611.12","364292477.46",,"3035755.06",,,"32646955.84","229324230.12","21066.50","9169767.59","660214.00","12548167.00","8027891.90","71.20","10532197.44","32.00","783963.69","0.00","67927.60","4145402.29","22557770.98","366281.62","1783257.95","152799.00","27183580.90","18993402.56",,"3998096.25","58338.82","5744635.97","183163.00","361761.00","310187.78","385.00","198408.58","20598.85","-89675.26","17550298.92","184755420.00","674411.00","4136990.00","27021695.11","10179702.30","701183.20","271169.58","6999553.31","2176622985.59"
"February","2021","FY 2020-21","625674819.34","37778880.57","421099639.83",,"4131980.38",,,"16318877.59","14568886.19","93100.64","407656.00","-274518.00","13061923.00","7858077.31","0.00","22435517.12","5493119.00","17462583.65","0.00","709766.59","5587461.29","20814952.67","319713.62","1655873.55","3003277.60","24192748.23","28541908.96",,"3611602.41","42373.04","165924.03","140990.83","346761.00","284549.94","4093.30","213301.94","7141.70","-51017.66","3143622.95","30293272.00","739284.77","572144.00","25986313.80","8703740.95","227423.94","229218.32","2892353.49","1348489339.88"
"March","2021","FY 2020-21","811183119.73","80478732.20","469040020.20",,"5323002.51",,,"164311581.01","391450096.11","476806.44","0.00","0.00","147070.69","88833.00","0.00","24845079.02","9420532.89","44951220.92","196111.00","6309092.21","7923655.42","27675701.11","531669.00","1702958.75","336294.39","20603894.24","157110.88",,"3501475.32","14374.38","155354.92","37248.00","9584.00","255249.80","1350.51","293969.18","2992.46","2665061.98","781902.92","-2421.71","451138.74","108755.00","23146994.26","9600419.03","1993560.53","288752.15","26313.35","2110484656.54"
"April","2021","FY 2020-21","613283902.14","514392013.33","467528513.82",,"6159200.33",,,"134256439.93","153931997.03","458084.74","9202706.00","1104734.44","18348957.00","14927497.16","0.00","58469610.99","-675922.63","1791024.25","0.00","52995.45","6374422.55","23784889.93","454833.76","1837083.27","257464.00","21765978.26","54462517.24",,"5743704.68","51418.67","47351.52","3748.73","666956.00","351190.84","962.74","302541.39","1096.76","473999.15","17399385.58","209350488.00","904555.00","4050542.00","28341239.74","10349107.77","722588.03","263770.02","9145564.99","2390339154.60"
"May","2021","FY 2020-21","530351090.80","1011469640.08","324842809.46",,"5546157.47",,,"70716860.75","30405257.27","552743.03","320442.00","16665.00","10799227.00","13270498.06","0.00","37932608.19","1132079.47","3944372.92","0.00","342522.48","4214057.27","24308027.35","429431.16","1831811.67","322811.40","28387786.39","1901887.53",,"2711881.61","14838.83","53220.67","0.00","0.00","320073.18","245.00","109740.00","897.85","144850.54","5370650.92","0.00","236931.00","1136385.00","28492405.38","12265134.93","169577.21","216356.77","498546.16","2154780521.80"
"June Final","2021","FY 2020-21","1310991534.26","356705288.78","1146798804.96",,"24647008.88",,,"336208591.01","220045758.94","277429.35","9338039.00","81.00","33169974.55","14295645.53","20.00","19542662.71","7789128.00","34389154.88","355763.00","37599.11","17075681.64","48066745.36","1101704.72","1717943.75","1456403.36","85348032.50","75859711.39",,"4246221.75","3405.30","35934.09","746.00","0.00","258875.83","1805.00","-8632.67","594.62","2713670.07","24785326.49","232892079.00","1386196.00","4838579.53","61476118.80","21488316.92","2267629.35","209024.51","12240494.98","4114055092.25"
"July","2021","FY 2021-22",,,,,,,,,,"9801.25",,"1025278.00",,,"515741.20","12915175.73","-2852532.00","837700.10","2468028.00","30551.66",,"9604752.14",,"1892055.36","313813.07",,,,"4282755.62","49045.29","51947.62",,"704587.60","467205.92","2710.10","281723.57","300.00","-5527944.91",,,,,,,,"28656.16",,"27101351.48"
"August","2021","FY 2021-22","390154655.94","38465857.21","409145777.04",,"12813693.38",,,"21854874.21","25306258.57","31634.51","1194116.23","-594829.87","0.00","138390.42","0.00","8434785.49","466564.24","1885860.33","5921.00","518316.26","7017275.12","28419243.29","482319.82","2631943.05","507416.10","36150707.47","2433161.41",,"3706690.72","52090.25","67303.13","-3906.00","0.00","382302.08","0.00","206762.89","1000.00","-350585.78","987666.29","0.00","229685.00","1231701.00","32217558.25","9282058.07","107813.52","635842.50","36719.69","1036254642.83"
"September","2021","FY 2021-22","583380191.74","397870439.90","444837718.16",,"13535875.57",,,"152093465.42","284513183.68","148599.88","0.00","0.00","0.00","3942687.75","0.00","9239219.15","5971411.00","22927156.68","-1596620.00","41975.00","6616099.13","29241008.27","507774.35","1083791.11","172404.72","21998674.78","105957.49",,"1737742.42","16808.62","60742.06","14.99","0.00","384781.21","0.00","212176.74","2197.84","-277917.58","55221.45","0.00","233323.00","0.00","30260998.83","8783052.02","1723753.59","653363.02","22510.88","2020499782.87"
"October","2021","FY 2021-22","520732508.19","100041650.95","370784482.54",,"9868625.71",,,"34748117.55","61871559.32","100013.63","7972590.27","1089281.00","46640353.00","5420488.26","0.00","12453368.97","2415.35","-441687.62","671445.56","575338.56","4858651.97","22834234.04","499269.58","1538105.91","796337.00","28240309.02","28254073.19",,"2897403.68","52726.87","93880.03","0.00","807758.91","375719.96","1101.72","190458.27","2892.46","162688.28","18513003.31","209456014.00","422769.00","1674233.00","29907698.89","9498599.98","633256.81","290677.25","11539884.19","1546072298.56"
"November","2021","FY 2021-22","596192919.84","45173573.88","590544113.94",,"14545094.13",,,"30536549.63","27352548.13","336547.96","657911.00","-329106.00","12581893.00","7593199.23","40.00","29766006.97","0.00","1787639.84","0.00","41288.00","7749027.33","28001415.98","570772.22","1678906.51","1114140.62","38170254.73","60033350.41",,"2749455.01","50580.11","63570.24","1175.00","3491724.99","391843.33","0.00","311005.42","6695.70","1220919.61","6282246.48","3234134.00","510937.00","1117630.23","31576477.59","10026472.01","198753.00","398911.25","1414734.89","1557145353.21"
"December","2021","FY 2021-22","815794562.37","88325832.75","415778408.92",,"9515944.72",,,"216659032.85","378536161.13","604192.43","47952.41","0.00","0.00","1936.99","0.00","13419815.60","3656796.18","22548789.32","83602.00","3578.16","8294846.33","24178876.31","431326.91","1760525.30","381992.47","34418324.37","242941.90",,"2206993.15","6967.21","3608688.45","100.00","-3320556.79","348445.00","500.00","182719.50","13942.45","171124.28","2473457.00","0.00","0.00","77114.77","30309792.31","10747465.35","1376592.10","244910.55","14535.62","2083148230.37"
"January","2022","FY 2021-22","754232949.35","635937293.13","696735794.89",,"9534438.01",,,"53097200.93","363914750.72","-39345.64","7662529.60","1010877.80","21864288.00","13809256.53","0.00","12668958.57","771300.00","1294873.58","0.00","260876.43","6947424.73","22012494.44","571875.27","1471409.90","2338056.32","22130327.87","94863569.67",,"5491511.20","109274.71","5555126.65","21820.00","377996.41","381648.00","1938.49","292115.00","24326.33","386322.05","17049752.13","212560959.00","773800.76","5104997.20","30055607.10","9490971.08","761333.17","221702.84","10523302.02","3022275704.24"
"February","2022","FY 2021-22","662911125.39","68243622.67","433429240.72",,"6914164.91",,,"25212423.51","20919687.86","242939.79","1553718.06","85071.23","9902513.00","10018756.08","0.00","15146837.21","2107741.80","20960592.96","100337.00","1375833.00","4067317.05","20180044.43","478243.14","1470038.33","1464323.35","25354796.42","4817618.60",,"4943773.22","32147.19","548341.21","121138.09","570973.38","305535.37","979.00","324020.71","10022.56","33942.05","4215832.11","0.00","179600.00","1559437.00","26827712.65","8168504.05","235463.13","198351.56","708844.59","1385941604.38"
"March","2022","FY 2021-22","999902569.03","109443738.76","418353993.55",,"9629942.95",,,"216630775.47","598678842.55","547835.14","-636.72","0.00","0.00","0.00","0.00","23295722.89","11282898.79","51321532.21","294805.00","6217460.56","6194873.56","23887322.89","510130.00","1454096.41","3033423.85","20983636.08","216202.80",,"3882902.17","15071.95","142900.48","2323.00","664585.25","295491.00","3010.63","197228.19","5528.46","4627104.37","181913.27","0.00","1110590.00","0.00","25982395.85","8441400.54","1418970.01","240413.39","51335.56","2549142329.89"
"April","2022","FY 2021-22","589404915.83","2197459768.18","352947522.71",,"6723306.71",,,"204845292.56","198486944.52","506448.29","7624881.00","997691.00","1336113.00","8191198.00","0.00","10770424.92","1700919.00","883645.02","0.00","28745.32","3373072.60","19892682.34","453323.00","1650990.23","2135534.63","9294913.49","23825500.91",,"5439602.95","57760.79","81057.26","1190.00","514469.90","359427.00","920.00","187712.18","1686.25","551700.37","20095527.93","197377686.00","422894.70","3921601.00","28866413.41","9831676.42","629337.08","208003.80","8884764.90","3919967265.20"
"May","2022","FY 2021-22","577458362.71","150762391.65","598048185.15",,"11536862.55",,,"65414140.60","26130657.23","202886.90","1947278.00","-594072.00","43724843.93","26624353.58","2036.00","47774624.24","205105.74","3967977.93","7718.00","103599.91","9085698.26","27097512.45","532756.12","1734081.09","2037892.54","55726908.12","64908218.73",,"3985634.93","55898.54","970901.86","155421.00","521535.97","251823.00","848.22","296664.00","295.69","175566.07","4673746.09","5635145.00","492038.00","1838574.00","1566207.78","9391401.17","244119.78","208400.74","1883498.88","1746787740.15"
