"town","age_group","at_least_one_census_tract","population","initiated_vaccination","initiated_vaccination_percent","fully_vaccinated","fully_vaccinated_percent","additional_dose_1_received","additional_dose_1_received_percent","dateupdated"
"Middlebury","12-17","No","658","614","93.31","579","87.99","259","39.36","2022-09-07T00:00:00.000"
"Middlebury","18-24","No","502","580","100","509","100","285","56.77","2022-09-07T00:00:00.000"
"Middlebury","25-44","No","1554","1278","82.24","1175","75.61","641","41.25","2022-09-07T00:00:00.000"
"Middlebury","45-64","No","2377","2026","85.23","1949","81.99","1348","56.71","2022-09-07T00:00:00.000"
"Middlebury","5-11","No","686","310","45.19","287","41.84","32","4.66","2022-09-07T00:00:00.000"
"Middlebury","65+","No","1465","1677","100","1585","100","1266","86.42","2022-09-07T00:00:00.000"
"Middlefield","0-4","No","156","16","10.26",,,,,"2022-09-07T00:00:00.000"
"Middlefield","12-17","No","378","239","63.23","230","60.85","118","31.22","2022-09-07T00:00:00.000"
"Middlefield","18-24","No","336","277","82.44","254","75.6","144","42.86","2022-09-07T00:00:00.000"
"Middlefield","25-44","No","863","723","83.78","683","79.14","412","47.74","2022-09-07T00:00:00.000"
"Middlefield","45-64","No","1563","1241","79.4","1205","77.1","897","57.39","2022-09-07T00:00:00.000"
"Middlefield","5-11","No","331","121","36.56","111","33.53","15","4.53","2022-09-07T00:00:00.000"
"Middlefield","65+","No","797","893","100","867","100","710","89.08","2022-09-07T00:00:00.000"
"Middletown","0-4","Yes","2549","220","8.63","37","1.45",,,"2022-09-07T00:00:00.000"
"Middletown","12-17","Yes","3395","2292","67.51","2163","63.71","985","29.01","2022-09-07T00:00:00.000"
"Middletown","18-24","Yes","5978","4718","78.92","4200","70.26","1826","30.55","2022-09-07T00:00:00.000"
"Middletown","25-44","Yes","12692","11158","87.91","10340","81.47","5803","45.72","2022-09-07T00:00:00.000"
"Middletown","45-64","Yes","12488","11200","89.69","10730","85.92","7688","61.56","2022-09-07T00:00:00.000"
"Middletown","5-11","Yes","3115","1611","51.72","1489","47.8","228","7.32","2022-09-07T00:00:00.000"
"Middletown","65+","Yes","6826","7456","100","7134","100","5812","85.15","2022-09-07T00:00:00.000"
"Milford","0-4","Yes","2458","264","10.74","94","3.82",,,"2022-09-07T00:00:00.000"
"Milford","12-17","Yes","3537","2746","77.64","2616","73.96","1207","34.12","2022-09-07T00:00:00.000"
"Milford","18-24","Yes","3630","3436","94.66","3106","85.56","1642","45.23","2022-09-07T00:00:00.000"
"Milford","25-44","Yes","13453","11085","82.4","10279","76.41","5838","43.4","2022-09-07T00:00:00.000"
"Milford","45-64","Yes","16872","14288","84.68","13600","80.61","9542","56.56","2022-09-07T00:00:00.000"
"Milford","5-11","Yes","3705","1887","50.93","1713","46.23","256","6.91","2022-09-07T00:00:00.000"
"Milford","65+","Yes","9703","10293","100","9791","100","7862","81.03","2022-09-07T00:00:00.000"
"Monroe","0-4","No","873","99","11.34","33","3.78",,,"2022-09-07T00:00:00.000"
"Monroe","12-17","No","1906","1473","77.28","1429","74.97","700","36.73","2022-09-07T00:00:00.000"
"Monroe","18-24","No","1667","1546","92.74","1346","80.74","721","43.25","2022-09-07T00:00:00.000"
"Monroe","25-44","No","3908","3529","90.3","3265","83.55","1800","46.06","2022-09-07T00:00:00.000"
"Monroe","45-64","No","6692","5264","78.66","5034","75.22","3522","52.63","2022-09-07T00:00:00.000"
"Monroe","5-11","No","1861","962","51.69","908","48.79","123","6.61","2022-09-07T00:00:00.000"
"Monroe","65+","No","2960","3220","100","3083","100","2499","84.43","2022-09-07T00:00:00.000"
"Montville","0-4","Yes","890","54","6.07","22","2.47",,,"2022-09-07T00:00:00.000"
"Montville","12-17","Yes","1382","948","68.6","888","64.25","354","25.62","2022-09-07T00:00:00.000"
"Montville","18-24","Yes","1837","1084","59.01","990","53.89","430","23.41","2022-09-07T00:00:00.000"
"Montville","25-44","Yes","5470","3650","66.73","3316","60.62","1481","27.07","2022-09-07T00:00:00.000"
"Montville","45-64","Yes","5607","4579","81.67","4264","76.05","2843","50.7","2022-09-07T00:00:00.000"
"Montville","5-11","Yes","1416","527","37.22","480","33.9","54","3.81","2022-09-07T00:00:00.000"
"Montville","65+","Yes","3033","3160","100","2983","98.35","2370","78.14","2022-09-07T00:00:00.000"
"Morris","0-4","No","85",,,,,,,"2022-09-07T00:00:00.000"
"Morris","12-17","No","196","97","49.49","91","46.43","45","22.96","2022-09-07T00:00:00.000"
"Morris","18-24","No","180","183","100","167","92.78","62","34.44","2022-09-07T00:00:00.000"
"Morris","25-44","No","405","321","79.26","293","72.35","134","33.09","2022-09-07T00:00:00.000"
"Morris","45-64","No","871","572","65.67","553","63.49","360","41.33","2022-09-07T00:00:00.000"
"Morris","5-11","No","162","38","23.46","38","23.46","8","4.94","2022-09-07T00:00:00.000"
"Morris","65+","No","415","489","100","459","100","352","84.82","2022-09-07T00:00:00.000"
"Naugatuck","0-4","No","1895","55","2.9","16","0.84",,,"2022-09-07T00:00:00.000"
"Naugatuck","12-17","No","2392","1666","69.65","1547","64.67","553","23.12","2022-09-07T00:00:00.000"
"Naugatuck","18-24","No","2739","2116","77.25","1910","69.73","796","29.06","2022-09-07T00:00:00.000"
"Naugatuck","25-44","No","8728","6591","75.52","6051","69.33","2625","30.08","2022-09-07T00:00:00.000"
"Naugatuck","45-64","No","9236","7464","80.81","7044","76.27","4273","46.26","2022-09-07T00:00:00.000"
"Naugatuck","5-11","No","2552","911","35.7","804","31.5","83","3.25","2022-09-07T00:00:00.000"
"Naugatuck","65+","No","4117","4471","100","4227","100","3202","77.78","2022-09-07T00:00:00.000"
"New Britain","0-4","Yes","4964","135","2.72","28","0.56",,,"2022-09-07T00:00:00.000"
"New Britain","12-17","Yes","5981","3634","60.76","3328","55.64","837","13.99","2022-09-07T00:00:00.000"
"New Britain","18-24","Yes","9954","4975","49.98","4378","43.98","1474","14.81","2022-09-07T00:00:00.000"
"New Britain","25-44","Yes","20189","15976","79.13","14616","72.4","6083","30.13","2022-09-07T00:00:00.000"
"New Britain","45-64","Yes","16700","14404","86.25","13553","81.16","7939","47.54","2022-09-07T00:00:00.000"
"New Britain","5-11","Yes","6432","2048","31.84","1749","27.19","129","2.01","2022-09-07T00:00:00.000"
"New Britain","65+","Yes","8658","8728","100","8267","95.48","5729","66.17","2022-09-07T00:00:00.000"
"New Canaan","0-4","No","1047","285","27.22","140","13.37",,,"2022-09-07T00:00:00.000"
"New Canaan","12-17","No","2386","2543","100","2398","100","1524","63.87","2022-09-07T00:00:00.000"
"New Canaan","18-24","No","1394","2025","100","1588","100","932","66.86","2022-09-07T00:00:00.000"
"New Canaan","25-44","No","3209","3834","100","3310","100","2135","66.53","2022-09-07T00:00:00.000"
"New Canaan","45-64","No","6587","6272","95.22","5811","88.22","4356","66.13","2022-09-07T00:00:00.000"
"New Canaan","5-11","No","2610","1934","74.1","1781","68.24","254","9.73","2022-09-07T00:00:00.000"
"New Canaan","65+","No","3081","3566","100","3211","100","2556","82.96","2022-09-07T00:00:00.000"
"New Fairfield","0-4","No","575","55","9.57","9","1.57",,,"2022-09-07T00:00:00.000"
"New Fairfield","12-17","No","1471","960","65.26","904","61.45","338","22.98","2022-09-07T00:00:00.000"
"New Fairfield","18-24","No","1202","1183","98.42","1045","86.94","543","45.17","2022-09-07T00:00:00.000"
"New Fairfield","25-44","No","2715","2242","82.58","1974","72.71","944","34.77","2022-09-07T00:00:00.000"
"New Fairfield","45-64","No","4814","3811","79.16","3543","73.6","2284","47.44","2022-09-07T00:00:00.000"
"New Fairfield","5-11","No","1368","563","41.15","513","37.5","45","3.29","2022-09-07T00:00:00.000"
"New Fairfield","65+","No","2004","2409","100","2263","100","1784","89.02","2022-09-07T00:00:00.000"
"New Hartford","0-4","No","289","37","12.8","7","2.42",,,"2022-09-07T00:00:00.000"
"New Hartford","12-17","No","578","343","59.34","329","56.92","158","27.34","2022-09-07T00:00:00.000"
"New Hartford","18-24","No","528","451","85.42","402","76.14","227","42.99","2022-09-07T00:00:00.000"
"New Hartford","25-44","No","1411","1068","75.69","991","70.23","555","39.33","2022-09-07T00:00:00.000"
"New Hartford","45-64","No","2411","1775","73.62","1702","70.59","1208","50.1","2022-09-07T00:00:00.000"
"New Hartford","5-11","No","567","248","43.74","231","40.74","35","6.17","2022-09-07T00:00:00.000"
"New Hartford","65+","No","1028","1350","100","1308","100","1093","100","2022-09-07T00:00:00.000"
"New Haven","0-4","Yes","7925","807","10.18","356","4.49",,,"2022-09-07T00:00:00.000"
"New Haven","12-17","Yes","10932","7503","68.63","6633","60.68","2491","22.79","2022-09-07T00:00:00.000"
"New Haven","18-24","Yes","19632","13374","68.12","10938","55.72","4713","24.01","2022-09-07T00:00:00.000"
"New Haven","25-44","Yes","41214","38204","92.7","32787","79.55","16215","39.34","2022-09-07T00:00:00.000"
"New Haven","45-64","Yes","26423","24385","92.29","22536","85.29","14307","54.15","2022-09-07T00:00:00.000"
"New Haven","5-11","Yes","11480","4644","40.45","3874","33.75","722","6.29","2022-09-07T00:00:00.000"
"New Haven","65+","Yes","12676","12855","100","12065","95.18","9149","72.18","2022-09-07T00:00:00.000"
"Newington","0-4","No","1463","137","9.36","22","1.5",,,"2022-09-07T00:00:00.000"
"Newington","12-17","No","2102","1695","80.64","1618","76.97","743","35.35","2022-09-07T00:00:00.000"
"Newington","18-24","No","2456","1954","79.56","1819","74.06","921","37.5","2022-09-07T00:00:00.000"
"Newington","25-44","No","7547","6506","86.21","6086","80.64","3487","46.2","2022-09-07T00:00:00.000"
"Newington","45-64","No","8866","7919","89.32","7610","85.83","5461","61.59","2022-09-07T00:00:00.000"
"Newington","5-11","No","2252","1133","50.31","1019","45.25","155","6.88","2022-09-07T00:00:00.000"
"Newington","65+","No","5999","6198","100","5933","98.9","4880","81.35","2022-09-07T00:00:00.000"
"New London","0-4","Yes","1423","90","6.32","20","1.41",,,"2022-09-07T00:00:00.000"
"New London","12-17","Yes","2437","1394","57.2","1246","51.13","392","16.09","2022-09-07T00:00:00.000"
"New London","18-24","Yes","5477","2669","48.73","2277","41.57","895","16.34","2022-09-07T00:00:00.000"
"New London","25-44","Yes","7121","6198","87.04","5541","77.81","2426","34.07","2022-09-07T00:00:00.000"
"New London","45-64","Yes","6006","5850","97.4","5445","90.66","3393","56.49","2022-09-07T00:00:00.000"
"New London","5-11","Yes","1966","924","47","798","40.59","83","4.22","2022-09-07T00:00:00.000"
"New London","65+","Yes","2944","3416","100","3194","100","2399","81.49","2022-09-07T00:00:00.000"
"New Milford","0-4","No","1296","112","8.64","32","2.47",,,"2022-09-07T00:00:00.000"
"New Milford","12-17","No","2268","1803","79.5","1686","74.34","676","29.81","2022-09-07T00:00:00.000"
"New Milford","18-24","No","2305","2005","86.98","1797","77.96","805","34.92","2022-09-07T00:00:00.000"
"New Milford","25-44","No","6295","5354","85.05","4895","77.76","2220","35.27","2022-09-07T00:00:00.000"
"New Milford","45-64","No","9016","7710","85.51","7242","80.32","4572","50.71","2022-09-07T00:00:00.000"
"New Milford","5-11","No","2325","947","40.73","859","36.95","83","3.57","2022-09-07T00:00:00.000"
"New Milford","65+","No","3969","4854","100","4602","100","3504","88.28","2022-09-07T00:00:00.000"
"Newtown","0-4","No","1118","220","19.68","36","3.22",,,"2022-09-07T00:00:00.000"
"Newtown","12-17","No","2879","2129","73.95","2059","71.52","1188","41.26","2022-09-07T00:00:00.000"
"Newtown","18-24","No","2308","2354","100","2062","89.34","1127","48.83","2022-09-07T00:00:00.000"
"Newtown","25-44","No","5312","4816","90.66","4455","83.87","2596","48.87","2022-09-07T00:00:00.000"
"Newtown","45-64","No","9768","7978","81.67","7611","77.92","5392","55.2","2022-09-07T00:00:00.000"
"Newtown","5-11","No","2656","1300","48.95","1210","45.56","225","8.47","2022-09-07T00:00:00.000"
"Newtown","65+","No","4111","4936","100","4660","100","3663","89.1","2022-09-07T00:00:00.000"
"Norfolk","0-4","No","49","5","10.2",,,,,"2022-09-07T00:00:00.000"
"Norfolk","12-17","No","124","57","45.97","54","43.55","26","20.97","2022-09-07T00:00:00.000"
"Norfolk","18-24","No","115","83","72.17","73","63.48","38","33.04","2022-09-07T00:00:00.000"
"Norfolk","25-44","No","287","206","71.78","192","66.9","102","35.54","2022-09-07T00:00:00.000"
"Norfolk","45-64","No","618","431","69.74","402","65.05","295","47.73","2022-09-07T00:00:00.000"
"Norfolk","5-11","No","117","55","47.01","52","44.44","5","4.27","2022-09-07T00:00:00.000"
"Norfolk","65+","No","345","414","100","392","100","325","94.2","2022-09-07T00:00:00.000"
"North Branford","0-4","No","606","61","10.07","22","3.63",,,"2022-09-07T00:00:00.000"
"North Branford","12-17","No","1122","726","64.71","699","62.3","311","27.72","2022-09-07T00:00:00.000"
"North Branford","18-24","No","1114","983","88.24","915","82.14","507","45.51","2022-09-07T00:00:00.000"
"North Branford","25-44","No","2948","2699","91.55","2517","85.38","1404","47.63","2022-09-07T00:00:00.000"
"North Branford","45-64","No","4653","3878","83.34","3707","79.67","2621","56.33","2022-09-07T00:00:00.000"
"North Branford","5-11","No","1098","452","41.17","409","37.25","43","3.92","2022-09-07T00:00:00.000"
"North Branford","65+","No","2781","3140","100","2980","100","2459","88.42","2022-09-07T00:00:00.000"
"North Canaan","0-4","No","134","8","5.97",,,,,"2022-09-07T00:00:00.000"
"North Canaan","12-17","No","235","116","49.36","100","42.55","46","19.57","2022-09-07T00:00:00.000"
"North Canaan","18-24","No","300","155","51.67","138","46","45","15","2022-09-07T00:00:00.000"
"North Canaan","25-44","No","730","498","68.22","442","60.55","223","30.55","2022-09-07T00:00:00.000"
"North Canaan","45-64","No","906","591","65.23","559","61.7","370","40.84","2022-09-07T00:00:00.000"
"North Canaan","5-11","No","247","67","27.13","65","26.32","5","2.02","2022-09-07T00:00:00.000"
"North Canaan","65+","No","662","685","100","632","95.47","488","73.72","2022-09-07T00:00:00.000"
"North Haven","0-4","No","990","174","17.58","85","8.59",,,"2022-09-07T00:00:00.000"
"North Haven","12-17","No","1788","1418","79.31","1353","75.67","642","35.91","2022-09-07T00:00:00.000"
"North Haven","18-24","No","1853","1903","100","1733","93.52","929","50.13","2022-09-07T00:00:00.000"
"North Haven","25-44","No","4985","5176","100","4808","96.45","2709","54.34","2022-09-07T00:00:00.000"
"North Haven","45-64","No","7402","6761","91.34","6466","87.35","4635","62.62","2022-09-07T00:00:00.000"
"North Haven","5-11","No","1805","996","55.18","942","52.19","163","9.03","2022-09-07T00:00:00.000"
"North Haven","65+","No","5086","5606","100","5356","100","4465","87.79","2022-09-07T00:00:00.000"
"North Stonington","0-4","No","232","14","6.03","6","2.59",,,"2022-09-07T00:00:00.000"
"North Stonington","12-17","No","359","280","77.99","269","74.93","109","30.36","2022-09-07T00:00:00.000"
"North Stonington","18-24","No","374","277","74.06","256","68.45","136","36.36","2022-09-07T00:00:00.000"
"North Stonington","25-44","No","1066","835","78.33","787","73.83","427","40.06","2022-09-07T00:00:00.000"
"North Stonington","45-64","No","1916","1339","69.89","1263","65.92","862","44.99","2022-09-07T00:00:00.000"
"North Stonington","5-11","No","416","152","36.54","146","35.1","22","5.29","2022-09-07T00:00:00.000"
"North Stonington","65+","No","925","995","100","963","100","781","84.43","2022-09-07T00:00:00.000"
"Norwalk","0-4","Yes","5559","416","7.48","152","2.73",,,"2022-09-07T00:00:00.000"
"Norwalk","12-17","Yes","5878","5774","98.23","5282","89.86","1947","33.12","2022-09-07T00:00:00.000"
"Norwalk","18-24","Yes","7088","6653","93.86","5645","79.64","2277","32.12","2022-09-07T00:00:00.000"
"Norwalk","25-44","Yes","26313","24567","93.36","21702","82.48","10053","38.21","2022-09-07T00:00:00.000"
"Norwalk","45-64","Yes","24020","24071","100","22186","92.36","14198","59.11","2022-09-07T00:00:00.000"
"Norwalk","5-11","Yes","7229","3673","50.81","3177","43.95","294","4.07","2022-09-07T00:00:00.000"
"Norwalk","65+","Yes","12058","14248","100","13196","100","10183","84.45","2022-09-07T00:00:00.000"
"Norwich","0-4","Yes","2424","59","2.43","10","0.41",,,"2022-09-07T00:00:00.000"
"Norwich","12-17","Yes","3067","2090","68.14","1918","62.54","553","18.03","2022-09-07T00:00:00.000"
"Norwich","18-24","Yes","3739","2738","73.23","2359","63.09","862","23.05","2022-09-07T00:00:00.000"
"Norwich","25-44","Yes","11118","8039","72.31","7137","64.19","3142","28.26","2022-09-07T00:00:00.000"
"Norwich","45-64","Yes","10810","9154","84.68","8572","79.3","5447","50.39","2022-09-07T00:00:00.000"
"Norwich","5-11","Yes","3434","1207","35.15","994","28.95","117","3.41","2022-09-07T00:00:00.000"
"Norwich","65+","Yes","5586","5904","100","5608","100","4338","77.66","2022-09-07T00:00:00.000"
"Old Lyme","0-4","No","241","53","21.99","15","6.22",,,"2022-09-07T00:00:00.000"
"Old Lyme","12-17","No","568","464","81.69","437","76.94","234","41.2","2022-09-07T00:00:00.000"
"Old Lyme","18-24","No","463","515","100","464","100","270","58.32","2022-09-07T00:00:00.000"
"Old Lyme","25-44","No","1210","1115","92.15","1009","83.39","637","52.64","2022-09-07T00:00:00.000"
"Old Lyme","45-64","No","2671","2156","80.72","2069","77.46","1559","58.37","2022-09-07T00:00:00.000"
"Old Lyme","5-11","No","561","341","60.78","320","57.04","62","11.05","2022-09-07T00:00:00.000"
"Old Lyme","65+","No","1861","2030","100","1940","100","1660","89.2","2022-09-07T00:00:00.000"
"Old Saybrook","0-4","No","336","53","15.77","19","5.65",,,"2022-09-07T00:00:00.000"
"Old Saybrook","12-17","No","742","624","84.1","595","80.19","278","37.47","2022-09-07T00:00:00.000"
"Old Saybrook","18-24","No","640","756","100","688","100","393","61.41","2022-09-07T00:00:00.000"
"Old Saybrook","25-44","No","1587","1565","98.61","1437","90.55","808","50.91","2022-09-07T00:00:00.000"
"Old Saybrook","45-64","No","3410","2991","87.71","2856","83.75","2117","62.08","2022-09-07T00:00:00.000"
"Old Saybrook","5-11","No","726","339","46.69","313","43.11","45","6.2","2022-09-07T00:00:00.000"
"Old Saybrook","65+","No","2776","3094","100","2949","100","2464","88.76","2022-09-07T00:00:00.000"
"Orange","0-4","Yes","591","85","14.38","38","6.43",,,"2022-09-07T00:00:00.000"
"Orange","12-17","Yes","1170","1019","87.09","973","83.16","495","42.31","2022-09-07T00:00:00.000"
"Orange","18-24","Yes","990","1114","100","1008","100","597","60.3","2022-09-07T00:00:00.000"
"Orange","25-44","Yes","2644","2644","100","2441","92.32","1505","56.92","2022-09-07T00:00:00.000"
"Orange","45-64","Yes","4504","3844","85.35","3673","81.55","2653","58.9","2022-09-07T00:00:00.000"
"Orange","5-11","Yes","1191","724","60.79","669","56.17","86","7.22","2022-09-07T00:00:00.000"
"Orange","65+","Yes","2865","3215","100","3053","100","2513","87.71","2022-09-07T00:00:00.000"
"Oxford","0-4","No","569","29","5.1","9","1.58",,,"2022-09-07T00:00:00.000"
"Oxford","12-17","No","1030","740","71.84","723","70.19","303","29.42","2022-09-07T00:00:00.000"
"Oxford","18-24","No","849","854","100","793","93.4","402","47.35","2022-09-07T00:00:00.000"
"Oxford","25-44","No","2629","1986","75.54","1874","71.28","987","37.54","2022-09-07T00:00:00.000"
"Oxford","45-64","No","4570","3438","75.23","3276","71.68","2165","47.37","2022-09-07T00:00:00.000"
"Oxford","5-11","No","1120","365","32.59","332","29.64","49","4.38","2022-09-07T00:00:00.000"
"Oxford","65+","No","2147","2681","100","2529","100","2027","94.41","2022-09-07T00:00:00.000"
"Plainfield","0-4","Yes","820","19","2.32","8","0.98",,,"2022-09-07T00:00:00.000"
"Plainfield","12-17","Yes","1191","651","54.66","624","52.39","183","15.37","2022-09-07T00:00:00.000"
"Plainfield","18-24","Yes","1245","814","65.38","757","60.8","253","20.32","2022-09-07T00:00:00.000"
"Plainfield","25-44","Yes","4068","2424","59.59","2202","54.13","877","21.56","2022-09-07T00:00:00.000"
"Plainfield","45-64","Yes","4330","3421","79.01","3258","75.24","1995","46.07","2022-09-07T00:00:00.000"
"Plainfield","5-11","Yes","1278","336","26.29","291","22.77","33","2.58","2022-09-07T00:00:00.000"
"Plainfield","65+","Yes","2203","2264","100","2167","98.37","1667","75.67","2022-09-07T00:00:00.000"
"Plainville","0-4","No","888","53","5.97","10","1.13",,,"2022-09-07T00:00:00.000"
"Plainville","12-17","No","1172","806","68.77","766","65.36","300","25.6","2022-09-07T00:00:00.000"
"Plainville","18-24","No","1511","1070","70.81","1007","66.64","499","33.02","2022-09-07T00:00:00.000"
"Plainville","25-44","No","4744","3601","75.91","3370","71.04","1808","38.11","2022-09-07T00:00:00.000"
"Plainville","45-64","No","5299","4254","80.28","4105","77.47","2771","52.29","2022-09-07T00:00:00.000"
"Plainville","5-11","No","1201","520","43.3","488","40.63","47","3.91","2022-09-07T00:00:00.000"
"Plainville","65+","No","2986","3188","100","3049","100","2420","81.04","2022-09-07T00:00:00.000"
"Plymouth","0-4","No","503","16","3.18","8","1.59",,,"2022-09-07T00:00:00.000"
"Plymouth","12-17","No","897","482","53.73","467","52.06","144","16.05","2022-09-07T00:00:00.000"
"Plymouth","18-24","No","1092","640","58.61","605","55.4","263","24.08","2022-09-07T00:00:00.000"
"Plymouth","25-44","No","2832","1923","67.9","1827","64.51","892","31.5","2022-09-07T00:00:00.000"
"Plymouth","45-64","No","3937","2669","67.79","2579","65.51","1675","42.55","2022-09-07T00:00:00.000"
"Plymouth","5-11","No","927","220","23.73","198","21.36","15","1.62","2022-09-07T00:00:00.000"
"Plymouth","65+","No","1726","1922","100","1852","100","1436","83.2","2022-09-07T00:00:00.000"
"Pomfret","0-4","No","180","16","8.89",,,,,"2022-09-07T00:00:00.000"
"Pomfret","12-17","No","385","431","100","350","90.91","158","41.04","2022-09-07T00:00:00.000"
"Pomfret","18-24","No","333","288","86.49","253","75.98","123","36.94","2022-09-07T00:00:00.000"
"Pomfret","25-44","No","952","632","66.39","571","59.98","308","32.35","2022-09-07T00:00:00.000"
"Pomfret","45-64","No","1385","1075","77.62","999","72.13","673","48.59","2022-09-07T00:00:00.000"
"Pomfret","5-11","No","359","167","46.52","155","43.18","22","6.13","2022-09-07T00:00:00.000"
"Pomfret","65+","No","585","721","100","685","100","552","94.36","2022-09-07T00:00:00.000"
"Portland","0-4","No","471","73","15.5","16","3.4",,,"2022-09-07T00:00:00.000"
"Portland","12-17","No","746","539","72.25","532","71.31","263","35.25","2022-09-07T00:00:00.000"
"Portland","18-24","No","699","624","89.27","584","83.55","332","47.5","2022-09-07T00:00:00.000"
"Portland","25-44","No","2192","1845","84.17","1744","79.56","1057","48.22","2022-09-07T00:00:00.000"
"Portland","45-64","No","2994","2501","83.53","2419","80.79","1768","59.05","2022-09-07T00:00:00.000"
"Portland","5-11","No","732","413","56.42","388","53.01","81","11.07","2022-09-07T00:00:00.000"
"Portland","65+","No","1610","1796","100","1737","100","1490","92.55","2022-09-07T00:00:00.000"
"Preston","0-4","No","183","12","6.56",,,,,"2022-09-07T00:00:00.000"
"Preston","12-17","No","326","228","69.94","217","66.56","77","23.62","2022-09-07T00:00:00.000"
"Preston","18-24","No","359","252","70.19","235","65.46","100","27.86","2022-09-07T00:00:00.000"
"Preston","25-44","No","945","825","87.3","766","81.06","378","40","2022-09-07T00:00:00.000"
"Preston","45-64","No","1688","1155","68.42","1108","65.64","775","45.91","2022-09-07T00:00:00.000"
"Preston","5-11","No","351","131","37.32","120","34.19","9","2.56","2022-09-07T00:00:00.000"
"Preston","65+","No","896","924","100","885","98.77","742","82.81","2022-09-07T00:00:00.000"
"Prospect","0-4","No","407","26","6.39","7","1.72",,,"2022-09-07T00:00:00.000"
"Prospect","12-17","No","749","534","71.3","511","68.22","234","31.24","2022-09-07T00:00:00.000"
"Prospect","18-24","No","765","602","78.69","558","72.94","294","38.43","2022-09-07T00:00:00.000"
"Prospect","25-44","No","2016","1566","77.68","1498","74.31","781","38.74","2022-09-07T00:00:00.000"
"Prospect","45-64","No","3253","2487","76.45","2398","73.72","1594","49","2022-09-07T00:00:00.000"
"Prospect","5-11","No","770","292","37.92","276","35.84","31","4.03","2022-09-07T00:00:00.000"
"Prospect","65+","No","1763","1937","100","1860","100","1446","82.02","2022-09-07T00:00:00.000"
"Putnam","0-4","No","536","19","3.54",,,,,"2022-09-07T00:00:00.000"
"Putnam","12-17","No","711","378","53.16","336","47.26","117","16.46","2022-09-07T00:00:00.000"
"Putnam","18-24","No","728","485","66.62","434","59.62","125","17.17","2022-09-07T00:00:00.000"
"Putnam","25-44","No","2422","1555","64.2","1405","58.01","582","24.03","2022-09-07T00:00:00.000"
"Putnam","45-64","No","2733","2070","75.74","1945","71.17","1130","41.35","2022-09-07T00:00:00.000"
"Putnam","5-11","No","746","242","32.44","204","27.35","19","2.55","2022-09-07T00:00:00.000"
"Putnam","65+","No","1540","1618","100","1508","97.92","1159","75.26","2022-09-07T00:00:00.000"
"Redding","0-4","No","346","65","18.79","18","5.2",,,"2022-09-07T00:00:00.000"
"Redding","12-17","No","922","612","66.38","587","63.67","348","37.74","2022-09-07T00:00:00.000"
"Redding","18-24","No","628","671","100","553","88.06","312","49.68","2022-09-07T00:00:00.000"
"Redding","25-44","No","1357","1434","100","1276","94.03","783","57.7","2022-09-07T00:00:00.000"
"Redding","45-64","No","3423","2547","74.41","2385","69.68","1770","51.71","2022-09-07T00:00:00.000"
"Redding","5-11","No","863","462","53.53","423","49.02","70","8.11","2022-09-07T00:00:00.000"
"Redding","65+","No","1770","1899","100","1803","100","1496","84.52","2022-09-07T00:00:00.000"
"Ridgefield","0-4","No","1134","218","19.22","40","3.53",,,"2022-09-07T00:00:00.000"
"Ridgefield","12-17","No","2719","2451","90.14","2360","86.8","1335","49.1","2022-09-07T00:00:00.000"
"Ridgefield","18-24","No","1709","2229","100","1821","100","1034","60.5","2022-09-07T00:00:00.000"
"Ridgefield","25-44","No","4388","4140","94.35","3610","82.27","2223","50.66","2022-09-07T00:00:00.000"
"Ridgefield","45-64","No","8516","7515","88.25","7043","82.7","5148","60.45","2022-09-07T00:00:00.000"
"Ridgefield","5-11","No","2837","1746","61.54","1651","58.2","259","9.13","2022-09-07T00:00:00.000"
"Ridgefield","65+","No","3902","4526","100","4226","100","3351","85.88","2022-09-07T00:00:00.000"
"Rocky Hill","0-4","No","940","131","13.94","11","1.17",,,"2022-09-07T00:00:00.000"
"Rocky Hill","12-17","No","1244","1143","91.88","1101","88.5","575","46.22","2022-09-07T00:00:00.000"
"Rocky Hill","18-24","No","1433","1344","93.79","1235","86.18","725","50.59","2022-09-07T00:00:00.000"
"Rocky Hill","25-44","No","5358","5102","95.22","4719","88.07","2821","52.65","2022-09-07T00:00:00.000"
"Rocky Hill","45-64","No","5793","4913","84.81","4688","80.93","3344","57.72","2022-09-07T00:00:00.000"
"Rocky Hill","5-11","No","1429","1055","73.83","988","69.14","181","12.67","2022-09-07T00:00:00.000"
"Rocky Hill","65+","No","3897","4216","100","4022","100","3295","84.55","2022-09-07T00:00:00.000"
"Roxbury","0-4","No","58","8","13.79",,,,,"2022-09-07T00:00:00.000"
"Roxbury","12-17","No","180","119","66.11","115","63.89","55","30.56","2022-09-07T00:00:00.000"
"Roxbury","18-24","No","121","129","100","110","90.91","53","43.8","2022-09-07T00:00:00.000"
"Roxbury","25-44","No","311","293","94.21","267","85.85","149","47.91","2022-09-07T00:00:00.000"
"Roxbury","45-64","No","856","651","76.05","619","72.31","410","47.9","2022-09-07T00:00:00.000"
"Roxbury","5-11","No","130","72","55.38","70","53.85","10","7.69","2022-09-07T00:00:00.000"
"Roxbury","65+","No","545","655","100","606","100","494","90.64","2022-09-07T00:00:00.000"
"Salem","0-4","No","194","18","9.28","5","2.58",,,"2022-09-07T00:00:00.000"
"Salem","12-17","No","349","258","73.93","253","72.49","126","36.1","2022-09-07T00:00:00.000"
