"town_code","town_name","fiscal_year","previous_fiscal_year_budget","current_fiscal_year_budget","net_dollar_change","net_percent_change","previous_fiscal_year_population","current_fiscal_year_population","net_population_change","net_population_percent_change","certification_date"
"148","Wallingford","2022","142307483.00","145741700.00","3434217.00","0.0241323711698281","44326.00","44317.00","-9.00","-0.00020304110454","2022-02-04T00:00:00.000"
"149","Warren","2022","1979508.00","2069935.00","90427.00","0.0456815531940260","1410.00","1410.00","0.00","0.00000000000000","2022-02-10T00:00:00.000"
"150","Washington","2022","16039427.00","16063379.00","23952.00","0.0014933201790812","3646.00","3700.00","54.00","0.01481075150850","2022-01-11T00:00:00.000"
"151","Waterbury","2022","296466842.00","297813254.00","1346412.00","0.0045415264348517","107568.00","114426.00","6858.00","0.06375502008032","2022-01-15T00:00:00.000"
"152","Waterford","2022","74840725.00","75792309.00","951584.00","0.0127147886394740","19281.00","19571.00","290.00","0.01504071365593","2022-01-19T00:00:00.000"
"153","Watertown","2022","71112388.00","73162063.00","2049675.00","0.0288230371338395","21578.00","22105.00","527.00","0.02442302344981","2022-02-02T00:00:00.000"
"154","Westbrook","2022","27533598.00","27918222.00","384624.00","0.0139692603923396","6757.00","6850.00","93.00","0.01376350451384","2022-01-21T00:00:00.000"
"155","West Hartford","2022","248943019.00","252634715.00","3691696.00","0.0148294819225278","63268.00","64083.00","815.00","0.01288170955301","2022-02-10T00:00:00.000"
"156","West Haven","2022","138114100.00","139246083.00","1131983.00","0.0081959988154721","54070.00","54070.00","0.00","0.00000000000000","2022-01-14T00:00:00.000"
"157","Weston","2022","59154793.00","59214506.00","59713.00","0.0010094363782154","10354.00","10450.00","96.00","0.00927177902260","2022-01-28T00:00:00.000"
"158","Westport","2022","167467480.00","170014736.00","2547256.00","0.0152104516052908","27840.00","27840.00","0.00","0.00000000000000","2022-02-10T00:00:00.000"
"159","Wethersfield","2022","130716848.00","132248102.00","1531254.00","0.0117142818498806","26008.00","27272.00","1264.00","0.04860043063673","2022-02-08T00:00:00.000"
"160","Willington","2022","17622519.00","18357969.00","735450.00","0.0417335342353724","5864.00","5568.00","-296.00","-0.05047748976808","2022-02-10T00:00:00.000"
"161","Wilton","2022","97175312.00","97721185.00","545873.00","0.0056174041406731","18463.00","18503.00","40.00","0.00216649515247","2022-02-10T00:00:00.000"
"162","Winchester","2022","26505473.00","27637300.00","1131827.00","0.0427016337342857","10630.00","10226.00","-404.00","-0.03800564440263","2022-02-09T00:00:00.000"
"163","Windham","2022","56744108.00","58347045.00","1602937.00","0.0282485187713234","24425.00","24500.00","75.00","0.00307062436029","2022-02-15T00:00:00.000"
"164","Windsor","2022","104264450.00","107855964.00","3591514.00","0.0344461990640146","28859.00","29492.00","633.00","0.02193423195537","2022-02-09T00:00:00.000"
"165","Windsor Locks","2022","39457827.00","3937299.00","-35520528.00","-0.9002150067716600","12563.00","12671.00","108.00","0.00859667276924","2022-02-01T00:00:00.000"
"166","Wolcott","2022","45916371.00","47009375.00","1093004.00","0.0238042331350620","16587.00","16142.00","-445.00","-0.02682823898234","2022-01-12T00:00:00.000"
"167","Woodbridge","2022","43070853.00","44577224.00","1506371.00","0.0349742550954354","10009.00","9960.00","-49.00","-0.00489559396543","2022-01-13T00:00:00.000"
"168","Woodbury","2022","9527334.00","9890933.00","363599.00","0.0381637717329948","10100.00","10200.00","100.00","0.00990099009901","2022-02-10T00:00:00.000"
"169","Woodstock","2022","19695588.00","20110408.00","414820.00","0.0210615697282051","7858.00","8228.00","370.00","0.04708577246119","2022-02-08T00:00:00.000"
"1","Andover","2021","11590473.00","11986213.00","395740.00","0.034143559111004","3248.00","3236.00","-12.00","-0.0036945812807882","2021-02-17T00:00:00.000"
"2","Ansonia","2021","50461540.00","51009402.00","547862.00","0.010857021010457","18839.00","19839.00","1000.00","0.0530813737459525","2021-02-10T00:00:00.000"
"3","Ashford","2021","14402264.00","14856232.00","453968.00","0.031520599816807","4244.00","4261.00","17.00","0.0040056550424128","2021-02-10T00:00:00.000"
"4","Avon","2021","70058561.00","72737679.00","2679118.00","0.038241122309092","18276.00","18312.00","36.00","0.0019697964543664","2021-02-10T00:00:00.000"
"5","Barkhamsted","2021","10214399.00","10196642.00","-17757.00","-0.001738428271698","3779.00","3779.00","0.00","0.0000000000000000","2021-01-21T00:00:00.000"
"6","Beacon Falls","2021","21009254.00","21288068.00","278814.00","0.013271009051535","6095.00","6222.00","127.00","0.0208367514356030","2021-02-11T00:00:00.000"
