"race","precinct","legislative_district","county_council_district","congressional_district","party_preference","candidate","sumofcount"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2943","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2943","41","9","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2943","41","9","8","Rep","Steve Litzow","262.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2945","41","9","8","Dem","Randy Gordon","225.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2945","41","9","8","NP","Registered Voters","565.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2945","41","9","8","NP","Times Blank Voted","29.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2945","41","9","8","NP","Times Counted","428.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2945","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2945","41","9","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2945","41","9","8","Rep","Steve Litzow","173.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2970","41","6","8","Dem","Randy Gordon","175.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2970","41","6","8","NP","Registered Voters","525.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2970","41","6","8","NP","Times Blank Voted","24.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2970","41","6","8","NP","Times Counted","376.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2970","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2970","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-2970","41","6","8","Rep","Steve Litzow","177.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3084","41","9","8","Dem","Randy Gordon","151.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3084","41","9","8","NP","Registered Voters","517.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3084","41","9","8","NP","Times Blank Voted","20.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3084","41","9","8","NP","Times Counted","396.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3084","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3084","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3084","41","9","8","Rep","Steve Litzow","225.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3140","41","6","8","Dem","Randy Gordon","108.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3140","41","6","8","NP","Registered Voters","306.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3140","41","6","8","NP","Times Blank Voted","16.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3140","41","6","8","NP","Times Counted","230.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3140","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3140","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3140","41","6","8","Rep","Steve Litzow","106.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3166","41","6","8","Dem","Randy Gordon","214.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3166","41","6","8","NP","Registered Voters","738.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3166","41","6","8","NP","Times Blank Voted","36.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3166","41","6","8","NP","Times Counted","495.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3166","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3166","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3166","41","6","8","Rep","Steve Litzow","245.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3225","41","9","8","Dem","Randy Gordon","279.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3225","41","9","8","NP","Registered Voters","852.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3225","41","9","8","NP","Times Blank Voted","33.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3225","41","9","8","NP","Times Counted","598.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3225","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3225","41","9","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3225","41","9","8","Rep","Steve Litzow","285.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3226","41","9","8","Dem","Randy Gordon","173.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3226","41","9","8","NP","Registered Voters","546.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3226","41","9","8","NP","Times Blank Voted","29.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3226","41","9","8","NP","Times Counted","404.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3226","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3226","41","9","8","NP","Write-in","3.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3226","41","9","8","Rep","Steve Litzow","199.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3278","41","9","8","Dem","Randy Gordon","100.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3278","41","9","8","NP","Registered Voters","289.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3278","41","9","8","NP","Times Blank Voted","19.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3278","41","9","8","NP","Times Counted","229.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3278","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3278","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3278","41","9","8","Rep","Steve Litzow","110.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3291","41","9","8","Dem","Randy Gordon","114.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3291","41","9","8","NP","Registered Voters","288.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3291","41","9","8","NP","Times Blank Voted","8.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3291","41","9","8","NP","Times Counted","201.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3291","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3291","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3291","41","9","8","Rep","Steve Litzow","79.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3312","41","9","8","Dem","Randy Gordon","196.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3312","41","9","8","NP","Registered Voters","709.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3312","41","9","8","NP","Times Blank Voted","31.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3312","41","9","8","NP","Times Counted","568.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3312","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3312","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3312","41","9","8","Rep","Steve Litzow","341.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3330","41","6","8","Dem","Randy Gordon","107.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3330","41","6","8","NP","Registered Voters","321.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3330","41","6","8","NP","Times Blank Voted","11.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3330","41","6","8","NP","Times Counted","231.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3330","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3330","41","6","8","NP","Write-in","2.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3330","41","6","8","Rep","Steve Litzow","111.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3370","41","9","8","Dem","Randy Gordon","208.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3370","41","9","8","NP","Registered Voters","650.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3370","41","9","8","NP","Times Blank Voted","38.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3370","41","9","8","NP","Times Counted","450.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3370","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3370","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3370","41","9","8","Rep","Steve Litzow","204.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3371","41","9","8","Dem","Randy Gordon","211.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3371","41","9","8","NP","Registered Voters","723.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3371","41","9","8","NP","Times Blank Voted","28.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3371","41","9","8","NP","Times Counted","530.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3371","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3371","41","9","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3371","41","9","8","Rep","Steve Litzow","290.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3435","41","3","8","Dem","Randy Gordon","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3435","41","3","8","NP","Registered Voters","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3435","41","3","8","NP","Times Blank Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3435","41","3","8","NP","Times Counted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3435","41","3","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3435","41","3","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3435","41","3","8","Rep","Steve Litzow","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3501","41","6","8","Dem","Randy Gordon","8.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3501","41","6","8","NP","Registered Voters","38.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3501","41","6","8","NP","Times Blank Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3501","41","6","8","NP","Times Counted","16.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3501","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3501","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3501","41","6","8","Rep","Steve Litzow","8.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3583","41","9","8","Dem","Randy Gordon","89.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3583","41","9","8","NP","Registered Voters","251.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3583","41","9","8","NP","Times Blank Voted","12.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3583","41","9","8","NP","Times Counted","187.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3583","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3583","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3583","41","9","8","Rep","Steve Litzow","86.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3593","41","6","8","Dem","Randy Gordon","115.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3593","41","6","8","NP","Registered Voters","408.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3593","41","6","8","NP","Times Blank Voted","17.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3593","41","6","8","NP","Times Counted","228.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3593","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3593","41","6","8","NP","Write-in","2.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BEL 41-3593","41","6","8","Rep","Steve Litzow","94.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIAR","41","9","8","Dem","Randy Gordon","183.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIAR","41","9","8","NP","Registered Voters","520.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIAR","41","9","8","NP","Times Blank Voted","20.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIAR","41","9","8","NP","Times Counted","393.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIAR","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIAR","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIAR","41","9","8","Rep","Steve Litzow","190.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIARWOOD","41","9","8","Dem","Randy Gordon","174.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIARWOOD","41","9","8","NP","Registered Voters","567.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIARWOOD","41","9","8","NP","Times Blank Voted","14.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIARWOOD","41","9","8","NP","Times Counted","394.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIARWOOD","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIARWOOD","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIARWOOD","41","9","8","Rep","Steve Litzow","206.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIGID","41","9","8","Dem","Randy Gordon","87.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIGID","41","9","8","NP","Registered Voters","289.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIGID","41","9","8","NP","Times Blank Voted","10.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIGID","41","9","8","NP","Times Counted","207.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIGID","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIGID","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","BRIGID","41","9","8","Rep","Steve Litzow","110.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","CEDAR PARK","41","9","8","Dem","Randy Gordon","98.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","CEDAR PARK","41","9","8","NP","Registered Voters","266.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","CEDAR PARK","41","9","8","NP","Times Blank Voted","7.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","CEDAR PARK","41","9","8","NP","Times Counted","189.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","CEDAR PARK","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","CEDAR PARK","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","CEDAR PARK","41","9","8","Rep","Steve Litzow","84.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","COALFIELD","41","9","8","Dem","Randy Gordon","213.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","COALFIELD","41","9","8","NP","Registered Voters","700.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","COALFIELD","41","9","8","NP","Times Blank Voted","39.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","COALFIELD","41","9","8","NP","Times Counted","512.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","COALFIELD","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","COALFIELD","41","9","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","COALFIELD","41","9","8","Rep","Steve Litzow","259.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","COUGAR MTN","41","9","8","Dem","Randy Gordon","53.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","COUGAR MTN","41","9","8","NP","Registered Voters","120.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","COUGAR MTN","41","9","8","NP","Times Blank Voted","2.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","COUGAR MTN","41","9","8","NP","Times Counted","98.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","COUGAR MTN","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","COUGAR MTN","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","COUGAR MTN","41","9","8","Rep","Steve Litzow","43.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","DANIEL","41","9","8","Dem","Randy Gordon","179.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","DANIEL","41","9","8","NP","Registered Voters","542.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","DANIEL","41","9","8","NP","Times Blank Voted","30.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","DANIEL","41","9","8","NP","Times Counted","423.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","DANIEL","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","DANIEL","41","9","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","DANIEL","41","9","8","Rep","Steve Litzow","213.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EASTMONT","41","6","8","Dem","Randy Gordon","297.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EASTMONT","41","6","8","NP","Registered Voters","824.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EASTMONT","41","6","8","NP","Times Blank Voted","27.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EASTMONT","41","6","8","NP","Times Counted","609.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EASTMONT","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EASTMONT","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EASTMONT","41","6","8","Rep","Steve Litzow","285.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EASTWOOD","41","9","8","Dem","Randy Gordon","166.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EASTWOOD","41","9","8","NP","Registered Voters","483.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EASTWOOD","41","9","8","NP","Times Blank Voted","19.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EASTWOOD","41","9","8","NP","Times Counted","360.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EASTWOOD","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EASTWOOD","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EASTWOOD","41","9","8","Rep","Steve Litzow","175.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EDGEHILL","41","3","8","Dem","Randy Gordon","16.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EDGEHILL","41","3","8","NP","Registered Voters","67.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EDGEHILL","41","3","8","NP","Times Blank Voted","6.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EDGEHILL","41","3","8","NP","Times Counted","54.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EDGEHILL","41","3","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EDGEHILL","41","3","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","EDGEHILL","41","3","8","Rep","Steve Litzow","32.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HILLTOP","41","9","8","Dem","Randy Gordon","187.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HILLTOP","41","9","8","NP","Registered Voters","437.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HILLTOP","41","9","8","NP","Times Blank Voted","11.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HILLTOP","41","9","8","NP","Times Counted","342.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HILLTOP","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HILLTOP","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HILLTOP","41","9","8","Rep","Steve Litzow","144.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HI-VALLEY","41","9","8","Dem","Randy Gordon","250.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HI-VALLEY","41","9","8","NP","Registered Voters","808.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HI-VALLEY","41","9","8","NP","Times Blank Voted","24.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HI-VALLEY","41","9","8","NP","Times Counted","647.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HI-VALLEY","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HI-VALLEY","41","9","8","NP","Write-in","1.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HI-VALLEY","41","9","8","Rep","Steve Litzow","372.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HORIZON","41","6","8","Dem","Randy Gordon","152.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HORIZON","41","6","8","NP","Registered Voters","373.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HORIZON","41","6","8","NP","Times Blank Voted","12.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HORIZON","41","6","8","NP","Times Counted","267.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HORIZON","41","6","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HORIZON","41","6","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HORIZON","41","6","8","Rep","Steve Litzow","103.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HUSKY","41","9","8","Dem","Randy Gordon","232.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HUSKY","41","9","8","NP","Registered Voters","674.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HUSKY","41","9","8","NP","Times Blank Voted","27.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HUSKY","41","9","8","NP","Times Counted","500.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HUSKY","41","9","8","NP","Times Over Voted","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HUSKY","41","9","8","NP","Write-in","0.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","HUSKY","41","9","8","Rep","Steve Litzow","241.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-2401","41","3","8","Dem","Randy Gordon","182.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-2401","41","3","8","NP","Registered Voters","630.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-2401","41","3","8","NP","Times Blank Voted","36.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-2401","41","3","8","NP","Times Counted","470.00"
"State Senator Legislative Dist No. 41 unexpired 2-year term, partisan office","ISS 41-2401","41","3","8","NP","Times Over Voted","0.00"
