"job_title","department","service_area","earnings","meta_row_index","meta_row_id"
"MANAGER, TALENT ACQUISITION","Human Resources","Information & Employee Svcs","85241.0","597","6c714afbb3654b2cc65948139bcbe0bfa3770943"
"ANALYST II, FINANCE","Operation Services","Information & Employee Svcs","85195.84999999989","598","334fee041c3272013cc43922e03396113c338fe0"
"POLICE OFFICER","Patrol","Police Services","85157.5","599","d8979db4aeb9ac6f4f0ce990f8b2b852e5a28f2e"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","85018.16","600","a626fa4c602695994bf167478749061b25dc08bf"
"LEAD BUILDING INSPECTOR","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","85001.3899999999","601","991a419d3a9854620cb53881701d49cadd1c54d0"
"CHEMIST","Ut Water Quality Services Div","Utility Services","84968.5700000001","602","268808922b77dcea1167af23bdcb415f9e162be6"
"SR MANAGER, CULTURAL SERVICES","Cultural Services","Community Services","84917.91","603","ce508ee6422ad1cb8b8b2dc28852901bb157f3ec"
"ANALYST II, FINANCE","Community Services Admin","Community Services","84818.78","604","87215279f590b9cfffb54cab41d5da4340358de8"
"MANAGER, ACTIVE MODES","FC Moves","Planning, Dev & Transportation","84796.2500000001","605","fdee7ac2df5d5ccb078a3a3093464a32f60e9dd2"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","84756.58","606","cbcc94d660bfe57d18eab6119252a7a78ef89269"
"LEAD INSPECTOR, CONSTRUCTION","Engineering","Planning, Dev & Transportation","84691.5799999999","607","2b52b5e86aa317abb1c4473c074d06841834ded6"
"ENGINEER II, SYSTEMS","Information Technology","Information & Employee Svcs","84609.94","608","ac48e8c5182a87e6c9870598f93ad94b0686c137"
"SR ADMINISTRATOR, DATABASE","Information Technology","Information & Employee Svcs","84432.34","609","3a9c2f8a9338c460b6bbce31ed74e1494f3d4dc3"
"SR SUPERVISOR, PARKS","Parks","Community Services","84412.05000000019","610","f2fa033130950b6e0a227fc38e724816321372af"
"POLICE OFFICER","Patrol","Police Services","84396.75","611","9992fda145f63606f73e6d60e829ba51ed6ff8cc"
"POLICE OFFICER","Patrol","Police Services","84392.35","612","40bb245e4b872a7c2001c9526767dc72886843a9"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","84355.3100000001","613","31cf364e89dea9de4a5e0fd62837ee80b4dce695"
"FLEET MAINTENANCE TECHNICIAN","Poudre Fire Authority","Poudre Fire Authority","84349.2400000003","614","a47aaa8106d67cace87b2142ecd385a19e6e0e5f"
"ANALYST II, APPS SOFTWARE","Information Technology","Information & Employee Svcs","84290.75","615","517922e1935043a9fde08f0b9a3162e453ed09ec"
"CRIMINALIST","Investigations","Police Services","84196.18","616","80a858d9a78fa5443f2e8f5bac0c98a330e1af02"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","84122.93","617","db1ce3f540973a87816e2c8c538a61ee8df7c5ff"
"FIREFIGHTR DRIVER/OP-56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","84112.47","618","8faa6220a69c1b2888bc3de4bce16384d5c5d127"
"SR PROJECT MANAGER","City Manager's Office","Executive Services","83897.51000000001","619","ababf0ec35ce4495ed928a6dfd16af8b66bdbd3c"
"CIVIL ENGINEER II","Ut Water UTL Engineering Div","Utility Services","83879.85","620","f975db75efbdd40930029c76e70b4fccef02959a"
"MANAGER, MARKETING","Utilities Customer Connections","Utility Services","83674.5700000001","621","7a810fa4455c9007ef92672018023f8dfcc86b62"
"POLICE OFFICER","Patrol","Police Services","83666.32","622","cf371071b5a659ad1354054f4ba9d9ba57fe6876"
"CIVIL ENGINEER I","Streets","Planning, Dev & Transportation","83646.32","623","4a7aebc487bac8c034f67ef77d3bad9a4b7f17e6"
"CIVIL ENGINEER II","Ut Water UTL Engineering Div","Utility Services","83628.9800000002","624","2f0dce4acd6c38439825c424fc7f1c72f871a551"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","83627.79","625","5cf3aefd4bbf3a5402bcfea9310fccc19373971a"
"POLICE OFFICER","Patrol","Police Services","83612.12","626","d4edcee5bad8a5eaac59f1ab532cb5e6632cdb0f"
"DIRECTOR, CIVIL ENGINEERING","Engineering","Planning, Dev & Transportation","83589.4199999999","627","174be31dce649ed92f90290d59896365e99a2567"
"SR SPECIALIST, PUBLIC ENGAGE","Utilities Customer Connections","Utility Services","83505.3000000001","628","b236523f243b8c4d2d686dd341dab508ed5baf4b"
"INTEGRATED LIBRARY SYS ADMNSTR","Library District","Library District","83484.15","629","fe82269c547b98ac82ef5637c5dd5d1286f74e7b"
"POLICE OFFICER","Patrol","Police Services","83427.63","630","6aa0dcbb0693eea0e64e241f29be34c5e388edd0"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","83423.2200000001","631","2baaed6666203fc2e20570f88d1f0a1e454d9c27"
"SR SUPERVISOR, FORESTRY","Parks","Community Services","83377.2900000002","632","ad02ed09945f39ad8b7252a042697afeb9916fec"
"SR ARCHITECT, LANDSCAPE","Park Planning & Development","Community Services","83293.08","633","a999689494da0d1e0b4af7bd1382a047cf21149a"
"SR SUPERVISOR, EMERGENCY COMMS","Police Information Services","Police Services","83128.13","634","38c659ea4d29f473b8ec51a034b62d8537a31f80"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","83013.9","635","91f8ef6081b5cdfac707d3f630be9f5641771129"
"SR SUPERVISOR, CODE COMPLIANCE","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","82929.8499999999","636","7a2b94e757a2ef2efd45e92fa3853de150cf347f"
"ELECTRONIC TECHNICIAN II","Ut Standards Engineering Div","Utility Services","82929.49","637","0e1ddaa15a93e816deaa79b1fe4d3c5c6ad1e8f3"
"MANAGER, FP&A","PDT Administration","Planning, Dev & Transportation","82837.88000000009","638","6351d5db7a195b611ce8ac80b3184fdecea1d38b"
"EMERGENCY COMMUN DISPATCHER","Police Information Services","Police Services","82763.08","639","86caf35c568e15bc856f9bda4b40b4ff39ea733d"
"SR SUPERVISOR, SCIENCES","Ut Water Production Div","Utility Services","82679.5699999999","640","cdae919bf8f7a136a9fc7796a77b6ac26b17fe55"
"SR MANAGER, CULTURAL SERVICES","Cultural Services","Community Services","82518.4499999999","641","638b936e13b5e294574b5144ca4d9cc47632583f"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","82514.9000000001","642","199a6068e835bb8fe3f018c716f658375057b1c8"
"MANAGER, TRANSIT","Transfort / Parking Services","Planning, Dev & Transportation","82461.52","643","69e2ba684879f8ecc3377e958d701ad446842077"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","82456.54000000001","644","5632f2e60f637b8887b3840998cf1735416c92b4"
"POLICE OFFICER","Community and Special Services","Police Services","82440.78","645","e55957d3db51e98c90002c87637283569f1a9214"
"LEAD SPECIALIST, SCIENCES","Ut Water Quality Services Div","Utility Services","82412.7800000001","646","da280df293f4d00e806426a7b1be166461d4050a"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","82284.4300000001","647","4e69043c0099932dbd1f68309b66fe64d406da70"
"SUPERVISOR, PLANT OPERATIONS","Ut Water Production Div","Utility Services","82264.04","648","ed26f0baeafe223f5804c0ddbfa6e374d3bdf5c8"
"SR TECH, TRANSPORTATION OPS","Traffic","Planning, Dev & Transportation","82137.5400000001","649","7fe03ccc17797d298a64477bbcaeda7f4499674b"
"CHEMIST","Ut Water Quality Services Div","Utility Services","82130.2900000001","650","94413892483f6e546990fe294140999d82dea97a"
"HR & POLICY ADMINISTRATOR","Poudre Fire Authority","Poudre Fire Authority","82109.7700000004","651","2a1ec7f76982ed31a89422db60048207ba11fd13"
"SR ANALYST, HRIS","Human Resources","Information & Employee Svcs","82070.2","652","7b946fbebf685dbc8b1bb1e883ce3f58e0ad2044"
"SR ANALYST, COMPENSATION","Human Resources","Information & Employee Svcs","82045.29000000001","653","096bfe6eb986f09a5099b91b7c8cd0c86aecea84"
"MECHANICAL ENGINEER I","Utilities Customer Connections","Utility Services","82033.6800000001","654","c76a5157924e5be51da30b9030e4315f8f29e737"
"SR TECHNICAL PROJECT MANAGER","Ut Electric Systems Eng Div","Utility Services","81900.6","655","6ff32903c8730b63e262eeba3a1d3dd429927f88"
"COMMUNITY SERVICE OFFICER","Patrol","Police Services","81870.17","656","f9d9757f67eb4a79a1351cf74e6cc9ea75850601"
"SR SPECIALIST, SCIENCES","Ut Enviro Regulatory Affairs","Utility Services","81835.25","657","8153947fbf48b62fd970df8911b2099a3df7ab71"
"SR PROJECT MANAGER","Police Information Services","Police Services","81806.08","658","256e165789fa2381fc06b8177b119c10940c0325"
"POLICE OFFICER","Patrol","Police Services","81700.82","659","f48d2dce0b5e1232039f177607c34d5d55763552"
"POLICE OFFICER","Patrol","Police Services","81640.82","660","e4078fcd545519c31b0c9a35ffc3fb768026b41c"
"CHEMIST","Ut Water Quality Services Div","Utility Services","81591.19000000009","661","565e672a4610d1f2e55fadc4a2ae039992d2941f"
"CHEMIST","Ut Water Quality Services Div","Utility Services","81474.91000000009","662","bc35833fe1eff639d3357a95b5b784ffb6c9ae3e"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","81453.88","663","49ee348732adb9bb17e6c9c2c01f2a255158732d"
"SR TECH, PROCESSING SUPPORT","Investigations","Police Services","81298.92","664","8cc9779472a10c2be4e0a6c47fc34a9757d84794"
"SR SPECIALIST, PARKS","Parks","Community Services","81283.7399999999","665","d44b1ea16a308bd2161a2a543ccef349ce518eb1"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","81250.56","666","322adaf7e1bdcf08a99370c0ff754fe53e3beecf"
"POLICE OFFICER","Patrol","Police Services","81224.06999999999","667","1a8eb659731ee871e74bd1739a50a3a78a716f54"
"CREW CHIEF, TRANSPORTATION OPS","Traffic","Planning, Dev & Transportation","81189.5100000001","668","93dbb9c7d359ec2cad2cd02cc211df47d1fe2786"
"SR SUPERVISOR, PARKS-INACTIVE","Parks","Community Services","81181.0899999999","669","fb95d5ad8614a3913230fbfa5ec6270e14d2d964"
"MANAGER, PUBLIC ENGAGEMENT","Natural Areas","Community Services","81176.64","670","9f14a783365ade1aa4a653cb74d24da804c2629f"
"MANAGER, ENV SUSTAINABILITY","Environmental Services","Sustainability Services","81082.7900000001","671","b97cdc89d08145a6f5fd76ef04521139ce5fe104"
"ANALYST II, APPS SOFTWARE","Information Technology","Information & Employee Svcs","81069.78","672","8e10628f6ed709f41764f65219c360f578104b15"
"PLANT OPERATOR","Ut Wtr Reclama & Biosolids Div","Utility Services","81033.69","673","cd48e1682ebd31484bb159eb57ca944f5342f21d"
"SR ANALYST, FINANCE","Information Technology","Information & Employee Svcs","81021.33","674","9734fcb11c7c932044105d194733894d7aa25e40"
"CREW CHIEF, PARKS","Parks","Community Services","80933.23999999999","675","f991900bb6ee6fe22737bee1a998ce05d2bf417b"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","80776.06","676","ccf030b1d3fd31fa97aee0a4dc8ef001eb453044"
"POLICE OFFICER","Patrol","Police Services","80731.23","677","62ed09e7dd7a7cae47e3d5e43447314b934864ab"
"ANALYST II, GIS","Information Technology","Information & Employee Svcs","80612.12","678","6d93998a41933e149b5e8f7b3ab9306b4f8498dd"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","80547.5400000001","679","4fea1a67b422b9039310dfcb9b61572a928bb5da"
"ANALYST II, GIS","Ut Smart Grid & System Ops Div","Utility Services","80529.03999999989","680","99dc7c37b34ade47bdfc9b69e058e0cf1eb9d807"
"CIVIL ENGINEER I","Ut Water UTL Engineering Div","Utility Services","80498.5600000001","681","982d698fbcedd4a8b6f74b468b0885d34036de44"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","80479.12","682","1ef6948159cd3a810f572fdf6a38e66d6ad1df93"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","80421.12","683","aaf48971c7e806b3e2355ba0bd69ef9f48a2ee95"
"COLLECTIONS MANAGER","Library District","Library District","80407.5800000001","684","41835c36c6424ab88c012e015e4b545edf60ef01"
"LIBRARY MANAGER","Library District","Library District","80406.8","685","66a18efc08eb3265979ab16506956b7bc49a27ee"
"MANAGER, CULTURAL SERVICES","Cultural Services","Community Services","80360.2099999999","686","e2c36081a49b7f853a7c54b34c77763738383760"
"PLANS EXAMINER","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","80289.8","687","f32ea1a4ff42bd92887f8f0a82e7ba01b0b48b2c"
"SR SUPERVISOR, RECREATION","Recreation","Community Services","80279.89","688","a1415e607aca4b1e39af8d2587c79531fe7a3e21"
"MECHANICAL ENGINEER I","Utilities Customer Connections","Utility Services","80210.08000000019","689","c7ff877d4ffac3f1d7854627a0cfc277d8c0ff60"
"SR SUPERVISOR, FLEET","Operation Services","Information & Employee Svcs","80193.5199999997","690","3a66d11dd07f91b8f04f33893636c54ca1f70482"
"CIVIL ENGINEER I","Ut Distribution System Div","Utility Services","80119.0999999995","691","f90c4b4027981a963e2625cb41d60b069533e677"
"ANALYST I, APPS SOFTWARE","Information Technology","Information & Employee Svcs","80094.69","692","e4becdadb2f5e97f52a1d767b8065c12130dabf8"
"COMM & PUBLIC RELATIONS MGR","Library District","Library District","80060.1400000005","693","40ea12cfbe78e92ed6dd5779c4a4008f118b6517"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","80046.58","694","be62718be4df5c63451faebd23f9091ac0769310"
"SR SUPERVISOR, CSO","Patrol","Police Services","79978.26000000001","695","84ce92572ba0c0a8562f8467591674789af9635a"
"SR SUPERVISOR, PARKS-INACTIVE","Parks","Community Services","79954.2799999998","696","24c6978336962df443f5d4710b60972fee7579a7"
"CHEMIST","Ut Water Quality Services Div","Utility Services","79865.1700000001","697","4a003fff6397051014f12a8c2edd835acafcd38e"
"POLICE OFFICER","Patrol","Police Services","79819.05","698","216997ea2ff557ac87ab318d37c6bcb663056f12"
"ANALYST I, APPS SOFTWARE DEV","Information Technology","Information & Employee Svcs","79818.78","699","2d833ee2ce08314f49b3e4f8b2891db413b56752"
"ANALYST II, APPS SOFTWARE","Information Technology","Information & Employee Svcs","79808.51","700","1e2bd88e8d90300c3c362058be75e736f5c4ea86"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","79449.53","701","11a3f29998060f0968053209a954626e6fd7044e"
"SR SUPERVISOR, SCIENCES","Ut Wtr Reclama & Biosolids Div","Utility Services","79394.7000000003","702","da761c3c6bab2eb498d990676ebc2640b54ab98b"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","79343.53","703","a45b8530cf262bd03ba27cbc8d751dcb0c448f14"
"CIVIL ENGINEER II","Streets","Planning, Dev & Transportation","79291.3400000003","704","83cea144e023f47419a6472af8d16fa3b7c76163"
"PLANT OPERATOR","Ut Water Production Div","Utility Services","79227.3","705","88d3f4017df5525d2dd462234309f95ac8251050"
"POLICE OFFICER","Community and Special Services","Police Services","79148.27","706","ac4c9f04c23a905e5fa7e051de47cc6ea97fe543"
"CREW CHIEF, WATER FIELD OPS","Ut Collection System Div","Utility Services","79087.5200000002","707","da31747bff317e60cdb77c3bf57b0f50d9605a1f"
"OUTREACH SERVICES MANAGER","Library District","Library District","79049.68","708","c037083f2b084d2ef9f77a963b44df4a952e7fa6"
"FIREFIGHTER II - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","79024.0900000001","709","bfcd0b3aea5753df5ec5a4910d2dafe02d1170a3"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","79016.8","710","01a578a61e2859bf38332575ec9c76df1cdcbde0"
"IT ANALYST","Poudre Fire Authority","Poudre Fire Authority","78939.1199999998","711","3d9508705c4ff9e3b8d5f775104f966178490ac6"
"ELECTRIC LINEWORKER","Electric Field Services","Utility Services","78922.9","712","1c4eefa09da497d72d06ef462a8ef442cb0a8616"
"WATER ENGINEER III","Ut Water Resources Div","Utility Services","78883.48000000001","713","28137e54183ff13c63f8297e12f6143ad7f70db8"
"LEAD PLANT OPERATOR","Ut Water Production Div","Utility Services","78796.38","714","711850348e3681a70837d34cc19fedbf15ccf8ab"
"SR SUPERVISOR, RECREATION","Recreation","Community Services","78779.03","715","773c247ebd08431a795f00835e1195d5eb19a3b2"
"MANAGER, GRAPHIC DESIGN","Comm. & Public Involvement","Information & Employee Svcs","78722.39999999989","716","07d3aeaea69a31bbe7eb0b31f6f7ca0e8c3d2965"
"SR SPECIALIST, PUBLIC ENGAGE","Utilities Customer Connections","Utility Services","78690.4199999998","717","d8b6ec7a88f03ae4b92d7b8c0d6d2d80034a451a"
"PROJECT MANAGER","Ut Electric Systems Eng Div","Utility Services","78612.1799999999","718","7959357f8f9fe38ec486923711b70e6134b1571e"
"PARTNER, HUMAN RESOURCES","Human Resources","Information & Employee Svcs","78532.62999999989","719","798bb82a64ac1e46b75818492eb4dda60067dfee"
"POLICE OFFICER","Patrol","Police Services","78480.65","720","91a7ca6116b9399926cfd5de1ba655e6e19f6145"
"SR SUPERVISOR, RECREATION","Recreation","Community Services","78456.61","721","010ade321d41f59450799503812f06c3651091a9"
"CREW CHIEF, PARKS","Parks","Community Services","78446.5800000001","722","5238aaba5b09c877da812e73982f66f78fce07a7"
"LEAD SPC, SOC SUSTAINABILITY","Social Sustainability","Sustainability Services","78412.0800000002","723","628087db91f6cf8ed6ebbeb9e5a271604cb4f4f4"
"PROJ MGR POLICY & PROGRAMS","Downtown Development Authority","Downtown Development Authority","78365.5000000001","724","d5e9fa8579277c87db560e370ada44d6d56fc67d"
"LEAD SPECIALIST, SAFETY","Safety, Security, & Risk Mgmt.","Financial Services","78336.1399999999","725","e70ef33465a7c76843beb4293947256e3266ffcd"
"ANALYST I, APPS SOFTWARE","Information Technology","Information & Employee Svcs","78332.4999999999","726","8f6635b6ff6ecffdbfb90b7ea1ca432cbe0ec5d2"
"POLICE OFFICER","Patrol","Police Services","78181.43","727","dd137d04b9346c0de3c84c5a0b8332f0c0e60994"
"LIBRARY MANAGER","Library District","Library District","78125.26","728","a4fe50b09d6680b879f484f424cc627b738a3f0c"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","78015.06","729","ca890a7981c6816826f064a354cedbda17e4be89"
"CHEMIST","Ut Water Quality Services Div","Utility Services","77948.6399999999","730","8cd25cbb5b4820e3cb7b8512ebfd7fde09e38650"
"SR ANALYST, FINANCE","Finance Administration","Financial Services","77879.7400000001","731","041b8ad8a8c7ad6dc37786bcc77d801885a9291b"
"POLICE OFFICER","Patrol","Police Services","77873.73999999999","732","2397bef2ad5144590bc65612a8b2554ac6cc51ee"
"SR ACCOUNTANT","Accounting and Treasury","Financial Services","77795.26","733","1e74cd2d92ad892c4beb1182a398e5c48a0a0c0c"
"ENGINEER I, NETWORK","Broadband","Utility Services","77793.56999999999","734","949dc6031c784efc858771dd52c08aca30078676"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","77755.7600000001","735","48f28bd4a77c8008d80010c92a670f68f4a518d7"
"LEAD PLANT OPERATOR","Ut Water Production Div","Utility Services","77739.1800000001","736","7905e57fc4c4dacab650252052feac84115da136"
"SR MANAGER, NEIGHBORHOOD SVCS","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","77666.6700000001","737","5fd47413a1d238ad6ea62fed9dec94c4cd30561b"
"POLICE OFFICER","Patrol","Police Services","77654.32","738","2278e4b37b8c671a798534631538f165cb686737"
"SR ANALYST, FINANCE","Sustainability Services Admin","Sustainability Services","77589.9999999996","739","95e99ba40ce8aa47aa190b3a3c8205c3c5550811"
"CHIEF DEPUTY CITY CLERK","City Clerk's Office","Executive Services","77506.88","740","9f05afa093405fb79761f25902fae8d8627de0f0"
"SR SPECIALIST, OUTREACH","Investigations","Police Services","77306.51000000001","741","0ee6a0dedae55a5031a0bb830686d7384737a566"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","77297.37","742","8cee182ab37837bcf3b46ba4101415c5c2bd0f73"
"ANALYST II, FINANCE","Recreation","Community Services","77294.44","743","73d4aa50da5851c9d08cffd428b14436af5e4e3d"
"SR SUPERVISOR, FLEET","Operation Services","Information & Employee Svcs","77289.7599999996","744","955a0d8e30016d79f7df2c196be24fdb0e6e1872"
"SR SUPERVISOR, FACILITIES","Operation Services","Information & Employee Svcs","77264.5899999998","745","d0729b2e3c5c0f50af4225aaf905aa74794dfd34"
"BUILDING INSPECTOR","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","77122.2199999998","746","9c780ae42620b866e8e736d66d63bfe514d84c71"
"MANAGER, WELLNESS","Human Resources","Information & Employee Svcs","77098.37","747","736afc3a47ca91275ee74723d1b7ce5dc234201b"
"SR INSPECTOR, CONSTRUCTION","Engineering","Planning, Dev & Transportation","77019.1400000001","748","9b93b4e66e82023241ad1b743abd3c4a3e1be785"
"SR SUPERVISOR, HRIS","Human Resources","Information & Employee Svcs","76990.6699999999","749","0b8f529b92d992d30dc57b33ff89640673a639b2"
"BUILDING INSPECTOR","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","76925.5299999998","750","b450c8ca197e35d064ce971d4378653118604191"
"POLICE OFFICER","Patrol","Police Services","76849.29000000001","751","b5d2a96708ef79f086840a42bcf45f272602d0a9"
"EMERGENCY COMMUN DISPATCHER","Police Information Services","Police Services","76832.51000000001","752","3cb975c72491fdb0ac2d6fd7ef60617d7558062a"
"ENGINEER II, NETWORK","Broadband","Utility Services","76817.06","753","52c863764b68c12f61addf7668eca7d9e8ca4929"
"SR BUYER","Purchasing","Financial Services","76808.5099999999","754","f7d6542081f5d8ea1f5c8df9525696462f8a940f"
"BUILDING INSPECTOR","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","76789.9599999999","755","997e23c28235a013ff887f9d38411ffa6c72fb6f"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","76528.04","756","8b0dccb9e096d8f0e40820735f549131e2c1d78d"
"SR BUYER","Purchasing","Financial Services","76485.8999999999","757","8208ad480a37271cf2ad38e5aa15ab1c3fa7dc95"
"FIREFIGHTER I - 56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","76482.99","758","0792cef46da5b8d2f1f90d56af6cecf10add1ac0"
"MECHANICAL ENGINEER I","Utilities Customer Connections","Utility Services","76454.0999999998","759","ebdc793b92febef13fb10169df03b733f3ff9584"
"MANAGER, ELEC ENGINEERING","Ut Electric Systems Eng Div","Utility Services","76445.94","760","5d064650a7ed1de0f79c865e5009386b8b2fe3f0"
"LEAD SPC, ENV SUSTAINABILITY","Environmental Services","Sustainability Services","76425.6099999999","761","1e93bbaae6da9fd35802be51ed75faa7b38351d8"
"POLICE OFFICER","Patrol","Police Services","76403.52","762","1397355739c3e7532aed28e3689c4cc933e0aca9"
"SR SUPERVISOR, TRANSIT","Transfort / Parking Services","Planning, Dev & Transportation","76335.2199999999","763","7e8d37b927bc937648361655578a541e2cf505eb"
"BROADBAND EXECUTIVE DIRECTOR","Broadband","Utility Services","76307.68","764","f037e7a65298bcf632a4b3d3af1dc36228e6a6dc"
"SR PLANNER, ENVIRONMENTAL","Natural Areas","Community Services","76284.5200000001","765","0bfe75d45285cdcf5bddd6aecf4abf4130abc5e8"
"CHEMIST","Ut Water Quality Services Div","Utility Services","76278.6800000001","766","621895929719c744f49729936a26b4e7f4834783"
"LEAD SPECIALIST, COMPLIANCE","Transfort / Parking Services","Planning, Dev & Transportation","76134.4000000001","767","81d7be4a721ab184854d10f070eccb2a3b2ee777"
"MANAGER, CUSTOMER SUPPORT","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","76129.5099999999","768","5bea04ebd9ac9706261311490bfee04386e3e245"
"MECHANIC","Operation Services","Information & Employee Svcs","75796.1399999999","769","908ad1b11adf60d7ccc42f5130586ab5957b166b"
"CREW CHIEF, WATER FIELD OPS","Ut Distribution System Div","Utility Services","75710.13","770","491efda8b81f34c1b682a126d82f02dd22957f6f"
"PLANNER, CITY","Comm Dev & Neighborhood Svcs","Planning, Dev & Transportation","75704.3899999999","771","fa2514d854add9532b1a9a7826bd2d17815b9c04"
"SR SPECIALIST, SCIENCES","Natural Areas","Community Services","75646.7700000001","772","7596a9845bdb37278a23ee8105323eea473f8b1f"
"PARTNER, HUMAN RESOURCES","Human Resources","Information & Employee Svcs","75630.0","773","0c4e6f2f4e5ca24efe4cb2994f24fc29a00e5657"
"SR BUYER","Purchasing","Financial Services","75564.4800000001","774","73a020e45fb1e4e53d16a0447132ce1556032b47"
"ANALYST I, APPS SOFTWARE","Information Technology","Information & Employee Svcs","75528.08","775","a30d95fe39302c6ed5b652389961616caf6c0197"
"EMERGENCY COMMUN DISPATCHER","Police Information Services","Police Services","75520.75","776","c0ce54450adc56b30e263223ed0c6b22eab281cb"
"CHEMIST","Ut Water Quality Services Div","Utility Services","75233.2500000001","777","df98447acf9df2e9d3706568ab9f8a06ea1452eb"
"CREW CHIEF, WATER FIELD OPS","Ut Drainage System Div","Utility Services","75215.9000000001","778","3c20ce14664c58e23962fb1b1383d4430f21e3fa"
"PARTNER, HUMAN RESOURCES","Human Resources","Information & Employee Svcs","75212.9","779","febe1cff2d776536cba0762b582a8794d00c04cb"
"SR SUPERVISOR, CUST SUPPORT","Utilities Customer Connections","Utility Services","75174.1","780","2bc24156363f5a096004efcfe975f7c5004d9368"
"LEAD SPC, CULTURAL SERVICES","Cultural Services","Community Services","75113.1600000005","781","847903f1d30f579976ee1d988bf5146f204bc7e9"
"EMERGENCY COMMUN DISPATCHER","Police Information Services","Police Services","75048.44","782","0c44677351f8c178b6caf44b61f0a91cec5a0355"
"MECHANICAL ENGINEER I","Utilities Customer Connections","Utility Services","74908.19999999981","783","298a75141d5dc319797fc3816d0729fe7aedcb03"
"SUPERVISOR, FLEET","Operation Services","Information & Employee Svcs","74740.73000000001","784","42bc20f38d9e1427c735ef69b54a689a0828cbae"
"SUPERVISOR, FLEET","Operation Services","Information & Employee Svcs","74692.31","785","dc10b33c231caecc0c4140e773e25764a5a18442"
"CREW CHIEF, PARKS","Parks","Community Services","74627.21","786","41fdaadf9a90aa0757cbd1dd5841d2054ed55e25"
"ANALYST I, APPS SOFTWARE","Information Technology","Information & Employee Svcs","74509.93","787","55cc29a55f426c2c6c57ff2fa40e261b0333efce"
"PLANT OPERATOR","Ut Water Production Div","Utility Services","74485.8","788","66c407f517aa46b25d1f7ddd9e10474c00165299"
"FIREFIGHTER II - 40 HR/WK","Poudre Fire Authority","Poudre Fire Authority","74477.68","789","34cf68de7df65ca76e617b8af71861d7dee67f23"
"SR SUPERVISOR, INFORMATION SVC","Police Information Services","Police Services","74466.69","790","e5124ebc9889d8b0b25cb408e6e48930c357adbf"
"COMMUNITY SERVICE OFFICER","Patrol","Police Services","74453.19","791","af4e56e585ba005f4729256711aafa17e45d0a67"
"CREW CHIEF, WATER FIELD OPS","Ut Distribution System Div","Utility Services","74412.79","792","4d2dc93dc9045764a509b870ef854ed0c4a0078d"
"EMERGENCY COMMUN DISPATCHER","Police Information Services","Police Services","74376.43","793","8af95b9047a088409686377c01da0ae74ff93734"
"SR MANAGER, SALES TAX/REVENUE","Sales Tax","Financial Services","74322.6599999999","794","b1c11f3492f947e08075b6f74d3499dffade5736"
"FIREFIGHTR DRIVER/OP-56 HR/WK","Poudre Fire Authority","Poudre Fire Authority","74309.4500000001","795","4b09fc449ee911f0bcd7327d2c3826640a916f00"
"EMERGENCY COMMUN DISPATCHER","Police Information Services","Police Services","71893.18","840","1623e859b687f3dfabfe35ad1ab8aba7b76b5e9f"
