"county","type","facility_name","street_address","city","state","zip","location"
"Kings","Grocery","Bravo Supermarket","Bedford Ave","Brooklyn","NY","11205",
"Jefferson","Grocery w/ Pharmacy inside","Walmart Supercenter #1871","State Route 3","Watertown","NY","13601",
"Queens","Pharmacy Only","Walgreens #11905","Metropolitan Ave","Ridgewood","NY","11385",
"Kings","Grocery","Flatbush Grocery Store","Flatbush Ave","Brooklyn","NY","11226",
"Bronx","Grocery","Food Universe Marketplace","White Plains Road","Bronx","NY","10466",
"Nassau","Pharmacy Only","CVS Pharmacy #1932","Johnston Place","Merrick","NY","11566",
"Suffolk","Grocery","C-Town Supermarkets","North Broadway","Amityville","NY","11701",
"Bronx","Grocery","La Parada Latina Food Corp","Third Avenue","Bronx","NY","10457",
"Kings","Grocery","Greenhouse Deshi Supermarket","Mcdonald Ave","Brooklyn","NY","11218",
"Kings","Grocery","Flatlands Mini Market, Inc.","Flatlands Avenue","Brooklyn","NY","11236",
"Oswego","Grocery","Byrne Dairy #120","Oswego Road","Phoenix","NY","13135",
"Suffolk","Grocery","Torres Minimarket","Middle Country Ro","Centereach","NY","11720",
"Onondaga","Pharmacy Only","Walgreens # 9416","James St","Syracuse","NY","13206",
"Kings","Grocery","EZ Market Inc.","6th Ave","Brooklyn","NY","11220",
"Suffolk","Grocery","Target Store T-2847","Sunrise Highway","Sayville","NY","11782",
"Chautauqua","Grocery w/ Pharmacy inside","Tops Market #209","Washington St","Jamestown","NY","14701",
"Kings","Pharmacy Only","Walgreens #11808","Flatlands Ave","Brooklyn","NY","11234",
"Bronx","Grocery","Associated Supermarket","East 167th Street","Bronx","NY","10456",
"New York","Pharmacy Only","Duane Reade #14245","E 125th St","New York","NY","10035",
"Seneca","Grocery","Byrne Dairy #6","Waterloo Geneva Rd","Waterloo","NY","13165",
"Kings","Grocery","Bed-Ross Grocery Llc","Ross St","Brooklyn","NY","11249",
"Rockland","Grocery","R.D. Grocery, Inc.","Broadway","Haverstraw","NY","10927",
"Nassau","Grocery","Fine Fare Supermarkets","Old Country Rd","Westbury","NY","11590",
"Westchester","Grocery","Esquina Latina Mini Market Corp","College Avenue","Sleepy Hollow","NY","10591",
"Bronx","Grocery","Molina Mini Market Corp","Grand Concourse","Bronx","NY","10456",
"New York","Pharmacy Only","St. Jesus Pharmacy","Broadway","New York","NY","10033",
"Queens","Grocery","Market Fresh Supermarket","Sutphin Bo","Jamaica","NY","11435",
"Bronx","Pharmacy Only","Leroy Pharmacy","East 204th Street","Bronx","NY","10467",
"Montgomery","Grocery w/ Pharmacy inside","Walmart Supercenter #2146","Sanford Farms Shopping Center","Amsterdam","NY","12010",
"Bronx","Grocery","Super Foodtown","Bruckner Blvd.","Bronx","NY","10461",
"Franklin","Grocery","Speedway Convenience","State Route 37","Hogansburg","NY","13655",
"Queens","Grocery","Fine Fare","Hollis Avenue","Saint Albans","NY","11412",
"Kings","Grocery w/ Pharmacy inside","Green Forest Market Inc","Avenue M","Brooklyn","NY","11230",
"Westchester","Grocery","Green Way Markets","North Salem Road","Cross River","NY","10518",
"Queens","Grocery","C-Town Supermarkets","Sutphin Blvd","Jamaica","NY","11434",
"Bronx","Grocery","Antillana Fresh Meat Market","Westchester Avenue","Bronx","NY","10459",
"Monroe","Grocery","Byrne Dairy #132 Greece","Maiden Lane","Greece","NY","14626",
"Kings","Grocery","Quality Fresh Market","Driggs Ave","Brooklyn","NY","11211",
"Westchester","Grocery","Met Fresh","South Lexington Avenue","White Plains","NY","10606",
"Richmond","Grocery","Key Food #1512","Forest Ave","Staten Island","NY","10301",
"Sullivan","Grocery","Star Food Supermarket","Main St","Bloomingburg","NY","12721",
"Nassau","Grocery","ShopRite #809","Hempstead Turnpike","Bethpage","NY","11714",
"Bronx","Pharmacy Only","Leroy Pharmacy Ii Llc","East 198 Street","Bronx","NY","10458",
"Queens","Grocery w/ Pharmacy inside","Stop & Shop #2581","Cross Bay Blvd","Howard Beach","NY","11414",
"Westchester","Grocery","Stop & Shop # 2502","South Highland Ave","Ossining","NY","10562",
"Bronx","Grocery","Pioneer","Featherbed Lane","Bronx","NY","10452",
"Nassau","Grocery","ShopRite","Jerusalem Ave","Uniondale","NY","11553",
"Queens","Grocery","Bravo Supermarket","Jamaica Avenue","Richmond Hill","NY","11418",
"Broome","Grocery w/ Pharmacy inside","Price Chopper #237","Glenwood Avenue","Binghamton","NY","13905",
"Kings","Grocery","Royal Deli Grill","Cropsey Avenue","Brooklyn","NY","11214",
"Westchester","Pharmacy Only","Walgreens # 11509","Mclean Ave","Yonkers","NY","10705",
"Albany","Grocery w/ Pharmacy inside","Price Chopper #224","Central Ave","Albany","NY","12205",
"New York","Grocery","El Nuevo Renacer Deli Grocery Corp.","Audubon Avenue","New York","NY","10032",
"Kings","Grocery","Adam's Deli On Kings Highway Corp","Kings Highway","Brooklyn","NY","11223",
"Niagara","Grocery","Tops Market #38","Lockport-Olcott Rd","Lockport","NY","14094",
"Kings","Grocery","Star Nb Inc","Flatbush Ave","Brooklyn","NY","11226",
"Bronx","Grocery","58 Burnside Food Corp","West Burnside Avenue","Bronx","NY","10453",
"Kings","Grocery","Cherry Valley Market Place","Pennsylvania Ave","Brooklyn","NY","11207",
"Saratoga","Grocery w/ Pharmacy inside","Hannaford Supermarket & Pharm #8365","Clifton County Road","Clifton Park","NY","12065",
"Queens","Grocery","Myrtle Grocery Inc.","Myrtle Avenue","Ridgewood","NY","11385",
"New York","Pharmacy Only","Metropharm, Inc.","Walker St","New York","NY","10013",
"Cortland","Grocery","Byrne Dairy #134 Homer","Southwest Street","Homer","NY","13077",
"Dutchess","Grocery","ShopRite Of Fishkill #269","Route 9","Fishkill","NY","12524",
"Bronx","Pharmacy Only","Walgreens # 12758","Williamsbridge Rd","Bronx","NY","10461",
"Bronx","Grocery","Fine Fare Supermarket","White Plains Road","Bronx","NY","10467",
"Westchester","Grocery","208 Saratoga Food Corp","Saratoga Ave","Yonkers","NY","10705",
"Queens","Pharmacy Only","Walgreens #4445","Rockaway Blvd","South Ozone Park","NY","11420",
"Niagara","Grocery w/ Pharmacy inside","Tops Market #21(Franchise)","S Transit Rd","Lockport","NY","14094",
"Bronx","Grocery","Taveras Food Center Corp","Broadway","Bronx","NY","10463",
"Suffolk","Pharmacy Only","CVS Pharmacy #2318","Fifth Avenue","Bay Shore","NY","11706",
"Queens","Grocery","Food World Supermarket Co.","Sutphin Blvd","Jamaica","NY","11434",
"New York","Grocery","Fine Fare","Lenox Av","New York","NY","10026",
"Westchester","Grocery","Caribbean Mart Corp.","West 1st Street","Mount Vernon","NY","10550",
"Orange","Pharmacy Only","Walgreens #10914","N Plank Rd","Newburgh","NY","12550",
"Bronx","Grocery","Pioneer Supermarket","Willis Avenue","Bronx","NY","10454",
"New York","Pharmacy Only","Duane Reade #14436","Water Street","New York","NY","10038",
"Kings","Grocery","C-Town Supermarkets","Nostrand Ave","Brooklyn","NY","11226",
"New York","Grocery","Foodtown","Third Avenue","New York","NY","10035",
"Queens","Grocery","Three Brothers Meat Market","Central Ave","Far Rockaway","NY","11691",
"Bronx","Grocery","Jd Food Market Corp","Quincy Ave","Bronx","NY","10465",
"Kings","Grocery","Empire Kosher Supermarket","Empire Blvd","Brooklyn","NY","11225",
"Bronx","Pharmacy Only","Carepoint Pharmacy Corp","Hunts Point Avenue","Bronx","NY","10474",
"Chautauqua","Grocery w/ Pharmacy inside","Wegmans Food Market #88","Fairmount Ave W","Jamestown","NY","14701",
"Albany","Grocery w/ Pharmacy inside","Market 32 By Price Chopper #28","Western Ave","Guilderland","NY","12084",
"Kings","Grocery","Mountain Fruit","Avenue M","Brooklyn","NY","11230",
"Bronx","Grocery","Golden Mango","Randall Avenue","Bronx","NY","10473",
"Bronx","Grocery","C-Town Supermarkets","East 198th Street","Bronx","NY","10468",
"Bronx","Grocery","El Rancho Market Corp","East Kingsbridge Road","Bronx","NY","10468",
"Bronx","Grocery","Fine Fare Supermarket","East Tremont Avenue","Bronx","NY","10465",
"Delaware","Grocery","Freshtown #604","Bridge St","Margaretville","NY","12455",
"Kings","Grocery w/ Pharmacy inside","Health Max Pharmacy","5th Avenue","Brooklyn","NY","11220",
"Cattaraugus","Grocery","Tops Market #271","East Washington Street","Ellicottville","NY","14731",
"Queens","Pharmacy Only","Walgreens #1572","Kissena Blvd","Flushing","NY","11355",
"Greene","Grocery","Tops Market #725","Main Street","Tannersville","NY","12485",
"Suffolk","Grocery w/ Pharmacy inside","Stop & Shop #561","Sunrise Highway","East Islip","NY","11730",
"Bronx","Pharmacy Only","Jerome Drugs","Jerome Avenue","Bronx","NY","10453",
"Dutchess","Grocery w/ Pharmacy inside","Hannaford Supermarket & Pharm #8375","Hannaford Dr","Red Hook","NY","12571",
"New York","Grocery","Big Apple Meat Market","Ninth Avenue","New York","NY","10036",
"Suffolk","Pharmacy Only","CVS Pharmacy #5191","Montauk Highway","East Yaphank","NY","11967",
"Nassau","Grocery w/ Pharmacy inside","ShopRite","Old Country Road","Plainview","NY","11803",
"Franklin","Pharmacy Only","Walgreens #10591","W Main St","Malone","NY","12953",
"Erie","Grocery w/ Pharmacy inside","Wegmans Food & Pharmacy #82","Alberta Drive","Amherst","NY","14226",
"Kings","Grocery","All Fresh Supermarket, Inc.","Harrison Ave","Brooklyn","NY","11211",
"Tioga","Pharmacy Only","CVS #2252","Park St","Owego","NY","13827",
"Kings","Grocery","3rd Avenue Mini Market I Inc.","3rd Av","Brooklyn","NY","11209",
"Bronx","Grocery","C & G Espinosa Food Inc.","Courtlandt Avenue","Bronx","NY","10451",
"Monroe","Grocery w/ Pharmacy inside","Wegmans Market #68","Chili Ave","Rochester","NY","14624",
"Bronx","Pharmacy Only","Perla Pharmacy","East Tremont Avenue","Bronx","NY","10460",
"Kings","Grocery","Danish Convenience 6, Inc.","3rd Avenue","Brooklyn","NY","11209",
"Rockland","Pharmacy Only","Rockland Pharmacy Inc","Orchard St","Monsey","NY","10952",
"Queens","Pharmacy Only","Franhill Pharmacy Llc","Hillside Ave","Hollis","NY","11423",
"Kings","Grocery","Western Beef #54","Jamaica Avenue","Brooklyn","NY","11208",
"Kings","Grocery","Angelisa Food Corp.","Tompkins Ave","Brooklyn","NY","11216",
"Queens","Grocery","Always Fresh Ny Inc.","Cornaga Avenue","Far Rockaway","NY","11691",
"Kings","Grocery","Keyfood","Nostrand Av","Brooklyn","NY","11226",
"Monroe","Pharmacy Only","Walgreens # 10512","E Ridge Rd","Rochester","NY","14621",
"Bronx","Grocery","Town Market Corp","Morris Park Ave","Bronx","NY","10462",
"Queens","Grocery","Target Store T-1150","20th Ave","College Point","NY","11356",
"Nassau","Pharmacy Only","CVS Pharmacy #2073","Merrick Road","Baldwin","NY","11510",
"Queens","Grocery","Fresh N Save","Roosevelt Ave","Woodside","NY","11377",
"Niagara","Grocery","Tops Market #32","Saunders Settlement Ro","Sanborn","NY","14132",
"Queens","Grocery","Food Universe","111th Avenue","South Ozone Park","NY","11420",
"Onondaga","Grocery w/ Pharmacy inside","Tops Market #373","First North St","Syracuse","NY","13208",
"Westchester","Grocery","C-Town Supermarkets","Main Street","New Rochelle","NY","10801",
"Bronx","Grocery","2690 Grocery Corp","3rd Avenue","Bronx","NY","10454",
"Bronx","Grocery","El Corral Meat Market Corp","Morrison Avenue","Bronx","NY","10472",
"Monroe","Grocery","Tops Market #460","Upper Falls Blvd","Rochester","NY","14605",
"Dutchess","Pharmacy Only","CVS #6997","East Main Street","Pawling","NY","12564",
"Queens","Grocery","New Town 99 Cents Store","Union St","Flushing","NY","11354",
"Richmond","Grocery","P-Y Deli Corp","Vreeland Street","Staten Island","NY","10302",
"Richmond","Grocery","Key Food","Sand Lane","Staten Island","NY","10305",
"Sullivan","Grocery","Liberty Market","North Main St","Liberty","NY","12754",
"Bronx","Grocery","C-Town Supermarkets","Broadway","Bronx","NY","10463",
"Queens","Grocery","Sea Town Fish & Farmers Market","104th St","Corona","NY","11368",
"Kings","Pharmacy Only","Livingword Pharmacy Inc","Utica Ave","Brooklyn","NY","11203",
"Oneida","Grocery","Byrne Dairy #16","Main St","Camden","NY","13316",
"Suffolk","Grocery w/ Pharmacy inside","Stop & Shop #544","Portion Ro","Lake Ronkonkoma","NY","11779",
"Suffolk","Pharmacy Only","Walgreens #09497","Smithtown Byp","Smithtown","NY","11787",
"Westchester","Grocery","Acme #2499","Knollwood Road","White Plains","NY","10607",
"Ulster","Grocery","ShopRite Of New Paltz #280","Main Street","New Paltz","NY","12561",
"Onondaga","Grocery w/ Pharmacy inside","Walmart Supercenter #2581","West Genesee Street","Camillus","NY","13031",
"Kings","Grocery","Key Food Foodmarket","Fulton Street","Brooklyn","NY","11238",
"Orleans","Grocery w/ Pharmacy inside","Tops Market #248","Maple Ridge Rd","Medina","NY","14103",
"Rockland","Grocery","The Market Of Rockland By Antillana","Route 9w","West Haverstraw","NY","10993",
"Queens","Grocery","Jrd Grocery Corp.","43rd Av","Corona","NY","11368",
"Westchester","Grocery","Food Universe","Irving Avenue","Port Chester","NY","10573",
"Queens","Grocery","City Fresh Market","103rd St","Corona","NY","11368",
"New York","Pharmacy Only","Duane Reade #14400","John St","New York","NY","10038",
"Kings","Grocery","C-Town Supermarkets","Avenue U","Brooklyn","NY","11229",
"Oneida","Grocery","Byrne Dairy #40","State Route 5","Clinton","NY","13323",
"Kings","Grocery","International Deli Corp.","14th Avenue","Brooklyn","NY","11218",
"Kings","Grocery","88 Market Inc","8th Av","Brooklyn","NY","11220",
"Kings","Grocery","Food World Supermarket","E 107th Street","Brooklyn","NY","11236",
"Livingston","Grocery w/ Pharmacy inside","Tops Market #520","Franklin Plaza","Dansville","NY","14437",
"St. Lawrence","Pharmacy Only","Walgreens #10698","Main St","Massena","NY","13662",
"Warren","Grocery w/ Pharmacy inside","Market 32 Price Chopper #40","Upper Glen Street","Queensbury","NY","12804",
"Suffolk","Pharmacy Only","CVS Pharmacy #2836","Fifth Avenue","Bay Shore","NY","11706",
"Bronx","Pharmacy Only","Randall Pharmacy","Randall Avenue","Bronx","NY","10473",
"Wayne","Grocery","Save A Lot","Mason Street","Newark","NY","14513",
"Queens","Grocery","John's Farm Market","Farmers Blvd","Saint Albans","NY","11412",
"Schenectady","Grocery w/ Pharmacy inside","Hannaford Supermarket & Pharm #8376","Saratoga Rd Route 50","Glenville","NY","12302",
"Nassau","Grocery","Joebest African Caribbean American","Meacham Avenue","Elmont","NY","11003",
"Putnam","Grocery w/ Pharmacy inside","Acme #1063","Route 22","Patterson","NY","12563",
"Oneida","Grocery","Byrne Dairy #25","Oriskany Blvd","Whitesboro","NY","13492",
"Kings","Grocery","4 Season Deli & Grocery","Coney Island Avenue","Brooklyn","NY","11230",
"Kings","Grocery","Greenfresh 2 Supermarket","Dekalb Ave","Brooklyn","NY","11205",
"Kings","Grocery","Duddy's Corner","14th Ave","Brooklyn","NY","11219",
"Kings","Grocery","Bochner's Grocery, Llc","16th Av","Brooklyn","NY","11204",
"Kings","Grocery","Bravo Supermarket","Myrtle Ave","Brooklyn","NY","11205",
"Kings","Pharmacy Only","Rx Warehouse Pharmacy Inc.","New Utrecht Ave","Brooklyn","NY","11214",
"Suffolk","Pharmacy Only","CVS Pharmacy #5372","East Main Street","Patchogue","NY","11772",
"St. Lawrence","Grocery w/ Pharmacy inside","Price Chopper #30","Ford Street Ext","Ogdensburg","NY","13669",
"Westchester","Grocery w/ Pharmacy inside","Stop & Shop #501","Westchester Ave","White Plains","NY","10601",
"Kings","Grocery","Karim 1 Stop Mini-Mart, Inc.","5th Ave","Brooklyn","NY","11209",
"Monroe","Grocery","Foodlink Curbside Market","Mt. Read Boulevard","Greece","NY","14615",
"Suffolk","Pharmacy Only","CVS Pharmacy #1907","West Main Street","West Sayville","NY","11796",
"Westchester","Pharmacy Only","Walgreens # 12760","Main Street","Peekskill","NY","10566",
"Queens","Grocery","Joy Fruit","Metropolitan Ave","Jamaica","NY","11418",
"Kings","Grocery","King Hwy Meat Corp.","East 16th St","Brooklyn","NY","11229",
"Kings","Grocery","Ideal Food Basket","Brooklyn Ave","Brooklyn","NY","11203",
"Kings","Grocery","Bravo Fresh Market","Dekalb Av","Brooklyn","NY","11221",
"Kings","Grocery","Gala Fresh","Saint Mark's Avenue","Brooklyn","NY","11238",
"Suffolk","Grocery","Compare Foods","Medford Av","Patchogue","NY","11772",
"New York","Grocery","C-Town Supermarkets","Broadway","New York","NY","10031",
"Suffolk","Pharmacy Only","CVS Pharmacy #2211","Wellwood Avenue","Lindenhurst","NY","11757",
"Nassau","Grocery","King Kullen #34","New Hyde Park Road","Franklin Square","NY","11010",
"New York","Grocery","Shopfair Supermarket","Broadway","New York","NY","10032",
"Rensselaer","Grocery w/ Pharmacy inside","Walmart #1940","Troy Road","Rensselaer","NY","12144",
"Kings","Grocery","Shadin Bangla Grocery Inc.","Cortelyou Rd","Brooklyn","NY","11218",
"Bronx","Grocery","Extra Jumbo Market Place","Nelson Avenue","Bronx","NY","10452",
"Bronx","Grocery","La Potencia Deli-Grocery Store Corp","East 167th Street","Bronx","NY","10456",
"Kings","Pharmacy Only","Walgreens #04363","Union Ave","Brooklyn","NY","11211",
"Kings","Grocery","Food Universe Market Place","Avenue O","Brooklyn","NY","11204",
"Bronx","Grocery","Jama Deli Grocery Corp","Ogden Avenue","Bronx","NY","10452",
"New York","Grocery","Food Universe Marketplace","Broadway","New York","NY","10034",
"Kings","Pharmacy Only","A Plus Pharmacy Corp","7th Avenue","Brooklyn","NY","11220",
"Albany","Grocery w/ Pharmacy inside","Walmart Supercenter #1997","Loudon Road","Latham","NY","12110",
"New York","Pharmacy Only","Duane Reade #14388","8th Ave","New York","NY","10036",
"Queens","Grocery","Mis Amigos Inc.","Northern Boulevard","Corona","NY","11368",
"Allegany","Grocery","Giant Food Mart","Genesee Street","Cuba","NY","14727",
"Kings","Grocery","Q & Y Inc","Avenue S","Brooklyn","NY","11223",
"Erie","Grocery","Save-A-Lot West Seneca","Union Road","Buffalo","NY","14224",
"Queens","Grocery","Hillside Halal Meat & Grocery Inc","Hillside Ave","Jamaica","NY","11435",
"Bronx","Grocery","Bravo Supermarket","West Burnside Avenue","Bronx","NY","10453",
"Nassau","Grocery","Stop & Shop #2570","Rockaway Blvd","Woodmere","NY","11598",
"Onondaga","Grocery w/ Pharmacy inside","Wegmans Food Market #1","Oswego Rd","Liverpool","NY","13088",
"Kings","Pharmacy Only","Best Care Pharmacy","3rd Ave","Brooklyn","NY","11209",
"Erie","Grocery w/ Pharmacy inside","Tops Market #261","Broadway","Alden","NY","14004",
"New York","Pharmacy Only","Duane Reade #14131","Whitehall Street","New York","NY","10004",
"Bronx","Grocery","Camila Deli Market","Anderson Avenue","Bronx","NY","10452",
"Nassau","Pharmacy Only","Walgreens #07831","Langdale St","New Hyde Park","NY","11040",
"Bronx","Grocery","Key Food","Gerard Avenue","Bronx","NY","10452",
"Bronx","Grocery","Foodtown","Broadway","Bronx","NY","10463",
"Broome","Grocery","Weis Markets #220","Pennsylvania Avenue","Binghamton","NY","13903",
"Bronx","Grocery","Foodtown #582","East 204th Street","Bronx","NY","10467",
"Bronx","Grocery","La Potencia 2 Deli Grocery Corp","Clay Avenue","Bronx","NY","10458",
"Jefferson","Grocery","Price Chopper #24","High Street","Carthage","NY","13619",
"Erie","Pharmacy Only","Walgreens #11142","Main St","Clarence","NY","14031",
"Suffolk","Pharmacy Only","CVS Pharmacy #2726","Route 25a","Wading River","NY","11792",
"Broome","Grocery","Target T-1056","Vestal Parkway East","Vestal","NY","13850",
"Orange","Grocery w/ Pharmacy inside","Price Chopper #114","Schutt Road Extension","Middletown","NY","10940",
"Bronx","Grocery","University Fresh Market","University Avenue","Bronx","NY","10453",
"Kings","Grocery","C-Town Supermarkets","Bond St","Brooklyn","NY","11217",
"Albany","Grocery w/ Pharmacy inside","Walmart #2152","Washington Ave. Extension","Albany","NY","12205",
"New York","Pharmacy Only","Duane Reade #14209","Columbus Ave","New York","NY","10024",
"Queens","Grocery","Elmhurst Food Bazar Inc","Broadway","Elmhurst","NY","11373",
"Nassau","Grocery","Stop & Shop #2555","South Merrick Mall","Merrick","NY","11566",
"Bronx","Grocery","Met Food","East 198th Street","Bronx","NY","10458",
"Queens","Grocery","Freshmart","Union Street","Flushing","NY","11354",
"Bronx","Grocery","775 Mena Grocery Corp","Lydig Avenue","Bronx","NY","10462",
"Kings","Grocery","Food Bazaar","Junius St","Brooklyn","NY","11212",
"Queens","Grocery","Al-Yemeni Market","Woodward Avenue","Ridgewood","NY","11385",
"Schenectady","Grocery","ShopRite Of Niskayuna #229","Nott Street East","Niskayuna","NY","12309",
"Kings","Grocery","16th Ave. Food Center","16th Ave","Brooklyn","NY","11204",
"Suffolk","Grocery","Stop & Shop #2576","Main St","Southampton","NY","11968",
"Saratoga","Grocery w/ Pharmacy inside","Walmart #2844","Route 9","Clifton Park","NY","12065",
"Allegany","Grocery","Tops Market #249","Bolivar Rd","Wellsville","NY","14895",
"Kings","Grocery","Moon Convenience & Deli Inc.","New Utrecht Ave","Brooklyn","NY","11204",
"Queens","Grocery","Food Bazaar","Junction Boulevard","Corona","NY","11368",
"Oswego","Grocery","Byrne Dairy #74","County Route 57","Phoenix","NY","13135",
"New York","Grocery","Pioneer Supermarket","Adam Clayton Powell Jr Bo","New York","NY","10039",
"Bronx","Pharmacy Only","Security Drugs","Boston Road","Bronx","NY","10469",
"Nassau","Grocery","Stop & Shop #2577","Atlantic Ave","Baldwin","NY","11510",
"Kings","Pharmacy Only","Fine Care Pharmacy","Broadway","Brooklyn","NY","11207",
"Chautauqua","Pharmacy Only","Walgreens #9937","Prospect St","Jamestown","NY","14701",
"Steuben","Grocery","Wayland Food Mart","State Rt. 21 N","Wayland","NY","14572",
"Suffolk","Grocery","Gala Foods","Commack Rd","Brentwood","NY","11717",
"Queens","Grocery","Trade Fair #9","37th Avenue","Jackson Heights","NY","11372",
"Bronx","Grocery","C-Town Supermarkets","Katonah Avenue","Bronx","NY","10470",
"Kings","Grocery","City Fresh Market","Knickerbocker Ave","Brooklyn","NY","11237",
"Westchester","Grocery","ShopRite Of Scarsdale","Central Avenue","Scarsdale","NY","10583",
"Erie","Grocery w/ Pharmacy inside","Tops Market #236","South Park Ave","Hamburg","NY","14075",
"Chenango","Grocery w/ Pharmacy inside","Walmart Supercenter #2120","State Highway 12","Norwich","NY","13815",
"Kings","Grocery","Key Food","Myrtle Av","Brooklyn","NY","11205",
"Bronx","Grocery w/ Pharmacy inside","Stop & Shop #2593","East 174th Street","Bronx","NY","10460",
"Orange","Grocery","ShopRite Of Warwick #267","Route 94 South","Warwick","NY","10990",
"New York","Grocery","Associated","Harlem River Dr","New York","NY","10039",
"Bronx","Grocery","Food Universe Market Place","West Kingsbridge Road","Bronx","NY","10468",
"Bronx","Grocery","Bengali Halal Grocery","Zerega Avenue","Bronx","NY","10462",
"Nassau","Grocery","Guy Lombardo Candy & Grocery Inc.","Guy Lombardo Avenue","Freeport","NY","11520",
"Suffolk","Grocery","Food Universe Marketplace","Great Neck Road","Copiague","NY","11726",
"Bronx","Grocery","Fine Fare","Boston Road","Bronx","NY","10467",
"Ulster","Pharmacy Only","Walgreens #2077","Broadway","Kingston","NY","12401",
"Queens","Grocery","Food Bazaar Supermarket","57th Ave","Corona","NY","11368",
"Erie","Pharmacy Only","Walgreens #3897","Young St","Tonawanda","NY","14150",
"St. Lawrence","Grocery","Price Chopper #37","E. Main Street","Gouverneur","NY","13642",
"Suffolk","Grocery w/ Pharmacy inside","Stop & Shop #550","Merrick Road","Amityville","NY","11701",
"Queens","Grocery","Stop & Shop #508","Myrtle Ave","Glendale","NY","11385",
"Suffolk","Pharmacy Only","CVS Pharmacy #3100","Route 112","Coram","NY","11727",
"Kings","Pharmacy Only","Boreum Drugs Corp.","Union Ave","Brooklyn","NY","11211",
"Kings","Grocery","Foodtown #602","Fulton St","Brooklyn","NY","11216",
"Ulster","Grocery w/ Pharmacy inside","Hannaford Supermarket & Pharm #8346","Route 32","Modena","NY","12548",
"New York","Grocery","Food Universe","West 138th St","New York","NY","10031",
"Richmond","Pharmacy Only","Walgreens #10475","Clove Rd","Staten Island","NY","10305",
"Cattaraugus","Grocery","Park & Shop","South Main Street","Portville","NY","14770",
"Westchester","Grocery","Wilby Supermarket, Corp","West 1st Street","Mount Vernon","NY","10550",
"Bronx","Pharmacy Only","Castle Hill Community Pharmacy","Castle Hill Avenue","Bronx","NY","10473",
"Bronx","Grocery","G & A Deli Grocery Corp.","W. Tremont Avenue","Bronx","NY","10453",
"Kings","Grocery","Lee Heyward Groceries Inc.","Lee Ave","Brooklyn","NY","11206",
"Queens","Grocery","Food Plus Supermarket","Kissena Blvd","Flushing","NY","11355",
"Otsego","Grocery w/ Pharmacy inside","Price Chopper #134","State Highway 7","Oneonta","NY","13820",
"Monroe","Grocery w/ Pharmacy inside","Wegmans Food Market #04","Fairport & March Rd","East Rochester","NY","14445",
"Fulton","Grocery w/ Pharmacy inside","Hannaford Food & Drug #8377","5th Avenue Extension","Gloversville","NY","12078",
"New York","Grocery","Extra Jumbo Marketplace","Audubon Avenue","New York","NY","10033",
"Nassau","Pharmacy Only","CVS Pharmacy #963","Glen Cove Road","Roslyn Heights","NY","11577",
"Queens","Grocery","City Fresh Market","20th Av","College Point","NY","11356",
"Ontario","Grocery","Byrne Dairy #122 Canandaigua","West Ave","Canandaigua","NY","14424",
"New York","Pharmacy Only","Duane Reade #14260","7th Ave","New York","NY","10011",
"Erie","Grocery w/ Pharmacy inside","Tops Market #108","Southwestern Bo","Orchard Park","NY","14127",
"Queens","Pharmacy Only","Duane Reade #14431","82nd St","Jackson Heights","NY","11372",
"Suffolk","Pharmacy Only","Walgreens #13643","East Main St","East Patchogue","NY","11772",
"Dutchess","Grocery w/ Pharmacy inside","Stop & Shop #540","Burnett Blvd","Poughkeepsie","NY","12603",
"Kings","Grocery","Ideal Food Basket","Lafayette Ave","Brooklyn","NY","11221",
"Kings","Grocery","New Tayeeba's Grocery Corp.","Avenue J","Brooklyn","NY","11230",
"Queens","Pharmacy Only","Walgreens #02055","Francis Lewis Blvd","Queens Village","NY","11429",
"Kings","Grocery","Brooklyn Candy Grocery Corp","Brighton Beach Avenue","Brooklyn","NY","11235",
"Chautauqua","Grocery","Tops Market #279","East Main St","Westfield","NY","14787",
"Orange","Grocery","ShopRite Of Vails Gate #260","Windsor Highway","New Windsor","NY","12553",
"Onondaga","Grocery w/ Pharmacy inside","Walmart Supercenter #2166","Basile Rowe","East Syracuse","NY","13057",
"Queens","Pharmacy Only","Walgreens #04319","Broadway","Elmhurst","NY","11373",
"Clinton","Pharmacy Only","Walgreens #11378","Cornelia St","Plattsburgh","NY","12901",
"Kings","Grocery","Pangpang Grocery Inc.","7th Avenue","Brooklyn","NY","11220",
"New York","Pharmacy Only","Duane Reade #14489","Broadway","New York","NY","10031",
"Kings","Pharmacy Only","Fine Care Pharmacy","Flatbush Ave","Brooklyn","NY","11210",
"Kings","Grocery","Evelyn Grocery Corp.","E 92nd St","Brooklyn","NY","11236",
"Richmond","Pharmacy Only","Walgreens #03916","Arthur Kill Rd","Staten Island","NY","10312",
"Queens","Grocery","C Town Fresh","24th Avenue","Astoria","NY","11102",
"Kings","Grocery","Key Food Supermarket","Nostrand Ave","Brooklyn","NY","11210",
"Rockland","Grocery","All Fresh Produce","Route 59","Monsey","NY","10952",
"Herkimer","Grocery w/ Pharmacy inside","Hannaford Supermarket & Pharm #8366","East Albany Street","Herkimer","NY","13350",
"Kings","Grocery","Howard Market Place","Howard Avenue","Brooklyn","NY","11221",
"Queens","Pharmacy Only","Rx-Spress Pharmacy","Liberty Avenue","Jamaica","NY","11419",
"Nassau","Grocery","Bravo Supermarket","Post Av","Westbury","NY","11590",
