"rowid","schoolyear","organizationlevel","organizationid","organizationname","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","programdesignid","programdesign","languageid","languageofinstruction","programmodel","dl_lowestgradelevelcode","dl_highestgradelevelcode","websiteduallanguageeducation","hasdlprogramming","dataasof","latitude","longitude","physicaladdress","mailingaddress","districtcountdlschools","districtcountdlprograms"
"752","2016-17","School","102540","Chase Lake Elementary","Snohomish","Northwest Educational Service District 189","100009","31015","Edmonds School District","100075","3534","Chase Lake Elementary","102540","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.80329","-122.34501","21603 84TH AVE W, EDMONDS, Washington, 98020-6299","21603 84TH AVE W, EDMONDS, Washington, 98020-6299","0","0"
"753","2016-17","School","102747","Chase Middle School","Spokane","Educational Service District 101","100001","32081","Spokane School District","100247","4457","Chase Middle School","102747","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.622856","-117.339966","4747 E 37Th Ave, Spokane, Washington, 99223-1206","4747 E 37Th Ave, Spokane, Washington, 99223-1206","0","0"
"754","2016-17","School","102863","Chattaroy Elementary","Spokane","Educational Service District 101","100001","32416","Riverside School District","100221","2525","Chattaroy Elementary","102863","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.892277","-117.358531","25717 N. Yale Rd., Chattaroy, Washington, 99003-9643","25717 N. Yale Rd., Chattaroy, Washington, 99003-9643","0","0"
"755","2016-17","School","101313","Chautauqua Elementary","King","Puget Sound Educational Service District 121","100006","17402","Vashon Island School District","100279","4468","Chautauqua Elementary","101313","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.427605","-122.452489","9309 SW CEMETERY RD, VASHON, Washington, 98070-0000","9309 SW CEMETERY RD, VASHON, Washington, 98070-0000","0","0"
"756","2016-17","School","101861","Chehalis Middle School","Lewis","Capital Region ESD 113","100004","21302","Chehalis School District","100041","4311","Chehalis Middle School","101861","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.643193","-122.943081","1060 SW 20th Street, Chehalis, Washington, 98532-3809","1060 SW 20th Street, Chehalis, Washington, 98532-3809","0","0"
"757","2016-17","School","100458","Chelan County Juvenile Detention Center","Chelan","North Central Educational Service District 171","100008","4246","Wenatchee School District","100290","1802","Chelan County Juvenile Detention Center","100458","J","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.42172","-120.31562","316 WASHINGTON ST, WENATCHEE, Washington, 98801-0000","316 WASHINGTON ST, WENATCHEE, Washington, 98801-0000","2","2"
"758","2016-17","School","100437","Chelan High School","Chelan","North Central Educational Service District 171","100008","4129","Lake Chelan School District","100125","4260","Chelan High School","100437","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.835071","-120.020768","215 Webster, Chelan, Washington, 98816-0000","PO Box 369, Chelan, Washington, 98816-0000","0","0"
"759","2016-17","School","100434","Chelan Middle School","Chelan","North Central Educational Service District 171","100008","4129","Lake Chelan School District","100125","2317","Chelan Middle School","100434","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.83523712","-120.0207664","215 Webster, Chelan, Washington, 98816-0000","PO Box 369, Chelan, Washington, 98816-0000","0","0"
"760","2016-17","School","103865","Chelan School of Innovation","Chelan","North Central Educational Service District 171","100008","4129","Lake Chelan School District","100125","1940","Chelan School of Innovation","103865","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.84141971","-120.016328","216 N Emerson Street, Chelan, Washington, 98816-0000","303 East Johnson Avenue, Chelan, Washington, 98816-0000","0","0"
"761","2016-17","School","102817","Cheney High School","Spokane","Educational Service District 101","100001","32360","Cheney School District","100042","3610","Cheney High School","102817","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.498038","-117.576988","460 N SIXTH ST, CHENEY, Washington, 99004-2297","460 N SIXTH ST, CHENEY, Washington, 99004-2297","0","0"
"762","2016-17","School","102812","Cheney Middle School","Spokane","Educational Service District 101","100001","32360","Cheney School District","100042","2447","Cheney Middle School","102812","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.50655368","-117.5794928","740 Betz, CHENEY, Washington, 99004-2181","740 Betz, CHENEY, Washington, 99004-2181","0","0"
"763","2016-17","School","105902","Cheney Open Doors","Spokane","Educational Service District 101","100001","32360","Cheney School District","100042","5396","Cheney Open Doors","105902","R","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.49806705","-117.5756836","460 N. 6th St., Cheney, Washington, 99004","460 N. 6th St., Cheney, Washington, 99004","0","0"
"764","2016-17","School","101389","Cherry Crest Elementary School","King","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","3742","Cherry Crest Elementary School","101389","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.64049603","-122.1735612","12400 N.E. 32nd St., Bellevue, Washington, 98005","12400 N.E. 32nd St., Bellevue, Washington, 98005","4","4"
"765","2016-17","School","101407","Cherry Valley Elementary School","King","Puget Sound Educational Service District 121","100006","17407","Riverview School District","100222","3101","Cherry Valley Elementary School","101407","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.747206","-121.982303","26701 NE Cherry Valley Rd, Duvall, Washington, 98019-8618","26701 NE Cherry Valley Rd, Duvall, Washington, 98019-8618","0","0"
"766","2016-17","School","102025","Cherrydale Elementary","Pierce","Puget Sound Educational Service District 121","100006","27001","Steilacoom Hist. School District","100254","3446","Cherrydale Elementary","102025","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.165782","-122.588188","1201 GALLOWAY, STEILACOOM, Washington, 98388-0000","1201 GALLOWAY, STEILACOOM, Washington, 98388-0000","0","0"
"767","2016-17","School","102801","Chester Elementary School","Spokane","Educational Service District 101","100001","32356","Central Valley School District","100039","3929","Chester Elementary School","102801","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.623947","-117.23887","3525 S. Pines Road, Spokane Valley, Washington, 99206-5930","3525 S. Pines Road, Spokane Valley, Washington, 99206-5930","0","0"
"768","2016-17","School","102296","Chester H Thompson Elementary","Pierce","Puget Sound Educational Service District 121","100006","27403","Bethel School District","100022","3649","Chester H Thompson Elementary","102296","P","2","Two-way","243","Spanish","90-10","Kindergarten","4","http://bethelsd.schoolwires.net/Domain/318","1","2021-02-18T00:00:00.000","47.112888","-122.426206","303 159TH ST E, TACOMA, Washington, 98445-1199","303 159TH ST E, TACOMA, Washington, 98445-1199","1","1"
"769","2016-17","School","102870","Chewelah Alternative (Closed after 2017-2018 school year)","Stevens","Educational Service District 101","100001","33036","Chewelah School District","100043","1709","Chewelah Alternative (Closed after 2017-2018 school year)","102870","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"770","2016-17","School","106154","Chewelah Open Doors Reengagement Program","Stevens","Educational Service District 101","100001","33036","Chewelah School District","100043","5523","Chewelah Open Doors Reengagement Program","106154","R","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.27800166","-117.7154824","W 106 Lincoln St, Chewelah, Washington, 99109","PO Box 47, Chewelah, Washington, 99109","0","0"
"771","2016-17","School","104883","Chiawana Senior High School","Franklin","Educational Service District 123","100007","11001","Pasco School District","100195","5164","Chiawana Senior High School","104883","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.25764721","-119.196933","8125 W Argent Rd, Pasco, Washington, 99301","8125 W Argent Rd Booth Bldg, Pasco, Washington, 99301","2","2"
"772","2016-17","School","100412","Chief Joseph Middle School","Benton","Educational Service District 123","100007","3400","Richland School District","100218","2785","Chief Joseph Middle School","100412","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.296021","-119.282756","504 Wilson, Richland, Washington, 99352-0000","504 Wilson, Richland, Washington, 99352-0000","0","0"
"773","2016-17","School","103242","Chief Kamiakin Elementary School","Yakima","Educational Service District 105","100002","39201","Sunnyside School District","100260","4000","Chief Kamiakin Elementary School","103242","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.317927","-119.997506","1700 E. Lincoln Avenue, Sunnyside, Washington, 98944-2197","1110 S. 6th Street, Sunnyside, Washington, 98944-2197","0","0"
"774","2016-17","School","101452","Chief Kanim Middle School","King","Puget Sound Educational Service District 121","100006","17410","Snoqualmie Valley School District","100240","4397","Chief Kanim Middle School","101452","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.569547","-121.905159","32627 SE REDMOND FALL CITY R, FALL CITY, Washington, 98024-0000","Box 639, Fall City, Washington, 98024-0000","0","0"
"775","2016-17","School","105634","Chief Kitsap Academy","Kitsap","NULL","NULL","18902","Suquamish Tribal Education Department","105768","5319","Chief Kitsap Academy","105634","Q","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.70590277","-122.5823112","15838 Sandy Hook Rd, Poulsbo, Washington, 98370","15838 Sandy Hook Rd, Poulsbo, Washington, 98370","0","0"
"776","2016-17","School","106182","Chief Leschi Schools","Pierce","NULL","NULL","27901","Chief Leschi Schools","106180","5549","Chief Leschi Schools","106182","Q","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.21185","-122.35486","5625 52nd St E, Puyallup, Washington, 98371","5625 52nd St E, Puyallup, Washington, 98371","0","0"
"777","2016-17","School","102061","Chief Leschi Schools(Closed)","Pierce","NULL","NULL","27003","Puyallup School District","100207","4110","Chief Leschi Schools(Closed)","102061","T","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"778","2016-17","School","100832","Chief Moses Middle School","Grant","North Central Educational Service District 171","100008","13161","Moses Lake School District","100153","3022","Chief Moses Middle School","100832","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.115475","-119.259017","1111 E NELSON ROAD, MOSES LAKE, Washington, 98837-0000","1111 E NELSON ROAD, MOSES LAKE, Washington, 98837-0000","0","0"
"779","2016-17","School","101118","Chief Sealth International High School","King","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","3096","Chief Sealth International High School","101118","P","1","One-way","243","Spanish","50-50","9","9","https://chiefsealthhs.seattleschools.org/","1","2021-02-18T00:00:00.000","47.52863786","-122.3661694","2600 SW Thistle, SEATTLE, Washington, 98126-3748","2600 SW Thistle, SEATTLE, Washington, 98126-3748","6","6"
"780","2016-17","School","104740","Chief Umtuch Middle","Clark","Educational Service District 112","100003","6119","Battle Ground School District","100018","5133","Chief Umtuch Middle","104740","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","45.787241","-122.546082","700 NW 9th St, Battle Ground, Washington, 98604","PO BOX 200, Battle Ground, Washington, 98604","0","0"
"781","2016-17","School","103860","Children First (Closed after 2019-2020 school year)","Spokane","Educational Service District 101","100001","32361","East Valley School District (Spokane)","100070","1937","Children First (Closed after 2019-2020 school year)","103860","S","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"782","2016-17","School","104338","Children's Village (Closed after 2014-2015 school year)","Yakima","Educational Service District 105","100002","39090","East Valley School District (Yakima)","100071","5083","Children's Village (Closed after 2014-2015 school year)","104338","S","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"783","2016-17","School","100956","Chimacum Creek Primary School","Jefferson","Olympic Educational Service District 114","100005","16049","Chimacum School District","100044","4552","Chimacum Creek Primary School","100956","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.032904","-122.774306","313 Ness Corner Rd, Port Hadlock, Washington, 98339-9435","PO Box 278, Chimacum, Washington, 98325-0278","0","0"
"784","2016-17","School","100953","Chimacum Elementary School","Jefferson","Olympic Educational Service District 114","100005","16049","Chimacum School District","100044","2697","Chimacum Elementary School","100953","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.011932","-122.776993","91 West Valley Rd, Chimacum, Washington, 98325-0000","PO Box 278, Chimacum, Washington, 98325-0278","0","0"
"785","2016-17","School","100954","Chimacum Junior/Senior High School","Jefferson","Olympic Educational Service District 114","100005","16049","Chimacum School District","100044","3275","Chimacum Junior/Senior High School","100954","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.012446","-122.778205","91 West Valley Rd, Chimacum, Washington, 98325-0000","PO Box 278, Chimacum, Washington, 98325-0278","0","0"
"786","2016-17","School","100955","Chimacum Middle School (Closed after 2018-2019 school year)","Jefferson","Olympic Educational Service District 114","100005","16049","Chimacum School District","100044","4261","Chimacum Middle School (Closed after 2018-2019 school year)","100955","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"787","2016-17","School","101421","Chinook Elementary School","King","Puget Sound Educational Service District 121","100006","17408","Auburn School District","100016","3439","Chinook Elementary School","101421","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.28968","-122.181117","3502 AUBURN WAY S, AUBURN, Washington, 98092-7221","3502 AUBURN WAY S, AUBURN, Washington, 98092-7221","0","0"
"788","2016-17","School","100557","Chinook Elementary School","Clark","Educational Service District 112","100003","6037","Vancouver School District","100278","4405","Chinook Elementary School","100557","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","45.72408","-122.69055","1900 NW BLISS RD, VANCOUVER, Washington, 98685-1824","1900 NW BLISS RD, VANCOUVER, Washington, 98685-1824","1","1"
"789","2016-17","School","101371","Chinook Middle School","King","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","3338","Chinook Middle School","101371","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.62790159","-122.210932","2001 98th Ave NE, Bellevue, Washington, 98004","2001 98th Ave NE, Bellevue, Washington, 98006","4","4"
"790","2016-17","School","101281","Chinook Middle School","King","Puget Sound Educational Service District 121","100006","17401","Highline School District","100105","3098","Chinook Middle School","101281","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.435258","-122.280379","18650 42nd Ave S, SeaTac, Washington, 98188-5012","18650 42nd Ave S, SeaTac, Washington, 98188-5012","5","5"
"791","2016-17","School","105990","Chinook Middle School","Benton","Educational Service District 123","100007","3017","Kennewick School District","100116","5439","Chinook Middle School","105990","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.18318606","-119.1868378","6011 W 10th Place, Kennewick, Washington, 99338","6011 W 10th Place, Kennewick, Washington, 99338","6","6"
"792","2016-17","School","102928","Chinook Middle School","Thurston","Capital Region ESD 113","100004","34003","North Thurston Public Schools","100172","3361","Chinook Middle School","102928","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.05312","-122.826866","4301 6th Ave NE, Lacey, Washington, 98516-6398","4301 6th Ave NE, Lacey, Washington, 98516-6398","0","0"
"793","2016-17","School","102030","Chloe Clark Elementary","Pierce","Puget Sound Educational Service District 121","100006","27001","Steilacoom Hist. School District","100254","4562","Chloe Clark Elementary","102030","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.097266","-122.638989","1700 PALISADE BOULEVARD, DUPONT, Washington, 98327-0000","1700 PALISADE BOULEVARD, DUPONT, Washington, 98327-0000","0","0"
"794","2016-17","School","105412","Choice","King","Puget Sound Educational Service District 121","100006","17407","Riverview School District","100222","5244","Choice","105412","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.65233","-121.90797","32302 NE 50th St, Carnation, Washington, 98014","32302 NE 50th St, Carnation, Washington, 98014","0","0"
"795","2016-17","School","101251","CHOICE Academy","King","Puget Sound Educational Service District 121","100006","17401","Highline School District","100105","1539","CHOICE Academy","101251","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.437774","-122.325045","18367 8th Ave S, Seattle, Washington, 98148-1934","18367 8th Ave S, Seattle, Washington, 98148-1934","5","5"
"796","2016-17","School","106177","Choice Academy","Kitsap","Olympic Educational Service District 114","100005","18400","North Kitsap School District","100169","5546","Choice Academy","106177","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.79648","-122.51637","25800 Siyaya Ave NE, Kingston, Washington, 98346","25800 Siyaya Ave NE, Kingston, Washington, 98346","2","2"
"797","2016-17","School","101918","Choice Middle and High School","Mason","Capital Region ESD 113","100004","23309","Shelton School District","100235","4288","Choice Middle and High School","101918","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.215592","-123.108554","807 W. Pine St., Shelton, Washington, 98584-2562","807 W. Pine St., Shelton, Washington, 98584-2562","1","1"
"798","2016-17","School","101561","Christa Mcauliffe Elementary","King","Puget Sound Educational Service District 121","100006","17414","Lake Washington School District","100127","4354","Christa Mcauliffe Elementary","101561","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.628719","-122.020906","23823 NE 22nd, Sammamish, Washington, 98074-3517","23823 NE 22nd, Sammamish, Washington, 98074-3517","0","0"
"799","2016-17","School","102276","Christensen Elementary","Pierce","Puget Sound Educational Service District 121","100006","27402","Franklin Pierce School District","100090","3301","Christensen Elementary","102276","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.163628","-122.446596","10232 Barnes Lane, Tacoma, Washington, 98444-2799","10232 Barnes Lane, Tacoma, Washington, 98444-2799","0","0"
"800","2016-17","School","105779","CHS Drop-Out Reengagement Program (Closed after 2018-2019 school year)","Pierce","Puget Sound Educational Service District 121","100006","27083","University Place School District","100275","5353","CHS Drop-Out Reengagement Program (Closed after 2018-2019 school year)","105779","R","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"801","2016-17","School","105002","CK Online Academy (Closed after 2015-2016 school year)","Kitsap","Olympic Educational Service District 114","100005","18401","Central Kitsap School District","100038","5199","CK Online Academy (Closed after 2015-2016 school year)","105002","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"802","2016-17","School","100506","Clallam Bay High & Elementary","Clallam","Olympic Educational Service District 114","100005","5401","Cape Flattery School District","100032","3422","Clallam Bay High & Elementary","100506","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.252156","-124.258796","16-933 HWY 112, Clallam Bay, Washington, 98326-0337","P.O. Box 337, Clallam Bay, Washington, 98326-0337","0","0"
"803","2016-17","School","100483","Clallam Co Juvenile Detention","Kitsap","NULL","NULL","18801","ESD 114 acting as a school district","100005","3143","Clallam Co Juvenile Detention","100483","J","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.11908155","-123.4835561","1912 W 18TH ST, PORT ANGELES, Washington, 98363-5121","1912 W 18TH ST, PORT ANGELES, Washington, 98363-5121","0","0"
"804","2016-17","School","106142","Clara Barton Elementary School","King","Puget Sound Educational Service District 121","100006","17414","Lake Washington School District","100127","5511","Clara Barton Elementary School","106142","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.70868093","-122.1122088","12011 172nd Ave NE, Redmond, Washington, 98052","12011 172nd Ave NE, Redmond, Washington, 98052","0","0"
"805","2016-17","School","105535","Clark County Juvenile Detention School","Clark","NULL","NULL","6801","ESD 112 acting as a school district","100003","5290","Clark County Juvenile Detention School","105535","J","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","45.62997325","-122.6765279","500 West 11th St, Vancouver, Washington, 98660","PO Box 5000, Vancouver, Washington, 98660","0","0"
"806","2016-17","School","101459","Clark Elementary","King","Puget Sound Educational Service District 121","100006","17411","Issaquah School District","100111","2738","Clark Elementary","101459","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.526308","-122.034847","335 First Avenue SE, ISSAQUAH, Washington, 98027-4315","335 First Avenue SE, ISSAQUAH, Washington, 98027-4315","0","0"
"807","2016-17","School","102225","Clarkmoor Elementary School (Closed after 2014-2015 school year)","Pierce","Puget Sound Educational Service District 121","100006","27400","Clover Park School District","100047","3178","Clarkmoor Elementary School (Closed after 2014-2015 school year)","102225","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"808","2016-17","School","106426","Clarkston Home Alliance","Asotin","Educational Service District 123","100007","2250","Clarkston School District","100045","5644","Clarkston Home Alliance","106426","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.41110194","-117.0582262","1294 Chestnut Street, Clarkston, Washington, 99403","PO Box 70, Clarkston, Washington, 99403","0","0"
"809","2016-17","School","101784","Cle Elum Roslyn Elementary","Kittitas","Educational Service District 105","100002","19404","Cle Elum-Roslyn School District","100046","2328","Cle Elum Roslyn Elementary","101784","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.20397356","-120.9733401","2696 SR 903, Cle Elum, Washington, 98922-8708","2696 SR 903, Cle Elum, Washington, 98922-8708","0","0"
"810","2016-17","School","101785","Cle Elum Roslyn High School","Kittitas","Educational Service District 105","100002","19404","Cle Elum-Roslyn School District","100046","2329","Cle Elum Roslyn High School","101785","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.204952","-120.976095","2692 SR 903, Cle Eum, Washington, 98922-8706","2692 SR 903, Cle Eum, Washington, 98922-8706","0","0"
"811","2016-17","School","101728","Clear Creek Elementary School","Kitsap","Olympic Educational Service District 114","100005","18401","Central Kitsap School District","100038","4016","Clear Creek Elementary School","101728","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.684058","-122.701891","12901 Winter Creek Ave NW, SILVERDALE, Washington, 98383-9662","12901 Winter Creek Ave NW, SILVERDALE, Washington, 98383-9662","0","0"
"812","2016-17","School","102384","Clear Lake Elementary School","Skagit","Northwest Educational Service District 189","100009","29101","Sedro-Woolley School District","100230","3403","Clear Lake Elementary School","102384","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","48.464572","-122.233372","23631 Lake Street, Clear Lake, Washington, 98235-0000","PO BOX 128, Clear Lake, Washington, 98235-0000","0","0"
"813","2016-17","School","101089","Cleveland High School STEM","King","Puget Sound Educational Service District 121","100006","17001","Seattle School District No. 1","100229","2392","Cleveland High School STEM","101089","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.552386","-122.314119","5511 15 AVE S, SEATTLE, Washington, 98108-2823","5511 15 AVE S, SEATTLE, Washington, 98108-2823","6","6"
"814","2016-17","School","101403","CLIP","King","Puget Sound Educational Service District 121","100006","17407","Riverview School District","100222","1756","CLIP","101403","A","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.65226631","-121.908086","32302 NE 50th Street, Carnation, Washington, 98014","32302 NE 50th Street, Carnation, Washington, 98014","0","0"
"815","2016-17","School","102291","Clover Creek Elementary","Pierce","Puget Sound Educational Service District 121","100006","27403","Bethel School District","100022","2576","Clover Creek Elementary","102291","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.103483","-122.379249","16715 36th Avenue East, Tacoma, Washington, 98446-1399","16715 36th Avenue East, Tacoma, Washington, 98446-1399","1","1"
"816","2016-17","School","105892","Clover Park Early Learning Program","Pierce","Puget Sound Educational Service District 121","100006","27400","Clover Park School District","100047","5386","Clover Park Early Learning Program","105892","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.165057","-122.491714","10202 Earley Ave SW, Lakewood, Washington, 98499","10202 Earley Ave SW, Lakewood, Washington, 98499","0","0"
"817","2016-17","School","102218","Clover Park High School","Pierce","Puget Sound Educational Service District 121","100006","27400","Clover Park School District","100047","2425","Clover Park High School","102218","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.157594","-122.519079","11023 Gravelly LK DR SW, Lakewood, Washington, 98499-0000","11023 Gravelly LK DR SW, Lakewood, Washington, 98499-0000","0","0"
"818","2016-17","School","103980","Clovis Point Intermediate School","Douglas","North Central Educational Service District 171","100008","9206","Eastmont School District","100072","4590","Clovis Point Intermediate School","103980","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.399983","-120.256156","1855 4th St SE, East Wenatchee, Washington, 98802","1855 4th St SE, East Wenatchee, Washington, 98802","0","0"
"819","2016-17","School","101359","Clyde Hill Elementary","King","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","2847","Clyde Hill Elementary","101359","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.63129112","-122.211759","9601 NE 24th Street, Bellevue, Washington, 98004-2100","9601 NE 24th Street, Bellevue, Washington, 98004-2100","4","4"
"820","2016-17","School","102774","Colbert Elementary School","Spokane","Educational Service District 101","100001","32354","Mead School District","100144","3562","Colbert Elementary School","102774","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","47.808413","-117.343069","4625 E GREENBLUFF RD, COLBERT, Washington, 99005-9654","4625 E GREENBLUFF RD, COLBERT, Washington, 99005-9654","0","0"
"821","2016-17","School","103142","Colfax High School","Whitman","Educational Service District 101","100001","38300","Colfax School District","100048","3366","Colfax High School","103142","P","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","46.892","-117.3606","1110 N. Morton Street, Colfax, Washington, 99111-2133","1110 N. Morton Street, Colfax, Washington, 99111-2133","0","0"
