"school_year","school_name","city","public_private","public_school_district","enrollment","reported","calculated_all_pbe_count","calculated_all_pbe_percent","hc_practitioner_counseled_pbe_count","hc_practitioner_counseled_pbe_percent","pre_jan_pbe_count","pre_jan_pbe_percent","personal_beliefs_exemption_count","personal_beliefs_exemption_percent","religious_pbe_count","religious_pbe_percent","conditional_count","conditional_percent","dtp_count","dtp_percent","hepb_count","hepb_percent","mmr_count","mmr_percent","polio_count","polio_percent","permanent_medical_exemption_count","permanent_medical_exemption_percent","up_to_date_count","up_to_date_percent","vari_count","vari_percent","overdue_count","overdue_percent","others_count","others_percent","location","latitude","longitude","school_code","unique_id"
"2017-2018","COLEMAN ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","66","Y",,,,,,,,,,,"2","3",,"98",,"98",,"98","64","97","0","0","64","97",,"98",,,"0","0","
,  
(37.9780298, -122.520021)","37.9780298","-122.520021","6024764","6024764_2017-2018"
"2016-2017","COLEMAN ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","69","Y","0","0",,,,,"0","0",,,"4","6",,,"67","97",,,"66","96","0","0","65","94",,,"0","0","0","0","
,  
(37.9780298, -122.520021)","37.9780298","-122.520021","6024764","6024764_2016-2017"
"2015-2016","COLEMAN ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","69","Y","0","0","0","0",,,"0","0","0","0","9","13.04","63","91.3","68","98.55","63","91.3","64","92.75","0","0","60","86.96","68","98.55","0","0",,,"
,  
(37.9780298, -122.520021)","37.9780298","-122.520021","6024764","6024764_2015-2016"
"2014-2015","COLEMAN ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","73","Y","0","0","0","0","0","0","0","0","0","0","21","28.77","54","73.97","67","91.78","58","79.45","60","82.19","1","1.37","51","69.86","70","95.89",,,,,"
,  
(37.9780298, -122.520021)","37.9780298","-122.520021","6024764","6024764_2014-2015"
"2013-2014","COLEMAN ELEMENTARY","SAN RAFAEL","PUBLIC","SAN RAFAEL CITY ELEMENTARY","69","Y","1","1.45","0","0","0","0","1","1.45","0","0","26","37.68","47","68.12","57","82.61","53","76.81","49","71.01","0","0","42","60.87","60","86.96",,,,,"
,  
(37.9780298, -122.520021)","37.9780298","-122.520021","6024764","6024764_2013-2014"
"2018-2019","COVE","CORTE MADERA","PUBLIC","LARKSPUR-CORTE MADERA","71","Y",,,,,,,,,,,"1","1","68","96","68","96","68","96","68","96","2","3","68","96","68","96",,,,,"
,  
(37.921165, -122.4993417)","37.921165","-122.4993417","129148","0129148_2018-2019"
"2017-2018","COVE","CORTE MADERA","PUBLIC","LARKSPUR-CORTE MADERA","77","Y",,,,,,,,,,,"3","4",,"98","75","97",,"98",,"98","0","0","74","96",,"98",,,"0","0","
,  
(37.921165, -122.4993417)","37.921165","-122.4993417","129148","0129148_2017-2018"
"2016-2017","COVE","CORTE MADERA","PUBLIC","LARKSPUR-CORTE MADERA","92","Y","1","1",,,,,"1","1",,,"4","4",,,"88","96",,,"89","97","1","1","86","94",,,"0","0","0","0","
,  
(37.921165, -122.4993417)","37.921165","-122.4993417","129148","129148_2016-2017"
"2015-2016","COVE","CORTE MADERA","PUBLIC","LARKSPUR-CORTE MADERA","95","Y","5","5.26","5","5.26",,,"5","5.26","0","0","1","1.05","89","93.68","90","94.74","90","94.74","90","94.74","0","0","89","93.68","90","94.74","0","0",,,"
,  
(37.921165, -122.4993417)","37.921165","-122.4993417","129148","129148_2015-2016"
"2014-2015","COVE","CORTE MADERA","PUBLIC","LARKSPUR-CORTE MADERA","95","Y","2","2.11","2","2.11","0","0","2","2.11","0","0","1","1.05","92","96.84","93","97.89","92","96.84","92","96.84","0","0","92","96.84","93","97.89",,,,,"
,  
(37.921165, -122.4993417)","37.921165","-122.4993417","129148","129148_2014-2015"
