"county","countyfips","year","week","week_ending","initial_claims","change_from_prior_week","pcnt_change","location","geocoded_column","reporting_week"
"SAN JUAN COUNTY","55","2020","Week 26","06/28/20 - 07/04/20","43","4","0.102564102564103","Point(48.50719, -123.103769)","POINT (-123.103769 48.50719)","2020-06-28T00:00:00.000"
"CHELAN COUNTY","7","2020","Week 30","07/26/20 - 08/01/20","290","-91","-0.238845144356955","Point(47.860974, -120.619041)","POINT (-120.619041 47.860974)","2020-07-26T00:00:00.000"
"CHELAN COUNTY","7","2020","Week 22","05/31/20 - 06/06/20","326","38","0.131944444444444","Point(47.860974, -120.619041)","POINT (-120.619041 47.860974)","2020-05-31T00:00:00.000"
"CLALLAM COUNTY","9","2020","Week 14","04/05/20 - 04/11/20","945","-608","-0.391500321957502","Point(48.110903, -123.88986)","POINT (-123.88986 48.110903)","2020-04-05T00:00:00.000"
"JEFFERSON COUNTY","31","2020","Week 14","04/05/20 - 04/11/20","435","-235","-0.350746268656716","Point(47.805346, -123.527136)","POINT (-123.527136 47.805346)","2020-04-05T00:00:00.000"
"FRANKLIN COUNTY","21","2020","Week 52","12/27/20 - 01/02/21","478","112","0.306010928961749","Point(46.53458, -118.906944)","POINT (-118.906944 46.53458)","2020-12-27T00:00:00.000"
"SKAGIT COUNTY","57","2020","Week 09","03/01/20 - 03/07/20","127","15","0.133928571428571","Point(48.493292, -121.81577)","POINT (-121.81577 48.493292)","2020-03-01T00:00:00.000"
"PEND OREILLE COUNTY","51","2020","Week 25","06/21/20 - 06/27/20","62","24","0.631578947368421","Point(48.543825, -117.232191)","POINT (-117.232191 48.543825)","2020-06-21T00:00:00.000"
"THURSTON COUNTY","67","2020","Week 07","02/16/20 - 02/22/20","223","-34","-0.132295719844358","Point(46.935822, -122.830152)","POINT (-122.830152 46.935822)","2020-02-16T00:00:00.000"
"MASON COUNTY","45","2020","Week 16","04/19/20 - 04/25/20","931","395","0.736940298507463","Point(47.354126, -123.17385)","POINT (-123.17385 47.354126)","2020-04-19T00:00:00.000"
"THURSTON COUNTY","67","2020","Week 10","03/08/20 - 03/14/20","351","86","0.324528301886792","Point(46.935822, -122.830152)","POINT (-122.830152 46.935822)","2020-03-08T00:00:00.000"
"FERRY COUNTY","19","2020","Week 11","03/15/20 - 03/21/20","20","12","1.5","Point(48.473256, -118.533589)","POINT (-118.533589 48.473256)","2020-03-15T00:00:00.000"
"WAHKIAKUM COUNTY","69","2020","Week 43","10/25/20 - 10/31/54","4","0","0","Point(46.294638, -123.424458)","POINT (-123.424458 46.294638)","2020-10-25T00:00:00.000"
