"public_transparency_solution","time_period","number_of_transactions","site","year","month","years_prior_current_year","include_in_ytd"
"Survey Monument Number of Page Views","2022-08-31T00:00:00.000","501","Survey Monument","2022","8","0","Yes"
"Info By Address  Number of Page Views","2022-08-31T00:00:00.000","419","Info By Address","2022","8","0","Yes"
"GIS Remote Piloted Aerial Surveillance (RPAS) Number of Page Views","2022-08-31T00:00:00.000","82","GIS Remote Piloted Aerial Surveillance (RPAS)","2022","8","0","Yes"
"Public Records Portal Number of Page Views","2022-08-31T00:00:00.000","10269","Public Records Portal","2022","8","0","Yes"
"GIS Open Data Number of Page Views","2022-08-31T00:00:00.000","6717","GIS Open Data","2022","8","0","Yes"
"Open Pierce County Number of Page Views","2022-08-31T00:00:00.000","10961","Open Performance/Data","2022","8","0","Yes"
"PublicGIS Number of Page Views","2022-08-31T00:00:00.000","46040","PublicGIS Number of Page Views","2022","8","0","Yes"
"Public Nuisance Reporting Portal Page Views","2022-08-31T00:00:00.000","9431","Public Nuisance Reporting Portal","2022","8","0","Yes"
"Open Pierce County Number of Page Views","2022-08-31T00:00:00.000","700","Open Project","2022","8","0","Yes"
"Open Pierce County Number of Page Views","2022-08-31T00:00:00.000","549","Open Budget","2022","8","0","Yes"
"Open Pierce County Number of Page Views","2022-08-31T00:00:00.000","123","Open Checkbook","2022","8","0","Yes"
"Pierce County Works","2022-08-31T00:00:00.000","1622","Pierce County Works","2022","8","0","Yes"
