"stop_id","stop_name","location_1"
"2560","Ipima St Merici CLG","(-35.266106, 149.136871)"
"4547","Mouat St Hockey Centre","(-35.244457, 149.127213)"
"4072","Copland Dr Copland CLG","(-35.212429, 149.060699)"
"4755","Sandford & Brookes St","(-35.22065, 149.141144)"
"2598","Giles St Kingston Shops","(-35.315804, 149.140198)"
"4687","Kelleway Av opp Holy Spirit PS","(-35.180634, 149.101746)"
"4094","Clarey Cr after Dunkley Pl","(-35.194878, 149.063736)"
"49","Tuggeranong Stn Plt 5","(-35.414204, 149.065414)"
"4442","Shumack St opp Weetangera Shops","(-35.249386, 149.049591)"
"4206","Lhotsky St Charnwood Shops","(-35.205486, 149.032501)"
"2061","Eggleston Cr Chifley Shops","(-35.352531, 149.075531)"
"3042","Alinga St Canberra House(Plt 12)","(-35.278305, 149.127289)"
"1216","Box Hill Av opp St. Clare of Assisi PS","(-35.457714, 149.097366)"
"3004","London Cct after Akuna St","(-35.28228, 149.132095)"
"4334","Kippax Terminus","(-35.222481, 149.019333)"
"3404","City Bus Stn Plt 3","(-35.279049, 149.130478)"
"2372","Captain Cook Cr Manuka","(-35.321678, 149.134521)"
"6037","Flemington Rd after Lysaght St","(-35.219727, 149.145172)"
"2499","Devonport St after Port Arthur St","(-35.338825, 149.075851)"
"6186","Oodgeroo Av after Gwen Meredith","(-35.200275, 149.141541)"
"3321","Wentworth Av opposite Railway Station","(-35.319225, 149.14679)"
"2703","Woden Bus Stn Plt 3","(-35.344463, 149.087234)"
"1316","Atkins St after Livingston Av","(-35.388206, 149.085892)"
"1723","City Bus Stn Arrivals","(-35.278553, 149.1306)"
"4664","Northcott Dr Campbell Park Offices","(-35.283527, 149.170578)"
"1056","Hurtle Av opp Bonython Primary School","(-35.432125, 149.082306)"
"4557","Northbourne Av after Macarthur Av","(-35.261467, 149.132248)"
"2711","Woden Bus Stn Plt 11","(-35.343925, 149.087616)"
"2206","Parkinson St after Watling Pl","(-35.342457, 149.052872)"
"5042","Baldwin Dr opp Kaleen HS","(-35.224373, 149.10051)"
"4411","Onslow St Latham Shops","(-35.219135, 149.032089)"
"4791","Kosciuszko Av after Gungahlin Dr","(-35.189671, 149.120667)"
"1344","Marconi Cr Kambah Village","(-35.379135, 149.05777)"
"1803","Tuggeranong Stn Plt 3","(-35.414776, 149.065887)"
"3352","Tobruk Rd Campbell","(-35.293785, 149.164322)"
"3128","Cossington Smith Cr Nth Lyneham Shops","(-35.241161, 149.124283)"
"3167","Windeyer St Watson Shops","(-35.239162, 149.153595)"
"5502","Westfield Bus Stn","(-35.238796, 149.063797)"
"1048","Coombe St after Barr Smith Av","(-35.428455, 149.075302)"
"2534","Gilmore Cr Garran Shops","(-35.342045, 149.108795)"
"5517","Belc.Community Stn Arrivals","(-35.239944, 149.069046)"
"6666","Alexander Maconochie Centre","(-35.372116, 149.170013)"
"1197","Bugden Av after Chataway Cr","(-35.39864, 149.117569)"
"5514","Belc. Community Stn Plt 4","(-35.240059, 149.068039)"
"2803","Steve Irwin Ave after David Fleay St","(-35.324371, 149.036255)"
"959","Cohen St Bus Stn","(-35.239902, 149.060211)"
"1811","Chippindall Cct Theodore Terminus Off Street","(-35.453056, 149.118561)"
"3110","Miller St after Cockle St","(-35.260929, 149.114944)"
