"fiscal_year","project_id","project_name","procurement_category","major_sector","wb_contract_number","contract_signing_date","supplier","supplier_country","supplier_contract_amount_usd"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616574","2020-02-27T00:00:00.000","Individual Consultant","Republic of Ecuador","26611.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616564","2020-02-27T00:00:00.000","Individual Consultant","Republic of Ecuador","26611.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616391","2020-02-26T00:00:00.000","Individual Consultant","Republic of Ecuador","26611.0"
"2022","P173773","Ecuador COVID-19 Emergency Response and Vaccination Project","Consultant Services","Health","1699430","2022-05-11T00:00:00.000","Individual Consultant","Republic of Ecuador","26318.0"
"2021","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1644612","2020-12-02T00:00:00.000","Individual Consultant","Republic of Ecuador","26318.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562424","2018-06-07T00:00:00.000","Individual Consultant","Republic of Ecuador","26253.0"
"2021","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1651080","2021-01-01T00:00:00.000","Individual Consultant","Kingdom of Spain","25343.0"
"2018","P144489","Quito Metro Line One","Consultant Services","Transportation","1629920","2017-11-10T00:00:00.000","LAMBAL ABOGADOS S.L.P.","Kingdom of Spain","25000.0"
"2018","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1561574","2018-05-01T00:00:00.000","JAIRO PAUL PÉREZ VALENCIA","Republic of Ecuador","24679.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1642958","2020-03-06T00:00:00.000","Individual Consultant","Republic of Ecuador","24603.0"
"2017","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1547279","2016-08-10T00:00:00.000","Individual Consultant","Republic of Ecuador","24408.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689548","2021-12-13T00:00:00.000","Individual Consultant","Republic of Ecuador","24325.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689743","2020-12-11T00:00:00.000","Individual Consultant","Republic of Ecuador","24325.0"
"2020","P167416","Social Safety Net Project","Consultant Services","Social Protection","1618251","2020-05-04T00:00:00.000","Individual Consultant","Republic of Ecuador","24192.0"
"2019","P143996","EC Manta Public Services Improvement Project","Goods","Transportation;Water, Sanitation and Waste Management","1591280","2019-04-18T00:00:00.000","JAVIER MAURICIO SOASTY ZAMBRANO - PROTECKSA","Republic of Ecuador","24149.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Goods","Agriculture, Fishing and Forestry;Industry, Trade and Services","1566994","2017-12-22T00:00:00.000","SMA SISTEMAS MODULARES AURON S.A.","Republic of Ecuador","24074.0"
"2017","P143996","EC Manta Public Services Improvement Project","Consultant Services","Transportation;Water, Sanitation and Waste Management","1640898","2016-09-01T00:00:00.000","DIEGO PATRICIO RAMÓN MENDIETA","Republic of Ecuador","23744.0"
"2019","P143996","EC Manta Public Services Improvement Project","Goods","Transportation;Water, Sanitation and Waste Management","1617900","2019-04-23T00:00:00.000","ROSA TRINIDAD MOREIRA VERA (BIOCHEM)","Republic of Ecuador","23397.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1656660","2021-05-14T00:00:00.000","Individual Consultant","Republic of Ecuador","23384.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1619305","2019-05-21T00:00:00.000","Individual Consultant","Republic of Ecuador","22754.0"
"2019","P143996","EC Manta Public Services Improvement Project","Goods","Transportation;Water, Sanitation and Waste Management","1591346","2019-04-11T00:00:00.000","LUIS CRISTÓBAL SIMBAÑA IZA (MOBLICENTRO)","Republic of Ecuador","22748.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1647951","2020-12-23T00:00:00.000","CARLOS ANDRÉS AULESTIA ALARCÓN","Republic of Ecuador","22502.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1652237","2021-04-07T00:00:00.000","Individual Consultant","Republic of Ecuador","22502.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1652409","2021-04-14T00:00:00.000","Individual Consultant","Republic of Ecuador","22502.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1649390","2020-12-23T00:00:00.000","ÁNGEL PATRICIO YÁNEZ MORETTA","Republic of Ecuador","22502.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1647815","2020-12-28T00:00:00.000","CRISTIAN ALEXANDER MOSQUERA CRUZ","Republic of Ecuador","22502.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1647826","2020-12-16T00:00:00.000","RODOLFO FABIAN ABARCA AGUIRRE","Republic of Ecuador","22502.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1647829","2020-12-15T00:00:00.000","SEGUNDO ALFREDO PAUCAR SUNTASIG","Republic of Ecuador","22502.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1649393","2020-12-24T00:00:00.000","BETTY ZORAIDA RIZZO ZAMBRANO","Republic of Ecuador","22502.0"
"2019","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1570505","2018-10-22T00:00:00.000","Individual Consultant","Republic of Ecuador","22400.0"
"2017","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1549522","2017-06-23T00:00:00.000","Individual Consultant","Republic of Ecuador","22023.0"
"2017","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1549700","2017-04-07T00:00:00.000","Individual Consultant","Republic of Ecuador","22023.0"
"2020","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1615387","2020-03-21T00:00:00.000","Individual Consultant","Republic of Ecuador","21946.0"
"2023","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1705731","2022-07-22T00:00:00.000","EXPLORA VIAJESY TURISMO AGENCIA DE VIAJES Y TURISMO EXPLORAVT S.A.","Republic of Ecuador","21913.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1652262","2021-04-07T00:00:00.000","Individual Consultant","Republic of Ecuador","21592.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1652263","2021-04-07T00:00:00.000","Individual Consultant","Republic of Ecuador","21592.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1652272","2021-04-07T00:00:00.000","Individual Consultant","Republic of Ecuador","21592.0"
"2019","P143996","EC Manta Public Services Improvement Project","Consultant Services","Transportation;Water, Sanitation and Waste Management","1602558","2019-06-10T00:00:00.000","Individual Consultant","Republic of Ecuador","21500.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1565256","2018-06-13T00:00:00.000","Individual Consultant","Republic of Ecuador","21298.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1629726","2020-03-16T00:00:00.000","Individual Consultant","Republic of Ecuador","21289.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1623501","2020-03-09T00:00:00.000","Individual Consultant","Republic of Ecuador","21289.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689062","2020-09-10T00:00:00.000","ERNST & YOUNG ECUADOR E&Y CIA. LTDA.","Republic of Ecuador","21280.0"
"2017","P147280","EC Ibarra Transport Infrastructure Improvement Project","Goods","Transportation;Public Administration;Industry, Trade and Services","1549484","2017-06-23T00:00:00.000","WORLD COMPUTERS","Republic of Ecuador","21265.0"
"2021","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1696032","2021-05-31T00:00:00.000","PRICEWATERHOUSE COOPERS PWC","Republic of Ecuador","21262.0"
"2020","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1617214","2020-05-12T00:00:00.000","PRICEWATERHOUSE COOPERS PWC","Republic of Ecuador","21262.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562916","2018-06-13T00:00:00.000","Individual Consultant","Republic of Ecuador","21238.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1564858","2018-06-13T00:00:00.000","Individual Consultant","Republic of Ecuador","21198.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562913","2018-06-13T00:00:00.000","Individual Consultant","Republic of Ecuador","21198.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562906","2018-07-10T00:00:00.000","Individual Consultant","Republic of Ecuador","21198.0"
"2020","P167416","Social Safety Net Project","Consultant Services","Social Protection","1618318","2020-05-22T00:00:00.000","Individual Consultant","Republic of Ecuador","21168.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1609336","2019-05-13T00:00:00.000","Individual Consultant","Republic of Ecuador","21073.0"
"2020","P173773","Ecuador COVID-19 Emergency Response and Vaccination Project","Consultant Services","Health","1631284","2020-06-19T00:00:00.000","CARMEN MARIANELA PAREDES CHIPANTASIG","Republic of Ecuador","21054.0"
"2020","P173773","Ecuador COVID-19 Emergency Response and Vaccination Project","Consultant Services","Health","1631307","2020-06-19T00:00:00.000","ROBERTO DAVID URQUIZO TAPIA","Republic of Ecuador","21054.0"
"2022","P144489","Quito Metro Line One","Consultant Services","Transportation","1687363","2022-02-07T00:00:00.000","Individual Consultant","Republic of Ecuador","20909.0"
"2020","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1617532","2019-08-19T00:00:00.000","Individual Consultant","Republic of Ecuador","20429.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1548209","2017-05-15T00:00:00.000","Individual Consultant","Republic of Ecuador","20210.0"
"2021","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1659401","2020-12-31T00:00:00.000","Individual Consultant","Argentine Republic","20160.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1566827","2018-07-10T00:00:00.000","Individual Consultant","Republic of Ecuador","19792.0"
"2021","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1659116","2021-03-23T00:00:00.000","Individual Consultant","Republic of Ecuador","19752.0"
"2021","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1659148","2021-03-23T00:00:00.000","Individual Consultant","Republic of Ecuador","19752.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Non-consulting Services","Education","1589048","2019-04-18T00:00:00.000","ERAZO CISNEROS NANCY ELIZABETH (WEDDING & DREAM LAND)","Republic of Ecuador","19603.0"
"2022","P167416","Social Safety Net Project","Goods","Social Protection","1697934","2022-05-31T00:00:00.000","JORGE EDUARDO NÚÑEZ MORILLO","Republic of Ecuador","19368.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562914","2018-06-13T00:00:00.000","Individual Consultant","Republic of Ecuador","19303.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1564865","2018-06-13T00:00:00.000","Individual Consultant","Republic of Ecuador","19303.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1564864","2018-06-13T00:00:00.000","Individual Consultant","Republic of Ecuador","19303.0"
"2022","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1698544","2022-04-20T00:00:00.000","Individual Consultant","Republic of Ecuador","19278.0"
"2022","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1698767","2022-04-20T00:00:00.000","Individual Consultant","Republic of Ecuador","19278.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1564148","2018-06-13T00:00:00.000","Individual Consultant","Republic of Ecuador","19228.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1564147","2018-06-13T00:00:00.000","Individual Consultant","Republic of Ecuador","19202.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1641568","2020-12-28T00:00:00.000","Individual Consultant","Republic of Ecuador","19196.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1547721","2017-04-12T00:00:00.000","Individual Consultant","Republic of Ecuador","19125.0"
"2022","P167416","Social Safety Net Project","Goods","Social Protection","1704983","2022-05-30T00:00:00.000","WILSON JOSELITO LOZADA LÓPEZ","Republic of Ecuador","18822.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1618910","2019-07-16T00:00:00.000","BLADIMIRO HERRERA MOREIRA","Republic of Ecuador","18816.0"
"2021","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1646167","2020-11-17T00:00:00.000","Individual Consultant","Republic of Ecuador","18592.0"
"2020","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1616258","2020-05-14T00:00:00.000","Individual Consultant","Republic of Ecuador","18564.0"
"2019","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1581208","2019-02-19T00:00:00.000","PKF & CO. CIA. LTDA","Republic of Ecuador","18500.0"
"2017","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1547263","2017-05-05T00:00:00.000","Individual Consultant","Republic of Ecuador","18306.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1621587","2020-07-15T00:00:00.000","Individual Consultant","Republic of Ecuador","18144.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562897","2018-07-10T00:00:00.000","Individual Consultant","Republic of Ecuador","18052.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1590422","2018-08-06T00:00:00.000","Individual Consultant","Kingdom of Spain","18000.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1653703","2021-04-09T00:00:00.000","Individual Consultant","Republic of Ecuador","17920.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646138","2020-12-23T00:00:00.000","WASHINGTON EDMUNDO ARIAS PALACIOS","Republic of Ecuador","17767.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646366","2020-12-29T00:00:00.000","PATRICIO TEODORO TORRES REYES","Republic of Ecuador","17767.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646306","2020-12-30T00:00:00.000","ANDREA SOFÍA TAFUR ESCANTA","Republic of Ecuador","17767.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1647919","2020-12-29T00:00:00.000","LIET PEÑA FONSECA","Republic of Ecuador","17767.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646137","2020-12-29T00:00:00.000","RODRIGO JAMYL TAPIA TINIZARAY","Republic of Ecuador","17767.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1650191","2021-03-23T00:00:00.000","Individual Consultant","Republic of Ecuador","17767.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646123","2020-12-29T00:00:00.000","MIGUEL ÁNGEL SAAVEDRA MENDOZA","Republic of Ecuador","17767.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1656063","2021-05-04T00:00:00.000","Individual Consultant","Republic of Ecuador","17767.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646113","2020-12-29T00:00:00.000","HUGO RODRIGO MENA ZAMORA","Republic of Ecuador","17767.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1652764","2020-12-29T00:00:00.000","ENA GRACIELA CUMANICHO GUAMANTICA","Republic of Ecuador","17767.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1652715","2021-04-12T00:00:00.000","Individual Consultant","Republic of Ecuador","17767.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1652110","2021-04-07T00:00:00.000","Individual Consultant","Republic of Ecuador","17767.0"
"2020","P167416","Social Safety Net Project","Consultant Services","Social Protection","1642941","2020-06-08T00:00:00.000","ANDREA PAOLA TERÁN ESPINOSA","Republic of Ecuador","17624.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549190","2017-05-15T00:00:00.000","Individual Consultant","Republic of Ecuador","17549.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1549189","2017-05-15T00:00:00.000","Individual Consultant","Republic of Ecuador","17549.0"
"2017","P143996","EC Manta Public Services Improvement Project","Consultant Services","Transportation;Water, Sanitation and Waste Management","1641705","2016-08-01T00:00:00.000","Individual Consultant","Republic of Ecuador","17000.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1547720","2017-04-27T00:00:00.000","Individual Consultant","Republic of Ecuador","16873.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689067","2021-06-18T00:00:00.000","ERNST & YOUNG ECUADOR E&Y CIA. LTDA.","Republic of Ecuador","16800.0"
"2018","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1570518","2018-04-17T00:00:00.000","Individual Consultant","Republic of Ecuador","16800.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689505","2021-06-24T00:00:00.000","Individual Consultant","Republic of Ecuador","16800.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1619064","2019-05-13T00:00:00.000","Individual Consultant","Republic of Ecuador","16480.0"
"2020","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1615386","2020-03-21T00:00:00.000","Individual Consultant","Republic of Ecuador","16161.0"
"2020","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1615407","2020-03-21T00:00:00.000","Individual Consultant","Republic of Ecuador","16161.0"
"2020","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1615314","2020-03-21T00:00:00.000","Individual Consultant","Republic of Ecuador","16160.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Non-consulting Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1546985","2017-05-17T00:00:00.000","HILTON COLON QUITO","Republic of Ecuador","16120.0"
"2020","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1617533","2019-08-19T00:00:00.000","Individual Consultant","Republic of Ecuador","15976.0"
"2019","P143996","EC Manta Public Services Improvement Project","Goods","Transportation;Water, Sanitation and Waste Management","1590515","2019-04-23T00:00:00.000","METROCAR S.A.","Republic of Ecuador","15963.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1566736","2017-10-30T00:00:00.000","Individual Consultant","Republic of Ecuador","15377.0"
"2020","P173773","Ecuador COVID-19 Emergency Response and Vaccination Project","Consultant Services","Health","1630215","2020-06-19T00:00:00.000","MARIA LEONOR MACERO MALDONADO","Republic of Ecuador","15354.0"
"2019","P147280","EC Ibarra Transport Infrastructure Improvement Project","Goods","Transportation;Public Administration;Industry, Trade and Services","1572858","2018-11-27T00:00:00.000","TELETECNIA COMUNICACIONES","Republic of Ecuador","14992.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1546977","2017-04-03T00:00:00.000","Individual Consultant","Republic of Ecuador","14869.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646140","2020-12-29T00:00:00.000","EDGAR SALVADOR RIVAS JARAMILLO","Republic of Ecuador","14844.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646126","2020-12-23T00:00:00.000","PAÚL EDUARDO TORRES GÓMEZ","Republic of Ecuador","14806.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646478","2020-12-24T00:00:00.000","ALEXANDRA NATHALÍ CHÁVEZ JARAMILLO","Republic of Ecuador","14806.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646157","2021-03-31T00:00:00.000","GIL ELOY ALFARO REYES","Republic of Ecuador","14806.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646104","2020-12-29T00:00:00.000","JAIME RAMIRO CHURO CASTILLO","Republic of Ecuador","14806.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646129","2020-12-29T00:00:00.000","EVELYN NATHALY MEDINA LÓPEZ","Republic of Ecuador","14806.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646128","2020-12-23T00:00:00.000","ANDREA JOHANNA OJEDA BARRERA","Republic of Ecuador","14806.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1546986","2017-04-30T00:00:00.000","Individual Consultant","Republic of Ecuador","14550.0"
"2022","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1695492","2022-04-20T00:00:00.000","COMPAÑIA DE TRANSPORTE RIO MOYA S.A. RIOTRANSA","Republic of Ecuador","14426.0"
"2022","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1695470","2022-04-28T00:00:00.000","SERGIO CONDE Y ASOCIADOS COMPAÑIA DE TRANSPORTE DE CARGA MIXTA UNITRANSHORIZONTE","Republic of Ecuador","14426.0"
"2022","P167416","Social Safety Net Project","Non-consulting Services","Social Protection","1695487","2022-04-20T00:00:00.000","COOPERATIVA DE SERVICIO COMERCIAL EXCLUSIVO DE TRANSPORTE MIXTO EN PASAJEROS Y C","Republic of Ecuador","14426.0"
"2022","P167416","Social Safety Net Project","Consultant Services","Social Protection","1704345","2022-06-24T00:00:00.000","Individual Consultant","Republic of Ecuador","14394.0"
"2021","P147280","EC Ibarra Transport Infrastructure Improvement Project","Non-consulting Services","Transportation;Public Administration;Industry, Trade and Services","1643383","2020-09-30T00:00:00.000","MONICA LUCIA VACA ORELLANA","Republic of Ecuador","14214.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1690205","2019-08-01T00:00:00.000","Individual Consultant","Republic of Ecuador","14000.0"
"2022","P144489","Quito Metro Line One","Consultant Services","Transportation","1699653","2022-05-16T00:00:00.000","Individual Consultant","Republic of Ecuador","14000.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1658205","2021-05-21T00:00:00.000","Individual Consultant","Republic of Ecuador","13962.0"
"2022","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1675122","2021-07-12T00:00:00.000","Individual Consultant","Republic of Ecuador","13962.0"
