"ifc_region","country","number_of_enterprises","ifc_cumulative_commitments_us_thousands","loan_guarantee_participations_cumulative_commitments_us_thousands","total","fiscal_year","as_of_date"
"East Asia and the Pacific","Singapore","1","546.75","0.00","546.75","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Solomon Islands","1","35000.00","0.00","35000.00","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Thailand","79","1571757.54","1748419.00","3320176.87","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Tonga","1","6787.00","0.00","6787.00","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Vanuatu","3","16604.05","0.00","16604.05","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Vietnam","48","2623689.56","253135.00","2876824.56","FY12","2012-06-30T00:00:00.000"
"East Asia and the Pacific","Regional Investments: East Asia and the Pacific","36","971614.03","0.00","971614.03","FY12","2012-06-30T00:00:00.000"
"South Asia","Bangladesh","30","1034383.51","52745.00","1087128.91","FY12","2012-06-30T00:00:00.000"
"South Asia","Bhutan","3","13658.55","0.00","13658.55","FY12","2012-06-30T00:00:00.000"
"South Asia","India","340","8542806.28","1371640.00","9914446.05","FY12","2012-06-30T00:00:00.000"
"South Asia","Maldives","7","168250.00","8500.00","176750.00","FY12","2012-06-30T00:00:00.000"
"South Asia","Nepal","18","151240.25","36000.00","187240.25","FY12","2012-06-30T00:00:00.000"
"South Asia","Sri Lanka","35","512070.77","23616.00","535686.37","FY12","2012-06-30T00:00:00.000"
"South Asia","Regional Investments: South Asia","10","271570.00","0.00","271570.00","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Albania","18","380273.09","9893.00","390166.05","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Armenia","12","238409.46","0.00","238409.46","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Azerbaijan","26","489129.07","197930.00","687059.07","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Belarus","17","340496.04","0.00","340496.04","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Bosnia and Herzegovina","29","300854.94","10578.00","311432.49","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Bulgaria","25","645749.41","183647.00","829396.12","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Croatia","16","552114.28","166695.00","718809.76","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Czech Republic","18","455175.92","245588.00","700763.84","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Estonia","11","137806.09","11855.00","149661.07","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Georgia","17","573056.69","11500.00","584556.69","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Hungary","34","437985.38","70335.00","508320.21","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Kazakhstan","32","1202439.21","282917.00","1485355.87","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Kosovo","3","27799.54","0.00","27799.54","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Kyrgyz Republic","15","101536.17","0.00","101536.17","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Latvia","7","80966.79","35000.00","115966.79","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Lithuania","11","95040.95","9309.00","104349.95","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Macedonia, former Yugoslav Republic of","14","200678.00","25000.00","225678.00","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Moldova","17","201070.94","25000.00","226070.94","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Montenegro","6","86754.20","0.00","86754.20","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Poland","44","438121.43","115317.00","553438.27","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Romania","39","1478080.60","478163.00","1956244.06","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Russian Federation","181","7180746.01","2296019.00","9476765.09","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Serbia","36","1168590.93","135630.00","1304221.19","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Slovak Republic","7","115543.69","0.00","115543.69","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Slovenia","11","211484.14","47383.00","258866.85","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Tajikistan","17","75887.52","0.00","75887.52","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Turkey","158","6030869.97","3443543.00","9474413.15","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Ukraine","43","1682040.02","631700.00","2313740.02","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Uzbekistan","17","93447.04","12900.00","106347.04","FY12","2012-06-30T00:00:00.000"
"Europe and Central Asia","Regional Investments: Europe and Central Asia","57","2197076.04","149007.00","2346083.06","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Argentina","191","4699380.80","3654163.00","8353543.81","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Barbados","6","128625.08","0.00","128625.08","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Belize","4","26936.86","11000.00","37936.86","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Bolivia","29","449262.16","140500.00","589762.16","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Brazil","235","10580635.91","5737822.00","16318457.74","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Chile","53","1561952.46","1160605.00","2722557.13","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Colombia","111","2530730.56","1168631.00","3699361.59","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Costa Rica","27","379594.57","99709.00","479303.39","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Dominica","1","700.00","0.00","700.00","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Dominican Republic","34","601594.16","231850.00","833444.16","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Ecuador","23","323127.51","39240.00","362367.56","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","El Salvador","18","330883.07","113500.00","444383.07","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Grenada","2","8000.00","0.00","8000.00","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Guatemala","24","793340.99","210000.00","1003340.99","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Guyana","7","25877.19","0.00","25877.19","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Haiti","10","81414.48","12000.00","93414.48","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Honduras","19","649640.40","124401.00","774041.15","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Jamaica","22","418795.60","186744.00","605540.09","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Mexico","181","4967190.44","2217134.00","7184323.97","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Nicaragua","20","291511.15","12429.00","303939.72","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Panama","25","1421023.27","153300.00","1574323.27","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Paraguay","15","605113.17","10000.00","615113.17","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Peru","71","1824897.89","753621.00","2578519.09","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","St. Lucia","3","45421.91","0.00","45421.91","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Suriname","1","1895.57","0.00","1895.57","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Trinidad and Tobago","15","358653.74","235000.00","593653.74","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Uruguay","17","298815.54","120000.00","418815.54","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Venezuela, Republica Bolivariana de","39","897229.54","703791.00","1601020.96","FY12","2012-06-30T00:00:00.000"
"Latin America and the Caribbean","Regional Investments: Latin America and the Caribbean","63","1272732.97","320000.00","1592732.97","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Afghanistan","7","153972.34","0.00","153972.34","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Algeria","14","253557.27","5557.00","259114.17","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Bahrain","1","216274.05","0.00","216274.05","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Egypt, Arab Republic of","87","2707085.41","789871.00","3496956.67","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Iran, Islamic Republic of","11","63342.91","8199.00","71542.37","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Iraq","5","319896.06","50000.00","369896.06","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Jordan","43","1050682.08","380384.00","1431066.08","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Lebanon","33","1583129.46","230430.00","1813559.46","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Morocco","38","772977.16","515014.00","1287991.25","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Oman","7","230859.56","57000.00","287859.56","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Pakistan","124","4050071.63","607970.00","4658041.75","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Saudi Arabia","8","236286.04","0.00","236286.04","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Syrian Arab Republic","4","24731.60","0.00","24731.60","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Tunisia","27","447597.84","417228.00","864825.64","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","United Arab Emirates","3","75000.00","0.00","75000.00","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Yemen, Republic of","14","206004.20","56105.00","262108.86","FY12","2012-06-30T00:00:00.000"
"Middle East and North Africa","Regional Investments: Middle East and North Africa","32","1042160.58","3000.00","1045160.58","FY12","2012-06-30T00:00:00.000"
"Worldwide","Australia","2","975.00","0.00","975.00","FY12","2012-06-30T00:00:00.000"
"Worldwide","Cyprus","7","32181.47","645.00","32826.72","FY12","2012-06-30T00:00:00.000"
"Worldwide","Finland","4","1233.13","1915.00","3147.64","FY12","2012-06-30T00:00:00.000"
"Worldwide","Greece","6","25742.34","40131.00","65873.59","FY12","2012-06-30T00:00:00.000"
"Worldwide","Israel","1","10500.00","0.00","10500.00","FY12","2012-06-30T00:00:00.000"
"Worldwide","Italy","1","960.00","0.00","960.00","FY12","2012-06-30T00:00:00.000"
"Worldwide","Portugal","7","51811.13","11000.00","62811.13","FY12","2012-06-30T00:00:00.000"
"Worldwide","Spain","5","19042.51","1685.00","20727.51","FY12","2012-06-30T00:00:00.000"
"Worldwide","Regional Investments: Worldwide","91","4728667.32","183000.00","4911667.32","FY12","2012-06-30T00:00:00.000"
"Worldwide","Other","24","290028.97","11400.00","301428.97","FY12","2012-06-30T00:00:00.000"
"Sub-Saharan Africa","Angola","9","439287.49","0.00","439287.49","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Benin","11","265694.53","0.00","265694.53","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Botswana","6","35451.60","0.00","35451.60","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Burkina Faso","19","356346.17","0.00","356346.17","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Burundi","10","53648.14","0.00","53648.14","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Cameroon","41","698682.12","471500.00","1170182.12","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Cape Verde","6","15901.91","0.00","15901.91","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Central African Republic","1","9880.62","0.00","9880.62","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Chad","10","139265.59","13900.00","153165.59","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Congo, Democratic Republic of","28","509432.37","94000.00","603432.37","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Congo, Republic of","9","154232.40","25000.00","179232.40","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Cote D'Ivoire","57","877538.74","70964.00","948502.54","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Djibouti","1","4000.00","0.00","4000.00","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Eritrea","1","949.22","0.00","949.22","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Ethiopia","15","501181.96","11149.00","512330.96","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Gabon","6","249620.01","110000.00","359620.01","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Gambia, The","10","42618.44","0.00","42618.44","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Ghana","79","2551655.94","904750.00","3456405.94","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Guinea","16","340327.82","11000.00","351327.82","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Guinea-Bissau","4","7245.99","0.00","7245.99","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Kenya","108","2102540.36","115662.00","2218202.41","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Liberia","12","155585.92","0.00","155585.92","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Madagascar","22","270158.58","21000.00","291158.58","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Malawi","22","196196.95","9500.00","205696.95","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Mali","27","284413.43","40000.00","324413.43","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Mauritania","14","275266.04","9503.00","284768.64","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Mauritius","20","158523.00","96.00","158619.00","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Mozambique","31","425987.79","0.00","425987.79","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Namibia","9","148390.96","0.00","148390.96","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Niger","3","25609.60","0.00","25609.60","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Nigeria","116","9863582.14","456155.00","10319737.17","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Rwanda","22","222153.03","10000.00","232153.03","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Sao Tome and Principe","2","2050.98","0.00","2050.98","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Senegal","39","458674.73","79330.00","538005.22","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Seychelles","7","39443.21","2500.00","41943.21","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Sierra Leone","10","99601.63","25000.00","124601.63","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Somalia","2","974.61","0.00","974.61","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","South Africa","92","2594331.30","15000.00","2609331.30","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","South Sudan","1","5000.00","0.00","5000.00","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Sudan","6","27267.78","6489.00","33756.57","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Swaziland","9","47779.49","0.00","47779.49","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Tanzania","63","497431.02","15541.00","512971.53","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Togo","13","253212.28","0.00","253212.28","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Uganda","53","495608.49","13088.00","508696.86","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Zambia","40","279271.34","20286.00","299557.16","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Zimbabwe","51","284261.86","99000.00","383261.86","FY16","2016-06-30T00:00:00.000"
"Sub-Saharan Africa","Regional Investments: Sub-Saharan Africa","110","3124942.47","70898.00","3195840.94","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Cambodia","14","480798.23","355000.00","835798.23","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","China","282","9019404.34","2111109.00","11130513.63","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Fiji","11","57493.22","2500.00","59993.22","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Indonesia","130","4207221.56","2647055.00","6854276.92","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Kiribati","1","1798.00","0.00","1798.00","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Korea, Republic of","51","868449.18","195700.00","1064149.18","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Lao People's Democratic Republic","13","75019.82","0.00","75019.82","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Malaysia","12","154868.40","5389.00","160257.52","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Mongolia","20","808001.34","882125.00","1690126.34","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Myanmar","10","348089.09","0.00","348089.09","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Papua New Guinea","12","374518.93","25000.00","399518.93","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Philippines","106","3003198.25","695880.00","3699077.85","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Samoa","7","20096.57","0.00","20096.57","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Solomon Islands","2","45000.00","0.00","45000.00","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Thailand","86","2195564.90","1748419.00","3943984.24","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Timor-Leste","2","1500.00","0.00","1500.00","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Tonga","1","6787.00","0.00","6787.00","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Vanuatu","4","18104.05","0.00","18104.05","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Vietnam","56","5655115.96","253135.00","5908250.96","FY16","2016-06-30T00:00:00.000"
"East Asia and the Pacific","Regional Investments: East Asia and the Pacific","48","1636139.03","0.00","1636139.03","FY16","2016-06-30T00:00:00.000"
"South Asia","Bangladesh","50","3333636.26","92745.00","3426381.66","FY16","2016-06-30T00:00:00.000"
"South Asia","Bhutan","5","54530.01","0.00","54530.01","FY16","2016-06-30T00:00:00.000"
"South Asia","India","433","12586686.57","1743640.00","14330326.34","FY16","2016-06-30T00:00:00.000"
"South Asia","Maldives","7","168250.00","8500.00","176750.00","FY16","2016-06-30T00:00:00.000"
"South Asia","Nepal","27","222444.23","39000.00","261444.23","FY16","2016-06-30T00:00:00.000"
"South Asia","Sri Lanka","45","748734.00","128616.00","877349.60","FY16","2016-06-30T00:00:00.000"
"South Asia","Regional Investments: South Asia","12","250988.18","0.00","250988.18","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Albania","21","487756.81","65692.00","553448.72","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Armenia","17","435514.47","0.00","435514.47","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Azerbaijan","27","586543.25","197930.00","784473.25","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Belarus","20","644201.12","6000.00","650201.12","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Bosnia and Herzegovina","33","358576.43","10578.00","369153.98","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Bulgaria","28","938756.63","183647.00","1122403.34","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Croatia","22","774637.47","228199.00","1002836.50","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Czech Republic","19","482772.92","245588.00","728360.84","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Estonia","11","137806.09","11855.00","149661.07","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Georgia","25","947548.81","49825.00","997374.06","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Greece","11","212810.34","40131.00","252941.59","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Hungary","34","437985.38","70335.00","508320.21","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Kazakhstan","35","1388007.40","282917.00","1670924.07","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Kosovo","5","37448.88","0.00","37448.88","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Kyrgyz Republic","15","123526.17","0.00","123526.17","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Latvia","7","80966.79","35000.00","115966.79","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Lithuania","11","95040.95","9309.00","104349.95","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Macedonia, Former Yugoslav Republic of","16","237798.16","25000.00","262798.16","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Moldova","18","263322.94","45000.00","308322.94","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Montenegro","6","86754.20","0.00","86754.20","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Poland","47","529925.93","115317.00","645242.77","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Romania","51","2498321.73","478163.00","2976485.19","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Russian Federation","194","8797860.99","2523372.00","11321232.95","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Serbia","39","1512414.11","135630.00","1648044.37","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Slovak Republic","7","115543.69","0.00","115543.69","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Slovenia","12","241309.47","47383.00","288692.18","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Tajikistan","20","146115.69","0.00","146115.69","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Turkey","200","10894731.40","3791862.00","14686593.55","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Turkmenistan","1","35000.00","0.00","35000.00","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Ukraine","52","2415405.74","811700.00","3227105.74","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Uzbekistan","19","160513.67","12900.00","173413.67","FY16","2016-06-30T00:00:00.000"
"Europe and Central Asia","Regional Investments: Europe and Central Asia","67","3199737.81","200880.00","3400617.83","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Argentina","199","6113525.74","4549263.00","10662788.75","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Barbados","6","128625.08","0.00","128625.08","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Belize","4","33066.33","11000.00","44066.33","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Bolivia","32","550809.86","140500.00","691309.86","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Brazil","272","15492225.08","7062478.00","22554702.78","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Chile","68","2507283.82","1317105.00","3824388.48","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Colombia","137","3387409.11","1292631.00","4680040.13","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Costa Rica","33","889359.32","99709.00","989068.14","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Dominica","1","700.00","0.00","700.00","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Dominican Republic","36","717430.50","241850.00","959280.50","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Ecuador","28","726436.48","82240.00","808676.54","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","El Salvador","19","579721.59","113500.00","693221.59","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Grenada","2","8000.00","0.00","8000.00","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Guatemala","28","1513288.25","210000.00","1723288.25","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Guyana","8","76416.96","0.00","76416.96","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Haiti","12","127803.80","25250.00","153053.80","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Honduras","26","1468018.74","142901.00","1610919.49","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Jamaica","24","517495.60","194244.00","711740.09","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Mexico","210","7186033.39","2884634.00","10070666.92","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Nicaragua","24","631803.87","12429.00","644232.45","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Panama","33","2045042.15","153300.00","2198342.15","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Paraguay","18","1260054.41","10000.00","1270054.41","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Peru","79","2310576.53","963099.00","3273675.85","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","St. Lucia","3","45421.91","0.00","45421.91","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Suriname","1","4065.88","0.00","4065.88","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Trinidad and Tobago","18","358653.74","235000.00","593653.74","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Uruguay","19","347857.83","120000.00","467857.83","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Venezuela, Republica Bolivariana de","39","897229.54","703791.00","1601020.96","FY16","2016-06-30T00:00:00.000"
"Latin America and the Caribbean","Regional Investments: Latin America and the Caribbean","80","1978744.75","350000.00","2328744.75","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","Afghanistan","8","225346.86","0.00","225346.86","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","Algeria","14","253557.27","5557.00","259114.17","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","Bahrain","2","340271.16","0.00","340271.16","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","Egypt, Arab Republic of","102","3229037.98","814871.00","4043909.23","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","Iran, Islamic Republic of","11","63342.91","8199.00","71542.37","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","Iraq","13","738951.18","150000.00","888951.18","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","Jordan","56","1441377.29","625088.00","2066465.61","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","Lebanon","39","3609847.60","230430.00","3840277.60","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","Morocco","45","965950.97","515014.00","1480965.06","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","Oman","7","319853.40","57000.00","376853.40","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","Pakistan","138","6203021.36","665807.00","6868828.37","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","Saudi Arabia","11","466276.71","0.00","466276.71","FY16","2016-06-30T00:00:00.000"
"Middle East and North Africa","Syrian Arab Republic","4","24731.60","0.00","24731.60","FY16","2016-06-30T00:00:00.000"
