"suburb","column_type","height","column_material","outreach_arm_length","luminaire","lamp_type","lamp_count","location","address"
"NGUNNAWAL","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.181126984018654, 149.12772284303114)","MIRRABEI DR"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18978585377929, 149.14078369522977)","CAMILLERI WAY"
"RED HILL","STRUCTURE",,,"NONE",,"COMPACT FLUORESCENT","1","
,  
(-35.34062766370444, 149.13093466386766)","LA PEROUSE ST NR MONARO CR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14822136411602, 149.11916068258995)","HOLGAR CRESCENT"
"KAMBAH","Tapered round column","4.5 metres",,"NONE","BEGA 84404K4","LIGHT EMITTING DIODE","1","
,  
(-35.380129472509644, 149.05817657302887)","PRIMMER COURT"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","GAMMA BOSS","METAL HALIDE","1","
,  
(-35.31011344665116, 149.14498079818517)","PARK OFF EASTLAKE PARADE"
"MAJURA (RURAL DIST.)","STRUCTURE",,,"NONE","SPECIAL","PHOTOLUMINESCENCE","1","
,  
(-35.42456995316115, 149.0717774423502)","MT.AINSLIE LOOKOUT"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.171314520907146, 149.13894222292484)","HORSE PARK DRIVE"
"BRADDON","MULTIFUNCTION","10.5 metres",,"3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.27838204728075, 149.13521087671057)","COOYONG ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14504978008286, 149.11466908262693)","PROUDFOOT RISE"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.16868436632616, 149.13852211644897)","HORSE PARK DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.145674917773015, 149.11615095553032)","PROUDFOOT RISE"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","SYLVANIA ROADSTER","METAL HALIDE","2","
,  
(-35.170247743038864, 149.14768515824306)","FRANCIS FORDE BLVD"
"KINGSTON","In Ground",,,,"UPLIGHT","LIGHT EMITTING DIODE","1","
,  
(-35.31301424368475, 149.14702526326218)","KINGSTON FORESHORE"
"CHARNWOOD","VICPOLE","10.5 metres","GALVANISED STEEL","3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.20573534649997, 149.0351424773238)","TILLYARD DR"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPAN","METAL HALIDE","1","
,  
(-35.17559600719715, 149.14648374249418)","DAVID WALSHE AVE"
"KINGSTON","In Ground","4.5 metres",,,"UPLIGHT","LIGHT EMITTING DIODE","1","
,  
(-35.31277379887406, 149.14680629226288)","KINGSTON FORESHORE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14691313898563, 149.11686862356405)","PROUDFOOT RISE"
"CITY","BUS SHELTER",,,"NONE","SPECIAL","LIGHT EMITTING DIODE","4","
,  
(-35.2783685825986, 149.12815610841372)","ALINGA ST"
"TAYLOR","FORDE COLUMN","9 metres","STEEL","3.0 M SINGLE","PECAN NXT-36S","LIGHT EMITTING DIODE","1","
,  
(-35.14860286613327, 149.10366335297104)","GRENFELL AVENUE"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18465778671688, 149.12305634364873)","GUNDAROO DR"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.312112963834714, 149.1465865014419)","KINGSTON FORESHORE"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.16611270369855, 149.13712096913966)","HORSE PARK DRIVE"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.16942939306028, 149.13899948995933)","HORSE PARK DRIVE"
"MAJURA (RURAL DIST.)","Rigid column",,,,,,,"
,  
(-35.32043568301087, 149.1993403853777)","GLENORA DRIVE AND PIALLIGO AVENUE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.146352445271404, 149.11898813718656)","IWANOFF STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14467702410104, 149.11454932791003)","PROUDFOOT RISE"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.17439356962027, 149.1465781410277)",
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14654102694797, 149.12141292981187)","KECH ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.14836451623344, 149.1151276018704)","ROMBERG WAY"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","SYLVANIA ROADSTER","METAL HALIDE","2","
,  
(-35.17122507887442, 149.14868087096843)","ZAKHAROV AVE"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31157562866954, 149.1462752539381)","KINGSTON FORESHORE"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.16901230227031, 149.13893774620658)","HORSE PARK DRIVE"
"CRACE","Rigid column","9 metres","ALUMINIUM","4.5 M SINGLE","REXEL OPTISPAN","METAL HALIDE","1","
,  
(-35.20096029312597, 149.10468042223727)","ABENA AVE"
"CHARNWOOD","VICPOLE","9 metres","GALVANISED STEEL","3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.206307503712424, 149.03435812121563)","LHOTSKY ST NR TILLYARD DR"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18773667282787, 149.13448736945764)","GUNGAHLING PLACE"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18281345026858, 149.12693855173745)","GUNGAHLIN DR"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","GAMMA BOSS","METAL HALIDE","1","
,  
(-35.31038091669002, 149.14525571987167)","PARK OFF EASTLAKE PARADE"
"LATHAM","VICPOLE","10.5 metres","GALVANISED STEEL","3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.207823021295525, 149.0346548597013)","GINNINDERRA DR NR TILLYARD DR"
"ACTON","BRICK WALL",,,,,"LIGHT EMITTING DIODE","1","
,  
(-35.29109104766463, 149.12633067014715)","HENRY ROLLAND PARK"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14808531073777, 149.12220578084845)","GREG MCNAMARA CRES"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14694310779108, 149.1209035653689)","KARL LANGER CRES"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.16483483371222, 149.13517698101677)","HORSE PARK DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.15034197085236, 149.1223605051024)","EVERIST ST"
"CITY","Rigid column","10.5 metres",,"4.5 M SINGLE","SYLVANIA ELIPT","METAL HALIDE","1","
,  
(-35.281822696055336, 149.1320076165526)","CNR OF LONDON CCT AND AKUNA ST"
"FORDE","Rigid column",,,"3.0 M SINGLE","REXEL OPTISPEC AEROSCREEN","METAL HALIDE","1","
,  
(-35.17084669562536, 149.14598345477046)","FRANCIS FORDE BLVD"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.17368066754592, 149.14438233466612)",
"CHARNWOOD","VICPOLE","10.5 metres","GALVANISED STEEL","3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.2067860310704, 149.03437078719736)","TILLYARD DR"
"NICHOLLS","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.186839527610374, 149.11777247302433)","GUNDAROO DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1465360274267, 149.11488793854002)","WINSOME STREET"
"KINGSTON","In Ground",,,,"UPLIGHT","LIGHT EMITTING DIODE","1","
,  
(-35.31324207355244, 149.14715740881044)","KINGSTON FORESHORE"
"CITY","Rigid column","10.5 metres",,"4.5 M SINGLE","SYLVANIA CLIP","METAL HALIDE","1","
,  
(-35.28161491171138, 149.12360707918742)","MARCUS CLARKE ST"
"FLYNN","VICPOLE","10.5 metres","GALVANISED STEEL","3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.206913410535165, 149.03466286803942)","TILLYARD DR"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M TWIN","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","2","
,  
(-35.18264101079611, 149.12967073315218)","ANTHONY ROLFE AVE"
"BRADDON","MULTIFUNCTION","9 metres",,"3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.27793961685898, 149.13567839976278)","BATMAN ST"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.189853142150994, 149.14119089615363)","CAMILLERI WAY"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14898815674414, 149.11762747881446)","HOLGAR CRESCENT"
"NGUNNAWAL","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18411210496746, 149.1233963954264)","GUNDAROO DR"
"AINSLIE","BUS SHELTER",,"BUS SHELTER",,,"PHOTOLUMINESCENCE","1","
,  
(-35.25680474159928, 149.14995990259274)","BUS SHELTER| OFFICER CR NR INT HAWDON ST."
"GUNGAHLIN","MULTIFUNCTION","12 metres",,"4.5 M TWIN","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18196704810771, 149.12876788485494)","ANTHONY ROLFE AVE NR GUNDAROO DR"
"BONNER","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.165916848116645, 149.13738434970287)","HORSE PARK DRIVE"
"BEARD","Energy Absorbing column","10.5 metres","GALVANISED STEEL","3.5 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.341304365003694, 149.21460484257543)","RAILWAY ST"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31186872061541, 149.14644502497265)","KINGSTON FORESHORE"
"KAMBAH","Tapered octagonal column","6.5 metres",,"NONE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.37993791600016, 149.05850097838012)","PRIMMER COURT"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14465470598683, 149.1160060399681)","PROUDFOOT RISE"
"NGUNNAWAL","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18469056089678, 149.1221758384207)","GUNDAROO DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14684813012022, 149.11541559714348)","TORZILLO STREET"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18299490663549, 149.12620884166458)","GUNDAROO DR NR NARI ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14909226803867, 149.1160883850237)","WHITMAN CRESCENT"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.15000300031809, 149.12255256332935)","EVERIST ST"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.189336807848804, 149.1371073065421)","CAMILLERI WAY"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","SYLVANIA ROADSTER","METAL HALIDE","2","
,  
(-35.17016834429376, 149.14812127577576)","FRANCIS FORDE BLVD"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.165075937748234, 149.13568452782835)","HORSE PARK DRIVE"
"FORREST","STRUCTURE",,,,"VANDALITE WALL MOUNT","MERCURY LOW PRESURE FLUORESCEN","1","
,  
(-35.424560890033504, 149.07187653014586)","CAR PARK BUILDING- FURNEAUX ST INT BOUGAINVILLE ST"
"CRACE","Rigid column","9 metres","ALUMINIUM","4.5 M SINGLE","REXEL OPTISPAN","METAL HALIDE","1","
,  
(-35.20063928102251, 149.10420148797635)","ABENA AVE"
"ACTON","BRICK WALL",,,,,,"1","
,  
(-35.29051016334518, 149.12628762883253)","HENRY ROLLAND PARK"
"AMAROO","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.17896499432818, 149.1258262217878)","MIRRABEI DR"
"CITY","Rigid column","10.5 metres",,"4.5 M SINGLE","SYLVANIA ELIPT","METAL HALIDE","1","
,  
(-35.28142223491488, 149.1317710337852)","LONDON CCT"
"GUNGAHLIN","Energy Absorbing column","12 metres","STEEL ORDINARY","4.5 M SINGLE","REXEL OPTISPAN","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.183747409231955, 149.12506500982377)","GUNDAROO DR ACCESS RD TO SERVICE STN"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.22911345371774, 148.99740386254985)","FAIRBROTHER ST"
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.19036092420557, 149.14229969843953)","CAMILLERI WAY"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18741597113178, 149.1341652653314)","GUNGAHLIN PLACE"
"BRADDON","MULTIFUNCTION","9 metres",,"3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.27832542886525, 149.13524417340125)","COOYONG ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.148809336937184, 149.12095912250672)","MCGLASHAN ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14369093977728, 149.11454103281685)","PROUDFOOT RISE"
"NICHOLLS","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18704758339483, 149.11732241529236)","GUNDAROO DR"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18920244140457, 149.13636663952892)","CAMILLERI WAY"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18870565321442, 149.1341624601768)","GUNGAHLIN PLACE"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17731639616236, 149.140739860166)","HORSE PARK DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.145334277504645, 149.1149187534263)","GRUZMAN VIEW"
"MAJURA (RURAL DIST.)","Rigid column",,,,,,,"
,  
(-35.320653105077476, 149.19625662423064)","GLENORA DRIVE AND PIALLIGO AVENUE"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31181987213495, 149.1464167293496)","KINGSTON FORESHORE"
"LYNEHAM","Concrete column","3.5 metres","CONCRETE COLUMN","NONE","PIERLITE PTO","COMPACT FLUORESCENT","1","
,  
(-35.25169880821327, 149.13154827668154)","GOODWIN PL INT GOODWIN ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.148150070211734, 149.1160883588062)","ROMBERG WAY"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","2","
,  
(-35.228527259045514, 148.99559680605836)","QUINTAL COURT"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14658675410146, 149.11881507895228)","SODERSTEN STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.146835480363166, 149.1150401933034)","WINSOME STREET"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","GAMMA BOSS","METAL HALIDE","1","
,  
(-35.31010556654014, 149.14498309646163)","PARK OFF EASTLAKE PARADE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14551460459147, 149.11804899548753)","IWANOFF STREET"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.173052890806744, 149.148356793486)",
"STRATHNAIRN","FORDE COLUMN","4.5 metres",,"4.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.228223798680546, 148.99726345157956)","FAIRBROTHER ST"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"NONE","WE-EF FLC141","LIGHT EMITTING DIODE","1","
,  
(-35.22747849193605, 148.99553190086445)","FAIRBROTHER ST"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17395139584627, 149.13964874704905)","HORSE PARK DRIVE"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18151562463312, 149.12904214076542)","GUNDAROO DR NR MIRRABEI DR"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.17427328563492, 149.14730758997732)",
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","DOMUS EVERGREEN","LIGHT EMITTING DIODE","1","
,  
(-35.31304108728673, 149.14712411965317)","KINGSTON FORESHORE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.147572184890755, 149.1186478008596)","ROMBERG WAY"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18238160225814, 149.1289187574009)","GUNDAROO DR"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.22805965218921, 148.9953404091475)","PRO HART AVE"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17350783110758, 149.13927253050113)","HORSE PARK DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.14684388380019, 149.1196655056819)","ROMBERG WAY"
"BRADDON","MULTIFUNCTION","10.5 metres",,"3.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.27762204477467, 149.13637883146305)","CURRONG ST"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"NONE","WE-EF FLC141","LIGHT EMITTING DIODE","1","
,  
(-35.227351992805694, 148.9954760695171)","FAIRBROTHER ST"
"MAJURA (RURAL DIST.)","STRUCTURE",,,"NONE","SPECIAL","PHOTOLUMINESCENCE","1","
,  
(-35.424569942111056, 149.07179946361265)","MT.AINSLIE LOOKOUT"
"KINGSTON","STRUCTURE",,"STRUCTURE","NONE","GAMMA BOSS","METAL HALIDE","1","
,  
(-35.31015187814599, 149.14520048785027)","PARK OFF EASTLAKE PARADE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.146381957802845, 149.12213396236623)","KECH ST"
"MOLONGLO VALLEY (RURAL DIST.)","BRICK WALL",,,"NONE","SYLVANIA SYLFLOOD","MERCURY VAPOUR","2","
,  
(-35.27861473715736, 149.0816680519003)","UNDERPASS OF GLENLOCH INTERCHANGE"
"NGUNNAWAL","Tapered octagonal column","9 metres","GALVANISED STEEL","4.5 M SINGLE","WE-EF FLC141","LIGHT EMITTING DIODE","2","
,  
(-35.18181164292054, 149.12822512162856)","GUNDAROO DR INT MIRRABEI DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.148529673509074, 149.11893224984516)","HOLGAR CRESCENT"
"CITY","Rigid column","10.5 metres",,"3.0 M SINGLE","SYLVANIA ELIPT","METAL HALIDE","1","
,  
(-35.281424943729974, 149.1345382101882)","BUNDA STREET"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14597212495688, 149.11562804562303)","ARNEY CLOSE"
"FORDE","Rigid column","9 metres",,"3.0 M SINGLE","REXEL OPTISPEC","METAL HALIDE","2","
,  
(-35.174287997970204, 149.14573328746724)",
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.18985661586627, 149.14006513881216)","CAMILLERI WAY"
"BRADDON","MULTIFUNCTION","10.5 metres",,"3.0 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.278129392310284, 149.1350801730663)","COOYONG ST"
"GREENWAY","Rigid column","12 metres","GALVANISED STEEL","4.5 M SINGLE","WE-EF VFL540 S60","LIGHT EMITTING DIODE","1","
,  
(-35.41630447867203, 149.06824826464683)","ANKETELL STREET"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18775489605756, 149.13412099041727)","GUNGAHLIN PLACE"
"NGUNNAWAL","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18435776151118, 149.12285425987196)","GUNDAROO DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14785305263156, 149.12137885191876)","MCGLASHAN ST"
"MAJURA (RURAL DIST.)","Rigid column",,,,,,,"
,  
(-35.32092342599036, 149.19713641040812)","GLENORA DRIVE AND PIALLIGO AVENUE"
"NGUNNAWAL","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18539593489936, 149.1206757674901)","GUNDAROO DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14426410767923, 149.11608919648552)","PROUDFOOT RISE"
"GUNGAHLIN","Energy Absorbing column","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.18875680153059, 149.1338108930145)","GUNGAHLIN PLACE"
"KAMBAH","Tapered round column","6.5 metres",,"NONE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.380487522646675, 149.05843264321393)","PRIMMER COURT"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14756366230284, 149.12209538194807)","GREG MCNAMARA CRES"
