"trip_id","location","odometer","timestamp","congestion_level","vehicle_id","vehicle_label","vehicle_licenceplate","stop_sequence","gtfsrupdateid","updatedeleted","latitude","longitude","bearing","currentstatus","stopid"
"194","POINT (-35.18667221069336 149.14193725585938)","259237734.0","2022-08-30T10:01:45.000","RUNNING_SMOOTHLY","4","LRV4","LRV4","2","16739779","None","-35.18667221069336","149.14193725585938","281.4201354980469","IN_TRANSIT_TO","8104"
"192","POINT (-35.26632308959961 149.1312255859375)","210533373.0","2022-08-30T10:01:30.000","RUNNING_SMOOTHLY","2","LRV2","LRV2","13","16739505","None","-35.26632308959961","149.1312255859375","6.862670421600342","IN_TRANSIT_TO","8126"
"193","POINT (-35.226993560791016 149.14389038085938)","255092196.0","2022-08-30T10:01:30.000","RUNNING_SMOOTHLY","11","LRV11","LRV11","7","16739506","None","-35.226993560791016","149.14389038085938","349.5661926269531","IN_TRANSIT_TO","8114"
"62","POINT (-35.25056457519531 149.1337432861328)","217616214.0","2022-08-30T10:01:30.000","RUNNING_SMOOTHLY","5","LRV5","LRV5","5","16739500","None","-35.25056457519531","149.1337432861328","0.0","STOPPED_AT","8121"
"58","POINT (-35.19289016723633 149.15106201171875)","238369988.0","2022-08-30T10:01:30.000","RUNNING_SMOOTHLY","12","LRV12","LRV12","13","16739503","None","-35.19289016723633","149.15106201171875","191.40069580078125","IN_TRANSIT_TO","8105"
"64","POINT (-35.27415466308594 149.1299591064453)","206026733.0","2022-08-30T10:01:30.000","RUNNING_SMOOTHLY","7","LRV7","LRV7","2","16739502","None","-35.27415466308594","149.1299591064453","7.140643119812012","IN_TRANSIT_TO","8127"
"194","POINT (-35.18622589111328 149.13937377929688)","259237494.0","2022-08-30T10:01:30.000","RUNNING_SMOOTHLY","4","LRV4","LRV4","2","16739501","None","-35.18622589111328","149.13937377929688","281.4201354980469","IN_TRANSIT_TO","8104"
"61","POINT (-35.23543930053711 149.14437866210938)","217858868.0","2022-08-30T10:01:30.000","RUNNING_SMOOTHLY","14","LRV14","LRV14","8","16739504","None","-35.23543930053711","149.14437866210938","228.21092224121094","IN_TRANSIT_TO","8115"
"194","POINT (-35.18588638305664 149.13739013671875)","259237301.0","2022-08-30T10:01:00.000","RUNNING_SMOOTHLY","4","LRV4","LRV4","2","16738948","None","-35.18588638305664","149.13739013671875","281.4201354980469","IN_TRANSIT_TO","8104"
"62","POINT (-35.251407623291016 149.13360595703125)","217616121.0","2022-08-30T10:01:00.000","RUNNING_SMOOTHLY","5","LRV5","LRV5","5","16738946","None","-35.251407623291016","149.13360595703125","187.17129516601562","IN_TRANSIT_TO","8121"
