"activity","authorisationno","status","partyname","date","ceaseexpirydate","suburb","pdf"
"Firewood (Activity 44)","0345","Cancelled","Bruce Michael Perrin","2001-08-28T00:00:00.000","2017-02-01T00:00:00.000","Michelago","YES"
"Firewood (Activity 44)","0316","Ceased","Ezyburn Firewood Supplies","2001-04-30T00:00:00.000","2002-07-30T00:00:00.000","Jerangle","NO"
"Placement of soil on land (Activity 7)","0840","Expired","Property Branch - Asset Management and Parliamentary Services,Department of Finance and Deregulation","2011-08-26T00:00:00.000","2013-08-26T00:00:00.000","Deakin","YES"
"Outdoor concerts (Activity 23)","0803","Expired","Servants Of Sound","2010-09-29T00:00:00.000","2010-10-06T00:00:00.000","Weetangera","YES"
"Placement of soil on land (Activity 7)","0950","Expired","D Group Civil Pty Ltd","2013-08-22T00:00:00.000","2016-08-22T00:00:00.000",,"YES"
"Motor racing event (Activity 26)","0289","Expired","Canberra Kart Racing Club","2001-03-16T00:00:00.000","2001-03-31T00:00:00.000","Acton","NO"
"Commercial use of chemicals (Activity 29)","0874","Ceased","John's Mowing & Garden Services","2011-10-21T00:00:00.000","2013-01-23T00:00:00.000","Rivett","YES"
"Commercial use of chemicals (Activity 29)","0229","Current","Canopy, The Tree Experts Pty Ltd","1999-09-01T00:00:00.000",,"Pialligo","YES"
"Outdoor concerts (Activity 23)","0894","Expired","Canberra FM Radio Pty Ltd","2012-03-16T00:00:00.000","2012-03-19T00:00:00.000","City","YES"
"Commercial use of chemicals (Activity 29)","0917","Cancelled","Landscape Solutions Maintenance Pty Ltd","2012-10-25T00:00:00.000","2017-10-12T00:00:00.000","SEVEN HILLS","YES"
"Commercial use of chemicals (Activity 29)","0476","Ceased","PG Contractors Pty Ltd","2004-09-03T00:00:00.000","2006-10-16T00:00:00.000","Queanbeyan","NO"
"Commercial use of chemicals (Activity 29)","0473","Ceased","Canberra Southern Cross Club","2004-08-19T00:00:00.000","2014-09-18T00:00:00.000","Phillip","YES"
"Commercial use of chemicals (Activity 29)","0351","Ceased","Ark Tree Services","2001-09-17T00:00:00.000","2003-11-25T00:00:00.000","Bungendore","NO"
"Treatement of Contaminated Soil  of more than 1000m (Activity 11)","0809","Ceased","Hewatt Earthworks Pty Ltd","2010-12-10T00:00:00.000","2012-01-16T00:00:00.000","Murrumbateman","YES"
"Outdoor concerts (Activity 23)","0595","Expired","Chugg Entertainment","2007-11-15T00:00:00.000",,"Redfern","NO"
"Production of concrete (Activity 41)","0295","Current","Monaro Mix Specified Concrete Pty Ltd","2001-04-05T00:00:00.000",,"Mitchell","YES"
"Petroleum storage (Activity 30)","0792","Ceased","ACTEW Corporation Limited","2010-07-29T00:00:00.000","2012-06-05T00:00:00.000","Canberra","YES"
"Operation of crushing, grinding and separation (Activity 43)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,"Jerrabomberra","YES"
"Firewood (Activity 44)","0314","Ceased","Johns Quality Firewood","2001-04-30T00:00:00.000","2017-08-31T00:00:00.000","Fyshwick","YES"
"Placement of soil on land (Activity 7)","0788","Expired","Jenny Campbell","2010-07-01T00:00:00.000","2013-07-01T00:00:00.000","Holt","YES"
"Commercial use of chemicals (Activity 29)","0261","Current","The Alpine Lawn Care Co.","2000-06-14T00:00:00.000",,"Mitchell","NO"
"Commercial production of alcohlic beverages (Activity 35)","0356","Ceased","BRL Hardy Limited","2002-04-16T00:00:00.000","2008-02-12T00:00:00.000","mitchell","YES"
"Commercial use of chemicals (Activity 29)","0875","Current","Koomarri","2011-11-07T00:00:00.000",,"AINSLIE","YES"
"Commercial use of chemicals (Activity 29)","0239","Current","Tuggeranong Valley Rugby Union & Amateur Sports Club Ltd","1999-11-16T00:00:00.000",,"Wanniassa","YES"
"Commercial use of chemicals (Activity 29)","0176","Ceased","Mark Coggan","1999-02-23T00:00:00.000","2002-05-27T00:00:00.000","Goulburn","NO"
"Commercial use of chemicals (Activity 29)","0355","Ceased","Safeguard Termite Barriers Pty Ltd","2001-12-05T00:00:00.000","2006-01-27T00:00:00.000","Queanbeyan","NO"
"Placement of soil on land (Activity 7)","0696","Expired","Guideline ACT Pty Ltd","2009-10-13T00:00:00.000","2010-10-13T00:00:00.000","Dickson","YES"
"Placement of soil on land (Activity 7)","0770","Ceased","ACT NOWaste","2010-02-15T00:00:00.000","2015-12-18T00:00:00.000","Lyneham","NO"
"Petroleum storage (Activity 30)","0741","Current","Eureka Operations Pty Ltd t/as Coles Express - BELCONNEN","2010-02-19T00:00:00.000",,"BELCONNEN","YES"
"Commercial use of chemicals (Activity 29)","0333","Current","Acute Pest Control","2001-06-29T00:00:00.000",,"Chapman","YES"
"Commercial use of chemicals (Activity 29)","0481","Current","Federal Golf Club","2004-09-07T00:00:00.000",,"Red Hill","YES"
"Outdoor concerts (Activity 23)","0590","Ceased","Drake Kain & Phillips Pty Ltd","2007-10-18T00:00:00.000","2007-12-02T00:00:00.000","Parkes","YES"
"Placement of soil on land (Activity 7)","0632","Expired","Paintball Sports ACT Pty Ltd","2008-11-24T00:00:00.000","2011-11-24T00:00:00.000","Pialligo","YES"
"Placement of soil on land (Activity 7)","0564","Expired","Cassidy, Theo","2007-01-17T00:00:00.000","2008-01-17T00:00:00.000","pialligo","YES"
"Commercial use of chemicals (Activity 29)","0222","Ceased","Spotless Services","1999-06-09T00:00:00.000","2007-09-24T00:00:00.000","Holder","YES"
"Operation of crushing, grinding and separation (Activity 43)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,"Jerrabomberra","YES"
"Placement of soil on land (Activity 7)","0639","Ceased","Kicks Entertainment","2008-10-08T00:00:00.000","2008-10-08T00:00:00.000","Parkes","YES"
"Firewood (Activity 44)","0523","Ceased","Top Notch Firewood","2005-09-02T00:00:00.000","2006-11-08T00:00:00.000","Bywong","NO"
"Motor racing event (Activity 26)","0615","Expired","National Rallysport Association Inc.","2008-05-07T00:00:00.000","2008-05-12T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","0908","Current","Clancy Contracting","2012-08-01T00:00:00.000",,,"YES"
"Outdoor concerts (Activity 23)","0496","Expired","Chief Minister's Dept","2004-12-16T00:00:00.000",,"Canberra City","NO"
"Commercial use of chemicals (Activity 29)","0238","Ceased","Dabakala Pty Ltd","1999-11-16T00:00:00.000","2002-01-29T00:00:00.000","Queanbeyan","NO"
"Firearm shooting (Activity 47)","0682","Current","Canberra National Pistol Club","2009-11-16T00:00:00.000",,"Campbell","YES"
"Firewood (Activity 44)","0835","Ceased","Firewood King Canberra","2011-03-18T00:00:00.000","2014-07-15T00:00:00.000","Queanbeyan","YES"
"Placement of soil on land (Activity 7)","0955","Expired","Fulton Hogan Construction Pty Ltd","2013-09-25T00:00:00.000","2016-09-25T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","0935","Expired","Australian War Memorial","2013-03-06T00:00:00.000","2013-04-06T00:00:00.000","Campbell","YES"
"Commercial use of chemicals (Activity 29)","0340","Current","Blayney Airfarmers Pty Ltd","2001-07-05T00:00:00.000",,"Giralang","YES"
"Commercial use of chemicals (Activity 29)","0927","Current","Rotor Solutions Australia Pty Ltd","2013-01-09T00:00:00.000",,"ALBURY","YES"
"Placement of soil on land (Activity 7)","0836","Expired","Dale & Hitchcock Civil Engineering and Landscaping","2011-03-23T00:00:00.000","2012-03-23T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","0850","Expired","Economic Development Directorate - ACT Government","2011-10-06T00:00:00.000","2012-10-05T00:00:00.000","Braddon",
"Commercial use of chemicals (Activity 29)","0335","Cancelled","Town & Country Pest Control","2001-06-29T00:00:00.000","2018-07-05T00:00:00.000","Gundaroo","YES"
"Commercial use of chemicals (Activity 29)","0188","Ceased","Aussie Pest Control","1999-03-31T00:00:00.000","2002-11-06T00:00:00.000","Theodore","NO"
"Commercial use of chemicals (Activity 29)","0036","Ceased","Eagle Environmental Services Pty Ltd","1998-08-10T00:00:00.000","2001-06-12T00:00:00.000","Dickson","NO"
"Placement of soil on land (Activity 7)","0958","Expired","ACT Parks and Conservation","2013-11-21T00:00:00.000","2014-11-21T00:00:00.000","Fyshwick","YES"
"Operation of crushing, grinding and separation (Activity 43)","0550","Ceased","Building Waste Recycling Pty Ltd","2006-09-20T00:00:00.000",,"MACGREGOR","YES"
"Firewood (Activity 44)","0310","Ceased","Hi-Class Gardening Pty Ltd","2001-04-30T00:00:00.000","2005-09-27T00:00:00.000","Hughes","NO"
"Commercial use of chemicals (Activity 29)","0569","Ceased","Gregory Webb","2007-04-19T00:00:00.000",,"WATSON","YES"
"Petroleum storage (Activity 30)","0898","Current","Australian Security Intelligence Organisation (ASIO)","2012-10-18T00:00:00.000",,"Parkes","YES"
"Commercial use of chemicals (Activity 29)","0502","Current","Weston Creek Labor Club","2004-12-13T00:00:00.000",,"Stirling","YES"
"Commercial use of chemicals (Activity 29)","0535","Current","Trim Lawns Pty Ltd","2005-12-06T00:00:00.000",,"Lyons","YES"
"Petroleum storage (Activity 30)","0726","Current","Eureka Operations Pty Ltd t/as Coles Express - BRADDON","2010-02-19T00:00:00.000",,"Braddon","YES"
"Outdoor concerts (Activity 23)","0921","Expired","Resonate Pty Ltd (Corinbank Festival)","2012-01-03T00:00:00.000","2012-12-02T00:00:00.000","Hackett","YES"
"Petroleum storage (Activity 30)","0709","Current","Colmatt Services Pty Ltd trading as BP Fyshwick","2010-01-07T00:00:00.000",,"Fyshwick","YES"
"Commercial use of chemicals (Activity 29)","0643","Ceased","AMD Contractors","2008-10-10T00:00:00.000","2010-01-18T00:00:00.000","Hoskinstown","NO"
"Commercial use of chemicals (Activity 29)","0028","Current","Flick Anticimex Pty Ltd","1998-07-01T00:00:00.000",,"Fyshwick","YES"
"Firewood (Activity 44)","0320","Ceased","Brian John Goodsell","2001-04-30T00:00:00.000","2002-07-30T00:00:00.000","Derindale","YES"
"Placement of soil on land (Activity 7)","0969","Expired","Cockram Construction Ltd","2014-06-26T00:00:00.000","2016-06-26T00:00:00.000",,"YES"
"Placement of soil on land (Activity 7)","0842","Expired","Boucher, James","2011-05-24T00:00:00.000","2012-06-24T00:00:00.000","Tharwa","NO"
"Commercial use of chemicals (Activity 29)","0891","Current","Citywide Service Solutions Pty Ltd","2012-03-02T00:00:00.000",,"Parkes","YES"
"Placement of soil on land (Activity 7)","0579","Expired","ACT NOWaste","2007-09-11T00:00:00.000","2008-09-11T00:00:00.000","Belconnen","YES"
"Commercial use of chemicals (Activity 29)","0246","Ceased","Hearn & Ramsay Servcies","2000-03-24T00:00:00.000","2006-09-10T00:00:00.000","Queanbeyan","NO"
"Commercial use of chemicals (Activity 29)","0544","Cancelled","I R and N J Brand Pty Ltd","2006-05-10T00:00:00.000","2015-07-21T00:00:00.000","Rosedale","YES"
"Commercial use of chemicals (Activity 29)","0352","Current","Coochie Resources Pty Ltd","2001-09-19T00:00:00.000",,"MANUKA","YES"
"Commercial use of chemicals (Activity 29)","0023","Current","The Critter Ridder (Group) ACT Pty Ltd","1998-06-26T00:00:00.000",,"Isabella Plains","YES"
"Outdoor concerts (Activity 23)","0657","Expired","Chief Ministers, Treasury & Economic Development Directorate","2009-01-07T00:00:00.000","2012-01-07T00:00:00.000","PARKES","YES"
"Firewood (Activity 44)","0543","Ceased","George Wood","2006-03-14T00:00:00.000","2008-06-24T00:00:00.000","via Adaminaby","YES"
"Firewood (Activity 44)","0344","Ceased","M & A Forestry Services","2001-08-28T00:00:00.000","2001-08-31T00:00:00.000",,"NO"
"Commercial use of chemicals (Activity 29)","0437","Cancelled","4 U Garden Care Pty Ltd","2003-12-09T00:00:00.000","2016-12-21T00:00:00.000","Gilmore","YES"
"Outdoor concerts (Activity 23)","0563","Ceased","Chief Minister's Department","2007-01-25T00:00:00.000","2007-01-27T00:00:00.000","Canberra City","YES"
"Outdoor concerts (Activity 23)","0665","Expired","Staging Connections","2009-04-22T00:00:00.000","2010-02-25T00:00:00.000","Parkes","YES"
"Commercial use of chemicals (Activity 29)","0179","Expired","Integrated Pest Management","1999-02-23T00:00:00.000","2000-03-24T00:00:00.000","Queanbeyan","NO"
"Firewood (Activity 44)","0322","Ceased","Koomarri","2001-04-30T00:00:00.000","2017-08-31T00:00:00.000","Phillip","YES"
"Commercial use of chemicals (Activity 29)","0465","Current","Karatoga Pty Ltd T/A Sapphire Coast Tree Service","2004-08-03T00:00:00.000",,"South Merimbula","YES"
"Petroleum storage (Activity 30)","0713","Current","BP Australia Pty Ltd - MACQUARIE","2010-03-15T00:00:00.000",,"Macqurie","YES"
"Firewood (Activity 44)","0574","Ceased","David Skillin","2007-06-07T00:00:00.000","2012-10-15T00:00:00.000","Bowning","YES"
"Placement of soil on land (Activity 7)","0627","Expired","Adventure Paintball - Kieriky Pty Ltd","2008-07-11T00:00:00.000","2011-07-11T00:00:00.000","tuggeranong","YES"
"Motor racing event (Activity 26)","0661","Expired","National Rallysport Association Inc.","2009-05-12T00:00:00.000","2009-03-09T00:00:00.000","Osterley","YES"
"Motor racing event (Activity 26)","0324","Expired","Canberra Tourism & Events Corporation","2001-05-14T00:00:00.000","2001-05-12T00:00:00.000",,"NO"
"Placement of soil on land (Activity 7)","0533","Expired","Lions Youth Haven Incorporated","2006-01-14T00:00:00.000","2007-01-04T00:00:00.000","Kambah","YES"
"Sterilisation of clinical waste (Activity 4)","0008","Current","Daniels Health Services Pty Ltd","1998-06-10T00:00:00.000",,"Mitchell","YE"
"Firewood (Activity 44)","0468","Ceased","City Services - Transport Canberra & City Services","2004-09-03T00:00:00.000","2017-08-31T00:00:00.000","Lyneham","YES"
"Outdoor concerts (Activity 23)","0406","Ceased","Unique Attractions Pty Ltd","2003-03-29T00:00:00.000",,"Ourimbah","NO"
"Commercial use of chemicals (Activity 29)","0952","Current","Australian National Botanic Gardens","2013-08-13T00:00:00.000",,"ACTON","YES"
"Burning off (Activity 28)","0215","Expired","Parks and Places","1999-05-04T00:00:00.000","1999-06-01T00:00:00.000","Lyneham","NO"
"Outdoor concerts (Activity 23)","0610","Expired","ACT Chief Minister's Department","2007-12-31T00:00:00.000","2008-01-02T00:00:00.000","Canberra City","YES"
"Commercial use of chemicals (Activity 29)","0138","Current","Ridapest Pest Control","1998-12-11T00:00:00.000",,"McKellar","YES"
"Placement of soil on land (Activity 7)","0431","Expired","Freshford Equestrian Centre","2004-01-09T00:00:00.000","2006-01-09T00:00:00.000","Tharwa","NO"
"Petroleum storage (Activity 30)","0727","Current","Eureka Operations Pty Ltd t/as Coles Express - DEAKIN","2010-02-19T00:00:00.000",,"DEAKIN","YES"
"Commercial use of chemicals (Activity 29)","0409","Ceased","Reids Stratacare","2003-04-14T00:00:00.000","2010-05-03T00:00:00.000","Dunlop","YES"
"Outdoor concerts (Activity 23)","0801","Expired","Kicks Entertainment","2010-09-13T00:00:00.000","2010-11-27T00:00:00.000","Parkes","YES"
"Commercial use of chemicals (Activity 29)","0990","Cancelled","Prompt Pest Control & Cleaning Service","2014-06-26T00:00:00.000","2015-10-23T00:00:00.000","GORDON","YES"
"Placement of soil on land (Activity 7)","0937","Expired","Paintball Sports ACT Pty Ltd","2013-04-03T00:00:00.000","2016-04-02T00:00:00.000","Pialligo","YES"
"Firewood (Activity 44)","0317","Ceased","Check It Services Pty Ltd","2001-04-30T00:00:00.000","2002-09-12T00:00:00.000","Yass","NO"
"Commercial use of chemicals (Activity 29)","0018","Ceased","CBS Pest Holdings Pty Ltd T/A Check Pest Control","1998-06-12T00:00:00.000","2007-10-10T00:00:00.000","Belconnen","YES"
"Outdoor concerts (Activity 23)","0685","Expired","Territory Venues and Events TAMS","2009-09-04T00:00:00.000","2009-09-04T00:00:00.000","Stromlo","YES"
"Commercial use of chemicals (Activity 29)","0377","Ceased","Michael Shanahan","2002-05-01T00:00:00.000","2007-10-19T00:00:00.000","Tharwa","NO"
"Commercial use of chemicals (Activity 29)","0452","Ceased","Summit Commercial Contractors","2004-03-17T00:00:00.000","2010-11-12T00:00:00.000","Richardson","YES"
"Outdoor concerts (Activity 23)","0660","Expired","Drake Kain & Phillips Pty Ltd Lexington Music","2009-02-12T00:00:00.000","2009-02-22T00:00:00.000","Belconnen","YES"
"Outdoor concerts (Activity 23)","0868","Expired","Aussies United","2011-11-11T00:00:00.000","2012-01-29T00:00:00.000","Acton","YES"
"Placement of soil on land (Activity 7)","0548","Ceased","Belconnen Aero Model Club","2006-09-15T00:00:00.000","2007-12-10T00:00:00.000","Mitchell","YES"
"Firewood (Activity 44)","0895","Ceased","Stephen Curtis","2012-03-15T00:00:00.000","2013-03-14T00:00:00.000","Shell Harbour","YES"
"Commercial use of chemicals (Activity 29)","0588","Current","Royal Pest Control","2007-09-26T00:00:00.000",,,"YES"
"Placement of soil on land (Activity 7)","0364","Expired","Territory & Municipal Services","2002-02-11T00:00:00.000","2005-12-09T00:00:00.000","Lyneham","YES"
"Placement of soil on land (Activity 7)","0847","Expired","Kicks Entertainment","2011-09-07T00:00:00.000","2011-11-26T00:00:00.000","city","YES"
"Commercial use of chemicals (Activity 29)","0882","Cancelled","Con Spyropoulos","2011-11-25T00:00:00.000","2017-02-01T00:00:00.000","Palmerston","YES"
"Commercial use of chemicals (Activity 29)","0442","Expired","Goran Ugljesic","2004-01-29T00:00:00.000","2005-06-24T00:00:00.000","Isabella Plains","NO"
"Commercial use of chemicals (Activity 29)","0480","Current","Canberra North Bowling Club Inc","2004-09-07T00:00:00.000",,"Turner","YES"
"Firewood (Activity 44)","0971","Ceased","Climb High Tree Services Pty Ltd","2014-01-24T00:00:00.000","2017-08-31T00:00:00.000","Mitchell","YES"
"Motor racing event (Activity 26)","0572","Ceased","Australian Capital Tourism","2007-06-01T00:00:00.000","2007-12-10T00:00:00.000","Canberra Airport","YES"
"Treatement of Contaminated Soil  of more than 1000m (Activity 11)","0837","Ceased","Land Development Agency","2011-08-16T00:00:00.000","2017-09-12T00:00:00.000","Dickson","YES"
"Petroleum storage (Activity 30)","0729","Current","Eureka Operations Pty Ltd t/as Coles Express - CURTIN","2010-02-19T00:00:00.000",,"CURTIN","YES"
"Outdoor concerts (Activity 23)","0849","Expired","UCU LTD","2011-10-06T00:00:00.000",,"Bruce","YES"
"Commercial use of chemicals (Activity 29)","0012","Ceased","Municipal Services Network","1998-06-12T00:00:00.000","2006-12-19T00:00:00.000","Deakin","NO"
"Commercial use of chemicals (Activity 29)","0519","Current","ACT Cricket Association","2005-07-02T00:00:00.000",,"Manuka","YES"
"Outdoor concerts (Activity 23)","0839","Expired","Aussies United","2011-08-26T00:00:00.000","2011-09-25T00:00:00.000","Acton","YES"
"Commercial use of chemicals (Activity 29)","0024","Ceased","Dysus Pty Ltd (Trading as Easyrid Pest Control)","1998-06-26T00:00:00.000","2007-10-26T00:00:00.000","Queanbeyan","YES"
"Commercial use of chemicals (Activity 29)","0883","Current","CIT  - Horticulture Division","2011-12-13T00:00:00.000",,"Bruce","YES"
"Commercial use of chemicals (Activity 29)","0479","Current","Belconnen Magpies Sports Club Limited","2004-09-07T00:00:00.000",,"Holt","YES"
"Commercial use of chemicals (Activity 29)","0441","Ceased","Corrigan and Wrightson","2004-01-29T00:00:00.000","2006-08-17T00:00:00.000","The Angle","NO"
"Outdoor concerts (Activity 23)","0708","Expired","Landspeed Pty Ltd","2009-11-19T00:00:00.000","2009-11-21T00:00:00.000","Downer","YES"
"Commercial use of chemicals (Activity 29)","0010","Ceased","ACT Parks and Conservation Service","1998-06-12T00:00:00.000","2006-12-18T00:00:00.000","Tuggeranong","NO"
"Outdoor concerts (Activity 23)","0601","Expired","Mothership Music","2008-01-17T00:00:00.000",,"yarralumla","YES"
"Transport of Controlled Waste (Activity 8)","0962","Current","Bluewater Treatment Pty Ltd","2013-11-12T00:00:00.000",,"GOULBURN","YES"
"Placement of soil on land (Activity 7)","0626","Expired","ACT Government - Stromlo Forest Park","2008-06-02T00:00:00.000","2011-06-02T00:00:00.000","Stromlo","YES"
"Outdoor concerts (Activity 23)","0679","Ceased","Drake Kain & Phillips Pty Ltd","2009-08-24T00:00:00.000","2009-08-24T00:00:00.000","Parkes","YES"
"Firearm shooting (Activity 47)","0692","Current","Canberra International Clay Target Club Inc","2009-11-16T00:00:00.000",,"Kowen","YES"
"Commercial use of chemicals (Activity 29)","0645","Current","E & T Pest Control","2008-11-20T00:00:00.000",,"YASS","YES"
"Outdoor concerts (Activity 23)","0549","Ceased","University Of Canberra","2006-08-11T00:00:00.000","2007-12-10T00:00:00.000","Bruce","YES"
"Commercial use of chemicals (Activity 29)","0139","Ceased","Arestapest Envirosafe Pest Management","1998-12-11T00:00:00.000","2008-02-26T00:00:00.000","Duffy","YES"
"Motor racing event (Activity 26)","0443","Expired","Australian Capital Tourism Corporation","2004-04-23T00:00:00.000",,"Canberra Airport","NO"
"Commercial Landfill (Activity 6)","0402","Ceased","ACT NOWaste","2003-02-25T00:00:00.000",,"Stromlo","YES"
"Operation of crushing, grinding and separation (Activity 43)","0318","Current","Corkhill Bros. Sales Pty Ltd","2001-04-30T00:00:00.000",,,"YES"
"Operation of crushing, grinding and separation (Activity 43)","0318","Current","Corkhill Bros. Sales Pty Ltd","2001-04-30T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","0350","Ceased","Grasstech Contracting Canberra","2001-08-23T00:00:00.000","2003-10-08T00:00:00.000",,"NO"
"Petroleum storage (Activity 30)","0735","Current","Eureka Operations Pty Ltd t/as Coles Express - TUGGERANONG","2010-02-19T00:00:00.000",,"GREENWAY","YES"
"Commercial use of chemicals (Activity 29)","0411","Current","Southern Weed Management","2003-05-01T00:00:00.000",,"Goulburn","YES"
"Production of concrete (Activity 41)","0376","Current","Boral Resources (Country) Pty Ltd","2002-04-26T00:00:00.000",,"Mitchell","YES"
"Outdoor concerts (Activity 23)","0816","Expired","Woden Community Services Inc","2010-10-28T00:00:00.000","2010-11-06T00:00:00.000","Phillip","YES"
"Petroleum storage (Activity 30)","0734","Current","Eureka Operations Pty Ltd t/as Coles Express - CHARNWOOD","2010-02-19T00:00:00.000",,"CHARNWOOD","YES"
"Firewood (Activity 44)","0313","Ceased","Outback Firewood","2001-04-30T00:00:00.000","2005-10-19T00:00:00.000","Pialligo","NO"
"Commercial use of chemicals (Activity 29)","0395","Cancelled","Terrence John Thomas","2003-01-14T00:00:00.000","2017-10-31T00:00:00.000","Royalla","YES"
"Commercial use of chemicals (Activity 29)","0230","Ceased","CSIRO Entomology, Stored Grain Laboratory","1999-09-01T00:00:00.000","2010-10-28T00:00:00.000","Acton","YES"
"Outdoor concerts (Activity 23)","0609","Expired","Sound Addiction","2008-02-28T00:00:00.000","2008-03-02T00:00:00.000","Parkes","YES"
"Waste petroleum (Activity 32)","0400","Ceased","Energy Services Invironmental Pty Ltd (ESI)","2003-04-04T00:00:00.000","2012-08-24T00:00:00.000","Mitchell","YES"
"Burning off (Activity 28)","0226","Expired","ACT Parks and Conservation Service","1999-09-24T00:00:00.000","1999-12-31T00:00:00.000",,"NO"
"Commercial use of chemicals (Activity 29)","0397","Cancelled","Capital Weed Control","2003-01-14T00:00:00.000","2015-06-30T00:00:00.000","Hall","YES"
"Commercial use of chemicals (Activity 29)","0490","Current","Belconnen Bowling Club Inc","2004-10-08T00:00:00.000",,"Hawker","YES"
"Firewood (Activity 44)","0828","Ceased","BC Sands Pty Ltd","2011-01-28T00:00:00.000","2013-11-18T00:00:00.000","Taren Point","YES"
"Petroleum storage (Activity 30)","0739","Current","Eureka Operations Pty Ltd t/as Coles Express - GUNGAHLIN","2010-02-19T00:00:00.000",,"GUNGAHLIN","YES"
"Placement of soil on land (Activity 7)","0961","Expired","Capital Flowers","2013-12-05T00:00:00.000","2014-12-04T00:00:00.000","Oaks Estate","YES"
"Placement of soil on land (Activity 7)","0869","Expired","Pialligo Horticulture Pty Ltd","2011-12-05T00:00:00.000","2013-12-05T00:00:00.000","Pialligo","YES"
"Commercial use of chemicals (Activity 29)","0225","Ceased","W & G.M Stansfield","1999-07-23T00:00:00.000","2013-09-24T00:00:00.000","Yass","YES"
"Commercial use of chemicals (Activity 29)","0451","Current","Able Landscaping Pty Ltd","2004-03-09T00:00:00.000",,"Pialligo","YES"
"Keeping of poultary (Activity 18)","0285","Current","Pace Farms Pty Ltd","2001-02-14T00:00:00.000",,"Macgregor","YES"
"Firewood (Activity 44)","0329","Ceased","Woodlands Firewood","2001-05-31T00:00:00.000",,"Lake Bathurst","YES"
"Operation of crushing, grinding and separation (Activity 43)","0575","Current","ACT Recycling Pty Ltd","2007-07-02T00:00:00.000",,"Symonston","YES"
"Firewood (Activity 44)","0326","Ceased","Canberra Firewood Supplies Pty Ltd","2001-05-25T00:00:00.000","2017-08-31T00:00:00.000","Fyshwick","YES"
"Placement of soil on land (Activity 7)","0664","Expired","TAMS Sport and Recreation","2009-04-28T00:00:00.000","2010-04-28T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","0354","Current","Armageddon Pest Control","2001-11-19T00:00:00.000",,"Kambah","YES"
"Placement of soil on land (Activity 7)","0427","Ceased","Wallace","2003-10-31T00:00:00.000","2005-02-18T00:00:00.000","Jerrabomberra","YES"
"Outdoor concerts (Activity 23)","0470","Expired","University of Canberra Union Inc","2004-09-16T00:00:00.000","2004-10-30T00:00:00.000","Bruce","YES"
"Petroleum storage (Activity 30)","0773","Current","Yelan Holdings Pty Ltd t/as Caltex Mitchell","2010-03-25T00:00:00.000",,"Mitchell","YES"
"Placement of soil on land (Activity 7)","0984","Expired","Woden Contractors Pty Ltd","2014-05-29T00:00:00.000","2016-05-29T00:00:00.000","Queanbeyan","YES"
"Placement of soil on land (Activity 7)","0527","Expired","Philmanda Park, now Prism Holdings ACT, Pty. Ltd.","2006-03-27T00:00:00.000","2009-02-15T00:00:00.000","Symonston","YES"
"Outdoor concerts (Activity 23)","0919","Expired","Village Building Co/National Arboretum","2012-11-23T00:00:00.000","2012-11-24T00:00:00.000","Yarralumla","YES"
"Firewood (Activity 44)","0521","Ceased","John Skillin","2005-07-15T00:00:00.000","2006-09-21T00:00:00.000",,"NO"
"Outdoor concerts (Activity 23)","0974","Expired","Canberra Racing Club","2017-03-07T00:00:00.000","2014-03-09T00:00:00.000","Lyneham","YES"
"Petroleum storage (Activity 30)","0710","Current","BP Australia Pty Ltd - BRADDON","2010-03-15T00:00:00.000",,"Braddon","YES"
"Operation of crushing, grinding and separation (Activity 43)","0410","Ceased","Advanced Demolition and Recycling Pty Ltd","2003-05-13T00:00:00.000",,"Macgregor","NO"
"Production of concrete (Activity 41)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,"jerrabomberra","YES"
"Production of concrete (Activity 41)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,"jerrabomberra","YES"
"Production of concrete (Activity 41)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,"jerrabomberra","YES"
"Production of concrete (Activity 41)","0422","Current","Boral Resources (Country) P/L","2004-01-08T00:00:00.000",,"jerrabomberra","YES"
"Firewood (Activity 44)","0330","Ceased","I J Downey","2001-05-31T00:00:00.000",,"Queanbeyan","NO"
"Treatement of Contaminated Soil  of more than 1000m (Activity 11)","0798","Ceased","Canberra Estates Consortium No. 22 Pty Ltd","2010-10-26T00:00:00.000","2011-09-23T00:00:00.000","Mcgregor",
"Outdoor concerts (Activity 23)","0978","Expired","Canberra FM Radio Pty Ltd","2014-03-12T00:00:00.000","2014-03-16T00:00:00.000","City","YES"
"Placement of soil on land (Activity 7)","0644","Expired","Trevaskis, Greame","2008-10-03T00:00:00.000",,"MacGregor","YES"
"Firewood (Activity 44)","0666","Ceased","Chop 'n' Block Firewood","2009-04-08T00:00:00.000","2012-04-24T00:00:00.000","SINGLETON","YES"
