"vaccination_date","gender","firstdosedaily","firstdosecumulative","seconddosedaily","seconddosecumulative","singledosedaily","singledosecumulative","thirddosedaily","thirddosecumulative","fullyvaccinatedcumulative","firstboosterdailydose","additionaldosecumulative","fourthdailydose","secondadditionaldosecumulative","atleastonedailydose","atleastonedailydosecumulative","fullyvaccinateddailydose"
"2017-10-17T11:00:00.000","Female","1.0","136",,"3",,"0",,"0","3",,"0",,"0","1.0","136",
"2017-11-13T10:00:00.000","Male","1.0","81",,"2",,"0",,"0","2",,"0",,"0","1.0","81",
"2017-11-17T10:00:00.000","Male","1.0","82",,"2",,"0",,"0","2",,"0",,"0","1.0","82",
"2017-12-17T10:00:00.000","Female","1.0","137",,"3",,"0",,"0","3",,"0",,"0","1.0","137",
"2018-01-18T10:00:00.000","Female","1.0","138",,"3",,"0",,"0","3",,"0",,"0","1.0","138",
"2018-01-22T10:00:00.000","Male","1.0","83",,"2",,"0",,"0","2",,"0",,"0","1.0","83",
"2018-02-18T10:00:00.000","Female","2.0","140",,"3",,"0",,"0","3",,"0",,"0","2.0","140",
"2018-03-05T10:00:00.000","Female","1.0","141",,"3",,"0",,"0","3",,"0",,"0","1.0","141",
"2018-03-18T11:00:00.000","Female","2.0","143",,"3",,"0",,"0","3",,"0",,"0","2.0","143",
"2018-03-20T11:00:00.000","Female","1.0","144",,"3",,"0",,"0","3",,"0",,"0","1.0","144",
"2018-04-01T11:00:00.000","Male","1.0","84",,"2",,"0",,"0","2",,"0",,"0","1.0","84",
"2018-04-08T11:00:00.000","Male","1.0","85",,"2",,"0",,"0","2",,"0",,"0","1.0","85",
"2018-04-18T11:00:00.000","Female","1.0","145",,"3",,"0",,"0","3",,"0",,"0","1.0","145",
"2018-04-24T11:00:00.000","Male","1.0","86",,"2",,"0",,"0","2",,"0",,"0","1.0","86",
"2018-04-27T11:00:00.000","Female","1.0","146",,"3",,"0",,"0","3",,"0",,"0","1.0","146",
"2018-05-15T11:00:00.000","Male",,"86","1.0","3",,"0",,"0","3",,"0",,"0",,"86","1.0"
"2018-06-18T11:00:00.000","Female","1.0","147",,"3",,"0",,"0","3",,"0",,"0","1.0","147",
"2018-09-28T11:00:00.000","Female","1.0","148",,"3",,"0",,"0","3",,"0",,"0","1.0","148",
"2018-10-29T11:00:00.000","Male","1.0","87",,"3",,"0",,"0","3",,"0",,"0","1.0","87",
"2019-01-03T10:00:00.000","Female","1.0","149",,"3",,"0",,"0","3",,"0",,"0","1.0","149",
"2019-01-15T10:00:00.000","Female","1.0","150",,"3",,"0",,"0","3",,"0",,"0","1.0","150",
"2019-01-22T10:00:00.000","Female","1.0","151",,"3",,"0",,"0","3",,"0",,"0","1.0","151",
"2019-01-30T10:00:00.000","Female","1.0","152",,"3",,"0",,"0","3",,"0",,"0","1.0","152",
"2019-02-01T10:00:00.000","Female","1.0","153",,"3",,"0",,"0","3",,"0",,"0","1.0","153",
"2019-02-11T10:00:00.000","Female","1.0","154",,"3",,"0",,"0","3",,"0",,"0","1.0","154",
"2019-02-12T10:00:00.000","Female",,"154","1.0","4",,"0",,"0","4",,"0",,"0",,"154","1.0"
"2019-02-19T10:00:00.000","Male","2.0","89",,"3",,"0",,"0","3",,"0",,"0","2.0","89",
"2019-02-22T10:00:00.000","Female","1.0","155",,"4",,"0",,"0","4",,"0",,"0","1.0","155",
"2019-02-24T10:00:00.000","Female","1.0","156",,"4",,"0",,"0","4",,"0",,"0","1.0","156",
"2019-03-01T10:00:00.000","Female","4.0","160",,"4",,"0",,"0","4",,"0",,"0","4.0","160",
"2019-03-06T10:00:00.000","Male","1.0","90",,"3",,"0",,"0","3",,"0",,"0","1.0","90",
"2019-03-15T11:00:00.000","Female","2.0","162",,"4",,"0",,"0","4",,"0",,"0","2.0","162",
"2019-03-22T11:00:00.000","Male","2.0","92",,"3",,"0",,"0","3",,"0",,"0","2.0","92",
