"department","division","position_title","city","gender","ethnicity","education","veteran_status","startyear","birthyear"
"Human Services","Hum Svc Div of Social Services","Office Assistant","Norfolk","Female","Black","Associate Degree","Not a Veteran","2022","1964"
"Sheriff and Jail","Judicial - Sheriff and Jail","Property Technician - SC","Norfolk","Female","White","Not Indicated","Not a Veteran","1994","1964"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Chesapeake","Male","Black","Not Indicated","Not a Veteran","1994","1969"
"City Planning","Planning-Planning","City Planner I","Greenville","Female","White","Masters Level Degree","Not a Veteran","2022","1995"
"Police","Police Administrative Svc-Civl","Operations Officer II","Virginia Beach","Female","White","Bachelors Level Degree","Not a Veteran","2020","1976"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Chesapeake","Male","White","Some College","Not a Veteran","2018","1986"
"Human Services","Hum Svc Div of Social Services","Support Technician","Chesapeake","Female","Black","Bachelors Level Degree","Not a Veteran","2009","1990"
"City Attorney","Law","Paralegal Claims Investg - LD","Virginia Beach","Female","White","Not Indicated","Not a Veteran","1995","1959"
"City Council","City Council","Member Of Council","Norfolk","Female","White","Bachelors Level Degree","Not a Veteran","2016","1970"
"Human Services","Hum Svc Div of Social Services","Director of Human Services","Norfolk","Female","Black","Masters Level Degree","Not a Veteran","2015","1970"
"Information Technology","Information Technology","Programmer/Analyst V","Virginia Beach","Female","White","Not Indicated","Not a Veteran","1989","1965"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Portsmouth","Female","Black","Not Indicated","Not a Veteran","1996","1965"
"Human Services","Hum Svc Juvenile Detention Ctr","Youth Detention Specialist III","Chesapeake","Female","Black","Bachelors Level Degree","Not a Veteran","2014","1990"
"Libraries","Branch Operations","Library Assistant II","Virginia Beach","Female","Black","Some College","Not a Veteran","2021","2001"
"Sheriff and Jail","Judicial - Sheriff and Jail","Civilian Court Security","Norfolk","Male","White","Not Indicated","Not a Veteran","1996","1963"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Chesapeake","Female","Black","Associate Degree","Not a Veteran","2001","1972"
"Human Services","Hum Svc Div of Social Services","Family Services Worker I","Chesapeake","Female","Black","Bachelors Level Degree","Not a Veteran","2021","1992"
"City Attorney","Law","Deputy City Attorney II","Virginia Beach","Female","White","Not Indicated","Not a Veteran","1999","1952"
"Human Services","Hum Svc Juvenile Detention Ctr","Youth Detention Specialist I","Newport News","Male","Black","Masters Level Degree","Not a Veteran","2015","1970"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-I","Norfolk","Male","White","Associate Degree","Not a Veteran","2014","1991"
"City Attorney","Law","Legal Secretary II","Chesapeake","Female","Black","Not Indicated","Not a Veteran","2013","1984"
"City Attorney","Law","Assistant City Attorney II","Virginia Beach","Female","White","Doctorate (Professional)","Not a Veteran","2019","1982"
"Police","Police Administrative Svcs-Swn","Police Recruit","Chesapeake","Male","Black","Masters Level Degree","Not a Veteran","2022","1994"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Norfolk","Male","Hispanic","Some College","Not a Veteran","2018","1985"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Virginia Beach","Male","Asian","Some College","Not a Veteran","2015","1990"
"Police","Police Field Operations-Sworn","Master Police Officer","Virginia Beach","Male","Asian","Not Indicated","Not a Veteran","2002","1978"
"Police","Police Field Operations-Sworn","Master Police Officer","Norfolk","Male","Black","Not Indicated","Not a Veteran","1997","1967"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Yorktown","Male","White","Bachelors Level Degree","Not a Veteran","2014","1979"
"Police","Police Administrative Svcs-Swn","Police Officer","Virginia Beach","Male","White","HS Graduate or Equivalent","Not a Veteran","2018","1995"
"Emergency Preparedness and Response","EOC/911","Public Safety Telecomm Supv","Norfolk","Female","White","Not Indicated","Not a Veteran","1999","1960"
"Police","Police Administrative Svcs-Swn","Police Lieutenant","Norfolk","Male","Black","Not Indicated","Not a Veteran","1990","1963"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Supervisor","Norfolk","Female","Black","Masters Level Degree","Not a Veteran","2014","1969"
"Human Services","Hum Svc Juvenile Detention Ctr","Detention Center Supervisor","Suffolk","Male","Black","Not Indicated","Not a Veteran","1996","1970"
"Police","Police Field Operations-Sworn","Police Recruit","Virginia Beach","Male","White","Bachelors Level Degree","Not a Veteran","2022","1993"
"City Attorney","Law","Assistant City Attorney II","Norfolk","Female","White","Doctorate (Professional)","Not a Veteran","2014","1989"
"Cultural Facilities, Arts and Entertainment","CF - MacArthur Memorial","Museum Attendant","Virginia Beach","Male","White","Bachelors Level Degree","Not a Veteran","2022","1987"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Norfolk","Female","White","Bachelors Level Degree","Not a Veteran","2021","1995"
"Public Works","PW Division of Design","Assistant City Engineer","Virginia Beach","Male","White","Not Indicated","Not a Veteran","1989","1960"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Virginia Beach","Male","White","Technical School","Not a Veteran","2018","1991"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Norfolk","Male","White","Technical School","Not a Veteran","2018","1990"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Norfolk","Female","Black","Not Indicated","Not a Veteran","2017","1959"
"Police","Police Field Operations-Sworn","Master Police Officer","Virginia Beach","Male","White","Some College","Not a Veteran","2013","1978"
"Human Services","Hum Svc Div of Social Services","Office Manager","Norfolk","Female","Black","Bachelors Level Degree","Not a Veteran","2015","1976"
"Human Services","Hum Svc Div of Social Services","Human Services Aide","Norfolk","Female","Black","Not Indicated","Not a Veteran","1989","1945"
"Slover Library","Slover Library","Library Assistant II","Norfolk","Male","Black","Bachelors Level Degree","Not a Veteran","2016","1999"
"Finance","Finance City Controller","Sr Accounting Mgr (Finance)","Virginia Beach","Female","Black","Bachelors Level Degree","Not a Veteran","2019","1974"
"Information Technology","Information Technology","Programmer/Analyst V","Portsmouth","Male","Black","Associate Degree","Not a Veteran","2021","1981"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Virginia Beach","Female","Black","Bachelors Level Degree","Not a Veteran","2010","1984"
"Finance","Finance City Controller","City Controller","Virginia Beach","Female","White","Some Graduate School","Not a Veteran","2015","1970"
"Public Works","PW Waste Management","Management Analyst II","Hampton","Female","","Not Indicated","Not a Veteran","2018","1960"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Norfolk","Female","Black","Not Indicated","Not a Veteran","1998","1969"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Virginia Beach","Male","White","Some College","Not a Veteran","2015","1993"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Less Than HS Graduate","Not a Veteran","2016","1989"
"Sheriff and Jail","Sheriff-Community Corrections","Work Release Counselor - SC","Portsmouth","Male","Black","HS Graduate or Equivalent","Not a Veteran","2018","1982"
"Public Works","PW Division of Surveying","Engineering Technician IV","Virginia Beach","Male","White","Some College","Not a Veteran","2019","1969"
"Human Services","Hum Svc Div of Social Services","Family Services Worker II","Virginia Beach","Female","Black","Masters Level Degree","Not a Veteran","2020","1969"
"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt","Ticket Seller","Chesapeake","Male","Asian","Bachelors Level Degree","Not a Veteran","2015","1975"
"Police","Police Field Operations-Sworn","Police Sergeant","Suffolk","Male","White","Not Indicated","Not a Veteran","2000","1974"
"Police","Police Field Operations-Sworn","Police Sergeant","Virginia Beach","Male","White","Not Indicated","Not a Veteran","1996","1965"
"Human Services","Hum Svc Juvenile Detention Ctr","Youth Detention Specialist III","Virginia Beach","Female","Black","Not Indicated","Not a Veteran","1987","1962"
"Sheriff and Jail","Judicial - Sheriff and Jail","Records Clerk","Chesapeake","Female","Black","Bachelors Level Degree","Not a Veteran","2015","1959"
"Parks and Recreation","RPOS-Youth Development","Youth Services Worker","Norfolk","Female","Black","HS Graduate or Equivalent","Not a Veteran","2022","2004"
"Public Works","PW Waste Management","Refuse Collector III","Chesapeake","Male","Black","Technical School","Not a Veteran","2022","1979"
"Human Services","Hum Svc Div of Social Services","Family Services Supervisor","Portsmouth","Female","Black","Some College","Not a Veteran","2015","1975"
"Finance","Finance City Controller","Payroll Specialist","Portsmouth","Female","Black","Bachelors Level Degree","Not a Veteran","2021","1991"
"Human Services","Hum Svc Div of Social Services","Family Services Worker II","Chesapeake","Male","Black","Not Indicated","Not a Veteran","1998","1970"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Captain)","Virginia Beach","Female","White","Not Indicated","Not a Veteran","2000","1969"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-I","Norfolk","Male","White","Bachelors Level Degree","Not a Veteran","2016","1991"
"Sheriff and Jail","Judicial - Sheriff and Jail","Payroll & Benefits Coordinator","Suffolk","Female","White","HS Graduate or Equivalent","Not a Veteran","2021","1961"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Supervisor","Norfolk","Female","Black","HS Graduate or Equivalent","Not a Veteran","2019","1971"
"Norfolk Community Services Board","NCSB-Intake","Nurse Practitioner","Norfolk","Female","White","Masters Level Degree","Not a Veteran","2014","1956"
"Human Services","Hum Svc Div of Social Services","Human Services Aide","Norfolk","Male","Black","Some College","Not a Veteran","2018","1988"
"Human Services","Hum Svc Juvenile Detention Ctr","Youth Detention Specialist II","Virginia Beach","Male","Black","Bachelors Level Degree","Not a Veteran","2015","1977"
"Police","Police Investigative Svc-Civil","Stenographic Reporter","Moyock","Female","White","Technical School","Not a Veteran","2013","1963"
"Neighborhood Services","Dept of Neighborhood Dev - Div","Public Services Coordinator","Norfolk","Female","Black","Not Indicated","Not a Veteran","1997","1973"
"Human Services","Hum Svc Div of Social Services","Family Services Worker II","Chesapeake","Female","White","Not Indicated","Not a Veteran","1998","1968"
"Public Works","PW Waste Management","Administrative Assistant I","Portsmouth","Female","Black","HS Graduate or Equivalent","Not a Veteran","2021","1990"
"Police","Police Field Operations-Sworn","Master Police Officer","Norfolk","Male","White","Not Indicated","Not a Veteran","1997","1975"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Virginia Beach","Female","Black","Some Graduate School","Not a Veteran","2015","1974"
"Police","Police Investigative Svc-Civil","Crime Analyst","Virginia Beach","Male","White","HS Graduate or Equivalent","Not a Veteran","2015","1960"
"Human Services","Hum Svc Div of Social Services","Family Services Worker II","Portsmouth","Female","Black","Bachelors Level Degree","Not a Veteran","2019","1988"
"Finance","Finance Purchasing","Procurement Specialist II","Norfolk","Male","White","Masters Level Degree","Not a Veteran","2007","1981"
"Police","Police Investigative Svc-Sworn","Police Officer","Va Beach","Male","White","Bachelors Level Degree","Not a Veteran","1993","1960"
"Police","Police Investigative Svc-Sworn","Police Recruit","Chesapeake","Male","White","HS Graduate or Equivalent","Not a Veteran","2021","1999"
"Police","Police Investigative Svc-Sworn","Police Recruit","Virginia Beach","Male","White","Associate Degree","Not a Veteran","2022","1991"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Virginia Beach","Female","Black","Bachelors Level Degree","Not a Veteran","2014","1977"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Norfolk","Female","","Some College","Not a Veteran","2017","1991"
"Human Services","Hum Svc Div of Social Services","Bureau Manager","Portsmouth","Female","Black","Not Indicated","Not a Veteran","1987","1964"
"Norfolk Community Services Board","NCSB-Case Management","Case Manager II","Norfolk","Female","Asian","Bachelors Level Degree","Not a Veteran","2021","1997"
"Human Services","Hum Svc Div of Social Services","Self-Sufficiency Supervisor","Chesapeake","Female","NS","Some Graduate School","Not a Veteran","2015","1970"
"Police","Police Field Operations-Sworn","Police Officer","Virginia Beach","Female","White","Some College","Not a Veteran","2021","1991"
"Police","Police Investigative Svc-Sworn","Police Officer","Chesapeake","Female","White","Bachelors Level Degree","Not a Veteran","2019","1985"
"Transit","Transit - Transportation","Traffic Maintenance Tech I","Norfolk","Male","Hispanic","HS Graduate or Equivalent","Not a Veteran","2022","1982"
"Utilities","Utilities Water Distribution","Utility MaintenanceSupv, Sr","Norfolk","Male","Black","Not Indicated","Not a Veteran","1996","1962"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Lieutenant)","Chesapeake","Female","Black","Not Indicated","Not a Veteran","1996","1971"
"Public Works","PW Director's Office","Director of Public Works","Norfolk","Male","White","Not Indicated","Not a Veteran","2000","1956"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Virginia Beach","Male","White","HS Graduate or Equivalent","Not a Veteran","1990","1962"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Norfolk","Female","Black","Not Indicated","Not a Veteran","2000","1966"
"Human Services","Hum Svc Div of Social Services","Administrative Technician","Portsmouth","Female","Black","Masters Level Degree","Not a Veteran","2015","1978"
"Human Services","Hum Svc Div of Social Services","Administrative Technician","Virginia Beach","Female","Black","HS Graduate or Equivalent","Not a Veteran","1979","1956"
"Police","Police Investigative Svc-Sworn","Police Officer","Virginia Beach","Male","White","Bachelors Level Degree","Not a Veteran","2017","1993"
"Police","Police Investigative Svc-Sworn","Police Officer","Norfolk","Male","White","Bachelors Level Degree","Not a Veteran","2017","1989"
"Parks and Recreation","RPOS-Youth Development","Youth Services Worker","Norfolk","Male","Black","Less Than HS Graduate","Not a Veteran","2022","2005"
"Police","Police Investigative Svc-Sworn","Police Officer","Virginia Beach","Male","White","Some College","Not a Veteran","2017","1990"
"Public Works","PW Div of Streets & Bridges","Mason","Virginia Beach","Male","Black","HS Graduate or Equivalent","Not a Veteran","2004","1980"
"Police","Police Administrative Svc-Civl","Project Coordinator","Virginia Beach","Female","Black","Bachelors Level Degree","Not a Veteran","2016","1992"
"Police","Police Administrative Svc-Civl","Program Administrator","Virginia Beach","Female","Black","Bachelors Level Degree","Not a Veteran","2022","1984"
"City Manager","City Manager-NCJS Adlt Com Sup","Pre-Trial Probation Officer II","Suffolk","Male","Black","Bachelors Level Degree","Not a Veteran","2021","1967"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Chesapeake","Female","White","Bachelors Level Degree","Not a Veteran","2015","1993"
"Human Resources","Human Resources","Tota Abnce Mgmt Anly (HR only)","Norfolk","Female","NS","Bachelors Level Degree","Not a Veteran","2022","1993"
"Finance","Finance City Controller","Payroll Administrator","Virginia Beach","Female","White","Bachelors Level Degree","Not a Veteran","2018","1974"
"Public Works","PW Waste Management","Refuse Collector I","Norfolk","Male","Black","HS Graduate or Equivalent","Not a Veteran","2020","2000"
"City Planning","Planning-Planning","Division Head","Norfolk","Female","White","Not Indicated","Not a Veteran","1994","1965"
"Human Services","Hum Svc Div of Social Services","Family Services Worker I","Virginia Beach","Female","Black","Some College","Not a Veteran","2016","1978"
"City Planning","Planning - Bldg Constr","Permits Specialist","Culver City","Female","White","Bachelors Level Degree","Not a Veteran","2021","1998"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Virginia Beach","Male","White","HS Graduate or Equivalent","Not a Veteran","2013","1980"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Virginia Beach","Male","White","Associate Degree","Not a Veteran","2013","1987"
"Parks and Recreation","RPOS - Landscape Services","Maintenance Supervisor II","Virginia Beach","Male","White","Not Indicated","Not a Veteran","1996","1968"
"Utilities","Utilities Director's Office","Mgmt Services Administrator","Chesapeake","Male","Black","Masters Level Degree","Not a Veteran","2011","1970"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Norfolk","Female","Black","Bachelors Level Degree","Not a Veteran","2015","1975"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Norfolk","Male","White","Some College","Not a Veteran","2013","1985"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Windsor","Male","White","Bachelors Level Degree","Not a Veteran","2013","1990"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Norfolk","Male","White","Bachelors Level Degree","Not a Veteran","2013","1986"
"Police","Police Administrative Svc-Civl","Bureau Manager","Norfolk","Female","Black","Not Indicated","Not a Veteran","1998","1970"
"Budget and Strategic Planning","Office Budget & Strategic Plan","Budget & Policy Analyst II","Norfolk","Female","White","Not Indicated","Not a Veteran","2021","1995"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Chesapeake","Female","Black","Some College","Not a Veteran","2017","1982"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Sergeant)","Norfolk","Female","Black","Not Indicated","Not a Veteran","2001","1974"
"Utilities","Utilities Engineering","Construction Inspector I","Norfolk","Male","White","Some College","Not a Veteran","2020","1981"
"Human Services","Hum Svc Div of Social Services","Human Services Aide","Chesapeake","Female","Black","Some College","Not a Veteran","2021","1978"
"Police","Police Field Operations-Civiln","Administrative Assistant I","Chesapeake","Female","White","Not Indicated","Not a Veteran","1989","1957"
"Libraries","Branch Operations","Library Assistant II","Norfolk","Female","White","Not Indicated","Not a Veteran","2002","1971"
"Budget and Strategic Planning","Office Budget & Strategic Plan","Bureau Manager","Norfolk","Male","White","Masters Level Degree","Not a Veteran","2019","1991"
"Parks and Recreation","RPOS-Youth Development","Youth Services Worker","Norfolk","Male","Black","Less Than HS Graduate","Not a Veteran","2022","2006"
"Police","Police Administrative Svcs-Swn","Police Recruit","Virginia Beach","Male","Black","Some College","Not a Veteran","2022","2001"
