"full_name","pre_dir","type","street_name","street_suffix","post_dir","status"
"SANTOS STREET                           ",,,"SANTOS                        ","STREET    ",,"CITY      "
"SARANAC AVENUE                          ",,,"SARANAC                       ","AVENUE    ",,"CITY      "
"SALEM STREET                            ",,,"SALEM                         ","STREET    ",,"CITY      "
"SALTER STREET                           ",,,"SALTER                        ","STREET    ",,"CITY      "
"SAINT JULIAN AVENUE                     ",,,"SAINT JULIAN                  ","AVENUE    ",,"CITY      "
"SAINT LOUIS AVENUE                      ",,,"SAINT LOUIS                   ","AVENUE    ",,"CITY      "
"SAINT MIHIEL AVENUE                     ",,,"SAINT MIHIEL                  ","AVENUE    ",,"CITY      "
"SAINT PAUL STREET                       ",,,"SAINT PAUL                    ","STREET    ",,"CITY      "
"SAINT PAULS BOULEVARD                   ",,,"SAINT PAULS                   ","BOULEVARD ",,"CITY      "
"S MILITARY HIGHWAY                      ","S ",,"MILITARY                      ","HIGHWAY   ",,"CITY      "
"S NEWTOWN ROAD                          ","S ",,"NEWTOWN                       ","ROAD      ",,"CITY      "
"SABAN AVENUE                            ",,,"SABAN                         ","AVENUE    ",,"CITY      "
"SABRE ROAD                              ",,,"SABRE                         ","ROAD      ",,"CITY      "
"SADDLE ROCK ROAD                        ",,,"SADDLE ROCK                   ","ROAD      ",,"CITY      "
"SAINT DENIS AVENUE                      ",,,"SAINT DENIS                   ","AVENUE    ",,"CITY      "
"SAINT FRANCIS LANE                      ",,,"SAINT FRANCIS                 ","LANE      ",,"CITY      "
"SAINT GEORGE AVENUE                     ",,,"SAINT GEORGE                  ","AVENUE    ",,"CITY      "
"ROUND BAY CIRCLE                        ",,,"ROUND BAY                     ","CIRCLE    ",,"CITY      "
"ROUND BAY COURT                         ",,,"ROUND BAY                     ","COURT     ",,"CITY      "
"ROUND BAY ROAD                          ",,,"ROUND BAY                     ","ROAD      ",,"CITY      "
"ROXBORO ROAD                            ",,,"ROXBORO                       ","ROAD      ",,"CITY      "
"RUNNYMEDE ROAD                          ",,,"RUNNYMEDE                     ","ROAD      ",,"CITY      "
"RUSH STREET                             ",,,"RUSH                          ","STREET    ",,"CITY      "
"RUTH BROWN LANE                         ","  ","                ","RUTH BROWN                    ","LANE      ","  ","CITY      "
"RUTHVEN ROAD                            ",,,"RUTHVEN                       ","ROAD      ",,"CITY      "
"S ABILENE AVENUE                        ","S ",,"ABILENE                       ","AVENUE    ",,"CITY      "
"ROYALE PARK                             ",,,"ROYALE                        ","PARK      ",,"CITY      "
"ROYALE TERRACE                          ",,,"ROYALE                        ","TERRACE   ",,"CITY      "
"RUFFIN STREET                           ",,,"RUFFIN                        ","STREET    ",,"CITY      "
"RUFFIN WAY                              ",,,"RUFFIN                        ","WAY       ",,"CITY      "
"RUFFNER STREET                          ",,,"RUFFNER                       ","STREET    ",,"CITY      "
"RUGBY STREET                            ",,,"RUGBY                         ","STREET    ",,"CITY      "
"ROPER DRIVE                             ",,,"ROPER                         ","DRIVE     ",,"CITY      "
"ROSCOE LANE                             ",,,"ROSCOE                        ","LANE      ",,"CITY      "
"ROSE AVENUE                             ",,,"ROSE                          ","AVENUE    ",,"CITY      "
"ROSECLAIR STREET                        ",,,"ROSECLAIR                     ","STREET    ",,"CITY      "
"ROSEFIELD COURT                         ",,,"ROSEFIELD                     ","COURT     ",,"CITY      "
"ROSEFIELD DRIVE                         ",,,"ROSEFIELD                     ","DRIVE     ",,"CITY      "
"ROSEMONT COURT                          ",,,"ROSEMONT                      ","COURT     ",,"CITY      "
"ROSLYN DRIVE                            ",,,"ROSLYN                        ","DRIVE     ",,"CITY      "
"RODMAN ROAD                             ",,,"RODMAN                        ","ROAD      ",,"CITY      "
"ROGERS AVENUE                           ",,,"ROGERS                        ","AVENUE    ",,"CITY      "
"ROLAND DRIVE                            ",,,"ROLAND                        ","DRIVE     ",,"CITY      "
"ROLFE AVENUE                            ",,,"ROLFE                         ","AVENUE    ",,"CITY      "
"ROLLESTON AVENUE                        ",,,"ROLLESTON                     ","AVENUE    ",,"CITY      "
"RONALD ROAD                             ",,,"RONALD                        ","ROAD      ",,"CITY      "
"RIVERSIDE DRIVE                         ",,,"RIVERSIDE                     ","DRIVE     ",,"CITY      "
"RIVERVIEW AVENUE                        ",,,"RIVERVIEW                     ","AVENUE    ",,"CITY      "
"RIVERWOOD ROAD                          ",,,"RIVERWOOD                     ","ROAD      ",,"CITY      "
"ROBERTS ROAD                            ",,,"ROBERTS                       ","ROAD      ",,"CITY      "
"ROBIN HOOD ROAD                         ",,,"ROBIN HOOD                    ","ROAD      ",,"CITY      "
"ROCKBRIDGE AVENUE                       ",,,"ROCKBRIDGE                    ","AVENUE    ",,"CITY      "
"ROCKINGHAM STREET                       ",,,"ROCKINGHAM                    ","STREET    ",,"CITY      "
"RANKIN AVENUE                           ",,,"RANKIN                        ","AVENUE    ",,"CITY      "
"RANKIN COURT                            ",,,"RANKIN                        ","COURT     ",,"CITY      "
"RANSOM ROAD                             ",,,"RANSOM                        ","ROAD      ",,"CITY      "
"RAY STREET                              ",,,"RAY                           ","STREET    ",,"CITY      "
"REBEL ROAD                              ",,,"REBEL                         ","ROAD      ",,"CITY      "
"RED BROOK COURT                         ",,,"RED BROOK                     ","COURT     ",,"CITY      "
"RED BROOK ROAD                          ",,,"RED BROOK                     ","ROAD      ",,"CITY      "
"RIVER CRESCENT                          ",,,"RIVER                         ","CRESCENT  ",,"CITY      "
"RIVER EDGE ROAD                         ",,,"RIVER EDGE                    ","ROAD      ",,"CITY      "
"RIVER OAKS COURT                        ",,,"RIVER OAKS                    ","COURT     ",,"CITY      "
"RIVER OAKS DRIVE                        ",,,"RIVER OAKS                    ","DRIVE     ",,"CITY      "
"RIVER ROAD                              ",,,"RIVER                         ","ROAD      ",,"CITY      "
"RIVER ROAD POINT                        ",,,"RIVER ROAD                    ","POINT     ",,"CITY      "
"RIPPLEMEAD LANE                         ",,,"RIPPLEMEAD                    ","LANE      ",,"CITY      "
"RIVERPOINT COURT                        ",,,"RIVERPOINT                    ","COURT     ",,"CITY      "
"RIVERS EDGE LANDING                     ","  ","                ","RIVERS EDGE                   ","LANDING   ","  ","CITY"
"REVERE DRIVE                            ",,,"REVERE                        ","DRIVE     ",,"CITY      "
"RHODE ISLAND AVENUE                     ",,,"RHODE ISLAND                  ","AVENUE    ",,"CITY      "
"RIALTO PLACE                            ",,,"RIALTO                        ","PLACE     ",,"CITY      "
"RICH AVENUE                             ",,,"RICH                          ","AVENUE    ",,"CITY      "
"RICHARDSON STREET                       ",,,"RICHARDSON                    ","STREET    ",,"CITY      "
"RICHMOND CRESCENT                       ",,,"RICHMOND                      ","CRESCENT  ",,"CITY      "
"RICHMOND PLACE                          ",,,"RICHMOND                      ","PLACE     ",,"CITY      "
"RICHVIEW STREET                         ",,,"RICHVIEW                      ","STREET    ",,"CITY      "
"RIDDICK STREET                          ",,,"RIDDICK                       ","STREET    ",,"CITY      "
"RIDGEFIELD COURT                        ",,,"RIDGEFIELD                    ","COURT     ",,"CITY      "
"RIDGEFIELD DRIVE                        ",,,"RIDGEFIELD                    ","DRIVE     ",,"CITY      "
"RIDGELEY CIRCLE                         ",,,"RIDGELEY                      ","CIRCLE    ",,"CITY      "
"RIDGELEY POINT                          ",,,"RIDGELEY                      ","POINT     ",,"CITY      "
"RIDGELEY ROAD                           ",,,"RIDGELEY                      ","ROAD      ",,"CITY      "
"RIDGEWELL AVENUE                        ",,,"RIDGEWELL                     ","AVENUE    ",,"CITY      "
"RIDGEWELL CIRCLE                        ",,,"RIDGEWELL                     ","CIRCLE    ",,"CITY      "
"RED MILL ROAD                           ",,,"RED MILL                      ","ROAD      ",,"CITY      "
"REDGATE AVENUE                          ",,,"REDGATE                       ","AVENUE    ",,"CITY      "
"REDMON COURT                            ",,,"REDMON                        ","COURT     ",,"CITY      "
"REDMON ROAD                             ",,,"REDMON                        ","ROAD      ",,"CITY      "
"REDWING AVENUE                          ",,,"REDWING                       ","AVENUE    ",,"CITY      "
"REDWOOD CIRCLE                          ",,,"REDWOOD                       ","CIRCLE    ",,"CITY      "
"REEL STREET                             ",,,"REEL                          ","STREET    ",,"CITY      "
"REEVES AVENUE                           ",,,"REEVES                        ","AVENUE    ",,"CITY      "
"REGENT ROAD                             ",,,"REGENT                        ","ROAD      ",,"CITY      "
"REILLY STREET                           ",,,"REILLY                        ","STREET    ",,"CITY      "
"REMSEN STREET                           ",,,"REMSEN                        ","STREET    ",,"CITY      "
"RESERVOIR AVENUE                        ",,,"RESERVOIR                     ","AVENUE    ",,"CITY      "
"RESERVOIR CRESCENT                      ",,,"RESERVOIR                     ","CRESCENT  ",,"CITY      "
"RESTMERE ROAD                           ",,,"RESTMERE                      ","ROAD      ",,"CITY      "
"REUBEN AVENUE                           ",,,"REUBEN                        ","AVENUE    ",,"CITY      "
"RAILROAD AVENUE                         ",,,"RAILROAD                      ","AVENUE    ",,"CITY      "
"RAINEY DRIVE                            ",,,"RAINEY                        ","DRIVE     ",,"CITY      "
"RALEIGH AVENUE                          ",,,"RALEIGH                       ","AVENUE    ",,"CITY      "
"RALLSTON STREET                         ",,,"RALLSTON                      ","STREET    ",,"CITY      "
"RALPH STREET                            ",,,"RALPH                         ","STREET    ",,"CITY      "
"RAMBLEWOOD ROAD                         ",,,"RAMBLEWOOD                    ","ROAD      ",,"CITY      "
"RAMSEY ROAD                             ",,,"RAMSEY                        ","ROAD      ",,"CITY      "
"RANDOLPH STREET                         ",,,"RANDOLPH                      ","STREET    ",,"CITY      "
"PYTHIAN AVENUE                          ",,,"PYTHIAN                       ","AVENUE    ",,"CITY      "
"QUAIL STREET                            ",,,"QUAIL                         ","STREET    ",,"CITY      "
"QUARANTINE ROAD                         ",,,"QUARANTINE                    ","ROAD      ",,"CITY      "
"PRINCE EDWARD WAY                       ",,,"PRINCE EDWARD                 ","WAY       ",,"CITY      "
"PRINCETON AVENUE                        ",,,"PRINCETON                     ","AVENUE    ",,"CITY      "
"RADNOR ROAD                             ",,,"RADNOR                        ","ROAD      ",,"CITY      "
"PRITCHARD STREET                        ",,,"PRITCHARD                     ","STREET    ",,"CITY      "
"PRODUCTION ROAD                         ",,,"PRODUCTION                    ","ROAD      ",,"CITY      "
"PROESCHER STREET                        ",,,"PROESCHER                     ","STREET    ",,"CITY      "
"PROGRESS ROAD                           ",,,"PROGRESS                      ","ROAD      ",,"CITY      "
"PRYER LANE                              ","  ","                ","PRYER                         ","LANE      ","  ","CITY"
"PUBLIC ALLEY STREET                     ","  ","                ","PUBLIC ALLEY                  ","STREET    ","  ","CITY"
"PUGH STREET                             ",,,"PUGH                          ","STREET    ",,"CITY      "
"PURDY COURT                             ",,,"PURDY                         ","COURT     ",,"CITY      "
"QUEENS WAY                              ",,,"QUEENS                        ","WAY       ",,"CITY      "
"QUILL ROAD                              ",,,"QUILL                         ","ROAD      ",,"CITY      "
"QUINCY STREET                           ",,,"QUINCY                        ","STREET    ",,"CITY      "
"RABY ROAD                               ",,,"RABY                          ","ROAD      ",,"CITY      "
"RACINE AVENUE                           ",,,"RACINE                        ","AVENUE    ",,"CITY      "
"RADER STREET                            ",,,"RADER                         ","STREET    ",,"CITY      "
"RADFORD STREET                          ",,,"RADFORD                       ","STREET    ",,"CITY      "
"PREMIUM OUTLETS BOULEVARD               ","  ","                ","PREMIUM OUTLETS               ","BOULEVARD ","  ","CITY"
"PRETTY LAKE AVENUE                      ",,,"PRETTY LAKE                   ","AVENUE    ",,"CITY      "
"PRETTY MARSH LANE                       ","  ","                ","PRETTY MARSH                  ","LANE      ","  ","CITY      "
"PRETTY WALK LANE                        ","  ","                ","PRETTY WALK                   ","LANE      ","  ","CITY      "
"PRIMROSE STREET                         ",,,"PRIMROSE                      ","STREET    ",,"CITY      "
"PRINCE AVENUE                           ",,,"PRINCE                        ","AVENUE    ",,"CITY      "
"PORTER STREET                           ",,,"PORTER                        ","STREET    ",,"CITY      "
"PORTVIEW AVENUE                         ",,,"PORTVIEW                      ","AVENUE    ",,"CITY      "
"POSEY LANE                              ",,,"POSEY                         ","LANE      ",,"CITY      "
"POSTON LANE                             ",,,"POSTON                        ","LANE      ",,"CITY      "
"POWDER HORN DRIVE                       ",,,"POWDER HORN                   ","DRIVE     ",,"CITY      "
"POWHATAN AVENUE                         ",,,"POWHATAN                      ","AVENUE    ",,"CITY      "
"POWHATAN COURT                          ",,,"POWHATAN                      ","COURT     ",,"CITY      "
"POWHATAN PLACE                          ",,,"POWHATAN                      ","PLACE     ",,"CITY      "
"PORTAL ROAD                             ",,,"PORTAL                        ","ROAD      ",,"CITY      "
"OCELLA AVENUE                           ",,,"OCELLA                        ","AVENUE    ",,"CITY      "
"POPE AVENUE                             ",,,"POPE                          ","AVENUE    ",,"CITY      "
"POPLAR AVENUE                           ",,,"POPLAR                        ","AVENUE    ",,"CITY      "
"POPLAR HALL CIRCLE                      ",,,"POPLAR HALL                   ","CIRCLE    ",,"CITY      "
"POPLAR HALL DRIVE                       ",,,"POPLAR HALL                   ","DRIVE     ",,"CITY      "
"POPPLETON STREET                        ",,,"POPPLETON                     ","STREET    ",,"CITY      "
"POPPY COURT                             ",,,"POPPY                         ","COURT     ",,"CITY      "
"PORPOISE LANE                           ",,,"PORPOISE                      ","LANE      ",,"CITY      "
"POE COURT                               ",,,"POE                           ","COURT     ",,"CITY      "
"POLLARD STREET                          ",,,"POLLARD                       ","STREET    ",,"CITY      "
"POMONA STREET                           ",,,"POMONA                        ","STREET    ",,"CITY      "
"POMROY AVENUE                           ",,,"POMROY                        ","AVENUE    ",,"CITY      "
"PIKE STREET                             ",,,"PIKE                          ","STREET    ",,"CITY      "
"PILOT AVENUE                            ",,,"PILOT                         ","AVENUE    ",,"CITY      "
"PINE GROVE AVENUE                       ",,,"PINE GROVE                    ","AVENUE    ",,"CITY      "
"PINE HARBOR DRIVE                       ",,,"PINE HARBOR                   ","DRIVE     ",,"CITY      "
"PINE TREE ROAD                          ",,,"PINE TREE                     ","ROAD      ",,"CITY      "
"PINECROFT LANE                          ",,,"PINECROFT                     ","LANE      ",,"CITY      "
"PINEDALE STREET                         ",,,"PINEDALE                      ","STREET    ",,"CITY      "
"PINEHURST AVENUE                        ",,,"PINEHURST                     ","AVENUE    ",,"CITY      "
"PINERIDGE ROAD                          ",,,"PINERIDGE                     ","ROAD      ",,"CITY      "
"PINEVIEW AVENUE                         ",,,"PINEVIEW                      ","AVENUE    ",,"CITY      "
"PINEWELL DRIVE                          ",,,"PINEWELL                      ","DRIVE     ",,"CITY      "
"PINEY BRANCH CIRCLE                     ",,,"PINEY BRANCH                  ","CIRCLE    ",,"CITY      "
"PINEY BRANCH COURT                      ",,,"PINEY BRANCH                  ","COURT     ",,"CITY      "
"PINEY BRANCH ROAD                       ",,,"PINEY BRANCH                  ","ROAD      ",,"CITY      "
"PIPING ROCK ROAD                        ",,,"PIPING ROCK                   ","ROAD      ",,"CITY      "
"PLEASANT AVENUE                         ",,,"PLEASANT                      ","AVENUE    ",,"CITY      "
"PLEASANT POINT CIRCLE                   ",,,"PLEASANT POINT                ","CIRCLE    ",,"CITY      "
"PLEASANT POINT DRIVE                    ",,,"PLEASANT POINT                ","DRIVE     ",,"CITY      "
"PLEASANT VALLEY ROAD                    ",,,"PLEASANT VALLEY               ","ROAD      ",,"CITY      "
"PLUME LANE                              ",,,"PLUME                         ","LANE      ",,"CITY      "
"PLYMOUTH CRESCENT                       ",,,"PLYMOUTH                      ","CRESCENT  ",,"CITY      "
"PLYMOUTH STREET                         ",,,"PLYMOUTH                      ","STREET    ",,"CITY      "
"PEFLEY COURT                            ",,,"PEFLEY                        ","COURT     ",,"CITY      "
"PEFLEY DRIVE                            ",,,"PEFLEY                        ","DRIVE     ",,"CITY      "
"PELHAM STREET                           ",,,"PELHAM                        ","STREET    ",,"CITY      "
"PEMBROKE AVENUE                         ",,,"PEMBROKE                      ","AVENUE    ",,"CITY      "
"PHILLIP AVENUE                          ",,,"PHILLIP                       ","AVENUE    ",,"CITY      "
"PHILPOTTS ROAD                          ",,,"PHILPOTTS                     ","ROAD      ",,"CITY      "
"PICADILLY SQUARE                        ",,,"PICADILLY                     ","SQUARE    ",,"CITY      "
"PICADILLY STREET                        ",,,"PICADILLY                     ","STREET    ",,"CITY      "
"PICKETT ROAD                            ",,,"PICKETT                       ","ROAD      ",,"CITY      "
"PIERCE STREET                           ",,,"PIERCE                        ","STREET    ",,"CITY      "
"PENDLETON STREET                        ",,,"PENDLETON                     ","STREET    ",,"CITY      "
"PENNINGTON ROAD                         ",,,"PENNINGTON                    ","ROAD      ",,"CITY      "
"PENNSYLVANIA AVENUE                     ",,,"PENNSYLVANIA                  ","AVENUE    ",,"CITY      "
"PEPPER MILL COURT                       ",,,"PEPPER MILL                   ","COURT     ",,"CITY      "
"PEPPER MILL LANE                        ",,,"PEPPER MILL                   ","LANE      ",,"CITY      "
"PERCH LANE                              ",,,"PERCH                         ","LANE      ",,"CITY      "
"PERONNE AVENUE                          ",,,"PERONNE                       ","AVENUE    ",,"CITY      "
"PERSHING AVENUE                         ",,,"PERSHING                      ","AVENUE    ",,"CITY      "
"PETERSON STREET                         ",,,"PETERSON                      ","STREET    ",,"CITY      "
"PAUL JONES LANE                         ",,,"PAUL JONES                    ","LANE      ",,"CITY      "
"PAUL STREET                             ",,,"PAUL                          ","STREET    ",,"CITY      "
"PAULIN COURT                            ",,,"PAULIN                        ","COURT     ",,"CITY      "
"PEACE HAVEN DRIVE                       ",,,"PEACE HAVEN                   ","DRIVE     ",,"CITY      "
"PEACHTREE STREET                        ",,,"PEACHTREE                     ","STREET    ",,"CITY      "
"PEAKE ROAD                              ",,,"PEAKE                         ","ROAD      ",,"CITY      "
"PEARL STREET                            ",,,"PEARL                         ","STREET    ",,"CITY      "
"PEBBLE LANE                             ",,,"PEBBLE                        ","LANE      ",,"CITY      "
"PECAN POINT ROAD                        ",,,"PECAN POINT                   ","ROAD      ",,"CITY      "
"PARKDALE DRIVE                          ",,,"PARKDALE                      ","DRIVE     ",,"CITY      "
"PARKER AVENUE                           ",,,"PARKER                        ","AVENUE    ",,"CITY      "
"PARKTOWN ROAD                           ",,,"PARKTOWN                      ","ROAD      ",,"CITY      "
"PARKVIEW AVENUE                         ",,,"PARKVIEW                      ","AVENUE    ",,"CITY      "
"PARTRIDGE STREET                        ",,,"PARTRIDGE                     ","STREET    ",,"CITY      "
"PASADENA COURT                          ",,,"PASADENA                      ","COURT     ",,"CITY      "
"PASCAL PLACE                            ",,,"PASCAL                        ","PLACE     ",,"CITY      "
"PASTEUR COURT                           ",,,"PASTEUR                       ","COURT     ",,"CITY      "
"PATENT ROAD                             ",,,"PATENT                        ","ROAD      ",,"CITY      "
"PATRICIAN ROAD                          ",,,"PATRICIAN                     ","ROAD      ",,"CITY      "
"PATRICK STREET                          ",,,"PATRICK                       ","STREET    ",,"CITY      "
"OMOHUNDRO AVENUE                        ",,,"OMOHUNDRO                     ","AVENUE    ",,"CITY      "
"ONEIDA CIRCLE                           ",,,"ONEIDA                        ","CIRCLE    ",,"CITY      "
"ORANGE AVENUE                           ",,,"ORANGE                        ","AVENUE    ",,"CITY      "
"ORANGE STREET                           ",,,"ORANGE                        ","STREET    ",,"CITY      "
"ORANGEWOOD AVENUE                       ",,,"ORANGEWOOD                    ","AVENUE    ",,"CITY      "
"ORAPAX STREET                           ",,,"ORAPAX                        ","STREET    ",,"CITY      "
"ORCHARD STREET                          ",,,"ORCHARD                       ","STREET    ",,"CITY      "
"ORCHID AVENUE                           ",,,"ORCHID                        ","AVENUE    ",,"CITY      "
"ORION AVENUE                            ",,,"ORION                         ","AVENUE    ",,"CITY      "
"ORLEANS CIRCLE                          ",,,"ORLEANS                       ","CIRCLE    ",,"CITY      "
"ORLEANS STREET                          ",,,"ORLEANS                       ","STREET    ",,"CITY      "
"OSBORNE ROAD                            ",,,"OSBORNE                       ","ROAD      ",,"CITY      "
"OSPREY WATCH                            ","  ","                ","OSPREY WATCH                  ","LAIR      ","  ","CITY"
"OTIS CIRCLE                             ",,,"OTIS                          ","CIRCLE    ",,"CITY      "
"OUTTEN LANE                             ",,,"OUTTEN                        ","LANE      ",,"CITY      "
"OVERBROOK AVENUE                        ",,,"OVERBROOK                     ","AVENUE    ",,"CITY      "
"OWENS ROAD                              ",,,"OWENS                         ","ROAD      ",,"CITY      "
"OXFORD STREET                           ",,,"OXFORD                        ","STREET    ",,"CITY      "
"PACE ROAD                               ",,,"PACE                          ","ROAD      ",,"CITY      "
"PADDOCK ROAD                            ",,,"PADDOCK                       ","ROAD      ",,"CITY      "
"PAINTER STREET                          ",,,"PAINTER                       ","STREET    ",,"CITY      "
"PALEM ROAD                              ",,,"PALEM                         ","ROAD      ",,"CITY      "
"PALL MALL STREET                        ",,,"PALL MALL                     ","STREET    ",,"CITY      "
"PALLISTER ROAD                          ",,,"PALLISTER                     ","ROAD      ",,"CITY      "
"PALMER TURN                             ",,,"PALMER                        ","TURN      ",,"CITY      "
"PALMETTO STREET                         ",,,"PALMETTO                      ","STREET    ",,"CITY      "
"PALMYRA STREET                          ",,,"PALMYRA                       ","STREET    ",,"CITY      "
"PAMELA PLACE                            ",,,"PAMELA                        ","PLACE     ",,"CITY      "
"PAMLICO CIRCLE                          ",,,"PAMLICO                       ","CIRCLE    ",,"CITY      "
"PARISH ROAD                             ",,,"PARISH                        ","ROAD      ",,"CITY      "
"PARK AVENUE                             ",,,"PARK                          ","AVENUE    ",,"CITY      "
"ODELL STREET                            ",,,"ODELL                         ","STREET    ",,"CITY      "
"OETJEN BOULEVARD                        ",,,"OETJEN                        ","BOULEVARD ",,"CITY      "
"OGDEN AVENUE                            ",,,"OGDEN                         ","AVENUE    ",,"CITY      "
"OKEEFE STREET                           ",,,"OKEEFE                        ","STREET    ",,"CITY      "
"OLEAN STREET                            ",,,"OLEAN                         ","STREET    ",,"CITY      "
"OLEO ROAD                               ",,,"OLEO                          ","ROAD      ",,"CITY      "
"OLINGER STREET                          ",,,"OLINGER                       ","STREET    ",,"CITY      "
"OKLAHOMA AVENUE                         ",,,"OKLAHOMA                      ","AVENUE    ",,"CITY      "
"OLD 23RD BAY STREET                     ","  ","                ","OLD 23RD BAY                  ","STREET    ","  ","CITY"
"OLD BRANDON AVENUE                      ",,,"OLD BRANDON                   ","AVENUE    ",,"CITY      "
"OLD COURT DRIVE                         ",,,"OLD COURT                     ","DRIVE     ",,"CITY      "
"OLD MILL ROAD                           ",,,"OLD MILL                      ","ROAD      ",,"CITY      "
"OLD OCEAN VIEW ROAD                     ",,,"OLD OCEAN VIEW                ","ROAD      ",,"CITY      "
"OLD PHILLIPS ROAD                       ",,,"OLD PHILLIPS                  ","ROAD      ",,"CITY      "
"OLD SALT LANE                           ","  ","                ","OLD SALT                      ","LANE      ","  ","CITY      "
"OAK PARK AVENUE                         ",,,"OAK PARK                      ","AVENUE    ",,"CITY      "
"OAKFIELD AVENUE                         ",,,"OAKFIELD                      ","AVENUE    ",,"CITY      "
"OAKLAWN AVENUE                          ",,,"OAKLAWN                       ","AVENUE    ",,"CITY      "
"OAKMONT COURT                           ",,,"OAKMONT                       ","COURT     ",,"CITY      "
"OAKMONT DRIVE                           ",,,"OAKMONT                       ","DRIVE     ",,"CITY      "
"OAKMONT PLACE                           ",,,"OAKMONT                       ","PLACE     ",,"CITY      "
"OAKWOOD STREET                          ",,,"OAKWOOD                       ","STREET    ",,"CITY      "
"OBENDORFER ROAD                         ",,,"OBENDORFER                    ","ROAD      ",,"CITY      "
"OAK AVENUE                              ",,,"OAK                           ","AVENUE    ",,"CITY      "
"OAK GROVE ROAD                          ",,,"OAK GROVE                     ","ROAD      ",,"CITY      "
"NEW HAMPSHIRE AVENUE                    ",,,"NEW HAMPSHIRE                 ","AVENUE    ",,"CITY      "
"NEW JERSEY AVENUE                       ",,,"NEW JERSEY                    ","AVENUE    ",,"CITY      "
"NOBLE STREET                            ",,,"NOBLE                         ","STREET    ",,"CITY      "
"NORTH BRANDON AVENUE                    ",,,"NORTH BRANDON                 ","AVENUE    ",,"CITY      "
"NORTH ROSEMONT DRIVE                    ",,,"NORTH ROSEMONT                ","DRIVE     ",,"CITY      "
"NORTH SHIRLAND AVENUE                   ",,,"NORTH SHIRLAND                ","AVENUE    ",,"CITY      "
"NORTH SHORE ROAD                        ",,,"NORTH SHORE                   ","ROAD      ",,"CITY      "
"NORTH STONEBRIDGE DRIVE                 ",,,"NORTH STONEBRIDGE             ","DRIVE     ",,"CITY      "
"NORTH VEAUX LOOP                        ",,,"NORTH VEAUX                   ","LOOP      ",,"CITY      "
"NORTH VIEW BOULEVARD                    ","  ","                ","NORTH VIEW                    ","BOULEVARD ","  ","CITY      "
"NORTHAMPTON BOULEVARD                   ",,,"NORTHAMPTON                   ","BOULEVARD ",,"CITY      "
"NORTON STREET                           ",,,"NORTON                        ","STREET    ",,"CITY      "
"NORVA PARK                              ",,,"NORVA                         ","PARK      ",,"CITY      "
"NORVELLA AVENUE                         ",,,"NORVELLA                      ","AVENUE    ",,"CITY      "
"NORVELLA COURT                          ",,,"NORVELLA                      ","COURT     ",,"CITY      "
"NORVIEW ARCH                            ",,,"NORVIEW                       ","ARCH      ",,"CITY      "
"NORVIEW AVENUE                          ",,,"NORVIEW                       ","AVENUE    ",,"CITY      "
"NORWAY COURT                            ",,,"NORWAY                        ","COURT     ",,"CITY      "
"NORWAY PLACE                            ",,,"NORWAY                        ","PLACE     ",,"CITY      "
"NOTTAWAY STREET                         ",,,"NOTTAWAY                      ","STREET    ",,"CITY      "
"NORRISTOWN DRIVE                        ",,,"NORRISTOWN                    ","DRIVE     ",,"CITY      "
"NORTH BLAKE ROAD                        ",,,"NORTH BLAKE                   ","ROAD      ",,"CITY      "
"NORFOLK SQUARE                          ",,,"NORFOLK                       ","SQUARE    ",,"CITY      "
"NORLAND CIRCLE                          ",,,"NORLAND                       ","CIRCLE    ",,"CITY      "
"NORLAND COURT                           ",,,"NORLAND                       ","COURT     ",,"CITY      "
"NORMAN AVENUE                           ",,,"NORMAN                        ","AVENUE    ",,"CITY      "
"NORTH CENTER DRIVE                      ",,,"NORTH CENTER                  ","DRIVE     ",,"CITY      "
"NORTH FAIRWATER DRIVE                   ",,,"NORTH FAIRWATER               ","DRIVE     ",,"CITY      "
"NORTH GATE DRIVE                        ",,,"NORTH GATE                    ","DRIVE     ",,"CITY      "
"NORTH INGLESIDE DRIVE                   ",,,"NORTH INGLESIDE               ","DRIVE     ",,"CITY      "
"NORTH LAKEBRIDGE DRIVE                  ",,,"NORTH LAKEBRIDGE              ","DRIVE     ",,"CITY      "
"NORTH LAKELAND DRIVE                    ",,,"NORTH LAKELAND                ","DRIVE     ",,"CITY      "
"NORTH LEXAN CRESCENT                    ",,,"NORTH LEXAN                   ","CRESCENT  ",,"CITY      "
"NORCHESTER AVENUE                       ",,,"NORCHESTER                    ","AVENUE    ",,"CITY      "
"NORCHESTER STREET                       ",,,"NORCHESTER                    ","STREET    ",,"CITY      "
"NORCOVA AVENUE                          ",,,"NORCOVA                       ","AVENUE    ",,"CITY      "
"NORCOVA COURT                           ",,,"NORCOVA                       ","COURT     ",,"CITY      "
"NORFOLK AVENUE                          ",,,"NORFOLK                       ","AVENUE    ",,"CITY      "
"NIAGARA CIRCLE                          ",,,"NIAGARA                       ","CIRCLE    ",,"CITY      "
"NICHAL COURT                            ",,,"NICHAL                        ","COURT     ",,"CITY      "
"NICHOLSON STREET                        ",,,"NICHOLSON                     ","STREET    ",,"CITY      "
"NICKOLES LANE                           ",,,"NICKOLES                      ","LANE      ",,"CITY      "
"NEW STREET                              ",,,"NEW                           ","STREET    ",,"CITY      "
"NEW YORK AVENUE                         ",,,"NEW YORK                      ","AVENUE    ",,"CITY      "
