"month","year","alameda","alpine","amador","butte","calaveras","colusa","contra_costa","del_norte","el_dorado","fresno","glenn","humboldt","imperial","inyo","kern","kings","lake","lassen","los_angeles","madera","marin","mariposa","mendocino","merced","modoc","mono","monterey","napa","nevada","orange","placer","plumas","riverside","sacramento","san_benito","san_bernardino","san_diego","san_francisco","san_joaquin","san_luis_obispo","san_mateo","santa_barbara","santa_clara","santa_cruz","shasta","sierra","siskiyou","solano","sonoma","stanislaus","sutter","tehama","trinity","tulare","tuolumne","ventura","yolo","yuba","total_all_counties"
"August","2012","33052","29","868","5025","1123","470","21626","637","3628","25204","797","2325","15717","366","17589","3034","1590","521","209624","3287","3415","370","1599","6548","170","435","7469","2426","1948","54854","7059","401","58005","33603","1363","49739","69439","16771","18774","4436","10959","6394","33526","4785","5044","70","1026","10030","9752","14246","2393","1366","260","13202","1291","18390","3610","1879","823559"
"September","2012","30277","22","861","4439","1066","431","20101","565","3429","23837","569","2022","15063","349","16746","2793","1523","494","194710","2900","3117","355","1450","5663","159","462","7010","2294","1841","50846","6679","371","54670","32240","1228","46734","65166","15587","18057","4049","10128","6172","31557","4464","4626","53","953","9470","8705","13181","2214","1181","214","12432","1232","17685","3344","1756","769542"
"October","2012","29620","19","876","4285","1095","518","19664","597","3391","26526","485","1943","14395","367","17908","3694","1556","477","188539","3114","3039","377","1406","6124","167","534","7353","2077","1880","49991","6549","403","52675","31220","1380","45713","64284","15166","18070","3844","9831","6202","30891","4677","4653","60","1020","9156","8566","13961","2408","1126","225","13147","1230","17009","3563","1733","760779"
"November","2012","29773","20","907","4860","1145","1179","19801","720","3693","30886","614","2301","13074","419","20101","4009","1749","610","186458","4146","3081","496","1657","8398","214","544","10222","2580","2033","49418","6843","627","51397","31948","1648","45413","64006","15250","20512","3976","9905","6802","31386","6855","5101","85","1374","9642","8960","16530","3011","1275","275","14498","1343","17776","4135","1908","787589"
"December","2012","29496","19","955","5674","1200","1751","20201","752","3865","34075","933","2534","10733","436","25414","4463","2000","714","184105","4576","3010","625","1968","10373","279","414","17262","3021","2096","48590","7035","770","50637","33012","1942","45361","63011","15108","22783","4242","9834","8026","31159","8973","5713","103","1683","10284","9477","18421","3947","1574","322","17487","1498","18371","4806","2297","819410"
"January","2013","29950","21","1007","6180","1275","2030","20638","766","3940","36013","997","2669","9917","451","27562","5184","2030","807","187984","4868","3052","654","1930","11350","286","324","18678","3110","2116","49250","6931","884","50461","33663","2082","46700","64143","15788","23561","4305","10020","8588","31861","9884","5897","111","1811","10509","9514","18883","3981","1659","413","18286","1565","18241","5138","2388","842306"
"February","2013","28859","23","948","5646","1209","1849","19755","647","3804","35344","970","2537","9449","453","27184","5069","1838","773","179086","4739","2920","624","1864","11374","280","333","18335","2664","2078","47486","6598","879","48891","31672","2066","44412","61538","14986","22626","3994","9689","8083","31244","9889","5676","114","1738","9990","8968","18467","4200","1621","413","17649","1487","16961","4977","2304","809272"
"March","2013","28267","21","876","5418","1143","1648","19287","647","3734","34561","908","2459","9652","443","27286","4966","1742","724","174653","4759","2919","588","1811","10856","269","333","16782","2540","2047","46355","6361","860","47142","30727","1973","43524","60588","14865","21551","3878","9629","7584","30609","9490","5497","114","1557","9581","8687","18074","4019","1582","394","17427","1459","15906","4491","2213","787476"
"April","2013","27650","21","852","5075","1050","1313","18748","658","3573","31793","838","2369","12522","387","24673","4592","1690","612","172298","4375","2899","487","1666","9757","236","319","12882","2450","2018","45538","6146","701","45762","29569","1838","42658","59059","14305","20300","3882","9479","6284","29952","8304","5073","107","1268","9328","8327","17447","3763","1527","370","15209","1382","14744","3992","2081","756198"
"May","2013","27160","27","768","4725","958","922","18119","598","3455","26951","754","1953","12608","345","21800","3786","1458","483","175285","3514","2816","343","1313","8018","173","480","8288","2056","1943","45126","6043","488","44656","28785","1660","42338","59218","14104","17334","3731","9225","5567","29097","5532","4419","77","986","8986","7719","15339","3274","1351","246","13048","1169","14822","3391","1789","720619"
"June","2013","27402","24","760","4723","905","872","18361","559","3144","24661","756","1962","12634","341","21139","3611","1440","427","182770","3271","2911","314","1251","7215","134","423","6977","1991","1799","45239","5857","346","46228","28607","1459","43710","59749","14498","17395","3667","9310","5586","28816","4303","4243","55","886","8799","7702","15173","2928","1387","225","12761","1085","15191","3244","1744","722970"
"July","2013","28326","25","739","4574","879","601","18572","578","3053","23294","757","1964","14515","330","18778","3096","1388","422","189472","3198","2897","295","1277","6288","133","356","6683","2065","1716","47253","5777","351","49899","28872","1338","44547","61524","14506","16938","3742","9408","5633","28659","4137","4192","54","866","8825","7861","13743","2385","1314","216","12830","1036","16274","3127","1681","733259"
"August","2013","26374","21","652","3998","799","413","17338","497","2777","20386","640","1828","14471","310","16498","2691","1263","364","171644","2583","2678","266","1190","5151","111","307","6103","1873","1569","44556","5308","300","47885","26859","1058","40682","57652","13629","15453","3454","8776","5290","27234","3839","3688","43","776","8026","6985","11368","1898","1088","190","11574","929","15840","2805","1421","673401"
"September","2013","23788","14","607","3489","724","385","15844","439","2612","19319","477","1571","14102","265","15130","2362","1215","350","155229","2350","2407","265","1113","4498","101","318","5561","1708","1445","41143","4905","282","44090","24745","973","37318","53240","12270","14539","3181","8069","5022","25301","3447","3405","40","704","7608","6259","10555","1804","954","161","10674","906","15205","2569","1386","618443"
"October","2013","22179","13","594","3270","688","498","14730","449","2543","21760","393","1467","12809","267","14864","2787","1177","383","142513","2567","2271","510","1086","4558","114","386","5818","1598","1366","38058","4714","301","40197","22976","965","34372","50135","11379","14036","2940","7589","4906","23623","3768","3280","44","703","7085","5872","10936","1926","870","169","11084","866","13964","2758","1296","584470"
"November","2013","21957","14","649","4011","767","1301","14961","554","2782","26177","595","1697","11075","332","17257","3575","1436","538","141447","3441","2279","493","1318","7298","152","437","10325","2180","1545","38394","5016","491","38640","23977","1349","34112","49832","11137","17042","3151","7505","5850","23585","6285","3791","65","1043","7630","6343","13880","2968","1056","229","12802","979","14635","3518","1619","617517"
"December","2013","21917","14","683","4275","808","1538","15251","569","2914","28130","724","1884","9701","337","21633","3957","1559","613","142527","3810","2314","556","1474","8487","179","378","15323","2472","1606","38391","5081","597","38579","24655","1523","34580","49895","11224","18026","3238","7419","6742","23599","7629","4060","73","1248","7858","6634","14796","3293","1182","258","15067","988","14882","3836","1776","642762"
"January","2014","15743","12","504","3804","673","1616","11324","436","2345","24512","741","1608","6197","292","18739","3665","1201","570","100347","3315","1707","535","1269","7987","186","268","15261","2055","1212","26775","3798","616","26121","18445","1346","24168","34311","8339","14753","2351","5287","5978","16182","7417","3439","70","1275","6211","5305","12429","2825","1009","252","13876","824","10804","3494","1520","487344"
"February","2014","15655","17","532","3840","727","1629","11498","451","2459","25770","743","1754","5768","301","19793","3913","1148","624","98875","3486","1713","509","1349","8536","198","314","15658","1805","1286","26904","3979","671","26431","18732","1481","23952","34311","8116","15066","2315","5473","5776","16709","7730","3774","85","1364","6159","5538","12814","3167","1085","282","14095","909","10257","3580","1664","492770"
"March","2014","15177","15","491","3562","664","1568","11269","412","2407","24995","715","1650","6165","305","20471","3724","1112","576","94977","3479","1643","435","1282","8396","191","261","14047","1614","1235","26550","3850","645","25392","17984","1411","23208","33400","8028","14305","2339","5363","4989","16371","7444","3584","85","1246","5977","5399","12537","3182","1083","270","13887","897","9356","3342","1621","476583"
"April","2014","14613","17","427","3263","593","1164","10896","372","2206","22399","637","1521","8542","277","18474","3266","1022","458","94053","3122","1600","307","1132","7243","159","226","9943","1427","1175","25823","3554","493","25013","16851","1231","23178","32471","7542","12923","2244","5124","3873","16090","6093","3111","75","858","5611","4964","11775","2875","974","250","11820","776","8669","2828","1466","449089"
"May","2014","13962","28","344","2633","546","677","10189","292","2079","17314","562","1197","9141","225","15102","2341","806","286","93535","2368","1526","186","783","5398","92","332","5453","1140","1101","24980","3328","287","24183","15429","1019","22504","31019","7251","10665","2053","4833","3254","15407","3180","2340","45","548","4970","4371","9935","2209","773","135","9068","597","8223","2044","1062","405350"
"June","2014","14045","22","328","2827","485","570","10228","299","1846","15304","525","1130","10652","216","13859","2360","736","261","99743","2060","1525","148","766","4424","69","295","3898","1088","992","24593","3134","205","25811","15422","814","23302","31057","7605","10301","2071","4772","3053","15026","2410","2206","30","470","4867","4341","9090","1897","775","108","8246","558","8097","1844","998","403804"
"July","2014","14814","14","313","2725","498","365","10197","303","1712","13992","524","1116","12850","227","11749","1762","712","212","104447","1866","1587","138","730","3619","58","242","3619","1140","974","25812","3059","174","29093","15583","676","23909","31923","7752","9569","2136","4927","3003","14882","2246","2091","26","448","4943","4182","7913","1388","794","99","8292","535","9059","1805","936","409760"
"August","2014","14334","15","294","2339","445","218","9500","265","1516","12123","416","1053","13019","191","9943","1430","671","176","95964","1510","1493","115","674","2836","51","210","3235","922","891","24592","2808","136","29145","14684","541","21828","30119","7531","8447","2020","4634","2909","14176","2087","1795","29","389","4474","3932","6408","1050","626","91","7521","460","9529","1643","787","380240"
"September","2014","12721","11","280","1889","394","209","8809","238","1463","12085","292","858","12153","168","9385","1304","668","149","86872","1365","1294","121","597","2724","50","238","3029","938","793","22412","2700","119","26757","13840","504","20195","28177","6459","8264","1857","4190","2850","13380","1896","1675","24","368","4218","3499","6308","1020","545","78","7207","428","9434","1529","742","351772"
"October","2014","12634","13","268","1849","385","261","8612","276","1523","15221","216","920","11609","173","9819","1995","710","164","83689","1784","1246","147","626","3048","68","314","3641","921","794","21905","2726","144","25535","13584","627","19647","27781","6327","8649","1774","3985","3011","12963","2423","1804","21","438","4059","3533","6982","1196","453","102","8359","438","8997","1704","721","352814"
"November","2014","12567","14","324","2417","413","995","8470","336","1657","19854","377","1135","9366","199","12350","2654","935","280","80212","3024","1250","260","865","5441","93","329","8244","1525","935","21267","2854","324","23060","13610","860","18831","26904","6349","11125","2018","3946","3969","12894","4543","2106","38","720","4468","3881","9191","2092","600","156","9725","515","9551","2339","949","375406"
"December","2014","12622","11","383","2956","495","1402","8835","340","1902","21704","650","1359","7303","225","16994","3093","1129","393","79196","3563","1237","362","1191","7270","130","241","14185","1790","970","20740","3045","492","22412","14612","1085","18814","27013","6290","12756","2242","3904","5257","12747","6368","2763","65","1052","5061","4449","10416","2608","911","205","11888","628","9746","2982","1235","403717"
"January","2015","12730","12","399","3352","475","1630","9197","391","1957","24018","651","1455","6531","242","20472","3670","1139","467","81564","3732","1293","403","1113","8166","168","204","15542","1621","1005","20902","3032","630","22511","14933","1180","19518","27342","6839","13252","2256","4009","5658","13161","7211","2834","80","1180","4971","4165","11066","2680","953","226","13285","713","9483","3238","1280","422187"
"February","2015","12599","11","383","3171","499","1647","9416","419","1965","24184","625","1406","6296","249","22143","3600","1077","475","80882","3621","1273","441","1119","8374","165","217","15429","1412","1035","20912","3053","620","22394","14914","1233","19340","26913","6855","13339","2189","4071","5401","13114","7328","2823","84","1223","5120","4130","11501","3051","907","216","13347","721","8879","3251","1332","422394"
"March","2015","12209","11","368","2930","474","1439","8879","398","1834","23476","548","1332","6566","227","23076","3516","971","392","78392","3666","1216","398","1082","7773","145","214","13487","1201","1010","20139","2943","577","21278","14103","1191","18841","26216","6713","12314","2004","4062","4458","12685","6897","2647","78","1042","4769","3885","10910","2792","854","207","13120","674","8049","2848","1240","404766"
"April","2015","12204","18","343","2517","492","909","8461","339","1840","20311","533","1210","9121","183","20828","2942","792","321","78352","3163","1231","236","832","6438","105","329","7894","986","1101","20044","2924","395","20837","13300","1040","18971","25307","6436","10834","2046","3967","3451","12949","5096","2332","56","677","4433","3532","10145","2413","715","176","10523","609","7338","2190","1066","377833"
"May","2015","12059","16","287","2252","449","636","8262","259","1668","16058","445","994","8597","156","18520","2326","662","240","79995","2243","1183","177","579","5099","73","412","5456","915","956","19818","2774","287","20506","12890","892","18786","24842","6363","9118","1894","3882","3023","12663","3039","2038","43","503","4171","3303","8820","1871","640","119","8857","521","7408","1823","894","352762"
"June","2015","12408","19","271","2432","416","407","8402","255","1452","13910","420","1007","8930","151","17143","2218","627","174","86434","1868","1215","120","607","4045","58","318","3627","822","862","20151","2671","211","22057","13124","698","19547","25072","6886","9056","1886","3972","2803","12518","1917","1874","28","453","4048","3384","7982","1591","615","96","8256","478","7254","1689","838","351773"
"July","2015","12757","16","265","2294","425","254","8534","249","1366","12708","431","1092","11507","166","14275","1593","562","169","88940","1737","1324","116","550","3081","61","197","3191","791","864","21208","2621","178","25816","13200","474","19916","26432","6929","8316","1944","3972","2782","12344","1871","1752","23","429","4044","3342","6605","987","622","98","8413","456","8146","1529","721","354685"
"August","2015","12667","13","247","2047","382","169","8241","228","1230","11218","368","1031","11667","157","12696","1437","531","164","84249","1526","1342","92","535","2463","58","193","2919","815","802","20814","2377","162","25765","12878","444","18601","26229","6765","7518","1877","3896","2872","12277","1733","1596","21","471","3861","3145","5561","824","549","78","7656","430","8763","1473","651","338774"
"September","2015","11320","14","196","1659","371","167","7503","203","1166","11242","262","801","10822","150","11708","1362","544","147","77528","1341","1191","94","498","2131","48","202","2741","720","728","19410","2272","139","23977","12314","449","17717","24864","6134","7574","1559","3590","2641","11687","1552","1543","17","350","3611","2779","5357","913","487","72","7278","409","8642","1417","634","316247"
"October","2015","11030","15","245","1772","368","392","7258","239","1227","14910","236","819","9779","165","12144","2116","727","163","72586","1745","1148","121","588","3012","54","284","3504","970","722","18802","2277","172","21916","11835","585","16891","24573","5976","8308","1562","3441","2973","11401","1930","1598","17","383","3581","2905","6499","1220","433","76","8419","443","7956","1690","661","316862"
"November","2015","11149","11","292","2373","390","971","7312","322","1446","18999","407","1021","8559","218","14613","2758","865","275","71685","2566","1119","245","806","5686","81","297","8118","1429","861","18956","2429","358","20738","12286","852","16416","24538","5930","10681","1779","3428","4144","11768","4473","1959","34","650","4033","3318","8394","1987","564","136","9814","488","8657","2290","987","346961"
"December","2015","11097","10","300","2815","449","1383","7452","390","1553","20283","581","1292","7004","223","19133","3092","943","368","72527","2925","1161","318","1075","6655","116","239","13637","1661","900","18961","2474","512","20629","12898","1013","16534","25280","6091","11652","2061","3474","5272","11699","6036","2430","50","999","4348","3669","9174","2522","727","176","12002","541","8923","2716","1203","373648"
"January","2016","12180","11","390","3439","536","1751","8418","426","1886","23205","730","1451","6562","267","21799","3715","1033","499","76696","3175","1289","390","1227","8148","154","197","15656","1665","988","19749","2829","631","21317","14361","1236","18030","26938","6634","13141","2278","3801","5936","12665","7077","3024","64","1232","4827","4338","10627","2761","923","237","13317","707","9004","3251","1418","410236"
"February","2016","11848","10","377","3304","488","1726","8173","398","1815","23792","684","1288","6381","269","23379","3709","981","509","76142","3061","1241","368","1074","8318","160","204","15300","1399","964","19891","2749","673","21603","13572","1192","18241","26484","6416","13083","2164","3782","5681","12872","7189","2807","63","1194","4648","3830","10873","2934","872","218","13420","676","8322","3130","1354","407295"
"March","2016","11969","10","397","3170","530","1626","8426","388","1859","23620","720","1274","6349","224","24425","3631","944","455","76199","3182","1245","369","1087","7987","151","184","14285","1335","938","19798","2863","639","21356","14124","1170","18205","26487","6508","12730","2065","3766","5088","13020","6996","2880","66","1068","4730","3878","11198","2896","878","209","13121","637","7727","3028","1367","405477"
"April","2016","11675","11","353","2621","468","1093","8090","294","1661","20221","532","992","9378","186","21904","2935","763","321","76490","2722","1273","254","753","6521","106","176","8908","1035","835","19911","2503","446","21220","13026","951","18386","25500","6412","10960","1687","3713","3470","12782","5345","2170","46","700","4233","3200","10158","2227","749","158","10736","557","7118","2126","1077","374138"
"May","2016","11409","19","290","2271","415","723","7813","211","1622","16084","449","825","9110","159","19296","2259","610","249","79176","2142","1242","187","552","4901","77","302","5001","848","803","19667","2463","246","21289","12484","752","18476","24972","6277","8905","1568","3638","2840","12445","2948","1807","29","462","3942","2955","8478","1784","626","102","8430","460","6916","1684","860","346550"
"June","2016","12029","13","247","2357","379","515","8020","165","1372","13654","431","809","9175","168","17012","2154","532","193","84400","1789","1295","137","493","3699","65","220","3017","831","715","20092","2358","156","23351","12828","562","19824","24997","6632","8646","1783","3714","2603","12653","1853","1759","25","363","4010","3037","7840","1392","602","69","7762","427","6963","1543","791","344521"
"July","2016","12521","11","266","2184","357","375","7997","168","1397","12677","434","815","11503","153","14742","1730","497","178","87807","1653","1324","130","487","3034","55","198","2707","782","706","21034","2397","128","26463","13117","475","20302","25852","6955","8079","1742","3895","2597","12828","1763","1675","21","359","3996","3237","6423","1016","618","77","8261","412","7750","1441","759","350560"
"August","2016","12399","12","244","1974","329","192","7897","187","1313","11694","339","795","11885","132","13227","1515","542","153","84026","1348","1354","124","527","2548","50","187","2530","800","707","20557","2344","101","26919","12854","477","19275","25439","6854","7381","1734","3836","2589","13015","1658","1558","19","345","3834","2947","5460","777","556","73","7931","396","8704","1319","672","338654"
"September","2016","11021","12","228","1652","318","212","7072","143","1235","11815","254","643","11085","124","12115","1422","530","153","74371","1256","1169","97","448","2197","57","205","2390","757","642","18333","2194","92","24648","11951","504","17761","23263","6046","7473","1563","3467","2482","12121","1459","1408","22","323","3560","2601","5207","868","416","62","7897","349","8213","1245","673","309824"
"October","2016","10866","15","225","1670","320","430","7102","195","1304","16123","242","715","10117","124","12573","1944","585","167","71986","1687","1162","117","548","2935","73","253","3008","777","653","18175","2238","128","23101","11958","541","17195","23008","6080","8059","1502","3482","2732","11878","1766","1478","21","375","3580","2707","6327","1204","370","70","9139","347","7918","1571","693","315559"
"November","2016","10756","15","286","2151","381","959","7328","287","1460","19399","372","855","8447","154","14941","2516","822","258","70522","2374","1183","186","820","4608","112","297","6677","1241","784","17723","2408","290","21735","12236","741","16972","23382","6196","10112","1600","3455","3787","11888","3837","1857","27","608","4038","3163","7879","1876","513","127","10345","419","8386","2174","860","338825"
"December","2016","10926","8","370","2800","482","1417","7639","285","1621","21130","630","997","6767","189","19441","3192","994","376","71682","3057","1247","284","1017","6743","145","188","13781","1602","850","17736","2602","472","20994","13577","965","17123","23456","6236","11760","1830","3558","5634","11746","5922","2335","52","933","4608","3655","9675","2590","760","155","12621","590","8503","2768","1232","373948"
"January","2017","11967","8","427","3454","577","1749","8422","344","1889","24721","772","1202","6800","212","22242","3811","1102","460","75873","3415","1311","348","1069","8234","161","164","15590","1665","957","18907","2991","614","22237","15019","1210","19089","25534","7046","13291","2040","3839","6359","12592","6941","2778","62","1102","5166","4107","10815","2823","901","203","14369","740","8598","3306","1438","413063"
"February","2017","11869","9","409","3475","519","1815","8522","344","1800","25154","756","1216","6503","210","22865","3972","981","480","77431","3300","1282","326","1031","8730","168","163","15800","1364","972","19455","2898","625","22094","14989","1238","18732","24675","6756","13281","1880","3812","6055","12695","7202","2767","67","1102","4956","3826","11018","3188","899","211","14266","690","7803","3230","1497","413373"
"March","2017","11737","13","364","2908","456","1611","8192","341","1671","23441","620","1127","6748","197","22574","3430","857","429","76071","3127","1275","315","968","7877","149","151","14054","1181","849","19160","2683","584","21076","13918","1139","18298","23859","6850","12202","1663","3789","5063","12361","6818","2449","57","972","4523","3406","10473","2830","819","195","13479","648","7040","2754","1263","393104"
"April","2017","11710","14","335","2788","436","1206","8057","321","1590","21114","616","1054","9475","181","19885","3075","798","344","78049","2763","1341","217","900","6758","113","139","10249","1040","831","19280","2652","495","20793","13743","978","18105","23492","6779","11047","1459","3848","3550","12224","5867","2344","55","704","4422","3315","10205","2645","790","168","11500","569","6675","2373","1201","376677"
"May","2017","11348","18","245","2203","386","776","7643","274","1522","16262","483","835","9526","144","16409","2226","589","229","77812","2113","1213","151","575","5035","76","261","5604","863","749","18878","2487","262","20078","12446","779","17900","22771","6561","8775","1360","3799","2771","11700","3366","1717","35","471","3872","2879","8550","1898","650","98","9361","466","6202","1621","907","338230"
"June","2017","11536","20","236","2190","338","442","7746","225","1331","13613","422","878","9429","121","14296","2099","539","172","82346","1664","1210","106","528","3939","53","237","3224","748","670","19069","2358","153","21951","12284","595","19057","22910","6859","8239","1394","3923","2508","11280","1759","1520","23","356","3723","2877","7477","1320","648","80","8199","369","6121","1426","735","329571"
"July","2017","12067","20","230","2172","327","347","7825","197","1244","12682","411","887","11872","136","12630","1608","520","157","84275","1540","1261","102","517","3202","50","201","2855","782","676","20449","2350","139","24637","12446","525","19474","24100","6974","8045","1547","3966","2543","11697","1711","1390","17","344","3781","2842","6460","1030","604","74","8903","385","7082","1378","731","336417"
"August","2017","11904","16","214","2002","303","158","7747","203","1189","11647","351","854","12269","115","11386","1377","502","161","79976","1271","1261","99","505","2625","46","194","2691","705","699","20339","2260","99","25663","11869","451","18440","23651","6956","7230","1540","3907","2509","11678","1546","1318","16","342","3649","2700","5296","807","532","62","8269","371","7688","1241","633","323532"
"September","2017","10383","14","192","1670","268","168","6861","183","1114","11447","259","646","11334","107","10221","1406","523","144","71414","1153","1120","99","433","2271","45","215","2456","631","655","18612","2109","97","23660","11048","427","16825","21897","5993","7043","1354","3487","2513","10763","1462","1289","18","308","3211","2363","4801","812","419","47","7832","332","7634","1134","617","295539"
"October","2017","10095","8","217","1647","288","249","6758","199","1111","15403","228","680","10311","126","10610","1745","703","157","68496","1442","1071","123","536","2774","67","262","3180","1416","662","18018","2092","131","21976","10701","523","15849","21663","5756","7532","1336","3386","2819","10450","1905","1371","12","379","3443","4330","5509","995","356","63","9224","353","7493","1359","624","300212"
"November","2017","9872","9","267","2184","310","863","6858","274","1270","18597","330","826","8685","156","13063","2350","841","241","67887","2046","1040","195","745","4454","112","272","6477","1231","760","17652","2241","292","20411","11110","729","15562","21899","5559","9588","1454","3183","3638","10806","3998","1659","21","627","3659","3174","7317","1809","468","99","10194","433","7882","1912","864","320455"
"December","2017","10028","9","306","2630","352","1315","6965","317","1362","20423","500","942","7197","176","18165","2877","960","364","68103","2709","1059","293","866","6174","159","231","13291","1475","792","17367","2319","416","19745","11614","972","15665","21713","5662","10978","1532","3130","5068","10620","5696","1973","37","946","3903","3135","8675","2429","617","145","12823","501","8242","2371","1066","349400"
"January","2018","10601","6","329","3139","454","1644","7630","365","1615","23246","648","1144","6464","204","21074","3540","1021","446","72369","3122","1165","329","1023","7628","181","182","15170","1466","855","17726","2559","548","19740","12925","1109","16684","22531","6099","12131","1712","3331","6083","11047","6631","2512","59","1119","4325","3466","9757","2694","822","188","14100","633","8222","2907","1291","380011"
"February","2018","10414","0","334","3009","470","1638","7354","302","1570","23929","607","1091","6331","215","21816","3558","889","458","71267","3061","1145","347","968","8040","182","183","15096","1149","833","17634","2526","570","19537","12497","1186","16448","21877","5850","12066","1526","3300","5593","10932","6924","2402","62","1146","4066","3255","9634","2831","829","222","14242","639","7218","2795","1231","375294"
"March","2018","10430","5","354","2865","496","1633","7449","278","1679","23758","634","1145","6680","210","22550","3437","938","431","71472","3208","1162","329","1012","7948","159","169","14099","1133","886","17623","2620","561","19478","12854","1198","16464","21494","5801","11907","1608","3294","5369","10995","6908","2607","52","1103","4157","3354","9856","2931","895","232","14215","581","6825","2790","1346","375667"
"April","2018","9965","9","307","2595","442","1245","7091","277","1527","21251","584","1075","9206","174","20342","3197","868","350","72044","2875","1166","235","883","6956","125","151","10158","1000","831","17723","2438","429","19036","11883","982","16587","20821","5500","10669","1497","3228","3916","10624","5984","2263","49","797","3807","2964","9392","2456","795","189","12627","504","6280","2130","1114","353613"
"May","2018","9618","13","243","2172","375","702","6688","215","1407","17103","465","834","9617","157","16914","2327","636","202","73297","2218","1098","172","582","5192","89","247","5937","763","786","17632","2262","227","18636","10979","832","16285","20305","5490","8637","1394","3187","2881","10120","3518","1750","28","516","3409","2556","8218","1757","681","125","10206","410","5923","1513","851","320397"
"June","2018","9983","15","195","2151","335","471","6770","188","1245","13539","395","841","9311","131","14227","2178","569","172","76325","1753","1094","137","552","4008","46","202","3014","671","695","17948","2125","112","20295","11120","632","17180","20652","5735","7815","1310","3245","2527","9881","1858","1527","21","389","3311","2518","7350","1360","552","85","8929","325","5792","1297","802","307906"
"July","2018","10422","13","186","2063","330","384","6856","207","1227","12570","416","893","11761","132","12423","1724","551","168","78506","1601","1141","114","515","3253","51","175","2589","722","657","18793","2213","105","22702","11487","508","17582","22007","5750","7611","1324","3394","2464","10068","1682","1492","20","370","3398","2491","6750","1036","660","73","8976","331","6529","1264","765","313495"
"August","2018","10119","12","172","1768","308","169","6671","220","1117","10661","308","815","12290","112","10397","1319","600","140","71721","1392","1169","273","547","2464","48","172","2266","607","615","18217","2109","84","23583","11075","435","15862","21661","5784","6740","1256","3356","2384","9929","1492","1353","17","327","3116","2318","5066","764","535","62","7770","302","7093","1112","656","292930"
"September","2018","9269","10","182","1569","285","174","6229","183","1045","10147","256","650","11526","115","9627","1246","546","129","66162","1153","1015","103","498","2092","46","196","2265","604","588","16572","1965","86","22097","10261","440","14897","20581","5134","6383","1236","3013","2247","9309","1304","1300","12","340","2976","2096","4598","787","448","54","7328","289","6953","1034","661","272311"
"October","2018","9377","8","196","1600","318","373","6220","238","1129","13187","205","701","10463","121","9706","1606","608","144","63994","1490","1091","136","531","2526","49","250","2943","592","592","16335","2089","125","21056","10192","497","14604","20784","5148","6922","1169","2934","2347","9010","1563","1306","14","344","2975","2093","5202","1065","388","63","8431","278","6702","1286","625","275941"
"November","2018","9320","6","218","2203","321","893","6216","293","1296","16561","349","828","9154","162","11018","2283","801","201","63173","1918","1046","186","690","3790","91","281","5680","864","682","16172","2194","283","19305","10554","659","14559","20712","5087","8900","1221","2903","2977","9131","3377","1514","19","543","3255","2411","6551","1738","514","89","9520","342","7274","1817","835","294980"
"December","2018","9535","7","298","3350","411","1311","6677","374","1527","19255","565","973","7580","192","16719","2972","972","332","63748","2639","1051","239","909","5977","147","230","12934","1247","730","16540","2414","460","19138","11681","1017","14663","20727","5142","10695","1403","2927","4726","9182","5604","2015","34","814","3927","2831","8147","2423","729","128","12232","468","7586","2413","1105","334072"
"January","2019","10398","12","359","3741","485","1673","7519","409","1770","23730","677","1415","6656","215","19581","3579","1059","437","68835","3112","1143","342","1140","7205","198","189","14920","1449","883","17150","2776","637","19366","13129","1201","15867","22300","5601","11739","1690","3071","5629","10081","6397","2740","62","1107","4615","3423","9082","2690","874","206","13737","648","7406","2941","1329","370625"
"February","2019","10313","12","368","3598","516","1777","7574","308","1844","24621","695","1325","6205","212","21765","3789","1005","447","68725","3199","1108","332","1160","8152","178","188","15490","1213","891","17577","2839","646","20409","13306","1325","16648","21915","5559","12549","1635","3068","5536","10291","6895","2743","55","1130","4477","3369","9730","3003","884","205","14652","680","7078","2996","1344","379554"
"March","2019","10031","10","331","3271","478","1653","7282","296","1707","23734","650","1145","6028","197","22060","3663","922","444","67970","3224","1111","276","1008","7721","162","171","13852","1065","808","17314","2684","619","19496","12824","1221","16172","21211","5550","11710","1558","3028","5068","10187","6571","2381","52","1040","4215","3280","9378","2949","871","196","14574","658","6312","2740","1251","366380"
