"pd_id","energy_star_partner","product_category","product_type","brand_name","model_name","model_number","additional_model_information","upc","energy_star_model_identifier"
"2262148","Elite Lighting","Light Fixtures","Directional Luminaire","Elite Lighting","B5IC-LED-XXL- OP-CCT-AT-TT-Y/Z","B5IC-LED-XXL- OP-CCT-AT-TT-Y/Z",",B25IC-LED-XXL- OP-CCT-AT-TT-Y/Z,; ,B6IC-LED-XXL- OP-CCT-AT-TT-Y/Z,; ,B6RIC-LED-XXL- OP-CCT-AT-TT- Y/Z,","","ES_1100455_B5IC-LED-XXL- OP-CCT-AT-TT-Y/Z_03092016112236_3828546"
"2262205","Elite Lighting","Light Fixtures","Directional Luminaire","Elite Lighting","RL607- XXL-CRI-CCT-Y/Z","RL607- XXL-CRI-CCT-Y/Z",",RL507- XXL-CRI-CCT-Y/Z,; ,RL530- XXL-CRI-CCT-Y/Z,; ,RL630-XXL-CRI-CCT-Y/Z,","","ES_1100455_RL607- XXL-CRI-CCT-Y/Z_02262016080019_9139062"
"2262206","Elite Lighting","Light Fixtures","Directional Luminaire","Elite Lighting","RL630-XXL-CRI-CCT-Y/Z","RL630-XXL-CRI-CCT-Y/Z",",B6IC-LED-XXL- OP-CCT-AT-TT-Y/Z,; ,RL607- XXL-CRI-CCT-Y/Z,; ,RL625-XXL-CRI-CCT-Y/Z,; ,RL663-XXL-CRI-CCT-Y/Z,","","ES_1100455_RL630-XXL-CRI-CCT-Y/Z_02262016072534_6361505"
"2262217","The Home Depot","Light Fixtures","Indoor Non-Directional Luminaire","Hampton Bay","HBLED1033-X","HBLED1033-X","","","ES_31912_HBLED1033-X_03102016234127_3287259"
"2262218","The Home Depot","Light Fixtures","Indoor Non-Directional Luminaire","Hampton Bay","HBLED1034-X","HBLED1034-X","","","ES_31912_HBLED1034-X_03102016235326_4006537"
"2262234","American Lighting Company, Inc.","Light Fixtures","Directional Luminaire","USGL","SSL  Downlight Retrofits","L/DL6/12/XU/950/K001","","","ES_1128069_L/DL6/12/XU/950/K001_03112016095955_6498968"
"2262235","NuWave, LLC.","Light Fixtures","Directional Luminaire","ALSET","SSL Downlight Retrofit Kits","51550","","","ES_1128018_51550_03112016100459_9721617"
"2262236","NuWave, LLC.","Light Fixtures","Directional Luminaire","ALSET","SSL Downlight Retrofit Kits","51551","","","ES_1128018_51551_03112016100459_6657487"
"2262237","NuWave, LLC.","Light Fixtures","Directional Luminaire","ALSET","SSL Downlight Retrofit Kits","51650","","","ES_1128018_51650_03112016100951_7131438"
"2262238","NuWave, LLC.","Light Fixtures","Directional Luminaire","ALSET","SSL Downlight Retrofit Kits","51651","","","ES_1128018_51651_03112016100951_4425839"
"2262239","NuWave, LLC.","Light Fixtures","Directional Luminaire","ALSET","SSL Downlight Retrofit Kits","51652","","","ES_1128018_51652_03112016101011_1764759"
"2262240","NuWave, LLC.","Light Fixtures","Directional Luminaire","ALSET","SSL Downlight Retrofit Kits","51653","","","ES_1128018_51653_03112016101011_4886353"
"2262241","NuWave, LLC.","Light Fixtures","Directional Luminaire","ALSET","SSL Downlight Retrofit Kits","51654","","","ES_1128018_51654_03112016101029_4923680"
"2262242","NuWave, LLC.","Light Fixtures","Directional Luminaire","ALSET","SSL Downlight Retrofit Kits","51655","","","ES_1128018_51655_03112016101029_1935108"
"2262244","Globe Electric Inc.","Light Fixtures","Directional Luminaire","Globe","Portable Desk Task","12643","","","ES_31577_12643_03112016101046_1074133"
"2262245","Globe Electric Inc.","Light Fixtures","Directional Luminaire","Globe","Portable Desk Task","12643","","","ES_31577_12643_03112016101046_2267445"
"2262246","Globe Electric Inc.","Light Fixtures","Directional Luminaire","Globe","Portable Desk Task","12643","","","ES_31577_12643_03112016101046_2589821"
"2262247","Globe Electric Inc.","Light Fixtures","Directional Luminaire","Globe","Portable Desk Task","12643","","","ES_31577_12643_03112016101046_9068779"
"2262248","Globe Electric Inc.","Light Fixtures","Directional Luminaire","Globe","Portable Desk Task","12643","","","ES_31577_12643_03112016101046_7730074"
"2262249","Globe Electric Inc.","Light Fixtures","Directional Luminaire","Globe","Portable Desk Task","12644","","","ES_31577_12644_03112016101046_7819962"
"2261401","Rayon Lighting Group, Inc.","Light Fixtures","Directional Luminaire","Rayon Lighting","LED Under Cabinet Light","RULA-48-35","","","ES_1120869_RULA-48-35_03032016115052_8274499"
"2261402","Rayon Lighting Group, Inc.","Light Fixtures","Directional Luminaire","Rayon Lighting","LED Under Cabinet Light","RULA-48-40","","","ES_1120869_RULA-48-40_03032016115052_2613112"
"2261403","Rayon Lighting Group, Inc.","Light Fixtures","Directional Luminaire","Rayon Lighting","LED Under Cabinet Light","RULA-48-50","","","ES_1120869_RULA-48-50_03032016115052_3089101"
"2261404","Nicor Inc.","Light Fixtures","Directional Luminaire","NICOR","LED Downlight","ADL8-1048-UNV with ADL8-1048-MDL-#K-$$",",,Where # represents 3,4,5,which is used for distinction of different color temperatures, 3K is for 3000K, 4K is for 4000K, 5K is for 5000K, Where $$ represents letter A-Z which are used for distinction of trim finishes.","","ES_1102966_ADL8-1048-UNV with ADL8-1048-MDL-#K-$$_03032016115033_8109353"
"2261405","Nicor Inc.","Light Fixtures","Directional Luminaire","NICOR","LED Downlight","ADL8-1048-UNV with ADL8-1048-MDL-#K-$$",",,Where # represents 3,4,5,which is used for distinction of different color temperatures, 3K is for 3000K, 4K is for 4000K, 5K is for 5000K, Where $$ represents letter A-Z which are used for distinction of trim finishes.","","ES_1102966_ADL8-1048-UNV with ADL8-1048-MDL-#K-$$_03032016115033_5978368"
"2261406","Nicor Inc.","Light Fixtures","Directional Luminaire","NICOR","LED Downlight","ADL8-1048-UNV with ADL8-1048-MDL-#K-$$",",,Where # represents 3,4,5,which is used for distinction of different color temperatures, 3K is for 3000K, 4K is for 4000K, 5K is for 5000K, Where $$ represents letter A-Z which are used for distinction of trim finishes.","","ES_1102966_ADL8-1048-UNV with ADL8-1048-MDL-#K-$$_03032016115033_6941616"
