"pd_id","energy_star_partner","brand_name","model_name","model_number","additional_model_information","upc","product_type","fuel_type","efficiency_afue","date_available_on_market","date_qualified","markets","energy_star_model_identifier","can_integrate_hot_water_heating","meets_most_efficient_criteria"
"2328556","Carrier Corporation","Bryant","BWM Series","BWMAAN000075","","","Boiler","Natural Gas,Propane Gas","95","2013-12-21T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1020846_BWMAAN000075_10292018191430_3433786","No","Yes"
"2328558","Carrier Corporation","Bryant","BWM Series","BWMAAN000100","","","Boiler","Natural Gas,Propane Gas","95","2013-12-21T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1020846_BWMAAN000100_10292018191435_5779291","No","Yes"
"2328560","Carrier Corporation","Bryant","BWM Series","BWMAAN000150","","","Boiler","Natural Gas,Propane Gas","95","2013-12-21T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1020846_BWMAAN000150_10292018191440_0076643","No","Yes"
"2328562","Carrier Corporation","Bryant","BWM series","BWMAAN000200","","","Boiler","Natural Gas,Propane Gas","95","2012-10-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1020846_BWMAAN000200_10292018191446_7372618","No","Yes"
"2323526","Carrier Corporation","Bryant","BWM series","BWMAAN000299","","","Boiler","Natural Gas,Propane Gas","95","2013-12-21T00:00:00.000","2020-02-21T00:00:00.000","United States, Canada","ES_1020846_BWMAAN000299_07312018204456_2066034","No","Yes"
"2359746","Carrier Corporation","Carrier","BW9","BW9AAN000050*","","","Boiler","Natural Gas,Propane Gas","90","2012-08-01T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1020846_BW9AAN000050*_05142020222531_9312979","No","No"
"2359744","Carrier Corporation","Carrier","BW9","BW9AAN000075*","","","Boiler","Natural Gas,Propane Gas","90","2012-08-01T00:00:00.000","2021-11-09T00:00:00.000","United States, Canada","ES_1020846_BW9AAN000075*_05142020222532_5230106","No","No"
"2321184","Allied Engineering Company Div. of E-Z-Rect Manufacturing Ltd.","INTERGAS","Intergas","HSE-125-N","","","Boiler","Natural Gas","92","2010-10-15T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016086_HSE-125-N_06112018201540_1347861","Yes","No"
"2321186","Allied Engineering Company Div. of E-Z-Rect Manufacturing Ltd.","INTERGAS","Intergas","HSE-125-P","","","Boiler","Propane Gas","92","2010-08-15T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016086_HSE-125-P_06112018201548_4500944","Yes","No"
"2313199","Allied Engineering Company Div. of E-Z-Rect Manufacturing Ltd.","INTERGAS","Intergas","HSE-145-N","","","Boiler","Natural Gas","92","2012-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1016086_HSE-145-N_03232018154249_9491181","No","No"
"2313203","Allied Engineering Company Div. of E-Z-Rect Manufacturing Ltd.","INTERGAS","Intergas","HSE-145-N","","","Boiler","Natural Gas","92","2012-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016086_HSE-145-N_03232018154301_3385804","Yes","No"
"2313201","Allied Engineering Company Div. of E-Z-Rect Manufacturing Ltd.","INTERGAS","Intergas","HSE-145-P","","","Boiler","Propane Gas","92","2012-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1016086_HSE-145-P_03232018154255_7833932","No","No"
"2313205","Allied Engineering Company Div. of E-Z-Rect Manufacturing Ltd.","INTERGAS","Intergas","HSE-145-P","","","Boiler","Propane Gas","92","2012-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016086_HSE-145-P_03232018154305_9493299","Yes","No"
"2321185","Allied Engineering Company Div. of E-Z-Rect Manufacturing Ltd.","Super Hot","Intergas","HSE-125-N","","","Boiler","Natural Gas","92","2010-08-15T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016086_HSE-125-N_06112018201544_6026897","Yes","No"
"2321187","Allied Engineering Company Div. of E-Z-Rect Manufacturing Ltd.","Super Hot","Intergas","HSE-125-P","","","Boiler","Propane Gas","92","2010-08-15T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1016086_HSE-125-P_06112018201551_9910328","Yes","No"
"2313200","Allied Engineering Company Div. of E-Z-Rect Manufacturing Ltd.","Super Hot","Intergas","HSE-145-N","","","Boiler","Natural Gas","92","2012-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1016086_HSE-145-N_03232018154253_8455597","No","No"
