"item","nombre_del_establecimiento","nombre_del_representante","fecha_de_apertura_del","direcci_n"
"411","LINEA DE TORNILLOS J . S.","MOLINA RODRIGUEZ FREDY","2011-03-30T00:00:00.000","C 7 18 39 BR RAMIREZ"
"412","CANTINA EL PINO","MOLINA WILLIAM GONZALO","2016-01-01T00:00:00.000","BR LA LIBERTAD"
"413","VIVERO LA CASA DEL ARBOL","MONDRAGON VELEZ JOHANA","2017-02-20T00:00:00.000","C 6 29 51 BR DOCE DE OCT"
"414","J MOVEL DE SERVICIOS E INGENIERIA SAS","MONDRAGON VELEZ JOHANA","2018-03-23T00:00:00.000","C 8 14 26 BR EL PRADO"
"415","DISTRIBUIDORA CEL .COM","MONTAÑEZ CELY BLANCA LISSETH","2006-02-13T00:00:00.000","CALL 7 - 18 - 74"
"416","AGROVETERINARIA EL LLANERO","MONTAÑEZ JAIMES ESTEBAN","2008-01-30T00:00:00.000","K 16A 7 07 BR RAMIREZ"
"417","ALMACEN D`NACHO  SHOES","MONTERO TRIANA JOSE IGNACIO","2001-12-13T00:00:00.000","C 7 22 39 BR CENTRO"
"418","VARIEDADES NAYELY","MONTERREY JAIMES MARIA ANGELA","2015-10-07T00:00:00.000","C 714 66 BR RAMIREZ"
"419","SALA DE BELLEZA MECHIS","MONTERREY JAIMES MERCEDES","2008-02-01T00:00:00.000","C 7 16 13 BR RAMIREZ"
"420","CARNES MONTERREY","MONTERREY JHON FREDY","2018-06-01T00:00:00.000","K 22 7 08 BR CENTRO"
"421","VERDURERIA LA ESQUINA","MORA ANA CECILIA","2012-01-01T00:00:00.000","K 5 6 62 CARANAL"
"422","RICO POLLO","MORA OMAIRA","2017-01-01T00:00:00.000","K 5 6 05 CARANAL"
"423","CACHARRERIA  Y MODISTERIA TODO LINDO","MORA SEPULVEDA GLADYS","2003-01-01T00:00:00.000","C 7 24 53 BR CENTRO"
"424","TIENDA EL PARAISO","MORALES AVILA ANA JACQUELINE","2017-01-01T00:00:00.000","INVASION"
"425","Y & N INGENIERIA Y SERVICIOS S.A.S","MORALES CESPEDES NEIDY","2016-01-01T00:00:00.000","C 10 A 16A 45 BR EL ROBLE"
"426","CASETA LA PALMA","MORALES MARIA EUGENIA","2017-01-01T00:00:00.000","C 4 28 21 BR EL BOSQUE"
"427","CONTRATACION","MORALES MORALES AMPARO","2019-01-22T00:00:00.000","SARAVENA"
"428","PLUQUERIA ANGIE YULIETH","MORALES ORJUELA CLAUDIA ANDREA","2015-01-01T00:00:00.000","K 24 7 25 BR CENTRO"
"429","MICROMERCATODO","MORENO DURAN BENIGNO","2001-06-29T00:00:00.000","C 7 23 07 BR CENTRO"
"430","SERVI REPUESTOS NORBEY","MORENO ESTUPIÑAN NORBEIS","2016-01-01T00:00:00.000","C 7 14 12 BR RAMIREZ"
"431","INTERNET","MORENO JOSEFINA","2017-01-01T00:00:00.000","K 22 7 18 BR CENTRO"
"432","MUEBLERIA UNIVERSAL","MORENO MERCHAN NELSON ENRIQUE","1992-05-29T00:00:00.000","C 7 23 15 BR CENTRO"
"433","ALMACEN GUAYACAN","MORENO VALBUENA MARLENE","1989-03-02T00:00:00.000","C 7 24 26 BR CENTRO"
"434","VIDEO JUEGOS GAME ZONE","MORGAN SAUL","2015-01-01T00:00:00.000","C 7 16A 07 BR RAMIREZ"
"435","EXPENDIO DE BEBIDAS ALCOHOLICAS","MUÑOZ GONZALEZ FLOR ALBA","2017-01-01T00:00:00.000","C 7 K 26  BR CENTRO"
"436","ALMACEN DE REPUESTOS ELECTROCADS","MURCIA BENAVIDES MARITZA  YELINE","1994-08-23T00:00:00.000","CLL 7 Nº 14-12 B. RAMIREZ"
"437","VIVERES YINA","NAJAR ELIA SUSANA","2010-01-01T00:00:00.000","C 8 5 60 CARANAL"
"438","CARICARE DE SERVICIOS INTEGRALES","NEIRA GALVIS BELARMINO","2018-01-01T00:00:00.000","K 15 10A 07 BR RAMIREZ"
"439","ASOCIACION LA VILA DE DEPORTISTA","NEIRA GALVIS BELARMINO","2016-01-01T00:00:00.000","C 7 22 32  BR CENTRO"
"440","COMPRAVENTA B Y N","NEIRA GALVIZ LEONARDO","2017-04-05T00:00:00.000","C 10 18 19 BR EL ROBLE"
"441","CONSTRUCCIONES SUMINISTROS BNT SAS","NEIRA GALVIZ LEONARDO","2018-01-01T00:00:00.000","K 24 6 45"
"442","NESITELCO S.A","NESITELCO S.A","2014-07-25T00:00:00.000","KM 7 AUT MEDELLIN CELTA TRADE"
"443","FLORIPLAS","NIÑO ARENAS FLOR MARIA","2015-01-01T00:00:00.000","K 24 7 25 BR CENTRO"
"444","CRIA DE GANADO BOVINO","NIÑO DAZA HERLEY","2013-12-10T00:00:00.000","VEREDA LOS LIRIOS"
"445","TALLER SACATOCO LATONERIA & PINTURA","NIÑO DAZA ORLINDA","2009-07-02T00:00:00.000","K 12 5 21 BR RAMIREZ"
"446","EXPLOSION PAISA","NOREÑA SERNA LUIS  EDUARDO","2015-12-15T00:00:00.000","C 7 19 15 BR RAMIREZ"
"447","NORGAS","NORTESANTANDEREANA DE GAS S.A","2011-09-15T00:00:00.000","FORTUL"
"448","OPTICA DAME TUS OJOS JESUS","OJEDA PARALES SILVIA ELIZABETH","2017-08-01T00:00:00.000","C 7 14 57 BR RAMIREZ"
"449","OLEODUCTO BICENTENARIO DE COLOMBIA","OLEODUCTO BICENTENARIO DE COLOMBIA","2013-01-01T00:00:00.000","CRA 11  84-09- PISO 8"
"450","VARIATODO VANEONE","OLIVEROS CANDELO DARLIN PAOLA","2017-01-01T00:00:00.000","C 7 17 60 BR RAMIREZ"
"451","LA SENSACION DE LA ECONOMIA","OLIVEROS CANDELO DARLIN PAOLA","2017-01-01T00:00:00.000","C 7  17 45 BR RAMIREZ"
"452","SALA DE BELLEZA D´H ALEJANDRA","ORTEGA CALDERON DEISY JOHANA","2016-01-01T00:00:00.000","C 7 26 25 BR 12 OCTUBRE"
"453","SALA DE BELLEZA STEVES","ORTEGA ROBAYO SANDRA MILENA","2018-02-01T00:00:00.000","C 7 24 07 BR CENTRO"
"454","CANTINA STELLA","ORTEGA STELLA",,"C 7"
"455","COMPRAVENTA DE CACAO Y MOTOREPUESTOS ORTIZ.","ORTIZ DELGADO MARCO ANTONIO","2005-02-28T00:00:00.000","CALLE 7 - 12 - 27"
"456","CORFORIENTE","ORTIZ DELGADO MARCO ANTONIO","2017-01-01T00:00:00.000","K 24 6 8 BR CENTRO"
"457","ALMACEN NUEVO RECORD`S FORTUL","ORTIZ DELGADO ROS MIRIAN","2008-07-23T00:00:00.000","C 7 16A 18 BR RAMIREZ"
"458","FLORISTERIA EUFLOWER","ORTIZ HIGUERA VIRGELINA","2005-04-29T00:00:00.000","BARRIO RAMIREZ"
"459","VENTA DE COMIDAS RAPIDAS","ORTIZ HIGUERA VIRGELINA","2013-10-17T00:00:00.000","HOSPITAL SAN FRANCISCO"
"460","LACTEOS ORTIZ SAS ZOMAC","ORTIZ RAMIREZ PEDRO SIMON","2016-01-01T00:00:00.000","C 5 15 51 BR RAMIREZ"
"461","LACTEOS ORTIZ","ORTIZ RAMIREZ PEDRO SIMON","2017-03-21T00:00:00.000","VEREDA PALO DE AGUA"
"462","VIVERES KARINA","ORTIZ ROSA NELLY","2004-11-25T00:00:00.000","VEREDA LOS ANDES"
"463","COMPRA Y VENTA DE CACAO LOS ALMENDROS","ORTIZ RUEDA MARCO ANTONIO","2004-10-29T00:00:00.000","C 7 12 29 BR RAMIREZ"
"464","HELADERIA SIMSOMP","OSORIO YESICA",,"C 7 20"
"465","MERCA FRUVER GALOT","OTALVAREZ COLEY ANGIE TERESA","2013-11-21T00:00:00.000","C 7 16A BR RAMIREZ"
"466","CALZADO TROPICANA","PABON  GUERRERO FRANYER","2016-01-01T00:00:00.000","C 7 2 038 BR CENTRO"
"467","CANCHA DE BOLO Y TEJO","PABON BLANCO BLANCA MIRIAM","2016-01-01T00:00:00.000","C 7 13 28 52 BR RAMIREZ"
"468","ESQUINA EL PULAZO","PABON MARIA HERMELINDA","2019-03-12T00:00:00.000","C 6 20 02 BR CENTRO"
"469","VIVERO LA ORQUIDEA","PABON NORELYS","2017-01-01T00:00:00.000","C 7 22 13 BR CENTRO"
"470","MICROMERCADO EL PROGRESO","PABON ROJAS JAIME","2016-01-01T00:00:00.000","C 9 20 04 BR EL ROBLE"
"471","LABORATORIO CLINICO DEL LLANO","PAEZ GARCIA JORGE ENRIQUE","2001-06-29T00:00:00.000","C 7 16A 10 BR RAMIREZ"
"472","DROGUERIA NUEVO CARANAL","PAEZ SOLFANY","2006-10-18T00:00:00.000","CARANAL"
"473","ALMACEN CICLO PINO","PALOMINO HORTUA ROSA ELENA","2006-10-10T00:00:00.000","C 7 18 19 BR RAMIREZ"
"474","EL SEÑOR DE LOS QUESOS","PARADA CUERVO ROSALBA","2008-01-11T00:00:00.000","SALIDA A ALTO BELLO EN CARANALA"
"475","ALMACEN YANETEX","PARADA FONSECA LUZ YANETH","2005-03-08T00:00:00.000","CALL 7 -  20 - 08"
"476","NOTARIA UNICA DE FORTUL","PARADA NEIDA ROCIO","2016-01-01T00:00:00.000","K 23 6 41 BR CENTRO"
"477","ALMACEN SAOS MODA","PARADA QUINTANA OWALDO","2009-02-03T00:00:00.000","C 7 21 29 BR CENTRO"
"478","TALLER DE METALURGICA PIS","PARDO NULBER",,"C 7 16 13 BR RAMIREZ"
"479","PANADERIA CREMA PAN TORTICAS","PARRA DUEÑAS ALDRUAL","2009-09-03T00:00:00.000","BARRIO CENTRO"
"480","ESTADERO Y RESTAURANTE EL PALMAR","PARRA FERREIRA JOSE HOMERO","2013-04-16T00:00:00.000","CARANAL"
"481","DISCOTECA SAN PARRANDA","PARRA WALTEROS JOSE LUIS","2005-05-06T00:00:00.000","K 26 6 39 BR 12 DE OCT"
"482","TIENDA MI GRAN BENDICION","PARRA YEFERSON ANDRES","2016-01-01T00:00:00.000","CASERIO PALMARITO"
"483","ALMACEN SIN NOMBRE","PASTRANA VARGAS HUGO FERNELY","2001-12-28T00:00:00.000","CALLE 7 - 20 - 05"
"484","TECNO GRAFIC DISEÑOS REFLECTIVOS","PATIÑO MONTERREY WILLIAM ERNESTO","2014-01-01T00:00:00.000","C 7 12 91 BR RAMIREZ"
"485","FRUTAS Y VERDURAS COUNTRY FRESH","PEDRAZA GUTIERREZ  CARLOS ARTURO","2011-03-31T00:00:00.000","C 7 - 27 - 62 BR 12 OCT"
"486","ACULFOR","PEÑA CAMACHO LUZ AMANDA","2015-01-01T00:00:00.000","K 21 8 50 BR EL PROGRESO"
"487","PAPELERIA Y VARIEDADES @ PUNTO COM","PEÑA CAVANZO DELFA","2012-01-13T00:00:00.000","C 7 13 45 BR RAMIREZ"
"488","ALMACEN DE CALZADO ECUASUSI","PEÑA ISAMA MARIA SUSANA","2013-01-01T00:00:00.000","C 7 20 38 BR CENTRO"
"489","ALMACEN DE ROPA ECUASUSI","PEÑA ISAMA MARIA SUSANA","2013-01-01T00:00:00.000","C 7 20 48 BR CENTRO"
"490","ESTACION DE SERVICIOS JULY JULY","PEÑA JAIMES ELVIRA","2003-12-15T00:00:00.000","CARANAL"
"491","LONCHERIA BARBACOA","PEÑA LUIS ALEJANDRO","2014-01-01T00:00:00.000","C 7 17  47 BR RAMIREZ"
"492","VARIEDADES KLASSY","PEÑA RODRIGUEZ LAUDY MILENA","2017-04-01T00:00:00.000","K 20 8 29 BR EL PROGRESO"
"493","TIENDA YOU REFRESH","PEÑALOZA BASTOS LUZ MARINA","2004-03-18T00:00:00.000","CRA 16 7 - 41"
"494","VIVERES SHADAY","PEÑARANDA AYDE MARINA","2017-01-01T00:00:00.000","C 9  K 25 BR VILLA LUCIA"
"495","VIVERES SELOMI","PEREZ PARADA YANETH","2012-01-01T00:00:00.000","K 25 7 68 BR 12 OCTUBRE"
"496","CENTRO DE BELLEZA LORENA","PEREZ ROBAYO JAQUELINE","2015-01-01T00:00:00.000","C 7 21 56 BR CENTRO"
"497","VENTA DE VERDURAS","PEREZ RODRIGUEZ MARIA ANGELA","2017-03-15T00:00:00.000","CARANAL"
"498","DPS MULTISERVICIOS","PEREZ SILVA DANILO","2013-03-22T00:00:00.000","BARRIO CENTRO"
"499","LAS VARIEDADES DE GABY Y MALEJA","PEREZ SILVA SANDRA LIZETTE","2017-01-01T00:00:00.000","C 7 22 31 BR CENTRO"
"500","ALMACEN DE ROPA MOJAMEE P.C","PERUGACHI CRIOLLO JOAQUIN","2012-01-01T00:00:00.000","C 7 19 56 BR RAMIREZ"
"501","ALMACEN AGUILAR","PERUGACHI CRIOLLO JOAQUIN","2012-01-01T00:00:00.000","C 7 21 63"
"502","ALMACEN DE ROPA LLANO 2","PERUGACHI CRIOLLO PEDRO","2016-01-01T00:00:00.000","7 21 63 65 BR CENTRO"
"503","ALMACEN DE ROPA SUSANA","PERUGACHI CRIOLLO SUSANA","2007-01-01T00:00:00.000","C 7 21 15"
"504","VIVERES CAMILA","PICO GOMEZ WILLIAM","2017-01-01T00:00:00.000","C 7 14A 52 BR 3 DICIEMBRE"
"505","EL ALMENDRO","PICON CENOBIA","2004-04-23T00:00:00.000","PUERTO NIDIA"
"506","GRANJA MARYORY","PIEDRAHITA MARTINEZ GLADYS","2017-08-11T00:00:00.000","VEREDA SALIBON"
"507","TALLER DE MOTOS PINTO´S","PINTO DAZA EIVER FABIAN","2014-01-01T00:00:00.000","K 12 BR RAMIREZ"
"508","VIVERES PINTO "" S","PINTO MORENO ARNULFO","2004-02-23T00:00:00.000","C 6 K 15 ESQ BR RAMIREZ"
"509","LACTEOS EL CEBU Y QUESERA DEL LLANO","PITA TAPIAS JOSE DAVID","2008-01-25T00:00:00.000","BARRIO RAMIREZ"
"510","PANADERIA LAS BUMANGUESAS","PLATA ORLANDO","2017-01-01T00:00:00.000","C 5 5 75 CARANAL"
"511","DROGUERIA CHIQUI","POVEDA PEREZ CARLOS FERNANDO","1999-08-18T00:00:00.000","C 7 22 25 BR CENTRO"
"512","TIENDA NATURISTA MIS HUELLAS DE AMOR","PRADA ORTIZ YOLANDA","2017-01-01T00:00:00.000","K 18 7 20 BR RAMIREZ"
"513","LACTEOS EL RANCHO JC","PRADA RODRIGUEZ TATIANA ALEXANDRA","2018-01-23T00:00:00.000","C 8B13 73 BR EL ALCARAVAN"
"514","PROGESTAR","PROGESTAR","2014-01-01T00:00:00.000","K 25 6 06 BR CENTRO"
"515","PREFABRICADOS","PUENTES SOLOZA CARLOS ARTURO","2003-01-01T00:00:00.000","C 6 26 68 BR 12 OCT"
"516","AUTO SERVICIO MERCA MARYI","PUMAREJO BALMACEDA MILDRETH","2003-07-15T00:00:00.000","C 7 20 63 BR CENTRO"
"517","VIVERES TODO AL COSTO","QUINTERO LUIS ANGEL","2001-02-06T00:00:00.000","SITIO NUEVO"
"518","INFANTILES MARGARETH","QUINTERO MANRIQUE MARGARITA","2005-04-29T00:00:00.000","K 16  7- 65 BR RAMIREZ"
"519","FRUTAS VERDURAS Y VIVERES QUINTERO","QUINTERO SOLANO GONZALO","2005-03-02T00:00:00.000","C 6 4 47 CARANAL"
"520","TALLER DE MECANICA Y LATONERIA CARO","QUINTO LUIS","2012-01-01T00:00:00.000","C 12 BR RAMIREZ"
"521","AUTOSERVICIO MERCA FRANK","QUIÑONEZ MANTILLA OLAIRA","2016-01-01T00:00:00.000","C 8 16A 57 BR EL ROBLE"
"522","RESTAURANTE CASERO","QUIROGA NESTOR",,"C  19 61 BR RAMIREZ"
"523","CONSTRUCCIONES Y SERVICIOS ALIANZA LTDA","QUIROGA PARDO GERARDO","2016-01-01T00:00:00.000","C 8 14 29 BR RAMIREZ"
"524","DROGUERIA EL SARARE.2","QUITIAN HERRERA MIGUEL ROBERTO","2016-02-26T00:00:00.000","C 7 17 66 BR RAMIREZ"
"525","TIENDA DOÑA FLOR","RAMIREZ  ARIAS FLOR ANGELA","2009-03-31T00:00:00.000","C 8 20 03 BR EL PROGRESO"
"526","CD´S PRINTER","RAMIREZ ARIAS ELISEO","2016-05-12T00:00:00.000","C 7 24 17 BR CENTRO"
"527","ALMACEN Y MODISTERIA LINDA MODA","RAMIREZ AVILA EDDY","2001-06-29T00:00:00.000","BARRIO CENTRO"
"528","PANADERIA NUTRI LLANO","RAMIREZ DIAZ TOBIT","2014-01-27T00:00:00.000","K 19A 11A 26"
"529","CONSTRUCCIONES SERVICIOS Y SUMINISTROS DEL ORIENTE ESC S.A","RAMIREZ GUZMAN SERGIO ANDRES","2016-01-01T00:00:00.000","K 20 9 67 BR EL ROBLE"
"530","OPTICA JUNIOR","RAMIREZ HOLGUIN DAVID","2018-08-13T00:00:00.000","C 7 14  57 BR RAMIREZ"
"531","CRISTALERIA JOSELYN","RAMIREZ SALAS  OLIVA","2005-04-29T00:00:00.000","K 22 65 63 BR RAMIREZ"
"532","AGRO MASCOTAS","RAMIREZ VEGA CESAR DAVID","2016-01-28T00:00:00.000","C 7 12 90 BR RAMIREZ"
"533","MOTOMAX","RANGEL ANA MILENA","2008-01-23T00:00:00.000","KRA 24  - 6 21"
"534","VIVERES SIN NOMBRE","RANGEL BELLANITT","2017-01-01T00:00:00.000","C 9 27 53 BR MILTON BASTO"
"535",,"REATIGA REATIGA ALIRIO",,
"536","APUESTAS GANE","RED DE SERVICIOS DE LA ORINOQUIA  EL CARIBE","2012-01-01T00:00:00.000","C 7 17 68 BR RAMIREZ"
"537","ALMACEN NUEVO CARANAL","REMOLINA MARIA GLADYS","2017-01-01T00:00:00.000","K 5 6 40 CARANAL"
"538","CONUCO DE LA SALUD","RESTREPO BERNAL DORIAN","2014-02-17T00:00:00.000","C 7 20 05 BR CENTRO"
"539","CANTINA EL ALMENDRO","REYES CUBIDES CECILIA","2016-01-01T00:00:00.000","CASERIO PALMARITO"
"540","VETERINARIA GANA CAMPO","RINCON LIZARAZO PEDRO RICARDO","2004-03-17T00:00:00.000","C 7 19 - 28 BR RAMIREZ"
"541","TALLER DE METALURGIA RINCON","RINCON VEGA HECTOR","1985-05-08T00:00:00.000","CALL 8 4 - 40"
"542","ESTADERO LA TRAVESURA","RINCON VEGA HECTOR","2006-05-01T00:00:00.000","C 8 25 -10 BR CENTRO"
"543","TIENDA EL ALMENDRO","RINCON ZENAIDA","2003-01-01T00:00:00.000","PUERTO NIDIA"
"544","AMBULANTE ESTACIONARIA","RIVERA CHAVEZ BERNARDO","2015-10-16T00:00:00.000","K 19 6 BR RAMIREZ"
"545","ALMACEN Y TALLER TRAE TU MOTO","RIVERA PALENCIA YESLEY","2017-01-01T00:00:00.000","C 6 21 07 BR UNIDOS"
"546","DROGUERIA EL RETORNO","ROCHA APOLINAR LUIS EDILBERTO","1994-03-17T00:00:00.000","C 7 16 21 BR RAMIREZ"
"547","VARIEDADES SE LE TIENE","ROCHA JESSICA ALEXANDRA",,"C 7 16 71 BR RAMIREZ"
"548","FARMA NATURAL MEDIKAL A TU SALUD","RODRIGUEZ ANTOLINEZ SONIA RUBIELA","2019-03-22T00:00:00.000","K 24 6 22 BR CENTRO"
"549","UNE EPM TELECOMUNICACIONES S.A","RODRIGUEZ CABALLERO LUIS GERARDO","2017-01-01T00:00:00.000","K 16 11 A SUR 100"
"550","COLOMBIA MOVIL S.A ESP   (TIGO)","RODRIGUEZ CABALLERO LUIS GERARDO","2017-01-01T00:00:00.000","AV CL 26 92 32 MD G 1"
"551","AUTOLAVADO OSCAR","RODRIGUEZ GALVIS ELENA","2005-04-29T00:00:00.000","C 8 21 25 BR EL CENTRO"
"552","CANTINA LOS GUERRERO","RODRIGUEZ GALVIS ELENA","2015-10-07T00:00:00.000","C 8 21 25 BR CENTRO"
"553","ESTADERO LOS ALMENDROS","RODRIGUEZ GLADYS","2017-01-01T00:00:00.000","C 10 23 77 BR EL PROGRESO"
"554","VIVERES  LA ESPERANZA","RODRIGUEZ MARIN OLGA","2017-03-01T00:00:00.000","K 25 8 01 BR CENTRO"
"555","CONTRATACION","RODRIGUEZ NEVIS ELENA","2016-01-01T00:00:00.000","FORTUL"
"556","BAR DUBAY","RODRIGUEZ RAMIREZ ANA ISABEL","2016-01-01T00:00:00.000","C 7 26 04 BR DOCE DE OCT"
"557","LUBRICANTES Y REPUESTOS KAM","RODRIGUEZ ROA JULY THATIANA","2018-04-01T00:00:00.000","CASERIO PALMARITO"
"558","ALMACEN GANGAZO DE LA ZAPATILLA","RODRIGUEZ SALAZAR YERLIX","2017-11-01T00:00:00.000","C 7 21 39 BR CENTRO"
"559","CANTINA MIL AMORES","RODRIGUEZ SEGUNDO REYES","2017-07-06T00:00:00.000","C 7 26 12 DE OCTUBRE"
"560","CENTRAL DE ALUMINIOS Y VIDRIOS R&M","RODRIGUEZ VILLALBA RUBEN","2017-01-01T00:00:00.000","C 7 20 17 BR CENTRO"
"561","EL REBAJON","ROJAS ANA GLADYS","2011-12-09T00:00:00.000","MORDISCO"
"562","TEFY BOUTIQUE","ROJAS ANA IRET","2017-02-07T00:00:00.000","C 7  19 56 BR RAMIREZ"
"563","AUTOSERVICIO YULITZA","ROJAS RODRIGUEZ RUBEN DARIO","2016-02-02T00:00:00.000","BR EL ROBLE"
"564","ALMACEN Y VETERINARIA EL GANADERO","ROJAS URIBE NURY JOHANA","2005-04-29T00:00:00.000","C 7 - 19- 40 BR RAMIREZ"
"565","SUPERMERCADO","ROMAN MERCEDES","2017-01-01T00:00:00.000","CARANAL"
"566","VIDEO JUEGOS GAME ZONE RESTAURANT","ROMERO ANGARITA LUIS FERNANDO","2017-01-01T00:00:00.000","C 7 16 23 BR RAMIREZ"
"567","TORTAS Y POSTRES PUNTO & COMA","ROMERO MORENO NELSON ENRIQUE","2013-04-09T00:00:00.000","C 7 19 15 BR  RAMIREZ"
"568","METALICAS CARANAL","ROMERO WILLIAM","2015-01-01T00:00:00.000","C 8 5 50 CARANAL"
"569","TIENDA DIVINO NIÑO","ROPERO GOMEZ LUDYS","2016-01-01T00:00:00.000","K 25 C 10 18 BR DIVINO NIÑO"
"570","CICLO ORIENTE","ROPERO ROPERO  JESUS ANIBAL","2006-10-11T00:00:00.000","C 7 14 26 BR RAMIREZ"
"571","DROGUERIA FORTUL","ROPERO TAPIAS EZEQUIEL","2016-01-01T00:00:00.000","C 7 16 46 BR RAMIREZ"
"572","DROGUERIA FARMA PLUS","ROPERO TAPIAS ISAAC","2012-03-01T00:00:00.000","K 22 6 57 BR CENTRO"
"573","PANADERIA FRESKI PAN","ROSO RAMIREZ SANDRA MILENA","2010-12-21T00:00:00.000","C 7 14 71 BR RAMIREZ"
"574","MAKEY","RUBIANO LOPEZ AMANDA","2011-03-31T00:00:00.000","C 7 16 21 BR RAMIREZ"
"575","TIENDA MAYE","RUBIANO SANTIAGO NORIS","2014-09-18T00:00:00.000","C 7 28 24 BR 12 DE OCT"
"576","EL BUEN PALADAR DE MARIA","RUEDA DE IBARRA MARIA LIDIA","2016-01-01T00:00:00.000","K 20 6 49 BR CENTRO"
"577","FUENTE DE SODA EL DIAMANTE FORTULEÑO","RUEDA JAIMES ZENAIDA","2001-06-29T00:00:00.000","K 27 - 7 61 BR 12 OCT"
"578","VENTA DE ROPA","RUEDA YUDY","2017-01-01T00:00:00.000","K 24 8 21 BR CENTRO"
"579","CONSULTORIO SONRIDENT","RUIZ  GOMEZ JAIME MANUEL","2001-06-29T00:00:00.000","C 7 17 56 BR RAMIREZ"
"580","ESTADERO EL JUGADOR","RUIZ LOPEZ NORBERTO","2009-05-14T00:00:00.000","K 27 8A 33 BR MILTON BASTO"
"581","CANTIBAR OXIGENO","RUIZ PINTO KATHERINE","2017-01-01T00:00:00.000","C 7 25"
"582","DISTRIBUCIONES SALCEDO","SALCEDO  VIDAL EFREN","2016-01-01T00:00:00.000","k 23 7 31 BR UNIDOS"
"583","ALMACEN MAMBO CLOSET","SALCEDO RINCON MARIO ALBERTO","2017-01-01T00:00:00.000","K 25 6 32 34 BR CENTRO"
"584","SERVICIOS MEDICOS Y DROGUERIA","SALUD VIDA",,"K 16A 7 41 BR RAMIREZ"
"585","VENTA DE CARNE EL RINCON DEL COLEADOR","SANABRIA  LEAL JORGE ALEXANDER","2009-11-18T00:00:00.000","RAMIREZ"
"586","MOTOREPUESTOS SANABRIA","SANABRIA EDGAR MAURICIO","2018-03-07T00:00:00.000","C 7 14 65 BR RAMIREZ"
"587","JOYERIA LA GARANTIA","SANABRIA RAFAEL GUILLERMO","2011-11-28T00:00:00.000","C 7 22 58 BR CENTRO"
"588","CENTRO OPTICO DEL PIEDEMONTE FORTUL","SANCHEZ EDDY YAZMIN","2018-09-20T00:00:00.000","K 16 6 BR RAMIREZ"
"589","FERRELECTRICOS DEL ORIENTE","SANCHEZ LIZCANO CARLOS HUMBERTO","2011-03-29T00:00:00.000","C 7 21 42 BR CENTRO"
"590","BOUTIQUE TERRANOVA","SANCHEZ MARTINEZ BLANCA MELIDA","2017-08-01T00:00:00.000","K 24  6 10 12 BR CENTRO"
"591","SALA DE BELLEZA ROSY","SANCHEZ OJEDA OMAIRA ESTHER","2013-03-05T00:00:00.000","C 7 21 58 BR CENTRO"
"592","CANTINA EL ROBLE","SANCHEZ SUAREZ FRANKLI GUSTAVO","2017-04-01T00:00:00.000","K 18 18 78 BR EL ROBLE"
"593","SANDOVAL HERAZO LUIS RAFAEL","SANDOVAL HERAZO LUIS RAFAEL","2016-04-07T00:00:00.000","BATALLON No. 14"
"594","RESIDENCIA EL TURISTA","SANDOVAL TAVERA OLIVA","1989-02-22T00:00:00.000","K 24 6 58 BR CENTRO"
"595","VERDURERIA CHARITO","SANTAMARIA HERNANDEZ EDWIN YESID","2010-09-23T00:00:00.000","C 7 19 03 BR RAMIREZ"
"596","VIVERES J. S. R.","SANTAMARIA RUEDA JHON JAIRO","2004-02-09T00:00:00.000","C 7 23 36 BR CENTRO"
"597","PUBLI-ARTE PUBLICIDAD Y MEDIOS GRAFICOS","SANTAMARIA RUEDA ROSA VIVIANA","2017-07-01T00:00:00.000","C 7 28 39 BR DOCE DE OCT"
"598","SERVICIOS DE ORIENTACION EN PSICOLOGIA S.A.S","SANTIAGO ANA CECILIA","2017-01-01T00:00:00.000","C 8A 14 40 BR PRADO"
"599","PANADERIA LA PRIMAVERA","SARMIENTO DELGADO SNEIDER","1992-10-22T00:00:00.000","C 7  26 ESQUINA BR CENTRO"
"600","VIVERES LA MUÑECA","SARMIENTO JOSE IRENE","2017-09-01T00:00:00.000","C 8 15 20 BR CENTRO"
"601","HELADERIA LOS SIMPSON","SARMIENTO OSORIO YAJAIRA","2017-03-24T00:00:00.000","C 7  19 56 BR RAMIREZ"
"602","PAPELERIA Y VARIEDADES NORLY PAOLA","SARMIENTO RUEDA ROSALBA","1991-10-07T00:00:00.000","CALL 7 - 18 - 68 BR RAMIREZ"
"603","COMFACEL MULTISERVICIOS FORTUL","SEGURA GUTIERREZ CARLOS ENRIQUE","2008-08-28T00:00:00.000","C 7 23 35 BR CENTRO"
"604","SOLANYI MODAS Y ESTILOS","SEPULVEDA AGUILAR SOLANYE","2018-09-01T00:00:00.000","C 8 19 43 BR RAMIREZ"
"605","COMIDAS CAROLA","SEPULVEDA CAROLINA","2012-01-01T00:00:00.000","CARANAL"
"606","FERRO PINTURAS VIVI","SEPULVEDA CELIS RICARDO","2003-09-02T00:00:00.000","KRA 20 - 5 - 37"
"607","EL REVOLCON DE LAS FRUTAS","SEPULVEDA MANRIQUE MARIA CENAIDA","2001-10-01T00:00:00.000","C 7 23 50 B ENTRO"
"608","BEBIDAS ALCOHOLICAS","SEPULVEDA MANRIQUE MARIA CENAIDA","2016-10-01T00:00:00.000","C 7 23 50 B ENTRO"
"609","RESTAURANTE","SEPULVEDA MANRIQUE MARIA CENAIDA","2018-05-01T00:00:00.000","C 7 23 48 BR CENTRO"
