"adhoctaxyear","propertyid","ownershiptransferid","book","cmmnt","deeddate","displayorder","insertedbelow","instrumentnumber","instrumenttypecode","otherreference","page","recordeddate","saleshistoryreviewneeded","saleratioexclude","salesratio","adjustedsalesratio","saletypecode","stateexclude","tax","timestampchange","timestampcreate","transferchangereasoncode","transferchangereasondesc","transfervaliditycode","transfervaliditydesc","causenumber","considerat","county","financing","financingc","hsapplsend","otherowner","ratioscree","salepriceentrydate","sendhsappl","totacredeed","totdeedacrenotavail","datadate"
"2021","68286","406429",,,,"4","0",,"Conv",,,,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","68290","406443","934",,"2003-01-01T00:00:00.000","5","0",,"Conv",,"651",,"0","1","0.000000","0.000000",,"0",,"2018-12-19T11:37:14.943","2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,"0.000000","2022-06-19T02:03:17.347"
"2021","68294","406461",,,,"5","0",,"Conv",,,,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","68321","406582","1790","MH SALE 12,000 & LAND FOR 20000.","1989-06-16T00:00:00.000","5","0",,"Conv",,"069",,"0","0","1305.190000","0.000000","O","0",,"2008-04-09T10:40:06.860","2003-10-31T14:44:30.000","CONV","Conversion","VALID","Valid",,,,,,,,,,,"12.006000","0.000000","2022-06-19T02:03:17.347"
"2021","68321","406582","1790","MH SALE 12,000 & LAND FOR 20000.","1989-06-16T00:00:00.000","5","0",,"Conv",,"069",,"0","0","1305.190000","0.000000","O","0",,"2008-04-09T10:40:06.860","2003-10-31T14:44:30.000","CONV","Conversion","VALID","Valid",,,,,,,,,,,"12.006000","0.000000","2022-06-19T02:03:17.347"
"2021","68355","406678","958","VLB GRANTOR","1984-01-04T00:00:00.000","7","0",,"CFD",,"419",,"0","1","0.000000","0.000000",,"0",,"2015-07-08T13:25:25.003","2003-10-31T14:44:30.000","HIST","History","INVALID","Invalid",,,,,,,,,,,,"0.000000","2022-06-19T02:03:17.347"
"2021","68355","406678","958","VLB GRANTOR","1984-01-04T00:00:00.000","7","0",,"CFD",,"419",,"0","1","0.000000","0.000000",,"0",,"2015-07-08T13:25:25.003","2003-10-31T14:44:30.000","HIST","History","INVALID","Invalid",,,,,,,,,,,,"0.000000","2022-06-19T02:03:17.347"
"2021","73793","406125","1465",,"1987-01-05T00:00:00.000","1","0",,"Conv",,"955",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","73802","406410","1052",,"1984-08-01T00:00:00.000","3","0",,"Conv",,"738",,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
"2021","73804","406475",,,,"3","0",,"Conv",,,,"0","1","0.000000","0.000000",,"0",,,"2003-10-31T14:44:30.000","CONV","Conversion","INVALID","Invalid",,,,,,,,,,,,,"2022-06-19T02:03:17.347"
