"age","income","race","sex","year","id","name","demographic_group_number","demographic_group_moe","uninsured_number","uninsured_moe_1","uninsured","uninsured_moe_2","insured_number","insured_moe_1","insured","insured_moe_2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49049","Utah County, UT","107073","0","14782","1458","13.8","1.4","92291","1458","86.2","1.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49051","Wasatch County, UT","6134","0","919","110","15","1.8","5215","110","85","1.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49053","Washington County, UT","32652","0","5564","610","17","1.9","27088","610","83","1.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49055","Wayne County, UT","812","0","137","20","16.899999999999999","2.4","675","20","83.1","2.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2009","49057","Weber County, UT","62118","0","8997","910","14.5","1.5","53121","910","85.5","1.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49000","Utah","688685","0","88496","4400","12.8","0.6","600189","4400","87.2","0.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49001","Beaver County, UT","1646","0","296","36","18","2.2000000000000002","1350","36","82","2.2000000000000002"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49003","Box Elder County, UT","12935","0","1402","176","10.8","1.4","11533","176","89.2","1.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49005","Cache County, UT","22832","0","2954","349","12.9","1.5","19878","349","87.1","1.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49007","Carbon County, UT","6299","0","705","93","11.2","1.5","5594","93","88.8","1.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49009","Daggett County, UT","294","0","56","7","19.2","2.4","237","7","80.8","2.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49011","Davis County, UT","76745","0","6797","781","8.9","1","69948","781","91.1","1"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49013","Duchesne County, UT","4288","0","659","81","15.4","1.9","3629","81","84.6","1.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49015","Emery County, UT","3349","0","409","56","12.2","1.7","2940","56","87.8","1.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49017","Garfield County, UT","1363","0","230","31","16.899999999999999","2.2000000000000002","1133","31","83.1","2.2000000000000002"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49019","Grand County, UT","3374","0","687","84","20.399999999999999","2.5","2686","84","79.599999999999994","2.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49021","Iron County, UT","9087","0","1389","174","15.3","1.9","7698","174","84.7","1.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49023","Juab County, UT","2294","0","339","43","14.8","1.9","1955","43","85.2","1.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49025","Kane County, UT","2046","0","340","45","16.600000000000001","2.2000000000000002","1707","45","83.4","2.2000000000000002"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49027","Millard County, UT","3617","0","532","67","14.7","1.8","3084","67","85.3","1.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49029","Morgan County, UT","2412","0","264","36","10.9","1.5","2148","36","89.1","1.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2008","49031","Piute County, UT","410","0","94","12","22.8","3","316","12","77.2","3"
