"the_geom","objectid","ancillaryrole","enabled","drainage_id","jtx_jobid","rotation","comments","date_built","year_built","year_source","year_abandoned","created_by","created_date","modified_by","modified_date","checked_by","watershed","map_index","mapsco","place_id","ownership","maintenance","dimen_source","elev_source","location_source","gps_x","gps_y","gps_source","gps_quality","top_elevation","surface_elevation","at_grade","endwall","invert","sump","depth_to_creek","dissipator","globalid","edit_status","support_material","outfall","header_type","fme_date","status","observation","modeled","collected_by","last_date_visited","measured_by","photolink","conduit_material","width","height","struc_shape","dryweatherflow","gps_pdop","gps_satqual","gps_date","gps_time","unit","dem_calculated_sump","dem_calculated_invert","dry_weather_screen_outfall","maximo_asset_number","maximo_site_id"
"POINT (-97.73016736535 30.358156165513)","5758871","0","1","380618","797656","6",,,,"NO_SOURCE","1967","SBURZYNSKI","2011-08-02T09:55:16.000Z","GDELANO","2014-02-04T15:50:10.000Z","DDAVIS","SHL","J30","525F","602264","CITY","CITY","NO_SOURCE","SUPP_INFO","SUPP_INFO",,,"NOGPS","NOGPS",,"722.26000977","N","0",,"719.64001465",,"NODATA","e408c7ce-2955-447d-9b0c-defc1fab9256","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:42.000Z","REMOVED","0","N",,,,,"RCP","24","24","CIRCULAR",,,,,,,,,,,
"POINT (-97.844690276229 30.373912048611)","5773583","0","1","942581","1708050","255","Splitter Box","1993-05-03T00:00:00.000Z","1993","APPLANEL",,"REVANS","2015-04-27T08:26:22.000Z","GDELANO","2017-12-21T14:35:35.000Z","CGORE","WBL","D31","492U","188362","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"1048.73999023","N","0","1040.40002441",,,"NODATA","3f3fa87a-cea9-41ff-958e-4b3f7a69a4d1","ENTERED","NODATA","F","DRAINPIPE_UP","2022-02-08T14:52:44.000Z","ACTIVE","0",,,,,,"RCP","36","36","CIRCULAR",,,,,,,,,,,
"POINT (-97.830618808969 30.21365441219)","5759980","0","1","448302","864540","205",,"1977-01-14T00:00:00.000Z","1977","APPLANEL","1986","APRUITT","2012-11-07T11:31:40.000Z","BRASMITH","2014-05-19T16:37:21.000Z","RODAVILA","WMS","E17","643J","412828","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"721.72998047","N","0","719.09997559",,,"NODATA","fbbb6908-6bdc-4b5a-9a26-8b1d95fa0c90","ENTERED","NODATA","F","DRAINPIPE_UP","2022-02-08T14:52:42.000Z","REMOVED","0","N",,,,,,,,,,,,,,,,,,,
"POINT (-97.622903487471 30.149043210678)","5783378","0","1","1064140","2255575","120",,"2012-07-31T00:00:00.000Z","2012","ASBLTEL",,"CHILL","2016-01-26T12:41:55.000Z","GLOCKWOOD","2021-11-01T08:21:09.000Z","JAMARTINEZ","DRE","Q12","708E","5051429","CITY","CITY","ASBLTEL","ASBLTEL","ASBLTEL",,,"NOGPS","NOGPS",,"490.04000854","N","0","488.80999756",,,"NODATA","3760637e-fc26-4263-908c-195e828fa569","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:44.000Z","ACTIVE","0",,,,,,"RCP","36","36","CIRCULAR",,,,,,,,,,,
"POINT (-97.734280778772 30.2212627675)","5765674","0","1","409445","1742002","167","No field evidence",,,"NO_SOURCE",,"NPULLIAS","2012-03-27T15:38:33.000Z","JAMARTINEZ","2017-07-24T15:21:39.000Z","SJOHNSON","CCW","J18","645B","243300","CITY","CITY","NO_SOURCE","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,"615.26000977","N","0",,,,"NODATA","f9fb673e-f903-4f78-9d50-977a2a3122ae","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:42.000Z","REMOVED","0","N",,,,,"NODATA","15","15","CIRCULAR",,,,,,,,,,,
"POINT (-97.755176505404 30.315553425209)","5793449","0","1","846590","965330","122",,"2013-04-05T00:00:00.000Z","2013","APPLANEL",,"CARMIJO","2014-10-27T10:52:13.000Z","CARMIJO","2014-11-13T13:34:32.000Z","TBARRINGTON","SHL","H26","554M","3429519","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","2da23080-a707-473c-8c42-56a910387151","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","ACTIVE","0","N",,,,,"NODATA","12","12","CIRCULAR",,,,,,,,,,,
"POINT (-97.684430523264 30.380602558142)","5802833","0","1","1908400","2089490","73",,"1999-04-21T00:00:00.000Z","1999","APPLANEL",,"GDELANO","2019-06-13T10:59:08.000Z","GDELANO","2019-06-13T10:59:56.000Z","GDELANO","WLN","M32","496Q","464481","OTHER","OTHER","NO_SOURCE","NO_SOURCE","GPS_AERIAL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","1727bcd0-5c9b-45b7-98ad-5e9c0af9e035","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:47.000Z","ACTIVE","0","N",,,,,"NODATA",,,"NODATA",,,,,,,,,,,
"POINT (-97.850164782374 30.412824360095)","5782355","0","1","147118","2253653","111","Pond Splitter Box,","1988-05-26T00:00:00.000Z","1988","APPLANEL",,"KTAYLOR","2013-12-20T12:27:39.000Z","KGALLUSCIO","2021-10-20T15:59:16.000Z","RODAVILA","BUL","D34","462U","1115267","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3079258.8519","10122591.4788","DIG08","SUB-M","1029","1027.93994141","N","3","1024.19995117",,"0","NOTPRESENT","738aedd8-16a9-43ba-be28-00a10161a3a9","ENTERED","CONCRETE","F","DRAINPIPE_DN","2022-02-08T14:52:43.000Z","ACTIVE","2","N","MARCUS ALLEN",,,"09252008_5_013.jpg","RCP","36","36","CIRCULAR","F",,,,,,,,,"1110112","WPD"
"POINT (-97.842402348412 30.388661036157)","5806282","0","1","1182804","1449170","152","splitter box","2007-04-12T00:00:00.000Z","2007","APPLANEL",,"VVINCENT","2016-08-19T09:08:40.000Z","VVINCENT","2016-08-22T10:12:26.000Z","SJOHNSON","WBL","D32","492M","3267630","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","92b76127-8cce-4274-8b2b-00e3b603680f","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA","54","54","CIRCULAR",,,,,,,,,,,
"POINT (-97.729819244603 30.359138394451)","5791767","0","1","86219","2223572","8","rip rap, in retention pond","1988-04-15T00:00:00.000Z","1988","APPLANEL",,"APRUITT","2012-09-17T09:25:52.000Z","DWARDEN","2021-04-09T09:56:12.000Z","GDELANO","SHL","J30","525F","623296","OTHER","OTHER","PHYS_INSP","DEM","APPLANEL","3117631.7073","10103959.795","DIG07","SUB-M",,"722.10998535","N","5","720.60998535","720.60998535","0","NOTPRESENT","a177c227-4c2b-4887-8a36-ac19856ae28c","ENTERED","CONCRETE","F","DRAINPIPE_UP","2022-02-08T14:52:46.000Z","ACTIVE","2","N","DLEWIS","2008-10-28T00:00:00.000Z",,"07102007_4_036.jpg","CONCRETE","18","18","CIRCULAR",,,,,,,,,,"1108865","WPD"
"POINT (-97.755218776741 30.315673251733)","5801478","0","1","2104023","2196146","6",,"2020-03-17T00:00:00.000Z","2020","APPLANEL",,"GLOCKWOOD","2021-03-03T16:23:24.000Z","DWARDEN","2022-03-08T18:45:08.000Z",,"SHL","H26","554M","3429519","OTHER","OTHER","NO_SOURCE","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","1e7b0351-8ab1-44ba-a8d1-8dd8aadfb37d","ENTERED","NODATA","F","DRAINPIPE_DN","2022-05-27T05:27:35.000Z","ACTIVE","0",,,,,,"NODATA",,,"NODATA",,,,,,,,,,,
"POINT (-97.758625006113 30.300556369993)","5789312","0","1","612071","1878610","120",,"1970-01-12T00:00:00.000Z","1970","APPLANEL",,"MPACHECO","2014-02-20T12:03:58.000Z","CWEYENBERG","2018-01-25T17:11:16.000Z","DWARDEN","JOH","H25","554Z","417146","OTHER","TXDOT","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","61ea51fa-7605-466c-b377-4e9876e16e15","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","ACTIVE","0","N",,,,,"NODATA","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.911609617549 30.375997622576)","5798552","0","1","930180","1098823","131",,"2007-01-08T00:00:00.000Z","2007","ASBLTEL",,"DWARDEN","2015-04-13T11:21:08.000Z","DWARDEN","2015-04-17T10:30:19.000Z",,"LKA","A31","491S","3118925","OTHER","OTHER","ASBLTEL","NO_SOURCE","ASBLTEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NONNATURAL","dc89b658-7f86-4d69-bceb-79ab28003b92","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","ACTIVE","0",,,,,,"NODATA","36","36","CIRCULAR",,,,,,,,,,,
"POINT (-97.708503554318 30.264316835925)","5786351","0","1","466652","1817506","166","Splitter box","2004-10-15T00:00:00.000Z","2004","APPLANEL",,"GDELANO","2018-01-10T10:59:13.000Z","GDELANO","2018-01-10T11:04:29.000Z",,"BOG","L22","586W","107996","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","4cb1da6f-f4b6-4608-88a0-bb2c38e3d020","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","ACTIVE","0","N",,,,,"NODATA","36","36","CIRCULAR",,,,,,,,,,,
"POINT (-97.663088890399 30.338146063528)","5777320","0","1","1225914","1569810","28",,"2007-11-27T00:00:00.000Z","2007","APPLANEL",,"VVINCENT","2016-11-10T14:54:00.000Z","VVINCENT","2016-11-14T14:52:09.000Z",,"WLN","N28","527S","86888","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS","586.5","581.84997559","N","0","581.09997559",,,"NODATA","cac9c1e1-277f-431c-b066-43909e8c168f","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:45.000Z","ACTIVE","0",,,,,,"NODATA","84","36","BOX",,,,,,,,,,,
"POINT (-97.663927796214 30.390048008308)","5804152","0","1","298672",,,,,,"NO_SOURCE",,"MARCUS ALLEN","2010-02-01T00:00:00.000Z","PCAMPMAN","2010-12-17T00:00:00.000Z","J.T. STEWART","WLN","N32","497J","351172","OTHER","OTHER","PHYS_INSP","DEM","GPS","3138143.707","10115690.6572","DIG10","SUB-M",,"625.25","N","4","622.75","622.75","0","NOTPRESENT","00c6f186-566f-4452-a023-24b5fc5d9220","ENTERED","CONCRETE","T","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","ACTIVE","2","N",,,"MICHAEL CHISUM","02012010_6_005.jpg","CONCRETE","0","30","CIRCULAR","F","2.5322","2","2010-02-01T00:00:00.000Z","08:49","6",,,,"401192124","WPD"
"POINT (-97.749870472008 30.277603423656)","5763409","0","1","67843","1774291","56",,,,"NO_SOURCE",,"DDAVIS","2008-02-14T00:00:00.000Z","MAMARAL","2017-09-18T10:31:21.000Z","ARUDIN","SHL","J23","585N","257049","CITY","CITY","ESM","NO_SOURCE","ESM",,,"NOGPS","NOGPS",,"471.3999939","N","0",,,,"NODATA","22a8ad58-3abc-4073-b4f0-9f0f9f6d8774","ENTERED","NODATA","F","DRAINPIPE_UP","2022-02-08T14:52:41.000Z","REMOVED","0","N",,,,,"NODATA","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.781933145325 30.316229653958)","5787372","0","1","787320","927890","41",,,,"NO_SOURCE","1998","KHERBERT","2014-08-20T09:49:00.000Z","SBURZYNSKI","2014-09-10T08:13:25.000Z","SBURZYNSKI","LKA","G26","554J","150683","OTHER","OTHER","NO_SOURCE","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","b00bb0b1-9967-4c17-8bef-16209527de86","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","REMOVED","0",,,,,,"NODATA",,,"NODATA",,,,,,,,,,,
"POINT (-97.746444112926 30.343494177239)","5753379","0","1","46215","1718050","103",,"1960-08-01T00:00:00.000Z","1960","SSM","1994","DDAVIS","2008-12-29T00:00:00.000Z","MMCDONALD","2017-08-11T07:29:32.000Z","SJOHNSON","SHL","J28","525S","559910","CITY","CITY","NO_SOURCE","SSM","GPS_AERIAL",,,"NOGPS","NOGPS",,"658.10998535","N","0","655.95001221",,,"NODATA","cedc4f83-34ba-4305-972f-bd715f049e37","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:41.000Z","REMOVED","0","N",,,,,"RCP","24","24","CIRCULAR",,,,,,,,,,,
"POINT (-97.760444711317 30.213517868366)","5755440","0","1","515414","1878292","205",,"1991-08-15T00:00:00.000Z","1991","APPLANEL",,"PSTARKEL","2018-01-26T08:40:10.000Z","PSTARKEL","2018-01-26T08:43:43.000Z",,"WMS","H17","644M","249784","CITY","CITY","NO_SOURCE","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,"649.04998779","N","0",,,,"NOTPRESENT","3fecf31c-1fbe-42f2-b8ae-9e6f81f53701","ENTERED","CONCRETE","F","CULVERT_DN","2022-02-08T14:52:45.000Z","ACTIVE","0","N",,,,,"CONCRETE","36","36","CIRCULAR",,,,,,,,,,,
"POINT (-97.797098523554 30.446876833481)","5773187","0","1","755446","1710290","75","NO FIELD EVIDENCE","1986-06-24T00:00:00.000Z","1986","APPLANEL",,"MLEACH","2014-07-09T17:06:19.000Z","ACOLEMAN","2017-07-07T13:01:29.000Z","SJOHNSON","BUL","F37","433V","384548","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"978.85998535","N","0","975.34997559",,,"NODATA","4f1872d2-f6ce-4289-aeda-567282d76e27","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:43.000Z","REMOVED","0",,,,,,"NODATA","21","15","NODATA",,,,,,,,,,,
"POINT (-97.601258143244 30.376799441197)","5781541","0","1","1934656","2145827","104",,"2017-11-27T00:00:00.000Z","2017","APPLANEL",,"KGALLUSCIO","2020-01-09T14:30:37.000Z","KGALLUSCIO","2020-01-24T15:02:33.000Z","GDELANO","GIL","R31","498U","5405117","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"615.22998047","N","0","611",,,"NODATA","003dbb2f-8ea5-4f23-b130-939d2d1b13f8","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:45.000Z","ACTIVE","0",,,,,,"NODATA",,,"NODATA",,,,,,,,,,,
"POINT (-97.719150063033 30.390789580466)","5787121","0","1","496415","1495891","281",,,,"NO_SOURCE","2003","CWEYENBERG","2016-08-25T13:21:15.000Z","CWEYENBERG","2016-08-25T13:21:16.000Z",,"LWA","K32","495L","150769","OTHER","OTHER","NO_SOURCE","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","683c0b92-9daa-4814-b352-59c200c80333","ENTERED","NODATA","F","DRAINPIPE_UP","2022-02-08T14:52:46.000Z","REMOVED","0","N",,,,,"NODATA",,,"NODATA",,,,,,,,,,,
"POINT (-97.697444146594 30.272455703753)","5774931","0","1","450727","495911","338","Rip Rap","1989-04-25T00:00:00.000Z","1989","APPLANEL","2001","LBELL","2012-11-18T15:48:27.000Z","DDAVIS","2014-03-18T13:24:12.000Z",,"BOG","L22","586T","122610","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"467.01000977","N","0","463.5",,,"NODATA","875bc080-01b2-415c-9f96-9ca119956c17","ENTERED","NODATA","F","CULVERT_UP","2022-02-08T14:52:42.000Z","REMOVED","0","N",,,,,,,,,,,,,,,,,,,
"POINT (-97.777592802072 30.450446500206)","5773844","0","1","147010","993170","70",,"1978-08-23T00:00:00.000Z","1978","APPLANEL",,"MMCDONALD","2014-12-03T14:59:52.000Z","MMCDONALD","2014-12-10T12:05:15.000Z","CGORE","LKC","G38","434P","393699","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3101811.4575","10136809.43","DIG08","SUB-M",,"910.73999023","N","4","908.79998779",,"0","NOTPRESENT","3a93f572-bc5f-448a-991f-64f60c7789e5","ENTERED","CONCRETE","F","DRAINPIPE_DN","2022-02-08T14:52:44.000Z","ACTIVE","2",,"MUYIWA SAMI",,,"09112008_1_005.jpg","RCP","48","48","CIRCULAR","F",,,,,,,,,"1110253","WPD"
"POINT (-97.776404388124 30.180090813519)","5800344","0","1","1138778","1455890","256","Splitter Box","2005-04-01T00:00:00.000Z","2005","APPLANEL",,"MMARKOWSKI","2016-07-28T13:28:29.000Z","MMARKOWSKI","2016-07-28T13:32:05.000Z",,"SBG","G15","674F","3176402","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","08874a8c-a0e3-4ad8-a051-ae3b7b5f02c2","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","ACTIVE","0",,,,,,"NODATA","12","12","CIRCULAR",,,,,,,,,,,
"POINT (-97.786601956065 30.451263045266)","5778659","0","1","1581781","1669010","299",,,,"NO_SOURCE","2011","ACOLEMAN","2017-04-25T11:59:06.000Z","GDELANO","2017-05-03T13:13:16.000Z","GDELANO","LKC","G38","434N","284008","CITY","CITY","NO_SOURCE","NO_SOURCE","GPS_AERIAL",,,"NOGPS","NOGPS",,"929.70001221","N","0",,,,"NODATA","7f2b852c-548f-4029-8aab-f281f8eeb86f","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:45.000Z","REMOVED","0",,,,,,"CGMP","30","30","CIRCULAR",,,,,,,,,,,
"POINT (-97.69123018216 30.179542572151)","5785160","0","1","2133756","2250146","189",,,,"NO_SOURCE",,"GLOCKWOOD","2021-10-01T11:27:24.000Z","GLOCKWOOD","2021-10-01T11:32:20.000Z","JAMARTINEZ","ONI","L14","676K","5619871","OTHER","OTHER","NO_SOURCE","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","d2b1c878-0da6-4855-b6ae-ed911fd1f86d","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:46.000Z","ACTIVE","0",,,,,,"NODATA",,,"NODATA",,,,,,,,,,,
"POINT (-97.767864353438 30.153668406132)","5808648","0","1","1883226","1988402","16",,"2016-05-19T00:00:00.000Z","2016","APPLANEL",,"MMCDONALD","2018-08-31T15:43:30.000Z","MMCDONALD","2018-10-02T13:30:00.000Z",,"ONI","H12","704C","134719","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","c5cc6fad-7971-4e1b-9d44-c3d92f75ae16","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.724471945414 30.323664771605)","5807740","0","1","2095761","2207266","128",,"2019-11-04T00:00:00.000Z","2019","APPLANEL",,"KGALLUSCIO","2020-12-18T12:25:20.000Z","KGALLUSCIO","2020-12-18T13:53:28.000Z",,"WLR","K27","555G","5217170","OTHER","OTHER","NO_SOURCE","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","cd7e99e0-ebdf-407d-a459-de0e46a3426a","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA",,,"NODATA",,,,,,,,,,,
"POINT (-97.757930938048 30.300658299587)","5794910","0","1","33183","1878610","262",,"1958-07-25T00:00:00.000Z","1958","APPLANEL",,"RPARKER","2007-10-02T00:00:00.000Z","CWEYENBERG","2018-01-25T17:11:15.000Z","DWARDEN","JOH","H25","554Z","400077","OTHER","TXDOT","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","46651da3-d4cd-466c-9f7a-3a457777fedb","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","ACTIVE","0","N",,,,,"NODATA","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.612278180689 30.345296853212)","5766447","0","1","582631","920562","118",,"1990-03-26T00:00:00.000Z","1990","APPLANEL",,"RHANEY","2014-01-06T14:18:59.000Z","MHERRERA","2014-08-07T09:43:23.000Z","RODAVILA","GIL","Q29","528P","136919","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"605.57000732","N","0","608.7800293",,,"NOTPRESENT","73ef0b56-4646-467a-bffe-5f4662f96bb2","ENTERED","CONCRETE","F","DRAINPIPE_DN","2022-02-08T14:52:43.000Z","ACTIVE","0","N",,,,,"PVC","6","6","CIRCULAR",,,,,,,,,,,
"POINT (-97.653256143265 30.326540952982)","5775167","0","1","1101524","1370771","350",,"2000-02-01T00:00:00.000Z","2000","APPLANEL",,"MMARKOWSKI","2016-05-16T15:13:44.000Z","MMARKOWSKI","2016-05-17T12:14:28.000Z","CGORE","WLN","N27","557B","91884","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"548.46002197","N","0","546.75",,,"NODATA","dde46e80-778d-47c3-aa52-3262cdf6f312","ENTERED","CONCRETE","F","CULVERT_UP","2022-02-08T14:52:44.000Z","ACTIVE","0",,,,,,"RCP","21","21","CIRCULAR",,,,,,,,,,,
"POINT (-97.731839454014 30.205965962671)","5804113","0","1","1820007","1974020","83",,"2015-11-10T00:00:00.000Z","2015","APPLANEL",,"DWARDEN","2018-07-11T17:43:20.000Z","DWARDEN","2018-07-26T11:43:34.000Z","SJOHNSON","WMS","J17","645P","659408","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","cdbaa76f-6992-494a-8103-3659f86e4a8c","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA","24","24","CIRCULAR",,,,,,,,,,,
"POINT (-97.639283634801 30.274208832036)","5789520","0","1","525982","690780","307","rip rap","2007-02-06T00:00:00.000Z","2007","APPLANEL",,"MPACHECO","2013-08-05T16:54:25.000Z","MPACHECO","2013-08-05T17:04:09.000Z",,"WLN","P23","587Q","270902","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","aae01529-fc12-4ab5-bc86-722f0339ac33","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","ACTIVE","0","N",,,,,"NODATA","12","12","CIRCULAR",,,,,,,,,,,
"POINT (-97.711778611201 30.415918481135)","5759837","0","1","149302","1828372","166",,"1978-04-19T00:00:00.000Z","1978","APPLANEL",,"DLEWIS","2009-11-27T00:00:00.000Z","ACOLEMAN","2018-01-22T13:13:37.000Z","ACOLEMAN","WLN","K35","465R","145161","CITY","CITY","PHYS_INSP","APPLANEL","GPS","3122839.3494","10124738.0538","DIG08","SUB-M",,"697.29998779","N","2","694.95001221",,"48","NOTPRESENT","3bb4b3db-06f0-4480-8440-10b1467f7de4","ENTERED","CONCRETE","F","DRAINPIPE_DN","2022-02-08T14:52:41.000Z","ACTIVE","2","N","NEVIN DURISH",,,"03062009_3_023.jpg","RCP","18","18","CIRCULAR","F",,,,,,,,,"1112870","WPD"
"POINT (-97.772478650932 30.490180538634)","5804041","0","1","1572933","1666467","158",,,,"NO_SOURCE",,"ACOLEMAN","2017-03-20T08:05:52.000Z","ACOLEMAN","2017-03-20T08:12:18.000Z","ACOLEMAN","LKC","G41","404P","3502901","OTHER","TXDOT","SUPP_INFO","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","2c264f44-69b3-42b1-b611-599a406669e4","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:47.000Z","ACTIVE","0",,,,,,"NODATA","24","24","CIRCULAR",,,,,,,,,,,
"POINT (-97.817990598579 30.271593667759)","5791883","0","1","584180","790369","193",,,,"NO_SOURCE",,"CGORE","2014-01-07T15:20:34.000Z","CGORE","2014-01-14T11:43:19.000Z","RODAVILA","BAR","E22","583T","173874","OTHER","TXDOT","NO_SOURCE","NO_SOURCE","SUPP_INFO",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","a43ae8e9-329c-4eb6-a10b-39f025b12ff4","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:46.000Z","ACTIVE","0",,,,,,"NODATA",,,"NODATA",,,,,,,,,,,
"POINT (-97.821165839552 30.331841831009)","5778817","0","1","1615000","1761171","50",,,,"NO_SOURCE",,"VVINCENT","2017-08-17T11:19:12.000Z","VVINCENT","2017-08-17T11:43:24.000Z",,"LKA","E27","553B","94049","CITY","CITY","NO_SOURCE","NO_SOURCE","GPS_AERIAL",,,"NOGPS","NOGPS",,"505.27999878","N","0",,,,"NODATA","d6cc3eea-e269-4911-bba3-2cb87b67b3f0","ENTERED","NODATA","F","CULVERT_DN","2022-02-08T14:52:45.000Z","ACTIVE","0",,,,,,"HDPE","18","18","CIRCULAR",,,,,,,,,,,
"POINT (-97.768325658405 30.229509627519)","5791623","0","1","426682","413989","28",,"2007-06-28T00:00:00.000Z","2007","APPLANEL",,"CARMIJO","2012-08-06T10:36:17.000Z","CARMIJO","2012-08-06T10:39:36.000Z",,"EBO","H19","614Y","3112643","OTHER","OTHER","APPLANEL","NO_SOURCE","APPLANEL",,,"NOGPS","NOGPS",,,"N","0",,,,"NODATA","24a36792-e9e6-4d8c-be45-8ce3a2c1e2a4","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:46.000Z","ACTIVE","0","N",,,,,"NODATA","6","6","CIRCULAR",,,,,,,,,,,
"POINT (-97.873158934171 30.222666574777)","5772522","0","1","754978","1871898","290",,"1988-07-08T00:00:00.000Z","1988","ASBLTEL",,"JMENCHACA","2014-07-09T16:14:13.000Z","MMARKOWSKI","2018-01-22T13:51:10.000Z","GDELANO","WMS","C18","642A","3132955","CITY","CITY","NO_SOURCE","ASBLTEL","ASBLTEL",,,"NOGPS","NOGPS",,"854.34997559","N","4","851.5",,,"NOTPRESENT","4d84ba3b-7c1d-4fbf-969e-d1012a1ef830","ENTERED","CONCRETE","F","CULVERT_UP","2022-02-08T14:52:43.000Z","ACTIVE","0",,,,,,"RCP","84","48","BOX",,,,,,,,,,,
"POINT (-97.755122880452 30.177923686956)","5782704","0","1","477222","2230962","292",,"1974-11-01T00:00:00.000Z","1974","APPLANEL","2002","TBARRINGTON","2013-03-20T08:20:47.000Z","GDELANO","2021-06-29T11:54:22.000Z","GDELANO","ONI","H14","674M","3078344","CITY","CITY","NO_SOURCE","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"586.5300293","N","0","581.5300293",,,"NODATA","18d8ff3c-0ade-4000-8d7c-ad301e4bd4e4","ENTERED","NODATA","F","DRAINPIPE_DN","2022-02-08T14:52:42.000Z","REMOVED","0","N",,,,,,,,,,,,,,,,,,,
