"licnum","tradename","add1","citycounty","st","postalcode","ctycnty","estabdesc","privdesc","statusdesc","wine_beereffectdate","wine_beerexpirdate","mixbevstatusdesc","mixbeveffdate","mixbevexpirdate","origdate"
"53806","ACACIA MID TOWN","2601 W CARY ST","RICHMOND","VA","23220","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-04-01T00:00:00.000","2019-03-31T00:00:00.000","Active","2018-04-01T00:00:00.000","2019-03-31T00:00:00.000","2008-12-11T00:00:00.000"
"53885","ELEPHANT THAI RESTAURANT","1100 W CARY ST","RICHMOND","VA","23220","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","2008-08-29T00:00:00.000"
"53968","SHOCKOE MARKET","1802 E MAIN ST","RICHMOND","VA","23223","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000",,,,"2008-08-06T00:00:00.000"
"54030","ARAMARK VIRGINIA COMMONWEALTH UNIVERSITY CHILIS","335 W CARY ST","RICHMOND","VA","23220-5639","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","2008-09-17T00:00:00.000"
"54242","BARREL THIEF","5805 PATTERSON AVE","RICHMOND","VA","23226-2536","Richmond City","Restaurant","Wine and Beer On & Off Premises & Delivery Permit","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000",,,,"2008-12-08T00:00:00.000"
"54602","MILLIES","2603 E MAIN ST","RICHMOND","VA","23223-7849","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","1991-07-23T00:00:00.000"
"54936","NALC #496","2416 CHAMBERLAYNE AVE","RICHMOND","VA","23222","Richmond City","Club - National","Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1991-11-22T00:00:00.000"
"55231","LATINOS UNIDOS","6830 MIDLOTHIAN TPKE","RICHMOND","VA","23225","Richmond City","Convenience Grocery Store","Beer Off Premises","Active","2018-12-01T00:00:00.000","2019-11-30T00:00:00.000",,,,"2008-12-17T00:00:00.000"
"55366","MOMOTARO SUSHI","2803 W CARY ST","RICHMOND","VA","23221-3513","Richmond City","Restaurant","Wine & Beer On Premises","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000",,,,"2009-01-15T00:00:00.000"
"55519","OLD DOMINION CLUB, THE","7 E BROAD ST","RICHMOND","VA","23219-1731","Richmond City","Club - National","Wine & Beer On & Off Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1992-07-01T00:00:00.000"
"55614","FLORA","203 N LOMBARDY ST","RICHMOND","VA","23220-3529","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","2009-08-04T00:00:00.000"
"55656","CHIPOTLE MEXICAN GRILL","810 W GRACE ST","RICHMOND","VA","23220","Richmond City","Restaurant","Beer On Premises","Active","2018-02-01T00:00:00.000","2019-01-31T00:00:00.000","Voluntary  Surrendered","2014-03-31T00:00:00.000","2014-03-31T00:00:00.000","2009-06-09T00:00:00.000"
"55742","BELLS ROAD EXXON","4435 COMMERCE RD","RICHMOND","VA","23234-2237","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-12-01T00:00:00.000","2019-11-30T00:00:00.000",,,,"1992-02-14T00:00:00.000"
"55836","GOLDYS","4024 W BROAD ST","RICHMOND","VA","23230-3916","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000",,,,"2009-01-15T00:00:00.000"
"55997","BRISAS DEL MAR LATINO MARKET","4609 JEFFERSON DAVIS HWY","RICHMOND","VA","23234-3150","Richmond City","Grocery Store","Beer Off Premises","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000",,,,"2009-01-23T00:00:00.000"
"56139","MISE EN PLACE","104 SHOCKOE SLIP LOWR LEVEL","RICHMOND","VA","23219-4131","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000",,,,"2009-06-22T00:00:00.000"
"56398","Q MARKET CONVENIENCE STORE","1167 SOUTHWOOD PKWY","RICHMOND","VA","23224","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000",,,,"2009-01-15T00:00:00.000"
"56528","DAVIS MARKET","301 W GRACE ST","RICHMOND","VA","23220-4907","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000",,,,"2009-01-23T00:00:00.000"
"56532","BOW TIE MOVIELAND AT BOULEVARD SQUARE","1301 N BOULEVARD","RICHMOND","VA","23230-4521","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-02-01T00:00:00.000","2019-01-31T00:00:00.000","Pending","2018-10-02T00:00:00.000",,"2009-02-25T00:00:00.000"
"56686","CASH & CARRY MARKET","4930 CHAMBERLAYNE AVE","RICHMOND","VA","23227","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-04-01T00:00:00.000","2019-03-31T00:00:00.000",,,,"2009-04-01T00:00:00.000"
"56707","MAX MARKET","1123 HULL ST","RICHMOND","VA","23224-4059","Richmond City","Grocery Store","Wine & Beer Off Premises","Active","2018-04-01T00:00:00.000","2019-03-31T00:00:00.000",,,,"1992-04-28T00:00:00.000"
"57094","FLEMINGS PRIME STEAKHOUSE & WINE BAR 5702","9200 STONY POINT PKWY STE 131","RICHMOND","VA","23235-1977","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000","2009-10-30T00:00:00.000"
"57151","LAFAYETTE PHARMACY","1011 LAFAYETTE ST","RICHMOND","VA","23221","Richmond City","Drug Store","Wine & Beer Off Premises","Active","2018-04-01T00:00:00.000","2019-03-31T00:00:00.000",,,,"2009-04-14T00:00:00.000"
"57153","PLANT ZERO CAFE","7 E 3RD STREET","RICHMOND","VA","23224","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000",,,,"2009-08-10T00:00:00.000"
"57174","THE VILLAGE CAFE","410 N HARRISON ST STE 412","RICHMOND","VA","23220-3615","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","1992-06-11T00:00:00.000"
"57488","GUS BAR & GRILL","2701 W BROAD ST","RICHMOND","VA","23220-1905","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","2009-03-27T00:00:00.000"
"57606","KOBE JAPANESE STEAK & SUSHI","19 S 13TH ST","RICHMOND","VA","23219-4101","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","2009-03-20T00:00:00.000"
"57625","BAMBOO CAFE","1 S MULBERRY ST","RICHMOND","VA","23220-5124","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000","Active","2018-10-01T00:00:00.000","2019-09-30T00:00:00.000","1992-10-01T00:00:00.000"
"57683","MARKET PLACE","3019 NINE MILE RD","RICHMOND","VA","23223-5415","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000",,,,"2009-06-05T00:00:00.000"
"57943","YUM YUM GOOD CHINESE RESTAURANT","5612 PATTERSON AVE","RICHMOND","VA","23226-2008","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","Active","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","1992-11-23T00:00:00.000"
"58110","KITTYS GRILL","2828 NINE MILE RD","RICHMOND","VA","23223","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","Withdrawn","2009-06-24T00:00:00.000",,"2009-07-23T00:00:00.000"
