"fiscal_year","state_name","county","membership_group","refunds_paid","location_1"
"2017","IOWA","FREMONT","SPECIAL SERVICE","871.71",
"2017","IOWA","MONTGOMERY","REGULAR","123732.67",
"2015","IOWA","MADISON","REGULAR","242437.07","POINT (-94.01556190000001 41.33071420000001)"
"2016","IOWA","MONTGOMERY","REGULAR","213308.74","POINT (-95.1563758 41.03014)"
"2015","IOWA","LUCAS","SPECIAL SERVICE","105501.73","POINT (-93.3277207 41.0293738)"
"2015","ARIZONA",,"SPECIAL SERVICE","6968.86",
"2016","IOWA","DAVIS","REGULAR","31333.08","POINT (-92.4097173 40.7476891)"
"2015","IOWA","ADAIR","REGULAR","53098.83","POINT (-94.4709413 41.3307464)"
"2017","IOWA","CLAYTON","SPECIAL SERVICE","55785.84",
"2015","HAWAII",,"REGULAR","1565.79",
"2018","WASHINGTON",,"REGULAR","116253.49",
"2016","IOWA","FRANKLIN","REGULAR","117798.58","POINT (-93.262473 42.7325458)"
"2017","NORTH DAKOTA",,"REGULAR","57398.47",
"2016","IOWA","RINGGOLD","REGULAR","82833.92","POINT (-94.2439719 40.7352023)"
"2018","TEXAS",,"SPECIAL SERVICE","5988.61",
"2016","IOWA","MARION","SPECIAL SERVICE","49434.31","POINT (-93.0994367 41.3344515)"
"2016","IOWA","HARRISON","SPECIAL SERVICE","9295.97","POINT (-95.8169209 41.6828528)"
"2017","TENNESSEE",,"SPECIAL SERVICE","1880.77",
"2016","IOWA","PAGE","REGULAR","421962.50","POINT (-95.1501747 40.7391444)"
"2015","COLORADO",,"REGULAR","380873.14",
"2017","IOWA","MADISON","REGULAR","285654.46",
"2018","HAWAII",,"REGULAR","1630.78",
"2016","IOWA","LINN","SPECIAL SERVICE","263616.46","POINT (-91.5989646 42.0789478)"
"2017","IOWA","JEFFERSON","REGULAR","227268.66",
"2016","IOWA","CASS","REGULAR","131949.06","POINT (-94.9278266 41.3314876)"
"2017","INDIANA",,"REGULAR","126884.18",
"2015","IOWA","TAYLOR","REGULAR","77210.34","POINT (-94.6964148 40.73743240000001)"
"2016","TENNESSEE",,"REGULAR","99878.14",
"2017","IOWA","LINN","SPECIAL SERVICE","233977.15",
"2017","IOWA","VAN BUREN","REGULAR","76250.92",
"2016","IOWA","DELAWARE","SPECIAL SERVICE","29863.94","POINT (-91.3673502 42.471211)"
"2016","IOWA","CLAYTON","REGULAR","137274.86","POINT (-91.34143280000002 42.8447493)"
"2015","FLORIDA",,"SPECIAL SERVICE","148780.87",
"2015","SOUTH DAKOTA",,"REGULAR","411337.59",
"2018","GEORGIA",,"SPECIAL SERVICE","12789.11",
"2015","SOUTH CAROLINA",,"SPECIAL SERVICE","74.51",
"2016","IOWA","HENRY","REGULAR","264093.75","POINT (-91.5445241 40.9879383)"
"2017","IOWA","SHELBY","REGULAR","192380.60",
"2018","NORTH DAKOTA",,"SPECIAL SERVICE","6174.78",
"2015","IOWA","HOWARD","REGULAR","185445.35","POINT (-92.3171989 43.3567673)"
"2017","IOWA","JONES","SPECIAL SERVICE","99048.39",
"2016","CONNECTICUT",,"REGULAR","8975.61",
"2017","MASSACHUSETTS",,"REGULAR","36261.56",
"2016","IOWA","IDA","REGULAR","223347.50","POINT (-95.5134962 42.3868747)"
"2018","FLORIDA",,"SPECIAL SERVICE","35827.59",
"2016","IOWA","WAPELLO","REGULAR","488429.26","POINT (-92.4094499 41.03058450000001)"
"2017","IOWA","KEOKUK","SPECIAL SERVICE","36103.79",
"2017","IOWA","FAYETTE","SPECIAL SERVICE","17770.91",
"2015","IOWA","POWESHIEK","REGULAR","94662.10","POINT (-92.53146840000001 41.6864422)"
"2016","LOUISIANA",,"REGULAR","21105.39",
"2015","MINNESOTA",,"SPECIAL SERVICE","132591.64",
"2015","IOWA","RINGGOLD","SPECIAL SERVICE","10190.60","POINT (-94.2439719 40.7352023)"
"2015","DISTRICT OF COLUMBIA",,"REGULAR","12511.53",
"2016","IOWA","TAMA","SPECIAL SERVICE","7773.57","POINT (-92.5325425 42.07981170000001)"
"2016","FLORIDA",,"REGULAR","424173.80",
"2015","IOWA","MILLS","SPECIAL SERVICE","564.16","POINT (-95.62132670000001 41.0334523)"
"2017","IOWA","MONONA","SPECIAL SERVICE","6356.68",
"2016","IOWA","BUENA VISTA","SPECIAL SERVICE","7675.18","POINT (-95.15114900000002 42.7354936)"
"2017","IOWA","MARSHALL","REGULAR","951257.15",
"2016","IOWA","WRIGHT","SPECIAL SERVICE","623.76","POINT (-93.7351465 42.7331189)"
"2015","IOWA","LYON","SPECIAL SERVICE","13362.25","POINT (-96.2102924 43.380497)"
"2015","IOWA","HENRY","SPECIAL SERVICE","526125.50","POINT (-91.5445241 40.9879383)"
"2016","NEW HAMPSHIRE",,"REGULAR","11079.24",
"2015","WYOMING",,"SPECIAL SERVICE","379.04",
"2017","IOWA","TAYLOR","REGULAR","141279.51",
"2016","KENTUCKY",,"REGULAR","47305.52",
"2016","IOWA","PLYMOUTH","REGULAR","268963.57","POINT (-96.2140431 42.7378346)"
"2016","WISCONSIN",,"REGULAR","311371.15",
"2018","SOUTH DAKOTA",,"REGULAR","445579.07",
"2017","IOWA","WOODBURY","REGULAR","1047959.80",
"2017","IOWA","POLK","REGULAR","6186041.91",
"2017","NEBRASKA",,"SPECIAL SERVICE","296651.33",
"2015","IOWA","MADISON","SPECIAL SERVICE","283.66","POINT (-94.01556190000001 41.33071420000001)"
"2016","KANSAS",,"REGULAR","191780.10",
"2017","IOWA","HARDIN","REGULAR","406897.04",
"2017","IOWA","POTTAWATTAMIE","SPECIAL SERVICE","109532.59",
"2015","IOWA","GREENE","REGULAR","239967.23","POINT (-94.3968356 42.0362394)"
"2015","IOWA","BREMER","REGULAR","274779.24","POINT (-92.31805480000001 42.7745873)"
"2018","NORTH CAROLINA",,"SPECIAL SERVICE","682.07",
"2015","COLORADO",,"SPECIAL SERVICE","53729.44",
"2015","IOWA","CLAYTON","REGULAR","79422.61","POINT (-91.34143280000002 42.8447493)"
"2017","ARIZONA",,"REGULAR","262714.40",
"2017","IOWA","HOWARD","REGULAR","159640.11",
"2015","IOWA","MONTGOMERY","REGULAR","50362.63","POINT (-95.1563758 41.03014)"
"2017","IOWA","DES MOINES","SPECIAL SERVICE","39293.50",
"2016","IOWA","SIOUX","SPECIAL SERVICE","406.47","POINT (-96.1778827 43.0826174)"
"2016","IOWA","LEE","REGULAR","155718.91","POINT (-91.479264 40.6419764)"
"2016","IOWA","KOSSUTH","SPECIAL SERVICE","307.52","POINT (-94.2067199 43.20413)"
"2015","IOWA","CLAYTON","SPECIAL SERVICE","154967.41","POINT (-91.34143280000002 42.8447493)"
"2015","ARKANSAS",,"SPECIAL SERVICE","36836.94",
"2017","IOWA","CLAYTON","REGULAR","119755.08",
"2016","TEXAS",,"SPECIAL SERVICE","5587.71",
"2017","IOWA","BUENA VISTA","REGULAR","113964.52",
"2016","MASSACHUSETTS",,"REGULAR","34230.43",
"2018","KENTUCKY",,"REGULAR","107805.28",
"2017","LOUISIANA",,"REGULAR","18826.85",
"2017","IOWA","DAVIS","REGULAR","231166.18",
"2017","IOWA","WORTH","REGULAR","136453.04",
"2017","IOWA","MAHASKA","REGULAR","357281.22",
"2018","ARIZONA",,"REGULAR","394992.42",
"2017","IOWA","MITCHELL","SPECIAL SERVICE","433.19",
"2017","IOWA","BUENA VISTA","SPECIAL SERVICE","6579.87",
"2017","IOWA","IOWA","REGULAR","102632.65",
"2017","IOWA","STORY","SPECIAL SERVICE","2553.62",
"2015","NORTH CAROLINA",,"SPECIAL SERVICE","1750.57",
"2016","IOWA","OSCEOLA","REGULAR","2433.53","POINT (-95.6236852 43.3785704)"
"2018","WASHINGTON",,"SPECIAL SERVICE","338",
"2019","IOWA","FREMONT","REGULAR","187964.83","POINT (-95.6046765 40.7455892)"
"2020","IOWA","LUCAS","SPECIAL SERVICE","3517.22","POINT (-93.3277207 41.0293738)"
"2019","IOWA","PALO ALTO","REGULAR","178141.74","POINT (-94.6781371 43.0820643)"
"2019","IOWA","JOHNSON","REGULAR","1747280.89","POINT (-91.5880849 41.6715511)"
"2020","NEVADA",,"REGULAR","158593.59",
"2020","IOWA","JACKSON","SPECIAL SERVICE","132870.34","POINT (-90.5742294 42.1717426)"
"2020","IOWA","HAMILTON","REGULAR","182732.28","POINT (-93.7068085 42.3837722)"
"2019","TEXAS",,"REGULAR","519464.68",
"2020","MASSACHUSETTS",,"REGULAR","30859.37",
"2019","NORTH CAROLINA",,"SPECIAL SERVICE","2570.95",
"2019","IOWA","ADAIR","SPECIAL SERVICE","41105.38","POINT (-94.4709413 41.3307464)"
"2019","IOWA","HUMBOLDT","SPECIAL SERVICE","95007.49","POINT (-94.2071868 42.7764686)"
"2020","NEW HAMPSHIRE",,"REGULAR","8771.1",
"2020","IOWA","JOHNSON","SPECIAL SERVICE","29778.6","POINT (-91.5880849 41.6715511)"
"2020","IOWA","SCOTT","REGULAR","1386531.34","POINT (-90.6232428 41.6370978)"
"2019","IOWA","WAPELLO","SPECIAL SERVICE","20137.11","POINT (-92.4094499 41.03058450000001)"
"2019","IOWA","LUCAS","SPECIAL SERVICE","1482.65","POINT (-93.3277207 41.0293738)"
"2019","MINNESOTA",,"SPECIAL SERVICE","56979.72",
"2020","IOWA","BLACK HAWK","SPECIAL SERVICE","229813.45","POINT (-92.3088197 42.4700957)"
"2020","IOWA","DAVIS","REGULAR","160623.89","POINT (-92.4097173 40.7476891)"
"2019","IOWA","ALLAMAKEE","REGULAR","164122.44","POINT (-91.3780923 43.2842838)"
"2020","COLORADO",,"REGULAR","583232.42",
"2019","IOWA","MARION","SPECIAL SERVICE","39938.33","POINT (-93.0994367 41.3344515)"
"2019","TENNESSEE",,"REGULAR","334973.22",
"2020","IOWA","MONONA","REGULAR","82330.48","POINT (-95.9599235 42.0516663)"
"2020","ALABAMA",,"REGULAR","84638.22",
"2020","VIRGIN ISLANDS",,"REGULAR","5020.42",
"2020","IOWA","APPANOOSE","REGULAR","84662","POINT (-92.8686104 40.7431635)"
"2019","GEORGIA",,"SPECIAL SERVICE","6440.7",
"2019","IOWA","BENTON","REGULAR","493666.01","POINT (-92.0656912 42.0801864)"
"2020","IOWA","MUSCATINE","REGULAR","937240.8","POINT (-91.1127562 41.4839221)"
"2020","IOWA","MUSCATINE","SPECIAL SERVICE","21466.7","POINT (-91.1127562 41.4839221)"
"2019","IOWA","DES MOINES","REGULAR","384768.89","POINT (-91.1814707 40.9231829)"
"2019","IOWA","POCAHONTAS","SPECIAL SERVICE","10664.46","POINT (-94.67874660000001 42.73413510000001)"
"2020","TEXAS",,"REGULAR","847879.52",
"2020","MISSISSIPPI",,"SPECIAL SERVICE","4639.23",
"2020","IOWA","HOWARD","REGULAR","133439.72","POINT (-92.3171989 43.3567673)"
"2019","IOWA","SAC","REGULAR","150047.82","POINT (-95.1053946 42.3862604)"
"2019","IOWA","WASHINGTON","REGULAR","268532.11","POINT (-91.7178676 41.335591)"
"2020","IOWA","RINGGOLD","REGULAR","169556.46","POINT (-94.2439719 40.7352023)"
"2019","IOWA","WORTH","SPECIAL SERVICE","3872.72","POINT (-93.2608476 43.3773984)"
"2019","IOWA","CLAYTON","SPECIAL SERVICE","103522.51","POINT (-91.34143280000002 42.8447493)"
"2020","IOWA","TAYLOR","REGULAR","271229.9","POINT (-94.6964148 40.73743240000001)"
"2019","IOWA","CALHOUN","REGULAR","64519.74","POINT (-94.6404136 42.385184800000005)"
"2020","IOWA","CARROLL","REGULAR","716083.92","POINT (-94.8605593 42.0362382)"
"2020","IOWA","CLAYTON","SPECIAL SERVICE","31335.69","POINT (-91.34143280000002 42.8447493)"
"2020","IOWA","FAYETTE","REGULAR","203117.62","POINT (-91.8443207 42.8625919)"
"2020","IOWA","WOODBURY","SPECIAL SERVICE","8511.86","POINT (-96.0447673 42.3897169)"
"2019","IOWA","CLARKE","SPECIAL SERVICE","48192.65","POINT (-93.78515790000002 41.0290323)"
"2019","IOWA","CARROLL","SPECIAL SERVICE","4148.03","POINT (-94.8605593 42.0362382)"
"2019","WISCONSIN",,"SPECIAL SERVICE","12891.94",
"2020","IOWA","OSCEOLA","REGULAR","128959.51","POINT (-95.6236852 43.3785704)"
"2019","IOWA","DECATUR","SPECIAL SERVICE","4462.38","POINT (-93.7862815 40.7376827)"
"2019","IOWA","BOONE","REGULAR","720101.95","POINT (-93.931671 42.0365493)"
"2019","IOWA","WOODBURY","SPECIAL SERVICE","96271.92","POINT (-96.0447673 42.3897169)"
"2020","IOWA","MARION","REGULAR","305713.22","POINT (-93.0994367 41.3344515)"
"2020","VIRGINIA",,"SPECIAL SERVICE","17.28",
"2019","IOWA","LINN","REGULAR","2449468.84","POINT (-91.5989646 42.0789478)"
"2019","IOWA","MITCHELL","REGULAR","40057.24","POINT (-92.7890315 43.3564124)"
"2020","IOWA","IOWA","REGULAR","221650.41","POINT (-92.065524 41.6863229)"
"2020","IOWA","KEOKUK","SPECIAL SERVICE","35.22","POINT (-92.1786426 41.336465)"
"2019","COLORADO",,"SPECIAL SERVICE","20960.93",
"2020","KANSAS",,"SPECIAL SERVICE","10666.72",
"2019","IOWA","SIOUX","REGULAR","467910.37","POINT (-96.1778827 43.0826174)"
"2019","ALABAMA",,"REGULAR","117127.59",
"2019","IOWA","BUENA VISTA","SPECIAL SERVICE","43488.88","POINT (-95.15114900000002 42.7354936)"
"2020","IOWA","VAN BUREN","SPECIAL SERVICE","76000.19","POINT (-91.9499871 40.7532294)"
"2019","IOWA","CRAWFORD","REGULAR","49056.34","POINT (-95.3819678 42.0372125)"
"2019","IOWA","IOWA","REGULAR","327447.07","POINT (-92.065524 41.6863229)"
"2020","IOWA","BUENA VISTA","SPECIAL SERVICE","7356.51","POINT (-95.15114900000002 42.7354936)"
"2020","IOWA","TAMA","REGULAR","166678.4","POINT (-92.5325425 42.07981170000001)"
"2020","IOWA","FREMONT","REGULAR","191086.83","POINT (-95.6046765 40.7455892)"
"2019","IOWA","SAC","SPECIAL SERVICE","3471.43","POINT (-95.1053946 42.3862604)"
"2019","NEW JERSEY",,"REGULAR","1801.14",
"2020","IOWA","CARROLL","SPECIAL SERVICE","1635.72","POINT (-94.8605593 42.0362382)"
"2020","CALIFORNIA",,"SPECIAL SERVICE","10659.61",
"2019","IOWA","DICKINSON","SPECIAL SERVICE","33072.5","POINT (-95.1508301 43.3779848)"
"2020","IOWA","DUBUQUE","REGULAR","760165.02","POINT (-90.8824564 42.468832)"
"2019","IOWA","HAMILTON","REGULAR","193240.87","POINT (-93.7068085 42.3837722)"
"2019","PUERTO RICO",,"REGULAR","3942.95",
"2019","IOWA","CEDAR","REGULAR","346692.06","POINT (-91.1324125 41.7723207)"
"2019","MICHIGAN",,"REGULAR","181996.71",
"2020","MISSOURI",,"SPECIAL SERVICE","54949.21",
"2020","OREGON",,"REGULAR","69674.05",
"2019","IOWA","TAYLOR","REGULAR","82177.22","POINT (-94.6964148 40.73743240000001)"
"2019","IOWA","WINNEBAGO","REGULAR","177861.37","POINT (-93.7341955 43.37756780000001)"
"2020","ARIZONA",,"REGULAR","586093.91",
"2020","IOWA","FAYETTE","SPECIAL SERVICE","63230.94","POINT (-91.8443207 42.8625919)"
"2020","IOWA","MILLS","REGULAR","589859.2","POINT (-95.62132670000001 41.0334523)"
"2019","KENTUCKY",,"REGULAR","24399.18",
"2019","VIRGINIA",,"SPECIAL SERVICE","110201.96",
"2020","NEW YORK",,"REGULAR","53274.14",
"2019","IOWA","KOSSUTH","SPECIAL SERVICE","1633.04","POINT (-94.2067199 43.20413)"
"2019","OREGON",,"REGULAR","159460.87",
"2019","IOWA","MARION","REGULAR","773944.34","POINT (-93.0994367 41.3344515)"
"2020","IOWA","JASPER","SPECIAL SERVICE","157244.81","POINT (-93.053765 41.6860394)"
"2019","IOWA","HARRISON","SPECIAL SERVICE","25082.58","POINT (-95.8169209 41.6828528)"
"2020","IOWA","JOHNSON","REGULAR","1985565.18","POINT (-91.5880849 41.6715511)"
"2020","NEVADA",,"SPECIAL SERVICE","200.14",
"2019","IOWA","POTTAWATTAMIE","SPECIAL SERVICE","49387.62","POINT (-95.5423935 41.3366123)"
"2020","IOWA","POLK","REGULAR","6911440.48","POINT (-93.5735335 41.6855048)"
"2020","IOWA","BREMER","SPECIAL SERVICE","230149.58","POINT (-92.31805480000001 42.7745873)"
"2019","IOWA","EMMET","SPECIAL SERVICE","54.85","POINT (-94.6784803 43.37802250000001)"
"2019","MISSOURI",,"SPECIAL SERVICE","49714.28",
"2020","IOWA","CERRO GORDO","REGULAR","554701.1","POINT (-93.2608184 43.081557700000005)"
"2020","GEORGIA",,"SPECIAL SERVICE","4745.92",
"2019","IOWA","MUSCATINE","REGULAR","434134.59","POINT (-91.1127562 41.4839221)"
"2020","IOWA","POCAHONTAS","REGULAR","28704.46","POINT (-94.67874660000001 42.73413510000001)"
"2019","IOWA","HUMBOLDT","REGULAR","60522.71","POINT (-94.2071868 42.7764686)"
"2019","IOWA","OBRIEN","REGULAR","149230.85","POINT (-95.6248784 43.0837527)"
"2020","IOWA","SIOUX","SPECIAL SERVICE","29267.09","POINT (-96.1778827 43.0826174)"
"2019","IOWA","LYON","REGULAR","162029.17","POINT (-96.2102924 43.380497)"
"2019","SOUTH CAROLINA",,"REGULAR","187463.81",
"2020","IOWA","WAYNE","REGULAR","82358.24","POINT (-93.3273639 40.73947020000001)"
"2019","IOWA","ADAIR","REGULAR","178413.94","POINT (-94.4709413 41.3307464)"
"2020","IOWA","ADAMS","REGULAR","22078.46","POINT (-94.6991849 41.02898390000001)"
"2020","WISCONSIN",,"REGULAR","530819.97",
"2020","IOWA","DELAWARE","SPECIAL SERVICE","124.13","POINT (-91.3673502 42.471211)"
"2019","IOWA","GRUNDY","REGULAR","219698.24","POINT (-92.7914177 42.4018651)"
"2019","ILLINOIS",,"REGULAR","1105273.52",
"2020","IOWA","DAVIS","SPECIAL SERVICE","1919.38","POINT (-92.4097173 40.7476891)"
"2020","IOWA","CEDAR","REGULAR","320166.21","POINT (-91.1324125 41.7723207)"
"2019","NORTH CAROLINA",,"REGULAR","104605.6",
"2020","FLORIDA",,"REGULAR","821817.17",
"2019","IOWA","APPANOOSE","SPECIAL SERVICE","116.85","POINT (-92.8686104 40.7431635)"
"2019","TEXAS",,"SPECIAL SERVICE","27421.88",
"2019","IOWA","DUBUQUE","REGULAR","869854.29","POINT (-90.8824564 42.468832)"
"2020","IOWA","MONONA","SPECIAL SERVICE","3326.74","POINT (-95.9599235 42.0516663)"
"2019","IOWA","MADISON","REGULAR","540391.03","POINT (-94.01556190000001 41.33071420000001)"
"2020","DISTRICT OF COLUMBIA",,"REGULAR","7059.95",
"2020","IOWA","WRIGHT","REGULAR","212860.39","POINT (-93.7351465 42.7331189)"
"2020","IOWA","APPANOOSE","SPECIAL SERVICE","8263.81","POINT (-92.8686104 40.7431635)"
"2019","IOWA","HENRY","REGULAR","504676.76","POINT (-91.5445241 40.9879383)"
"2019","GEORGIA",,"REGULAR","235865.36",
"2020","IOWA","MONROE","REGULAR","144932.73","POINT (-92.8689877 41.0297826)"
"2019","MISSISSIPPI",,"REGULAR","30368.14",
"2020","IOWA","LUCAS","REGULAR","174797.63","POINT (-93.3277207 41.0293738)"
"2019","IOWA","JONES","REGULAR","203304.14","POINT (-91.1314352 42.1212397)"
"2020","IOWA","HANCOCK","REGULAR","246300.87","POINT (-93.7342723 43.0818861)"
"2020","IOWA","CLINTON","SPECIAL SERVICE","446.13","POINT (-90.5319724 41.8980358)"
"2019","WYOMING",,"SPECIAL SERVICE","23778.32",
"2020","IOWA","JASPER","REGULAR","445015.38","POINT (-93.053765 41.6860394)"
"2019","IOWA","CASS","SPECIAL SERVICE","1361.79","POINT (-94.9278266 41.3314876)"
"2019","IOWA","CLARKE","REGULAR","121889.02","POINT (-93.78515790000002 41.0290323)"
"2019","IOWA","STORY","REGULAR","1632073.89","POINT (-93.4650448 42.0362415)"
"2020","IOWA","PALO ALTO","REGULAR","133050.54","POINT (-94.6781371 43.0820643)"
"2020","IOWA","CLARKE","REGULAR","162978.35","POINT (-93.78515790000002 41.0290323)"
"2019","IOWA","FREMONT","SPECIAL SERVICE","119141.65","POINT (-95.6046765 40.7455892)"
"2020","IOWA","WARREN","SPECIAL SERVICE","49242.39","POINT (-93.5613594 41.3343735)"
"2019","ARKANSAS",,"REGULAR","103346.99",
"2020","IOWA","SCOTT","SPECIAL SERVICE","102445.24","POINT (-90.6232428 41.6370978)"
"2020","IOWA","WAYNE","SPECIAL SERVICE","2046.47","POINT (-93.3273639 40.73947020000001)"
"2020","IOWA","BLACK HAWK","REGULAR","1732944.35","POINT (-92.3088197 42.4700957)"
