"fiscal_year","service_ordered","applicant","tax_dollars_approved","tax_percentage_approved"
"2019","Data Transmission and/or Internet Access","JESUP COMMUNITY SCHOOL DIST","1008.00","60.0"
"2019","Data Transmission and/or Internet Access","MOULTON-UDELL COMM SCH DIST","3384.00","80.0"
"2019","Data Transmission and/or Internet Access","VINTON-SHELLSBURG COMM SCH DST","11984.00","70.0"
"2019","Data Transmission and/or Internet Access","WHITING COMMUNITY SCHOOL DIST","1488.00","80.0"
"2019","Data Transmission and/or Internet Access","VAN METER COMM SCHOOL DISTRICT","6445.00","50.0"
"2019","Data Transmission and/or Internet Access","TWIN RIVERS COMM SCHOOL DIST","2822.40","80.0"
"2019","Data Transmission and/or Internet Access","WEST BURLINGTON INDEP SCH DIST","5376.00","60.0"
"2019","Data Transmission and/or Internet Access","WEST CENTRAL COMM SCHOOL DIST","6725.60","70.0"
"2019","Data Transmission and/or Internet Access","WAYNE COMMUNITY SCHOOL DISTRICT","13171.20","80.0"
"2019","Data Transmission and/or Internet Access","UNITED COMMUNITY SCHOOL DIST","2822.40","60.0"
"2019","Data Transmission and/or Internet Access","IOWA SCHOOL FOR THE DEAF/COUNCIL BLUFFS","21499.20","90.0"
"2019","Data Transmission and/or Internet Access","WESTERN DUBUQUE COMM SCH DIST","4704.00","50.0"
"2019","Data Transmission and/or Internet Access","WEST CENTRAL VALLEY COMMUNITY SCHOOL DISTRICT","9055.20","70.0"
"2019","Data Transmission and/or Internet Access","WEST LYON COMM SCHOOL DISTRICT","4330.00","50.0"
"2019","Data Transmission and/or Internet Access","IOWA STATE LIBRARY","8467.20","90.0"
"2019","Data Transmission and/or Internet Access","IOWA CITY COMM SCHOOL DISTRICT","82706.40","60.0"
"2019","Data Transmission and/or Internet Access","WEST DELAWARE CO COMM SCH DIST","13818.00","70.0"
"2019","Data Transmission and/or Internet Access","HUBBARD-RADCLIFFE COMM SCHS","3457.44","70.0"
"2019","Data Transmission and/or Internet Access","HUDSON COMMUNITY SCHOOL DIST","4230.00","50.0"
"2019","Data Transmission and/or Internet Access","WOODBURY CENTRAL COMMUNITY SCHOOL DIST","1116.00","60.0"
"2019","Data Transmission and/or Internet Access","HUMBOLDT COMM SCHOOL DISTRICT","8878.80","70.0"
"2019","Data Transmission and/or Internet Access","IOWA VALLEY COMM SCHOOL DIST","5196.00","60.0"
"2019","Data Transmission and/or Internet Access","MOULTON-UDELL COMM SCH DIST","1488.00","80.0"
"2019","Data Transmission and/or Internet Access","JANESVILLE CONS SCHOOL DIST","5387.50","50.0"
"2019","Data Transmission and/or Internet Access","SOUTH CENTRAL CALHOUN COMMUNITY SCHOOL DISTRICT","6062.00","70.0"
"2019","Data Transmission and/or Internet Access","Heartland Area Education Agency 11","53449.20","63.00"
"2019","Data Transmission and/or Internet Access","Heartland Area Education Agency 11","69552.00","63.00"
"2019","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","11080.80","60.0"
"2019","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","14040.00","60.0"
"2019","Data Transmission and/or Internet Access","H-L-V COMMUNITY SCHOOL DISTRICT","3810.24","60.0"
"2019","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","6328.80","60.0"
"2019","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","2160.00","60.0"
"2019","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","2160.00","60.0"
"2019","Data Transmission and/or Internet Access","HARRIS-LAKE PARK COMM SCH DIST","4561.54","60.0"
"2019","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","11520.00","60.0"
"2019","Managed Internal Broadband Services","HAMPTON-DUMONT COMM SCH DIST","1534.46","80.0"
"2019","Data Transmission and/or Internet Access","HOLY TRINITY CATHOLIC SCHOOLS","6468.00","50.0"
"2019","Data Transmission and/or Internet Access","HARMONY COMM SCHOOL DISTRICT","11833.60","80.0"
"2019","Data Transmission and/or Internet Access","GREEN HILLS AEA","2016.00","70.0"
"2019","Data Transmission and/or Internet Access","GRUNDY CENTER COMM SCHOOL DIST","13148.40","60.0"
"2019","Data Transmission and/or Internet Access","Green Hills AEA","81508.00","70.0"
"2019","Data Transmission and/or Internet Access","GREAT PRAIRIE AEA","5880.00","70.0"
"2019","Data Transmission and/or Internet Access","GUTHRIE CENTER COMM SCH DIST","9998.40","60.0"
"2019","Data Transmission and/or Internet Access","Great Prairie AEA Consortium","182726.05","59.00"
"2019","Data Transmission and/or Internet Access","GLADBROOK-REINBECK COMM SCHOOL DISTRICT","3807.00","60.0"
"2019","Data Transmission and/or Internet Access","GLADBROOK-REINBECK COMM SCHOOL DISTRICT","2232.00","60.0"
"2019","Data Transmission and/or Internet Access","FREMONT-MILLS COMM SCHOOL DIST","6585.60","70.0"
"2019","Data Transmission and/or Internet Access","HOLY TRINITY CATHOLIC SCHOOLS","8232.00","50.0"
"2019","Data Transmission and/or Internet Access","GMG COMMUNITY SCHOOL DISTRICT","13994.40","70.0"
"2019","Data Transmission and/or Internet Access","FORT MADISON COMM SCHOOL DIST","23688.00","80.0"
"2019","Data Transmission and/or Internet Access","HAMPTON-DUMONT COMM SCH DIST","18601.60","80.0"
"2019","Data Transmission and/or Internet Access","EDGEWOOD-COLESBURG COMM S D","12076.40","70.0"
"2019","Data Transmission and/or Internet Access","EDGEWOOD-COLESBURG COMM S D","22545.60","70.0"
"2019","Data Transmission and/or Internet Access","EDDYVILLE BLAKESBURG FREMONT CSD","4116.00","70.0"
"2019","Data Transmission and/or Internet Access","EAST MARSHALL COMM SCHOOL DIST","685.58","70.0"
"2019","Data Transmission and/or Internet Access","EAST UNION COMMUNITY SCH DIST","8883.00","70.0"
"2019","Data Transmission and/or Internet Access","ENGLISH VALLEYS COMM SCH DIST","9878.40","70.0"
"2019","Data Transmission and/or Internet Access","EASTERN ALLAMAKEE SCHOOL DIST","4692.24","70.0"
"2019","Data Transmission and/or Internet Access","DURANT COMMUNITY SCHOOL DIST","13759.20","60.0"
"2019","Data Transmission and/or Internet Access","EAGLE GROVE COMMUNITY SCH DIST","22108.80","80.0"
"2019","Data Transmission and/or Internet Access","EARLHAM COMMUNITY SCHOOL DIST","11421.00","60.0"
"2019","Data Transmission and/or Internet Access","DOWLING CATHOLIC HIGH SCHOOL/WDM","7976.00","40.0"
"2019","Data Transmission and/or Internet Access","DIAGONAL COMM SCHOOL DISTRICT","7397.60","70.0"
"2019","Data Transmission and/or Internet Access","EAST BUCHANAN COMM SCHOOL DIST","1414.42","60.0"
"2019","Data Transmission and/or Internet Access","EDDYVILLE BLAKESBURG FREMONT CSD","4116.00","70.0"
"2019","Data Transmission and/or Internet Access","DIKE-NEW HARTFORD SCHOOL DIST","10152.00","60.0"
"2019","Data Transmission and/or Internet Access","ESTHERVILLE LINCOLN CENTRAL SD","6802.25","70.0"
"2019","Data Transmission and/or Internet Access","DALLAS CENTER-GRIMES SCH DIST","14100.00","50.0"
"2019","Data Transmission and/or Internet Access","DENISON COMMUNITY SCHOOL DIST","15952.00","80.0"
"2019","Data Transmission and/or Internet Access","DENVER COMMUNITY SCHOOL DIST","5387.50","50.0"
"2019","Data Transmission and/or Internet Access","COUNCIL BLUFFS COMM SCH DIST","3609.60","80.0"
"2019","Data Transmission and/or Internet Access","COLFAX-MINGO COMM SCHOOL DIST","10503.50","70.0"
"2019","Data Transmission and/or Internet Access","GALVA-HOLSTEIN COMM SCH DIST","2538.00","60.0"
"2019","Data Transmission and/or Internet Access","COLUMBUS COMMUNITY SCHOOL DIST","14817.60","90.0"
"2019","Data Transmission and/or Internet Access","DIAGONAL COMM SCHOOL DISTRICT","7397.60","70.0"
"2019","Data Transmission and/or Internet Access","CORNING COMMUNITY SCHOOL DIST","9018.80","70.0"
"2019","Data Transmission and/or Internet Access","GRANT WOOD AEA  CONSORTIUM","70522.40","65.00"
"2019","Data Transmission and/or Internet Access","CLARKSVILLE COMM SCHOOL DIST","3311.00","70.0"
"2019","Data Transmission and/or Internet Access","CLAYTON RIDGE CSD","9055.20","46.00"
"2019","Data Transmission and/or Internet Access","HOWARD-WINNESHIEK COMM SCH DIC","16192.40","70.0"
"2019","Data Transmission and/or Internet Access","Green Hills AEA","7400.15","70.0"
"2019","Data Transmission and/or Internet Access","FORT DODGE PUBLIC LIBRARY","8620.00","80.0"
"2019","Data Transmission and/or Internet Access","MOUNT AYR COMM SCHOOL DISTRICT","12004.00","80.0"
"2019","Data Transmission and/or Internet Access","CLEAR CREEK-AMANA COMM S D","9135.00","50.0"
"2019","Data Transmission and/or Internet Access","DIAGONAL COMM SCHOOL DISTRICT","4581.50","70.0"
"2019","Data Transmission and/or Internet Access","WINTERSET COMM SCHOOL DISTRICT","19933.20","60.0"
"2019","Data Transmission and/or Internet Access","CHARITON COMM SCHOOL DISTRICT","17094.40","80.0"
"2019","Data Transmission and/or Internet Access","CHARLES CITY COMM SCHOOL DIST","18816.00","80.0"
"2019","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","8640.00","60.0"
"2019","Data Transmission and/or Internet Access","CHARTER OAK-UTE COMM SCH DIST","7542.50","70.0"
"2019","Data Transmission and/or Internet Access","CENTRAL SPRINGS COMMUNITY SCHOOL DISTRICT","6340.80","60.0"
"2019","Basic Maintenance of Internal Connection","CENTRAL SPRINGS COMMUNITY SCHOOL DISTRICT","1615.20","60.0"
"2019","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","2160.00","60.0"
"2019","Basic Maintenance of Internal Connection","CENTRAL SPRINGS COMMUNITY SCHOOL DISTRICT","1615.20","60.0"
"2019","Data Transmission and/or Internet Access","CHEROKEE COMM SCHOOL DISTRICT","7542.50","70.0"
"2019","Data Transmission and/or Internet Access","CENTRAL SPRINGS COMMUNITY SCHOOL DISTRICT","6340.80","60.0"
"2019","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","4168.80","60.0"
"2019","Managed Internal Broadband Services","CENTRAL LEE COMM SCHOOL DIST","1450.04","70.0"
"2019","Data Transmission and/or Internet Access","Central Rivers AEA","4276.80","60.0"
"2019","Data Transmission and/or Internet Access","Central Rivers AEA","4396.80","60.0"
"2019","Data Transmission and/or Internet Access","CENTRAL LEE COMM SCHOOL DIST","23282.00","70.0"
"2019","Data Transmission and/or Internet Access","CENTRAL COMMUNITY SCHOOL DISTRICT","7881.60","37.00"
"2019","Data Transmission and/or Internet Access","WOODBINE COMMUNITY SCHOOL DISTRICT","2658.00","60.0"
"2019","Data Transmission and/or Internet Access","Central Rivers AEA","28644.00","60.0"
"2019","Data Transmission and/or Internet Access","CENTRAL DEWITT COMM SCH DIST","14278.08","60.0"
"2019","Data Transmission and/or Internet Access","CLARINDA COMM SCHOOL DISTRICT","16066.40","70.0"
"2019","Data Transmission and/or Internet Access","CAM COMMUNITY SCHOOL DIST","22843.80","70.0"
"2019","Data Transmission and/or Internet Access","IOWA CITY COMM SCHOOL DISTRICT","11910.00","60.0"
"2019","Data Transmission and/or Internet Access","IKM MANNING CSD","10886.40","70.0"
"2019","Data Transmission and/or Internet Access","IOWA DEPARTMENT OF EDUCATION","2296366.14","66.00"
"2019","Voice","IOWA SCHOOL FOR THE DEAF/COUNCIL BLUFFS","235.87","10.0"
"2019","Data Transmission and/or Internet Access","CAMANCHE COMMUNITY SCHOOL DIST","9003.00","60.0"
"2019","Data Transmission and/or Internet Access","IOWA MENNONITE  SCHOOL/KALONA","2654.40","60.0"
"2019","Data Transmission and/or Internet Access","CARLISLE COMM SCHOOL DISTRICT","5196.00","60.0"
"2019","Data Transmission and/or Internet Access","C A L COMM SCHOOL DISTRICT","6961.92","80.0"
"2019","Data Transmission and/or Internet Access","BENTON COMMUNITY SCHOOL DIST","7730.40","60.0"
"2019","Data Transmission and/or Internet Access","BOONE COMMUNITY SCHOOL DIST","16052.40","70.0"
"2019","Data Transmission and/or Internet Access","CENTERVILLE COMM SCHOOL DIST","29488.00","80.0"
"2019","Data Transmission and/or Internet Access","BOSCO SYSTEM","4230.00","50.0"
"2019","Data Transmission and/or Internet Access","AUDUBON COMMUNITY SCHOOL DIST","120402.80","70.0"
"2019","Data Transmission and/or Internet Access","BECKMAN HIGH SCHOOL/DYERSVILLE","6568.00","50.0"
"2019","Data Transmission and/or Internet Access","BEDFORD COMMUNITY SCHOOL DISTRICT","7686.40","80.0"
"2019","Data Transmission and/or Internet Access","ATLANTIC COMM SCHOOL DISTRICT","19325.44","80.0"
"2019","Internal Connections","CLARINDA COMM SCHOOL DISTRICT","1884.40","70.0"
"2019","Data Transmission and/or Internet Access","BELLE PLAINE COMM SCHOOL DIST","4300.80","70.0"
"2019","Data Transmission and/or Internet Access","AREA ED AGENCY 10-GRANT WOOD","1900.00","50.0"
"2019","Data Transmission and/or Internet Access","CENTRAL CITY COMM SCHOOL DIST","9878.40","60.0"
"2019","Data Transmission and/or Internet Access","ALDEN COMMUNITY SCHOOL DIST","6585.60","70.0"
"2019","Data Transmission and/or Internet Access","ALLAMAKEE COMM SCHOOL DIST","18250.40","70.0"
"2019","Internal Connections","ANAMOSA COMMUNITY SCHOOL DIST","1814.40","70.0"
"2019","Data Transmission and/or Internet Access","ALBIA COMMUNITY SCHOOL DIST","11524.80","70.0"
"2019","Data Transmission and/or Internet Access","ACKLEY-GENEVA WELLSBURG STEAMBOAT ROCK SCHOOL DIST","6062.00","70.0"
"2019","Data Transmission and/or Internet Access","ADAIR-CASEY COMM SCHOOL DIST","6585.60","70.0"
"2019","Data Transmission and/or Internet Access","JOHNSTON COMM SCHOOL DISTRICT","8466.00","50.0"
"2019","Data Transmission and/or Internet Access","Keystone AEA1 Internet Access Consortium","92888.00","68.00"
"2019","Data Transmission and/or Internet Access","KEOTA COMMUNITY SCHOOL DIST","3386.88","60.0"
"2019","Data Transmission and/or Internet Access","KEOKUK COMMUNITY SCHOOL DIST","15792.00","80.0"
"2019","Data Transmission and/or Internet Access","ANKENY CHRISTIAN ACADEMY","2822.40","40.0"
"2019","Data Transmission and/or Internet Access","AKRON-WESTFIELD COMM SCH DIST","1116.00","60.0"
"2019","Data Transmission and/or Internet Access","ACKLEY-GENEVA WELLSBURG STEAMBOAT ROCK SCHOOL DIST","10363.50","70.0"
"2019","Data Transmission and/or Internet Access","KEYSTONE AREA ED AGENCY 01","3164.00","70.0"
"2019","Data Transmission and/or Internet Access","APLINGTON PARKERSBURG COMMUNITY SCHOOL DISTRICT","5431.32","60.0"
"2019","Data Transmission and/or Internet Access","CLARION-GOLDFIELD DOWS COMMUNITY SCHOOLS","1488.00","80.0"
"2019","Data Transmission and/or Internet Access","AREA ED AGENCY 10-GRANT WOOD","2392.00","50.0"
"2019","Data Transmission and/or Internet Access","LENOX COMMUNITY SCHOOL DIST","6062.00","70.0"
"2019","Data Transmission and/or Internet Access","CLARION-GOLDFIELD DOWS COMMUNITY SCHOOLS","19110.40","80.0"
"2019","Data Transmission and/or Internet Access","MORMON TRAIL COMM SCHOOL DIST","3544.00","80.0"
"2019","Data Transmission and/or Internet Access","CLARKE COMMUNITY SCHOOL DIST","12004.00","80.0"
"2019","Data Transmission and/or Internet Access","MAQUOKETA VALLEY COMMUNITY SCHOOL DIST.","9018.80","70.0"
"2018","Voice","HARTLEY MELVIN SANBORN SCHOOL","91.97","10"
"2018","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","8640.00","60"
"2018","Data Transmission and/or Internet Access","HARRIS-LAKE PARK COMM SCH DIST","4233.60","60"
"2018","Data Transmission and/or Internet Access","HARMONY COMM SCHOOL DISTRICT","11833.60","80"
"2018","Managed Internal Broadband Services","HARMONY COMM SCHOOL DISTRICT","2073.60","80"
"2018","Voice","HAMPTON-DUMONT COMM SCH DIST","603.36","20"
"2018","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","6328.80","60"
"2018","Data Transmission and/or Internet Access","HAMBURG COMM SCHOOL DISTRICT","5697.60","80"
"2018","Data Transmission and/or Internet Access","GUTHRIE CENTER COMM SCH DIST","6585.60","70"
"2018","Data Transmission and/or Internet Access","HAMPTON-DUMONT COMM SCH DIST","18601.60","80"
"2018","Voice","GREEN HILLS AEA","22.08","10"
"2018","Voice","GREEN HILLS AEA","41.82","10"
"2018","Managed Internal Broadband Services","HAMPTON-DUMONT COMM SCH DIST","2073.60","80"
"2018","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","2160.00","60"
"2018","Data Transmission and/or Internet Access","GRUNDY CENTER COMM SCHOOL DIST","13148.40","60"
"2018","Data Transmission and/or Internet Access","Great Prairie AEA Consortium","279583.70","70"
"2018","Data Transmission and/or Internet Access","GREAT PRAIRIE AEA","6020.00","70"
"2018","Data Transmission and/or Internet Access","Green Hills AEA","83836.80","72"
"2018","Data Transmission and/or Internet Access","GRANT WOOD AEA  CONSORTIUM","90880.00","64"
"2018","Data Transmission and/or Internet Access","Green Hills AEA","8457.31","80"
"2018","Voice","GMG COMMUNITY SCHOOL DISTRICT","63.58","10"
"2018","Data Transmission and/or Internet Access","GREAT PRAIRIE AEA","7375.20","70"
"2018","Data Transmission and/or Internet Access","GLADBROOK-REINBECK COMM SCHOOL DISTRICT","3927.00","60"
"2018","Data Transmission and/or Internet Access","GILBERT COMMUNITY SCHOOL DIST","11466.00","50"
"2018","Data Transmission and/or Internet Access","GLADBROOK-REINBECK COMM SCHOOL DISTRICT","2232.00","60"
"2018","Data Transmission and/or Internet Access","FORT MADISON COMM SCHOOL DIST","16934.40","80"
"2018","Data Transmission and/or Internet Access","FREMONT-MILLS COMM SCHOOL DIST","6585.60","70"
"2018","Data Transmission and/or Internet Access","GMG COMMUNITY SCHOOL DISTRICT","13994.40","70"
"2018","Data Transmission and/or Internet Access","GREEN HILLS AEA","2016.00","70"
"2018","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","2160.00","60"
"2018","Data Transmission and/or Internet Access","GALVA-HOLSTEIN COMM SCH DIST","2658.00","60"
"2018","Data Transmission and/or Internet Access","ENGLISH VALLEYS COMM SCH DIST","9878.40","70"
"2018","Voice","EDGEWOOD-COLESBURG COMM S D","21.42","10"
"2018","Data Transmission and/or Internet Access","ESSEX COMMUNITY SCHOOL DIST","6725.60","70"
"2018","Data Transmission and/or Internet Access","EDGEWOOD-COLESBURG COMM S D","6585.60","70"
"2018","Data Transmission and/or Internet Access","ESTHERVILLE LINCOLN CENTRAL SD","11900.00","70"
"2018","Data Transmission and/or Internet Access","EDDYVILLE BLAKESBURG FREMONT CSD","4116.00","70"
"2018","Data Transmission and/or Internet Access","EDGEWOOD-COLESBURG COMM S D","22545.60","70"
"2018","Data Transmission and/or Internet Access","EAST UNION COMMUNITY SCH DIST","10915.20","80"
"2018","Data Transmission and/or Internet Access","EAST MILLS COMM SCH DIST","4643.77","70"
"2018","Data Transmission and/or Internet Access","EASTERN ALLAMAKEE SCHOOL DIST","4832.24","72"
"2018","Data Transmission and/or Internet Access","EARLHAM COMMUNITY SCHOOL DIST","11421.00","60"
"2018","Data Transmission and/or Internet Access","EAST BUCHANAN COMM SCHOOL DIST","1414.42","60"
"2018","Data Transmission and/or Internet Access","EDDYVILLE BLAKESBURG FREMONT CSD","4116.00","70"
"2018","Data Transmission and/or Internet Access","FORT DODGE PUBLIC LIBRARY","8620.00","80"
"2018","Data Transmission and/or Internet Access","EAST MARSHALL COMM SCHOOL DIST","686.00","70"
"2018","Data Transmission and/or Internet Access","DOWLING CATHOLIC HIGH SCHOOL/WDM","8547.20","40"
"2018","Data Transmission and/or Internet Access","DIKE-NEW HARTFORD SCHOOL DIST","10272.00","60"
"2018","Voice","DRAKE PUBLIC LIBRARY","21.60","20"
"2018","Data Transmission and/or Internet Access","DIAGONAL COMM SCHOOL DISTRICT","4581.50","72"
"2018","Data Transmission and/or Internet Access","DURANT COMMUNITY SCHOOL DIST","13759.20","60"
"2018","Data Transmission and/or Internet Access","DENVER COMMUNITY SCHOOL DIST","5536.50","50"
"2018","Data Transmission and/or Internet Access","DIAGONAL COMM SCHOOL DISTRICT","4581.50","72"
"2018","Data Transmission and/or Internet Access","DALLAS CENTER-GRIMES SCH DIST","14300.00","51"
"2018","Data Transmission and/or Internet Access","CRESTON COMM SCHOOLS","29488.00","80"
"2018","Data Transmission and/or Internet Access","DENISON COMMUNITY SCHOOL DIST","21029.40","90"
"2018","Data Transmission and/or Internet Access","COLUMBUS COMMUNITY SCHOOL DIST","11601.00","90"
"2018","Data Transmission and/or Internet Access","CORNING COMMUNITY SCHOOL DIST","8593.00","70"
"2018","Data Transmission and/or Internet Access","HEARTLAND AREA ED AGENCY 11","11080.80","60"
"2018","Voice","DENISON COMMUNITY SCHOOL DIST","442.80","30"
"2018","Data Transmission and/or Internet Access","EAGLE GROVE COMMUNITY SCH DIST","22108.80","80"
"2018","Voice","FORT DODGE PUBLIC LIBRARY","48.00","20"
"2018","Data Transmission and/or Internet Access","COUNCIL BLUFFS COMM SCH DIST","6199.20","90"
"2018","Data Transmission and/or Internet Access","CLARION-GOLDFIELD DOWS COMMUNITY SCHOOLS","1302.00","70"
"2018","Internal Connections","CLARINDA COMM SCHOOL DISTRICT","4622.63","70"
"2018","Data Transmission and/or Internet Access","CLARION-GOLDFIELD DOWS COMMUNITY SCHOOLS","16627.10","70"
"2018","Data Transmission and/or Internet Access","CHEROKEE COMM SCHOOL DISTRICT","9055.20","70"
"2018","Voice","CLARION-GOLDFIELD DOWS COMMUNITY SCHOOLS","36.12","10"
"2018","Data Transmission and/or Internet Access","CHARTER OAK-UTE COMM SCH DIST","7728.00","70"
"2018","Data Transmission and/or Internet Access","CLARINDA COMM SCHOOL DISTRICT","11984.00","71"
"2018","Voice","CENTRAL SPRINGS COMMUNITY SCHOOL DISTRICT","28.38","10"
"2018","Voice","CENTRAL SPRINGS COMMUNITY SCHOOL DISTRICT","44.29","10"
"2018","Data Transmission and/or Internet Access","CENTRAL SPRINGS COMMUNITY SCHOOL DISTRICT","756.88","70"
"2018","Data Transmission and/or Internet Access","CENTRAL SPRINGS COMMUNITY SCHOOL DISTRICT","756.88","70"
"2018","Data Transmission and/or Internet Access","CHARITON COMM SCHOOL DISTRICT","17094.40","81"
"2018","Data Transmission and/or Internet Access","CENTRAL COMM SCH DIST","7898.04","60"
"2018","Data Transmission and/or Internet Access","CENTRAL LEE COMM SCHOOL DIST","16276.40","72"
"2018","Data Transmission and/or Internet Access","CENTRAL CITY COMM SCHOOL DIST","9878.40","60"
"2018","Data Transmission and/or Internet Access","CHARLES CITY COMM SCHOOL DIST","18816.00","80"
"2018","Voice","CLARKE COMMUNITY SCHOOL DIST","309.60","20"
"2018","Data Transmission and/or Internet Access","CARDINAL COMMUNITY SCHOOL DIST","17962.08","80"
"2018","Managed Internal Broadband Services","CENTRAL LEE COMM SCHOOL DIST","1814.40","70"
"2018","Data Transmission and/or Internet Access","C A L COMM SCHOOL DISTRICT","6961.92","80"
"2018","Data Transmission and/or Internet Access","CAM COMMUNITY SCHOOL DIST","11664.80","71"
"2018","Data Transmission and/or Internet Access","BROOKLYN-GUERNSEY-MALCOM SCHS","9878.40","60"
"2018","Data Transmission and/or Internet Access","BOYDEN-HULL COMM SCHOOL DIST","1116.00","60"
"2018","Voice","BOYER VALLEY COMM SCHOOL DIST","160.94","10"
"2018","Managed Internal Broadband Services","BOSCO SYSTEM","4330.00","50"
"2018","Data Transmission and/or Internet Access","CAM COMMUNITY SCHOOL DIST","11664.80","71"
"2018","Data Transmission and/or Internet Access","BENTON COMMUNITY SCHOOL DIST","8012.45","60"
"2018","Data Transmission and/or Internet Access","BISHOP HEELAN CATHOLIC SCHOOLS","7200.00","50"
"2018","Data Transmission and/or Internet Access","BENNETT COMMUNITY SCHOOL DIST","3704.40","70"
"2018","Voice","BEDFORD COMMUNITY SCHOOL DISTRICT","153.62","20"
"2018","Data Transmission and/or Internet Access","BELLE PLAINE COMM SCHOOL DIST","4300.80","70"
"2018","Data Transmission and/or Internet Access","BOONE COMMUNITY SCHOOL DIST","16052.40","70"
"2018","Voice","BELMOND PUBLIC LIBRARY","24.00","20"
"2018","Voice","CAM COMMUNITY SCHOOL DIST","54.00","10"
"2018","Data Transmission and/or Internet Access","AUDUBON COMMUNITY SCHOOL DIST","120402.80","70"
"2018","Data Transmission and/or Internet Access","BATTLE CREEK-IDA GROVE COMMUNITY SCHOOLS","6062.00","72"
"2018","Voice","ATLANTIC COMM SCHOOL DISTRICT","720.00","20"
"2018","Data Transmission and/or Internet Access","Area Education Agency 267 Consortium","44907.20","68"
"2018","Data Transmission and/or Internet Access","ATLANTIC COMM SCHOOL DISTRICT","29488.00","80"
"2018","Data Transmission and/or Internet Access","AREA EDUCATION AGENCY 267","4396.80","60"
"2018","Data Transmission and/or Internet Access","BECKMAN HIGH SCHOOL/DYERSVILLE","6468.00","50"
"2018","Data Transmission and/or Internet Access","CLAYTON RIDGE CSD","14406.00","70"
"2018","Data Transmission and/or Internet Access","APLINGTON PARKERSBURG COMMUNITY SCHOOL DISTRICT","5551.32","60"
"2018","Data Transmission and/or Internet Access","AREA ED AGENCY 10-GRANT WOOD","2234.40","50"
"2018","Data Transmission and/or Internet Access","ANKENY COMMUNITY SCHOOL DIST","26239.33","40"
"2018","Data Transmission and/or Internet Access","CAMANCHE COMMUNITY SCHOOL DIST","6345.00","60"
"2018","Internal Connections","ANAMOSA COMMUNITY SCHOOL DIST","1814.40","70"
"2018","Voice","ANAMOSA COMMUNITY SCHOOL DIST","149.40","10"
"2018","Data Transmission and/or Internet Access","AREA EDUCATION AGENCY 267","4396.80","60"
"2018","Data Transmission and/or Internet Access","BEDFORD COMMUNITY SCHOOL DISTRICT","7686.40","82"
"2018","Data Transmission and/or Internet Access","ALBERT CITY-TRUESDALE CSD","3101.00","70"
"2018","Data Transmission and/or Internet Access","ALBIA COMMUNITY SCHOOL DIST","11524.80","70"
"2018","Data Transmission and/or Internet Access","AKRON-WESTFIELD COMM SCH DIST","1116.00","60"
"2018","Data Transmission and/or Internet Access","ADAIR-CASEY COMM SCHOOL DIST","6585.60","70"
"2018","Voice","ADAIR-CASEY COMM SCHOOL DIST","42.00","10"
