"case_number","datetime","month","weekday","nature","address","district","agency","report","georeference"
"B16-04176","2016-01-31T21:36:44.000","January","Sunday","NOISE","704 W 4TH ST","LB408","BPD","NO REPORT","POINT (-86.541322 39.16562)"
"B16-04187","2016-02-01T00:16:47.000","February","Monday","DISTURBANCE IP","1705 S HUNTINGTON DR","LB316","BPD","REPORT","POINT (-86.520831 39.147654)"
"B16-04190","2016-02-01T00:31:42.000","February","Monday","DISTURBANCE IP","219 E 4TH ST","LB104","BPD","NO REPORT","POINT (-86.531483 39.165577)"
"B16-04194","2016-02-01T02:33:56.000","February","Monday","NOISE","301 E BROWNSTONE DR","LB213","BPD","NO REPORT","POINT (-86.53057 39.1755)"
"B16-04222","2016-02-01T11:07:57.000","February","Monday","DISTURBANCE IP","1115 S WALNUT ST","LB314","BPD","NO REPORT","POINT (-86.533651 39.15361)"
"B16-04227","2016-02-01T11:51:08.000","February","Monday","ALCOHOL RELATED","E MILLER DR & S HENDERSON ST","LB316","BPD","NO REPORT","POINT (-86.526923 39.146895)"
"B16-04228","2016-02-01T12:21:45.000","February","Monday","VANDALISM NP","120 S KINGSTON DR","LB221","BPD","REPORT","POINT (-86.492714 39.165897)"
"B16-04235","2016-02-01T13:06:11.000","February","Monday","DISTURBANCE IP","3207 E 3RD ST","LB221","BPD","NO REPORT","POINT (-86.492354 39.164233)"
"B16-04268","2016-02-01T16:40:54.000","February","Monday","NOISE","1020 W 6TH ST","LB520","BPD","NO REPORT","POINT (-86.54619 39.167627)"
"B16-04270","2016-02-01T16:52:12.000","February","Monday","VANDALISM IP","1010 W COTTAGE GROVE AVE","LB518","BPD","REPORT","POINT (-86.546006 39.172586)"
"B16-04277","2016-02-01T17:39:45.000","February","Monday","VANDALISM NP","901 N DUNN ST","LB213","BPD","REPORT","POINT (-86.528306 39.174732)"
"B16-04305","2016-02-01T21:30:20.000","February","Monday","NOISE","421 E 19TH ST","LB212","BPD","NO REPORT","POINT (-86.528626 39.180972)"
"B16-04318","2016-02-02T00:25:12.000","February","Tuesday","NOISE","379 E MELROSE AVE","LB315","BPD","NO REPORT","POINT (-86.52944 39.149263)"
"B16-04322","2016-02-02T04:07:21.000","February","Tuesday","NOISE","217 E 1ST ST","LB301","BPD","NO REPORT",
"B16-04325","2016-02-02T05:32:40.000","February","Tuesday","NOISE","217 E 1ST ST","LB301","BPD","NO REPORT",
"B16-04327","2016-02-02T06:19:54.000","February","Tuesday","NOISE","3315 E LONGVIEW AVE","LB221","BPD","NO REPORT","POINT (-86.492327 39.166918)"
"B16-04350","2016-02-02T13:43:41.000","February","Tuesday","VANDALISM NP","345 S MULLER PKWY","LB405","BPD","NO REPORT","POINT (-86.564515 39.163575)"
"B16-04377","2016-02-02T14:46:45.000","February","Tuesday","NOISE","1410 S PALMER AVE",,"BPD","NO REPORT","POINT (-86.529247 39.151069)"
"B16-04374","2016-02-02T14:51:47.000","February","Tuesday","ALCOHOL RELATED","910 S PERSIMMON TREE CIR",,"BPD","NO REPORT","POINT (-86.591232 39.157052)"
"B16-04379","2016-02-02T15:19:57.000","February","Tuesday","VANDALISM IP","3008 S ACADIA CT","LB329","BPD","NO REPORT",
"B16-04423","2016-02-02T21:18:08.000","February","Tuesday","NOISE","531 N COLLEGE AVE","LB101","BPD","NO REPORT","POINT (-86.534832 39.171531)"
"B16-04426","2016-02-02T22:23:06.000","February","Tuesday","DISTURBANCE IP","2420 E 3RD ST","LB303","BPD","NO REPORT","POINT (-86.504049 39.164249)"
"B16-04430","2016-02-02T23:23:25.000","February","Tuesday","DISTURBANCE IP","512 N COLLEGE AVE","LB101","BPD","NO REPORT","POINT (-86.534835 39.170926)"
"B16-04433","2016-02-02T23:24:58.000","February","Tuesday","NOISE","1150 S CLARIZZ BLVD","LB310","BPD","NO REPORT","POINT (-86.49099 39.15155)"
"B16-04436","2016-02-03T00:10:09.000","February","Wednesday","NOISE","379 E MELROSE AVE","LB315","BPD","NO REPORT","POINT (-86.52944 39.149263)"
"B16-04442","2016-02-03T04:07:59.000","February","Wednesday","NOISE","S HENDERSON ST & E 1ST ST","LB302","BPD","NO REPORT","POINT (-86.526957 39.141903)"
"B16-04451","2016-02-03T06:28:50.000","February","Wednesday","VANDALISM NP","809 N WALNUT ST","LB519","BPD","REPORT","POINT (-86.533555 39.174076)"
"B16-04480","2016-02-03T11:19:00.000","February","Wednesday","DISTURBANCE IP","1914 S OAKDALE DR","LB417","BPD","REPORT","POINT (-86.568298 39.145304)"
"B16-04491","2016-02-03T13:23:17.000","February","Wednesday","DISTURBANCE IP","3100 S WALNUT STREET PIKE","LB336","BPD","REPORT","POINT (-86.526785 39.128164)"
"B16-04506","2016-02-03T15:14:10.000","February","Wednesday","DISTURBANCE IP","1202 W 12TH ST",,"BPD","NO REPORT","POINT (-86.548088 39.17423)"
"B16-04509","2016-02-03T15:38:08.000","February","Wednesday","VANDALISM NP","2500 S ROCKPORT RD","LB424","BPD","NO REPORT","POINT (-86.543817 39.141343)"
"B16-04537","2016-02-03T20:41:31.000","February","Wednesday","NOISE","233 E BROWNSTONE DR","LB213","BPD","NO REPORT",
"B16-04554","2016-02-04T01:28:00.000","February","Thursday","DISTURBANCE IP","605 S FESS AVE","LB302","BPD","REPORT","POINT (-86.525936 39.161171)"
"B16-04589","2016-02-04T11:52:54.000","February","Thursday","DISTURBANCE IP","322 E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.530081 39.166541)"
"B16-04599","2016-02-04T13:07:21.000","February","Thursday","DISTURBANCE IP","2160 N WALNUT ST","LB212","BPD","NO REPORT","POINT (-86.534509 39.18588)"
"B16-04625","2016-02-04T16:24:14.000","February","Thursday","DISTURBANCE IP","N WALNUT ST & E 7TH ST","LB102","BPD","NO REPORT","POINT (-86.533599 39.168539)"
"B16-04654","2016-02-04T21:29:44.000","February","Thursday","NOISE","1309 S PALMER AVE","LB314","BPD","NO REPORT","POINT (-86.529229 39.152035)"
"B16-04661","2016-02-04T23:51:01.000","February","Thursday","NOISE","119 S PARK RIDGE RD","LB219","BPD","NO REPORT","POINT (-86.475746 39.165383)"
"B16-04704","2016-02-05T11:32:08.000","February","Friday","DISTURBANCE IP","2354 S HENDERSON ST","LB327","BPD","NO REPORT","POINT (-86.526928 39.13827)"
"B16-04722","2016-02-05T14:11:42.000","February","Friday","VANDALISM IP","2355 S BRANDON CT","LB326","BPD","REPORT","POINT (-86.525673 39.138207)"
"B16-04734","2016-02-05T16:02:11.000","February","Friday","NOISE","N LINCOLN ST & E 8TH ST","LB102","BPD","NO REPORT","POINT (-86.531056 39.169468)"
"B16-04757","2016-02-05T19:50:47.000","February","Friday","DISTURBANCE IP","2642 E 3RD ST","LB304","BPD","NO REPORT","POINT (-86.499188 39.164187)"
"B16-04764","2016-02-05T20:47:32.000","February","Friday","DISTURBANCE IP","3100 S WALNUT STREET PIKE","LB336","BPD","REPORT","POINT (-86.526785 39.128164)"
"B16-04770","2016-02-05T21:41:13.000","February","Friday","NOISE","1057 S BASSWOOD CIR","LB415","BPD","NO REPORT","POINT (-86.569884 39.152228)"
"B16-04773","2016-02-05T22:02:25.000","February","Friday","NOISE","119 S PARK RIDGE RD","LB219","BPD","NO REPORT","POINT (-86.475746 39.165383)"
"B16-04774","2016-02-05T22:49:43.000","February","Friday","NOISE","1310 E ATWATER AVE","LB303","BPD","NO REPORT","POINT (-86.516895 39.163058)"
"B16-04777","2016-02-05T23:28:41.000","February","Friday","DISTURBANCE IP","221 N WALNUT ST","LB101","BPD","REPORT","POINT (-86.53361 39.167751)"
"B16-04786","2016-02-06T00:42:13.000","February","Saturday","NOISE","1700 N WALNUT ST","LB212","BPD","NO REPORT","POINT (-86.533836 39.18183)"
"B16-04785","2016-02-06T00:52:45.000","February","Saturday","NOISE","553 S DOLIMAH AVE","LB406","BPD","NO REPORT","POINT (-86.552143 39.161985)"
"B16-04787","2016-02-06T00:55:31.000","February","Saturday","NOISE","115 N GLENWOOD AVE W","LB220","BPD","NO REPORT","POINT (-86.490088 39.166633)"
"B16-04790","2016-02-06T02:04:34.000","February","Saturday","NOISE","720 S COLLEGE MALL RD","LB305","BPD","NO REPORT","POINT (-86.497893 39.158965)"
"B16-04791","2016-02-06T02:08:29.000","February","Saturday","NOISE","524 N COLLEGE AVE","LB101","BPD","NO REPORT","POINT (-86.534833 39.171256)"
"B16-04796","2016-02-06T02:54:32.000","February","Saturday","NOISE","524 N COLLEGE AVE","LB101","BPD","NO REPORT","POINT (-86.534833 39.171256)"
"B16-04860","2016-02-06T16:56:41.000","February","Saturday","DISTURBANCE IP","3409 W SPRUCE DR","LB417","BPD","REPORT","POINT (-86.572057 39.144457)"
"B16-04871","2016-02-06T18:42:01.000","February","Saturday","DISTURBANCE IP","N WALNUT ST & E 12TH ST","LB519","BPD","REPORT","POINT (-86.533551 39.174358)"
"B16-04880","2016-02-06T20:27:35.000","February","Saturday","NOISE","1015 N ROGERS ST","LB518","BPD","NO REPORT","POINT (-86.538504 39.176409)"
"B16-04879","2016-02-06T20:43:00.000","February","Saturday","DISTURBANCE IP","S DUNN ST & E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.52825 39.166534)"
"B16-04888","2016-02-06T21:04:36.000","February","Saturday","NOISE","2675 E 7TH ST","LB221","BPD","NO REPORT","POINT (-86.497449 39.167795)"
"B16-04889","2016-02-06T21:13:25.000","February","Saturday","NOISE","500 S LINCOLN ST","LB301","BPD","NO REPORT","POINT (-86.531248 39.161148)"
"B16-04901","2016-02-06T23:13:17.000","February","Saturday","NOISE","345 S COLLEGE AVE","LB103","BPD","NO REPORT","POINT (-86.534915 39.163435)"
"B16-04903","2016-02-06T23:14:34.000","February","Saturday","NOISE","215 E 12TH ST","LB213","BPD","NO REPORT","POINT (-86.531348 39.174369)"
"B16-04905","2016-02-07T00:08:43.000","February","Sunday","NOISE","536 S WASHINGTON ST","LB301","BPD","NO REPORT","POINT (-86.532413 39.159518)"
"B20-18101","2020-05-17T02:10:09.000","May","Sunday","NOISE","421 N DUNN ST",,"BPD","NO REPORT","POINT (-86.528279 39.170144)"
"B16-04908","2016-02-07T00:22:46.000","February","Sunday","NOISE","715 N WOODBRIDGE DR","LB216","BPD","NO REPORT","POINT (-86.49159 39.17275)"
"B16-04909","2016-02-07T00:35:03.000","February","Sunday","NOISE","1150 S CLARIZZ BLVD","LB310","BPD","NO REPORT","POINT (-86.49099 39.15155)"
"B16-04911","2016-02-07T02:30:10.000","February","Sunday","DISTURBANCE IP","215 N WALNUT ST","LB101","BPD","NO REPORT","POINT (-86.533611 39.16769)"
"B16-04920","2016-02-07T02:32:39.000","February","Sunday","NOISE","504 S MULLER PKWY","LB404","BPD","NO REPORT","POINT (-86.568209 39.160749)"
"B16-04922","2016-02-07T04:53:19.000","February","Sunday","VANDALISM IP","407 E 12TH ST","LB213","BPD","REPORT","POINT (-86.529388 39.174361)"
"B16-04923","2016-02-07T05:07:26.000","February","Sunday","NOISE","3482 E COVENANTER DR","LB309","BPD","NO REPORT","POINT (-86.489712 39.152423)"
"B16-04940","2016-02-07T11:57:18.000","February","Sunday","DISTURBANCE IP","2307 E 2ND ST","LB304","BPD","NO REPORT","POINT (-86.504677 39.160942)"
"B16-04944","2016-02-07T13:20:51.000","February","Sunday","DISTURBANCE IP","S COLLEGE MALL RD & E 3RD ST","LB221","BPD","NO REPORT","POINT (-86.498236 39.164184)"
"B16-04972","2016-02-07T18:05:17.000","February","Sunday","DISTURBANCE IP","1600 N WILLIS DR","LB513","BPD","NO REPORT","POINT (-86.544081 39.18099)"
"B16-04975","2016-02-07T18:27:51.000","February","Sunday","VANDALISM NP","108 E SOUTHERN DR","LB315","BPD","REPORT","POINT (-86.532988 39.149735)"
"B16-04980","2016-02-07T19:31:05.000","February","Sunday","NOISE","1212 N GRANT ST","LB213","BPD","NO REPORT","POINT (-86.529712 39.178307)"
"B16-04994","2016-02-07T20:37:40.000","February","Sunday","NOISE","1600 N WILLIS DR","LB513","BPD","NO REPORT","POINT (-86.544081 39.18099)"
"B16-05002","2016-02-08T00:29:15.000","February","Monday","VANDALISM IP","1008 N SUMMIT ST","LB517","BPD","REPORT",
"B16-05041","2016-02-08T11:30:28.000","February","Monday","DISTURBANCE IP","3325 S ACADIA CT","LB329","BPD","NO REPORT","POINT (-86.518202 39.134628)"
"B16-05128","2016-02-09T09:00:00.000","February","Tuesday","VANDALISM NP","3901 N KINSER PIKE","LB508","BPD","REPORT","POINT (-86.547255 39.200988)"
"B16-05203","2016-02-10T00:40:59.000","February","Wednesday","NOISE","530 N LINCOLN ST","LB102","BPD","NO REPORT","POINT (-86.53104 39.171366)"
"B16-05231","2016-02-10T10:33:22.000","February","Wednesday","DISTURBANCE IP","1711 N COLLEGE AVE","LB512","BPD","NO REPORT","POINT (-86.534664 39.181836)"
"B16-05235","2016-02-10T11:11:50.000","February","Wednesday","DISTURBANCE IP","609 S HARVEY DR","LB402","BPD","NO REPORT","POINT (-86.587917 39.161445)"
"B16-05239","2016-02-10T11:57:07.000","February","Wednesday","VANDALISM NP","1020 S WOODLAWN AVE","LB313","BPD","REPORT","POINT (-86.522646 39.15519)"
"B16-05296","2016-02-10T21:09:46.000","February","Wednesday","NOISE","612 S STATE ROAD 446","LB307","BPD","NO REPORT","POINT (-86.471592 39.16027)"
"B16-05300","2016-02-10T22:31:31.000","February","Wednesday","DISTURBANCE IP","111 S GRANT ST","LB104","BPD","NO REPORT","POINT (-86.529806 39.16604)"
"B16-05319","2016-02-11T08:20:05.000","February","Thursday","DISTURBANCE IP","614 E 2ND ST","LB302","BPD","NO REPORT","POINT (-86.526764 39.161332)"
"B16-05332","2016-02-11T11:45:47.000","February","Thursday","PANHANDLING","221 N WALNUT ST","LB101","BPD","NO REPORT","POINT (-86.53361 39.167751)"
"B16-05380","2016-02-11T18:53:49.000","February","Thursday","NOISE","225 E 20TH ST","LB212","BPD","NO REPORT","POINT (-86.531648 39.181971)"
"B16-05410","2016-02-11T23:28:15.000","February","Thursday","NOISE","612 S STATE ROAD 446","LB307","BPD","NO REPORT","POINT (-86.471592 39.16027)"
"B16-05411","2016-02-11T23:51:16.000","February","Thursday","NOISE","701 N WALNUT ST","LB519","BPD","NO REPORT","POINT (-86.533564 39.173509)"
"B16-05423","2016-02-12T02:22:09.000","February","Friday","NOISE","330 S WILMINGTON CT","LB305","BPD","NO REPORT","POINT (-86.490132 39.163551)"
"B16-05431","2016-02-12T06:42:43.000","February","Friday","DISTURBANCE IP","1935 S BASSWOOD DR","LB417","BPD","NO REPORT","POINT (-86.569456 39.149946)"
"B16-05439","2016-02-12T08:36:44.000","February","Friday","DISTURBANCE IP","620 S WALNUT ST","LB410","BPD","NO REPORT","POINT (-86.533661 39.158588)"
"B16-05450","2016-02-12T12:19:40.000","February","Friday","DISTURBANCE IP","303 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.531064 39.166547)"
"B16-05455","2016-02-12T13:14:13.000","February","Friday","DISTURBANCE IP","1301 S MADISON ST","LB412","BPD","NO REPORT","POINT (-86.537637 39.152531)"
"B16-05499","2016-02-12T17:35:01.000","February","Friday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-05506","2016-02-12T19:12:48.000","February","Friday","DISTURBANCE IP","223 S PETE ELLIS DR","LB221","BPD","NO REPORT","POINT (-86.49493 39.16528)"
"B16-05528","2016-02-12T21:56:53.000","February","Friday","NOISE","504 S MULLER PKWY","LB404","BPD","NO REPORT","POINT (-86.568209 39.160749)"
"B16-05535","2016-02-12T22:18:23.000","February","Friday","NOISE","1309 S PALMER AVE","LB314","BPD","NO REPORT","POINT (-86.529229 39.152035)"
"B16-05542","2016-02-12T23:11:00.000","February","Friday","NOISE","913 N COLLEGE AVE","LB519","BPD","NO REPORT","POINT (-86.534767 39.175359)"
"B16-05553","2016-02-13T00:34:25.000","February","Saturday","DISTURBANCE IP","310 S COLLEGE AVE","LB103","BPD","NO REPORT","POINT (-86.53491 39.163784)"
"B16-05556","2016-02-13T00:41:22.000","February","Saturday","NOISE","700 S EASTSIDE DR","LB303","BPD","NO REPORT","POINT (-86.51267 39.159992)"
"B16-05557","2016-02-13T01:05:34.000","February","Saturday","NOISE","379 E MELROSE AVE","LB315","BPD","NO REPORT","POINT (-86.52944 39.149263)"
"B16-05560","2016-02-13T01:09:24.000","February","Saturday","NOISE","717 S EASTSIDE DR","LB303","BPD","NO REPORT","POINT (-86.512667 39.159824)"
"B16-05569","2016-02-13T03:09:43.000","February","Saturday","DISTURBANCE IP","1513 S WALNUT ST","LB315","BPD","NO REPORT","POINT (-86.533538 39.150057)"
"B16-05573","2016-02-13T04:36:51.000","February","Saturday","DISTURBANCE IP","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-05591","2016-02-13T11:31:05.000","February","Saturday","PANHANDLING","322 E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.530081 39.166541)"
"B16-05593","2016-02-13T11:43:42.000","February","Saturday","DISTURBANCE IP","1321 W 13TH ST","LB517","BPD","REPORT","POINT (-86.550448 39.174991)"
"B16-05625","2016-02-13T16:53:50.000","February","Saturday","DISTURBANCE IP","N LINCOLN ST & E 6TH ST","LB102","BPD","NO REPORT","POINT (-86.531071 39.167544)"
"B16-05639","2016-02-13T19:08:58.000","February","Saturday","NOISE","1309 S PALMER AVE","LB314","BPD","NO REPORT","POINT (-86.529229 39.152035)"
"B16-05649","2016-02-13T20:42:22.000","February","Saturday","DISTURBANCE IP","2420 E 3RD ST","LB304","BPD","NO REPORT","POINT (-86.504049 39.164249)"
"B16-05658","2016-02-13T21:30:11.000","February","Saturday","NOISE","212 N MORTON ST","LB101","BPD","NO REPORT","POINT (-86.536154 39.167564)"
"B16-05667","2016-02-13T22:42:50.000","February","Saturday","NOISE","2321 S ROCKPORT RD","LB423","BPD","NO REPORT","POINT (-86.542031 39.143167)"
"B16-05673","2016-02-13T23:03:32.000","February","Saturday","NOISE","302 N WASHINGTON ST","LB102","BPD","NO REPORT","POINT (-86.532328 39.168749)"
"B16-05689","2016-02-14T00:33:19.000","February","Sunday","NOISE","1175 S COLLEGE MALL RD","LB310","BPD","NO REPORT","POINT (-86.497592 39.153427)"
"B16-05704","2016-02-14T03:28:41.000","February","Sunday","NOISE","212 N MORTON ST","LB101","BPD","NO REPORT","POINT (-86.536154 39.167564)"
"B16-05706","2016-02-14T03:45:00.000","February","Sunday","NOISE","525 S PATTERSON DR","LB406","BPD","NO REPORT","POINT (-86.550545 39.162681)"
"B16-05708","2016-02-14T04:23:54.000","February","Sunday","DISTURBANCE IP","1601 E MATLOCK RD","LB211","BPD","NO REPORT","POINT (-86.515861 39.186241)"
"B16-05722","2016-02-14T09:24:53.000","February","Sunday","VANDALISM NP","1200 E ATWATER AVE","LB302","BPD","REPORT","POINT (-86.518979 39.163081)"
"B16-05721","2016-02-14T09:48:14.000","February","Sunday","DISTURBANCE IP","102 E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.533602 39.166582)"
"B16-05774","2016-02-14T16:04:06.000","February","Sunday","NOISE","2304 S ROCKPORT RD","LB420","BPD","NO REPORT","POINT (-86.541635 39.143559)"
"B16-05788","2016-02-14T18:47:39.000","February","Sunday","NOISE","406 E 11TH ST","LB213","BPD","NO REPORT","POINT (-86.529577 39.173436)"
"B16-05799","2016-02-14T21:14:20.000","February","Sunday","DISTURBANCE IP","959 E MILLER DR","LB316","BPD","NO REPORT","POINT (-86.521507 39.146859)"
"B16-05831","2016-02-15T09:48:59.000","February","Monday","VANDALISM NP","221 N WALNUT ST","LB101","BPD","REPORT","POINT (-86.53361 39.167751)"
"B16-05840","2016-02-15T10:57:16.000","February","Monday","DISTURBANCE NP","RBT S SARE RD AT E ROGERS RD","LB332","BPD","NO REPORT",
"B16-05846","2016-02-15T12:59:46.000","February","Monday","DISTURBANCE IP","425 N HAY ST","LB521","BPD","NO REPORT","POINT (-86.553481 39.17034)"
"B16-05855","2016-02-15T13:45:38.000","February","Monday","VANDALISM IP","1400 N GRANT ST","LB212","BPD","REPORT","POINT (-86.529649 39.180376)"
"B16-05870","2016-02-15T15:52:15.000","February","Monday","NOISE","1600 N WILLIS DR","LB513","BPD","NO REPORT","POINT (-86.544081 39.18099)"
"B16-05873","2016-02-15T16:37:58.000","February","Monday","DISTURBANCE IP","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-05875","2016-02-15T16:58:57.000","February","Monday","NOISE","2335 S BRANDON CT","LB326","BPD","NO REPORT",
"B16-05885","2016-02-15T19:02:07.000","February","Monday","DISTURBANCE IP","2457 W MARLENE DR","LB523","BPD","REPORT","POINT (-86.567383 39.165908)"
"B16-05890","2016-02-15T19:35:54.000","February","Monday","NOISE","619 S LINCOLN ST","LB301","BPD","NO REPORT","POINT (-86.531289 39.15863)"
"B16-05896","2016-02-15T21:47:59.000","February","Monday","NOISE","600 S LINCOLN ST","LB301","BPD","NO REPORT","POINT (-86.531288 39.159098)"
"B16-05901","2016-02-15T22:38:29.000","February","Monday","DISTURBANCE IP","424 S WALNUT ST","LB103","BPD","NO REPORT","POINT (-86.533643 39.162065)"
"B16-05906","2016-02-15T23:25:20.000","February","Monday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-05908","2016-02-16T00:01:27.000","February","Tuesday","DISTURBANCE IP","2819 E 3RD ST","LB221","BPD","NO REPORT","POINT (-86.495277 39.164236)"
"B16-05915","2016-02-16T01:11:18.000","February","Tuesday","NOISE","401 S WASHINGTON ST","LB104","BPD","NO REPORT","POINT (-86.53239 39.162476)"
"B16-05917","2016-02-16T01:21:48.000","February","Tuesday","NOISE","913 N COLLEGE AVE","LB519","BPD","NO REPORT","POINT (-86.534767 39.175359)"
"B16-05918","2016-02-16T02:10:00.000","February","Tuesday","DISTURBANCE IP","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-05919","2016-02-16T02:28:40.000","February","Tuesday","DISTURBANCE IP","601 W 2ND ST","LB409","BPD","NO REPORT","POINT (-86.540765 39.161403)"
"B16-05954","2016-02-16T11:26:31.000","February","Tuesday","DISTURBANCE IP","2475 S WALNUT STREET PIKE","LB327","BPD","NO REPORT","POINT (-86.529288 39.136587)"
"B16-05991","2016-02-16T16:57:36.000","February","Tuesday","DISTURBANCE NP","986 S COPPER BEECH WAY","LB415","BPD","NO REPORT","POINT (-86.57166 39.15521)"
"B16-06004","2016-02-16T18:14:45.000","February","Tuesday","VANDALISM NP","2297 W BLOOMFIELD RD","LMS31","BPD","REPORT","POINT (-86.564311 39.154255)"
"B16-06017","2016-02-16T20:40:49.000","February","Tuesday","DISTURBANCE IP","808 E MILLER DR","LB316","BPD","NO REPORT","POINT (-86.522426 39.146866)"
"B16-06020","2016-02-16T21:03:18.000","February","Tuesday","DISTURBANCE IP","105 W 7TH ST","LB101","BPD","NO REPORT","POINT (-86.533976 39.168541)"
"B16-06023","2016-02-16T21:28:59.000","February","Tuesday","PANHANDLING","430 E KIRKWOOD AVE","LB104","BPD","NO REPORT","POINT (-86.528512 39.166533)"
"B16-06029","2016-02-16T22:17:57.000","February","Tuesday","NOISE","612 S STATE ROAD 446","LB307","BPD","NO REPORT","POINT (-86.471592 39.16027)"
"B16-06028","2016-02-16T23:11:57.000","February","Tuesday","NOISE","S EASTSIDE DR & E 2ND ST","LB303","BPD","NO REPORT","POINT (-86.512693 39.161027)"
"B16-06026","2016-02-16T23:28:55.000","February","Tuesday","DISTURBANCE IP","1004 W COUNTRY CLUB DR","LB423","BPD","NO REPORT","POINT (-86.545466 39.13624)"
"B16-06033","2016-02-17T00:45:59.000","February","Wednesday","DISTURBANCE IP","3104 S ACADIA CT","LB329","BPD","NO REPORT",
"B16-06040","2016-02-17T04:50:31.000","February","Wednesday","NOISE","411 E SOUTHERN DR","LB315","BPD","NO REPORT","POINT (-86.529555 39.149728)"
"B16-06067","2016-02-17T10:53:20.000","February","Wednesday","VANDALISM NP","423 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.52873 39.166533)"
"B16-06071","2016-02-17T11:07:11.000","February","Wednesday","VANDALISM NP","1013 S MADISON ST","LB412","BPD","NO REPORT","POINT (-86.537498 39.156118)"
"B16-06090","2016-02-17T13:53:03.000","February","Wednesday","DISTURBANCE IP","305 E WINSLOW RD","LB326","BPD","NO REPORT","POINT (-86.524046 39.135949)"
"B16-06100","2016-02-17T15:08:32.000","February","Wednesday","VANDALISM NP","2813 E 3RD ST","LB221","BPD","REPORT","POINT (-86.495746 39.164284)"
"B16-06122","2016-02-17T18:00:36.000","February","Wednesday","DISTURBANCE IP","422 E KIRKWOOD AVE","LB104","BPD","REPORT","POINT (-86.528817 39.166532)"
"B16-06161","2016-02-18T01:31:31.000","February","Thursday","NOISE","E 15TH ST & N DUNN ST","LB214","BPD","NO REPORT","POINT (-86.528337 39.176979)"
"B16-06173","2016-02-18T06:44:15.000","February","Thursday","DISTURBANCE IP","111 S GRANT ST","LB104","BPD","NO REPORT","POINT (-86.529806 39.16604)"
"B16-06215","2016-02-18T12:43:54.000","February","Thursday","DISTURBANCE IP","221 N WALNUT ST","LB101","BPD","NO REPORT","POINT (-86.53361 39.167751)"
"B16-06229","2016-02-18T14:52:03.000","February","Thursday","PANHANDLING","S STATE ROAD 37 & W 3RD ST","LB524","BPD","NO REPORT",
"B16-06231","2016-02-18T15:02:02.000","February","Thursday","DISTURBANCE IP","601 W 2ND ST","LB409","BPD","REPORT","POINT (-86.540765 39.161403)"
"B16-06254","2016-02-18T18:01:13.000","February","Thursday","VANDALISM IP","2371 S WINSLOW CT","LB326","BPD","REPORT","POINT (-86.524166 39.137077)"
"B16-06264","2016-02-18T19:14:31.000","February","Thursday","DISTURBANCE IP","303 E KIRKWOOD AVE","LB102","BPD","NO REPORT","POINT (-86.531064 39.166547)"
"B16-06270","2016-02-18T20:06:07.000","February","Thursday","NOISE","3320 S ACADIA CT","LB329","BPD","NO REPORT","POINT (-86.518203 39.134676)"
"B16-06278","2016-02-18T21:45:12.000","February","Thursday","NOISE","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-06280","2016-02-18T22:02:05.000","February","Thursday","NOISE","1150 S CLARIZZ BLVD","LB310","BPD","NO REPORT","POINT (-86.49099 39.15155)"
"B16-06285","2016-02-18T22:48:08.000","February","Thursday","DISTURBANCE IP","3100 S WALNUT STREET PIKE","LB336","BPD","NO REPORT","POINT (-86.526785 39.128164)"
"B16-06287","2016-02-18T23:28:06.000","February","Thursday","NOISE","1150 S CLARIZZ BLVD","LB310","BPD","NO REPORT","POINT (-86.49099 39.15155)"
"B16-06298","2016-02-19T01:23:31.000","February","Friday","NOISE","N WASHINGTON ST & E 8TH ST","LB102","BPD","NO REPORT","POINT (-86.532321 39.169476)"
"B16-06305","2016-02-19T02:32:34.000","February","Friday","NOISE","624 S FESS AVE","LB302","BPD","NO REPORT","POINT (-86.525935 39.160511)"
"B16-06303","2016-02-19T03:05:34.000","February","Friday","DISTURBANCE IP","1645 S WILCOX ST","LB318","BPD","NO REPORT","POINT (-86.499909 39.148278)"
"B16-06304","2016-02-19T03:26:18.000","February","Friday","DISTURBANCE IP","E BURKS DR & S WALNUT SPRINGS DR","LB336","BPD","NO REPORT","POINT (-86.528725 39.126512)"
"B16-06319","2016-02-19T08:20:44.000","February","Friday","VANDALISM NP","3641 N KINSER PIKE","LB507","BPD","REPORT","POINT (-86.544597 39.201012)"
